	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_77	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_24	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_20	Ndnf_tdTnegative_cell_7	Ndnf_tdTnegative_cell_11	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_11	Ntsr1_tdTnegative_cell_14	Ntsr1_tdTnegative_cell_20	Ntsr1_tdTnegative_cell_44	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_14	Scnn1a.Tg3_tdTnegative_cell_1	Scnn1a.Tg3_tdTnegative_cell_6	Scnn1a.Tg3_tdTnegative_cell_12	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101
Cdkn2d	338.52	195.51	349.26	373.69	261.12	0.0	0.0	147.01	272.3	233.73	0.0	0.0	2.4	169.34	186.02	89.3	183.19	105.65	76.78	132.36	67.71	218.87	144.13	139.19	115.34	266.44	113.35	231.75	53.9	146.8	192.97	322.61	190.95	282.07	265.62	270.59	128.23	124.5	91.79	100.53	126.24	313.02	66.39	76.3	107.86	0.0	0.0	0.0	625.98	0.59	0.0	0.0	0.0	0.0	209.7	215.64	135.87	145.98	230.29	356.58	196.27
Cxx1c	813.27	562.98	604.92	1303.34	871.97	53.11	0.54	223.64	437.2	425.59	0.0	937.42	3.25	950.84	881.39	707.69	502.24	1213.61	766.75	754.02	931.75	665.39	809.99	831.31	627.5	891.82	884.53	945.7	906.81	1128.3	615.56	770.37	516.64	862.83	928.25	999.73	820.27	712.03	1078.98	616.03	1403.89	619.06	1030.85	661.77	603.94	0.0	0.0	2.76	0.42	0.8	0.0	0.0	2.9	0.0	527.48	663.61	797.25	640.54	831.61	1081.76	1132.68
Galt	51.95	27.25	92.77	81.42	254.93	0.0	0.18	0.0	0.0	32.48	0.0	0.0	0.0	46.57	28.09	44.96	49.97	10.81	5.69	27.88	0.06	52.99	45.14	72.76	71.35	0.2	38.63	41.82	82.26	32.9	97.1	10.92	30.51	46.35	27.8	0.0	90.01	53.69	23.76	60.79	123.79	25.65	52.92	137.45	16.79	0.0	0.0	0.0	0.0	0.37	0.0	0.0	0.0	0.0	18.05	2.74	23.8	0.0	55.51	54.81	15.92
Gm13306	0.0	0.0	22.17	28.87	8.68	0.0	0.0	0.0	0.0	17.1	0.0	0.0	0.0	1.46	0.3	0.03	0.0	1.74	0.0	0.0	0.0	7.16	0.58	0.0	0.0	5.37	0.27	0.0	1.98	0.0	0.0	4.8	2.47	0.77	0.0	0.0	0.29	0.0	2.79	1.65	1.9	0.13	2.24	8.48	4.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.89	1.61	0.0	0.0	7.83	1.88
Gm2506	0.0	0.0	22.17	28.87	8.68	0.0	0.0	0.0	0.0	17.1	0.0	0.0	0.0	1.46	0.3	0.03	0.0	1.74	0.0	0.0	0.0	7.16	0.58	0.0	0.0	5.37	0.27	0.0	1.98	0.0	0.0	4.8	2.47	0.77	0.0	0.0	0.29	0.0	2.79	1.65	1.9	0.13	2.24	8.48	4.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.89	1.61	0.0	0.0	7.83	1.88
Gm5177	30.2	21.48	52.74	64.25	40.79	31.27	12.04	24.0	10.93	27.39	0.0	17.17	17.46	43.45	32.72	37.63	30.18	35.35	34.97	31.33	31.41	30.05	25.4	37.89	34.71	35.88	46.26	57.91	36.63	35.77	34.43	40.76	27.74	26.09	39.09	27.15	26.59	31.26	36.77	32.84	34.41	32.93	37.02	32.67	29.56	26.69	11.04	24.81	17.56	9.62	0.47	7.03	3.17	0.18	36.97	34.57	37.35	13.47	33.65	44.41	46.24
Gng3	1363.15	993.66	2268.52	3026.53	1128.12	358.99	112.57	531.61	293.41	604.1	0.0	0.0	0.25	923.08	1160.18	1157.98	742.43	805.37	1010.97	1073.29	795.65	636.79	700.08	974.46	1037.73	1224.55	800.82	999.1	1072.07	557.38	1000.4	788.09	703.8	843.43	871.02	853.22	577.24	949.52	932.3	1094.24	665.64	1170.57	956.63	853.89	808.36	0.0	0.0	0.0	0.0	433.53	1.15	0.0	0.0	0.0	1552.03	1132.5	1091.39	462.25	1058.27	1068.09	823.91
Grhpr	39.68	0.0	397.97	438.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.13	85.44	0.0	60.55	0.14	0.0	45.44	33.27	84.06	0.0	90.26	0.32	23.75	89.54	43.26	106.63	172.37	54.8	78.71	0.0	2.16	5.03	47.6	0.0	183.54	120.42	48.2	46.03	0.0	0.13	130.72	36.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44	0.57	3.12	40.07	36.59	0.45	40.56	46.34	43.93
Mrps18c	259.26	224.04	409.49	666.53	169.3	179.53	0.0	412.95	0.0	289.47	0.0	0.0	0.0	229.95	176.0	228.29	32.24	348.12	195.19	313.09	272.0	272.65	195.13	427.59	186.95	260.14	235.1	212.36	299.62	204.19	342.99	79.09	230.34	202.42	147.24	24.52	139.94	156.7	186.17	220.99	92.75	48.24	246.91	414.52	160.07	0.0	0.0	5.55	0.0	0.0	0.0	0.0	0.0	0.0	325.97	382.28	204.11	0.0	198.65	176.26	152.63
Mrps31	5.93	39.87	145.33	157.35	0.0	0.08	0.0	0.0	0.0	16.33	0.0	0.0	0.25	44.08	56.12	1.2	80.1	5.18	26.96	59.95	28.51	33.85	116.57	85.2	7.7	1.34	31.77	0.0	21.96	93.54	29.8	0.0	87.54	54.72	39.71	64.5	0.0	46.07	10.91	15.64	0.39	41.68	61.52	124.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.79	0.0	0.0	0.0	55.03	103.82	116.7
Nme2	326.45	340.0	825.42	796.67	547.56	0.0	0.0	168.39	1.66	506.72	0.0	0.0	5.0	568.05	223.09	472.9	572.51	198.55	364.15	294.16	347.9	494.02	569.01	299.17	347.98	322.31	439.93	481.72	391.67	630.23	625.88	452.47	698.54	530.46	531.46	448.32	325.97	245.63	675.03	754.29	402.7	578.7	608.81	682.7	383.86	0.0	0.0	2.12	0.0	1.22	0.0	0.0	93.37	0.0	455.05	365.1	423.19	300.57	430.6	673.19	553.98
Npy	138375.8	173305.25	40775.82	1.46	115124.65	43922.94	1.97	68542.73	14635.6	125016.83	0.0	0.0	0.0	132042.44	105008.15	149629.49	134232.96	130357.56	105498.11	116117.28	120987.76	122165.94	132052.33	122154.33	122963.43	126501.28	117863.77	98464.67	102118.34	130527.91	173863.58	101365.79	126989.03	166048.87	115420.41	191162.16	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	110523.31	101137.64	151963.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	145032.54	180453.32	128781.07	8484.11	137945.15	137580.94	120620.2
Nsfl1c	194.31	357.44	588.37	785.38	483.33	0.19	0.0	359.89	0.0	103.4	0.0	0.0	57.15	211.42	353.2	163.44	500.03	496.57	139.53	269.78	159.16	168.45	79.33	393.26	148.18	298.74	231.37	329.39	238.38	240.99	294.44	95.71	272.13	183.33	177.55	117.09	107.45	298.3	152.0	388.85	180.95	177.67	329.53	297.13	194.41	0.0	0.0	5.71	0.0	1.1	0.49	0.0	0.4	0.0	226.55	396.91	255.04	0.41	239.85	211.56	228.07
Pfdn2	164.24	288.14	483.01	224.81	257.76	10.42	0.0	124.15	0.0	218.08	672.62	0.0	0.0	190.62	250.4	306.12	86.1	144.62	297.44	265.5	211.2	102.51	114.98	237.13	229.93	148.77	83.34	200.7	200.82	229.64	115.65	133.35	116.8	97.02	96.78	140.6	81.21	266.42	93.63	169.67	124.24	227.61	132.3	130.48	91.72	0.0	0.0	35.96	0.0	0.0	43.38	0.0	0.0	0.0	172.99	214.05	172.54	0.93	165.62	225.64	286.23
Poglut1	0.0	98.3	66.73	169.97	91.75	0.09	0.0	0.0	0.37	96.52	0.0	0.0	0.0	97.12	88.02	0.03	81.34	160.25	27.99	67.54	33.56	40.75	36.88	9.61	0.0	0.0	61.29	0.0	70.16	101.49	47.94	69.67	0.0	51.72	22.72	92.37	0.0	47.51	23.71	110.46	0.11	6.84	37.95	53.31	49.37	0.0	0.0	0.48	0.0	0.83	0.0	0.0	0.0	0.0	96.29	31.91	57.26	78.27	0.0	0.12	53.52
Polr2e	38.24	128.89	560.21	563.84	166.21	194.3	1.52	52.92	250.93	457.88	0.0	0.0	0.0	237.75	210.81	126.3	137.54	9.07	197.13	141.85	144.38	58.88	100.86	168.55	156.16	134.29	146.8	51.56	69.87	190.16	5.12	83.76	292.64	215.58	71.95	134.91	136.44	92.94	128.06	60.68	107.47	59.46	97.48	189.4	137.84	0.0	0.0	1.3	0.0	2.25	0.0	0.0	5.39	0.0	103.61	144.74	209.16	0.0	138.65	414.2	123.43
Prmt7	63.63	44.23	197.41	217.96	295.92	16.53	0.0	102.86	0.0	103.66	0.0	0.0	0.0	25.9	94.04	138.65	220.22	95.26	250.41	168.5	2.92	130.91	100.02	110.29	45.64	173.46	89.44	112.36	183.5	196.94	247.84	74.58	54.87	61.13	156.17	0.0	0.0	136.41	54.1	108.13	134.27	119.5	154.85	171.66	3.3	0.0	0.0	1.12	0.0	0.33	0.0	0.0	0.0	0.0	48.01	171.12	110.62	0.24	144.13	267.41	12.71
Psmb3	247.43	720.2	1419.07	763.2	660.53	493.05	0.0	546.63	248.14	607.03	0.0	532.3	0.54	535.88	862.07	595.49	655.37	609.37	712.2	346.07	546.71	928.9	383.27	671.28	610.47	565.43	528.75	366.74	297.76	579.2	390.04	605.0	189.35	504.63	723.09	639.04	155.97	673.91	269.93	551.86	587.87	591.69	417.26	586.6	501.96	1.19	640.7	868.06	0.0	1274.02	0.93	0.0	0.0	0.0	695.48	348.52	356.64	371.61	677.98	797.86	568.58
Rab3b	897.04	1000.9	2193.28	1908.94	992.27	80.7	0.0	116.83	368.58	270.84	0.0	0.0	0.0	1198.43	971.84	934.59	1037.56	1206.28	1188.27	1465.33	1246.9	1722.37	707.98	1423.77	929.45	1203.48	1202.87	855.52	649.01	793.16	964.61	712.94	677.65	1075.94	1196.76	751.22	824.17	811.02	832.67	952.42	620.57	1481.64	837.21	938.28	1027.99	0.0	0.0	0.38	0.0	0.0	0.0	0.0	0.0	0.0	1480.86	1039.21	898.01	733.42	1576.88	1235.12	1197.92
Rnf149	0.0	0.56	0.0	89.02	4.49	1.06	0.0	0.0	1.22	30.48	0.0	0.0	0.0	48.47	29.02	0.14	0.0	7.54	7.67	12.52	12.07	5.17	48.9	40.64	7.83	24.19	2.73	4.83	9.76	0.0	0.0	0.0	41.31	0.0	0.0	0.0	33.82	33.59	0.0	0.0	0.0	59.62	3.63	0.86	0.0	0.0	0.0	0.0	0.0	0.0	0.53	0.0	0.0	0.0	52.99	43.26	13.18	0.0	39.34	0.0	5.76
Sarnp	331.86	332.26	348.08	693.27	222.82	137.77	0.0	86.2	19.22	488.05	0.0	47.33	0.0	176.26	231.72	333.98	191.16	174.33	212.73	5.98	253.56	106.17	364.24	275.77	230.84	223.59	236.57	130.31	399.63	111.93	108.37	116.55	262.06	257.79	147.14	237.9	101.81	346.04	101.85	66.63	184.01	439.69	241.07	157.26	2.89	4.78	159.11	18.42	0.0	0.0	0.0	0.0	0.0	0.66	147.48	343.51	171.94	123.09	240.44	264.23	166.84
Sncb	91.79	153.5	80.26	120.79	114.6	98.48	0.0	20.69	0.0	152.92	0.0	0.0	0.0	67.27	27.76	33.72	45.64	95.5	180.51	75.12	84.41	34.63	84.76	102.58	116.83	96.45	164.86	133.76	97.77	41.38	71.22	77.68	56.1	41.09	82.07	62.85	37.03	41.86	97.76	65.48	89.21	23.57	68.54	41.13	61.78	0.0	0.0	2.17	0.0	0.0	0.0	0.0	0.0	0.0	176.44	114.28	151.74	70.72	115.76	97.47	160.29
Snord116	0.0	6.02	5.29	0.0	14.63	4.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.94	3.3	1.42	3.17	8.88	14.34	12.85	2.97	4.45	14.05	2.5	7.02	3.68	2.82	2.94	11.3	0.0	7.38	5.66	0.0	6.1	0.0	4.03	6.45	11.58	11.77	2.54	2.69	9.96	4.31	2.13	2.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	7.66	0.0	12.13	14.21	5.74
Snord116l1	0.0	6.02	5.29	0.0	14.63	4.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.94	3.3	1.42	3.17	8.88	14.34	12.85	2.97	4.45	14.05	2.5	7.02	3.68	2.82	2.94	11.3	0.0	7.38	5.66	0.0	6.1	0.0	4.03	6.45	11.58	11.77	2.54	2.69	9.96	4.31	2.13	2.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	7.66	0.0	12.13	14.21	5.74
Snord116l2	0.0	6.02	5.29	0.0	14.63	4.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.94	3.3	1.42	3.17	8.88	14.34	12.85	2.97	4.45	14.05	2.5	7.02	3.68	2.82	2.94	11.3	0.0	7.38	5.66	0.0	6.1	0.0	4.03	6.45	11.58	11.77	2.54	2.69	9.96	4.31	2.13	2.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	7.66	0.0	12.13	14.21	5.74
Snurf	217.59	241.44	213.15	239.94	158.41	154.55	25.77	64.64	50.33	93.64	0.0	0.0	19.4	72.69	145.29	207.99	96.74	151.63	211.65	151.46	193.78	161.29	156.68	145.21	167.46	221.82	103.75	231.98	464.31	124.24	141.27	169.12	183.68	152.92	277.79	109.5	95.04	117.74	163.74	124.68	169.7	122.3	99.84	224.13	312.16	0.0	0.02	0.53	17.11	0.31	0.09	28.48	0.0	0.0	170.11	184.08	209.14	119.32	156.67	202.77	150.4
Swi5	1160.44	579.18	1324.37	1481.7	778.16	377.38	772.76	497.51	0.0	634.79	10.29	0.0	0.0	757.42	899.06	305.74	502.85	653.96	920.87	849.16	625.11	792.04	496.61	734.83	637.35	807.82	457.83	414.9	669.55	775.96	733.9	518.1	1026.45	473.54	735.28	615.01	587.35	723.14	321.12	766.99	869.16	668.37	646.42	632.43	715.57	413.58	0.0	1.74	0.0	3.01	0.88	456.97	0.72	0.0	761.83	1078.17	587.47	267.18	702.99	1035.63	415.75
Tceal6	19.39	114.69	72.29	194.88	137.18	19.14	0.0	4.55	35.61	0.81	0.0	0.0	0.0	56.13	73.06	124.95	40.43	64.62	181.55	59.0	186.62	103.26	91.54	139.97	80.01	134.66	70.1	134.41	67.24	19.96	92.88	0.0	131.0	81.08	75.83	64.58	1.99	36.0	97.7	167.93	99.25	48.28	69.64	35.46	16.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.18	63.16	122.1	61.63	36.51	54.22	71.16
Tubb3	1527.87	1013.07	1352.46	1382.1	2268.38	1229.89	0.0	342.06	330.91	854.57	0.0	0.36	0.22	1837.25	1408.89	1542.18	1087.77	921.82	1833.6	603.67	1273.44	1398.18	820.17	2227.61	1628.58	2094.16	2919.94	2487.95	1187.25	1211.11	1361.77	1118.49	1567.6	1641.54	1175.09	1524.84	632.4	1916.06	2439.02	2079.6	1528.7	1216.29	2010.72	2082.19	1679.08	0.0	0.0	2.96	0.67	2.57	1.89	416.61	0.0	0.0	2207.22	2352.06	1136.59	544.62	1598.52	1806.41	1256.47
Ubl7	103.36	47.51	201.62	369.45	30.29	261.04	0.0	0.0	0.77	78.18	0.0	0.0	0.0	77.97	160.7	243.25	0.84	128.48	254.2	229.7	176.15	215.4	201.73	76.12	148.9	73.56	113.24	182.74	52.77	82.14	0.0	0.23	172.59	170.58	71.72	54.33	0.0	62.06	28.65	3.04	172.78	130.1	138.26	33.79	48.23	0.0	158.96	2.95	0.0	0.0	0.0	0.0	0.0	0.0	209.51	46.47	177.78	0.42	135.98	217.26	210.54
Uchl1	700.12	514.54	692.11	1063.77	662.53	508.43	0.0	132.65	0.0	175.98	0.0	0.0	0.0	506.7	416.37	449.34	577.97	525.12	646.7	675.27	795.52	615.89	483.98	871.67	579.14	878.04	850.37	735.65	471.72	498.49	559.7	96.83	780.25	593.4	467.29	624.32	488.6	557.81	702.17	694.22	996.9	665.43	712.79	811.73	527.26	0.0	0.0	4.53	0.0	0.0	0.0	0.0	0.0	0.0	965.25	635.74	908.08	147.31	924.8	628.24	659.75
Zwint	1166.01	1576.31	1635.51	1647.56	1573.22	890.66	27.9	735.4	629.25	789.72	2.81	247.86	93.49	1702.15	1562.69	1997.78	1359.21	1473.22	1651.24	1714.0	1311.56	1586.44	1490.88	1728.81	1458.66	1490.95	1597.26	1799.68	1469.66	1429.37	1114.09	887.73	1492.59	1270.0	1669.44	1374.41	803.89	1208.5	1439.62	1384.66	1292.34	1597.65	1454.38	1678.63	1548.3	130.89	0.0	3.3	0.0	2.46	0.72	0.0	0.0	0.0	1518.07	1618.0	1853.1	1551.73	1669.2	1757.28	1541.1
