	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Gad2_tdTpositive_cell_43	Gad2_tdTpositive_cell_55	Gad2_tdTpositive_cell_75	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_1	Nkx2.1_tdTpositive_cell_2	Nkx2.1_tdTpositive_cell_6	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_20	Ntsr1_tdTnegative_cell_21	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_9	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_14	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_17	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_22	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_27	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_73	PvalbF.Gad2_tdTpositive_cell_80	PvalbF.Gad2_tdTpositive_cell_81	Rbp4_tdTpositive_cell_51	Rorb_tdTpositive_cell_47	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg3_tdTnegative_cell_12
Kcna1	0.0	0.0	219.47	129.7	293.95	0.0	0.05	110.1	76.66	109.21	0.97	0.32	0.07	218.51	203.62	67.88	155.4	258.51	191.86	97.04	120.88	88.23	194.23	255.22	281.96	237.12	209.54	455.33	33.81	55.56	151.11	159.56	126.88	28.07	158.39	12.5	121.61	254.23	44.19	229.92	5.32	186.92	175.67	275.53	173.91	195.32	140.07	97.29	83.12	139.69	255.31	299.74	261.1	221.93	247.3	0.0	0.2	0.0
Kcnab1	0.0	0.0	362.65	377.04	636.35	0.0	76.93	321.86	127.66	475.12	15.17	0.0	0.2	388.75	424.77	342.74	312.96	437.57	338.11	420.85	440.1	302.46	669.3	724.18	595.28	679.62	256.7	504.97	132.29	82.71	51.64	416.28	356.8	255.64	447.83	134.35	393.92	426.89	280.63	439.02	22.18	387.08	570.81	457.26	487.23	629.94	133.06	229.99	416.82	584.31	533.61	562.04	543.34	529.02	490.77	0.28	0.12	0.0
Kcnab2	0.0	0.2	56.32	25.04	45.03	0.0	0.35	41.6	8.56	39.01	0.0	0.0	0.0	61.03	19.58	47.5	45.26	87.19	21.11	17.03	102.87	20.21	23.79	116.01	58.4	61.28	56.58	89.61	36.84	65.46	4.56	34.78	31.15	77.57	88.78	45.03	9.62	53.29	3.1	113.61	0.21	33.32	77.34	49.89	26.18	85.61	64.08	73.2	35.72	57.48	101.04	84.42	133.47	126.13	98.54	0.0	0.41	0.0
Kif21a	33.69	2.81	94.69	16.86	107.85	0.0	0.33	38.65	30.3	20.15	0.0	0.16	0.0	63.08	47.76	18.52	101.7	7.47	9.69	4.4	65.39	0.21	62.24	40.5	62.93	69.78	48.38	56.57	71.25	152.35	17.03	12.06	12.97	10.61	34.72	12.97	54.5	74.37	8.56	76.31	55.57	42.0	65.61	49.1	20.54	22.37	22.26	4.18	33.32	69.52	83.28	140.14	71.16	65.59	82.17	0.13	0.54	0.0
Kif5c	0.0	32.94	74.32	107.88	174.03	0.0	0.3	104.94	7.57	60.35	0.73	0.0	0.09	81.79	51.49	21.2	29.8	36.03	171.8	13.64	39.29	144.86	116.99	115.6	82.52	163.51	103.75	160.06	0.45	153.28	84.73	73.82	71.73	36.2	40.76	97.92	32.56	68.31	0.04	83.39	63.69	87.09	120.44	76.69	57.58	87.42	81.36	82.64	50.47	59.29	271.38	100.35	184.39	158.85	94.05	0.3	0.48	0.0
Ldhb	7486.96	8970.97	9309.63	7692.96	6604.57	5600.23	6119.64	7548.96	7026.65	8752.31	4622.23	4568.2	6399.01	8798.32	8750.45	10118.08	10894.4	8892.3	7735.26	7234.97	8217.62	8302.41	8517.89	9220.91	9343.6	8808.99	8574.79	10165.1	9166.61	7814.88	9602.81	11261.44	7829.53	8285.69	10004.69	8757.21	7112.99	9074.03	5210.65	13571.31	6509.49	12546.17	9106.97	9755.78	8904.1	8390.99	11010.48	8275.76	10182.84	9082.37	7910.47	7844.79	7175.32	7830.1	11746.38	5217.81	5873.38	5577.5
Mybpc1	0.0	0.0	63.77	31.71	115.31	0.0	0.0	39.8	0.0	22.9	0.0	0.0	0.0	92.95	4.79	24.97	140.57	6.61	68.76	80.42	60.75	50.98	141.45	52.2	41.18	28.48	77.81	130.7	17.51	50.78	55.54	55.41	0.31	40.35	24.65	0.0	2.7	55.35	12.14	47.84	0.0	23.46	18.88	36.9	0.0	11.3	4.76	0.0	84.31	66.48	139.55	71.63	94.74	29.55	103.15	0.0	0.0	0.0
Ncs1	0.0	22.43	637.65	433.29	480.45	0.0	168.6	260.75	84.75	478.33	1.86	0.24	0.44	200.89	404.33	235.05	160.32	281.0	239.82	128.6	290.58	558.18	584.19	461.97	402.02	560.64	365.86	671.97	444.93	445.11	317.18	867.01	408.77	363.66	606.52	316.59	601.01	733.29	72.82	591.13	230.23	492.96	683.49	530.11	380.16	475.6	486.03	173.7	454.34	414.71	473.2	585.55	201.99	558.89	744.2	0.72	1.27	0.0
Nefh	0.0	14.03	23.98	5.14	79.5	0.0	0.0	26.77	0.0	33.18	0.0	0.0	0.0	78.02	65.6	8.49	90.01	48.3	68.88	21.24	82.42	0.0	96.45	89.63	70.19	75.69	92.34	90.31	0.39	0.0	32.52	16.51	36.46	34.28	44.52	38.72	54.81	145.17	59.57	233.76	0.0	107.74	99.21	28.61	21.77	9.81	61.11	104.22	133.09	51.63	94.02	102.92	122.53	100.1	116.26	0.0	0.0	0.0
Pacsin2	0.0	0.0	118.55	189.19	208.66	0.0	92.59	55.92	0.0	59.53	0.0	0.0	0.0	184.71	234.16	18.96	105.98	108.62	216.15	146.61	219.93	128.05	184.14	187.82	70.21	69.44	125.7	150.48	91.38	56.35	99.79	102.31	0.33	80.66	40.63	149.37	170.6	210.19	0.0	45.57	127.36	195.46	288.84	125.45	129.07	135.47	107.33	56.94	74.11	151.89	238.75	168.65	100.9	170.66	69.84	0.12	0.3	0.0
Pcp4l1	0.0	41.53	563.4	317.33	495.43	0.0	163.09	350.48	293.03	335.24	0.0	0.81	0.0	303.95	498.18	210.88	217.34	345.92	294.88	206.51	462.56	281.68	489.34	485.9	629.87	201.11	499.61	843.89	689.36	588.13	430.11	121.2	124.94	220.86	695.41	183.16	203.98	343.74	67.97	210.06	159.05	271.12	548.52	223.44	399.84	435.89	311.01	322.25	879.52	911.53	846.41	436.18	867.37	598.34	535.33	0.0	1.19	0.0
Prepl	0.0	35.32	203.74	988.39	483.66	0.0	119.6	149.31	181.15	94.56	59.52	0.0	0.16	272.32	292.88	56.34	183.7	181.94	249.29	163.04	178.5	196.07	233.89	352.41	202.11	201.19	200.34	528.16	552.92	197.55	115.84	351.23	215.84	366.12	419.27	189.46	330.37	216.45	135.34	239.42	404.71	232.56	430.81	447.66	140.3	259.41	251.92	157.32	206.29	264.16	524.89	299.55	420.69	372.32	575.29	2.62	0.47	0.0
Rian	0.0	11.5	96.96	30.21	91.09	0.0	1.15	10.75	25.42	46.76	0.06	0.2	0.0	52.93	60.88	33.98	57.74	58.43	65.3	51.05	66.68	79.74	98.89	68.3	129.14	98.35	73.93	89.98	86.11	67.55	97.41	56.29	32.5	48.97	61.88	44.47	17.5	38.36	0.16	54.37	9.95	40.98	17.21	45.64	30.73	51.58	44.39	30.47	27.95	7.16	167.21	4.07	86.0	52.09	72.66	0.15	0.44	0.0
Rtn4	0.0	238.27	112.04	47.82	175.82	0.0	19.19	25.7	110.3	42.87	0.38	10.58	1.82	104.0	93.85	31.23	93.17	113.83	22.86	74.11	57.19	16.23	90.05	171.26	101.89	84.24	168.81	191.38	176.46	106.24	191.15	84.61	6.43	13.78	140.5	89.19	163.84	186.45	37.68	135.95	114.85	211.0	166.66	68.36	24.35	26.64	158.8	72.37	181.01	43.41	150.57	28.66	313.24	156.72	157.89	1.01	1.24	22.46
Rufy3	0.0	222.52	276.02	350.55	463.42	0.0	92.81	311.6	256.54	226.82	0.31	0.0	0.78	307.78	411.13	232.34	238.57	365.56	313.34	225.15	223.98	483.49	248.13	483.14	478.18	275.72	343.62	241.65	129.61	201.52	315.82	310.65	410.38	266.28	236.04	139.69	248.04	441.03	155.93	327.79	263.57	255.31	413.68	344.9	195.21	210.71	272.47	220.85	336.59	254.08	395.61	476.07	557.86	370.55	288.6	0.53	0.76	0.0
Scn1b	0.0	0.0	8.51	0.39	5.67	0.0	0.0	1.24	0.0	4.23	0.0	0.0	0.4	3.58	7.53	6.42	1.6	6.72	38.67	5.33	15.0	1.31	16.23	1.06	28.65	31.59	5.62	17.88	0.0	1.63	3.39	1.75	0.82	1.06	30.1	0.0	7.81	9.61	0.0	32.47	4.51	2.47	6.85	8.78	1.39	10.43	1.45	4.86	9.71	16.42	11.96	1.91	9.19	24.82	33.42	0.0	0.0	0.0
Slc24a2	0.0	78.59	331.39	210.82	319.73	0.0	8.95	243.89	36.41	155.95	0.83	0.09	0.28	172.15	150.96	170.46	264.55	263.46	291.85	226.55	233.37	316.71	283.84	257.24	244.33	203.59	266.29	283.6	307.31	131.39	223.98	341.43	109.47	159.47	304.97	127.86	244.07	202.85	157.63	214.57	157.6	191.88	226.68	170.1	227.92	167.65	161.6	176.2	247.62	190.94	409.04	317.36	443.24	293.84	269.92	0.31	0.48	0.0
Ttbk2	0.12	15.59	29.99	32.52	46.1	1.11	0.04	16.99	31.32	22.29	0.59	0.26	0.73	17.1	24.52	17.88	20.4	46.52	46.15	16.27	12.23	81.48	34.39	39.21	44.42	38.71	21.15	40.16	49.29	33.04	18.96	11.71	13.42	39.13	50.47	9.57	26.77	19.93	0.09	49.94	1.52	20.27	18.27	56.35	67.23	10.61	20.23	41.99	35.11	20.17	38.66	47.83	78.24	63.37	28.82	1.13	3.39	0.24
Ttll7	0.0	0.0	28.98	74.81	104.3	0.0	0.6	45.62	16.46	25.65	0.0	0.94	0.1	66.25	64.88	4.46	20.16	58.66	63.53	17.23	65.32	16.76	30.49	48.32	86.13	27.48	14.92	87.84	10.16	129.63	34.62	59.92	16.84	119.75	26.08	5.89	40.87	44.25	5.22	49.81	0.0	71.31	53.56	34.36	30.42	47.08	76.78	31.36	18.59	85.59	99.31	145.02	233.82	67.4	34.98	0.2	0.18	0.0
Vamp1	38.87	0.0	82.08	71.43	23.64	0.0	0.0	12.36	0.0	89.17	0.0	0.0	0.0	108.03	107.92	61.88	88.18	75.53	23.31	145.14	95.96	79.16	193.37	54.17	105.26	204.8	120.26	223.98	153.6	133.36	62.72	121.86	108.98	62.52	126.35	51.39	85.29	152.03	0.0	189.43	0.54	130.96	241.04	99.48	29.18	74.49	80.25	147.97	107.42	54.88	135.33	240.31	187.73	199.29	136.71	0.0	0.13	0.0
