	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_19	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_28	Ntsr1_tdTnegative_cell_39	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_16	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_8	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_69	Sst_tdTpositive_cell_76	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_96	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30
Nutf2	0.58	0.0	58.24	0.0	0.0	0.0	1.23	0.0	217.66	0.0	108.51	0.0	0.73	5.64	0.99	0.42	0.85	35.96	69.25	0.0	3.57	0.65	0.56	50.07	1.73	103.22	1.08	1.15	86.97	0.89	20.13	32.44	0.21	81.25	0.79	0.0	53.9	0.75	3.93	81.1	141.61	0.0	138.57	0.61	4.96	0.0	0.0	0.0	0.0	0.0	0.0	63.8	1.03	0.92	0.21	1.02	0.79	59.23	2.1	20.67	67.75	0.41	105.96	0.65	203.97
Rnf14	226.54	389.45	481.78	0.0	0.0	0.0	0.0	0.0	646.46	0.34	617.45	0.0	225.77	428.75	479.4	532.66	267.44	333.84	595.73	526.58	249.64	462.76	519.88	300.27	239.8	483.09	520.86	277.01	508.67	82.79	233.91	376.6	415.64	135.72	112.18	344.3	299.74	273.44	189.37	422.33	472.1	212.0	205.08	0.0	0.35	0.0	0.21	0.0	0.0	0.0	0.0	337.66	584.33	693.01	217.61	397.09	522.16	519.41	909.48	437.61	380.3	358.99	695.92	302.96	484.84
Rnps1	210.71	66.49	161.35	0.0	0.0	0.0	0.0	0.29	7.51	0.0	53.66	0.0	212.14	53.67	176.43	59.56	21.55	328.73	0.08	50.48	176.34	118.74	91.05	154.82	127.42	138.88	51.47	223.55	6.0	183.2	174.27	64.22	231.77	172.83	171.11	77.49	100.17	110.64	107.68	291.78	131.97	159.24	76.01	0.0	137.04	0.0	0.0	0.0	0.0	217.1	0.0	91.35	118.76	230.17	216.19	211.36	109.17	141.77	78.17	169.74	95.06	175.35	381.13	13.23	783.19
Scn2b	597.12	404.61	668.06	3.35	0.35	0.24	0.0	1.55	1041.87	1522.2	594.0	0.69	498.08	571.63	508.97	430.86	395.67	538.23	477.22	545.92	731.12	445.31	728.59	762.72	629.16	548.15	613.57	751.96	734.12	497.87	631.79	507.09	922.54	489.16	186.96	450.16	578.91	679.34	713.46	574.58	691.4	523.62	470.57	5.96	1.91	0.85	0.43	3.42	2.01	0.22	0.0	707.65	850.4	1265.36	591.76	594.32	598.07	444.04	864.09	756.77	475.03	927.47	617.11	401.74	647.05
Slc25a4	2911.09	1771.99	2887.51	1098.02	0.0	0.74	1282.07	811.65	2859.54	71.83	2023.7	0.15	2232.14	2754.42	2156.37	2424.5	2220.61	2261.39	2888.02	2878.11	2016.73	1995.12	2123.55	2203.14	3657.31	2431.22	2221.56	2279.26	2111.88	2158.05	2727.98	1769.99	2544.44	1824.32	1509.43	2099.04	3001.73	2052.28	2747.73	1529.77	1974.77	1970.12	2186.58	1.9	20.2	0.0	0.0	0.86	0.0	0.0	1.13	2340.31	4137.18	2670.69	2668.58	2737.32	2018.15	2129.87	3825.15	3885.22	2436.66	2692.32	2173.31	2220.13	2778.94
Sncb	91.79	153.5	114.6	0.0	0.0	0.0	0.0	0.0	181.79	0.0	152.92	0.0	85.34	67.27	27.76	33.72	45.64	95.5	180.51	75.12	84.41	34.63	84.76	102.58	116.83	96.45	164.86	97.77	41.38	71.22	56.1	41.09	82.07	62.85	37.03	41.86	97.76	65.48	89.21	23.57	68.54	41.13	61.78	1.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	176.44	212.46	164.47	114.28	171.03	151.74	115.76	202.96	63.97	97.47	117.15	86.27	160.29	78.31
Snord116	0.0	6.02	14.63	0.0	0.0	0.0	0.0	0.0	8.56	0.0	0.0	0.0	3.71	3.94	3.3	1.42	3.17	8.88	14.34	12.85	2.97	4.45	14.05	2.5	7.02	3.68	2.82	11.3	0.0	7.38	0.0	6.1	0.0	4.03	6.45	11.58	11.77	2.54	2.69	9.96	4.31	2.13	2.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	5.96	6.26	0.0	3.15	7.66	12.13	10.48	4.47	14.21	8.48	0.0	5.74	6.22
Snord116l1	0.0	6.02	14.63	0.0	0.0	0.0	0.0	0.0	8.56	0.0	0.0	0.0	3.71	3.94	3.3	1.42	3.17	8.88	14.34	12.85	2.97	4.45	14.05	2.5	7.02	3.68	2.82	11.3	0.0	7.38	0.0	6.1	0.0	4.03	6.45	11.58	11.77	2.54	2.69	9.96	4.31	2.13	2.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	5.96	6.26	0.0	3.15	7.66	12.13	10.48	4.47	14.21	8.48	0.0	5.74	6.22
Snord116l2	0.0	6.02	14.63	0.0	0.0	0.0	0.0	0.0	8.56	0.0	0.0	0.0	3.71	3.94	3.3	1.42	3.17	8.88	14.34	12.85	2.97	4.45	14.05	2.5	7.02	3.68	2.82	11.3	0.0	7.38	0.0	6.1	0.0	4.03	6.45	11.58	11.77	2.54	2.69	9.96	4.31	2.13	2.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	5.96	6.26	0.0	3.15	7.66	12.13	10.48	4.47	14.21	8.48	0.0	5.74	6.22
Sntg1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.42	0.0	5.24	8.4	9.4	0.0	0.06	1.31	8.95	0.0	6.28	0.23	0.0	51.93	0.0	27.99	29.85	36.54	0.4	0.0	0.0	0.0	9.25	0.0	0.0	27.32	0.0	0.0	0.21	0.06	21.47	0.0	24.65	0.0	0.23	0.0	0.25	0.0	0.0	0.0	0.0	0.0	116.85	109.69	16.46	0.06	1.68	8.37	20.97	14.38	44.63	38.74	17.25	0.0	221.29
Srp54c	175.0	14.25	104.28	0.0	0.13	0.0	0.0	0.0	18.57	0.0	113.94	0.07	0.96	177.71	203.39	16.85	32.53	29.17	251.93	152.92	185.75	123.78	203.28	163.07	225.74	122.81	157.79	95.16	277.07	17.19	94.5	0.0	111.63	0.0	304.61	1.2	163.03	0.0	50.71	107.62	111.94	92.88	158.8	0.23	0.16	0.0	0.0	0.0	0.0	0.0	0.0	119.55	23.89	63.98	0.0	46.95	177.02	172.51	192.8	150.49	149.85	243.63	175.91	82.31	222.62
Txnl4a	209.69	101.21	166.85	1144.31	0.98	3.98	0.08	2.96	245.6	19.21	15.78	5.83	327.19	159.85	117.23	143.71	148.31	130.15	113.73	149.41	137.04	128.55	115.96	216.92	203.03	56.66	74.88	230.18	154.61	125.33	221.09	95.11	85.19	119.96	28.52	173.78	283.23	181.71	99.15	164.98	139.35	190.42	66.37	5.9	18.47	2.62	29.66	9.67	129.21	2.64	1.98	99.37	254.91	138.52	61.45	100.41	86.04	47.12	309.08	194.07	160.82	495.99	318.36	78.24	404.5
Zhx1	10.72	36.92	61.1	0.0	0.0	0.0	0.0	0.0	98.59	0.0	31.17	0.0	0.0	0.45	53.09	30.11	43.15	1.36	14.1	26.82	36.24	20.84	42.06	19.88	5.14	49.85	25.96	0.0	32.69	24.24	0.0	0.0	30.34	0.0	59.77	9.62	20.3	5.95	0.68	116.2	24.97	16.05	20.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.12	37.26	34.5	0.04	38.6	0.0	0.0	47.13	48.43	12.19	41.88	0.94	50.98	215.74
Zrsr2	0.0	2.43	5.48	0.0	0.0	0.0	0.0	5.49	20.58	0.0	0.13	0.0	44.35	10.02	33.26	4.81	0.02	15.72	6.73	13.75	0.13	11.26	14.56	5.21	8.72	28.43	0.0	58.22	0.0	0.0	26.21	32.66	8.05	0.0	0.19	24.19	3.97	0.0	19.14	79.72	0.04	24.15	1.6	0.0	161.23	0.0	0.15	0.83	0.0	0.0	0.12	14.9	32.17	95.69	1.49	2.64	18.31	48.22	27.87	19.61	12.96	29.34	75.98	0.0	190.72
