	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_1	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_4	Ctgf_tdTpositive_cell_5	Ctgf_tdTpositive_cell_9	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_6	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_69	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_16	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_18	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_4	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_96	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30
Dvl3	9.09	30.32	54.33	13.88	16.96	9.87	0.0	0.0	0.0	1.53	0.0	0.0	0.0	169.11	75.76	81.0	59.78	164.71	67.91	121.74	66.43	75.63	113.6	105.69	78.62	0.0	119.01	0.0	0.63	34.12	8.1	28.38	13.5	0.09	0.69	25.29	24.38	23.48	5.31	18.23	11.78	7.14	21.09	10.7	16.55	1.76	75.23	108.21	11.67	87.33	11.78	21.48	19.48	85.93	0.0	2.93	11.64	40.97	0.0	0.46	13.87	33.2	24.36	0.62	0.0	0.0	0.0	0.0	5.62	7.35	40.07	15.39	19.79	23.32	7.39	22.7	14.8	10.83	34.38
Egfr	0.45	0.14	0.24	0.13	0.2	0.63	0.0	0.0	0.27	0.28	0.0	3.01	0.07	124.15	87.33	84.75	0.87	0.75	91.58	0.76	0.38	64.17	5.57	1.64	49.64	2.32	104.33	0.0	0.1	0.86	0.38	0.07	0.42	0.32	0.21	0.69	0.4	0.21	0.07	0.3	0.4	0.2	0.09	0.27	0.23	0.33	13.42	1.98	0.39	42.82	0.31	0.14	0.11	65.15	0.37	0.42	0.32	0.23	0.41	0.28	0.51	0.27	0.33	4.1	1.27	0.0	1.98	1.63	0.21	0.36	0.41	0.13	0.11	0.28	0.36	0.54	0.31	0.0	75.25
Elp2	114.73	24.51	156.17	78.2	93.87	99.16	0.0	37.08	0.0	0.0	0.0	0.0	0.0	31.25	235.84	21.53	0.0	215.95	340.6	110.96	174.04	138.2	294.89	314.3	101.22	0.0	435.92	0.0	68.88	191.46	100.87	75.55	325.55	80.8	24.84	164.68	33.45	256.73	35.26	19.32	192.33	92.9	138.24	104.25	53.04	195.08	184.09	231.01	222.29	236.41	65.45	176.43	142.67	0.1	38.62	230.43	159.15	151.39	49.43	217.37	134.43	272.28	44.4	0.0	0.0	0.0	0.0	0.27	44.56	114.81	16.34	258.81	175.39	24.44	127.39	268.06	22.6	251.38	97.44
Fam177a	6.75	2.32	8.8	0.66	2.26	3.78	2.65	2.63	0.8	2.05	0.82	6.05	0.81	26.62	5.1	16.25	26.59	49.44	4.73	15.13	31.83	61.73	16.63	14.23	10.18	0.15	28.96	0.0	0.75	7.92	4.6	0.97	5.07	19.24	14.74	10.07	22.21	2.3	7.08	3.74	10.01	22.97	12.78	10.53	5.51	4.19	26.95	14.55	4.03	3.22	5.27	9.6	1.07	3.41	11.48	12.89	15.79	11.15	2.03	3.87	8.65	17.02	12.08	0.64	0.76	1.16	2.34	0.0	18.26	23.92	11.71	8.08	15.19	9.76	6.64	1.21	31.99	1.29	12.49
Fam81a	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	100.82	0.0	0.0	0.0	0.0	258.48	287.77	241.81	89.77	196.33	257.54	169.27	141.91	538.87	226.03	191.75	160.63	0.0	223.48	0.0	0.06	0.38	0.34	130.26	0.58	0.46	0.32	0.32	0.0	36.42	73.96	0.13	0.14	0.21	13.5	0.0	0.02	0.09	204.75	217.12	14.72	340.54	4.36	8.57	0.0	136.78	0.0	0.0	0.0	42.95	0.0	10.18	12.4	0.0	17.71	0.0	0.0	0.0	0.0	0.0	116.86	0.03	0.48	44.01	0.0	0.0	21.4	0.0	44.32	0.15	283.41
Frmpd4	40.62	5.88	18.65	2.67	12.89	27.76	0.0	0.05	0.0	0.0	0.0	0.0	0.0	87.71	58.38	44.93	66.54	132.23	17.11	133.76	66.46	59.63	89.57	128.48	90.88	0.0	18.83	0.0	17.31	29.83	1.93	0.42	9.2	6.2	2.63	38.22	5.41	41.91	40.61	17.94	22.75	37.43	34.34	16.91	26.82	18.26	65.39	46.93	29.45	26.27	7.83	2.72	19.98	18.63	0.75	0.67	23.06	14.6	9.33	34.02	2.3	64.72	5.79	0.0	0.0	0.0	0.0	0.0	9.87	29.78	10.9	7.29	35.01	9.51	12.79	18.04	27.46	0.75	126.95
Gad2	320.61	342.51	434.48	411.41	203.84	371.93	0.89	1.13	0.59	1.01	3.08	0.06	0.76	955.3	462.02	762.48	1445.41	1293.84	1286.54	985.01	1708.5	1747.26	899.36	1529.42	1076.3	0.16	687.57	0.0	245.09	196.34	314.59	34.12	318.35	156.94	162.81	429.15	333.44	378.8	396.67	294.55	483.26	360.75	360.07	204.55	301.16	198.65	804.54	1302.16	283.25	486.53	218.1	261.36	348.54	379.4	132.94	99.8	305.57	250.6	418.12	372.29	475.46	362.78	300.55	0.25	0.66	0.46	0.36	0.48	388.23	245.39	533.08	315.14	194.46	230.51	290.56	584.8	458.95	429.79	722.66
Gnb1	2182.12	800.45	1351.88	1234.31	813.57	2075.82	785.86	589.53	2046.42	2421.72	594.78	973.54	380.45	2338.78	2732.11	2394.42	2551.43	2687.37	2931.92	3085.91	1735.06	3221.74	3719.31	3325.05	2332.43	2148.84	3193.68	884.18	1657.27	1942.58	1258.13	1826.14	1824.13	1991.94	2514.52	2413.93	1356.14	1758.35	1863.0	1832.1	1777.23	2078.97	1862.24	1818.74	1947.18	1649.47	3457.13	3329.65	1859.48	2265.33	1777.91	2318.04	1933.44	2802.27	1626.71	1788.12	1953.47	2130.46	2298.86	2154.69	2061.21	2016.44	1866.14	1194.78	706.34	0.39	252.72	306.83	2809.0	1982.53	1918.3	2069.24	2203.15	1432.35	1509.92	1630.81	1563.84	1293.65	2047.15
Hcn1	3.27	8.76	48.57	7.68	2.22	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.77	8.07	20.71	59.62	32.93	23.33	25.39	45.0	34.65	66.87	12.08	20.83	0.0	26.12	0.0	4.32	0.09	3.76	9.74	7.49	2.92	8.76	18.16	5.02	19.09	2.92	0.15	0.3	0.38	4.57	0.05	0.04	14.19	43.91	45.44	0.04	19.57	9.25	3.77	2.45	57.56	0.0	0.92	1.56	0.14	0.0	25.86	32.42	22.51	8.27	0.0	0.0	0.0	0.0	0.0	2.93	0.0	11.66	0.16	4.1	2.01	9.53	14.18	7.79	0.0	22.33
Magi1	26.99	8.94	12.83	7.76	9.84	13.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	102.52	52.31	103.99	130.67	33.59	33.45	92.31	64.65	83.59	33.94	46.17	90.48	0.06	51.49	0.0	15.97	1.31	11.84	20.44	19.48	1.67	7.82	9.76	0.93	9.43	14.49	6.59	13.7	7.54	29.11	14.77	0.97	17.69	105.34	53.58	3.46	55.49	15.0	6.11	28.04	99.17	75.16	21.21	0.07	14.16	3.74	5.6	4.74	18.78	11.08	0.0	0.09	0.0	0.0	0.0	13.92	2.42	43.12	0.0	10.49	10.45	26.87	10.06	2.35	0.1	82.57
