	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_69	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_44	Ndnf_tdTpositive_cell_16	Ndnf_tdTpositive_cell_19	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_13	Pvalb_tdTpositive_cell_81	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_49	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_76	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_96	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30
Fxyd6	1258.92	0.0	1516.45	1315.02	2034.75	312.92	0.32	0.59	0.0	0.58	6.97	0.0	0.35	0.12	0.0	281.92	0.57	0.0	13.6	105.79	1975.2	1223.79	2025.66	2007.25	2291.2	1461.07	1368.79	1685.28	2253.15	2060.95	2099.33	2279.12	2422.83	2327.07	2923.97	2288.52	1793.9	2065.79	56.74	51.75	2354.93	277.53	0.31	1668.23	2887.92	1899.8	166.32	669.3	2182.04	2023.45	1507.95	1630.87	1572.19	2320.04	2571.73	2110.0	0.0	379.51	1738.28	1934.42	1156.97	0.0	0.0	2172.5	0.0	2600.93	1668.46	52.81	1530.91	2351.57	635.92	302.32	1668.92	7.18
Gm3317	25.14	1.94	10.22	35.52	9.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.56	0.0	0.0	0.0	0.0	13.57	0.0	4.03	10.86	13.28	0.11	18.01	20.69	20.0	5.9	4.04	6.81	4.51	11.3	0.73	18.28	10.79	5.48	3.98	46.66	0.0	0.0	3.93	0.0	5.7	8.52	58.19	17.73	3.32	34.54	21.97	4.0	20.88	39.01	11.54	13.05	43.66	10.79	0.0	0.0	46.64	4.72	0.0	0.0	6.58	28.71	3.81	0.71	6.74	0.0	20.61	17.12	8.49	0.0	4.66	0.0
Gm3494	25.14	1.94	10.22	35.52	9.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.56	0.0	0.0	0.0	0.0	13.57	0.0	4.03	10.86	13.28	0.11	18.01	20.69	20.0	5.9	4.04	6.81	4.51	11.3	0.73	18.28	10.79	5.48	3.98	46.66	0.0	0.0	3.93	0.0	5.7	8.52	58.19	17.73	3.32	34.54	21.97	4.0	20.88	39.01	11.54	13.05	43.66	10.79	0.0	0.0	46.64	4.72	0.0	0.0	6.58	28.71	3.81	0.71	6.74	0.0	20.61	17.12	8.49	0.0	4.66	0.0
Gm5424	201.74	45.21	4.71	377.85	441.27	117.14	0.0	0.0	0.0	0.0	0.43	0.0	0.0	0.0	41.81	0.0	0.0	16.43	0.0	0.0	571.2	314.49	321.03	202.4	387.62	102.98	589.46	203.58	235.03	335.25	291.95	345.12	172.8	473.62	642.86	201.66	464.1	433.54	0.0	0.0	499.45	0.0	0.0	310.59	229.05	361.3	0.0	113.05	380.37	456.63	357.61	465.62	318.24	376.53	255.3	579.47	0.0	0.0	143.01	309.21	190.31	124.49	88.98	407.2	37.32	357.66	43.97	89.79	312.26	478.55	105.62	0.0	525.64	0.46
Gpr151	206.85	0.0	0.0	67.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	106.04	0.0	1.03	0.0	208.35	82.8	0.13	27.3	105.49	139.05	103.19	0.0	188.96	152.67	0.0	0.0	0.0	0.0	0.0	0.0	117.95	0.0	0.0	89.25	126.4	124.19	0.0	0.0	80.45	89.3	12.42	55.93	125.47	141.15	87.9	50.04	0.0	0.0	126.77	109.63	0.0	0.0	0.0	106.97	0.0	36.67	0.0	0.0	39.49	0.0	0.0	0.0	101.77	0.0
Gucy1a3	128.45	0.0	0.0	95.2	114.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	69.41	156.13	11.8	1.28	62.38	3.03	150.84	98.62	50.12	45.26	129.12	49.49	51.93	148.96	177.3	133.57	140.57	133.16	0.0	0.0	185.94	0.07	0.06	108.68	126.56	65.63	0.0	77.47	12.05	116.78	176.79	64.28	93.64	48.45	26.9	115.45	0.0	0.0	172.84	57.45	0.0	0.05	0.0	87.89	0.0	38.32	0.0	0.0	142.03	71.83	0.0	0.09	84.55	0.15
Mpp7	12.8	0.81	0.46	32.58	0.97	3.06	0.31	0.28	0.67	0.73	0.97	1.35	0.54	0.87	1.67	0.67	0.99	1.17	0.75	0.94	46.86	64.46	0.23	0.45	11.69	11.65	4.35	17.79	26.24	7.27	32.63	0.48	46.73	40.54	15.93	93.6	28.54	36.56	1.39	0.49	2.32	0.62	0.44	5.67	6.52	40.27	0.43	0.45	36.17	0.27	38.74	42.23	0.29	28.06	31.97	10.21	0.12	1.18	7.68	39.55	67.34	0.07	0.23	5.49	0.22	0.78	0.94	0.42	41.14	0.27	0.09	0.55	3.13	1.52
Ndrg2	103.88	41.81	157.68	87.1	507.58	0.2	210.55	0.0	0.0	0.24	0.0	0.27	0.56	0.0	0.0	0.0	0.0	0.0	0.0	126.11	192.88	0.53	191.85	0.0	319.65	233.54	394.28	274.0	384.49	171.7	126.24	323.9	99.33	725.35	76.04	92.05	354.04	435.33	66.53	0.0	320.85	0.0	111.73	128.99	134.2	148.38	0.13	320.51	71.08	292.26	81.91	175.1	259.13	125.57	260.35	242.34	0.0	0.18	155.37	268.03	143.81	0.17	63.15	280.71	0.0	521.08	52.22	70.1	134.36	190.83	75.46	90.93	138.91	565.84
Npy	138375.8	56190.59	64781.64	173305.25	115124.65	43922.94	108594.8	96206.73	82245.2	42632.64	68542.73	67463.47	65548.38	57444.26	77711.12	45335.24	125016.83	59230.28	80627.8	63494.68	132042.44	105008.15	149629.49	134232.96	130357.56	105498.11	116117.28	120987.76	122165.94	132052.33	122154.33	122963.43	126501.28	117863.77	98464.67	102118.34	130527.91	173863.58	101365.79	73168.9	126989.03	45711.04	80801.23	166048.87	115420.41	191162.16	108906.97	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	110523.31	101137.64	151963.58	0.0	0.0	145032.54	180453.32	92572.95	48343.46	38762.64	128781.07	7487.26	137945.15	70964.58	49931.63	95298.15	137580.94	65503.76	65353.97	120620.2	68416.93
Pcsk2	180.69	2.54	2.13	221.77	128.1	0.0	35.17	48.56	53.84	55.9	86.5	87.53	1.02	64.33	82.98	0.0	23.88	51.52	1.2	42.32	158.34	166.47	100.0	57.13	132.07	130.52	136.25	204.8	130.88	137.42	234.47	48.61	290.57	224.27	306.38	110.52	102.44	48.65	18.98	6.69	188.94	0.0	46.63	162.06	211.69	89.7	0.0	37.92	117.88	312.5	258.93	222.54	150.35	189.76	361.76	139.03	0.0	0.0	107.49	128.49	1.2	0.67	0.65	220.11	0.1	234.2	46.2	0.21	179.01	136.13	3.7	1.55	94.17	6.35
Pde1a	1056.47	92.04	180.04	1042.27	950.26	1.24	0.3	0.14	1.02	0.0	0.32	0.0	0.43	0.65	0.27	0.44	0.23	0.31	0.27	0.61	1102.9	1125.21	1321.56	484.6	925.75	1069.64	799.63	564.5	1137.63	918.17	1297.96	1258.85	1191.38	798.18	975.98	1444.23	1333.84	544.61	0.62	0.23	1131.66	0.08	0.0	932.64	817.01	562.01	0.02	458.1	666.67	670.07	978.64	820.3	965.51	956.64	1201.44	653.65	0.0	0.0	667.13	704.18	34.5	96.52	425.11	1202.55	911.34	1140.82	206.39	109.96	1108.75	711.88	557.17	518.0	1090.81	0.81
Ptn	673.11	9.82	0.35	812.29	673.66	0.37	0.0	0.1	0.4	0.0	0.33	0.81	0.63	0.0	0.48	0.2	0.26	0.0	0.32	30.91	864.64	587.51	703.92	360.44	557.52	470.71	1000.84	823.94	768.82	861.01	682.03	883.04	774.06	540.5	667.62	782.49	733.15	500.94	0.0	0.0	853.93	0.15	0.0	439.66	511.49	734.62	0.55	307.65	832.36	785.19	618.37	534.27	610.7	491.59	769.29	474.09	219.31	248.31	668.26	503.95	0.34	34.74	0.07	1201.15	0.0	786.52	0.0	71.32	970.8	712.37	117.55	78.99	951.64	0.71
Rasgef1b	199.83	0.0	0.0	243.34	295.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	216.58	470.1	254.82	104.91	137.09	243.05	123.15	121.24	42.1	184.0	84.43	183.56	160.29	282.49	284.45	225.38	175.96	17.14	0.0	0.0	149.48	0.0	0.0	4.3	191.85	188.65	0.0	138.23	10.29	103.99	369.6	61.82	6.48	192.44	60.87	94.19	0.0	0.0	109.58	193.08	0.0	0.0	0.0	301.94	0.0	80.21	0.0	0.0	170.93	148.99	0.0	0.0	145.84	0.0
Rnh1	145.42	77.15	221.83	89.07	240.62	209.02	169.58	1.42	194.25	101.0	185.35	75.77	360.91	0.0	0.0	0.17	314.97	158.97	253.14	22.16	357.23	308.93	464.44	71.64	207.66	681.35	319.48	461.7	246.69	150.9	221.86	130.02	377.1	264.26	288.8	125.99	118.62	279.63	0.0	8.84	137.56	0.0	65.98	354.69	338.43	135.43	117.89	292.38	350.89	376.81	203.69	116.25	493.53	197.24	301.46	243.52	0.0	0.47	488.16	154.82	44.77	54.62	175.31	490.29	33.36	343.37	197.0	80.06	252.05	589.01	343.4	352.01	275.93	387.62
S100a10	494.79	0.0	36.64	184.01	455.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.87	0.0	425.02	431.38	350.08	277.47	454.26	526.93	365.61	903.19	358.96	224.73	488.49	383.05	528.32	436.98	338.92	383.95	577.54	494.38	0.0	0.0	634.18	0.0	0.0	632.0	575.42	659.79	0.0	937.13	367.34	694.01	542.78	295.85	989.02	527.93	755.47	424.53	0.0	0.0	528.71	789.68	185.13	0.0	0.0	383.4	0.0	788.99	0.0	128.52	841.59	587.03	149.63	0.0	148.51	256.23
Slc5a7	31.2	0.0	0.0	61.76	21.79	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.38	105.9	58.07	0.02	0.0	89.62	0.02	133.0	15.3	0.0	0.0	33.81	51.86	17.82	0.0	94.85	0.0	0.0	0.0	0.0	24.75	0.0	0.0	0.0	0.0	0.0	0.0	49.87	13.4	0.04	3.4	26.47	6.38	0.0	35.76	35.18	0.0	0.0	0.0	0.31	0.0	0.0	0.0	52.17	0.0	7.82	0.0	0.0	113.74	6.62	0.0	0.0	0.0	0.0
Slc7a3	636.91	0.0	171.58	347.18	400.99	6.23	0.0	19.64	162.97	132.63	14.3	0.0	0.0	0.0	0.0	0.0	2.15	0.0	102.62	0.0	800.76	223.13	393.12	206.53	705.0	719.79	386.13	890.69	691.96	556.94	666.01	511.0	574.41	851.11	494.24	372.45	364.55	330.7	0.0	0.0	638.53	10.18	57.83	429.97	904.79	360.78	0.0	87.12	459.18	344.21	647.36	369.21	528.41	379.68	479.8	615.76	0.0	0.0	1026.21	435.9	169.56	0.05	0.0	384.4	91.41	396.76	317.02	102.9	275.89	759.81	0.0	0.0	195.8	18.53
Sqle	90.15	0.11	6.36	69.73	43.03	135.78	3.43	0.0	0.0	0.0	42.57	0.0	0.0	0.0	0.0	0.0	19.22	0.0	0.0	0.0	150.39	45.79	33.54	0.04	63.49	49.82	25.04	65.62	42.29	101.42	150.21	81.44	38.02	64.12	48.74	0.0	45.45	0.0	0.0	0.0	0.0	0.0	50.23	52.71	78.88	78.21	0.0	79.13	0.0	43.79	106.68	13.18	0.0	60.56	92.75	0.0	0.23	0.0	65.88	39.21	0.0	0.0	0.0	24.24	0.0	37.24	0.0	0.0	80.23	63.99	101.63	42.38	0.03	0.0
Stmn2	1475.15	758.1	603.89	906.26	1155.77	598.58	424.17	335.36	319.93	374.61	465.24	495.75	143.06	666.17	289.91	659.42	447.34	526.03	457.09	206.41	1132.67	1260.16	1248.96	716.27	1303.96	1105.22	1324.46	1092.59	1336.89	591.11	1013.52	1101.85	998.0	1528.63	1186.93	705.95	1081.56	1417.23	851.98	406.02	1209.13	517.66	660.88	808.88	1392.26	1185.14	290.81	1274.12	729.19	1489.87	967.34	1532.08	1173.06	1093.36	1577.97	995.6	0.0	0.0	1247.16	1323.24	1189.7	305.05	534.14	1071.14	553.31	1207.33	538.72	802.21	1342.67	1619.82	844.23	395.52	1079.53	261.4
Uchl1	700.12	346.83	419.0	514.54	662.53	508.43	180.93	351.13	97.77	213.24	132.65	123.53	90.01	25.63	327.49	343.28	175.98	348.93	148.63	395.02	506.7	416.37	449.34	577.97	525.12	646.7	675.27	795.52	615.89	483.98	871.67	579.14	878.04	850.37	735.65	471.72	498.49	559.7	96.83	66.85	780.25	254.5	330.7	593.4	467.29	624.32	157.02	488.6	557.81	702.17	694.22	996.9	665.43	712.79	811.73	527.26	0.0	0.0	965.25	635.74	440.37	267.94	183.58	908.08	558.3	924.8	413.47	286.83	731.88	628.24	448.72	460.58	659.75	129.38
Vwc2l	35.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.26	0.0	0.0	0.0	10.53	29.38	41.24	0.0	32.52	72.39	0.68	22.2	27.16	49.05	5.87	63.6	7.42	33.92	0.54	8.57	15.99	20.53	0.0	0.0	0.0	0.0	0.0	17.24	44.36	13.59	0.0	0.0	0.0	0.71	0.0	0.0	0.0	0.0	34.91	59.56	0.0	0.0	0.0	13.79	0.0	0.0	0.0	5.0	0.0	29.28	0.0	0.0	45.49	30.98	0.0	0.0	4.88	88.33
