	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_6	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_20	Ndnf_tdTpositive_cell_21	Nos1_tdTpositive_cell_1	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_70	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_21	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_49	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Ckb	327.35	739.12	48.71	595.4	0.28	2.15	461.82	1075.64	0.0	0.0	0.0	0.0	0.0	179.48	756.07	416.8	437.91	1219.86	849.71	454.33	573.17	716.9	994.2	1197.73	1022.94	932.82	554.37	470.66	1184.07	395.6	931.53	344.55	642.09	961.48	1078.49	707.06	928.34	444.41	1018.61	745.95	653.96	681.68	1157.58	616.3	332.21	878.05	888.27	1756.08	959.73	695.75	2418.52	643.99	662.71	864.12	1739.78	1980.9	1894.6
Clstn3	69.51	167.31	64.61	137.48	0.0	0.0	173.88	209.35	0.0	0.0	0.09	0.0	0.0	0.0	235.63	30.92	102.44	161.95	159.76	65.22	127.47	170.97	161.06	178.13	248.96	227.29	83.95	141.0	309.29	169.52	201.46	8.57	0.04	188.92	137.72	33.34	98.78	171.38	76.33	96.81	0.0	0.0	162.25	54.39	160.09	26.55	241.58	331.66	102.36	103.99	394.12	27.17	138.06	193.47	267.26	260.8	270.08
Crtc2	7.75	0.78	0.0	15.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.26	0.18	0.0	0.08	0.0	0.0	0.0	0.0	0.0	17.78	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	21.44	0.0	0.0	0.0	17.7	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	12.49	0.0	28.63	0.0	0.0	0.0	20.45	21.33	22.04
Csnk2a1	22.07	16.78	6.29	51.64	0.0	0.0	47.32	5.72	0.0	88.83	0.0	3.55	0.0	2.11	16.25	4.09	9.23	4.75	34.19	3.28	11.9	30.3	46.11	1.56	15.59	17.64	4.23	11.03	10.77	14.63	2.15	8.41	0.0	9.45	18.61	6.36	6.0	4.52	5.53	4.83	0.48	2.77	11.36	15.86	17.22	12.19	47.84	12.7	11.51	20.3	6.54	2.94	22.01	3.81	77.48	76.29	75.41
D17H6S53E	30.12	49.83	16.91	51.45	12.56	7.17	101.05	60.13	10.79	2.45	2.63	7.1	22.04	11.32	11.59	11.18	25.3	17.19	7.72	32.06	21.16	39.41	10.21	29.46	42.17	46.58	31.86	40.87	28.37	33.89	29.91	30.82	33.55	7.22	31.9	28.58	39.24	25.4	18.98	19.54	24.76	5.22	40.95	46.06	22.25	36.12	124.04	69.41	94.57	25.17	60.26	21.09	22.58	5.85	12.19	13.84	12.8
Dgkd	11.9	0.0	0.03	0.05	0.0	0.0	74.53	77.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.15	0.0	23.98	5.15	11.22	0.0	0.1	2.16	0.0	12.0	16.42	0.0	0.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	33.89	0.0	0.0	0.05	24.52	0.06	0.0	3.44	0.0	0.41	13.36	18.68	0.07	0.05	0.05	56.24	56.97	58.22
Disp2	190.38	149.12	41.97	114.97	0.0	0.0	235.84	101.06	0.0	0.0	0.0	0.0	0.0	0.0	128.25	70.24	15.37	78.4	82.1	72.2	96.24	36.54	123.77	73.16	115.66	98.99	123.28	73.28	113.28	120.55	152.55	78.08	24.26	95.35	124.99	56.0	46.44	97.87	88.04	64.07	0.0	0.0	48.52	78.5	34.67	112.49	122.74	288.56	138.14	84.89	116.15	78.91	67.93	109.04	142.18	142.99	146.68
Dlg2	13.47	50.24	9.46	20.84	0.0	0.0	113.15	66.13	0.0	0.0	0.0	0.0	0.0	0.0	24.45	8.52	29.03	14.58	13.93	16.43	12.78	7.4	30.39	14.89	15.8	57.92	68.39	5.99	81.29	4.07	37.1	20.17	25.0	47.57	20.42	48.37	2.97	8.14	38.16	33.48	0.0	0.0	11.79	7.07	6.86	7.09	45.72	80.46	82.66	34.13	73.26	10.9	19.79	28.12	164.86	151.24	164.22
Dlgap1	85.99	111.24	18.82	15.19	0.52	0.0	35.17	54.85	0.17	0.14	0.0	0.0	0.0	0.0	36.38	31.69	80.77	19.84	32.39	36.86	104.52	96.5	56.19	40.9	27.18	21.17	28.98	32.39	86.28	64.11	129.24	24.52	0.0	71.34	31.41	1.77	15.89	3.62	5.34	75.68	0.0	0.0	36.15	7.17	69.55	34.6	76.35	118.72	50.31	39.33	166.29	45.18	29.34	50.75	236.7	227.58	247.69
Dnm1	22.71	32.91	1.51	8.22	0.0	0.0	25.77	32.14	0.0	0.0	0.0	0.0	0.0	0.0	13.97	18.81	0.03	0.57	32.34	29.95	22.74	15.88	2.61	9.78	8.72	1.36	36.06	21.22	22.97	0.76	16.44	28.7	0.37	5.09	16.71	9.78	1.46	0.72	6.65	20.33	0.0	0.0	44.55	0.3	18.09	8.02	30.9	104.02	12.26	9.23	25.7	44.14	31.16	47.77	785.48	840.55	821.55
Fam173a	74.9	190.55	363.23	154.19	0.0	933.41	257.67	183.39	2.93	0.0	0.0	0.0	0.0	0.0	133.9	192.66	58.45	187.05	36.32	29.16	128.78	42.78	99.62	211.59	203.91	262.83	86.27	126.97	190.13	34.84	98.53	0.0	92.21	21.79	250.76	52.63	226.02	38.49	178.62	163.36	0.0	0.81	389.39	136.95	172.6	123.62	295.52	269.13	340.86	142.72	503.99	137.15	72.37	267.86	81.03	94.96	88.86
Fam177a	6.75	0.66	2.26	3.78	2.63	2.8	61.73	10.18	0.15	3.42	0.0	0.0	1.95	0.0	0.75	4.6	0.97	5.07	14.74	10.07	22.21	2.3	7.08	3.74	10.01	10.53	5.51	4.19	4.03	5.27	9.6	1.07	11.48	12.89	15.79	11.15	2.03	3.87	8.65	12.08	0.87	0.48	18.26	23.92	11.71	8.08	4.82	6.97	3.19	15.19	21.12	9.76	6.64	1.29	17.56	16.4	17.92
Hsph1	102.17	81.55	10.38	29.03	0.0	0.0	177.92	31.12	0.0	0.0	0.0	0.0	0.0	4.71	24.98	48.8	76.29	41.2	8.35	54.55	114.17	2.48	61.36	89.15	127.85	0.0	76.48	84.93	184.7	46.07	87.36	118.19	3.84	110.71	87.15	55.6	31.53	179.71	31.45	100.05	0.0	0.0	54.03	53.82	76.24	6.38	104.62	149.97	127.84	34.37	334.45	29.83	0.26	23.92	238.03	226.06	225.17
Irak1bp1	2.83	42.34	2.42	0.0	0.2	0.0	99.72	3.34	2.47	0.0	0.0	0.0	0.0	0.0	0.0	0.72	0.0	2.03	1.76	2.46	0.53	1.03	3.75	0.0	30.45	27.06	1.71	1.79	2.59	2.5	0.0	0.0	0.0	30.99	0.81	21.49	1.94	27.58	0.0	0.55	0.0	0.0	2.1	4.44	5.04	5.88	47.79	13.67	22.32	8.13	13.02	1.8	2.5	1.57	24.24	24.16	24.23
Kctd14	0.28	0.0	0.07	0.0	1.07	0.0	1.26	0.24	0.61	0.0	0.0	0.0	0.56	0.81	0.35	0.03	0.52	0.02	0.41	0.11	0.1	0.35	0.3	0.19	0.49	0.19	0.49	0.11	0.0	0.0	1.14	0.15	0.31	0.24	0.18	0.24	2.12	0.11	0.23	0.56	0.0	0.27	0.63	0.0	0.58	0.0	0.85	0.88	0.41	0.12	0.46	0.37	0.22	0.18	2.75	2.52	2.99
Kif21a	56.53	65.63	53.91	41.53	0.0	0.0	58.35	102.45	0.0	0.0	0.0	0.0	0.0	0.0	54.12	51.9	3.08	27.2	49.52	39.69	80.26	48.19	53.32	59.4	75.42	50.87	19.25	68.33	38.77	47.02	13.38	27.93	37.89	16.53	20.36	10.27	34.7	22.6	36.05	33.53	0.0	0.0	62.87	23.34	73.19	57.14	52.76	86.4	60.14	29.31	113.12	20.5	58.44	7.37	98.02	91.74	93.03
Ndrg4	871.85	1072.41	338.91	716.37	0.0	0.0	1496.87	1075.17	0.0	0.0	0.0	0.0	1.92	0.0	1069.69	906.67	693.97	758.61	927.67	912.81	945.49	985.11	1256.67	869.02	1715.84	784.5	940.51	964.18	741.05	633.32	1135.89	600.75	470.11	722.71	1209.81	1169.29	1074.51	888.24	1035.58	583.92	0.0	0.0	1348.9	660.41	746.05	1177.69	1856.94	1025.73	1635.42	906.58	1546.36	767.51	993.09	801.6	1488.48	1567.08	1483.53
Nlgn3	0.99	7.36	0.32	0.82	0.0	0.0	92.28	45.47	0.0	0.0	0.0	0.0	0.0	0.0	6.03	2.17	0.89	1.65	27.15	1.45	19.81	2.46	7.76	35.04	30.57	56.36	51.81	29.38	25.59	3.14	29.63	17.69	0.0	1.57	0.74	38.76	4.87	1.68	15.77	26.71	0.0	0.0	0.88	0.41	35.17	2.25	11.36	9.75	2.49	22.38	47.48	30.4	27.83	43.31	50.02	47.15	49.14
Npy	138375.8	173305.25	40775.82	115124.65	0.0	0.0	57444.26	125016.83	0.0	0.0	0.0	0.0	0.0	0.0	132042.44	149629.49	134232.96	130357.56	116117.28	120987.76	122165.94	132052.33	122154.33	122963.43	126501.28	102118.34	130527.91	173863.58	126989.03	166048.87	115420.41	191162.16	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	110523.31	151963.58	0.0	0.0	145032.54	180453.32	92572.95	128781.07	23340.13	8484.11	7487.26	137945.15	32250.58	95298.15	137580.94	120620.2	214.21	196.57	200.76
Nt5c3l	48.55	34.92	67.91	60.28	0.0	0.0	141.4	1.84	0.0	0.0	0.0	0.0	0.0	0.0	49.28	74.68	0.09	0.24	1.0	36.32	40.64	0.45	93.79	107.75	51.09	35.32	92.76	0.0	0.0	41.91	0.35	58.09	0.69	0.0	29.51	68.53	68.41	9.18	38.24	45.0	0.0	0.0	48.48	18.02	1.96	97.14	0.0	0.78	0.34	71.73	218.25	0.14	47.86	42.31	45.26	52.14	47.71
Ntrk2	157.51	41.95	15.47	82.56	0.18	0.32	206.98	138.85	0.06	0.12	0.0	0.0	0.78	0.13	22.06	57.11	7.96	4.34	64.81	63.79	127.88	191.55	56.03	93.43	101.13	81.12	92.53	49.83	97.54	91.24	54.75	58.65	88.84	89.95	30.21	52.65	72.74	59.51	37.62	30.46	0.0	0.0	102.04	47.19	69.64	22.26	201.97	151.65	82.24	83.14	76.62	153.95	103.83	19.94	244.04	230.22	259.3
Pcnxl2	4.47	0.0	0.0	0.73	0.0	0.0	25.13	0.07	0.0	0.0	0.0	0.0	0.0	0.0	9.89	0.14	0.56	0.0	0.0	0.0	5.11	1.44	0.0	0.0	0.06	0.0	10.2	0.0	0.0	0.35	0.49	4.06	0.0	0.0	1.74	0.0	0.0	4.83	0.98	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	18.19	0.0	0.57	0.76	0.0	0.0	0.0	45.59	44.85	48.1
Ppp3cb	64.93	153.94	30.73	9.39	0.0	0.0	137.33	72.82	0.0	0.0	0.0	0.0	0.0	0.0	20.76	29.88	10.61	57.08	25.92	45.0	71.03	37.94	36.58	67.83	13.79	1.76	7.85	23.27	72.19	34.77	28.79	37.76	0.3	17.62	29.64	1.71	10.62	14.85	2.82	16.17	0.0	0.0	41.51	1.99	86.3	42.68	92.68	191.68	66.13	131.69	55.91	64.37	30.79	75.8	247.23	241.42	227.54
Ptprn	145.82	90.97	73.74	176.64	0.0	0.0	66.15	272.33	0.0	0.0	0.0	0.0	0.0	0.0	44.02	92.1	131.41	11.13	150.04	136.69	119.13	86.13	104.04	84.74	53.7	94.49	99.86	105.57	123.72	142.52	86.46	98.37	7.09	51.15	160.05	30.36	76.99	108.65	241.35	65.71	0.0	0.0	170.45	275.97	252.54	92.28	124.46	131.92	391.09	140.5	163.06	108.68	38.44	98.23	407.08	399.89	415.88
Rnf41	28.3	27.15	67.96	15.78	0.0	0.0	78.64	39.71	0.0	0.0	0.0	0.0	0.0	0.0	43.54	28.98	0.25	40.06	20.25	7.32	18.64	0.65	30.11	113.67	64.9	93.59	37.75	1.86	1.14	22.66	20.92	25.44	21.15	0.0	47.74	0.38	28.04	1.92	0.85	48.15	0.0	0.0	20.73	18.62	53.18	14.34	7.89	2.81	32.87	46.34	114.84	17.8	23.7	0.43	39.3	42.32	38.94
Rph3a	51.39	76.82	24.46	0.19	0.21	0.0	157.36	254.99	0.0	0.0	0.0	0.0	0.0	0.12	34.97	65.1	41.32	73.52	47.66	37.81	74.55	12.36	55.13	20.7	46.62	0.32	8.71	51.57	14.26	37.75	68.53	41.54	0.77	29.39	18.09	29.04	41.97	61.85	26.99	14.53	0.0	0.0	76.8	11.54	46.94	41.22	106.29	144.49	234.12	75.04	53.41	47.14	43.48	32.02	260.55	249.44	277.37
Rtn2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.01	2.6	0.16	18.97	0.0	0.0	0.0	0.0	0.0	0.0	47.4	0.0	0.0	3.79	0.0	0.0	0.42	0.0	2.02	0.0	0.0	0.0	0.0	0.47	0.0	0.0	0.0	0.0	37.21	0.0	27.01	40.24	0.0	0.0	6.57	76.31	53.14	21.7	0.09	99.3	107.58	102.88
Slc4a10	67.05	123.65	12.96	70.52	0.0	0.0	416.67	79.78	0.0	0.0	0.0	0.0	0.0	0.0	51.52	31.75	71.54	9.6	50.31	46.58	57.9	41.5	44.4	22.92	15.32	84.63	65.46	80.7	46.05	57.92	83.69	11.85	16.0	60.72	51.98	74.47	81.16	28.18	53.82	46.95	0.0	0.0	42.67	43.72	156.72	33.33	210.11	221.96	86.24	53.83	121.02	34.75	11.74	104.33	157.25	141.18	148.95
Srcin1	2.18	4.37	6.35	2.75	0.0	0.0	2.07	5.87	0.0	0.0	0.0	0.0	0.0	0.0	0.81	5.34	0.0	2.19	2.22	4.5	0.48	0.66	2.5	7.31	0.51	10.9	0.16	0.0	2.69	2.88	0.03	0.3	1.58	14.16	5.76	8.25	11.35	2.09	1.74	8.64	0.0	0.0	8.33	0.49	5.11	2.66	0.3	0.0	9.43	3.59	9.55	0.6	0.85	0.93	138.51	141.68	150.57
Tmc2	0.0	0.0	0.05	0.37	0.29	0.33	0.32	0.45	0.0	0.0	0.0	0.0	0.18	0.0	0.11	0.02	0.06	0.07	0.0	0.07	0.23	0.1	0.09	0.1	0.8	0.0	0.18	0.0	0.19	0.43	0.13	0.0	0.0	0.11	0.0	0.0	0.34	0.09	0.24	0.0	0.0	0.0	0.44	0.17	0.09	0.09	0.21	0.24	0.3	0.07	0.57	0.0	0.26	0.03	0.49	0.51	0.61
Tmem43	69.35	51.11	0.79	43.14	0.0	0.0	97.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.11	35.95	72.26	121.13	91.75	71.05	92.65	0.0	35.36	115.72	108.75	0.08	164.51	16.56	2.77	94.67	88.94	44.6	2.72	0.0	32.32	38.77	97.31	2.49	35.27	0.0	0.0	0.0	33.54	32.33	42.14	0.0	0.19	166.14	190.58	5.5	229.4	67.16	38.44	95.1	29.55	29.82	26.9
Tppp	103.25	150.05	46.61	71.71	0.0	0.0	209.62	278.5	0.0	0.0	0.0	0.0	0.0	0.09	80.41	50.11	120.82	1.52	43.77	55.26	16.89	105.15	93.71	67.24	78.71	106.73	98.01	56.16	69.73	43.55	40.25	69.79	2.01	76.78	80.53	15.08	166.33	110.18	91.82	30.5	0.6	0.12	41.29	61.51	51.22	27.41	149.37	91.58	172.99	55.75	420.76	16.48	44.61	20.64	324.41	303.85	324.15
Tusc3	25.64	68.48	57.68	89.53	0.0	0.0	419.87	139.05	0.0	0.0	0.0	0.0	0.0	0.0	37.57	26.41	61.77	0.15	36.31	7.67	30.96	23.7	38.87	5.29	77.77	61.75	107.86	26.72	36.22	32.04	1.97	43.17	4.5	61.02	44.43	1.77	26.07	0.0	1.42	0.0	0.0	0.0	34.96	8.5	35.66	30.21	5.83	224.57	86.08	67.86	5.46	5.23	16.88	40.83	339.79	358.73	329.81
Ubtf	5.86	0.61	0.74	0.18	0.0	0.0	30.02	10.1	0.9	8.17	0.0	0.0	0.0	0.1	0.2	0.21	0.84	0.19	0.07	0.15	6.19	0.0	0.18	11.82	0.27	0.86	0.16	8.43	0.13	0.22	0.0	0.24	0.1	0.17	13.91	0.13	0.07	0.31	0.46	0.06	0.0	0.0	0.32	0.82	1.66	0.07	0.48	0.36	11.07	25.61	61.93	0.46	0.0	2.46	78.31	78.64	80.03
Ubxn6	41.92	2.85	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	15.92	0.0	2.16	0.0	0.0	21.2	40.91	11.99	8.53	0.23	29.41	57.56	13.57	41.29	92.46	0.0	0.0	0.0	0.0	4.4	9.19	0.0	33.92	0.0	7.49	0.3	0.0	0.0	53.39	7.22	0.0	54.82	67.43	80.99	0.0	0.0	99.7	0.11	0.0	36.26	96.98	109.7	101.44
