	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_14	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_10	Cux2_tdTpositive_cell_98	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_68	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_44	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_19	Ndnf_tdTpositive_cell_20	Ndnf_tdTnegative_cell_1	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_18	Ntsr1_tdTnegative_cell_21	Ntsr1_tdTnegative_cell_45	Rbp4_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_10	Scnn1a.Tg3_tdTnegative_cell_13	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_49	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101
Fam45a	27.61	0.05	23.38	92.27	123.81	0.0	267.25	168.63	123.82	277.77	24.68	188.39	157.9	182.72	190.68	304.83	0.0	280.97	168.91	149.2	0.0	0.0	0.0	104.03	118.81	42.67	96.32	142.5	0.23	63.08	62.94	127.48	244.87	0.24	84.97	87.87	73.84	161.25	114.2	106.09	0.0	228.61	74.81	0.14	148.9	113.49	164.1	195.31	56.92	67.34	161.28	56.9	95.81	125.0	4.9	53.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.37	4.23	184.41	60.08	54.53	0.0	87.4	87.44	182.74	0.0	65.71	0.0	0.0
G3bp2	192.32	61.55	257.78	89.51	90.52	0.44	294.77	152.83	345.59	219.47	86.09	470.91	385.51	327.35	289.72	202.11	164.19	173.56	359.56	280.21	251.97	0.0	0.0	150.68	134.47	222.17	345.83	219.04	96.75	134.43	204.61	195.05	251.8	296.28	186.72	207.31	114.69	361.36	113.65	180.95	182.8	288.83	403.35	76.68	197.93	155.63	217.3	119.72	140.34	150.08	226.19	121.88	176.68	215.21	204.86	198.83	0.0	0.0	0.0	0.0	0.0	1.81	0.0	0.0	204.16	265.48	225.39	68.36	325.52	223.61	336.64	452.41	109.3	326.46	256.17	211.13	181.85
Gad2	320.61	306.46	411.41	203.84	371.93	0.21	1238.15	955.3	462.02	762.48	1445.41	1293.84	985.01	582.58	1747.26	899.36	1529.42	1076.3	998.58	453.92	719.42	0.0	1.86	245.09	196.34	314.59	34.12	318.35	156.94	162.81	429.15	333.44	378.8	396.67	294.55	483.26	360.75	360.07	204.55	301.16	198.65	1302.16	283.25	218.1	261.36	348.54	379.4	132.94	99.8	305.57	250.6	418.12	372.29	475.46	362.78	300.55	0.25	6.19	0.77	0.36	1.15	0.48	0.51	0.0	388.23	414.77	245.39	533.08	658.66	315.14	681.65	765.22	194.46	378.68	230.51	290.56	429.79
Gm20300	129.04	3.86	72.32	36.48	273.99	343.15	766.68	50.1	423.07	342.87	96.85	395.24	341.46	734.93	321.23	598.71	180.88	213.45	474.03	193.89	181.27	634.52	69.71	229.98	194.43	236.38	112.8	358.25	83.32	220.44	267.05	76.69	426.28	48.45	276.73	99.14	222.36	227.32	155.35	324.43	227.71	414.47	557.36	135.11	45.02	149.1	221.34	19.9	226.95	510.04	239.66	129.77	252.0	138.5	167.68	133.21	48.48	623.44	55.05	58.32	48.52	46.53	17.35	16.05	66.51	172.08	218.97	162.55	126.57	57.76	312.06	327.71	125.67	544.92	127.75	227.77	87.64
Gmfb	87.92	0.15	85.7	45.46	53.26	0.0	193.71	67.98	191.02	44.81	121.64	0.98	156.42	371.27	69.99	195.21	301.48	150.71	245.19	323.0	138.14	0.0	0.0	39.12	92.57	26.57	20.29	98.49	57.24	46.3	161.68	82.35	122.68	308.27	46.16	115.76	170.23	83.42	83.81	260.22	65.29	180.67	131.31	50.75	195.25	105.33	72.27	69.94	20.44	91.83	206.49	89.63	219.05	67.45	110.94	139.04	0.0	0.0	0.15	0.29	0.0	0.0	0.0	0.0	93.72	79.39	208.81	64.08	91.74	60.91	273.34	161.31	97.11	328.83	82.77	24.94	121.61
Gnb1	2182.12	145.12	1234.31	813.57	2075.82	1525.33	2126.64	2338.78	2732.11	2394.42	2551.43	2687.37	3085.91	2351.23	3221.74	3719.31	3325.05	2332.43	3121.18	2354.78	2969.55	884.18	1633.9	1657.27	1942.58	1258.13	1826.14	1824.13	1991.94	2514.52	2413.93	1356.14	1758.35	1863.0	1832.1	1777.23	2078.97	1862.24	1818.74	1947.18	1649.47	3329.65	1859.48	1777.91	2318.04	1933.44	2802.27	1626.71	1788.12	1953.47	2130.46	2298.86	2154.69	2061.21	2016.44	1866.14	1194.78	1229.33	599.13	252.72	362.61	306.83	756.76	546.95	2809.0	2476.09	1982.53	1918.3	1828.85	2069.24	3530.91	1904.4	2203.15	3172.58	1432.35	1509.92	1293.65
Gria3	15.14	0.02	16.08	4.12	1.22	0.0	278.23	240.78	63.22	116.85	32.36	106.4	248.04	160.39	156.83	399.52	462.6	123.31	82.1	67.24	128.85	0.0	0.0	9.91	46.25	20.36	0.05	45.87	0.13	0.94	35.67	4.44	3.37	30.79	0.07	0.0	38.48	7.11	48.65	13.52	28.84	105.19	11.32	22.78	24.04	53.1	179.34	0.09	29.36	24.07	22.78	0.06	51.51	56.14	0.22	1.27	0.0	0.18	0.0	0.25	0.0	0.0	0.0	0.0	42.33	359.0	29.15	0.63	494.06	107.9	270.54	288.3	8.22	0.0	53.73	12.74	39.18
Grik2	0.0	0.0	0.0	22.21	0.0	0.0	71.9	205.49	41.72	80.14	249.6	169.17	83.73	76.57	115.75	362.58	60.16	47.95	30.42	28.93	71.33	0.0	0.0	39.73	0.08	0.02	47.13	44.56	0.03	32.67	49.38	5.59	3.21	37.5	0.0	55.02	29.86	50.88	0.0	0.17	13.38	166.07	73.99	30.39	26.01	18.91	130.39	14.02	18.68	3.06	15.88	15.07	0.0	2.31	23.08	1.12	0.0	0.2	0.0	0.0	0.0	0.0	0.62	0.0	38.44	26.54	16.44	13.56	62.19	0.36	23.03	37.37	0.0	71.0	0.0	3.21	20.69
Med1	28.8	7.73	88.82	56.93	46.13	0.0	207.39	115.14	104.31	169.96	168.38	116.0	170.07	148.42	110.95	136.51	202.6	133.57	29.43	124.35	43.43	0.0	0.0	71.38	46.54	64.53	27.38	43.49	67.94	106.55	51.08	36.38	44.59	52.13	68.84	92.11	67.38	57.78	134.16	77.54	94.74	203.22	39.99	53.27	33.98	86.46	119.44	72.43	35.03	49.45	77.96	34.16	55.99	53.35	79.72	68.73	1.31	0.6	0.0	0.0	280.69	0.0	22.11	0.0	119.33	130.04	31.31	141.78	142.72	79.01	174.8	95.0	68.4	110.86	45.54	28.99	22.44
Mkl2	60.69	0.49	30.56	15.26	19.38	1.66	53.94	47.5	30.72	0.74	18.72	45.94	54.32	80.96	42.48	21.91	22.85	16.47	54.51	49.96	46.13	0.89	2.14	25.3	24.05	4.22	23.73	22.01	23.28	23.44	7.34	13.2	15.66	25.19	8.76	25.09	18.31	45.71	3.92	14.81	24.7	55.05	67.54	23.45	20.85	21.7	83.21	28.27	12.75	3.47	21.2	52.0	16.69	29.97	40.13	19.17	1.93	2.65	2.71	2.17	2.6	4.55	0.57	0.53	28.72	77.59	35.8	13.58	40.74	36.55	94.36	125.85	35.07	19.03	71.78	35.25	32.79
Morf4l1	1021.8	538.62	697.83	1037.0	903.11	695.69	1547.92	1115.46	916.93	839.83	1931.14	1288.15	677.7	1089.7	1186.27	1626.02	1131.14	1212.68	1291.43	974.79	1125.7	2943.01	34.89	671.4	697.92	630.72	1012.94	892.22	743.12	1301.02	746.66	845.91	965.9	970.42	1057.84	603.55	936.82	847.76	1089.82	894.87	387.16	1391.33	729.09	686.98	761.84	745.7	1147.76	517.88	840.28	681.82	618.32	1071.2	962.95	882.23	991.67	1076.32	199.93	157.53	580.2	207.04	34.23	223.23	171.06	152.65	871.45	1162.39	920.88	1140.86	1123.33	725.12	1671.88	1150.54	655.57	701.98	673.74	924.87	730.84
Ndrg4	871.85	217.64	1072.41	338.91	716.37	0.0	1644.63	2107.98	1422.06	1950.07	1579.81	1262.69	1798.16	1913.6	1496.87	3166.04	1009.56	1075.17	1612.59	1218.39	1449.26	0.0	0.0	1069.69	1279.17	906.67	693.97	758.61	1429.63	927.67	912.81	945.49	985.11	1256.67	869.02	1715.84	2179.26	2113.78	784.5	940.51	964.18	2258.5	741.05	633.32	1135.89	600.75	1255.29	470.11	722.71	1209.81	1169.29	1074.51	888.24	1035.58	1450.54	583.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1348.9	1082.32	660.41	746.05	1772.78	1177.69	1856.94	1635.42	906.58	846.27	767.51	993.09	801.6
Nmnat2	84.23	0.0	55.13	1.53	111.56	0.0	85.56	350.36	311.58	242.51	93.84	273.91	374.47	107.29	208.82	111.19	446.93	310.96	191.73	107.16	280.1	0.0	0.0	72.53	89.34	56.04	125.58	143.19	63.97	101.16	126.35	32.4	136.68	122.16	89.54	113.95	68.66	109.68	40.13	134.71	100.9	130.48	61.2	23.9	100.94	104.45	512.91	5.68	52.95	34.31	102.96	104.41	80.04	86.23	234.87	37.13	0.0	6.55	0.0	0.0	0.0	0.0	0.23	0.0	73.8	186.0	96.2	32.84	187.16	78.48	91.42	422.16	42.85	45.43	40.2	80.7	114.04
Npy	138375.8	0.24	173305.25	40775.82	115124.65	0.0	12448.57	43922.94	108594.8	96206.73	82245.2	42632.64	67463.47	6792.77	57444.26	77711.12	45335.24	125016.83	59230.28	34339.27	63494.68	0.0	0.0	132042.44	105008.15	149629.49	134232.96	130357.56	105498.11	116117.28	120987.76	122165.94	132052.33	122154.33	122963.43	126501.28	117863.77	98464.67	102118.34	130527.91	173863.58	73168.9	126989.03	166048.87	115420.41	191162.16	108906.97	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	110523.31	101137.64	151963.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	145032.54	28240.98	180453.32	92572.95	38762.64	128781.07	23340.13	7487.26	137945.15	48908.54	95298.15	137580.94	120620.2
Nrxn3	177.71	0.02	103.51	110.57	83.92	0.0	276.58	154.31	276.22	88.3	65.02	304.11	280.99	371.4	455.56	194.71	298.35	191.95	341.12	160.49	263.51	0.0	0.12	109.35	135.58	72.87	37.71	19.92	78.54	45.86	108.57	56.25	93.47	147.36	144.92	186.66	187.81	124.02	35.36	28.65	123.38	111.64	60.38	100.51	55.54	155.98	295.1	80.83	98.7	125.93	111.54	158.96	51.32	153.74	64.41	98.02	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	149.59	233.06	106.02	81.57	217.04	58.52	491.78	402.42	119.31	141.71	115.76	54.47	64.01
Paip2	377.43	82.6	398.94	493.3	344.88	0.0	778.22	458.15	594.28	806.32	223.07	525.09	592.44	786.57	457.1	1038.31	745.37	407.51	929.0	498.47	282.36	0.0	256.31	670.12	521.25	503.64	608.84	403.48	478.65	663.71	618.69	614.76	482.92	709.8	583.75	492.46	705.24	614.34	325.51	874.97	419.72	774.46	515.13	431.35	465.47	436.98	996.14	419.21	457.2	588.61	510.48	682.73	420.04	429.88	317.58	357.93	0.88	2.07	0.0	0.0	0.0	198.17	34.79	481.53	910.25	522.19	492.13	509.04	422.41	457.52	1077.52	983.14	605.97	726.54	638.5	392.94	549.55
Pja2	288.69	75.0	325.21	161.55	366.52	0.41	663.77	554.82	652.84	408.06	403.66	428.41	945.52	760.08	1045.82	46.03	607.23	566.83	377.5	600.67	253.79	0.0	0.0	439.49	342.88	395.31	462.24	409.0	363.35	493.1	382.66	382.84	671.13	399.34	420.4	397.24	283.52	410.24	142.88	300.42	233.68	504.57	424.67	375.63	338.92	280.31	568.81	93.22	377.74	368.79	295.86	291.16	249.62	450.37	273.65	278.41	0.94	0.21	0.27	106.74	0.0	0.0	6.62	0.0	383.76	372.39	355.14	294.12	503.95	455.53	430.11	628.16	517.72	568.26	207.94	303.26	163.42
Rock2	16.08	0.03	4.97	5.32	0.0	0.06	61.92	128.01	77.59	64.05	107.75	187.61	98.27	54.64	128.66	42.61	7.21	123.19	39.75	65.92	42.25	0.0	0.08	15.72	27.46	1.66	2.85	23.84	1.21	0.15	37.23	10.65	29.49	26.69	2.68	21.22	8.46	1.91	2.22	4.92	5.75	57.93	17.69	14.73	10.8	19.86	51.68	3.37	1.07	3.98	13.99	0.47	22.46	20.43	14.39	3.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.42	69.01	35.73	1.38	81.14	21.93	98.59	46.07	13.55	25.26	9.85	21.76	9.64
Rph3a	51.39	0.15	76.82	24.46	0.19	0.0	117.24	10.74	33.76	282.63	269.57	318.16	325.57	132.14	157.36	62.75	78.23	254.99	124.73	26.69	51.72	0.0	0.15	34.97	27.77	65.1	41.32	73.52	31.15	47.66	37.81	74.55	12.36	55.13	20.7	46.62	26.4	118.7	0.32	8.71	51.57	134.3	14.26	37.75	68.53	41.54	145.65	0.77	29.39	18.09	29.04	41.97	61.85	26.99	29.81	14.53	0.58	0.0	0.3	0.16	0.0	0.28	0.0	0.18	76.8	7.62	11.54	46.94	119.58	41.22	106.29	234.12	75.04	61.12	47.14	43.48	32.02
Scai	2.94	0.02	17.19	3.65	3.35	0.0	61.59	18.86	27.39	23.52	1.91	69.95	52.9	53.08	0.15	48.43	1.33	0.74	69.52	2.34	8.68	0.0	0.0	22.18	11.11	1.97	0.66	38.2	25.85	4.51	1.19	11.91	23.15	20.4	17.06	13.44	0.39	9.61	7.8	0.44	7.58	57.59	14.76	1.09	1.23	7.14	9.4	1.21	25.49	1.32	0.87	0.63	10.22	0.78	2.37	0.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.04	5.95	14.75	7.87	5.64	37.86	1.86	23.07	19.23	8.21	38.61	0.19	3.83	2.73
Scn2b	597.12	44.67	404.61	319.88	668.06	154.37	1029.63	864.69	1041.87	854.27	535.45	813.13	984.23	1117.1	609.34	756.64	319.77	594.0	836.1	847.17	498.08	0.0	0.93	571.63	508.97	430.86	395.67	538.23	477.22	545.92	731.12	445.31	728.59	762.72	629.16	548.15	613.57	643.53	751.96	734.12	497.87	794.65	631.79	507.09	922.54	489.16	1018.03	186.96	450.16	578.91	679.34	713.46	574.58	691.4	523.62	470.57	3.09	3.25	2.17	2.01	2.01	0.87	0.15	0.0	707.65	850.4	591.76	586.26	674.64	598.07	1254.55	827.24	444.04	752.53	485.79	475.03	401.74
Serpini1	222.34	10.31	629.5	95.2	254.56	0.0	1773.65	2047.34	4086.25	2699.99	2951.0	2475.19	3448.45	1590.32	2319.94	2693.55	2564.95	2916.33	1938.18	706.92	2044.23	0.0	0.0	384.73	588.5	252.01	369.76	544.88	543.58	573.38	256.83	585.17	535.66	383.25	404.61	193.37	184.55	532.33	161.67	347.99	252.13	1432.42	255.77	110.73	177.45	252.39	2488.97	187.07	238.75	242.73	92.17	148.81	47.2	278.02	414.64	313.39	0.2	0.0	0.0	0.21	0.0	0.0	0.0	0.0	353.54	1009.04	185.86	316.57	2797.87	453.04	1603.47	1399.6	215.79	446.95	419.53	300.61	379.06
Ubqln4	14.56	0.0	0.0	0.0	0.0	0.0	155.69	1.38	39.04	75.6	50.74	54.38	29.15	4.27	0.0	57.96	55.12	3.57	98.0	51.72	73.42	0.0	0.0	2.85	2.38	0.05	0.07	0.0	0.63	10.71	25.9	0.0	48.4	0.0	0.0	0.0	19.43	74.45	2.86	25.18	0.0	40.96	7.51	41.64	0.0	0.0	0.0	0.14	0.0	4.99	0.0	13.81	47.84	14.76	22.01	0.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2	0.0	8.72	17.55	0.0	0.0	71.06	4.29	1.11	10.82	1.13	0.0	35.19
Ywhaz	1164.86	468.42	867.02	911.44	1152.16	795.46	1280.07	1108.1	1068.39	1683.64	1916.57	1308.42	1916.16	2060.49	1826.71	2267.68	1931.72	1722.5	2903.8	1701.63	2426.83	489.67	168.26	1413.66	1361.26	1015.77	1658.33	1993.76	1509.66	1226.51	1803.03	1564.03	1356.25	1854.44	1315.14	1471.97	1100.73	1141.52	1221.05	1311.98	1042.33	1848.16	1284.98	947.1	621.87	1243.68	1624.38	1077.71	1257.19	1325.14	1344.64	950.73	1342.56	999.05	1364.99	1297.02	493.38	331.34	17.9	266.46	687.28	257.37	44.54	272.62	1657.88	1569.25	1245.42	1329.26	1770.68	1655.06	1828.92	1734.52	1529.72	2334.27	1379.6	1185.67	1533.03
