	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_5	Ctgf_tdTpositive_cell_9	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_19	Ndnf_tdTpositive_cell_20	Ndnf_tdTpositive_cell_21	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_23	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_3	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_165	Rbp4_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_1	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Brox	34.12	61.82	0.2	2.37	0.0	0.0	0.0	0.0	82.87	0.61	216.73	94.02	0.28	236.89	93.68	0.0	1.96	0.0	0.0	0.05	12.79	54.73	62.93	112.71	7.82	0.21	48.21	0.0	0.0	0.32	0.0	59.61	41.94	60.75	88.12	31.93	0.0	8.59	40.89	18.3	21.39	3.46	39.13	27.58	11.21	66.74	114.2	9.92	0.0	78.97	0.0	0.0	9.25	0.0	0.0	19.72	15.95	57.49	4.2	0.0	20.7	31.85	31.81	0.0	32.0	66.96	35.83	30.83	33.91	54.01	52.73	54.95
C530005A16Rik	21.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45	0.0	0.0	0.0	0.0	0.23	0.0	0.0	40.15	8.36	5.32	0.0	2.58	5.03	0.0	0.35	0.0	3.06	16.07	0.0	0.0	0.0	49.07	0.62	0.0	0.0	21.16	0.0	48.56	0.0	0.0	0.0	5.12	0.0	0.0	0.0	0.0	21.75	2.43	0.0	0.0	0.0	0.04	0.0	9.25	15.37	14.82	21.29	13.28	8.19	8.68	8.46
Camk2b	48.2	39.11	7.72	60.25	0.0	3.0	0.0	0.0	18.69	169.23	109.33	53.32	96.39	87.23	80.67	0.0	142.12	0.0	0.0	61.25	8.38	11.14	13.63	5.33	74.42	38.25	18.98	17.41	40.11	2.33	68.66	25.39	133.29	41.51	7.63	5.29	25.65	43.27	14.51	1.02	7.47	5.6	7.22	44.37	9.8	35.99	25.41	25.5	5.45	1.92	0.13	0.1	71.21	0.0	0.0	3.38	9.98	31.18	50.98	1.52	35.41	41.81	8.19	37.03	86.28	107.35	73.92	90.47	114.56	532.26	557.69	545.35
Ccdc97	0.0	0.0	0.0	33.94	0.0	0.0	0.0	0.0	0.0	1.69	59.35	19.68	0.0	0.0	2.69	0.0	0.0	0.0	0.0	28.61	0.0	0.08	0.0	0.95	0.0	0.0	0.0	1.21	0.1	0.83	19.32	8.8	14.3	0.0	0.0	16.83	0.0	0.0	7.65	0.0	0.0	0.0	28.71	18.2	0.46	3.03	3.48	26.22	16.92	12.16	155.04	0.0	5.28	0.0	0.0	24.8	0.0	0.29	0.0	0.0	0.06	1.42	0.0	0.0	1.19	9.93	13.26	10.12	9.52	36.38	38.7	37.48
Ccl27b	0.0	0.14	0.0	8.68	0.0	0.0	0.0	0.0	0.0	11.32	0.0	0.0	0.0	0.0	17.1	0.0	4.28	0.0	0.0	1.46	0.3	0.03	0.0	1.74	0.0	0.0	0.0	7.16	0.58	0.0	0.0	5.37	18.38	0.27	0.0	0.0	0.0	2.47	0.77	0.0	0.0	0.29	0.0	2.79	1.65	1.9	0.13	2.24	8.48	4.31	0.0	0.0	40.26	0.0	0.0	0.0	4.89	1.61	0.0	33.56	0.0	7.83	1.88	0.0	164.03	74.98	61.27	76.52	71.98	30.63	28.29	22.96
Cdc37	6.25	82.23	3.91	29.72	0.0	0.0	0.0	0.0	0.0	44.64	154.28	0.23	0.0	0.0	26.3	0.0	0.0	0.0	0.0	19.03	4.04	3.2	4.48	31.37	75.72	3.34	3.58	36.32	6.07	46.65	2.53	44.96	24.09	12.19	53.39	42.95	15.52	1.79	0.0	39.65	0.09	0.0	15.08	5.45	8.85	1.14	24.23	0.64	60.83	20.14	0.0	0.0	24.16	0.0	0.0	17.07	26.8	52.33	47.18	48.93	45.66	6.03	48.11	99.19	59.54	27.43	26.67	19.38	21.83	104.43	110.99	107.23
Celf4	161.4	79.46	125.34	300.5	0.0	0.25	2.37	0.0	122.8	256.16	238.92	60.68	31.36	123.06	36.19	0.0	269.62	0.0	1.52	153.84	128.1	66.26	299.24	175.95	148.95	88.52	64.94	153.12	224.32	231.4	233.47	243.79	107.21	163.62	207.49	162.01	116.99	92.04	151.14	97.02	72.41	93.79	369.25	118.07	93.35	94.71	132.43	108.34	106.24	119.84	1.65	0.17	105.93	0.0	1.58	99.61	215.68	219.27	217.68	82.62	54.03	115.07	307.51	26.16	96.61	116.97	82.01	82.88	74.07	266.86	243.03	269.08
Cherp	10.05	1.81	0.0	0.0	0.0	0.0	0.0	0.0	76.09	59.32	52.43	0.0	0.0	0.86	0.0	0.0	0.0	0.0	0.37	0.0	0.0	0.21	0.0	0.87	4.91	1.92	0.52	0.0	0.97	0.0	0.1	0.0	12.33	0.0	4.14	1.03	12.35	0.63	1.27	5.33	1.17	0.0	0.07	0.0	0.15	21.78	1.15	1.64	0.85	23.17	0.0	0.0	11.13	0.0	0.0	1.72	0.66	17.52	0.0	0.0	4.21	0.72	0.02	0.0	11.33	0.16	4.92	3.78	3.91	40.48	43.2	43.63
Cic	0.0	0.0	0.0	1.08	0.08	0.0	0.0	0.0	0.0	1.12	29.13	0.91	0.0	1.26	0.9	0.0	0.0	0.0	0.0	0.03	0.0	5.52	0.58	21.44	6.45	0.0	0.0	0.39	1.56	2.9	8.18	0.13	0.13	0.0	0.36	0.0	0.0	0.0	4.34	0.0	0.0	2.56	2.19	3.85	0.0	0.62	0.0	0.0	1.17	0.04	0.0	0.0	4.11	0.0	0.0	5.11	15.2	1.19	2.51	0.0	0.65	0.05	3.32	0.0	3.39	0.53	0.77	0.84	1.63	62.1	63.8	66.06
Clcn7	33.33	48.9	10.88	2.14	0.0	1.01	0.0	0.0	68.15	27.62	89.41	16.17	31.56	20.72	0.74	0.0	0.0	0.0	0.0	0.0	15.88	4.68	0.7	0.0	11.03	0.05	51.95	2.59	0.0	1.08	27.3	3.17	1.45	0.0	0.0	0.28	0.0	0.0	22.47	5.92	0.0	82.63	0.0	3.01	0.0	0.0	0.0	0.0	0.0	11.46	0.0	0.0	5.82	0.0	0.0	2.1	0.0	32.53	12.7	1.63	1.73	0.0	0.02	0.35	4.68	18.84	6.71	7.74	8.4	36.73	37.43	39.43
Cmtm4	8.66	0.0	10.39	0.03	0.0	0.0	0.0	0.0	0.0	0.96	26.21	2.5	0.0	0.0	0.0	0.0	0.0	321.05	0.0	0.0	0.98	0.0	0.0	0.0	0.0	0.1	0.07	0.0	5.54	0.0	0.0	8.78	0.0	0.0	0.0	1.9	0.0	3.84	4.48	0.0	13.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.91	0.0	0.0	0.0	5.09	0.0	0.0	2.89	0.41	0.0	6.34	0.0	0.68	7.67	0.02	0.27	2.22	1.38	2.89	2.77	2.92	59.02	56.14	57.0
Cnot7	26.15	0.0	7.1	45.11	0.0	0.0	0.0	0.0	63.66	53.3	180.2	11.64	0.0	51.8	0.0	0.0	0.0	276.38	0.0	24.25	20.51	0.11	0.0	65.87	0.09	0.1	0.11	60.86	39.84	44.18	0.52	46.77	36.4	26.97	11.87	60.65	28.7	42.26	41.8	9.15	0.0	0.0	23.54	0.0	19.26	2.35	0.0	6.05	20.75	62.13	0.0	0.0	54.36	0.0	0.0	8.34	16.85	19.84	99.6	0.0	28.92	7.63	11.66	87.27	11.64	11.75	31.18	29.26	28.36	75.27	68.94	71.07
Cyth1	0.0	1.63	0.0	7.51	0.0	19.28	0.0	0.0	0.06	5.37	27.01	0.18	0.0	4.2	1.29	10.19	2.1	0.0	0.0	0.37	9.27	8.25	9.14	0.0	0.0	0.0	0.0	0.39	0.0	0.0	12.28	0.64	1.9	0.0	0.0	0.0	1.19	0.0	0.0	0.0	1.09	0.0	0.0	8.54	0.0	0.0	0.0	0.05	20.34	0.0	3.07	1.94	8.63	0.0	17.05	0.0	0.0	0.28	0.0	34.49	0.0	2.82	0.0	0.0	0.45	1.73	2.0	2.53	3.22	67.03	75.5	69.5
Dcaf5	0.0	36.77	1.3	0.28	0.0	0.0	0.0	0.0	0.72	0.0	147.47	45.48	0.0	0.89	46.65	0.0	0.0	0.0	0.16	0.43	3.62	9.64	0.95	0.06	0.0	0.98	7.81	7.77	0.0	18.1	0.07	0.07	48.22	0.0	6.31	12.09	17.44	0.3	3.8	1.58	0.04	0.0	7.06	25.33	18.01	23.84	4.83	4.39	0.36	19.02	0.0	0.0	4.76	0.11	0.0	0.0	0.0	27.48	16.28	0.08	5.65	5.42	38.45	0.0	14.33	4.0	5.22	9.84	9.14	44.87	46.47	44.07
Ddx28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.24	68.78	0.0	0.0	0.0	61.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.28	0.0	0.12	0.13	0.0	1.79	0.0	0.0	0.0	0.0	0.0	3.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.71	0.0	0.0	0.13	0.0	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.77	0.74	0.0	12.79	14.15	12.66
Ddx3x	32.36	18.81	115.22	21.56	0.0	0.09	0.0	352.49	5.02	121.38	225.3	101.08	0.0	179.36	95.46	0.0	2.58	0.0	0.0	35.73	87.13	76.82	26.27	60.44	31.33	93.66	63.06	77.46	9.35	74.0	56.37	33.03	33.98	11.63	1.85	0.0	15.58	77.24	3.29	52.41	59.47	0.0	40.02	0.18	2.11	27.55	5.04	46.67	0.15	0.0	198.11	0.0	36.23	87.0	31.62	59.67	0.0	0.06	25.89	0.0	42.62	16.2	51.53	112.88	37.95	14.51	45.03	39.95	34.64	185.5	147.02	142.87
Ddx47	87.77	0.0	104.81	0.15	0.0	0.0	0.0	0.0	167.95	153.38	421.73	87.85	0.0	51.1	88.37	0.0	126.12	4.3	0.0	108.88	62.51	5.4	8.84	91.11	0.23	0.18	23.23	139.59	0.18	66.23	99.9	39.96	195.9	0.0	151.33	0.16	53.91	130.37	106.65	107.2	0.0	0.0	82.75	1.56	111.63	121.37	3.77	106.24	275.75	7.79	0.0	0.0	118.95	0.0	579.58	243.77	180.37	119.13	35.63	0.0	17.38	34.31	1.86	0.0	134.04	194.34	118.99	126.94	128.69	51.57	53.62	52.3
Diap1	0.0	19.82	0.0	12.53	0.0	0.0	0.0	0.0	2.09	0.0	22.39	0.13	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	6.68	0.0	17.35	14.42	0.0	0.0	2.74	0.0	0.0	4.97	2.61	0.0	0.0	0.0	17.21	0.0	1.79	0.0	0.18	0.0	0.0	0.0	0.0	0.47	0.0	0.0	0.0	0.78	0.0	23.04	0.0	0.0	0.0	3.37	0.0	0.32	1.56	4.8	1.48	1.89	31.57	29.64	29.39
Dmap1	2.15	0.0	0.0	106.38	0.0	0.0	0.0	2.31	0.13	0.0	173.32	64.15	0.0	0.83	0.0	0.0	0.0	0.0	0.0	124.51	0.0	0.0	69.37	55.06	0.09	0.34	40.75	36.17	0.0	132.51	181.58	6.54	51.67	0.0	57.1	11.17	60.21	0.0	0.0	49.05	0.0	0.0	0.0	55.7	0.93	51.1	0.37	0.11	0.0	95.13	0.0	0.0	15.67	0.0	0.0	7.93	118.06	58.97	31.52	0.0	60.93	0.0	60.46	0.0	35.83	29.07	15.66	22.45	17.75	31.72	34.05	29.68
Dnm1	22.71	56.48	32.91	8.22	0.0	0.0	0.0	0.0	4.35	140.37	156.69	26.37	0.0	25.77	32.14	0.0	54.12	0.0	0.0	13.97	13.5	18.81	0.03	0.57	4.76	32.34	29.95	22.74	15.88	2.61	9.78	8.72	24.23	17.51	2.08	36.06	21.22	22.97	0.76	16.44	28.7	0.37	5.09	16.71	9.78	1.46	0.72	6.65	19.87	20.33	0.0	0.0	36.26	0.0	0.0	44.55	0.3	8.02	9.23	20.35	44.14	31.16	47.77	1.11	37.3	44.2	23.9	26.56	27.18	785.48	840.55	821.55
Dock3	6.03	8.05	15.26	7.51	0.0	0.0	0.0	0.0	1.52	19.96	84.7	75.58	4.5	25.92	11.66	0.0	2.19	0.0	0.0	6.92	2.47	15.2	9.05	0.31	1.06	11.04	0.54	20.73	0.03	9.71	13.25	10.87	11.03	11.97	4.41	0.73	3.59	17.67	1.09	3.39	0.26	5.78	0.17	0.78	8.7	0.22	1.67	8.2	1.46	1.53	0.0	0.0	21.91	0.75	0.0	11.37	1.34	7.66	15.09	6.7	23.16	0.23	1.4	5.69	26.8	23.96	17.56	14.59	16.2	112.39	109.71	116.14
Dpf1	3.67	13.01	10.26	40.9	0.0	0.0	0.0	0.0	7.8	15.37	21.14	0.0	2.17	4.43	20.2	0.0	4.16	0.0	0.0	3.01	0.0	0.59	9.37	2.49	13.08	16.16	1.22	2.02	7.52	5.1	2.46	19.28	11.02	8.66	49.29	9.3	7.34	4.0	6.12	10.26	6.68	24.79	10.45	14.35	7.35	4.64	4.95	18.19	3.99	29.03	0.0	0.0	24.66	0.0	0.0	6.19	4.94	10.22	5.16	6.99	5.49	0.8	1.83	0.0	13.62	10.87	19.86	14.26	16.23	47.74	50.08	44.62
E130012A19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.36	0.0	0.0	0.0	6.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.35	0.0	0.0	0.0	0.0	0.0	0.0	15.07	0.0	0.0	0.0	0.0	2.14	2.58	0.9	3.71	2.99	69.45	79.18	76.51
Efhd2	46.4	36.14	81.34	71.89	0.0	0.0	0.0	0.14	55.9	3.45	51.27	2.13	13.29	44.37	12.3	0.0	0.0	0.0	0.0	31.82	51.17	14.57	10.81	67.07	22.31	25.07	118.12	48.16	14.23	58.48	37.42	48.29	5.64	37.0	60.98	37.7	3.88	2.97	40.65	61.54	32.09	0.0	1.82	31.11	4.45	61.8	34.12	29.28	15.55	0.1	0.0	0.0	61.85	0.0	0.0	1.33	52.04	110.14	91.31	52.87	75.05	44.42	42.36	85.74	142.54	183.35	130.74	108.17	112.36	252.09	258.98	262.64
Eif4e2	76.23	11.95	2.59	92.35	23.49	0.71	21.33	0.0	112.46	3.54	148.15	1.8	8.48	20.61	1.9	1.09	4.77	67.06	0.7	29.19	17.93	12.78	0.96	0.53	3.43	1.74	11.22	3.21	2.56	14.9	2.03	56.27	83.98	22.51	4.83	35.3	1.7	71.29	32.15	91.58	24.13	2.13	2.77	0.54	36.25	36.8	54.05	1.41	27.37	21.41	1.34	0.71	22.99	0.4	0.0	1.45	28.11	51.79	19.93	34.67	15.83	15.17	24.83	2.41	46.78	47.73	27.47	36.09	31.2	38.48	36.43	35.26
F930015N05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.06	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.02	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.07	0.0	0.08	0.0	0.0	0.0	0.07	0.0	0.0	0.1	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.08	0.1	0.99	1.02	1.08
Fam124a	0.0	0.23	0.22	0.08	0.17	0.0	0.0	0.0	0.06	0.06	77.55	0.0	0.79	0.13	51.28	0.63	0.44	0.0	0.0	3.06	0.0	0.04	0.5	0.16	0.09	0.18	0.08	0.07	0.0	0.17	0.0	0.33	0.94	0.09	0.0	0.33	0.47	0.0	0.2	0.07	0.0	0.06	0.0	0.0	0.13	0.0	0.18	0.0	0.11	0.0	0.0	0.0	1.43	0.0	0.0	0.1	0.14	0.08	0.1	0.27	0.06	0.0	0.09	0.2	3.72	0.43	4.35	4.26	3.69	16.6	18.12	18.55
