	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_6	Cux2_tdTnegative_cell_7	Cux2_tdTnegative_cell_12	Cux2_tdTnegative_cell_15	Gad2_tdTpositive_cell_16	Gad2_tdTpositive_cell_39	Ndnf_tdTnegative_cell_7	Ntsr1_tdTnegative_cell_14	Ntsr1_tdTnegative_cell_17	Ntsr1_tdTnegative_cell_25	Ntsr1_tdTnegative_cell_28	Ntsr1_tdTnegative_cell_33	Ntsr1_tdTnegative_cell_45	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_19	Rbp4_tdTnegative_cell_21	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_39	Rorb_tdTpositive_cell_54	Scnn1a.Tg2_tdTnegative_cell_16	Scnn1a.Tg2_tdTnegative_cell_18	Scnn1a.Tg2_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_21	Scnn1a.Tg3_tdTnegative_cell_24
Hexb	0.0	5784.1	4129.96	0.59	9703.91	7645.24	829.78	0.0	0.66	0.0	0.55	419.15	3235.83	0.32	0.0	9085.15	11425.52	9582.1	11826.06	4963.47	14686.96	6526.15	9514.71	5704.07	0.19	545.7	404.75	0.0	0.22	7523.75	9635.73	6387.25	15255.32	7550.23	11212.15
Hk2	0.0	11.64	22.41	0.0	573.91	245.74	0.0	0.0	0.0	0.0	0.0	0.0	96.91	0.0	0.0	310.3	21.68	36.69	399.88	0.12	366.71	678.39	303.48	45.94	0.0	0.0	0.0	0.0	0.0	161.43	562.74	6.8	335.76	304.31	392.59
Hpgds	7.54	1853.86	424.68	0.53	1416.6	484.87	0.0	0.35	3.55	0.25	0.81	0.37	126.22	0.22	0.0	821.07	152.85	402.72	450.25	594.33	92.99	451.93	603.32	985.79	0.34	0.85	0.0	1.49	1.98	7.59	24.85	602.36	4.91	49.97	433.76
Itgam	0.0	290.83	218.66	0.41	59.58	88.05	1.54	0.51	0.36	0.0	0.73	0.0	578.42	0.41	0.0	2005.34	1246.54	395.49	532.16	514.57	496.7	378.14	437.25	1000.67	0.0	0.04	0.13	0.0	0.0	20.33	72.34	55.26	34.36	6.04	358.67
Itpripl1	0.52	439.68	200.78	2.89	377.05	890.7	3.23	0.76	0.67	1.25	1.47	1.29	1.37	0.36	0.29	3.05	128.12	9.45	477.71	1.61	485.62	306.84	2.01	159.31	1.78	1.15	0.78	2.12	0.18	0.95	392.21	221.4	255.45	2.67	620.86
Lgmn	436.7	2628.86	2227.74	0.3	9297.66	3909.35	795.08	0.0	0.0	550.17	0.45	0.0	274.31	1.29	1018.71	43.22	3115.87	5917.92	7652.0	2725.5	11627.33	3511.68	4322.78	1988.08	0.0	542.99	0.15	855.58	0.66	6697.49	3677.97	7205.01	8628.1	8.69	1817.57
Ltc4s	0.0	576.97	2356.11	0.0	867.96	557.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	104.82	0.0	0.0	1236.27	2.37	1882.53	2926.8	355.04	1109.09	0.0	0.0	0.0	0.0	0.0	0.0	660.11	1106.52	3197.78	1382.91	0.0
Marcks	0.0	1781.47	1402.4	61.47	2254.46	3515.34	0.0	162.52	47.25	0.0	0.59	153.15	1388.59	117.39	0.43	2065.89	1530.49	1223.5	742.29	1031.79	1892.46	640.47	1066.49	1685.52	202.7	1.6	0.94	1.02	25.63	2810.57	1174.7	1736.76	2798.64	3181.85	1817.02
Mlxipl	0.0	2.38	226.03	0.0	236.47	38.35	0.0	0.0	0.0	0.4	0.0	0.0	28.19	0.0	0.0	107.52	5.77	6.54	530.7	0.33	0.0	0.0	2.33	11.88	0.11	0.06	0.0	0.0	0.0	9.53	0.63	0.0	0.0	41.13	1.59
Myh9	0.0	57.7	74.72	7.12	206.93	146.0	11.02	7.41	0.0	0.0	0.0	6.74	137.01	6.4	0.0	243.0	39.38	30.39	100.87	143.55	19.71	89.65	87.61	21.84	7.24	1.74	0.11	0.19	6.83	20.26	209.46	99.33	79.59	163.62	32.01
Myo1f	0.0	0.0	141.9	0.0	181.57	4.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	238.11	0.08	0.0	345.15	38.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93.14	337.33	6.9	0.0	0.0	147.29
P2ry12	0.0	4181.21	13295.6	0.24	25090.58	9260.27	0.0	0.0	0.0	0.0	0.0	0.0	8837.34	0.0	0.0	11889.88	9803.34	8124.36	13351.98	9434.58	10299.18	5934.88	8143.45	9607.12	0.0	0.0	0.0	0.0	0.0	11440.47	5352.31	8230.27	8480.82	6509.93	13001.22
P2ry13	0.0	775.83	3050.37	0.22	6023.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.31	0.0	0.0	1727.83	1304.46	744.51	1093.36	1199.41	4382.02	951.78	2805.14	1971.57	0.0	0.0	0.0	0.0	0.0	1849.2	868.94	1811.19	825.38	593.53	2433.1
Rgs19	0.0	0.0	0.0	0.0	1558.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	290.41	0.0	0.0	0.0	0.22	4.71	1379.98	0.45	0.0	3.69	0.0	0.0	0.0	0.25	0.0	0.0	0.29	0.0	1108.32	514.22	1061.9	0.0	380.22
Rgs2	0.0	233.36	375.15	0.0	2281.45	1426.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	28.08	850.93	0.0	2228.89	0.82	616.22	370.91	675.6	0.35	0.06	0.0	0.24	0.0	1384.06	744.13	1189.24	701.5	0.0	376.67
Rpl10	551.35	4239.48	1569.73	0.0	1768.54	1552.62	0.0	0.0	0.0	0.0	1389.61	1379.85	3140.48	522.75	0.81	3313.91	0.85	1686.55	2586.38	452.2	1759.76	1813.38	2329.34	3119.45	1.4	1037.46	775.21	1316.34	42.76	1868.67	0.0	3402.87	3684.35	711.9	1486.89
Rpl11	0.0	1191.39	821.59	335.02	598.64	374.93	0.0	0.0	1112.99	0.0	1056.15	323.01	2.48	195.48	0.0	878.62	1975.88	2647.66	943.97	21.06	1892.41	1153.17	1128.86	1264.26	1.93	131.68	0.0	0.0	0.0	1494.0	670.89	510.88	1196.92	1556.6	1102.3
Rpl17	0.0	2273.69	451.16	573.42	687.75	480.05	0.0	0.0	0.0	0.0	123.16	64.42	811.3	153.96	118.6	207.38	1240.26	1286.91	387.43	555.53	712.3	2152.92	0.0	211.71	1.44	0.73	0.0	0.98	1.67	130.74	0.0	15.33	1983.28	636.13	660.96
Rpl18	1.81	894.23	252.04	462.03	2877.21	0.0	0.0	1.53	0.0	1.22	556.97	555.48	1118.42	988.77	1458.79	1173.15	114.22	705.08	2598.2	614.96	198.82	1536.64	409.67	0.73	680.52	0.0	281.86	2.26	0.0	0.0	0.0	0.0	665.69	1607.54	1012.57
Rpl18a	12.78	2548.76	1413.82	0.0	1826.87	1972.79	5.76	0.0	0.0	247.02	261.98	186.12	2781.57	477.55	3.38	1882.8	1553.02	1716.84	1489.39	870.78	4569.77	4879.39	1360.34	1434.6	2.24	216.47	660.2	437.31	96.13	1669.13	1249.6	1671.8	2410.08	2120.82	2815.32
Rpl32	0.0	4350.68	1529.85	274.95	1681.83	1793.24	249.51	0.0	0.0	0.0	504.66	297.13	1776.25	330.74	0.0	1527.68	3810.63	2349.72	0.0	3308.53	1649.78	3962.75	647.6	2104.21	608.69	2.33	673.33	1.58	654.31	471.96	432.04	1701.22	2610.77	1415.5	1422.85
Rpl35	1029.4	3376.26	1217.65	322.29	1733.13	1374.64	0.0	0.0	467.8	297.04	0.0	999.58	3107.83	11.89	0.0	2704.98	2695.69	1402.42	1242.13	3542.37	3078.74	5421.94	817.92	1811.85	260.55	295.33	189.14	37.46	241.77	1414.41	0.0	2339.75	4056.76	1811.34	1223.91
Rpl36	132.4	1502.01	1959.43	0.0	952.13	2051.86	417.14	550.79	462.44	603.0	689.2	585.5	1956.79	1236.0	0.0	609.2	2425.03	2701.28	0.0	1456.53	1297.05	2045.26	1161.47	1250.35	0.0	851.01	0.0	322.17	796.96	412.26	0.0	1020.67	733.72	372.11	772.76
Rpl37	3.48	1366.15	644.57	0.67	639.62	392.67	221.03	0.0	0.0	295.16	0.0	183.26	1424.16	178.72	0.0	514.95	842.11	1164.37	426.23	979.84	1356.5	1250.74	430.92	1014.59	303.38	54.32	160.06	358.09	0.49	455.98	548.71	1707.29	853.37	908.17	797.8
Rpl37a	502.49	1829.21	1007.12	280.46	1334.03	1146.27	125.1	0.0	601.91	139.14	220.04	151.05	2450.55	351.21	172.67	82.0	1373.52	2084.91	609.13	1710.78	987.93	2258.36	1155.32	1651.42	103.89	316.74	169.55	0.0	0.0	1282.51	288.42	1359.82	1312.22	806.64	415.57
Rpl38	0.0	2037.25	463.6	258.38	1759.56	147.27	0.0	1103.1	0.0	0.0	1018.37	671.05	1720.46	268.22	0.0	305.84	320.76	955.96	0.0	10.94	584.17	1714.01	537.74	1821.76	275.21	528.44	0.95	352.8	0.0	0.0	863.94	1395.54	1245.11	617.3	666.83
Rpl4	495.73	1697.93	1374.81	444.61	181.16	1078.86	0.0	0.0	0.0	0.0	158.18	0.0	2124.14	425.68	27.47	1190.95	975.97	1557.56	1793.1	880.73	2508.94	1009.72	488.07	1138.84	94.41	5.61	1091.88	1261.22	41.55	2854.65	20.06	1923.19	1614.55	778.75	1026.82
Rpl41	229.04	3480.79	1737.66	742.52	1783.87	1658.85	554.01	575.52	0.0	1121.48	573.43	505.42	4509.02	936.29	34.94	2171.21	3683.76	1236.03	2207.2	1376.25	1635.59	3374.92	1363.9	2412.05	1100.1	88.56	988.16	355.88	1432.44	2738.71	5.73	2862.55	993.32	2403.56	2174.02
Rplp0	204.37	1218.93	822.32	353.19	0.0	928.4	0.0	695.16	0.0	0.0	0.0	0.0	993.85	0.45	0.0	1.53	1020.96	1391.16	1806.92	0.97	1575.19	1735.07	1062.7	225.31	328.22	1.2	286.39	3.24	427.0	0.0	6.9	194.46	675.02	0.0	456.71
Rplp1	280.26	3505.44	1325.1	1.86	908.65	1157.9	14.44	841.45	0.0	153.85	412.65	1.3	1737.89	81.38	0.0	900.96	990.53	759.58	842.39	1816.54	1557.44	1377.28	754.19	90.89	338.39	360.75	4.07	6.86	0.0	19.96	23.59	2639.51	1194.57	1431.76	1833.86
Rps10	0.0	1435.64	0.0	0.0	341.29	558.01	505.76	0.0	0.0	0.0	0.0	0.0	3.87	0.0	0.0	905.18	1074.07	725.82	929.75	66.94	1402.88	844.19	0.34	155.9	0.67	1.01	0.0	2.73	2.32	0.0	8.69	334.69	606.08	517.24	11.87
Rps11	680.99	7057.18	1992.11	325.11	1554.95	2184.53	0.0	0.0	0.0	0.0	235.19	366.82	889.83	16.14	0.0	1212.17	3491.32	0.0	1728.3	953.3	3591.7	5145.62	2391.63	3101.81	462.96	478.18	60.28	785.55	169.36	1194.75	2496.7	1359.29	1337.38	595.16	2214.0
Rps14	2006.22	5026.27	2199.07	1654.58	2240.36	2654.26	481.06	772.35	724.92	1602.93	486.17	296.46	3481.66	422.45	0.0	2851.14	4083.22	2210.01	2912.14	4132.11	1374.3	3640.89	1521.35	4718.48	1014.5	53.59	553.36	1112.98	1617.25	4100.03	661.7	3246.54	1334.72	2000.71	2204.62
Rps18	0.0	3326.99	2835.31	433.13	1510.64	1417.02	0.0	0.0	0.0	152.86	1372.66	827.74	1151.38	3.77	1820.77	1993.41	0.67	1935.24	5156.02	18.82	4063.25	6688.38	2723.91	4240.14	4.43	559.0	1209.95	0.0	35.08	981.16	828.84	497.38	3424.31	2313.75	731.07
Rps19	290.17	3294.24	3135.82	843.66	1237.74	1513.11	20.74	0.0	2324.51	364.86	808.52	234.82	3386.59	4.82	579.74	579.45	3540.89	1049.53	1589.96	1955.2	0.0	6591.45	1784.34	2353.14	1.21	305.64	732.45	0.0	0.0	1379.99	728.17	875.78	1450.22	2421.13	1546.51
Rps20	0.0	475.12	1315.17	0.0	1180.92	1252.78	0.0	0.0	0.0	369.78	0.0	337.56	0.0	0.0	0.0	789.81	42.95	550.5	784.06	349.68	374.59	926.07	666.83	528.67	287.91	0.39	243.05	0.0	0.0	0.0	1080.99	821.94	460.77	480.12	612.89
Rps23	510.23	2483.77	3222.21	0.0	1714.8	2318.3	307.3	1361.86	0.0	0.0	3.26	347.48	2969.69	181.74	619.77	1021.75	5677.26	3496.53	3643.78	2709.44	4691.19	3533.04	2341.32	1927.95	283.14	345.8	240.44	445.5	356.55	1472.81	1176.07	1011.93	3923.25	3062.99	1317.04
Rps25	361.48	1958.63	1166.07	467.93	40.95	1821.59	0.0	540.99	57.6	737.34	0.0	759.09	1845.33	196.36	850.72	1555.95	1897.0	240.93	1526.27	712.96	986.81	2756.44	1260.45	1774.25	330.15	3.05	225.82	277.34	249.77	2309.85	901.08	1246.7	1118.47	2431.56	2117.36
Rps29	334.37	4600.26	1527.35	353.12	3267.45	3099.09	131.9	290.66	336.06	235.7	270.6	0.0	6859.57	208.06	82.29	4099.64	4171.97	3138.25	1647.73	3149.15	3315.26	6769.79	2874.17	5949.42	361.49	2.6	311.42	0.0	60.0	2054.4	449.07	4703.36	4137.48	3819.95	2654.93
Rps3	381.67	1097.88	477.33	61.12	0.0	1184.75	0.66	429.11	0.0	104.66	269.13	0.0	1029.06	224.47	0.0	1.1	10.27	2186.14	1309.62	990.27	361.08	1077.87	535.82	996.84	169.68	15.36	0.46	552.79	0.22	298.89	681.76	747.0	2008.64	238.61	885.34
Rps3a	719.15	2514.89	708.47	0.0	2422.55	1763.66	0.0	0.0	0.0	0.0	574.1	0.45	2448.97	357.15	0.67	1532.92	505.01	2626.97	2506.72	1915.26	2666.5	1055.06	1175.02	1774.71	1.95	427.61	8.18	3.97	810.17	611.18	0.0	213.21	1824.71	2372.72	895.33
Rps9	1037.17	2985.98	2577.53	0.0	3070.84	2400.24	442.43	0.0	698.86	885.41	1098.93	254.33	4355.62	4.54	1273.55	2041.16	1882.32	1.72	2961.63	1230.23	3753.37	3194.96	2749.58	1637.8	290.45	687.24	834.87	45.77	194.18	1859.54	789.73	2192.84	2427.49	3098.65	1753.34
Serinc3	59.43	547.52	108.92	30.4	1380.39	280.49	30.78	0.17	44.4	24.33	1.0	0.0	458.33	41.95	1.21	529.91	1089.76	133.31	993.67	388.06	288.45	306.56	204.61	696.69	12.71	20.92	0.5	0.92	26.71	501.49	256.33	164.01	316.54	313.96	92.76
Sft2d1	0.0	80.37	1137.1	340.55	1711.56	1029.63	0.0	0.0	249.69	0.0	0.0	0.0	694.08	0.59	0.0	2491.1	0.32	574.0	706.77	1.91	1039.92	1684.21	0.0	0.0	472.81	0.0	0.0	8.52	0.0	0.0	840.95	2426.44	0.0	1202.19	638.2
Socs3	0.0	0.0	106.39	0.0	178.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.91	240.76	0.0	0.0	0.97	0.13	0.17	0.0	17.04	0.21	0.26	0.0	0.91	4.77	0.0	0.22	0.0	67.77
Sparc	0.0	5761.72	4296.18	0.73	3249.05	3189.9	413.87	0.0	0.0	0.0	0.0	0.0	3391.66	0.0	1.33	6431.96	6296.9	3088.98	3494.47	1848.76	5247.95	2212.29	5314.81	4604.03	226.66	0.0	0.0	0.0	0.18	4597.24	5682.78	2347.05	4133.35	6592.17	3773.27
Susd3	0.0	1387.41	639.44	0.0	1806.36	343.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.4	3915.92	2907.63	2891.96	210.31	2035.97	1947.45	0.0	1668.43	0.31	0.0	0.0	0.0	0.0	622.35	0.0	615.48	1914.13	1492.27	1117.68
Tgfbr1	0.0	271.21	158.07	0.0	109.14	72.54	0.0	0.0	0.0	0.0	0.0	0.0	372.72	0.0	0.0	2095.49	1582.07	1021.37	204.88	929.76	2109.4	113.38	315.14	229.0	0.0	0.0	0.0	0.0	0.0	316.26	79.12	748.26	931.84	426.52	282.82
Tpt1	0.0	11.84	13.37	0.0	0.0	646.62	0.0	0.0	28.05	0.0	0.97	127.82	1922.65	109.19	0.0	68.21	1161.05	2505.55	1811.61	1635.89	2101.78	1292.78	528.45	1410.1	90.71	20.16	247.74	37.84	412.85	849.41	484.62	1.19	0.0	499.09	7.36
Trim65	0.0	0.0	0.0	0.0	162.59	96.38	0.0	0.0	0.6	0.0	0.0	0.0	0.45	0.0	0.39	0.84	0.45	0.28	228.02	4.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.35	0.25	0.0	0.15	0.2	0.0
Tyrobp	0.0	2800.15	6150.06	0.0	12019.91	4723.17	0.0	0.0	0.0	0.0	0.0	0.0	4172.61	0.0	0.0	5845.37	4554.17	4283.87	10844.77	8188.75	3839.02	4914.06	12524.34	8783.34	0.0	0.0	0.0	0.0	0.0	2192.91	5765.95	5858.21	2484.26	4809.17	6512.34
Unc93b1	0.29	1130.39	56.67	0.0	57.05	62.15	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.0	0.0	111.64	1039.3	755.73	298.9	554.41	0.53	1661.28	226.93	757.39	0.0	0.0	0.0	0.0	0.0	0.25	1431.85	1144.98	606.41	12.51	0.64
