	Calb2_tdTpositive_cell_53	Calb2_tdTpositive_cell_58	Chrna2_tdTpositive_cell_69	Ctgf_tdTpositive_cell_4	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_9	Cux2_tdTpositive_cell_51	Cux2_tdTpositive_cell_123	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_3	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_6	Cux2_tdTnegative_cell_7	Cux2_tdTnegative_cell_12	Cux2_tdTnegative_cell_15	Gad2_tdTpositive_cell_24	Gad2_tdTpositive_cell_25	Gad2_tdTpositive_cell_30	Gad2_tdTpositive_cell_39	Gad2_tdTpositive_cell_41	Htr3a_tdTpositive_cell_14	Htr3a_tdTpositive_cell_17	Ndnf_tdTpositive_cell_20	Ndnf_tdTnegative_cell_1	Ndnf_tdTnegative_cell_4	Ndnf_tdTnegative_cell_5	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_7	Ndnf_tdTnegative_cell_10	Ndnf_tdTnegative_cell_11	Nos1_tdTpositive_cell_30	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_72	Nr5a1_tdTpositive_cell_23	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTpositive_cell_13	Ntsr1_tdTpositive_cell_35	Ntsr1_tdTpositive_cell_78	Ntsr1_tdTnegative_cell_11	Ntsr1_tdTnegative_cell_14	Ntsr1_tdTnegative_cell_16	Ntsr1_tdTnegative_cell_17	Ntsr1_tdTnegative_cell_18	Ntsr1_tdTnegative_cell_23	Ntsr1_tdTnegative_cell_25	Ntsr1_tdTnegative_cell_26	Ntsr1_tdTnegative_cell_27	Ntsr1_tdTnegative_cell_28	Ntsr1_tdTnegative_cell_30	Ntsr1_tdTnegative_cell_45	Ntsr1_tdTnegative_cell_56	PvalbD.Slc32a1_tdTpositive_cell_35	Rbp4_tdTpositive_cell_29	Rbp4_tdTpositive_cell_59	Rbp4_tdTpositive_cell_157	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_166	Rbp4_tdTpositive_cell_182	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_12	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_19	Rbp4_tdTnegative_cell_21	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_39	Rorb_tdTpositive_cell_54	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg2_tdTnegative_cell_6	Scnn1a.Tg2_tdTnegative_cell_16	Scnn1a.Tg2_tdTnegative_cell_17	Scnn1a.Tg2_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_1	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_21	Scnn1a.Tg3_tdTnegative_cell_24	Slc17a6_tdTpositive_cell_38	Slc17a6_tdTpositive_cell_41	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_27	Sst_tdTpositive_cell_100	Vip_tdTpositive_cell_61	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_3	CAV_VISp_Contra_tdTpos_cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
0610037L13Rik	0.0	437.47	275.63	0.0	0.0	0.0	447.45	399.44	0.0	0.0	0.0	0.0	170.7	0.0	0.0	0.0	256.29	0.0	0.0	0.0	338.73	31.78	0.0	0.0	787.54	0.0	0.0	0.0	219.92	67.92	19.61	0.0	86.54	248.31	3.94	139.34	318.86	1347.1	143.16	0.0	3.76	0.0	0.0	0.0	397.16	170.54	0.0	0.44	0.0	0.0	0.69	190.96	223.29	81.55	230.67	121.99	21.57	153.52	163.37	0.0	672.39	350.79	0.0	893.75	0.0	318.47	0.0	0.0	0.3	0.0	0.0	83.67	573.34	0.19	0.0	0.0	0.0	0.0	186.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.38	319.29	47.71	0.0	2.04	757.48	127.04	108.23	80.89	54.82	56.89	97.2	308.74	31.74	29.48	26.74
0610040F04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.48	0.0	0.0	0.0	0.33	1.69	0.0	0.0	0.8	0.0	0.0	0.0	0.0	1.7	0.0	18.41	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	165.97	0.0	0.0	0.0	0.0	0.0	9.41	0.0	0.0	0.0	0.0	0.0	0.0	1.42	0.32	2.34	15.25	0.46	1.55	1.75	0.64	2.74	0.0	0.0	0.0	1.65	0.0	0.5	0.0	2.53	17.14	0.0	0.0	0.0	15.83	0.0	0.0	0.0	0.0	0.0	0.0	2.07	1.37	6.77	0.0	0.0	0.0	1.66	0.0	5.15	1.06	0.0	89.51	0.21	0.91	0.45	0.82	3.04	0.36	0.52	2.5	0.89	2.02	1.53	3.04
1700001C19Rik	0.0	0.55	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.92	0.0	0.0	0.0	0.0	0.55	2.23	7.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57	0.0	0.0	0.0	3.68	0.92	0.0	0.0	0.0	0.31	0.0	1.78	20.27	0.0	0.49	1.2	0.0	0.0	0.0	0.0	3.27	0.68	0.0	0.0	0.63	0.0	0.18	0.0	0.52	1.29	0.0	0.27	0.23	0.52	0.9	0.0	0.0	0.19	8.29	0.52	0.0	0.0	0.0	0.67	0.0	0.0	0.06	0.0	1.96	0.0	0.0	1.0	0.0	0.0	0.0	0.54	0.0	0.0	1.17	0.0	0.0	0.91	0.0	0.22	1.06	0.0	0.0	1.08	1.52	1.11	0.59	0.3	0.23	0.38	0.0	0.31	0.26
2010012O05Rik	0.0	93.3	31.14	0.0	0.35	0.29	0.0	36.31	0.0	0.7	0.2	0.21	1.28	166.25	0.64	183.23	69.13	0.65	184.38	0.0	44.87	75.41	214.92	147.02	136.71	139.9	0.24	189.2	0.0	13.0	26.13	0.0	41.22	122.18	8.5	36.98	0.1	449.59	52.15	1.85	86.66	0.0	0.21	0.54	1.14	1.16	0.4	0.45	1.0	0.0	5.37	59.66	69.75	16.27	36.59	49.86	14.36	18.52	0.63	0.0	0.96	0.0	82.24	0.65	0.65	3.34	2.6	1.69	0.0	0.53	0.53	0.54	0.16	0.49	0.0	0.26	0.0	0.46	0.35	0.48	0.13	1.6	0.0	0.0	1.15	0.59	23.76	72.45	19.73	24.12	0.12	467.45	36.41	27.79	60.06	47.05	41.21	64.36	69.18	21.83	22.03	20.8
2410114N07Rik	1.81	3.61	1.91	0.0	0.41	0.0	0.79	3.7	0.8	1.09	1.26	0.0	0.0	0.0	2.47	0.0	1.94	1.47	10.07	1.17	1.44	0.0	0.0	0.0	0.0	0.48	0.0	0.0	5.11	0.0	1.25	0.0	0.94	1.61	0.47	1.31	0.43	47.84	0.0	0.75	0.0	5.45	0.0	0.0	10.05	7.55	0.0	0.0	0.0	0.67	6.78	3.51	0.76	0.76	0.86	1.01	1.57	2.55	0.0	0.0	0.77	0.0	0.54	5.08	0.0	1.23	0.98	2.98	0.0	2.39	2.98	5.01	0.76	1.67	0.0	2.13	0.0	0.45	0.0	6.7	3.02	1.51	0.23	1.11	0.0	0.44	0.68	0.0	0.0	1.33	3.24	0.42	1.44	1.36	4.01	0.0	1.51	0.39	0.0	0.69	1.32	0.89
2810008D09Rik	77.77	0.0	0.0	0.0	0.0	0.0	62.6	203.27	0.0	0.0	0.0	0.0	0.0	0.0	309.13	0.0	0.0	0.0	0.0	0.0	0.0	6.73	0.0	0.0	0.0	0.0	59.08	0.0	15.13	0.0	0.0	0.0	135.0	2.67	23.6	0.0	34.55	860.78	0.0	0.0	0.0	2.99	0.0	1.05	0.0	0.0	0.0	0.0	0.0	213.81	0.0	0.0	0.0	140.66	0.0	86.31	51.71	49.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.33	233.41	0.0	0.0	0.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	478.73	0.0	98.25	0.52	0.0	47.74	1.37	30.89	27.04	89.24	43.38	59.33	38.87	0.0	42.36	49.35	59.25
4930539E08Rik	2.07	2.32	10.67	0.0	5.41	2.3	9.54	15.26	1.24	9.35	10.57	3.93	7.62	4.14	0.33	2.61	9.42	3.86	4.83	4.16	7.8	1.67	4.24	1.99	4.41	7.32	2.63	7.1	6.04	3.38	3.36	7.53	5.69	10.82	0.99	8.22	3.18	162.89	10.83	13.62	1.33	8.16	3.62	0.13	3.05	5.88	6.8	0.69	5.65	1.13	8.53	9.21	5.47	6.89	10.56	5.49	3.46	7.02	13.03	2.68	6.83	1.12	3.48	1.46	0.13	6.88	1.93	2.92	33.1	4.56	22.07	18.12	12.03	1.72	3.92	7.0	0.83	0.84	2.26	9.54	7.28	2.05	1.22	2.51	9.63	6.63	5.44	5.21	2.11	5.47	3.03	4.85	4.16	4.1	4.18	3.15	5.15	4.82	3.65	9.63	8.55	9.86
9430008C03Rik	4.47	2.17	2.47	0.46	0.14	1.04	6.78	2.09	37.0	1.2	190.69	1.03	3.08	1.77	2.42	3.26	5.1	0.34	13.27	0.77	0.36	0.0	0.0	3.78	0.66	4.59	4.3	13.91	3.2	7.03	3.23	2.95	1.8	2.82	1.95	1.56	1.27	748.03	2.34	0.84	6.29	1.26	0.0	1.09	2.87	2.7	200.61	3.13	5.28	1.56	23.35	1.34	59.84	1.26	6.69	17.98	3.04	6.69	7.55	17.37	0.57	2.74	0.17	8.22	4.84	4.87	0.88	10.5	0.55	3.28	1.77	1.44	4.96	0.19	4.69	1.48	2.53	0.51	11.89	0.0	4.31	0.0	0.0	4.02	2.69	16.66	4.32	1.18	1.29	1.42	56.76	0.07	9.11	1.97	6.85	3.09	5.76	4.63	2.17	9.17	8.49	9.03
Adck3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	51.31	0.1	551.22	0.0	24.99	0.0	0.21	0.0	1.72	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.61	0.1	122.81	3.64	0.84	0.22	49.2	0.0	0.0	0.0	179.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.28	1.96	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	2.8	0.0	0.0	0.04	0.0	30.06	5.69	19.22	21.93	16.52	22.18	0.0	21.66	25.15	20.67
Agap2	0.0	0.0	6.94	0.0	0.0	0.0	9.24	7.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.56	0.0	0.0	0.0	0.39	1.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.52	1.49	6.24	0.65	16.16	15.89	0.86	16.84	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.63	0.0	0.0	0.0	0.0	2.03	2.52	4.62	7.67	7.74	10.87	1.23	10.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	1.28	0.0	0.0	2.1	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.02	4.21	1.91	2.87	1.11	2.34	5.52	2.27	3.17	4.67	2.46	5.91	3.24	422.27	459.59	467.65
Ap4s1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.98	18.48	0.0	0.0	41.44	191.53	0.0	0.0	0.0	136.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.05	50.79	4.15	8.17	7.68	3.61	54.0	0.0	0.0	207.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.5	0.0	0.0	0.0	0.12	159.29	6.52	8.01	16.25	19.64	3.3	11.92	0.0	59.25	59.9	58.08
Arfip2	0.14	0.0	138.56	0.0	0.0	0.0	0.0	26.06	0.0	0.0	0.0	0.0	1.52	0.0	0.0	0.0	6.43	0.0	0.0	0.0	0.27	0.0	0.0	0.0	8.04	0.0	0.0	0.0	0.0	0.0	4.96	0.0	57.29	5.61	1.24	12.6	6.56	547.0	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.32	71.64	0.0	82.67	0.0	12.2	0.0	2.67	0.0	0.0	0.0	0.0	0.0	0.2	0.11	0.0	0.0	0.0	0.0	1.4	41.04	0.45	3.25	0.0	0.0	0.0	298.85	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	8.91	1.13	0.0	69.99	0.23	14.65	41.18	32.01	10.12	15.26	14.57	0.0	65.0	68.22	65.46
Arhgef10l	0.0	5.36	0.0	0.0	0.0	0.0	0.0	0.0	67.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.34	0.0	0.0	0.0	0.0	0.0	3.2	0.0	0.0	0.0	0.0	0.0	0.0	6.57	0.04	2.13	0.0	0.0	0.0	0.0	276.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.45	0.0	0.0	0.0	0.0	13.73	0.0	2.93	0.0	45.77	0.0	0.0	0.0	0.0	0.0	153.29	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.0	2.98	0.0	2.25	0.0	0.52	1.4	0.04	1.18	0.0	26.99	30.38	29.12
Bbs9	0.0	0.0	21.14	0.0	0.0	0.0	0.0	34.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	33.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.97	62.65	0.0	29.59	0.0	0.65	0.0	0.19	1206.14	23.37	0.0	0.0	0.0	0.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	87.21	100.66	0.68	3.38	0.38	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.05	0.0	0.0	0.0	343.06	0.0	0.16	0.08	0.0	0.0	0.2	236.55	0.23	0.0	0.0	0.0	256.14	0.0	0.18	0.0	0.0	0.0	0.08	1.23	0.0	325.36	11.22	0.85	40.06	7.82	13.5	16.83	46.94	10.06	12.28	10.93
Cacna1d	0.0	0.0	0.33	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.69	0.0	0.0	0.0	0.25	11.29	0.0	5.64	0.0	0.0	0.0	0.0	0.11	0.0	2.28	0.74	32.76	0.0	5.56	3.98	0.82	266.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	1.39	6.65	23.3	14.69	4.32	0.95	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	1.41	7.37	0.31	0.0	0.0	0.04	7.71	9.39	13.64	5.47	6.73	5.57	19.07	24.27	21.97	25.63
Camk2b	0.0	0.0	265.32	0.0	0.0	0.0	25.57	548.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	24.0	0.11	0.0	0.0	45.5	11.22	0.0	0.0	0.17	0.0	0.07	0.0	0.0	0.0	31.53	0.08	28.68	68.89	64.79	96.95	117.57	40.73	0.0	0.0	0.0	0.0	0.0	0.79	0.0	0.0	0.0	0.0	0.0	0.0	1.84	77.12	115.26	203.92	249.52	71.21	119.09	219.94	0.0	0.4	0.0	0.0	0.0	0.32	0.18	0.0	0.0	0.0	0.0	0.27	0.18	0.56	0.0	0.0	0.07	0.0	0.0	0.0	37.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.07	61.76	3.38	1.43	62.39	158.81	80.23	74.51	93.62	79.21	85.35	114.56	50.42	532.26	557.69	545.35
Ccl27b	0.0	0.0	4.51	0.0	0.0	0.0	12.68	62.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.0	246.84	20.98	200.74	275.99	694.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	27.72	0.0	0.81	0.0	118.85	149.26	145.89	40.26	25.16	93.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	9.5	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.18	3.38	0.0	18.49	52.38	0.11	132.22	177.66	103.08	54.7	75.81	71.98	0.43	30.63	28.29	22.96
Celf5	0.11	0.33	128.92	0.0	0.0	0.0	47.85	35.55	0.0	0.0	0.0	0.0	0.0	0.18	0.11	0.45	14.12	0.57	0.46	0.28	0.12	14.33	0.0	0.15	0.41	0.0	0.0	0.0	1.04	0.0	38.25	0.79	44.46	9.69	24.49	37.57	32.17	174.96	0.0	0.15	0.0	0.0	0.0	0.66	0.0	0.0	0.5	0.31	0.82	0.66	1.43	1.5	23.87	34.36	80.52	24.53	43.74	21.62	0.45	1.46	0.0	0.0	0.0	1.04	0.15	0.0	0.07	0.0	0.0	0.39	0.32	0.17	0.29	0.07	0.0	0.2	0.0	0.0	0.0	0.23	0.0	0.0	0.14	0.09	0.0	0.0	31.12	52.91	11.41	4.64	2.57	0.59	18.37	27.83	23.71	20.32	32.23	57.82	28.8	163.01	160.05	172.09
Celsr3	0.0	0.0	0.0	0.0	0.0	0.0	0.34	27.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.01	0.63	0.0	1.32	14.04	0.0	80.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.57	0.0	1.06	1.69	0.62	1.91	6.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.31	0.0	5.08	0.0	0.0	0.0	2.31	4.48	2.08	1.25	1.38	1.66	1.66	42.74	41.54	46.86
Cnot4	59.34	0.0	44.75	0.0	0.0	368.45	22.64	69.2	147.78	0.0	0.0	0.0	11.55	0.0	0.0	107.76	107.79	0.0	0.0	0.0	65.1	48.34	0.0	87.38	38.52	0.09	4.51	0.0	147.22	2.29	165.36	0.0	19.65	179.75	3.52	38.77	53.4	685.5	0.0	4.67	0.0	201.47	0.0	0.52	69.38	168.93	12.94	0.0	0.0	133.96	0.0	0.07	30.58	10.61	86.82	26.9	20.68	15.59	0.0	0.0	0.0	0.0	207.12	0.0	0.21	111.75	69.31	0.0	0.0	0.11	0.11	0.31	0.0	10.93	0.0	0.12	0.0	0.0	0.0	368.31	0.0	0.0	0.0	0.0	3.72	145.23	13.2	46.16	2.13	30.43	0.75	15.22	66.77	60.25	33.87	33.53	57.83	49.49	0.0	19.68	17.91	19.78
Cog6	0.0	0.0	68.22	0.0	0.0	0.0	80.46	8.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.76	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	173.35	0.0	0.0	0.0	118.25	836.84	0.0	0.0	0.0	9.63	0.0	0.0	0.0	212.35	0.0	3.25	20.05	0.0	2.16	179.91	0.0	2.21	0.0	17.37	0.48	1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.06	0.13	0.18	0.0	0.1	0.0	0.23	106.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	26.78	20.85	50.62	3.09	19.06	31.0	65.94	38.12	35.49	36.14
Cst3	14866.41	28136.64	622.75	1648.07	1945.56	5806.98	385.35	9.1	23155.8	18662.8	66199.78	54799.87	18910.91	54350.96	61505.62	15976.54	467.1	16718.93	10478.59	13132.13	3773.37	4818.57	7444.93	18986.87	28585.73	25453.49	14231.7	18275.3	11009.47	2520.86	369.68	2918.94	9251.09	591.62	3398.78	477.99	118.28	0.0	11843.79	22838.83	261.4	22142.28	32676.97	312.53	32715.27	21065.23	26357.07	64380.72	32254.6	22149.39	7635.39	666.64	994.01	548.17	338.27	471.62	494.04	603.87	59768.12	79037.77	54056.74	72522.19	9.88	67515.86	70378.51	61656.06	72390.07	30854.58	61052.51	33256.36	35150.87	28488.27	22333.95	33151.51	0.82	24558.57	514.09	80478.24	68326.69	95318.24	42183.43	632.88	75159.39	488.34	84616.84	72517.08	118.72	654.76	3378.99	154.51	585.7	665.24	275.21	435.78	390.02	475.27	638.95	348.24	483.45	1961.51	2186.93	2204.12
Cx3cl1	0.0	0.0	247.74	0.0	0.0	13.49	97.49	523.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	119.69	0.0	0.0	0.0	154.89	7.44	0.0	0.19	0.0	0.1	0.0	0.0	0.0	0.0	110.31	0.05	77.8	211.3	2.26	183.67	172.85	3.45	0.0	0.0	0.0	0.53	0.0	2.4	0.0	0.0	0.0	0.0	0.28	0.0	1.33	140.09	76.48	94.48	472.89	86.69	112.78	105.55	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.11	0.23	0.34	0.36	0.09	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	23.72	177.78	22.29	69.7	6.7	46.82	221.46	165.4	118.97	117.23	155.98	95.96	44.79	619.59	598.38	626.22
Dagla	0.0	0.0	14.46	0.0	0.0	0.0	0.0	34.66	0.0	0.0	6.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	12.15	0.0	1.87	0.0	0.04	1.1	2.83	200.44	36.19	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	1.69	8.35	19.05	5.05	8.54	12.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.33	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	1.35	3.99	0.4	0.5	4.93	3.23	0.0	63.23	62.82	67.85
Dbnl	0.0	103.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	402.63	51.98	0.0	0.0	0.0	0.19	33.13	0.0	0.0	0.0	0.0	16.16	0.0	161.69	0.0	0.13	0.0	0.0	0.0	0.0	19.32	0.0	0.0	2.83	17.18	45.94	0.0	794.5	0.0	0.0	107.13	0.35	0.0	3.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.85	0.15	31.63	0.0	10.25	34.28	1.37	11.29	0.0	0.16	0.0	0.0	0.0	0.0	319.78	13.77	350.13	0.0	29.91	73.43	12.33	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.22	0.0	0.0	1.79	52.58	28.3	0.0	34.11	0.49	28.64	40.42	68.86	56.2	27.57	21.88	0.0	58.85	63.6	67.0
Dmrtc1b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41	0.0	0.0	0.0
Dnm1	0.0	0.0	42.27	0.0	0.0	0.0	0.35	294.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.09	0.0	0.0	0.0	1.73	30.71	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	14.61	14.41	18.68	48.49	49.95	72.41	46.46	196.82	0.0	0.0	0.0	0.65	0.0	0.31	0.0	0.0	0.0	0.18	0.0	0.0	1.38	80.05	41.0	84.28	41.6	36.26	28.88	34.29	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.17	0.05	0.0	0.12	0.0	0.14	0.39	0.0	0.07	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	91.02	0.62	44.55	18.96	19.74	0.4	41.49	23.52	41.16	38.1	30.63	27.18	39.45	785.48	840.55	821.55
E430025E21Rik	0.0	0.0	80.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.99	0.0	0.0	0.0	74.41	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.04	3.13	4.56	0.0	0.82	0.0	527.82	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.0	1.56	0.0	0.0	67.17	0.0	4.86	42.24	18.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.62	0.0	0.04	0.18	0.0	218.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.9	0.0	0.0	1.88	0.14	2.54	4.15	0.38	0.08	3.91	5.1	5.1	5.29	4.63	0.0	30.71	30.98	30.97
