	Calb2_tdTpositive_cell_9	Calb2_tdTpositive_cell_10	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_59	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_91	Cux2_tdTpositive_cell_101	Cux2_tdTpositive_cell_112	Cux2_tdTpositive_cell_122	Cux2_tdTnegative_cell_14	Gad2_tdTpositive_cell_42	Gad2_tdTpositive_cell_51	Gad2_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_7	Nr5a1_tdTpositive_cell_44	Nr5a1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_6	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_48	Ntsr1_tdTpositive_cell_50	Ntsr1_tdTpositive_cell_75	Rbp4_tdTpositive_cell_54	Rbp4_tdTpositive_cell_82	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_182	Rbp4_tdTpositive_cell_183	Slc17a6_tdTpositive_cell_10	Slc17a6_tdTpositive_cell_22	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_30	Slc17a6_tdTpositive_cell_31	Tac2_tdTpositive_cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_10	CAV_LP_Ipsi_tdTpos_cell_9	CAV_LP_Ipsi_tdTpos_cell_21	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_33	CAV_LP_Ipsi_tdTpos_cell_35	CAV_LP_Ipsi_tdTpos_cell_36	CAV_LP_Ipsi_tdTpos_cell_37	CAV_LP_Ipsi_tdTpos_cell_39	CAV_LP_Ipsi_tdTpos_cell_41	CAV_LP_Ipsi_tdTpos_cell_42
Mt3	709.19	298.17	277.46	301.97	365.14	339.78	73.34	246.24	283.48	295.07	3.73	176.24	26.36	80.73	265.93	702.17	334.07	796.67	525.05	883.75	610.16	1320.57	701.91	928.1	1073.85	1505.87	1222.75	520.19	564.84	365.94	443.01	307.35	406.86	60.82	183.73	131.85	498.75	210.44	480.31	729.43	668.89	777.04	1014.68	454.21	200.45	747.27	1460.05	536.8	969.7	394.84	684.26	444.99	860.62	429.81	436.11	723.36	510.24
Necab3	57.71	95.26	51.09	123.73	732.2	346.94	167.11	0.0	103.94	0.0	0.0	100.14	0.0	35.55	0.0	0.45	0.21	239.39	104.76	196.45	197.87	0.45	53.31	164.4	74.25	560.3	320.85	345.03	10.24	0.68	290.06	23.62	2.26	8.69	0.0	56.84	152.87	153.6	89.36	198.9	334.56	284.86	315.48	229.51	157.78	132.03	0.0	0.0	0.0	0.0	213.11	22.33	54.37	240.67	149.65	183.02	143.73
Nfia	0.0	20.43	0.0	0.04	0.05	0.0	0.0	2.02	11.1	6.83	0.0	0.0	0.0	0.63	0.0	0.0	6.84	126.18	135.72	72.38	69.7	37.01	120.78	84.11	95.4	80.55	98.52	46.32	18.28	58.79	0.0	2.6	0.56	8.65	0.0	0.0	84.17	0.0	0.9	131.48	111.67	97.54	94.09	148.54	131.94	111.89	112.7	214.69	109.13	143.88	87.81	156.92	5.88	173.79	209.92	0.0	126.18
Nrp1	0.06	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.27	0.0	0.0	0.0	0.0	60.9	88.65	69.97	58.17	20.03	32.4	84.46	70.75	129.28	74.83	18.42	9.53	4.6	1.49	0.05	22.49	9.87	0.0	7.71	83.55	0.0	45.21	94.79	64.41	47.8	42.1	38.6	29.39	45.29	87.68	1.1	19.27	54.19	90.65	102.68	132.25	1.18	0.04	57.73	44.64
Oaz1-ps	477.54	413.05	505.34	804.61	538.28	752.9	1077.51	647.32	574.64	254.97	81.18	354.98	496.44	376.82	511.49	524.35	895.94	629.32	1291.8	592.16	701.49	1798.73	1049.52	734.92	1340.62	1984.54	988.08	879.25	1710.7	672.78	294.4	260.26	407.7	665.17	793.76	537.92	1034.17	616.84	190.13	1076.78	722.13	1021.62	1186.75	890.49	582.11	880.71	642.03	386.7	614.93	397.62	350.13	450.51	179.98	240.08	917.13	871.61	826.55
Pdlim1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	1.13	583.74	155.76	314.66	132.27	0.0	257.18	69.67	132.15	368.35	0.54	268.65	36.08	0.0	0.0	0.0	0.0	0.0	0.0	109.32	0.0	151.77	174.32	87.35	84.49	54.69	332.25	308.04	0.0	284.65	0.3	32.16	226.8	151.25	112.18	0.0	132.96	0.0	0.0	158.79
Rell1	0.0	0.04	0.0	1.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.56	0.0	29.93	70.56	34.61	2.62	47.2	20.07	43.86	9.84	18.95	35.51	0.67	0.0	7.99	2.34	14.54	0.0	0.0	0.18	0.0	149.73	0.0	0.0	48.18	22.11	27.02	18.3	17.1	139.04	150.05	13.37	51.79	125.19	76.52	48.48	35.31	0.09	49.83	46.09	57.85	22.23
Rprm	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	710.43	203.18	77.19	285.08	9.55	5.86	54.83	2.95	397.45	798.89	507.3	0.0	0.0	47.55	0.71	0.94	0.0	0.0	0.0	258.59	62.33	0.0	270.69	276.1	144.13	330.45	134.97	135.32	89.58	15.01	31.97	4.69	56.47	235.02	182.77	0.0	293.26	109.7	86.25	229.15
Rps11	597.68	431.54	412.86	753.12	499.84	717.68	759.53	210.45	514.66	560.78	1028.68	420.08	469.76	436.32	251.05	1053.31	923.4	535.48	1110.35	1178.81	1244.19	428.05	878.3	1367.56	861.66	1265.84	699.25	879.86	964.07	619.23	1097.37	608.28	1109.15	545.69	919.66	536.04	1189.85	857.13	847.57	799.92	729.99	836.19	909.84	822.51	714.77	522.95	869.72	163.37	820.53	872.74	995.86	1135.4	774.47	658.14	549.5	916.33	733.52
Snca	438.46	708.83	476.55	714.8	633.27	779.68	219.6	540.57	832.61	982.87	295.29	511.89	654.52	392.54	1212.61	411.87	85.38	1397.03	2512.18	1013.8	1722.2	1901.4	2002.08	3039.27	1486.57	2300.48	2245.48	962.88	2167.1	1804.45	757.46	738.3	816.06	1072.78	1654.35	335.3	1382.8	125.42	953.11	1524.98	1578.76	1850.46	1582.31	1320.51	1116.19	1559.69	1308.82	1165.95	1694.02	906.38	2377.39	1750.72	1231.57	1712.79	1354.39	1937.56	1312.76
Tmed9	170.02	61.71	0.28	7.31	527.14	112.64	15.67	0.0	63.67	66.95	60.78	132.63	0.0	173.74	227.78	121.09	1.08	260.23	182.42	143.54	168.69	58.61	116.28	0.57	308.75	190.39	333.29	127.69	210.22	57.42	8.04	12.75	6.2	184.82	6.75	133.3	156.73	57.86	195.47	104.49	69.17	150.5	123.77	107.59	0.41	355.54	136.32	222.77	83.02	0.0	0.0	140.74	131.19	91.27	125.08	0.0	95.95
Tuba4a	426.56	646.52	1185.38	494.38	742.69	1166.55	289.63	489.29	338.2	1174.47	867.16	137.44	594.79	634.7	1055.79	727.82	1173.69	1356.36	1165.1	1612.71	851.67	1313.34	1369.71	1755.49	1201.71	2509.63	1900.41	1406.64	1253.24	271.8	700.96	618.65	747.04	779.74	874.68	696.05	1371.52	1021.23	930.1	939.85	1074.13	1105.88	1134.47	895.94	965.26	1091.65	560.9	514.92	452.89	235.44	495.5	804.65	537.64	1083.52	593.84	718.09	1473.63
