	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_43	Gad2_tdTpositive_cell_69	Gad2_tdTpositive_cell_75	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_16	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_54	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_34	Pvalb_tdTpositive_cell_39	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_56	Pvalb_tdTpositive_cell_75	Pvalb_tdTpositive_cell_78	Pvalb_tdTpositive_cell_83	Pvalb_tdTpositive_cell_84	PvalbD.Slc32a1_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_2	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_43	PvalbF.Gad2_tdTpositive_cell_45	PvalbF.Gad2_tdTpositive_cell_47	Rbp4_tdTpositive_cell_110	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_17	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30	CAV_LP_Ipsi_tdTpos_cell_17
Cox7c	1359.35	1336.96	468.88	1162.57	717.58	857.55	986.28	916.79	955.74	842.81	2095.66	805.33	1608.41	1195.37	989.95	1218.67	574.21	1066.4	741.45	858.24	426.89	946.34	730.21	836.19	986.2	491.28	752.93	510.42	641.74	611.96	394.57	864.37	641.82	555.73	597.37	1114.05	754.99	1228.11	838.49	723.83	927.22	965.58	849.21	574.46	941.18	850.14	736.35	745.33	592.55	735.26	785.56	816.88	2027.1	1522.08	1535.13	1795.35	1574.47	1850.14	2113.95	1491.4	1921.59	1475.99	1784.26	1119.67	2046.39	3205.96	2134.86	1639.14	1945.3	1659.67	1118.89	0.0	0.0	438.47	753.32	741.66	867.39	1256.77	773.51	912.49	615.41	1323.41	795.57	683.42	600.56	1069.56	2769.82
Cycs	476.31	750.92	532.42	909.54	462.18	439.29	374.67	893.39	774.95	499.1	1448.26	585.99	1826.87	571.07	879.09	503.77	619.22	668.83	668.37	543.13	570.4	485.75	833.35	540.85	683.82	417.57	527.08	489.38	622.03	548.27	439.14	540.3	440.58	465.76	685.07	410.29	349.55	1028.01	466.36	561.05	394.04	520.67	454.21	479.62	649.71	504.86	451.9	598.92	608.49	399.93	640.48	494.73	1624.31	1926.13	1875.82	1536.14	1629.15	1736.32	1977.87	1815.02	1363.27	1297.8	1409.16	1213.85	1751.51	2042.63	1520.72	1635.26	1197.94	1449.64	1503.52	336.51	1.7	36.42	610.37	1615.41	563.97	540.59	365.95	559.01	695.78	534.28	800.84	1147.18	596.91	951.08	1328.85
Fkbp3	1228.19	1528.69	752.47	1611.47	860.24	1105.83	521.04	1067.67	849.86	439.84	1384.36	1256.52	1746.35	829.71	1002.19	652.13	657.91	732.99	1042.51	888.28	558.4	978.87	1376.3	982.56	934.13	1075.38	841.33	990.15	643.47	532.34	1042.37	1073.03	1311.93	882.85	694.19	1140.64	802.9	620.18	713.62	789.19	874.49	786.31	1205.88	1195.51	1025.14	1054.46	618.43	820.34	950.45	731.3	942.79	751.44	1812.57	1659.79	1622.46	1265.86	1439.71	1798.18	1546.74	1502.47	1224.61	1214.01	1639.02	1511.94	1674.46	1778.93	1574.04	1555.95	1624.19	2021.1	1727.05	0.0	1.1	0.0	988.24	1159.25	1167.61	599.01	705.35	832.34	630.48	731.61	1022.01	802.7	886.14	899.5	1602.91
Hspe1	334.14	506.69	195.46	231.94	81.93	238.87	331.66	208.82	274.46	427.98	423.5	162.35	336.3	451.33	171.32	234.56	74.5	236.37	133.68	145.48	103.01	165.03	216.88	205.19	230.35	137.04	238.74	174.64	173.47	188.11	179.5	133.4	343.81	355.88	367.07	280.91	365.71	417.37	274.03	241.71	452.5	278.4	243.81	344.94	217.13	208.32	76.13	160.58	274.76	232.17	355.23	149.89	492.07	709.96	596.19	500.93	402.54	643.25	484.27	855.94	309.21	341.56	289.57	228.47	664.32	473.95	362.42	385.1	651.0	450.86	288.83	0.0	0.48	4.8	281.24	317.39	350.42	392.83	181.66	249.46	242.61	303.05	286.75	237.37	377.56	98.14	225.45
Mrpl18	279.41	484.3	150.96	464.86	287.35	226.11	160.36	335.09	147.55	271.68	812.8	281.64	476.3	494.8	299.35	178.57	345.72	213.57	189.17	109.35	181.04	109.59	157.82	262.3	335.09	189.35	262.98	273.29	175.48	313.2	247.29	290.69	426.16	312.83	214.27	260.9	162.91	347.19	344.83	156.93	427.54	182.71	347.01	118.75	268.69	171.42	278.05	208.56	194.29	179.02	202.59	155.14	763.25	614.85	458.55	597.45	792.3	400.85	779.12	752.53	467.41	356.06	741.01	776.67	560.54	706.24	462.11	420.14	640.24	826.54	349.69	0.0	0.76	913.58	333.04	304.79	454.34	266.43	288.5	42.49	282.94	300.59	314.59	281.26	234.61	120.3	465.35
Mrps36	374.85	498.49	273.44	560.29	118.08	254.58	19.32	336.45	120.89	23.6	568.89	0.0	713.11	254.81	414.18	0.0	260.45	319.76	192.79	92.29	102.14	160.09	325.65	213.25	293.48	399.98	269.14	20.75	111.64	135.65	178.73	249.75	148.3	237.92	106.65	327.77	673.08	329.67	360.41	241.29	223.98	185.36	186.28	369.58	169.08	210.44	42.94	189.94	136.55	286.26	119.93	225.85	690.16	390.5	398.68	680.0	807.39	426.77	348.35	835.54	302.25	487.92	591.15	728.98	366.27	891.61	545.62	306.01	321.21	463.25	271.79	0.0	0.0	1.74	204.58	611.06	146.0	170.02	137.68	134.42	103.53	40.67	220.56	365.23	364.7	273.59	368.1
Ndufa1	899.03	690.84	615.59	1289.65	658.37	743.82	264.23	822.28	797.57	900.19	865.82	504.68	840.6	1273.15	949.5	755.5	676.62	542.05	703.21	1074.18	612.08	600.58	709.73	614.75	776.88	628.19	800.99	644.79	673.24	786.23	572.26	591.66	958.52	898.87	1439.76	791.75	803.03	660.19	607.03	797.47	741.68	1256.68	599.45	533.27	313.45	849.15	582.48	880.13	876.82	842.28	744.33	488.76	1249.94	1128.01	902.44	655.28	1042.84	1649.9	1264.35	988.82	1025.56	974.23	1116.96	994.19	1369.85	3141.24	1094.35	1304.7	1034.01	1070.55	896.58	0.0	0.78	0.0	579.03	1481.48	774.75	678.25	502.71	707.12	652.35	1331.52	687.58	600.89	905.69	139.29	896.53
Ndufa6	815.22	746.78	500.58	786.29	701.18	951.29	715.47	466.11	736.41	1019.09	1506.28	304.29	914.87	487.29	555.57	478.37	488.88	781.36	539.35	289.84	453.95	464.36	548.87	679.57	635.14	675.73	435.11	638.54	622.76	469.36	322.5	830.62	756.74	631.08	750.43	714.38	244.08	651.16	522.45	522.65	463.56	532.44	577.04	742.16	637.97	435.65	532.08	417.85	548.62	706.68	287.19	603.73	1272.48	1420.2	971.52	1233.84	1303.73	1131.69	1353.4	1117.9	1085.83	924.98	1015.17	1187.37	1218.55	2418.45	1283.79	1332.76	1241.11	1083.35	863.65	2.77	529.32	2.26	526.87	1240.53	527.24	820.79	302.58	676.61	789.12	1084.64	812.04	597.0	678.42	226.47	1137.94
Ndufb10	582.5	1345.4	1045.22	1495.32	840.4	969.34	662.8	810.31	758.74	494.95	1548.74	799.33	1267.12	839.93	722.37	561.84	598.61	834.79	655.93	846.23	762.52	1051.75	570.68	533.55	662.52	645.48	513.61	631.55	616.31	686.5	352.72	797.64	507.56	757.26	1150.57	462.12	999.33	769.73	791.52	553.18	654.55	1005.65	699.67	645.71	627.89	731.54	474.82	516.98	546.08	508.19	701.57	1139.58	1052.66	1658.84	1235.46	1342.93	1498.11	1519.5	1577.43	1828.73	1684.94	1227.05	1616.74	1105.2	1205.33	1841.33	1480.13	1209.42	1729.13	1272.14	1235.04	0.0	0.0	742.16	754.39	2496.97	627.83	903.6	703.02	1010.69	555.8	1075.65	962.15	869.93	996.15	436.12	1186.81
Ndufb5	304.15	895.62	505.0	1360.45	638.5	240.22	286.72	655.42	690.74	518.74	873.25	503.49	1096.92	706.03	308.15	566.02	503.22	430.46	372.96	617.51	148.3	506.88	514.03	599.61	465.96	657.47	368.44	540.7	315.78	373.04	357.2	607.55	436.72	562.37	415.94	501.42	343.02	584.06	644.51	444.29	283.96	357.5	494.5	282.01	480.27	491.59	311.52	308.38	271.23	369.82	554.74	419.24	1168.76	1182.01	1077.05	1186.67	749.17	1105.22	1381.24	1272.48	756.94	1171.82	1189.66	1194.18	1483.5	1313.37	1094.14	1324.11	798.62	1281.62	977.73	0.0	1.09	0.0	225.6	843.85	138.03	567.44	299.56	369.6	447.35	571.47	620.77	319.77	267.85	289.1	1291.13
Ndufb9	985.85	1854.89	618.85	2596.9	487.98	575.49	1580.6	1238.09	1296.79	718.33	1946.18	745.67	1855.18	1287.38	958.83	798.89	537.77	578.23	656.26	897.71	769.19	555.21	786.4	596.76	628.77	589.25	639.71	1055.77	748.65	427.13	402.09	411.83	826.54	998.82	1175.18	907.48	1750.9	1087.67	676.26	887.8	925.11	860.05	1603.42	829.31	609.09	702.8	335.17	745.94	640.58	775.54	597.08	743.96	2836.87	1356.75	1780.3	1737.76	1189.54	934.02	1746.74	1548.42	1730.66	1480.23	1315.28	1645.97	1234.28	2584.13	1594.46	1351.34	1305.5	1191.93	1536.88	670.47	0.58	0.0	855.58	1189.35	551.33	1188.11	495.32	578.32	734.29	1385.61	1067.3	771.8	837.72	947.62	1801.72
Ndufc1	609.45	1152.29	439.5	939.49	428.99	734.96	249.43	569.65	648.39	442.05	1187.83	513.93	837.66	663.85	597.3	311.9	289.32	346.1	546.8	367.83	557.32	820.59	687.27	614.92	657.53	426.97	639.64	709.24	536.73	525.98	446.18	443.27	706.06	460.9	723.17	798.63	587.68	849.77	753.38	471.93	420.16	645.09	812.3	651.59	612.23	635.86	503.5	497.29	490.97	569.56	422.47	510.69	808.74	744.05	648.41	806.47	800.66	1184.52	1177.51	817.45	1027.51	963.59	798.16	953.29	1049.42	1061.79	832.24	829.88	1313.37	1085.96	870.53	0.0	0.96	0.0	512.14	913.55	659.74	432.89	483.75	564.62	591.32	538.35	561.78	299.16	532.87	587.31	965.5
Ndufs5	250.74	250.14	157.03	178.84	214.53	145.68	250.1	176.99	123.42	56.07	571.13	146.95	247.83	98.56	95.86	266.68	286.94	129.35	71.29	224.49	215.03	244.95	180.35	247.81	84.97	182.09	107.93	212.68	168.06	283.46	123.97	16.86	33.04	223.75	129.55	309.06	284.06	323.4	315.71	159.54	66.83	166.53	257.96	68.79	81.66	198.66	171.6	64.29	141.58	62.92	57.96	134.77	482.77	323.4	402.03	300.36	164.69	466.31	275.89	500.37	300.38	182.46	238.83	211.73	255.0	558.59	626.37	334.77	314.2	227.09	311.39	0.0	0.0	0.0	123.32	350.96	185.84	251.07	180.34	224.55	201.05	450.29	190.25	164.27	251.0	193.79	295.04
Ndufv2	597.66	794.35	410.04	1053.35	552.56	559.65	115.13	1089.73	767.31	331.92	1209.16	16.83	1146.55	627.41	677.84	695.98	483.58	774.97	721.12	799.03	762.45	733.88	582.77	453.16	580.51	664.42	424.88	679.63	536.43	478.0	686.0	688.99	557.77	772.2	760.95	460.94	525.54	751.64	864.81	684.44	436.02	404.58	991.34	810.87	787.09	544.72	632.58	421.32	389.86	400.57	522.0	616.4	1232.26	1112.05	1227.51	1056.2	872.67	998.16	1308.89	849.59	1231.65	945.67	715.58	1013.17	1080.77	898.88	1208.82	803.63	918.83	942.18	989.57	559.96	0.49	563.97	749.07	631.06	362.05	584.3	401.43	542.2	292.09	603.29	631.36	456.52	656.86	456.4	728.35
Nop10	724.25	494.73	420.49	870.8	312.71	408.65	345.34	373.16	405.73	220.9	707.46	241.63	433.68	358.0	302.68	298.32	306.53	378.99	504.4	420.2	328.37	502.75	411.49	486.33	369.87	506.25	413.27	432.85	196.44	359.14	297.94	540.52	310.09	399.5	349.47	450.06	249.61	438.15	330.38	405.81	222.33	438.01	654.84	425.55	392.16	230.48	510.08	408.78	478.54	429.32	275.81	325.81	828.44	365.58	449.53	396.37	790.45	358.39	765.65	632.73	548.04	583.23	428.16	524.94	636.61	922.83	657.35	495.67	584.59	670.04	522.36	0.0	1.07	0.0	228.5	563.64	328.69	87.56	561.93	492.23	319.04	514.39	288.63	228.01	348.67	224.12	694.87
Npy	138375.8	56190.59	64781.64	359.05	173305.25	115124.65	43922.94	108594.8	96206.73	82245.2	3.82	65548.38	0.0	125016.83	34339.27	80627.8	132042.44	105008.15	149629.49	134232.96	130357.56	105498.11	116117.28	120987.76	122165.94	132052.33	122154.33	122963.43	126501.28	117863.77	98464.67	102118.34	130527.91	173863.58	101365.79	126989.03	45711.04	80801.23	166048.87	115420.41	191162.16	108906.97	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	110523.31	101137.64	151963.58	24726.66	1.54	0.0	0.0	0.0	1.41	0.0	10.49	480.84	1.23	7.4	246.15	0.68	0.3	14756.04	0.0	0.0	1380.2	128.18	0.0	0.0	0.0	0.0	145032.54	28240.98	180453.32	92572.95	128781.07	137945.15	70964.58	95298.15	137580.94	65503.76	120620.2	68416.93	0.0
Prdx2	1145.08	1023.78	773.45	1259.94	470.71	664.75	377.69	694.6	1255.54	524.41	1600.82	305.78	1443.54	436.33	798.59	232.91	867.01	575.7	581.9	489.74	575.66	755.92	782.63	584.33	810.25	1032.36	657.72	906.84	804.88	614.38	702.17	1244.27	877.47	1556.61	1211.01	706.76	699.43	787.72	861.69	927.8	553.96	739.13	485.46	1274.63	1000.48	737.71	604.8	1003.69	807.96	1067.07	1020.62	725.41	1256.8	1285.2	1535.61	1218.6	992.15	959.79	1426.31	1128.24	1221.72	1098.79	1330.47	840.61	1110.3	1033.17	1351.67	800.19	1885.18	1371.14	932.66	735.52	149.18	0.0	1143.56	1239.29	634.49	985.06	618.39	883.55	942.48	834.4	701.2	911.16	815.38	580.89	1364.0
Slc25a5	969.28	3941.82	1670.78	3227.62	1186.63	1789.11	2106.14	2599.21	2254.62	1460.27	4218.81	1000.19	4593.55	1697.94	1587.11	1340.76	2443.91	2872.46	2509.44	2083.6	2506.41	3607.9	1905.85	1986.53	1601.11	2286.83	2126.1	2150.55	1864.42	1493.96	717.78	1873.9	1328.07	2198.48	2500.68	2533.11	1523.28	1560.63	1501.68	1285.55	960.12	2204.46	809.78	1304.35	2097.41	1983.88	2441.71	1242.65	1720.54	2109.27	1392.57	1367.34	4370.87	4566.17	3714.39	4301.03	3949.4	4240.86	4630.0	4909.12	4191.66	3748.99	4399.79	4115.32	4227.81	3544.76	4821.42	4006.97	3486.3	4568.85	3176.06	0.0	2427.24	0.0	2106.22	3814.79	972.45	1329.55	1522.59	1618.15	1769.27	2237.59	1950.92	3814.79	1790.14	1713.5	3166.71
