	Calb2_tdTpositive_cell_3	Calb2_tdTpositive_cell_8	Calb2_tdTpositive_cell_14	Calb2_tdTpositive_cell_39	Calb2_tdTpositive_cell_51	Chrna2_tdTpositive_cell_58	Ctgf_tdTpositive_cell_5	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_7	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_9	Cux2_tdTpositive_cell_15	Cux2_tdTpositive_cell_16	Cux2_tdTpositive_cell_25	Cux2_tdTpositive_cell_27	Cux2_tdTpositive_cell_34	Cux2_tdTpositive_cell_46	Cux2_tdTpositive_cell_50	Cux2_tdTpositive_cell_54	Cux2_tdTpositive_cell_56	Cux2_tdTpositive_cell_59	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_69	Cux2_tdTpositive_cell_79	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_50	Gad2_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_26	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_37	Nr5a1_tdTpositive_cell_38	Nr5a1_tdTpositive_cell_41	Nr5a1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_38	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_13	Rbp4_tdTpositive_cell_65	Rbp4_tdTpositive_cell_88	Rbp4_tdTpositive_cell_112	Rbp4_tdTpositive_cell_115	Rbp4_tdTpositive_cell_116	Rbp4_tdTpositive_cell_150	Rbp4_tdTpositive_cell_171	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_35	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_38	Rorb_tdTpositive_cell_40	Rorb_tdTpositive_cell_43	Scnn1a.Tg2_tdTnegative_cell_7	Scnn1a.Tg2_tdTnegative_cell_8	Scnn1a.Tg3_tdTpositive_cell_62	Scnn1a.Tg3_tdTpositive_cell_94	Scnn1a.Tg3_tdTpositive_cell_97	Sst_tdTpositive_cell_27	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_12
Acap2	0.0	4.88	1.87	52.4	9.28	0.06	0.0	0.0	0.09	0.03	47.83	124.24	33.06	18.02	73.06	49.2	26.61	20.78	31.77	0.75	3.52	22.82	59.71	0.32	0.0	70.06	58.46	0.0	44.39	0.53	3.57	2.27	83.05	0.07	0.0	0.0	0.06	14.21	0.12	1.47	0.0	42.18	32.76	104.57	0.08	11.71	0.0	0.02	7.33	0.72	27.98	0.35	100.58	7.73	49.34	2.43	9.71	0.05	9.57	10.0	8.29	14.04
Ap2b1	20.49	95.95	21.13	34.68	28.63	18.11	5.65	12.28	31.5	39.01	19.0	121.3	101.65	17.45	31.13	55.31	45.91	27.49	7.68	73.61	7.47	32.65	6.3	39.88	4.55	112.66	78.06	85.7	33.34	28.89	13.61	39.5	16.53	45.38	59.5	17.4	2.24	123.83	97.05	40.98	6.19	1.11	29.52	44.59	49.07	14.43	0.7	9.6	2.84	37.93	32.34	10.15	36.21	76.98	93.31	5.34	12.34	36.28	12.65	21.34	23.31	15.03
Arhgap33	0.17	0.16	13.17	60.68	24.63	4.49	0.0	0.0	48.46	0.1	0.0	78.9	40.34	58.88	17.72	0.88	44.5	14.7	0.28	0.0	2.31	0.0	14.88	25.75	0.0	31.16	8.71	23.04	0.0	0.0	0.0	1.21	0.0	17.26	0.0	0.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.11	31.5	0.43	0.0	22.02	18.18	0.0	27.38	73.81	74.79	0.0	0.27	0.15	0.0	3.1	3.26	4.78	3.04
Atp2b1	236.94	401.61	356.89	357.2	324.95	79.48	53.82	40.12	395.02	295.27	308.34	497.07	416.18	457.81	520.6	420.76	622.19	425.27	447.81	41.28	450.6	387.9	237.27	469.36	0.0	333.71	461.58	151.96	151.24	193.72	250.31	201.09	213.18	249.09	93.71	456.28	803.9	205.66	107.43	149.78	141.61	184.12	222.7	253.16	29.77	425.72	310.27	104.41	160.73	119.19	162.64	157.29	349.94	341.32	488.1	236.49	66.41	38.91	532.17	401.54	376.73	355.36
B230216N24Rik	0.0	349.75	113.1	644.92	28.18	0.0	0.0	0.09	315.61	0.0	109.31	189.2	150.21	28.24	71.82	141.92	167.28	4.13	267.65	4.79	80.09	14.35	244.59	190.34	0.0	187.69	329.34	0.0	0.0	247.04	85.35	0.0	17.39	54.5	0.0	0.0	0.68	0.0	58.39	0.0	0.0	0.0	0.0	0.0	0.0	0.37	163.88	0.2	0.0	0.82	0.21	0.25	45.89	200.57	0.0	0.15	85.39	115.84	51.13	36.38	41.27	192.78
BC046404	0.0	0.0	23.45	0.0	0.0	0.0	0.0	0.1	0.1	47.98	0.0	126.27	0.0	9.44	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	154.5	0.0	0.0	0.0	4.12	133.74	0.27	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.69	0.0	0.0	0.0	0.0	0.0	0.09	0.0	12.28	21.51	12.53	100.9
Baiap2	616.92	349.54	319.74	109.75	217.84	242.84	0.0	139.44	186.25	217.57	344.26	714.41	408.22	405.21	186.6	229.88	204.83	697.64	300.61	202.67	537.51	362.73	97.54	129.31	0.0	298.31	224.2	227.85	126.33	212.36	0.76	160.36	296.95	99.72	186.56	120.06	382.59	109.91	162.29	35.55	234.68	170.92	180.35	142.28	32.61	51.48	311.56	0.3	38.77	181.77	196.26	142.42	237.23	6.83	48.75	465.86	159.09	0.0	254.26	269.61	265.11	253.59
Cabp1	0.67	0.46	0.0	0.9	6.49	2.17	0.0	1.94	1.54	21.33	1.43	79.26	45.32	5.4	4.12	1.7	10.21	3.2	0.53	0.0	1.18	14.3	0.99	1.21	0.0	2.02	0.0	11.96	43.08	3.83	5.49	5.04	4.43	0.14	2.26	0.0	1.71	1.21	1.07	0.39	50.61	1.75	4.7	0.0	3.47	69.21	0.0	0.3	0.18	1.47	0.63	1.77	2.25	11.33	0.0	0.45	0.12	0.0	2.6	6.3	5.14	4.61
Cacng3	427.99	646.52	916.88	720.29	407.14	666.96	0.0	154.01	630.32	533.09	1187.87	1394.76	1198.65	510.82	881.56	1395.32	1184.05	1594.88	1299.36	504.88	732.25	331.62	497.25	1244.42	0.0	1150.09	1294.3	465.74	301.38	168.49	536.74	434.16	1228.58	483.9	610.55	430.77	155.22	116.74	764.69	156.83	339.73	815.58	68.77	406.62	279.44	211.89	378.35	765.96	647.25	488.89	188.01	297.88	1514.73	1111.59	236.21	466.44	187.15	524.0	327.13	341.15	369.26	884.22
Caly	0.0	274.28	715.28	297.69	216.38	443.16	0.0	373.71	111.91	200.67	129.85	708.07	359.66	387.04	498.53	1036.7	459.59	372.92	869.77	117.83	588.08	286.14	194.3	225.12	0.0	595.2	595.48	110.61	684.3	321.4	119.87	184.53	294.27	451.96	236.57	1.02	88.01	404.5	416.88	247.14	332.63	259.31	440.73	207.8	228.61	127.85	439.92	137.95	540.92	369.53	106.02	223.01	473.67	409.96	187.92	327.24	426.86	516.27	209.06	246.05	232.34	554.71
Ccdc104	11.77	81.61	100.13	122.82	159.76	84.71	0.0	1.39	178.76	207.05	37.47	54.65	0.0	222.52	210.8	204.43	9.28	149.86	153.88	40.61	0.59	84.59	27.37	212.23	0.0	1.55	16.43	78.12	0.26	228.13	2.28	90.52	305.37	1.39	160.6	0.0	60.49	0.0	51.17	110.52	132.51	256.42	74.12	99.23	167.38	121.41	0.0	106.1	1.49	181.38	31.0	119.29	151.48	89.81	137.61	85.45	134.4	143.49	72.98	56.32	65.42	305.41
Ccnt1	0.35	39.9	91.46	138.98	139.92	0.0	0.0	0.14	275.15	0.1	154.62	286.42	164.59	183.13	102.53	73.16	169.53	143.06	0.0	0.0	148.37	0.2	27.88	138.04	0.0	102.75	0.0	0.0	0.18	0.0	15.21	1.55	130.08	0.0	0.0	0.0	0.18	246.08	78.92	107.61	18.63	0.0	0.0	0.0	0.0	0.2	21.03	0.05	94.27	0.05	0.0	73.67	140.81	119.92	0.0	0.72	164.08	0.42	57.53	47.41	62.13	0.22
Cd59b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.87	0.0	0.0	54.89	0.0	0.0	13.49	0.0	23.36	13.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.89	0.0	0.0	0.0	0.0	0.0	11.97	0.0	0.0	0.0	14.54	0.0	14.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.9	0.0	0.0	0.0	0.39	0.46	0.46	11.5
Cdh12	64.64	40.78	40.26	34.29	37.15	66.29	0.0	26.31	81.79	80.14	86.33	291.24	142.97	67.8	210.45	67.46	97.28	0.92	10.54	171.51	4.92	92.48	12.77	95.71	0.0	110.01	5.37	11.99	53.9	192.24	73.45	2.08	235.95	12.43	152.83	0.06	75.5	80.73	6.93	0.56	20.21	69.96	159.53	84.26	2.14	0.22	53.07	24.64	203.06	106.07	80.26	101.72	95.76	7.72	0.0	4.95	11.05	0.26	13.45	9.24	13.28	67.38
Cebpb	0.0	0.0	2.24	1.79	1.68	1.12	0.0	0.0	0.0	2.92	1.39	6.43	0.65	0.0	3.45	0.0	0.59	0.71	0.0	0.0	3.92	2.34	0.0	4.71	0.0	2.61	3.69	0.0	0.0	3.26	0.0	1.31	1.72	1.76	0.0	5.57	0.0	1.87	4.14	0.1	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.18	3.74	0.0	0.0	0.0	0.7	1.6	2.54	1.63	0.64	0.0	2.63	1.63	1.88	8.94
Chn1	3376.95	2709.93	1847.85	2580.45	1778.35	1847.8	0.0	2936.89	2540.04	1713.9	2651.58	2600.12	2464.52	2250.1	1908.5	2612.32	2254.39	2846.78	2505.93	1208.87	1728.22	2344.96	1239.7	2409.59	0.0	3014.4	4414.46	2049.67	1487.13	2026.01	1871.16	1759.72	1409.98	1486.66	1665.52	3054.16	2229.08	1402.05	1484.8	1922.79	1188.91	1043.67	1627.46	1776.17	1729.67	1588.94	1300.07	1477.25	1640.95	1282.1	1521.94	1824.54	2674.67	1613.29	1315.37	1139.36	1606.12	403.09	1813.22	1642.72	1571.62	1228.12
Cldn25	208.18	105.28	11.64	129.95	21.2	347.86	0.0	7.02	164.15	372.35	466.13	144.72	357.61	284.97	360.72	324.62	223.0	178.42	209.35	0.0	334.02	268.62	22.49	282.26	456.23	111.58	0.0	0.38	36.73	101.81	116.67	135.7	0.08	56.4	41.19	117.06	0.79	9.42	191.35	429.72	85.9	64.43	14.47	141.22	6.2	135.3	321.14	384.33	144.27	100.46	17.35	90.7	226.05	345.17	305.09	0.81	1.92	274.25	157.65	113.09	172.71	133.99
Cpne6	223.04	361.19	365.87	208.12	48.66	0.21	0.0	13.6	480.38	0.0	293.85	292.32	444.83	215.26	612.08	594.97	307.51	142.47	13.56	0.0	382.34	135.57	0.0	54.96	0.0	516.14	302.44	0.95	6.17	0.0	0.21	104.7	205.6	236.13	190.97	145.86	121.61	0.0	1.02	0.0	0.0	0.25	0.6	0.28	0.0	108.1	0.0	14.91	8.43	0.06	0.0	0.0	702.74	657.69	133.56	253.45	78.55	103.98	57.8	44.78	36.58	273.29
Cyth3	0.0	39.6	0.0	0.0	3.17	0.11	0.0	0.0	0.0	0.0	0.0	90.8	37.31	0.0	0.0	35.96	76.01	76.21	0.0	0.0	0.0	6.79	6.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.53	46.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	59.43	0.0	0.0	0.05	0.0	0.0	6.23	5.06	4.62	2.43
D1Ertd622e	0.0	8.51	90.73	0.0	0.0	53.45	0.0	83.83	22.18	0.91	12.74	119.89	109.25	222.38	82.3	67.55	23.33	0.0	114.89	0.0	251.18	208.78	76.26	12.45	0.0	0.0	0.0	272.6	0.29	0.0	0.0	0.48	0.0	25.92	0.0	0.0	28.64	14.16	0.0	0.0	110.08	0.0	0.0	0.0	125.62	47.26	0.0	15.94	88.56	0.08	0.09	153.3	12.76	0.0	100.21	91.49	0.4	102.32	9.04	15.08	7.86	100.61
D3Ertd751e	0.0	0.0	0.06	0.0	0.0	0.12	0.0	0.03	0.0	0.0	0.0	198.45	0.0	91.95	112.93	63.83	43.34	0.0	0.0	0.0	8.41	94.37	0.0	0.0	0.0	0.0	0.14	109.88	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	3.86	0.0	0.15	0.0	0.0	156.86	36.78	0.0	0.03	0.0	0.0	10.35	0.09	0.0	42.63	0.0	35.73	0.0	0.0	8.89	6.78	11.14	68.12
Darc	0.0	127.71	58.53	177.67	88.28	2.95	0.0	19.55	110.22	0.0	39.77	301.32	5.14	15.3	518.76	114.96	0.0	0.0	0.0	0.49	0.0	91.11	239.42	0.0	0.0	0.0	7.28	0.18	0.35	0.0	0.0	55.27	172.57	0.29	0.35	0.0	0.35	9.24	111.29	0.0	0.0	0.0	280.06	0.0	0.0	46.67	2.53	197.26	188.0	0.1	1.51	19.87	580.73	253.12	0.0	1.38	335.28	0.0	14.34	22.04	12.05	92.4
Dcaf11	88.19	1.18	201.71	139.2	2.47	145.37	0.0	0.0	126.66	0.0	0.0	293.26	169.43	241.98	0.0	104.2	0.06	83.39	123.84	0.0	132.65	346.12	8.51	237.57	0.0	93.82	0.0	138.25	2.84	0.0	0.0	204.75	0.24	333.04	160.25	26.99	105.71	44.11	126.1	0.57	173.93	7.71	0.24	0.0	119.69	57.95	302.35	0.05	362.31	213.88	192.4	0.0	4.96	114.47	148.74	434.79	3.08	0.12	94.64	67.37	65.36	67.99
Dcaf7	86.2	0.95	61.55	29.35	0.0	82.54	0.0	4.05	24.31	0.08	83.25	206.18	41.04	71.18	0.0	5.49	22.0	79.26	60.06	0.0	0.23	69.41	27.49	102.11	0.0	27.07	6.72	20.48	3.2	68.07	31.66	45.56	84.58	34.27	0.0	20.25	0.0	36.19	73.64	69.24	0.28	0.0	13.3	31.16	0.0	47.95	0.16	13.47	0.02	46.17	43.31	0.0	3.03	0.05	52.78	6.51	15.43	160.5	18.57	13.79	18.16	39.45
Ddx3y	0.0	32.33	107.27	37.04	73.22	117.05	0.09	0.09	61.83	112.44	43.42	333.59	83.69	112.2	93.76	10.57	56.07	0.43	228.03	50.41	15.42	20.4	56.15	180.5	0.0	164.66	0.19	46.31	0.0	104.53	52.98	29.96	53.66	200.28	102.51	107.36	160.32	163.66	0.23	99.11	11.36	25.97	3.72	72.23	244.17	46.9	0.0	0.0	0.23	0.06	28.8	46.37	179.89	141.16	0.2	13.37	0.52	236.38	75.83	42.97	40.43	63.27
Dgkb	0.0	65.06	280.92	134.14	55.68	151.03	0.0	0.04	306.77	0.08	40.8	63.24	0.43	163.27	49.46	68.05	121.9	113.35	126.13	0.0	308.67	86.92	0.0	7.22	0.0	299.82	510.43	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.93	10.51	38.22	105.65	30.4	11.02	2.41	65.56	0.0	0.0	0.0	0.0	0.0	2.04	83.67	409.58	400.15	0.0	1.1	13.45	0.0	5.11	4.79	3.41	12.35
E2f1	2.41	13.05	5.66	12.81	13.71	14.94	2.79	3.17	13.46	16.22	149.0	139.36	15.29	15.05	8.07	11.35	11.12	13.29	12.47	9.01	8.88	6.1	8.55	6.25	0.0	20.32	13.9	11.86	11.2	9.44	15.73	35.7	4.77	13.82	1.61	4.59	2.74	6.34	2.48	3.72	14.64	6.9	11.03	17.07	7.6	4.8	5.54	6.23	6.11	5.98	5.75	2.77	13.38	8.38	6.8	7.55	1.62	1.94	13.13	14.51	15.31	95.54
Edil3	148.88	213.04	237.57	210.06	176.21	86.93	0.0	168.12	339.08	0.04	220.54	290.42	216.04	151.18	188.65	244.88	402.22	291.08	347.0	0.0	206.85	17.42	236.57	100.38	0.0	170.7	410.51	167.91	0.07	8.93	0.0	15.98	68.53	36.35	0.0	0.0	69.92	0.0	3.48	66.01	51.77	7.0	13.93	278.25	201.38	0.0	377.61	162.74	78.54	31.63	166.28	89.22	139.26	117.9	237.43	105.03	0.3	221.43	30.87	16.97	25.72	13.67
Enc1	214.82	1853.88	3615.73	2363.89	3351.93	1694.49	0.0	595.83	3711.69	329.94	3504.88	2612.63	2481.64	3694.68	3230.59	2570.9	2878.29	3224.31	2446.63	387.88	4617.29	1861.59	348.92	2392.47	0.0	3934.88	3103.23	409.66	169.46	516.31	535.03	555.3	749.25	844.34	0.16	1488.21	3158.03	996.77	562.8	744.44	635.76	791.34	479.09	1719.2	1571.45	473.63	228.72	276.34	239.9	159.7	666.68	793.13	3721.76	4102.95	1490.96	749.75	578.43	168.67	2712.97	2372.29	2355.4	2487.66
Erc1	1.6	28.17	25.89	7.1	9.38	2.95	1.1	2.0	6.52	42.47	5.88	11.05	50.97	5.59	7.6	3.97	6.32	22.68	4.61	117.24	6.48	42.13	3.2	5.34	0.77	28.45	31.19	1.64	2.8	3.21	2.96	5.79	2.14	2.77	1.37	0.33	4.0	2.84	4.61	3.75	5.65	14.43	4.12	4.08	4.39	1.57	3.93	3.04	7.63	1.41	3.17	0.59	22.54	49.78	4.92	2.93	2.0	0.41	6.12	4.87	6.54	6.09
Fam84a	62.54	244.1	127.98	226.8	40.93	0.12	0.0	0.0	162.17	29.29	91.31	221.92	71.12	67.14	153.85	137.4	301.07	333.93	46.21	0.0	221.83	226.94	35.87	150.11	34.41	170.49	57.3	39.07	93.68	18.8	203.44	0.0	11.13	8.92	0.0	0.1	0.0	0.0	0.12	11.98	0.0	0.0	0.0	0.0	38.34	39.25	0.0	0.0	0.0	0.0	10.89	0.0	224.68	248.1	0.0	34.75	76.37	94.91	4.31	1.52	3.38	17.85
Fbxo34	0.0	100.42	205.47	85.39	27.75	3.36	0.0	0.1	99.59	0.08	9.53	125.57	0.0	146.71	184.21	3.86	11.38	0.0	0.0	0.0	1.81	0.88	8.49	113.73	0.0	38.72	360.16	62.96	65.7	0.0	175.72	2.19	12.22	21.86	22.16	0.0	51.45	0.0	0.14	0.0	0.0	93.0	17.69	6.14	0.0	0.0	386.27	276.22	157.65	44.14	3.06	0.59	167.74	0.0	0.0	0.06	0.09	0.0	13.15	10.38	7.42	48.25
Fbxo9	0.0	87.0	1.13	92.56	20.98	34.37	0.0	0.0	61.27	0.0	82.47	263.81	26.46	3.59	131.94	1.25	32.05	85.12	3.02	0.0	0.24	2.85	1.96	51.99	0.0	20.77	76.88	140.67	2.82	8.65	36.53	2.17	1.78	59.11	0.0	3.07	138.23	1.14	3.58	175.95	3.1	0.28	1.65	1.55	155.0	126.62	3.12	138.21	1.8	34.02	25.5	5.26	16.49	4.61	1.72	2.83	4.8	15.93	17.05	17.58	25.94	6.34
Fbxw5	200.47	64.67	82.29	64.49	63.73	93.25	66.11	0.25	76.56	0.0	0.0	314.9	63.12	148.84	319.75	51.52	42.34	185.71	119.08	1.4	20.64	0.18	129.7	44.7	0.0	100.12	138.98	1.2	66.62	324.59	38.44	60.01	117.73	10.18	158.09	0.28	29.02	112.2	0.17	0.14	114.16	235.53	0.26	0.0	0.0	87.01	3.63	0.24	90.51	2.05	99.38	16.91	68.46	188.94	71.17	13.84	119.39	0.39	64.35	83.88	77.68	28.43
Fkbp1a	274.25	339.24	1115.52	1029.57	838.97	182.94	14.64	479.65	852.29	372.29	636.76	871.61	353.48	408.02	520.42	671.51	1143.63	757.38	219.61	48.29	571.57	496.73	330.98	715.57	21.87	289.45	1090.19	301.43	420.93	661.79	357.62	222.19	505.34	482.52	55.73	427.95	309.96	61.19	269.03	169.68	104.18	201.99	189.15	3.83	277.61	336.02	565.29	239.78	369.15	170.48	271.33	154.5	480.05	1078.45	422.08	979.69	602.96	247.9	317.62	399.58	383.88	740.68
