	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Ctgf_tdTpositive_cell_5	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_64	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_70	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_22	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Mmgt1	32.07	14.4	5.31	0.12	0.79	75.53	323.01	81.08	55.11	0.12	7.22	3.74	0.28	0.49	0.0	1.86	0.98	1.37	0.13	0.08	40.93	0.43	26.51	44.37	13.35	21.77	7.41	1.25	4.75	6.44	9.85	2.58	35.14	5.34	4.61	19.76	0.08	31.27	67.69	17.22	35.67	2.99	11.58	48.51	0.75	3.16	1.79	3.04	28.28	15.2	0.46	20.44	2.39	31.03	30.22	29.35
Ncald	382.25	234.83	0.12	0.0	476.8	719.52	608.01	1333.64	711.41	0.0	0.0	0.0	0.0	0.0	0.0	371.57	394.27	438.72	121.3	228.5	421.8	304.53	165.55	359.05	374.23	341.05	394.61	304.57	501.94	201.68	212.68	593.67	278.65	327.0	169.1	657.44	108.96	328.24	452.58	399.28	260.85	307.53	563.32	363.03	0.0	0.35	0.0	37.72	177.81	320.47	285.58	220.86	147.8	469.42	459.6	450.51
Npy	138375.8	173305.25	0.0	0.0	96206.73	82245.2	42632.64	67463.47	125016.83	0.0	0.0	0.0	0.0	0.0	0.0	132042.44	105008.15	149629.49	134232.96	130357.56	116117.28	120987.76	122165.94	132052.33	122154.33	122963.43	126501.28	117863.77	98464.67	130527.91	173863.58	101365.79	126989.03	166048.87	191162.16	108906.97	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	110523.31	151963.58	0.0	0.0	0.0	145032.54	180453.32	128781.07	137945.15	95298.15	137580.94	214.21	196.57	200.76
Nsg2	133.93	37.4	0.0	0.0	357.05	621.99	466.41	188.18	99.77	0.0	0.0	0.0	0.0	0.0	0.0	59.89	59.05	55.02	29.19	57.32	21.33	152.74	106.94	70.39	48.88	119.08	100.14	130.04	107.07	40.46	119.59	189.07	82.49	105.09	59.0	167.7	44.37	74.77	18.78	58.63	39.14	105.28	54.2	70.31	0.0	0.0	0.0	160.8	99.83	110.13	72.68	67.1	137.5	642.61	673.47	621.36
Pbx1	76.94	11.65	0.0	0.0	27.05	0.1	146.92	67.4	0.07	0.0	0.0	0.0	0.0	0.0	0.0	12.56	62.01	19.08	13.1	13.64	40.7	2.26	37.92	12.43	0.38	27.27	40.62	12.06	2.3	25.28	10.97	0.0	14.3	6.36	26.28	19.45	24.23	20.4	23.66	0.12	28.1	0.16	17.04	47.74	0.0	0.0	0.0	29.36	18.79	24.45	30.36	24.63	0.56	64.04	62.21	64.09
Pogz	22.81	0.09	1.23	0.0	2.23	11.73	64.45	0.0	0.0	0.0	9.95	0.0	0.07	0.0	2.92	8.17	0.0	0.1	0.0	2.88	10.86	25.87	3.69	0.56	12.32	2.16	0.0	6.49	19.36	0.0	0.74	1.09	0.04	16.84	0.28	0.0	1.46	5.94	4.23	0.18	0.0	1.16	0.0	9.81	0.0	0.0	0.0	0.19	3.33	0.57	0.0	0.02	16.53	22.11	23.55	22.45
Ppp2r1a	523.61	439.16	0.0	0.0	988.99	876.88	1830.57	875.49	922.67	0.0	0.0	700.84	0.24	0.0	0.0	664.65	705.67	845.32	479.43	846.27	633.12	201.07	920.33	847.84	860.3	541.53	810.24	799.81	1032.88	398.78	767.98	1290.76	704.24	948.69	773.11	1113.75	768.52	516.02	1137.62	793.3	564.98	790.7	594.52	698.57	0.17	0.54	0.0	845.45	616.91	864.19	682.38	552.47	609.1	534.43	595.41	556.77
Ppp2r3c	39.84	25.23	0.0	0.0	144.63	6.68	237.95	134.46	72.37	0.0	0.0	0.0	0.0	0.0	0.0	49.81	117.28	95.18	6.02	71.81	41.15	37.14	53.75	33.66	43.91	3.48	38.96	117.32	126.45	45.4	69.19	23.8	5.68	9.38	0.0	0.36	95.55	111.7	2.5	71.7	2.69	61.42	31.74	25.77	0.0	0.0	0.0	45.78	3.84	127.49	53.46	39.65	12.59	26.91	26.37	27.55
Ppp3cb	64.93	153.94	0.0	0.0	84.62	96.73	184.82	83.85	72.82	0.0	0.0	0.0	0.0	0.0	0.0	20.76	8.93	29.88	10.61	57.08	25.92	45.0	71.03	37.94	36.58	67.83	13.79	6.57	21.49	7.85	23.27	210.16	72.19	34.77	37.76	39.42	0.3	17.62	29.64	1.71	10.62	14.85	2.82	16.17	0.0	0.0	0.0	41.51	1.99	42.68	131.69	64.37	30.79	247.23	241.42	227.54
R3hdm1	5.8	0.42	0.0	73.87	46.07	31.25	226.39	138.9	111.17	2.9	0.0	0.0	0.0	0.0	0.0	48.46	23.58	18.21	12.34	34.25	0.32	8.39	55.78	39.0	11.74	46.85	11.01	51.03	11.01	0.46	20.77	61.19	4.51	11.03	24.25	82.38	48.3	54.84	25.99	31.24	46.64	14.63	11.56	11.19	75.11	2.24	0.0	22.83	40.89	15.77	59.81	29.76	47.56	181.8	152.46	190.21
Rab6b	111.52	101.32	0.0	0.0	342.27	183.71	286.85	114.95	346.49	0.0	0.0	0.0	0.0	0.0	0.0	86.92	212.73	85.79	31.49	29.74	79.64	111.39	22.26	108.83	86.37	72.36	26.22	84.62	155.28	38.52	125.65	62.47	125.71	87.6	45.2	69.21	54.23	49.13	105.18	145.52	63.61	189.91	100.0	75.64	0.0	0.0	0.13	37.3	92.13	21.37	63.07	109.15	174.04	557.19	534.18	552.91
Rabep1	26.28	8.99	0.0	3.76	32.58	56.95	106.0	42.97	50.24	0.0	0.0	0.0	0.0	0.0	0.0	31.48	41.98	8.22	1.02	59.14	25.02	24.87	3.4	4.58	2.46	4.39	7.98	7.87	67.25	0.0	8.61	11.97	56.17	2.41	0.0	8.59	51.8	0.37	0.0	3.06	25.82	48.82	7.2	15.58	0.0	10.46	13.68	13.59	0.29	13.76	14.96	2.76	2.72	68.13	63.46	67.27
Ranbp3	24.58	0.0	0.0	0.0	0.0	62.31	106.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.03	60.62	60.72	0.05	0.07	0.22	1.28	0.21	0.0	29.69	36.68	47.0	1.55	0.27	0.0	65.56	76.73	0.25	0.0	0.0	0.48	0.1	0.0	10.01	46.46	47.8	0.0	0.07	0.39	0.0	0.0	0.0	0.0	54.96	4.63	0.0	0.0	42.06	67.11	76.65	69.92
Rgs7bp	0.58	1.06	0.07	3.47	100.71	123.92	194.24	52.63	84.9	0.15	4.26	2.73	3.83	0.39	0.0	1.03	0.13	4.23	0.49	0.49	13.63	4.73	11.46	29.27	23.83	11.42	14.41	4.55	1.26	4.34	3.97	42.79	0.69	7.66	0.49	21.89	1.67	10.32	0.71	0.46	0.93	7.49	0.6	3.13	0.79	1.83	1.8	25.93	0.15	0.4	6.09	0.72	11.89	124.57	101.66	124.47
Rock2	16.08	4.97	0.0	0.0	64.05	107.75	187.61	98.27	123.19	0.0	0.04	0.0	0.88	0.0	0.0	15.72	27.46	1.66	2.85	23.84	0.15	37.23	10.65	29.49	26.69	2.68	21.22	8.46	1.91	4.92	5.75	125.34	17.69	14.73	19.86	51.68	3.37	1.07	3.98	13.99	0.47	22.46	20.43	3.64	0.14	0.0	1.38	26.42	35.73	21.93	13.55	9.85	21.76	81.62	63.9	79.25
Sdha	522.27	439.87	0.0	0.0	937.59	636.85	1279.73	764.54	606.43	23.14	0.0	88.28	0.0	0.13	0.0	517.38	543.31	475.32	696.57	400.18	654.66	505.13	598.24	759.18	642.6	478.65	449.2	503.48	468.99	617.78	439.22	967.8	506.52	516.43	703.19	598.78	436.66	556.57	675.19	435.34	510.21	620.7	591.42	783.72	0.0	45.96	0.0	448.46	410.01	655.39	524.38	437.76	254.44	332.37	336.84	328.07
Slc22a17	135.56	28.76	0.0	0.0	477.59	354.68	181.9	259.02	154.7	0.0	0.0	0.0	0.0	0.0	0.0	109.91	165.92	227.3	142.74	49.46	104.17	157.32	104.93	130.25	94.32	70.8	33.15	191.67	124.54	115.03	139.49	86.02	57.93	59.16	105.47	141.76	31.21	42.5	132.1	80.91	29.55	108.26	85.39	38.56	0.0	0.0	0.0	67.22	97.83	141.88	127.12	204.26	238.57	585.25	674.77	635.05
Slc38a1	24.44	73.67	0.0	0.0	143.39	61.12	290.72	53.71	103.56	0.0	0.0	0.0	0.0	0.0	0.0	35.38	95.09	53.77	20.92	40.36	78.67	45.6	72.78	76.47	24.3	16.52	56.12	19.45	8.72	44.6	74.18	159.41	11.84	12.04	30.82	42.74	69.57	62.85	57.21	33.53	1.43	40.71	71.66	42.17	0.0	1.52	0.0	53.18	14.2	85.24	51.91	31.33	21.41	77.2	74.6	78.82
Slc4a1ap	9.8	0.0	0.0	0.0	0.0	0.0	66.99	0.0	55.79	0.0	0.0	0.0	0.0	0.0	0.0	0.07	25.49	0.23	0.0	0.0	0.0	0.0	2.39	21.92	0.11	2.57	17.58	22.21	0.7	16.99	2.57	7.34	0.0	4.0	0.0	0.0	18.05	0.0	0.0	1.49	0.0	0.0	18.52	1.43	0.0	0.0	0.0	0.0	0.0	30.21	4.66	10.88	16.08	31.26	30.63	30.38
Slc8a1	0.37	0.0	0.02	0.02	8.18	56.74	112.16	59.65	18.69	0.0	0.0	0.0	0.0	0.0	0.0	5.35	8.87	0.03	0.11	0.01	0.55	6.73	1.25	3.05	7.83	20.95	6.21	0.05	9.68	0.0	4.25	36.38	3.87	0.0	2.99	34.84	0.88	0.01	5.71	0.51	0.03	5.34	0.0	2.62	0.0	0.0	0.0	0.0	4.8	7.98	1.09	1.2	8.31	45.22	37.06	47.99
Smarca2	71.49	119.8	6.26	57.62	102.1	201.49	492.73	307.36	406.99	13.5	1.95	0.0	998.84	0.17	3.86	125.21	233.64	124.39	221.67	121.12	233.25	135.66	24.84	184.74	129.48	39.06	41.36	134.5	135.94	31.29	278.11	187.49	174.83	215.97	82.01	369.89	15.57	121.45	95.49	82.85	70.86	117.28	79.74	222.58	0.82	0.62	2.2	120.3	169.69	130.88	46.72	35.0	65.49	129.86	127.51	131.35
Smarca5	40.91	6.29	0.0	0.0	0.0	47.55	100.98	5.63	74.43	0.0	0.0	0.0	0.0	0.0	0.0	7.79	23.21	0.47	0.05	10.64	8.58	19.29	18.34	2.52	14.13	14.59	26.14	9.67	0.0	1.92	9.08	87.82	4.87	18.77	4.66	40.54	0.0	1.31	0.31	42.16	3.56	6.13	5.82	31.26	0.0	0.0	0.0	32.98	17.84	0.0	2.17	1.23	11.07	39.16	37.04	36.72
Snph	37.08	0.43	0.0	0.0	30.69	118.63	78.19	40.3	18.51	0.0	0.0	0.0	0.0	0.0	0.0	1.16	0.16	0.42	0.0	43.36	0.3	9.72	5.35	36.76	0.76	0.16	13.95	3.7	3.61	0.96	0.0	22.7	12.11	18.68	0.0	64.55	10.94	8.78	14.68	0.65	4.38	3.64	0.6	15.08	0.0	0.0	0.0	25.92	0.0	5.27	2.9	0.89	10.78	167.43	174.0	180.8
