	Calb2_tdTpositive_cell_46	Calb2_tdTpositive_cell_64	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_10	Chrna2_tdTpositive_cell_20	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_62	Chrna2_tdTpositive_cell_77	Cux2_tdTpositive_cell_98	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_13	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_57	Gad2_tdTpositive_cell_58	Gad2_tdTpositive_cell_61	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_69	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_108	Ndnf_tdTpositive_cell_3	Nkx2.1_tdTpositive_cell_22	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTpositive_cell_77	Ntsr1_tdTnegative_cell_14	Pvalb_tdTpositive_cell_83	PvalbD.Slc32a1_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_79	Rbp4_tdTpositive_cell_12	Rbp4_tdTpositive_cell_77	Rbp4_tdTpositive_cell_87	Rbp4_tdTpositive_cell_119	Rbp4_tdTpositive_cell_122	Rbp4_tdTnegative_cell_19	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_32	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_36	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_83	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_96	Sst_tdTpositive_cell_100	Sst_tdTpositive_cell_101	Sst_tdTpositive_cell_102	Vip_tdTpositive_cell_49
Rpl23a	320.06	613.07	989.21	289.93	744.45	574.58	835.89	1182.03	1724.74	589.63	887.79	236.41	1023.71	55.62	376.62	361.19	438.62	257.77	486.07	266.01	430.56	676.47	750.63	441.24	410.89	427.53	1373.31	703.65	626.11	495.71	568.56	581.98	466.19	550.85	594.35	699.72	817.23	548.21	455.3	575.64	395.06	457.86	531.76	866.5	582.41	922.35	416.22	769.55	258.38	598.65	415.77	916.15	609.61	994.06	594.32	595.68	581.7	755.31	403.19	780.08	701.97	492.6	450.81	607.64	858.78	732.09	678.75	540.76	624.55	309.09	332.7	404.15	1954.5	522.7	657.0	817.46	452.6	260.11	544.87	909.82	699.25	1.05	501.03	880.88	526.23	796.52	396.0	554.05	603.8	711.14	909.55	1101.81
Rpl24	0.0	647.94	798.33	769.12	745.09	675.4	502.14	602.35	461.64	403.26	721.86	691.2	683.56	492.4	442.14	570.73	171.34	339.23	385.68	338.02	519.73	203.41	396.98	291.77	506.02	591.84	1443.39	1089.87	486.03	530.71	446.57	347.16	158.59	517.66	354.45	239.36	337.59	531.29	438.66	290.12	382.94	315.1	281.76	610.47	461.7	612.09	379.42	467.66	324.77	625.79	432.19	627.1	328.05	716.65	748.33	314.55	410.9	528.26	480.64	632.79	385.18	587.17	454.63	0.0	453.2	576.48	618.72	821.58	547.55	313.33	301.54	444.8	731.4	496.91	220.68	826.5	545.36	302.16	591.34	500.08	489.66	277.45	425.72	695.44	594.55	838.07	467.8	682.36	647.78	413.8	396.56	988.26
Rpl26	0.0	220.4	190.78	106.1	182.97	215.22	222.13	355.98	435.85	204.76	124.42	0.0	214.87	0.0	105.4	143.1	121.89	165.95	120.47	89.9	112.33	238.64	106.48	183.84	42.85	134.48	322.5	148.58	143.31	124.98	259.36	66.01	141.71	101.96	135.16	132.57	51.31	194.54	180.46	131.49	68.96	77.0	199.87	178.12	49.22	42.3	179.21	74.73	58.54	150.98	81.6	153.92	72.4	380.84	260.18	248.52	130.11	124.35	92.57	179.02	98.57	104.99	81.36	0.0	122.17	290.88	151.97	105.02	264.49	89.56	107.74	58.31	730.93	121.91	62.78	158.1	150.91	152.72	197.08	372.95	282.56	63.94	103.49	284.47	193.87	299.92	119.03	149.04	158.62	93.1	212.12	269.32
Rpl27	2.09	235.23	229.67	576.35	358.59	442.54	329.33	587.54	342.19	355.08	252.53	136.39	586.11	0.0	319.0	238.39	231.99	451.42	372.91	499.27	241.43	183.61	140.59	331.38	547.23	464.12	740.5	642.77	184.17	303.56	311.99	367.53	197.52	236.28	386.63	372.94	316.64	404.73	214.07	347.16	117.18	146.9	281.18	230.73	246.58	168.22	250.72	429.72	277.64	534.13	255.48	261.43	296.15	532.2	239.43	223.13	389.57	293.72	223.54	403.14	309.7	251.67	301.36	197.99	373.23	591.99	213.79	405.21	227.39	246.24	174.15	302.51	504.49	211.61	373.41	372.47	213.35	251.49	274.19	273.23	144.46	142.24	403.09	419.49	322.64	652.34	391.18	79.94	225.76	273.18	253.96	690.29
Rpl3	1.09	4329.28	1899.96	2152.57	3623.15	1750.52	2283.68	1948.61	2788.18	1741.86	2303.78	1546.3	6219.79	0.0	1292.3	1422.25	1207.94	1474.82	1261.35	2907.17	1852.92	1213.09	1717.83	1260.25	1099.6	2218.88	4766.92	1370.12	2410.72	1739.2	2063.87	2088.98	1709.05	2141.68	1818.15	2010.43	2310.15	1491.84	1496.82	2105.41	1114.94	1876.94	1834.43	2840.36	2032.98	1469.44	1828.36	1582.24	1490.19	2256.86	1492.3	2638.58	1946.61	3073.46	2506.92	1682.28	1738.8	2139.54	1678.18	1839.02	2007.81	1826.17	2224.89	708.86	2125.42	2530.01	2184.13	1597.43	2162.77	1662.9	1898.6	1980.91	2131.51	986.77	1140.17	1581.86	912.07	1064.21	2112.27	1799.74	2215.17	555.78	2658.07	2650.72	2020.0	2916.26	1423.48	1775.31	2492.7	2363.41	2004.91	4275.8
Rpl32	5.77	1041.93	1046.39	738.39	1260.3	559.08	1133.14	1330.59	1264.05	464.2	1139.13	527.33	4350.68	0.0	532.08	588.34	823.14	413.96	501.66	195.5	428.95	516.13	287.53	1019.18	628.3	882.76	2384.62	1024.1	560.48	632.51	715.48	738.6	729.79	454.19	658.07	576.69	532.23	784.37	783.73	766.48	533.26	464.57	985.3	673.66	654.28	771.58	653.39	648.06	507.64	883.64	434.0	901.24	664.27	1033.46	792.29	589.85	1096.97	724.44	844.6	757.15	680.44	497.04	852.22	0.0	848.88	1220.05	481.01	441.6	658.06	451.69	648.83	671.94	3962.75	713.26	888.15	753.02	582.19	515.66	956.19	625.59	344.53	292.94	504.1	1093.02	896.38	1282.46	574.73	734.52	510.58	494.4	656.53	524.76
Rpl35	0.0	668.77	623.86	766.76	1139.94	566.72	1141.42	1554.01	1097.83	549.43	673.33	697.22	3376.26	13.48	513.39	566.68	346.23	379.93	367.62	331.41	595.69	553.6	682.34	726.5	681.1	749.48	1874.88	1027.74	638.92	806.77	562.58	694.33	472.05	599.17	662.24	660.1	833.17	900.84	565.11	1025.21	554.49	603.36	321.23	740.67	482.96	528.88	727.51	655.92	418.16	581.71	466.29	527.29	495.45	975.26	914.5	649.83	611.15	652.52	495.59	719.08	403.66	531.4	674.03	297.04	768.39	1179.73	612.54	380.58	759.82	652.2	355.45	442.42	5421.94	684.35	626.29	1094.46	625.0	594.83	1144.53	862.85	708.91	312.76	841.59	987.98	756.94	1072.05	528.93	595.81	559.08	722.87	574.92	905.88
Rpl35a	42.89	441.07	491.11	224.47	685.08	280.08	430.8	876.82	1190.78	343.41	601.52	475.38	2087.67	0.0	275.57	214.08	246.78	294.22	463.35	246.6	228.75	129.72	248.59	319.88	110.61	336.66	457.6	1244.47	496.2	277.72	320.83	401.43	312.79	256.11	362.82	209.96	364.14	396.46	277.44	345.3	284.78	303.33	259.51	354.22	536.43	376.54	428.9	450.37	506.29	499.91	241.35	355.52	281.69	455.36	565.74	318.41	414.88	529.71	249.01	465.46	436.42	366.15	317.35	0.0	224.0	220.32	178.84	305.39	354.13	436.07	289.08	404.76	1747.46	319.33	88.46	470.97	485.99	398.92	447.45	294.27	329.75	153.42	319.11	459.82	429.3	771.27	224.03	406.97	383.79	439.67	232.6	848.34
Rpl36	0.0	176.75	571.56	595.2	549.85	883.14	634.36	1470.46	282.89	347.97	740.33	375.94	1502.01	0.0	251.61	382.84	663.27	125.89	281.02	394.09	471.24	174.87	490.83	253.58	257.67	393.79	979.29	625.31	409.58	451.64	682.39	380.58	578.26	339.46	442.76	280.42	383.04	350.74	362.43	708.98	500.92	194.11	554.7	849.76	420.96	634.95	501.62	529.58	275.83	274.94	398.49	485.05	390.68	421.21	322.22	302.89	436.03	492.08	357.84	432.09	328.45	305.48	400.06	603.0	379.41	875.91	649.8	522.26	667.74	518.41	152.7	361.2	2045.26	356.65	569.63	479.76	502.38	258.4	580.54	816.64	436.8	40.54	299.69	544.96	289.17	749.28	420.62	290.26	629.23	411.92	409.51	268.09
Rpl36a	525.76	355.46	119.02	369.74	673.43	121.88	256.03	460.21	345.42	158.7	480.38	190.59	596.97	0.0	39.72	212.7	78.14	162.49	264.19	146.07	49.99	99.42	250.59	34.7	166.81	277.75	806.71	507.79	216.88	100.62	138.98	376.24	294.18	141.98	320.22	328.66	275.17	274.78	147.44	219.95	184.75	166.73	143.21	300.81	182.21	196.18	157.48	429.13	107.6	258.62	148.29	294.87	62.49	514.67	205.42	280.86	202.43	201.96	383.25	274.3	265.01	184.53	169.52	46.73	200.6	262.21	0.0	263.59	318.84	186.5	0.0	272.22	1674.63	162.04	195.86	206.6	241.63	201.93	121.11	86.22	185.61	152.14	243.32	408.16	232.01	351.48	179.18	85.39	0.28	147.4	128.02	199.2
Rpl37	110.14	274.62	361.45	370.13	606.62	266.14	468.78	553.53	518.03	221.95	390.96	205.85	1366.15	0.0	176.46	111.01	207.73	192.63	179.79	213.24	284.68	118.06	169.02	296.95	188.15	282.57	891.47	439.53	259.5	289.02	301.55	265.51	219.55	194.93	301.71	237.96	291.43	311.89	304.25	416.43	270.3	214.1	274.52	347.95	267.62	257.25	154.87	241.38	134.24	382.13	238.4	424.44	261.46	433.38	251.36	288.86	311.9	369.71	317.73	261.72	227.45	254.35	223.43	295.16	298.01	290.04	151.83	242.35	205.1	195.39	215.21	296.71	1250.74	323.25	259.6	590.11	243.13	279.6	355.25	363.45	241.96	109.81	250.97	391.72	478.2	660.91	281.18	153.63	235.39	240.32	238.04	558.05
Rpl37a	142.54	637.91	367.22	338.49	695.11	520.47	409.43	1111.88	834.79	232.11	282.68	367.9	1829.21	450.62	245.0	264.84	236.48	174.15	153.39	102.94	336.67	276.71	293.97	385.75	303.53	467.91	2384.8	725.4	294.02	281.46	355.21	511.07	428.57	286.43	323.65	333.91	342.09	464.41	238.8	473.78	302.85	363.42	315.73	740.77	320.21	653.02	319.5	458.28	367.86	399.58	380.45	387.38	221.59	777.77	430.45	291.74	596.67	536.68	328.46	353.54	210.2	260.51	250.75	139.14	383.08	525.91	148.26	183.56	434.78	255.98	437.19	254.21	2258.36	380.09	196.23	669.31	280.77	279.67	266.6	372.48	436.7	238.73	271.29	741.61	440.08	970.51	302.3	249.14	275.25	315.72	378.62	315.39
Rpl38	163.12	540.98	508.89	793.28	1121.24	812.75	799.69	1216.62	1945.7	439.86	490.33	575.48	2037.25	354.21	354.77	584.77	323.14	283.47	644.5	411.6	201.33	283.38	552.61	673.03	328.36	749.81	2901.49	944.93	506.34	449.03	441.37	605.82	469.85	566.74	441.77	500.28	450.62	578.1	452.33	446.62	297.74	378.29	358.75	596.7	545.47	366.68	557.54	411.97	492.92	536.61	383.04	464.11	248.41	544.93	535.91	450.31	612.35	424.53	527.54	554.17	640.63	546.84	370.82	0.0	575.16	607.97	315.05	538.81	617.7	471.07	401.36	342.53	1714.01	558.67	491.98	571.16	306.87	289.69	371.59	521.18	265.97	486.36	510.01	791.98	523.68	1016.32	342.65	512.94	581.91	283.21	484.16	943.59
Rpl41	229.62	2725.46	1489.53	1745.92	2623.41	1907.09	1199.3	2966.12	3017.09	761.38	1531.42	861.47	3480.79	814.78	1057.37	985.17	1126.95	747.24	680.28	1007.18	704.45	937.79	904.59	2101.0	756.94	1508.21	3097.08	3372.93	1291.32	1217.08	1363.45	1404.66	1353.4	1282.87	1335.23	1529.55	1209.79	899.61	1351.82	988.74	1616.83	1057.44	906.11	1063.69	1561.07	1426.22	1507.21	1376.64	1213.77	1296.8	1054.62	1252.29	1145.76	2221.23	1429.8	1285.75	1305.98	1176.61	1592.12	1542.99	1508.13	965.92	1393.21	1121.48	1052.19	1056.33	732.2	1117.51	1652.54	1423.08	1403.89	1425.05	3374.92	978.52	1143.65	2227.3	969.99	767.41	1654.64	1538.18	1229.05	628.3	1257.93	2178.36	1238.67	3801.11	930.4	1417.44	1586.11	939.63	1334.28	1544.96
Rpl6	101.56	471.96	583.18	740.69	642.47	413.76	474.78	372.14	963.4	468.12	575.69	434.17	481.87	0.0	346.54	618.61	205.08	537.57	780.36	198.47	233.69	454.17	289.79	327.9	307.0	571.78	546.67	811.75	564.99	459.39	567.15	232.46	345.77	406.16	514.33	662.51	363.32	480.63	362.05	439.3	355.96	436.46	456.71	570.85	662.78	460.41	291.46	464.96	363.09	494.42	407.79	541.83	296.07	376.06	474.95	480.36	351.34	499.39	458.42	303.01	386.16	537.27	491.03	0.0	388.47	601.36	257.82	590.75	239.94	353.08	397.09	537.76	944.66	375.42	390.21	1084.49	569.55	455.53	370.24	515.1	588.91	91.35	446.38	736.64	596.27	904.75	383.16	566.19	575.24	604.38	473.71	884.77
Rpl9	577.07	556.26	971.16	1574.3	1678.32	720.06	1011.23	1357.72	2809.19	777.22	1115.83	913.95	356.6	3.98	646.22	631.02	129.12	568.72	938.45	1235.18	1113.29	585.42	553.42	643.7	301.97	933.48	3256.5	303.73	874.23	673.65	565.73	875.11	647.79	554.48	1059.91	922.57	755.36	817.53	507.01	970.14	1016.64	517.85	643.39	704.9	966.13	884.54	970.16	878.03	611.32	884.94	500.62	819.23	804.98	1019.7	1457.04	861.62	876.76	969.54	661.63	832.35	843.09	715.59	749.5	25.61	647.72	1562.71	713.83	1011.68	701.27	527.48	950.67	727.78	2545.22	554.6	707.91	1345.03	659.11	795.8	1425.57	887.9	770.05	315.82	852.36	1447.9	920.4	1727.04	744.84	645.3	723.5	667.31	917.13	1669.5
Rplp1	224.19	728.84	710.97	545.56	704.48	518.78	608.71	965.64	809.91	452.87	569.67	321.55	3505.44	467.8	211.0	367.26	477.74	459.62	457.76	419.54	337.05	487.75	213.42	734.65	426.35	517.75	725.6	798.14	365.44	496.31	537.04	525.19	342.15	359.6	412.01	339.03	519.72	562.15	504.98	476.0	496.96	373.64	404.97	695.2	614.3	650.75	508.15	249.46	464.51	534.83	431.4	416.25	392.13	363.62	433.57	552.03	520.82	765.53	409.05	519.36	665.77	433.39	391.19	153.85	559.93	640.26	407.72	433.36	348.6	407.8	379.35	475.84	1377.28	195.65	284.45	602.94	568.28	558.56	744.69	513.66	655.98	188.04	328.43	688.34	673.66	643.98	218.46	246.0	410.22	398.52	566.73	189.09
