	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_7	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_43	Gad2_tdTpositive_cell_74	Htr3a_tdTpositive_cell_85	Ndnf_tdTnegative_cell_5	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_27	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_68	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_18	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_73	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_80	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_83	PvalbF.Gad2_tdTpositive_cell_87	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_4	Rorb_tdTpositive_cell_47	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg3_tdTnegative_cell_12	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Akirin1	0.0	0.0	0.0	0.0	0.0	34.09	148.72	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	7.87	0.11	57.86	1.16	0.0	20.53	3.52	0.0	22.41	0.0	0.0	125.76	0.0	27.07	0.0	0.0	0.0	10.78	0.0	1.74	0.0	42.52	21.05	11.74	45.13	4.47	4.32	1.59	4.66	33.55	0.0	13.34	0.0	1.83	15.26	0.0	22.17	37.1	0.0	40.31	0.34	0.0	56.34	1.46	0.0	0.0	2.63	0.0	0.18	0.16	0.0	70.97	75.53	68.13
Amigo1	0.0	1.02	0.0	0.0	0.0	0.0	57.75	0.0	0.0	0.0	0.0	3.71	93.64	0.12	0.0	0.14	0.0	44.52	7.78	23.82	5.29	23.4	20.91	0.16	8.17	52.15	0.63	0.0	5.21	34.63	0.0	0.0	14.02	7.26	142.17	0.0	0.31	0.3	37.0	13.18	37.73	26.48	0.0	21.51	11.14	2.6	0.0	0.0	0.11	14.39	0.0	32.76	47.73	13.26	13.38	19.03	0.07	66.56	16.24	73.26	20.7	6.44	0.0	0.0	0.0	0.0	58.86	60.1	60.6
Ankrd13d	0.0	0.0	0.0	0.0	19.56	0.0	1.43	0.0	0.0	4.17	0.0	1.38	0.0	0.0	40.1	22.72	0.0	41.09	22.45	33.99	0.0	10.55	44.2	2.97	0.0	22.15	0.0	0.0	0.0	4.27	0.0	31.68	0.0	22.16	0.0	24.04	0.0	34.03	0.0	0.0	0.52	2.49	0.0	61.32	2.05	24.04	7.99	19.27	2.03	0.0	0.58	59.02	6.58	1.51	9.4	50.83	29.23	7.32	0.85	8.39	0.0	0.0	0.0	0.0	0.0	0.0	58.38	59.24	61.04
Ankrd34a	0.0	0.09	0.0	0.0	0.0	5.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.06	0.1	21.65	13.9	0.0	0.0	0.32	10.83	7.95	1.89	0.0	0.0	18.0	0.0	31.17	0.0	0.0	0.0	0.0	0.0	0.0	25.65	0.0	0.0	0.0	6.56	2.85	24.08	0.0	0.84	0.0	0.32	0.0	0.0	0.0	0.0	8.87	0.87	0.0	4.74	8.65	19.41	0.0	8.84	19.52	0.0	0.0	0.0	0.0	0.14	0.0	57.01	57.85	56.25
Apc2	0.0	19.08	0.0	0.0	0.0	2.1	4.24	0.0	0.0	0.0	0.0	0.0	0.0	1.16	4.18	0.68	11.89	5.81	2.15	11.54	1.3	0.0	10.25	7.46	0.0	9.14	1.32	11.94	0.06	0.99	0.0	14.74	2.24	0.0	0.2	3.35	0.0	3.76	0.0	0.54	0.54	0.0	8.7	3.2	0.0	8.81	10.35	2.55	0.18	6.73	0.0	14.98	12.02	0.0	5.48	5.67	2.84	1.14	22.71	2.14	3.93	11.47	0.0	0.0	77.92	0.0	49.75	52.05	53.73
Arhgap21	0.61	0.0	0.0	74.03	0.0	22.64	43.3	9.11	0.0	129.85	0.0	12.53	0.0	0.68	20.15	0.79	1.7	27.61	3.72	0.0	34.48	9.42	4.79	1.24	6.62	24.83	36.62	9.08	50.93	16.53	13.05	16.89	40.6	0.75	0.0	8.02	0.0	20.33	0.97	17.76	8.26	2.67	3.36	2.2	27.5	9.14	11.67	12.68	30.32	13.54	25.17	32.05	0.26	4.43	19.31	16.08	50.17	25.52	2.16	21.21	51.05	41.49	4.27	0.0	0.7	0.0	77.97	75.97	80.34
Arhgef17	0.0	0.82	0.0	0.0	0.0	0.06	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.06	0.06	0.0	0.0	0.0	0.0	0.81	0.0	12.54	9.83	0.0	8.44	0.34	1.72	0.05	17.51	2.62	0.0	19.6	4.71	10.41	0.0	0.0	0.05	0.0	0.0	2.06	0.0	32.21	11.37	0.72	7.28	2.34	2.95	0.0	6.59	0.0	0.0	13.46	0.0	0.0	2.02	3.12	15.46	4.63	6.86	0.85	8.93	0.06	0.0	0.0	0.0	0.0	53.82	58.08	58.26
Arid1b	0.0	0.68	0.0	0.0	0.04	22.97	6.61	0.71	0.0	8.17	0.04	1.17	0.0	0.16	12.26	13.82	4.49	14.99	6.7	4.15	7.1	6.14	6.24	3.5	2.25	7.95	5.62	12.21	21.07	1.24	1.74	25.34	7.45	19.48	3.82	3.39	1.0	12.32	9.11	11.74	3.99	13.87	0.64	7.57	2.54	11.71	1.33	4.77	3.08	6.89	8.8	15.32	1.92	19.0	9.19	13.25	14.31	4.34	13.33	21.97	13.66	2.89	12.66	0.25	0.13	117.49	20.92	20.89	22.57
Atrn	0.0	0.03	0.0	59.96	0.0	20.77	16.72	7.61	3.32	63.38	0.1	11.13	1.03	5.45	7.82	3.87	1.43	2.7	4.55	46.11	4.42	29.35	24.51	26.19	17.5	1.72	0.44	17.02	35.59	4.11	0.09	1.41	17.48	0.02	51.66	19.78	0.0	6.75	0.06	28.55	10.9	22.16	10.16	13.87	0.23	25.07	19.83	6.56	22.86	19.35	0.0	17.72	10.23	53.2	5.0	9.23	3.7	39.52	38.33	21.89	0.08	19.67	0.09	0.18	0.24	0.42	85.45	83.79	91.7
Atxn2	0.0	0.0	0.0	0.0	0.0	33.75	47.84	2.16	0.0	0.0	0.0	33.66	136.12	0.4	39.43	10.72	0.0	41.86	15.21	15.55	0.0	2.36	15.64	1.23	16.59	2.7	0.0	12.01	9.54	11.81	5.13	11.08	25.41	0.0	40.67	0.27	22.97	19.06	34.64	6.66	38.37	32.52	25.58	9.2	17.87	33.35	2.94	48.75	20.7	1.92	116.25	27.22	34.06	53.57	47.98	0.99	11.45	69.74	29.1	28.7	59.51	0.04	0.0	0.0	0.65	0.0	46.73	47.49	48.73
B4galnt1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.34	0.0	0.0	12.42	0.0	12.7	4.62	0.0	0.0	0.72	0.0	17.06	0.0	19.57	4.91	0.0	0.0	1.31	0.0	0.0	2.22	0.0	0.0	1.8	23.22	0.0	0.0	0.0	0.0	11.12	0.0	0.0	25.95	4.98	21.14	25.54	32.23	11.62	13.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.01	0.0	4.19	0.0	8.81	0.0	0.0	0.0	9.89	125.68	137.59	125.52
BC018242	0.0	1.13	0.0	0.0	0.0	0.49	0.0	0.0	0.0	0.0	1.62	0.16	0.0	0.23	0.0	12.37	8.6	0.75	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.42	0.0	7.23	0.0	22.71	0.1	3.51	0.0	0.0	10.9	12.49	0.0	0.0	3.2	0.31	0.0	0.0	2.17	0.0	0.0	0.0	1.45	0.0	0.0	0.21	2.77	14.43	0.0	16.7	0.0	0.44	13.07	0.0	0.0	0.07	0.0	0.0	0.0	0.0	148.85	160.32	156.13
Bag1	0.0	0.19	0.0	0.0	0.0	12.49	7.7	42.38	0.0	0.0	0.0	47.69	0.0	0.0	31.45	24.44	33.76	0.0	38.03	0.58	35.1	66.8	7.71	10.19	0.41	18.83	0.0	2.93	56.17	75.29	0.0	90.72	3.36	0.8	9.36	0.31	12.36	17.92	60.46	19.51	87.0	36.53	0.0	6.82	0.0	0.0	62.55	40.09	0.0	25.51	95.32	38.44	76.72	0.7	54.0	77.69	66.01	43.33	12.36	9.36	0.0	14.12	0.0	0.0	0.0	0.0	146.96	156.33	154.32
Bap1	0.0	0.0	0.0	0.0	0.0	49.68	0.0	51.87	0.0	0.0	0.0	15.94	0.0	0.35	50.25	2.46	0.0	95.71	40.91	43.47	4.78	36.95	0.0	20.56	18.24	24.6	0.0	44.59	9.08	50.68	7.44	8.19	8.93	0.0	3.81	0.0	9.84	3.59	25.98	46.41	23.44	58.16	56.06	25.14	88.61	59.97	91.65	1.98	37.23	3.09	87.16	57.84	2.44	16.89	118.11	97.02	0.0	0.0	0.85	95.06	37.25	25.88	0.0	0.24	0.11	0.0	103.47	103.07	104.21
Baz2a	0.0	0.0	0.0	0.0	0.0	11.35	4.78	2.4	3.08	38.97	0.0	0.2	0.0	0.07	4.33	0.0	0.18	5.48	3.94	0.0	4.68	10.48	0.0	0.09	0.0	7.94	0.0	10.87	16.96	3.82	0.0	1.73	0.55	22.59	0.7	0.19	0.0	19.43	2.09	0.84	0.65	0.0	14.21	0.3	2.67	8.6	3.32	0.14	2.33	6.97	0.07	10.34	0.0	0.05	1.21	26.49	0.04	1.59	1.37	2.74	20.3	0.0	0.0	0.0	0.0	0.0	27.57	27.42	26.18
Bcl2l2	0.0	0.0	0.0	0.0	0.0	13.68	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.52	42.6	1.61	2.08	22.96	14.43	0.0	13.63	0.24	9.14	83.39	35.73	9.04	0.0	0.79	35.07	0.0	77.2	43.02	25.82	0.0	0.11	37.48	37.36	3.8	0.0	0.41	20.3	1.06	28.76	51.06	15.03	14.9	84.81	41.8	1.24	57.09	15.18	4.71	20.53	30.59	5.18	1.99	5.53	7.87	33.05	0.2	51.91	79.67	0.0	0.0	0.21	0.0	106.04	105.91	103.99
Bdp1	0.0	0.07	0.0	14.5	0.0	12.4	1.36	0.9	0.0	0.0	0.0	1.04	0.0	0.0	5.12	0.0	0.0	9.82	3.56	1.29	0.38	0.66	1.01	10.58	0.54	0.25	0.0	0.49	2.95	0.77	0.08	0.32	0.13	0.84	0.92	4.79	11.58	0.03	0.0	13.48	1.76	11.47	9.11	3.47	5.88	2.54	11.29	3.48	8.89	0.38	0.74	3.03	11.3	9.37	5.98	3.47	8.12	4.46	9.28	5.38	0.0	11.65	0.0	0.0	0.04	0.0	12.83	10.44	12.97
C2cd2l	0.0	0.0	0.0	0.0	0.0	0.15	7.44	0.0	0.0	0.0	0.0	0.0	11.66	0.0	11.53	0.0	1.6	0.0	7.56	0.0	6.36	13.89	12.8	0.0	0.0	0.0	0.0	0.13	0.0	1.34	0.0	23.41	0.0	0.0	30.46	0.0	0.0	28.17	11.03	0.0	0.06	2.15	12.95	10.53	0.0	12.85	0.09	0.18	0.99	2.2	43.65	5.99	1.14	3.67	13.23	24.3	0.05	0.0	0.33	15.82	0.0	0.0	0.0	0.0	0.0	0.0	101.81	111.13	100.46
Cab39	0.0	25.52	0.0	2.97	0.0	41.13	152.16	99.71	0.0	0.0	0.86	71.65	0.0	0.16	102.8	1.28	151.69	119.52	48.03	38.49	48.31	119.18	73.64	45.86	30.65	67.49	36.18	33.25	13.13	106.67	34.49	23.63	67.45	0.84	48.56	22.19	67.67	29.78	48.25	41.15	48.69	28.53	52.36	42.77	8.98	272.6	7.38	40.72	1.13	12.58	28.27	153.37	30.73	60.79	38.35	58.74	72.86	153.56	121.23	71.31	117.92	5.42	0.0	5.44	0.0	0.18	153.97	150.03	150.81
Car11	0.0	0.17	0.0	0.0	0.0	0.0	0.0	38.25	0.0	0.0	0.0	8.02	0.0	0.42	2.52	0.0	7.58	0.0	8.22	45.26	0.0	37.09	0.45	1.68	1.92	0.72	0.0	0.0	0.0	0.46	0.0	1.62	0.0	0.0	0.0	41.12	0.0	0.0	0.73	10.63	11.8	0.58	10.87	2.83	9.87	36.24	35.82	1.13	3.05	10.89	0.0	0.0	17.92	18.83	0.89	12.38	31.76	0.13	0.26	0.0	0.0	0.0	0.0	18.23	0.0	0.0	214.47	236.01	224.75
Cdk16	93.17	11.26	0.0	0.0	0.0	29.32	13.32	10.3	0.0	0.0	0.0	0.83	0.0	0.2	19.25	17.7	50.91	4.86	2.46	0.25	42.18	57.27	18.38	16.84	3.03	37.91	12.8	19.94	33.13	38.97	70.34	0.45	30.31	16.48	0.0	62.46	43.12	7.45	0.11	21.81	6.32	7.5	7.13	16.07	90.31	48.72	0.14	13.58	8.19	3.31	0.0	70.67	25.19	10.17	44.69	71.24	0.12	40.77	36.38	24.29	91.56	18.44	0.0	0.14	0.0	0.0	206.47	218.5	219.97
Celsr2	0.0	0.0	0.0	0.0	0.0	3.3	1.44	0.0	55.66	0.0	13.93	9.43	8.36	0.06	1.38	3.53	0.0	13.52	5.4	10.72	4.88	5.04	11.86	3.69	18.19	0.96	4.36	3.14	4.52	1.94	0.07	0.0	0.22	1.53	0.07	27.06	0.4	12.72	4.01	12.95	9.75	1.6	16.96	15.03	5.85	12.58	26.59	21.04	0.5	7.54	16.53	7.54	5.9	18.96	7.24	7.8	7.99	5.07	14.68	10.73	21.61	2.89	0.0	14.6	0.1	0.0	73.45	73.3	82.99
Chchd10	0.0	7.77	0.0	0.0	0.0	16.72	3.91	42.11	0.0	0.0	0.0	2.76	0.0	0.84	13.44	6.94	33.94	13.15	15.01	87.22	32.35	48.44	50.36	6.09	80.59	12.82	0.0	13.98	2.63	42.1	17.82	41.34	31.83	3.1	6.57	4.91	0.0	39.46	0.75	47.97	26.58	10.77	0.42	7.71	0.0	69.61	34.14	11.38	25.53	34.15	41.6	6.19	0.0	68.07	25.55	10.73	31.46	66.19	52.55	29.46	47.53	27.1	0.0	0.0	0.81	0.0	219.56	249.09	250.7
Chrd	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.0	0.0	0.0	25.55	0.0	24.86	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	8.27	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	7.47	0.0	0.0	0.0	0.0	0.0	0.06	0.11	0.0	0.0	0.06	0.0	0.13	0.0	0.0	27.09	30.65	28.33
Cnnm1	0.0	1.32	0.0	0.0	0.0	70.89	64.14	6.72	0.0	0.0	0.0	26.45	0.0	0.12	33.53	11.15	25.63	41.51	55.6	87.49	15.63	59.13	39.08	17.69	30.69	41.34	15.85	28.56	29.59	37.38	0.15	18.12	32.27	0.55	4.61	25.36	6.2	30.63	0.4	37.23	14.25	24.8	54.02	33.8	10.44	70.5	56.95	16.12	18.65	44.86	27.34	50.16	12.87	43.59	72.25	14.86	30.46	66.04	48.71	32.56	0.46	21.87	0.0	0.0	0.07	0.0	63.15	65.54	67.49
Cntnap1	0.0	31.77	0.0	0.0	0.0	3.16	0.0	15.08	0.0	0.0	0.0	28.18	0.0	0.0	3.83	34.62	21.71	12.88	8.26	5.69	4.22	21.03	1.53	4.67	10.72	11.88	10.52	5.1	13.68	6.59	0.85	10.33	12.14	82.67	9.6	0.3	11.65	19.18	12.05	12.28	17.0	15.23	30.63	0.37	14.63	31.22	9.95	0.66	9.86	6.14	0.11	22.12	0.37	20.41	14.5	34.54	2.78	20.58	18.07	0.45	23.59	14.72	0.0	0.0	0.0	0.0	146.45	139.24	144.43
Coro2b	0.0	5.61	0.0	0.0	0.0	11.01	0.0	31.32	0.0	42.73	0.0	11.67	10.33	0.0	19.27	16.42	6.72	60.98	10.44	8.49	10.51	8.94	25.58	21.99	21.83	13.41	0.53	36.85	3.79	19.14	5.96	4.93	0.0	19.4	11.61	5.48	17.24	33.97	25.42	14.97	0.08	0.45	12.18	19.29	29.64	18.4	23.08	0.33	1.04	52.46	9.93	9.32	27.27	2.02	14.17	23.98	31.17	4.45	17.38	1.55	4.19	14.74	0.0	0.0	0.1	0.0	118.73	124.35	130.21
Cul4a	173.2	0.0	0.0	24.81	0.0	0.0	0.0	0.0	0.0	0.08	0.0	16.1	0.0	0.0	0.0	21.72	49.84	0.0	2.9	0.0	1.49	33.75	0.0	13.22	44.34	22.1	2.98	12.73	20.49	2.14	30.89	4.91	18.94	0.0	0.0	3.23	28.84	4.46	50.72	10.0	18.51	8.74	1.64	0.14	9.13	2.57	0.0	0.33	0.0	0.0	0.0	107.1	0.0	21.5	44.29	0.0	0.0	20.05	16.1	30.27	0.0	15.9	0.0	0.0	0.0	0.0	57.84	56.16	56.17
Cyth1	0.0	0.0	0.0	57.44	0.0	5.88	0.0	0.0	0.0	0.0	0.0	0.71	0.0	0.0	18.76	2.02	0.0	0.0	11.24	0.0	0.0	0.0	20.12	0.51	0.0	0.0	0.0	10.6	0.76	4.98	0.0	7.63	0.0	0.0	0.0	6.01	1.35	0.0	0.0	1.8	0.53	0.77	15.77	0.0	4.1	4.7	36.6	0.0	0.69	0.46	1.19	3.14	0.29	0.0	2.72	0.0	1.08	21.86	5.57	0.19	27.25	6.1	0.0	0.0	0.0	0.0	67.03	75.5	69.5
