	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_4	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_68	Gad2_tdTpositive_cell_69	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_83	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_8	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_54	Rbp4_tdTpositive_cell_59	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_49	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_69	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101
Ap1g1	16.73	43.23	0.47	0.0	0.0	0.0	0.0	0.0	64.62	0.0	91.33	55.28	13.59	48.62	49.22	6.24	0.0	0.04	0.0	0.0	0.0	14.01	16.96	34.5	42.39	10.99	3.09	53.71	21.46	4.47	1.4	0.29	0.87	11.57	0.12	1.69	24.02	6.4	0.0	3.92	4.07	0.0	5.39	5.1	1.37	5.59	50.37	7.3	17.54	0.0	15.27	23.1	15.74	0.34	14.4	0.04	0.0	1.56	32.81	14.95	2.95	0.2
Atp1b1	460.32	401.56	307.14	0.0	0.0	0.0	0.0	49.05	287.43	1232.5	854.64	850.37	739.5	509.61	481.35	568.09	0.0	0.0	0.0	0.0	0.0	209.46	178.41	201.33	214.59	388.15	470.76	270.6	267.12	428.26	302.4	347.44	205.0	232.31	418.76	244.76	422.87	352.98	298.32	231.61	367.01	175.8	264.41	267.37	292.65	267.22	303.71	242.63	231.1	861.25	697.63	351.47	221.22	453.56	545.04	305.28	1056.64	389.51	288.3	1041.99	230.53	251.06
Becn1	43.51	30.4	12.21	0.0	0.0	0.0	0.0	0.0	298.73	21.55	148.33	87.18	289.78	141.01	5.53	66.06	0.0	0.0	0.0	0.0	3.72	67.4	0.08	0.0	52.99	0.2	25.71	37.76	18.45	158.32	45.98	35.76	71.69	34.15	108.49	35.15	7.23	103.11	58.86	131.63	0.0	88.13	69.94	35.4	76.81	40.23	0.27	38.0	96.8	64.77	85.32	104.35	99.57	0.17	70.65	49.74	82.11	0.0	44.6	8.14	92.98	0.0
C430048L16Rik	1.49	0.33	0.23	0.0	0.0	0.0	0.0	0.0	16.31	5.19	168.72	0.36	59.46	3.13	0.0	62.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	3.06	0.03	3.64	0.0	0.32	0.0	0.0	10.63	13.22	0.0	15.13	14.95	0.0	0.0	10.48	64.28	0.0	0.0	0.0	5.33	11.72	0.0	0.0	4.16	7.63	29.68	2.33	0.0	13.54	0.0	1.28	86.73	7.9	0.39	7.03	24.45	0.0
Ccnd2	0.0	0.0	0.0	0.0	29.2	0.0	0.0	0.0	149.11	4.8	289.76	30.62	0.0	11.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.02	0.09	0.16	16.93	5.08	0.16	0.0	0.0	0.0	0.05	0.19	9.92	76.29	34.47	0.0	0.0	0.0	0.0	0.0	0.0	40.56	0.05	0.0	12.75	0.03	0.0	80.35	0.09	21.11	0.0	0.0	0.0	0.0	269.01	168.04	0.0	6.83	54.79	0.0
Chm	38.06	16.03	0.0	0.0	0.0	0.0	0.0	0.0	108.09	92.95	174.46	0.0	32.47	47.67	77.11	0.0	0.0	0.0	0.0	0.0	0.0	92.24	36.57	64.05	40.03	7.94	0.02	28.66	67.13	24.07	4.66	11.46	0.0	3.91	32.62	0.0	16.38	73.93	0.0	0.0	97.29	41.57	22.87	10.44	20.53	3.51	0.61	14.94	0.25	1.75	59.07	0.0	0.0	0.07	6.3	84.12	57.72	68.03	0.0	10.19	23.99	4.72
Cyp2j5	2.27	2.38	2.81	0.11	0.0	1.42	0.5	0.0	4.28	3.25	6.81	5.93	17.26	8.64	3.05	2.44	0.01	0.25	0.0	0.88	0.0	3.22	2.38	3.06	2.0	3.45	3.26	4.35	4.43	2.06	5.8	3.86	1.12	2.86	3.77	5.46	6.78	2.64	1.83	1.82	2.5	1.65	2.24	2.35	2.01	2.79	4.29	2.26	2.72	5.62	6.3	1.77	2.13	2.87	2.14	1.03	7.5	7.17	2.12	2.04	3.12	1.03
D3Bwg0562e	82.61	86.4	0.9	0.15	0.12	0.85	0.14	0.0	143.41	23.97	206.12	74.43	390.32	213.02	87.81	39.6	0.03	1.52	0.18	2.13	0.0	14.01	1.8	3.97	24.65	54.38	8.86	29.05	31.78	47.62	21.69	33.55	27.76	29.19	87.62	48.36	66.5	7.09	1.58	4.62	137.94	7.95	9.09	0.66	4.55	23.03	31.46	38.57	19.18	17.26	179.49	28.49	25.38	39.4	4.18	16.06	94.56	63.76	63.13	43.57	11.96	49.29
D830005E20Rik	24.56	46.12	34.7	0.68	20.43	8.53	24.68	0.0	102.78	53.25	46.73	70.08	81.76	59.44	129.35	109.76	2.32	8.27	0.93	2.64	8.22	43.2	38.87	39.94	22.8	42.79	31.72	39.1	51.0	36.78	38.37	43.6	36.18	35.41	46.38	28.42	54.39	21.2	28.14	30.94	41.54	24.37	38.6	25.88	25.88	44.86	36.63	24.85	26.53	56.37	89.6	22.11	35.17	48.22	30.1	46.6	152.67	53.18	33.34	33.68	16.3	12.18
Dctn1	5.41	12.06	45.52	0.0	9.96	98.67	0.1	0.0	98.3	7.5	48.19	3.58	48.64	10.87	16.04	0.11	11.25	0.0	0.0	0.0	0.0	9.39	2.67	8.43	3.33	5.65	3.83	10.76	0.22	15.15	0.09	40.97	29.23	0.0	2.1	6.54	0.48	15.96	1.56	5.35	12.53	19.6	0.36	13.34	17.45	2.04	5.38	16.38	11.2	25.2	29.27	15.13	3.34	6.68	0.47	11.75	67.55	40.2	29.51	0.74	0.07	3.57
Dfna5	3.93	88.09	16.92	0.0	0.0	0.0	0.0	0.0	66.14	98.78	176.44	103.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.78	26.61	46.43	44.59	0.0	49.15	0.0	24.07	55.66	68.58	0.0	0.0	179.94	0.0	4.75	6.34	0.0	10.43	0.0	47.22	0.0	0.28	0.0	0.0	50.05	48.09	94.78	93.25	27.95	0.0	108.93	111.25	370.9	168.85	0.42	88.88	0.57	0.0
Dnm1l	72.96	225.2	82.63	69.68	0.0	0.0	0.2	358.38	112.8	322.02	457.75	319.06	196.52	213.79	361.68	109.79	0.0	0.08	0.0	0.0	0.0	101.91	163.99	129.91	129.7	40.93	100.39	158.47	182.6	176.07	140.89	132.04	125.8	178.91	159.21	193.06	113.99	156.69	105.07	17.19	351.84	52.96	125.79	109.96	113.7	220.89	142.42	123.84	174.95	237.15	192.87	75.46	126.74	108.92	122.58	16.31	0.4	341.98	90.06	352.32	148.92	201.51
Dos	25.07	54.75	99.5	0.0	0.0	0.0	0.0	3.48	140.1	145.98	113.62	71.19	124.01	109.68	78.89	26.29	0.0	0.31	0.0	0.0	0.0	39.1	58.63	26.67	8.58	87.95	52.78	18.64	39.06	42.41	28.67	37.59	15.48	30.67	37.41	53.2	29.16	57.96	70.17	61.21	82.65	108.24	31.39	47.38	19.23	21.2	36.38	21.59	16.99	76.67	71.48	30.17	45.87	45.13	62.85	6.44	63.55	71.29	57.29	0.0	37.73	29.29
Drosha	9.17	0.45	2.71	0.0	0.0	0.0	0.0	0.0	78.78	24.9	123.79	33.69	11.01	49.67	19.06	11.93	0.0	0.0	0.0	0.0	1.63	2.78	1.72	3.42	21.96	29.69	1.95	2.04	7.74	0.57	0.76	11.52	26.98	23.63	15.7	9.33	0.57	0.91	39.25	34.47	34.23	0.46	42.89	1.09	0.0	2.41	13.78	0.24	1.93	23.72	50.84	23.88	32.98	0.44	14.82	8.16	0.0	41.82	49.57	0.93	0.2	56.55
Eif2c1	0.0	0.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.6	11.13	0.26	0.0	0.0	34.7	0.0	0.0	0.0	0.0	0.0	0.0	12.46	0.0	0.0	0.0	0.0	3.98	0.87	12.17	0.0	9.56	0.0	0.0	0.0	17.36	0.0	0.54	0.0	0.0	1.31	5.77	0.0	0.0	1.28	0.0	0.54	0.0	0.19	0.07	34.03	0.0	0.0	0.85	0.0	0.0	28.25	0.0	2.13	0.44	2.46	0.01
Entpd7	1.36	3.24	2.4	0.0	0.0	0.0	0.0	0.0	27.52	8.31	39.95	6.81	5.62	0.0	27.57	31.06	23.44	0.0	0.0	0.0	0.0	0.0	0.01	0.55	0.0	12.78	3.7	0.32	14.08	2.56	0.56	0.07	12.06	0.0	0.25	2.53	0.0	1.16	0.23	1.57	24.27	0.0	0.0	2.25	0.0	0.62	3.75	5.62	0.0	1.48	9.87	0.35	0.0	0.06	3.6	2.93	45.45	4.29	0.87	7.86	2.78	5.73
Fbxw11	4.91	57.38	27.73	0.0	0.0	17.03	0.0	30.57	10.05	65.44	152.26	0.0	0.0	34.38	3.88	0.0	0.0	0.0	0.0	0.0	0.0	0.16	1.37	78.11	0.58	65.35	1.26	1.07	15.17	0.0	0.0	5.51	29.09	2.23	48.54	0.0	0.0	5.66	0.12	0.11	76.0	10.76	93.13	14.34	0.07	8.27	51.35	0.04	0.43	11.56	63.88	0.0	0.79	0.17	98.16	14.95	1.2	85.18	41.75	15.57	3.45	50.14
Fgf10	0.42	0.0	0.14	0.45	0.14	0.0	0.26	0.25	48.12	0.42	38.42	0.97	48.18	114.07	0.45	0.52	0.13	0.23	0.0	0.0	0.0	0.27	0.05	0.35	0.03	0.17	0.3	0.11	0.17	0.12	0.18	0.18	0.2	0.18	0.53	0.07	0.34	0.24	0.15	0.3	0.32	0.17	0.1	0.11	0.0	0.39	0.0	0.25	0.19	0.26	18.38	0.22	0.1	0.25	0.13	0.18	0.95	0.53	0.43	0.15	0.07	0.19
Fkbp4	32.09	43.83	29.36	229.72	0.0	0.0	0.18	0.0	249.49	165.91	335.05	0.19	73.77	280.57	37.13	13.22	0.0	54.06	0.0	0.0	0.0	112.43	47.02	18.33	0.15	141.11	15.53	33.91	0.0	105.63	53.64	18.23	60.22	48.31	65.18	84.15	0.0	40.88	1.45	17.14	66.99	0.0	5.09	69.69	33.79	29.56	79.61	72.81	88.87	136.77	28.37	87.22	27.72	16.92	56.77	62.63	0.0	329.0	33.85	100.12	29.89	7.04
Gm17821	159.2	144.83	109.53	68.76	126.96	32.28	65.75	0.1	373.77	175.54	223.51	231.94	392.7	239.42	223.31	211.02	33.95	84.22	59.25	73.5	61.65	108.53	139.94	149.2	83.86	160.33	158.01	114.81	161.7	109.85	125.35	145.62	107.97	138.45	152.69	147.65	159.29	141.67	132.54	99.22	162.69	155.3	179.51	109.01	105.43	150.54	115.41	117.21	136.93	146.15	363.0	95.33	105.99	202.83	101.87	117.85	308.99	169.31	86.22	147.44	102.26	55.36
Gng7	0.0	0.0	0.08	0.0	1.39	0.0	40.24	0.0	227.99	81.08	269.93	0.0	0.78	269.08	0.23	63.55	0.0	0.0	0.0	0.02	0.0	0.8	0.0	0.04	0.0	0.16	34.05	0.43	0.0	1.31	0.0	0.0	0.0	0.0	0.0	0.0	127.82	20.64	3.11	0.0	180.25	0.09	0.0	3.71	1.56	0.09	50.19	0.23	0.07	51.49	47.56	1.78	0.07	42.8	5.57	0.0	0.32	45.13	0.0	0.0	28.98	0.03
Gspt1	17.23	4.44	17.0	3.46	0.0	0.0	0.0	0.0	20.69	35.15	78.98	0.3	0.0	1.6	43.77	63.54	0.0	0.0	0.0	0.0	0.0	4.19	24.82	43.99	0.0	0.02	8.88	0.24	34.9	17.87	20.43	0.0	1.57	0.0	11.29	43.13	0.0	0.0	0.14	0.0	13.05	0.0	0.0	9.18	6.72	5.29	11.21	11.85	1.68	17.25	8.42	3.77	17.51	34.55	0.0	2.06	0.08	0.0	3.36	8.26	0.09	21.54
Herc1	10.04	14.23	12.55	0.0	0.0	0.0	0.0	0.02	63.33	26.36	75.13	33.44	89.52	53.86	27.91	21.76	0.0	0.0	0.0	0.0	0.0	8.07	11.14	9.27	5.51	10.29	1.69	18.72	5.64	15.18	11.09	24.87	10.43	14.77	28.22	0.41	2.72	31.68	2.55	1.73	17.16	3.67	8.75	15.58	13.52	10.39	14.96	5.01	7.45	19.32	23.3	18.15	0.81	8.35	1.85	19.41	12.67	32.28	8.93	7.77	14.83	7.54
Hist4h4	2.32	3.42	1.25	1.77	0.36	0.0	0.0	0.0	8.64	9.37	12.02	5.81	3.02	4.6	3.82	6.24	0.0	0.0	0.16	0.0	0.0	2.52	0.57	1.25	1.25	3.16	4.89	3.73	2.81	3.71	0.34	2.16	1.56	3.43	1.45	3.88	0.56	1.25	0.76	2.38	3.28	4.01	2.15	0.69	2.68	1.22	2.19	5.36	2.72	2.96	2.59	1.04	0.95	1.06	0.11	3.08	12.0	3.53	1.24	2.85	2.47	0.11
Kcnq1ot1	41.78	32.9	28.19	3.54	16.02	7.22	38.42	0.45	100.48	50.52	78.58	58.82	106.03	75.0	57.28	43.94	10.02	14.05	18.68	15.14	16.2	26.73	38.23	36.61	16.83	40.13	46.94	29.94	42.45	29.03	30.64	37.08	27.18	31.87	41.06	41.47	43.09	37.15	37.47	23.92	41.51	27.93	46.41	28.37	27.34	45.75	27.36	29.48	32.11	29.94	83.03	29.47	30.75	45.81	22.46	27.94	80.16	47.73	17.87	30.76	24.37	13.18
Kpnb1	45.63	0.0	17.87	0.0	0.4	0.0	0.0	0.0	91.1	22.53	130.36	0.21	78.71	83.79	3.24	62.15	0.0	0.0	0.0	0.0	0.0	19.55	0.04	8.49	10.44	0.0	17.07	11.17	0.05	22.09	3.57	5.36	5.2	45.65	1.5	28.13	0.0	59.52	22.98	32.34	23.1	0.79	0.0	0.0	20.78	18.67	13.37	17.54	11.02	0.22	21.27	28.47	15.96	17.93	2.52	9.53	0.09	4.06	15.31	0.07	0.05	1.15
Laptm4b	25.89	0.0	59.41	0.0	0.0	0.0	0.0	0.18	0.0	112.46	486.79	212.46	12.33	0.0	306.83	223.11	0.0	522.19	0.0	0.0	0.0	24.22	80.27	0.0	65.41	0.64	32.07	0.0	0.0	13.65	56.14	31.68	37.42	1.95	66.95	0.0	208.09	0.0	32.55	56.47	161.05	7.89	0.0	0.0	22.92	0.31	3.49	142.82	10.64	88.15	32.72	0.3	7.85	87.49	315.17	11.08	641.1	64.08	31.99	100.76	1.46	3.31
Lins	0.22	0.27	0.2	0.0	0.05	0.06	0.0	0.0	1.12	0.06	152.0	0.26	0.95	0.83	0.23	0.21	0.0	0.0	0.0	0.0	0.0	0.21	0.37	10.83	0.66	0.08	10.32	0.52	5.78	0.0	0.08	27.66	0.16	3.82	20.42	0.11	13.41	0.37	0.0	0.38	0.49	0.1	4.83	0.48	22.78	0.55	0.1	0.6	0.1	0.12	0.7	0.18	0.4	0.27	0.13	0.26	85.34	8.46	0.1	0.05	12.83	0.0
Mapk8	0.22	24.36	7.26	0.07	0.0	0.0	0.07	0.0	2.35	50.46	146.83	0.0	22.68	111.03	9.79	25.31	17.59	0.0	0.0	0.0	0.0	32.11	6.49	1.5	13.49	60.89	35.52	3.98	0.0	39.4	39.73	26.44	9.02	33.3	16.95	0.7	6.57	23.1	18.49	0.0	29.72	16.01	0.0	43.72	7.35	11.09	34.24	12.64	10.39	54.09	16.23	8.56	23.83	0.87	13.94	0.66	0.46	20.79	0.72	57.99	0.89	22.04
Mrrf	0.0	0.0	4.53	0.0	0.0	0.0	0.0	0.0	0.0	43.5	129.23	75.11	79.7	0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.0	30.01	14.02	0.05	45.97	48.75	78.02	0.0	12.42	0.0	0.19	27.3	61.01	1.14	42.16	60.69	137.02	31.18	0.0	0.0	68.89	6.84	0.0	35.76	35.16	31.57	0.0	16.0	37.16	62.24	0.07	41.77	0.0	0.0	0.0	16.36	100.58	59.48	19.54	92.99	32.69	0.04
Nap1l1	73.48	333.66	89.2	25.57	35.09	2.0	1.8	0.0	258.35	129.61	248.16	135.38	304.22	333.86	158.95	141.3	300.87	634.63	0.14	2.84	0.0	50.19	142.66	136.1	197.47	174.49	108.52	70.42	258.66	126.22	154.49	69.06	200.09	91.97	201.78	158.37	142.72	254.94	94.21	164.86	217.09	13.02	89.95	73.15	140.1	184.38	231.91	87.76	118.33	115.32	238.66	183.28	141.41	215.6	40.25	106.9	206.7	122.34	47.97	82.87	201.01	178.94
Npy	138375.8	173305.25	115124.65	0.0	0.0	0.0	0.0	0.0	43922.94	96206.73	42632.64	6792.77	65548.38	45335.24	13383.72	34339.27	0.0	0.0	0.0	0.0	0.0	132042.44	149629.49	134232.96	130357.56	105498.11	120987.76	122165.94	132052.33	122154.33	122963.43	126501.28	117863.77	130527.91	173863.58	126989.03	45711.04	166048.87	115420.41	191162.16	108906.97	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	110523.31	151963.58	24726.66	0.0	145032.54	180453.32	92572.95	38762.64	128781.07	8484.11	7487.26	137945.15	35571.91	137580.94	120620.2
Pde10a	32.33	44.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.36	103.32	4.01	5.92	2.86	0.2	41.67	0.0	0.0	0.0	0.0	0.0	18.48	0.9	16.47	4.13	14.46	23.98	21.82	0.48	19.41	17.01	5.64	5.4	0.0	12.7	0.15	44.3	0.16	26.83	22.01	0.0	1.08	29.44	0.0	14.56	12.92	0.0	16.33	2.21	15.4	10.63	0.0	0.0	4.66	21.13	10.25	133.36	9.05	0.34	0.0	17.7	0.09
Ppip5k2	10.02	11.93	7.75	0.0	0.0	0.0	0.0	0.0	5.19	0.07	90.06	9.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.99	21.26	0.04	0.0	9.51	0.02	0.09	0.94	0.05	49.51	13.75	7.67	4.25	0.0	0.88	11.08	8.43	22.29	17.06	43.7	0.21	0.23	0.0	23.02	15.94	0.0	5.48	0.0	19.48	49.8	0.05	13.22	0.0	1.93	0.05	61.88	0.0	0.0	2.85	11.98	0.19
Rims2	19.62	2.73	28.62	0.0	0.0	0.0	0.0	0.0	21.93	45.64	168.14	61.87	80.46	120.23	28.9	22.77	0.0	0.0	0.0	0.0	0.0	10.97	5.71	4.07	9.17	0.51	1.18	64.17	22.97	20.65	38.68	35.4	22.48	9.38	29.01	0.04	58.07	38.4	4.5	4.61	71.49	5.82	36.05	2.71	15.0	30.16	8.72	3.39	61.45	19.38	40.3	27.72	31.68	37.62	0.1	55.53	17.73	10.62	39.61	9.63	23.21	37.23
Robo2	4.39	6.38	0.0	0.0	0.0	0.0	0.0	0.0	113.31	33.91	137.66	90.96	119.02	45.17	0.0	6.68	0.0	0.0	0.0	0.0	0.0	7.43	18.22	0.03	0.0	0.65	36.54	0.0	0.0	13.31	14.21	17.42	19.92	14.41	6.91	0.0	0.0	0.0	1.26	0.0	47.86	0.0	0.0	13.31	0.07	8.81	23.8	1.93	0.0	11.65	16.87	0.63	0.06	0.08	13.61	0.04	0.2	0.0	1.73	0.1	0.0	0.0
