	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_5	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_69	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_1	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_20	Ndnf_tdTpositive_cell_21	Ndnf_tdTnegative_cell_11	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_70	Rbp4_tdTnegative_cell_4	Scnn1a.Tg2_tdTnegative_cell_18	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101
Mrpl49	18.45	53.93	0.0	0.0	0.0	0.0	182.07	220.74	52.46	0.0	340.03	41.75	0.0	0.0	0.0	62.29	0.0	0.1	20.75	64.36	63.93	24.54	112.05	54.25	96.75	97.4	85.27	89.82	73.32	84.81	103.92	0.15	171.85	24.68	71.11	103.36	218.53	0.14	44.07	116.42	24.19	50.52	71.77	89.87	66.49	0.0	0.42	18.03	114.53	55.0	7.28	101.65	78.24
Ncald	382.25	234.83	0.0	0.12	0.0	0.0	2310.88	476.8	1333.64	1216.43	925.53	711.41	0.14	0.0	0.0	0.0	0.11	371.57	438.72	228.5	421.8	304.53	165.55	359.05	374.23	341.05	394.61	304.57	201.68	212.68	593.67	987.42	278.65	327.0	393.63	169.1	657.44	108.96	328.24	452.58	399.28	260.85	307.53	563.32	363.03	0.0	2.93	37.72	177.81	320.47	285.58	147.8	345.91
Ndrg4	871.85	1072.41	0.0	0.0	0.0	0.0	2107.98	1950.07	1798.16	1427.95	3166.04	1075.17	0.0	0.0	0.0	1.92	0.13	1069.69	906.67	758.61	927.67	912.81	945.49	985.11	1256.67	869.02	1715.84	2179.26	940.51	964.18	1899.82	2258.5	741.05	633.32	1135.89	600.75	1255.29	470.11	722.71	1209.81	1169.29	1074.51	888.24	1035.58	583.92	0.0	1.23	1348.9	660.41	1177.69	906.58	993.09	801.6
Npy	138375.8	173305.25	0.0	0.0	0.0	0.0	43922.94	96206.73	67463.47	65548.38	77711.12	125016.83	0.0	0.0	0.0	0.0	0.0	132042.44	149629.49	130357.56	116117.28	120987.76	122165.94	132052.33	122154.33	122963.43	126501.28	117863.77	130527.91	173863.58	101365.79	73168.9	126989.03	166048.87	115420.41	191162.16	108906.97	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	110523.31	151963.58	0.0	8.66	145032.54	180453.32	128781.07	137945.15	137580.94	120620.2
Nrbp2	50.38	34.35	0.0	0.0	0.0	0.0	135.28	118.33	50.27	105.91	301.75	79.63	0.0	0.0	0.0	0.0	0.0	31.21	38.0	11.29	0.04	16.98	2.13	8.21	27.47	5.77	47.8	38.95	16.83	4.9	0.0	32.68	104.13	11.66	76.94	38.31	1.25	185.01	97.5	52.92	26.33	0.12	0.0	36.54	3.47	0.0	0.0	0.0	55.67	37.38	33.38	35.73	10.54
Nsg2	133.93	37.4	0.0	0.0	0.0	0.0	140.21	357.05	188.18	442.09	152.03	99.77	0.0	0.0	0.0	0.0	0.0	59.89	55.02	57.32	21.33	152.74	106.94	70.39	48.88	119.08	100.14	130.04	40.46	119.59	189.07	180.31	82.49	105.09	24.17	59.0	167.7	44.37	74.77	18.78	58.63	39.14	105.28	54.2	70.31	0.0	0.0	160.8	99.83	110.13	72.68	137.5	61.69
Orc6	63.99	118.32	0.0	0.0	0.0	0.08	286.53	198.46	51.68	160.28	179.76	0.67	0.0	0.0	0.0	0.0	0.0	37.55	19.64	0.11	0.07	35.4	77.32	39.34	19.09	10.23	33.52	43.82	79.95	6.97	45.59	89.81	42.01	0.0	52.99	25.66	228.03	82.97	110.72	25.95	50.75	78.83	47.14	46.08	34.93	0.0	0.0	147.2	42.47	110.24	33.88	113.64	0.0
Pak1ip1	38.44	80.99	0.0	0.0	0.0	0.0	232.86	69.97	104.94	26.38	260.48	34.88	0.0	0.0	0.0	0.0	0.0	104.11	85.93	169.65	0.12	160.55	107.1	135.64	152.68	131.89	55.18	122.34	53.62	95.61	14.6	164.54	116.53	123.19	200.27	43.15	173.35	127.02	57.01	0.0	154.05	133.97	3.48	83.78	75.39	0.0	0.83	122.26	195.81	150.43	83.49	136.48	166.43
Pcbp3	1.18	12.66	0.0	0.0	0.0	0.0	316.81	66.71	83.5	8.68	202.28	28.39	0.0	0.0	0.0	0.0	0.0	63.43	0.18	82.74	0.28	13.17	0.0	55.03	40.77	72.27	0.0	24.56	12.1	21.38	59.41	174.08	8.52	45.8	0.67	0.0	0.52	110.3	42.42	0.0	2.18	0.0	0.0	0.0	17.46	0.0	0.66	0.0	0.0	0.0	20.23	34.52	32.25
Pds5b	14.44	19.41	0.0	0.0	0.0	0.0	158.92	33.93	110.54	132.19	10.34	56.96	0.0	0.0	0.0	0.0	0.0	1.28	12.86	0.38	23.32	0.19	7.6	9.88	36.54	13.3	9.84	30.07	11.81	0.0	9.83	69.81	0.59	0.0	35.28	16.36	79.74	0.0	45.93	0.48	11.81	0.51	35.19	33.22	19.69	0.0	0.0	29.78	21.59	3.69	14.15	29.02	0.54
Pdxk	27.42	177.1	0.03	0.0	0.0	0.08	289.46	198.96	290.06	216.37	156.33	84.37	7.45	1.01	0.0	0.09	0.0	50.58	48.37	42.08	46.4	23.54	69.49	45.6	49.02	33.86	115.24	45.77	11.98	21.82	98.67	219.13	43.21	31.66	44.34	28.84	105.89	26.09	47.07	85.88	55.24	7.36	22.64	35.89	45.36	0.29	0.23	46.36	19.68	31.76	68.13	48.33	59.37
Pfkm	103.38	148.17	0.0	0.0	0.0	0.0	360.3	537.35	377.5	626.04	387.28	124.7	0.0	0.0	0.0	0.0	0.26	159.74	152.35	43.98	44.91	34.9	149.61	440.67	105.23	182.19	105.86	197.75	108.93	70.92	163.82	362.18	122.78	74.77	256.92	29.61	266.47	107.98	150.13	288.45	253.3	0.1	167.69	211.78	67.61	0.0	1.78	107.26	66.02	194.11	185.91	165.01	2.53
Phactr1	46.38	50.38	0.0	0.0	26.21	0.0	326.3	129.81	187.05	156.15	379.05	128.39	1.59	0.0	0.0	0.35	0.0	34.44	0.22	1.64	0.5	0.13	0.06	36.54	0.57	13.29	25.52	21.69	46.8	0.13	126.04	162.08	51.38	74.37	61.89	40.02	64.32	7.4	14.31	32.48	38.17	0.08	40.06	31.24	5.18	0.0	7.95	20.93	4.7	8.18	14.51	8.2	47.48
Pim2	0.95	3.69	0.0	0.0	0.0	0.0	104.11	38.36	121.81	142.72	84.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.85	0.0	1.72	0.0	30.59	46.35	71.4	36.37	19.59	27.11	16.8	0.0	21.69	0.0	7.51	21.5	3.78	0.0	0.0	10.22	0.0	0.0	0.0	0.0	0.0	31.89	21.8	0.0	0.0	33.8	30.6	117.85	7.29	46.78	26.01
Pisd-ps1	85.29	39.12	0.0	0.0	0.0	9.15	260.35	131.74	1.39	483.15	19.43	64.99	0.0	0.0	28.88	0.0	12.68	0.23	24.63	7.3	25.95	16.05	0.0	1.45	1.16	35.54	47.43	94.11	77.58	45.56	75.23	139.21	92.55	144.71	109.98	17.02	61.53	26.35	18.31	86.94	3.73	121.7	1.53	107.27	94.71	0.0	32.86	50.37	75.69	74.89	1.47	117.04	11.41
Pisd-ps2	102.02	8.55	0.0	0.0	0.0	0.0	139.3	31.87	6.45	115.39	11.27	7.32	0.0	0.0	0.0	0.0	0.0	33.76	6.41	2.61	0.71	10.3	0.0	0.35	1.89	9.33	10.25	54.36	7.45	13.16	30.25	44.44	12.47	40.62	31.21	11.95	9.69	0.83	80.25	56.28	0.6	27.65	0.74	16.64	59.37	0.0	2.97	17.56	25.23	20.91	0.15	69.95	3.77
Ppm1k	50.49	78.76	3.7	3.57	1.33	2.13	196.17	126.19	155.69	74.96	254.33	65.99	2.05	0.0	1.9	1.01	9.41	66.67	86.75	87.46	43.2	63.89	86.36	87.86	61.68	87.36	58.17	154.34	107.01	76.87	127.88	119.22	17.82	127.27	64.88	61.99	120.63	84.55	122.83	128.22	64.63	181.31	143.73	193.08	112.3	2.72	17.17	115.24	38.19	72.21	106.49	78.65	49.48
Rab3c	77.38	55.7	0.0	0.0	0.0	0.2	670.55	525.52	780.64	1007.13	447.36	595.22	0.0	0.98	0.0	0.08	0.73	42.83	101.54	84.53	64.12	81.23	112.28	52.03	116.7	66.76	189.67	94.52	67.84	9.66	380.52	442.85	44.15	74.34	31.74	81.08	637.91	11.18	40.13	96.47	86.32	60.33	51.83	65.5	25.05	0.55	0.11	108.57	13.59	63.86	51.49	62.1	47.48
Rap1gds1	63.05	115.78	0.0	4.2	0.0	0.0	171.12	224.72	87.31	118.84	291.1	124.96	0.0	0.0	0.0	0.0	0.0	88.29	84.24	70.34	40.6	72.14	9.62	79.76	147.77	63.24	99.78	174.83	73.47	87.65	111.65	189.7	48.01	8.02	33.12	1.03	127.9	29.57	38.23	175.93	64.52	34.07	59.64	103.07	65.02	0.0	0.41	13.7	2.53	27.75	98.98	3.01	15.97
Rhox8	13.73	2.71	0.0	0.0	0.0	3.2	21.04	4.79	22.45	11.86	18.51	3.21	2.03	0.0	0.0	1.12	0.47	5.37	4.24	3.67	3.52	8.63	5.09	8.14	6.25	6.32	12.03	23.85	4.03	2.67	1.86	11.43	14.88	3.88	4.08	7.47	13.71	20.34	1.83	1.79	6.54	4.66	14.67	5.32	5.4	1.85	1.01	4.04	4.79	12.46	6.68	3.7	5.62
Scn3b	105.35	32.25	0.2	0.0	0.0	0.0	177.43	7.69	2.83	219.5	113.73	0.0	0.0	0.0	0.0	0.0	0.0	6.93	29.17	84.53	8.54	38.4	2.97	73.93	67.91	31.54	0.29	138.7	55.7	1.6	0.0	0.0	38.19	69.23	62.37	72.87	58.8	39.09	72.6	37.75	7.18	54.67	75.91	32.46	77.65	0.0	0.0	42.27	43.39	27.16	60.48	0.0	100.23
Sorl1	24.51	16.66	0.0	0.0	0.0	0.0	338.56	41.07	101.24	52.17	54.88	26.29	0.0	0.0	0.0	0.0	0.0	0.24	35.95	26.03	0.03	0.06	6.04	28.36	13.49	0.11	19.3	3.05	13.97	3.43	28.33	37.69	2.99	15.42	1.98	6.07	23.37	0.0	24.29	33.82	8.97	20.78	6.0	20.85	19.27	0.0	0.0	0.0	0.03	26.02	18.02	50.91	42.56
Strbp	56.49	42.39	0.32	10.14	0.22	0.25	174.79	182.06	164.33	115.67	109.6	72.44	0.35	0.25	0.0	1.11	1.33	42.02	81.24	28.62	24.53	68.11	29.52	62.06	67.87	68.43	76.77	88.4	46.42	42.23	160.99	84.06	58.92	28.34	37.57	19.54	29.48	30.12	90.93	44.91	33.68	90.46	110.31	64.97	70.52	0.19	6.28	32.58	38.72	54.26	55.77	36.91	32.28
Tomm40l	7.88	1.64	0.0	0.0	0.0	0.0	146.48	54.46	40.37	159.44	200.33	135.67	0.0	0.0	0.0	0.0	0.0	35.59	0.05	94.84	16.77	29.19	24.82	11.87	0.09	46.03	20.91	76.06	16.59	7.57	48.16	137.04	71.6	47.45	56.75	25.04	188.53	0.08	19.52	41.8	0.48	1.5	32.57	29.41	47.93	0.0	0.0	41.74	20.23	67.24	1.36	73.94	95.3
Txlng	0.0	29.08	0.0	0.0	0.0	0.0	36.83	13.82	20.42	4.9	24.51	0.0	0.0	0.0	0.0	0.0	0.0	0.43	0.41	0.0	0.0	0.0	0.0	3.64	0.07	1.92	0.32	0.0	0.07	3.76	20.5	17.66	0.0	13.57	0.0	36.1	0.0	0.0	0.0	0.0	7.18	0.0	0.0	2.17	6.74	0.0	0.0	0.0	0.0	16.32	3.87	0.0	10.7
Ube2h	131.76	151.29	0.0	0.1	0.0	0.0	327.86	32.4	146.1	345.01	133.26	191.02	1.13	0.0	0.0	0.0	0.0	125.55	137.64	47.01	124.36	91.37	87.93	245.86	64.45	124.74	146.49	124.4	206.19	108.14	92.01	240.17	89.4	58.19	164.06	63.93	146.97	8.97	149.36	171.18	83.05	105.61	68.51	90.53	184.29	0.09	0.52	119.97	199.59	51.19	174.79	127.56	1.52
Usp14	216.7	184.22	0.0	0.0	0.0	0.0	633.1	131.93	89.15	70.5	67.55	173.4	0.0	11.31	0.0	0.0	6.5	231.68	289.72	295.94	218.43	89.01	218.94	287.09	242.0	177.35	127.84	159.74	306.97	41.98	91.69	262.35	277.02	362.72	190.18	198.41	193.32	200.46	195.13	185.54	303.03	178.32	228.61	340.98	286.55	0.0	0.35	295.45	116.78	186.28	217.37	235.73	198.66
