	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_36	Chrna2_tdTpositive_cell_47	Chrna2_tdTpositive_cell_52	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_56	Gad2_tdTpositive_cell_68	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_83	Htr3a_tdTpositive_cell_91	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_45	Ntsr1_tdTnegative_cell_54	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_92	Rbp4_CTX_250ng_1	Trib2_CTX_250ng_1
Rpl23a	574.58	890.15	835.89	909.33	1693.55	775.19	1182.03	1815.85	1815.54	662.69	452.88	552.03	486.34	581.98	817.23	866.5	582.41	922.35	598.65	916.15	994.06	701.97	492.6	635.05	638.54	260.11	1.05	396.0	561.52	543.78
Rpl32	559.08	445.8	1133.14	899.91	1807.23	1477.0	1330.59	956.74	1597.48	318.29	497.85	626.03	660.06	738.6	532.23	673.66	654.28	771.58	883.64	901.24	1033.46	680.44	497.04	0.0	663.44	515.66	292.94	574.73	358.38	368.55
Rpl35	566.72	922.85	1141.42	737.24	1100.7	1446.89	1554.01	1156.08	1496.42	182.75	144.62	329.84	947.13	694.33	833.17	740.67	482.96	528.88	581.71	527.29	975.26	403.66	531.4	0.0	624.91	594.83	312.76	528.93	383.71	388.36
Rpl36	883.14	631.95	634.36	953.22	721.33	1034.37	1470.46	1077.61	1741.05	264.32	19.37	183.24	396.67	380.58	383.04	849.76	420.96	634.95	274.94	485.05	421.21	328.45	305.48	0.0	411.21	258.4	40.54	420.62	232.02	239.79
Rpl37	266.14	413.13	468.78	336.68	747.75	568.09	553.53	821.41	1111.23	206.85	174.18	261.09	291.77	265.51	291.43	347.95	267.62	257.25	382.13	424.44	433.38	227.45	254.35	0.0	216.61	279.6	109.81	281.18	188.27	191.15
Rpl37a	520.47	479.58	409.43	605.03	700.32	704.75	1111.88	996.87	641.05	197.32	0.0	631.0	252.09	511.07	342.09	740.77	320.21	653.02	399.58	387.38	777.77	210.2	260.51	172.67	499.68	279.67	238.73	302.3	256.88	269.01
Rps13	601.44	670.22	391.38	419.49	1245.77	1137.84	1092.35	1174.61	1033.03	256.2	0.0	243.15	343.37	382.65	491.56	562.16	475.6	738.21	836.74	628.63	981.63	634.26	389.78	0.0	391.55	338.93	44.77	538.78	258.78	245.57
Rps14	939.86	1002.77	1075.89	1267.88	1653.03	1340.42	1980.58	2078.86	1726.82	919.75	528.4	346.51	1242.3	580.9	851.94	889.44	922.72	812.47	994.93	1214.0	1458.34	769.18	745.63	0.0	770.04	421.3	125.66	960.82	541.34	581.35
Rps19	432.17	1337.36	896.42	875.86	988.91	1026.06	1336.79	1769.0	1298.71	460.34	527.54	1341.01	994.23	1506.6	828.65	1138.8	933.24	975.03	902.44	991.61	1627.67	759.95	852.28	579.74	957.79	469.62	244.64	663.18	274.33	285.29
Rps28	524.1	960.4	598.99	642.44	672.2	376.7	767.43	1002.39	1251.32	138.45	294.54	282.52	488.67	371.74	321.02	597.72	551.33	426.67	671.7	205.59	409.87	253.31	396.31	0.0	478.63	406.56	0.0	429.05	170.37	207.81
Rps29	338.61	996.36	736.59	798.55	1215.21	1012.0	1096.2	1706.26	1675.55	337.36	355.43	660.26	746.3	682.45	636.58	667.39	488.31	525.08	507.36	557.4	940.48	742.4	474.95	82.29	555.27	441.96	376.79	473.55	396.51	436.36
Rps3	381.18	550.35	414.72	516.88	723.82	648.76	589.75	860.05	569.21	213.25	170.71	335.24	422.53	425.03	396.5	527.64	396.51	367.87	328.6	515.1	729.51	468.96	253.56	0.0	450.25	372.51	78.54	334.58	221.47	234.78
Rps6	615.14	856.41	545.69	841.2	1037.42	1465.17	846.71	1177.6	911.11	547.46	472.38	525.97	646.71	561.39	627.22	675.31	616.99	411.84	734.99	359.97	1014.51	521.0	356.23	0.0	646.71	408.23	449.35	740.52	314.28	317.56
Sepw1	1180.47	2874.67	1512.95	2628.8	2936.03	2121.48	2004.89	2499.88	1991.19	693.72	453.56	1177.84	1285.95	896.21	1804.51	1702.41	1796.74	1226.18	1292.38	2121.06	1835.39	1849.12	1436.32	526.38	1315.92	831.76	426.28	993.1	1022.52	1047.1
Srp14	427.82	479.71	307.85	358.41	1294.38	989.42	479.88	523.16	1225.08	386.06	1.32	404.75	112.69	376.45	492.67	409.64	410.81	254.55	367.17	229.16	399.39	390.0	300.73	0.0	231.78	424.12	293.64	327.02	157.43	156.39
Sst	110572.87	47293.26	52293.57	33532.27	34440.97	33998.26	92299.24	48476.57	25347.61	72114.03	41248.39	79456.04	80147.45	53894.31	56866.87	49702.56	51551.12	68952.67	63593.53	65451.11	55479.93	63808.17	57846.93	0.0	50608.74	78404.02	70180.73	60686.4	558.6	558.0
Swi5	642.37	1424.3	579.18	777.82	759.05	1233.54	1324.37	666.34	1678.15	563.11	0.0	321.45	452.03	502.85	792.04	669.55	775.96	733.9	473.54	615.01	587.35	632.43	715.57	0.0	469.02	562.48	267.18	533.76	176.57	175.79
Tbca	155.65	295.49	108.02	714.97	681.9	734.16	257.92	507.85	757.43	101.79	0.0	315.05	242.44	301.3	360.6	364.11	300.33	199.85	306.53	323.69	512.43	418.45	267.83	0.0	304.57	331.24	40.09	392.24	113.84	119.45
Tceb2	622.83	1810.05	863.47	1231.92	1167.73	1181.7	1333.18	2857.0	1378.76	527.54	273.29	657.21	578.03	448.66	875.16	809.09	613.04	909.99	537.27	851.38	689.88	569.14	626.36	0.0	772.67	983.45	300.82	457.94	298.62	312.44
Tmsb10	760.37	1098.87	1142.2	1339.23	1205.36	1170.98	1353.39	1934.15	1215.66	567.46	169.49	669.1	728.61	773.14	990.73	764.33	946.48	984.04	1068.89	1121.4	962.36	1013.14	1051.77	0.0	921.4	362.17	419.94	776.59	139.25	151.28
