	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_5	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_10	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_25	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_62	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_69	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_16	Ndnf_tdTpositive_cell_20	Ndnf_tdTpositive_cell_21	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_3	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_24	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Alx4	0.22	0.4	0.49	0.07	0.66	0.17	0.05	0.0	0.0	0.3	1.49	0.56	0.77	0.7	0.85	2.17	0.4	0.57	0.55	1.04	0.77	0.41	0.29	0.0	0.0	0.6	0.59	0.0	0.34	0.23	0.31	0.81	0.36	0.08	0.3	0.22	0.34	0.14	0.35	0.26	0.2	0.46	0.12	0.25	0.52	0.17	0.22	0.55	0.54	0.24	0.46	0.4	0.19	0.21	0.0	0.77	0.25	0.49	0.28	0.16	0.4	0.26	0.15	0.54	0.39	0.04	0.19	0.0	0.2	0.31	0.21	0.35	0.16	0.21	0.11	0.01	0.35	1.44	0.95	1.11
Anks1b	49.16	46.78	9.82	0.11	0.0	0.0	0.0	0.0	0.0	3.39	8.37	18.11	53.63	67.9	28.99	76.02	12.57	67.95	38.98	49.59	0.2	45.29	0.0	0.0	0.0	0.0	3.07	0.0	0.0	19.37	2.25	1.27	19.95	20.5	0.03	29.04	22.38	0.08	43.12	12.27	8.65	20.34	14.45	4.26	13.16	28.57	11.61	0.26	36.66	14.46	2.96	12.76	21.84	11.25	27.94	17.0	38.23	6.14	14.08	30.89	29.5	0.06	55.0	16.47	22.78	0.11	0.0	0.0	3.64	12.27	0.07	20.37	12.47	38.92	7.5	12.29	26.1	136.15	132.0	139.16
Atp1a3	366.16	517.3	223.53	0.0	0.0	0.0	0.0	0.0	0.0	292.03	638.46	1308.59	746.57	373.62	397.81	787.16	573.89	678.24	440.72	354.82	238.36	423.72	0.0	0.0	0.0	0.0	259.1	0.0	0.0	156.09	226.34	286.6	265.8	263.32	239.7	311.99	160.81	252.13	322.56	344.11	358.79	374.74	279.42	298.17	387.02	349.38	126.28	238.48	218.19	248.26	388.98	344.51	335.86	201.95	337.68	230.75	83.59	272.65	310.38	212.08	248.82	134.54	326.61	99.63	250.32	0.0	0.0	0.0	245.85	247.83	196.96	513.59	370.84	154.68	271.27	160.6	978.49	1301.98	1411.72	1359.05
Atp1b1	460.32	401.56	307.14	0.0	0.0	0.0	0.0	71.52	49.05	432.17	744.56	1232.5	1135.24	854.64	425.41	1214.94	1045.89	739.5	745.38	512.13	509.61	419.28	0.0	0.0	0.0	0.0	401.8	0.0	0.0	209.46	388.61	178.41	201.33	214.59	388.15	444.16	470.76	270.6	267.12	428.26	302.4	347.44	205.0	247.69	139.05	232.31	418.76	952.89	524.54	244.76	422.87	422.83	352.98	298.32	231.61	367.01	175.8	264.41	267.37	292.65	267.22	303.71	242.63	367.15	231.1	0.0	0.0	0.0	351.47	221.22	453.56	305.28	288.3	428.03	230.53	251.06	983.61	1639.11	1708.86	1616.5
Bsdc1	0.0	23.18	28.1	0.0	22.12	1.86	0.0	0.0	372.12	0.57	0.64	0.08	108.29	134.97	0.24	24.3	0.0	92.68	0.08	3.2	0.0	0.0	0.0	0.0	0.0	0.0	62.69	0.0	0.0	0.0	20.71	46.35	55.87	1.5	0.85	4.07	0.0	114.6	15.05	11.82	8.03	35.51	36.67	0.0	16.2	1.91	2.71	31.59	48.2	0.11	1.24	0.0	0.12	0.36	0.0	0.0	0.0	0.38	89.71	8.05	44.75	0.0	30.42	0.67	0.0	0.0	0.0	0.0	0.0	1.12	0.0	0.0	0.0	41.38	70.14	0.54	91.84	50.23	51.49	49.17
Bsn	8.58	18.95	0.05	0.0	0.0	0.0	0.04	0.0	0.0	13.97	43.31	1.98	31.78	20.91	1.9	18.45	10.94	49.46	23.36	32.06	3.89	18.05	0.04	0.07	0.0	0.04	2.65	0.0	0.03	11.49	1.01	1.09	13.84	12.33	22.79	9.31	8.79	6.13	19.05	0.27	0.0	3.05	9.29	11.22	4.62	0.39	3.98	0.92	26.8	14.46	0.06	7.27	8.35	16.27	0.04	9.78	31.92	11.66	16.26	0.65	2.82	7.5	0.02	2.69	0.65	0.0	0.0	0.0	0.76	1.16	16.69	0.05	15.94	5.01	4.71	0.01	1.17	89.93	87.69	106.31
C530008M17Rik	5.83	26.7	3.44	0.0	0.0	0.0	0.0	0.0	0.0	39.79	1.19	28.01	15.72	11.14	0.09	40.34	5.45	61.04	72.75	8.06	0.0	25.18	0.0	0.0	0.0	0.0	12.11	78.13	0.0	0.82	1.01	0.02	0.03	6.42	2.12	26.78	13.77	7.75	0.0	14.33	9.13	0.0	39.74	24.26	0.01	0.0	0.0	41.84	27.63	44.46	0.0	1.27	0.14	2.91	0.96	0.0	0.0	0.04	0.0	14.57	6.58	0.45	30.25	0.47	0.04	0.0	0.07	0.0	0.21	19.9	24.24	2.25	0.0	0.0	7.68	21.61	0.0	24.95	24.51	24.36
C530028O21Rik	57.13	22.73	56.51	0.0	0.0	0.0	0.0	0.0	0.0	10.99	57.69	0.1	76.52	81.91	13.39	0.0	54.18	136.49	0.0	79.78	0.0	63.27	0.0	0.0	0.0	0.0	9.25	0.0	0.0	27.02	24.11	31.53	62.2	35.48	34.45	0.05	17.52	27.91	24.32	25.81	33.09	4.37	70.59	48.92	47.07	21.66	47.66	0.0	0.0	46.03	14.55	0.0	29.6	29.64	0.0	0.0	0.0	31.62	43.16	33.52	82.67	44.54	21.89	30.17	11.38	0.0	0.0	0.0	30.74	21.1	48.34	35.82	62.05	15.59	35.45	26.77	43.29	152.06	160.33	155.46
Cacnb4	56.54	107.03	56.3	0.0	0.0	0.0	0.0	0.0	0.0	89.27	214.67	94.43	121.4	178.86	168.74	124.09	87.25	239.71	160.35	107.75	72.84	188.98	0.0	0.0	0.0	0.0	146.29	0.0	0.0	82.21	115.8	79.1	3.48	43.41	99.44	24.43	27.86	53.29	77.74	30.62	68.51	65.81	19.24	76.75	89.19	43.59	34.65	37.59	68.86	40.84	18.68	66.13	34.53	27.2	61.06	90.37	7.39	44.92	47.51	91.57	51.49	40.1	29.75	47.45	59.97	0.06	0.06	0.0	18.34	31.74	70.91	81.23	57.11	98.14	68.29	88.23	0.09	106.94	89.5	107.65
Cadps	133.42	70.08	73.33	0.0	0.0	0.0	0.0	0.0	0.0	248.86	90.66	201.95	121.81	317.62	207.22	200.5	196.48	384.49	92.84	109.85	69.78	116.8	0.0	0.0	0.0	0.0	126.43	0.0	0.0	23.59	58.45	24.72	55.6	2.32	65.38	13.28	121.44	91.96	10.28	79.95	12.37	71.04	28.59	105.33	17.85	59.75	17.34	134.45	76.52	102.55	107.07	148.21	57.86	47.69	85.53	268.21	55.2	55.13	62.1	46.81	84.96	101.58	74.74	56.9	15.74	0.0	0.0	0.0	54.2	50.99	70.06	69.57	133.53	70.44	27.24	16.88	125.76	144.91	144.37	143.17
Caprin1	33.21	31.85	29.65	0.0	0.0	0.0	0.0	293.97	103.48	45.41	137.48	129.47	3.67	43.24	94.11	222.01	148.03	240.55	139.63	57.22	0.24	18.55	2.11	0.0	0.53	0.0	24.86	13.41	0.0	9.1	7.25	0.07	26.6	2.34	7.96	49.81	60.22	6.62	31.04	30.72	28.21	84.35	13.81	39.49	14.93	24.9	5.47	34.24	62.81	58.41	16.93	41.37	8.74	23.59	110.15	2.62	1.15	15.9	79.64	17.53	32.58	2.31	57.33	44.45	51.28	0.25	6.66	38.63	33.42	0.45	21.62	34.37	44.64	37.95	26.04	34.64	0.0	140.83	135.83	136.58
Cdadc1	146.24	144.72	107.16	0.0	0.0	34.45	0.0	3.74	0.0	208.93	200.09	52.85	204.82	70.06	0.0	189.31	140.63	440.76	317.65	0.0	3.29	0.0	0.0	0.24	0.0	0.0	222.15	0.0	0.0	51.91	63.36	119.57	44.93	104.07	156.14	0.18	103.26	98.22	41.14	149.02	211.13	30.44	200.84	133.34	141.33	138.82	95.5	32.02	72.09	123.9	0.17	0.15	137.88	179.0	59.34	113.4	3.74	20.65	185.66	163.35	308.52	260.12	145.44	44.73	99.26	0.0	0.0	0.0	55.96	95.07	0.71	56.51	65.59	7.81	142.52	104.99	148.03	58.06	52.09	54.59
Cdh10	0.0	76.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108.36	0.0	105.85	95.7	108.33	97.51	5.47	0.0	167.25	0.0	143.85	2.4	0.0	0.0	0.0	0.0	0.0	73.38	0.0	0.0	0.0	0.0	0.07	23.95	1.12	47.81	0.0	0.0	25.1	0.0	0.0	0.0	3.43	13.85	86.4	0.0	4.69	0.0	0.0	6.95	47.37	0.0	30.62	3.77	0.0	0.0	66.34	0.0	0.0	55.26	5.53	0.0	0.64	0.0	0.0	18.26	0.0	0.0	0.0	33.01	0.0	30.81	39.56	0.0	13.56	0.0	0.16	0.0	40.26	35.5	40.51
Celf5	1.12	10.21	5.71	0.0	0.0	0.0	0.0	0.0	0.0	12.31	14.12	14.52	44.74	36.92	18.21	19.83	17.05	26.1	27.82	25.91	1.11	13.53	0.0	0.0	0.0	0.26	42.83	0.0	0.12	0.59	10.36	2.85	0.08	18.01	23.67	2.48	0.84	4.36	6.0	2.56	9.59	1.51	3.27	4.76	38.53	0.0	9.43	0.82	28.72	6.74	52.99	9.02	11.88	13.49	6.27	26.6	14.01	4.61	7.42	17.19	10.53	4.47	0.04	0.05	2.79	0.19	0.0	0.0	11.41	17.07	11.75	10.54	12.63	3.91	5.35	1.2	0.28	163.01	160.05	172.09
Chml	37.56	3.76	0.0	0.08	0.0	0.0	0.0	0.0	0.0	11.23	0.04	8.39	35.64	89.74	55.87	209.73	0.0	37.81	0.0	0.0	0.05	13.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.94	5.75	0.39	0.0	34.15	39.68	0.04	0.04	0.31	11.88	13.46	16.92	5.8	0.0	7.67	0.17	0.0	20.09	0.1	27.37	29.05	0.0	0.04	0.05	0.04	28.2	0.0	0.0	5.19	17.46	13.65	2.93	8.29	7.85	0.0	0.0	0.08	0.0	0.0	0.1	0.0	0.0	16.79	18.68	0.0	2.66	0.0	0.0	6.6	6.02	6.63
Cnnm1	11.7	47.48	23.45	0.0	0.0	0.0	0.0	0.0	0.0	38.1	55.3	3.63	38.26	90.94	57.08	9.1	31.95	81.24	61.05	59.51	15.13	28.98	0.0	0.0	0.0	0.0	53.32	0.0	0.0	2.91	37.91	26.41	0.0	0.95	8.55	21.05	5.21	9.71	27.65	1.46	25.0	23.72	17.31	10.95	0.0	24.99	13.82	33.81	60.73	0.0	13.99	0.0	6.4	18.15	0.75	0.06	0.0	20.53	8.2	15.12	29.17	0.0	14.61	3.51	13.82	0.0	0.0	0.0	0.0	20.82	3.12	27.68	23.23	23.53	1.53	0.0	20.83	63.15	65.54	67.49
Cntn2	0.58	0.79	0.15	0.0	0.08	0.34	0.04	0.04	0.0	0.92	0.3	0.82	26.18	0.08	0.07	0.09	0.08	25.2	1.24	0.14	0.14	0.07	0.0	0.0	0.06	1.26	0.11	0.0	0.33	1.08	30.45	0.06	0.0	13.2	0.03	6.22	0.58	0.0	0.09	0.32	6.6	5.81	13.24	9.98	8.33	0.44	0.17	0.06	1.45	1.89	0.11	0.09	3.79	12.25	0.0	0.12	0.08	0.17	3.52	6.94	1.88	0.07	6.26	0.03	0.74	9.13	0.17	0.41	16.77	0.83	0.0	17.71	10.61	0.45	0.0	17.49	5.41	41.44	42.63	43.21
D3Bwg0562e	82.61	86.4	0.9	0.35	0.15	0.07	0.85	0.98	0.0	59.13	300.53	23.97	222.27	206.12	225.73	317.4	162.42	390.32	161.45	142.81	213.02	42.02	0.03	0.42	0.18	2.1	150.23	0.0	0.37	14.01	6.77	1.8	3.97	24.65	54.38	23.16	8.86	29.05	31.78	47.62	21.69	33.55	27.76	34.86	7.12	29.19	87.62	52.01	110.97	48.36	66.5	53.17	7.09	1.58	4.62	137.94	7.95	9.09	0.66	4.55	23.03	31.46	38.57	1.96	19.18	1.42	0.09	0.34	28.49	25.38	39.4	16.06	63.13	23.66	11.96	49.29	48.0	121.62	116.8	128.52
Dbp	0.0	0.0	6.1	0.0	0.0	0.0	0.0	0.0	0.0	13.66	18.22	40.42	18.16	37.15	1.57	8.07	20.67	50.66	0.99	0.0	11.63	37.41	0.0	47.69	0.0	0.0	23.73	403.07	0.0	15.09	0.0	0.0	0.0	0.0	34.17	0.0	0.0	0.0	6.65	0.0	0.0	0.0	3.45	7.27	0.0	0.0	0.0	0.0	29.02	0.0	3.78	9.16	2.53	0.0	0.0	43.67	0.0	0.0	3.02	0.0	7.78	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	11.98	0.0	0.0	0.0	126.37	154.83	108.82
Ddx17	15.37	37.6	0.26	0.0	569.52	0.1	0.08	30.84	0.0	52.07	25.53	95.47	206.2	57.9	49.73	128.7	106.36	155.02	20.59	31.94	0.0	2.21	0.0	0.0	0.0	0.0	51.49	0.0	1.12	1.0	0.63	28.0	23.28	10.28	56.42	24.6	28.73	9.48	0.0	23.67	0.98	9.69	24.87	47.29	3.84	27.07	0.42	44.43	0.0	5.28	81.53	28.42	32.51	9.83	34.02	39.11	101.0	20.78	20.1	17.64	0.0	43.81	2.8	27.16	43.0	4.1	0.0	0.0	27.96	23.46	0.0	16.76	4.26	11.69	1.26	19.74	0.0	373.91	351.03	400.91
Dlg2	13.47	50.24	20.84	0.0	0.0	0.0	0.0	0.0	0.0	52.47	0.04	20.02	145.06	110.13	59.11	89.7	60.51	76.43	113.15	25.09	36.37	66.13	0.0	0.0	0.0	0.0	9.92	0.0	0.0	24.45	8.14	8.52	29.03	14.58	41.53	13.93	16.43	12.78	7.4	30.39	14.89	15.8	39.38	12.83	57.92	68.39	5.99	29.92	37.17	81.29	42.47	24.83	4.07	37.1	20.17	59.28	25.0	47.57	20.42	48.37	2.97	8.14	38.16	29.06	33.48	0.0	0.0	0.0	11.79	7.07	6.86	7.09	34.13	10.9	19.79	28.12	91.11	164.86	151.24	164.22
Dlg3	20.48	7.98	12.4	0.0	0.0	0.0	0.0	0.0	0.0	0.06	112.44	44.34	63.72	30.6	60.24	0.0	0.17	87.36	39.88	0.13	37.59	36.57	0.0	0.0	0.0	0.0	6.58	0.0	0.0	21.96	2.3	2.03	1.29	9.26	26.99	6.89	41.28	43.11	24.78	22.57	10.09	14.17	23.55	14.11	28.84	8.16	3.05	1.08	2.24	5.86	17.55	5.35	18.71	39.86	22.72	1.95	4.01	44.72	2.49	57.87	30.22	26.09	31.72	0.0	30.39	0.0	0.0	0.0	1.8	32.01	50.77	4.39	1.3	4.41	32.8	0.49	4.22	115.59	116.54	115.46
Dner	30.86	25.68	61.07	0.0	0.0	0.0	0.0	0.0	0.09	170.12	466.38	688.41	1331.06	1462.15	598.0	1885.85	1025.42	870.18	666.93	553.06	855.36	646.86	0.0	0.0	0.0	0.0	250.39	0.0	0.0	30.46	53.77	95.22	33.9	10.25	0.15	124.12	62.83	3.17	6.62	1.74	56.81	65.83	77.51	38.58	58.1	165.41	43.7	291.19	366.75	167.38	278.61	210.3	24.21	30.07	139.11	339.36	144.93	0.07	89.79	82.12	74.1	23.23	96.82	41.14	65.82	0.0	0.0	0.0	25.03	54.52	2.22	39.21	69.27	41.77	75.75	59.39	317.8	116.8	121.43	117.82
Dock3	6.03	15.26	7.51	0.0	0.0	0.0	0.0	0.0	0.0	1.52	28.15	19.96	84.7	73.68	20.42	98.87	75.58	35.5	25.92	6.97	43.05	11.66	0.0	0.0	0.0	0.0	40.15	0.0	0.0	6.92	2.47	15.2	9.05	0.31	1.06	11.04	0.54	20.73	0.03	9.71	13.25	10.87	11.97	4.41	2.74	0.73	3.59	7.16	20.81	17.67	12.32	1.44	1.09	3.39	0.26	12.61	5.78	0.17	0.78	8.7	0.22	1.67	8.2	1.46	1.53	0.0	0.0	0.0	11.37	1.34	37.26	7.66	15.09	23.16	0.23	1.4	5.69	112.39	109.71	116.14
