	Calb2_tdTpositive_cell_16	Calb2_tdTpositive_cell_20	Calb2_tdTpositive_cell_24	Calb2_tdTpositive_cell_34	Calb2_tdTpositive_cell_36	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_44	Calb2_tdTpositive_cell_54	Calb2_tdTpositive_cell_57	Calb2_tdTpositive_cell_59	Calb2_tdTpositive_cell_64	Chrna2_tdTpositive_cell_1	Gad2_tdTpositive_cell_14	Gad2_tdTpositive_cell_15	Gad2_tdTpositive_cell_19	Gad2_tdTpositive_cell_23	Gad2_tdTpositive_cell_29	Gad2_tdTpositive_cell_33	Gad2_tdTpositive_cell_34	Gad2_tdTpositive_cell_45	Gad2_tdTpositive_cell_54	Gad2_tdTpositive_cell_79	Htr3a_tdTpositive_cell_20	Htr3a_tdTpositive_cell_21	Htr3a_tdTpositive_cell_23	Htr3a_tdTpositive_cell_31	Htr3a_tdTpositive_cell_34	Htr3a_tdTpositive_cell_41	Htr3a_tdTpositive_cell_45	Htr3a_tdTpositive_cell_47	Htr3a_tdTpositive_cell_52	Htr3a_tdTpositive_cell_56	Htr3a_tdTpositive_cell_57	Htr3a_tdTpositive_cell_62	Htr3a_tdTpositive_cell_68	Htr3a_tdTpositive_cell_76	Htr3a_tdTpositive_cell_81	Htr3a_tdTpositive_cell_104	Htr3a_tdTpositive_cell_122	PvalbF.Gad2_tdTpositive_cell_31	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_182	Vip_tdTpositive_cell_4	Vip_tdTpositive_cell_6	Vip_tdTpositive_cell_8	Vip_tdTpositive_cell_9	Vip_tdTpositive_cell_13	Vip_tdTpositive_cell_20	Vip_tdTpositive_cell_21	Vip_tdTpositive_cell_25	Vip_tdTpositive_cell_26	Vip_tdTpositive_cell_27	Vip_tdTpositive_cell_31	Vip_tdTpositive_cell_32	Vip_tdTpositive_cell_34	Vip_tdTpositive_cell_35	Vip_tdTpositive_cell_42	Vip_tdTpositive_cell_44	Vip_tdTpositive_cell_47	Vip_tdTpositive_cell_49	Vip_tdTpositive_cell_50	Vip_tdTpositive_cell_51	Vip_tdTpositive_cell_52	Vip_tdTpositive_cell_54	Vip_tdTpositive_cell_55	Vip_tdTpositive_cell_56	Vip_tdTpositive_cell_58	Vip_tdTpositive_cell_63	Vip_tdTpositive_cell_65	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Adss	0.11	0.0	0.0	0.66	24.27	0.0	0.0	54.54	0.0	0.0	0.0	0.0	0.0	74.21	0.0	14.17	35.13	146.77	0.0	0.89	182.8	495.17	102.73	0.0	27.85	47.58	23.19	0.0	0.0	37.7	65.36	0.0	0.64	0.07	15.82	111.32	99.63	0.0	0.0	46.47	40.38	14.98	19.36	0.7	0.0	0.2	0.42	0.0	0.0	1.72	4.84	0.0	0.0	14.78	0.0	209.5	0.0	0.0	0.0	111.54	39.88	0.0	0.43	0.42	47.54	92.48	0.0	8.25	133.73	28.27	25.82	59.64	26.28	39.76	41.07	23.86	53.62	38.97	23.65	35.64	25.61	86.38	84.2	84.84
Aff2	0.03	0.31	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.31	0.0	0.0	0.04	0.0	0.0	81.8	0.0	0.81	75.34	231.72	0.0	0.0	61.01	0.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.65	1.29	0.0	0.0	0.0	0.0	0.0	2.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	46.42	0.0	0.0	0.0	0.0	7.57	0.0	44.26	0.0	6.75	0.0	0.0	0.17	0.0	0.0	0.0	0.0	4.36	0.0	3.36	0.2	0.06	0.05	0.0	0.07	0.08	0.84	6.41	6.14	7.48
Ahctf1	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	8.71	1.93	0.0	0.0	0.0	0.0	1.94	0.0	0.04	3.22	86.64	0.0	0.0	0.0	0.11	2.18	0.0	0.0	0.0	0.0	3.59	0.0	0.0	0.0	2.77	0.0	0.0	0.0	0.03	7.42	2.37	3.49	0.0	29.39	0.0	0.0	0.5	3.02	2.53	24.01	13.3	0.0	25.46	43.71	0.0	0.0	0.0	0.0	3.04	0.0	0.0	2.72	0.0	0.06	0.0	0.0	0.0	0.0	26.84	11.01	7.03	4.11	2.41	5.73	2.58	5.66	5.26	4.87	5.36	5.57	3.56	21.48	18.81	18.45
Ank2	302.67	146.88	82.59	291.76	30.02	171.72	23.23	98.7	0.0	52.91	160.07	110.08	162.68	113.0	226.5	45.79	123.39	113.28	7.96	201.77	418.36	358.43	179.27	146.78	213.94	47.82	16.76	24.3	258.12	85.53	199.09	82.41	121.51	11.55	240.6	56.27	108.68	5.55	145.05	132.58	147.24	127.64	12.15	56.02	24.16	145.46	27.63	8.08	11.22	73.18	174.28	92.3	28.46	351.5	59.3	54.43	115.21	6.71	23.84	4.96	208.02	124.19	10.4	67.92	4.6	183.1	167.63	186.55	48.29	110.6	98.07	121.04	103.88	105.7	107.11	125.68	103.03	88.62	155.83	132.37	138.01	250.02	222.38	264.29
Ankle2	0.57	0.3	1.07	20.84	21.5	0.6	0.48	18.22	24.23	0.98	0.75	4.94	10.62	0.12	27.34	43.56	26.08	32.8	93.23	22.05	139.03	107.33	2.02	25.08	20.99	22.56	9.75	0.56	0.19	39.88	16.94	34.39	1.58	1.03	17.43	0.13	14.22	1.82	0.72	8.63	42.42	23.64	1.34	26.29	0.41	12.19	34.33	1.17	22.97	1.41	13.14	0.33	10.79	2.04	0.79	0.99	15.26	22.67	0.32	35.57	0.96	0.61	15.18	0.4	15.63	0.61	1.01	23.1	104.76	25.01	21.98	9.76	17.5	11.08	21.52	9.07	18.35	11.78	12.99	12.96	14.44	20.77	19.85	19.33
Ano5	23.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.09	5.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.37	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.04	6.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	1.57	0.0	0.0	0.0	0.29	0.06	0.0	0.68	0.57	0.62	0.61	0.58	0.4
Apol9a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57	0.47
Arl6	0.1	180.76	0.0	78.48	0.0	0.0	213.66	193.83	279.38	0.37	0.0	321.8	0.0	0.41	0.0	0.0	0.0	0.0	9.74	0.0	581.56	337.07	0.0	712.88	214.48	205.7	402.64	5.89	6.84	250.73	0.0	0.0	6.31	0.0	0.0	153.08	14.04	0.0	41.84	125.57	104.81	103.66	0.0	263.52	0.0	159.64	0.0	0.0	0.0	0.0	1.81	0.27	0.0	212.68	3.93	0.0	0.0	283.89	0.0	303.72	250.36	0.63	0.75	0.0	6.63	0.71	0.0	0.31	377.33	171.61	107.47	175.69	181.48	142.38	204.24	173.42	92.94	87.73	125.13	115.93	118.17	35.22	32.22	32.99
Arntl	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.55	19.78	40.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	7.61	7.13	18.96	11.89	1.68	9.99	10.34	16.44	20.12	8.57	17.39	13.43	28.72	27.5	32.93
Aspg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.59	0.0	0.0	3.34	3.84	0.0	10.75	4.2	1.97	1.39	0.76	2.2	2.82	2.65
Atrnl1	0.02	0.0	0.0	0.0	0.46	0.18	2.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49	4.61	9.13	58.95	8.64	0.0	9.33	0.0	0.0	8.54	0.0	0.11	98.46	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.82	4.08	4.02	0.0	0.0	0.0	33.75	0.0	0.0	0.0	0.0	0.0	4.99	4.64	102.27	0.0	0.16	0.0	0.0	0.0	1.39	0.0	0.0	0.0	0.08	0.18	0.0	0.0	60.43	0.0	8.36	10.15	16.66	9.62	8.76	18.58	14.93	9.88	9.78	11.9	14.66	14.64	61.86	59.81	61.57
B230378P21Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	24.46	198.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.24	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	94.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.71	0.21	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.41	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.73	0.0	0.26	0.1	0.11
Bag3	0.0	0.0	0.0	0.0	0.0	139.99	0.0	0.0	0.0	6.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.32	92.35	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.83	5.78	4.8
Bcl11b	0.04	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.21	0.17	1.51	0.16	0.08	0.03	0.07	0.13	0.0	0.0	0.12	21.47	0.0	0.05	0.0	0.0	0.0	0.04	0.07	0.0	0.0	0.22	0.23	0.22	0.0	0.06	0.0	0.12	0.06	0.0	8.17	2.59	0.09	0.17	0.0	0.0	0.07	0.07	0.0	0.06	0.05	0.0	0.0	0.22	0.0	0.07	0.0	0.0	0.0	0.0	0.06	0.06	0.0	0.14	0.12	0.1	0.0	0.08	0.0	0.0	9.91	20.33	14.22	11.84	10.74	13.1	13.19	10.8	5.96	14.6	12.33	9.07	35.56	39.1	36.72
C030019I05Rik	56.19	0.0	0.0	126.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	193.12	0.0	0.61	385.97	0.0	0.0	0.0	7.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.22	0.0	0.0	21.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	202.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.6	0.26	0.0	0.0	17.32	9.97	6.05	11.39	14.82	2.16	6.12	4.57	6.59
C330027C09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	131.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7	9.53	0.0	5.49	12.44	0.0	1.97	5.48	7.83	4.22	6.51	2.27	2.31	2.53
Cbx4	0.0	0.0	0.0	0.0	0.0	0.0	8.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	33.43	14.93	0.0	0.0	31.47	8.58	0.0	0.0	0.0	0.99	0.0	0.0	0.0	0.0	0.31	0.06	0.0	0.0	18.08	0.84	1.33	17.06	0.0	19.59	0.0	0.0	0.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	1.35	0.0	0.0	0.0	0.0	0.0	0.0	4.35	0.1	0.0	0.0	0.0	2.03	0.0	0.0	0.88	3.09	2.34	0.05	0.14	3.84	0.74	1.31	1.92	25.49	29.41	26.74
Ccl27b	6.84	0.0	7.56	0.0	38.89	10.98	5.41	0.0	0.0	16.36	0.0	0.0	0.0	0.0	0.0	0.0	17.73	0.0	6.68	0.0	0.0	0.0	0.0	0.0	0.27	0.0	5.27	0.0	4.03	9.38	0.0	2.47	0.0	0.1	0.0	0.1	5.02	0.0	0.0	29.61	40.26	93.01	7.77	7.33	2.75	0.0	0.0	0.0	0.0	13.03	0.0	0.0	0.0	0.0	0.0	16.03	21.43	0.0	0.0	0.18	0.42	0.52	0.0	16.45	0.0	0.0	0.0	7.57	0.0	164.03	114.56	132.22	177.66	125.27	74.98	103.08	62.2	75.81	61.27	76.52	71.98	30.63	28.29	22.96
Cdh11	0.0	7.23	28.96	8.28	0.0	0.0	0.0	4.93	4.47	32.23	3.2	5.23	0.0	33.02	0.0	24.42	14.62	27.94	18.77	0.0	171.29	0.0	33.51	9.22	24.12	14.43	5.03	3.03	7.57	3.21	17.14	2.36	4.77	2.01	8.36	15.52	0.0	9.91	3.91	45.58	40.59	48.48	8.65	38.04	0.0	9.05	5.65	0.0	106.39	3.33	1.99	36.57	36.93	0.0	22.43	8.7	2.18	0.0	0.09	6.57	1.71	15.32	6.3	41.74	35.77	11.91	65.31	0.0	11.5	28.2	39.56	47.12	34.09	13.68	33.27	43.78	26.79	17.07	49.64	51.32	44.2	43.59	39.82	42.37
Cenpq	0.0	17.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	183.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.39	0.0	0.0	0.1	0.0	2.57	0.0	0.34	0.0	11.21	12.81	0.0	52.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	7.6	0.0	0.61	0.0	14.01	22.33	13.63	0.0	12.88	4.87	4.91	5.4	4.83	5.86
Coro2a	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.64	0.17	0.0	0.0	0.0	0.0	0.26	0.13	0.0	0.0	0.24	0.38	0.2	0.0	0.0	0.18	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.05	0.25	0.09	0.83	0.0	0.0	0.91	1.13	34.46	0.0	0.0	0.01	0.15	0.29	0.07	0.28	0.0	0.14	0.0	0.0	0.56	0.0	0.0	0.0	0.16	0.11	0.05	0.0	0.0	0.0	0.0	0.14	0.0	0.38	0.0	0.17	11.5	3.93	6.67	2.42	7.34	7.79	8.76	2.46	1.87	6.27	8.89	4.35	24.12	25.94	24.68
D630032N06Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48	0.0	0.0	0.97	0.0	4.66	0.0	0.58	0.58	0.48	0.15	0.0
