	Calb2_tdTpositive_cell_1	Calb2_tdTpositive_cell_16	Calb2_tdTpositive_cell_21	Calb2_tdTpositive_cell_26	Calb2_tdTpositive_cell_34	Calb2_tdTpositive_cell_35	Calb2_tdTpositive_cell_36	Calb2_tdTpositive_cell_37	Calb2_tdTpositive_cell_41	Calb2_tdTpositive_cell_49	Calb2_tdTpositive_cell_53	Calb2_tdTpositive_cell_56	Calb2_tdTpositive_cell_57	Calb2_tdTpositive_cell_59	Calb2_tdTpositive_cell_61	Calb2_tdTpositive_cell_62	Calb2_tdTpositive_cell_63	Chat_tdTpositive_cell_1	Chat_tdTpositive_cell_2	Chat_tdTpositive_cell_4	Chat_tdTpositive_cell_5	Chat_tdTpositive_cell_6	Chrna2_tdTpositive_cell_81	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_6	Gad2_tdTpositive_cell_10	Gad2_tdTpositive_cell_19	Gad2_tdTpositive_cell_23	Gad2_tdTpositive_cell_29	Gad2_tdTpositive_cell_33	Gad2_tdTpositive_cell_35	Gad2_tdTpositive_cell_38	Gad2_tdTpositive_cell_45	Gad2_tdTpositive_cell_54	Gad2_tdTpositive_cell_60	Htr3a_tdTpositive_cell_7	Htr3a_tdTpositive_cell_14	Htr3a_tdTpositive_cell_23	Htr3a_tdTpositive_cell_37	Htr3a_tdTpositive_cell_40	Htr3a_tdTpositive_cell_45	Htr3a_tdTpositive_cell_57	Htr3a_tdTpositive_cell_58	Htr3a_tdTpositive_cell_59	Htr3a_tdTpositive_cell_67	Htr3a_tdTpositive_cell_68	Htr3a_tdTpositive_cell_71	Htr3a_tdTpositive_cell_75	Htr3a_tdTpositive_cell_76	Htr3a_tdTpositive_cell_77	Htr3a_tdTpositive_cell_81	Htr3a_tdTpositive_cell_88	Htr3a_tdTpositive_cell_92	Htr3a_tdTpositive_cell_102	Htr3a_tdTpositive_cell_104	Ndnf_tdTpositive_cell_21	Ndnf_tdTnegative_cell_10	Nos1_tdTpositive_cell_2	Nos1_tdTpositive_cell_60	Nos1_tdTpositive_cell_69	Ntsr1_tdTnegative_cell_27	Ntsr1_tdTnegative_cell_30	Ntsr1_tdTnegative_cell_32	Ntsr1_tdTnegative_cell_55	PvalbD.Slc32a1_tdTpositive_cell_15	Rbp4_tdTnegative_cell_1	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_15	Rbp4_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_3	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_5	Scnn1a.Tg3_tdTnegative_cell_14	Scnn1a.Tg3_tdTnegative_cell_17	Scnn1a.Tg3_tdTnegative_cell_22	Sst_tdTpositive_cell_14	Sst_tdTpositive_cell_44	Vip_tdTpositive_cell_5	Vip_tdTpositive_cell_10	Vip_tdTpositive_cell_13	Vip_tdTpositive_cell_14	Vip_tdTpositive_cell_24	Vip_tdTpositive_cell_26	Vip_tdTpositive_cell_28	Vip_tdTpositive_cell_29	Vip_tdTpositive_cell_33	Vip_tdTpositive_cell_34	Vip_tdTpositive_cell_38	Vip_tdTpositive_cell_39	Vip_tdTpositive_cell_41	Vip_tdTpositive_cell_42	Vip_tdTpositive_cell_43	Vip_tdTpositive_cell_45	Vip_tdTpositive_cell_49	Vip_tdTpositive_cell_50	Vip_tdTpositive_cell_54	Vip_tdTpositive_cell_55	Vip_tdTpositive_cell_56	Vip_tdTpositive_cell_57	Vip_tdTpositive_cell_58	Vip_tdTpositive_cell_59	Vip_tdTpositive_cell_61	Vip_tdTpositive_cell_65	Vip_tdTpositive_cell_66
Gm4724	0.0	0.0	33.5	14.4	19.76	0.0	46.66	0.61	0.41	36.88	0.0	0.0	15.36	6.46	0.0	48.49	0.47	43.93	0.26	5.25	0.0	0.0	11.24	0.0	0.0	0.31	0.0	0.0	0.0	32.53	0.0	38.27	0.0	0.35	74.02	75.62	1.16	0.0	0.0	11.35	0.0	28.78	0.45	0.29	17.81	0.0	1.31	4.55	0.0	47.89	0.0	0.19	0.0	2.67	0.0	0.0	0.0	1.19	0.0	0.15	8.44	0.0	0.0	4.11	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.37	0.0	0.0	0.0	0.0	1.77	19.71	13.94	0.05	4.38	0.0	0.0	0.0	17.1	0.0	26.36	0.17	41.01	0.0	11.26	22.7	28.58	0.0	16.12	22.16	0.1	23.93	3.47	18.18	0.26	0.27	0.0	44.78	23.46
Igsf3	63.77	95.21	169.62	229.74	7.82	139.38	35.0	74.22	66.11	207.79	0.0	2.41	43.19	89.86	0.09	160.86	49.78	269.95	343.32	323.08	76.82	157.63	82.0	0.0	0.0	116.53	106.89	18.05	90.71	27.29	90.57	109.64	24.74	38.15	1.87	308.73	101.91	84.84	159.8	158.89	47.42	202.24	135.06	180.38	133.01	11.0	0.06	108.69	0.18	26.81	211.65	109.25	85.33	120.95	1.5	0.0	1.14	369.49	109.49	199.13	0.0	0.0	0.0	46.85	54.97	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.97	22.07	9.99	203.38	31.91	109.16	197.49	100.99	164.93	72.27	57.02	120.62	125.0	87.4	71.31	98.35	2.3	79.35	102.95	82.21	277.27	230.94	138.35	61.32	491.78	156.06	169.13	18.08	176.97
Klc1	22.01	15.38	6.67	23.1	11.3	0.31	0.0	19.71	4.2	32.71	0.0	2.51	0.55	275.49	0.0	230.97	18.22	8.27	5.57	43.83	185.88	7.68	2.88	0.61	0.0	73.84	0.0	0.0	34.44	174.28	65.07	75.62	85.06	77.68	122.02	100.73	0.74	0.0	36.01	118.13	79.66	4.15	0.0	39.77	13.61	130.23	1.59	17.19	54.16	0.16	1.03	11.57	0.79	45.52	0.41	0.0	0.0	0.18	40.98	29.6	0.0	0.0	0.0	28.19	74.41	0.0	4.64	0.0	0.0	0.0	0.0	10.27	0.0	3.63	2.31	0.0	0.0	20.98	124.39	66.18	0.0	54.07	224.78	17.02	29.95	22.61	16.13	55.98	27.59	265.0	61.62	101.07	84.14	158.42	38.05	67.43	26.53	0.23	36.43	52.06	3.68	245.98	43.22	66.69	164.5	116.66
Magi1	80.93	55.8	99.9	115.47	3.99	24.22	102.17	68.02	10.13	124.69	5.53	36.92	153.27	111.11	12.21	63.71	32.7	93.24	335.08	163.65	85.02	164.1	129.62	0.0	0.0	11.04	186.41	53.52	157.34	31.52	57.71	13.63	3.46	18.95	84.79	140.53	103.98	28.66	104.03	110.22	110.77	116.18	62.27	18.56	29.29	16.97	0.0	70.14	136.2	114.01	1.49	21.3	78.68	60.49	38.02	0.0	0.0	34.38	58.21	30.96	0.36	16.0	0.0	43.96	88.4	0.0	20.81	0.0	0.0	0.06	0.05	0.0	0.0	0.0	8.38	40.93	0.0	57.16	56.81	83.7	156.94	28.73	43.4	33.93	19.5	53.9	0.0	16.57	26.04	55.21	63.79	31.96	97.34	70.03	26.42	93.28	101.51	77.01	120.79	122.22	30.56	110.09	108.69	150.54	95.76	60.83
Nbea	39.45	0.03	35.68	97.12	24.86	76.21	83.79	44.01	7.94	31.68	0.04	4.1	17.16	38.41	0.0	50.63	99.41	111.57	10.3	1.78	75.28	0.08	14.49	0.0	0.0	1.49	230.94	19.17	0.56	59.02	4.32	4.6	74.96	80.66	72.89	86.65	67.2	22.61	37.06	152.73	23.42	59.27	74.88	57.03	5.65	186.37	1.28	62.65	3.93	139.57	116.24	40.46	33.08	2.28	0.0	0.04	0.0	214.43	23.77	33.67	0.0	0.0	10.22	0.87	102.63	0.48	0.07	0.0	0.0	0.0	0.03	0.0	0.0	0.0	13.36	0.42	0.0	0.1	2.09	28.05	1.94	24.16	14.15	22.27	9.33	6.36	0.54	82.27	12.57	41.21	52.89	52.85	86.15	150.7	37.4	4.34	21.04	69.79	1.26	76.44	35.11	155.19	4.07	2.94	9.97	38.6
Peg3	6.2	18.39	5.87	6.13	38.43	6.87	22.39	134.16	74.25	24.23	0.0	8.01	1.56	49.36	0.0	40.65	174.61	39.8	97.24	181.3	4.59	38.87	17.04	0.0	0.05	17.57	7.96	22.23	0.47	78.31	20.38	2.77	18.28	33.17	0.22	103.88	72.82	15.28	0.84	11.54	13.62	308.5	116.59	94.98	128.12	100.01	3.03	81.43	48.39	103.27	0.07	46.36	4.44	153.82	0.0	0.0	0.0	13.82	8.0	58.38	0.0	0.0	3.81	11.48	0.0	0.04	0.13	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	123.23	113.95	50.02	4.86	74.08	5.48	221.24	6.96	235.13	36.77	126.13	33.68	35.54	118.0	0.06	0.34	77.84	111.03	35.17	0.58	4.83	123.43	18.53	70.64	190.68	192.14	0.26	91.08	46.17
Scn1a	101.63	4.54	82.6	136.57	78.24	150.11	0.0	143.57	22.1	143.14	0.0	4.45	256.28	94.2	165.06	206.05	85.78	161.59	141.28	69.0	70.59	79.36	57.69	0.0	0.0	40.36	14.53	27.0	18.48	46.79	16.48	50.98	72.15	92.46	38.03	211.29	1.28	13.13	167.76	62.52	5.23	105.04	6.61	9.81	213.11	5.3	0.2	125.22	165.68	86.22	0.84	291.68	117.77	83.8	0.06	0.0	0.0	0.84	85.74	17.87	0.0	0.0	0.0	42.42	114.93	0.03	13.61	0.0	0.17	0.0	0.08	0.0	0.0	3.97	0.0	29.86	0.0	138.17	88.25	1.96	3.64	95.12	24.27	19.95	69.67	102.87	4.07	102.82	115.61	7.8	52.45	172.33	178.59	79.21	29.88	0.9	57.3	6.08	123.63	253.46	187.91	213.63	118.91	80.2	289.82	5.88
Sez6	2.44	0.1	144.55	126.19	0.0	0.89	0.0	198.3	62.41	526.02	0.11	13.36	161.21	87.3	0.0	138.05	0.0	147.23	16.86	126.23	165.37	33.54	141.61	0.0	0.0	20.02	48.75	225.96	112.46	0.0	36.53	24.05	0.11	0.0	787.65	443.28	213.98	0.0	140.92	13.33	252.71	178.87	0.22	34.22	240.76	108.31	0.0	0.39	28.6	319.38	0.0	98.74	99.56	60.86	20.23	0.0	0.0	58.48	133.25	148.39	0.0	0.0	0.0	6.52	145.92	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	5.33	0.0	0.0	0.0	0.0	0.0	1.14	665.5	46.01	236.6	3.92	223.14	106.99	0.0	0.25	115.17	46.06	134.04	34.01	81.51	70.22	27.09	91.71	66.07	0.91	148.75	0.25	149.12	89.64	170.84	0.46	58.34	246.55
Slc24a3	164.57	0.33	22.7	91.84	15.43	23.4	78.69	11.09	18.22	19.05	0.0	118.66	282.6	173.85	0.0	141.95	149.63	178.79	42.55	251.17	157.57	233.36	61.58	0.0	0.0	66.69	281.51	18.91	350.84	0.0	137.81	96.83	3.19	166.96	175.15	190.91	191.79	25.25	68.49	88.58	65.41	166.73	2.58	36.49	73.73	110.86	0.0	212.61	23.14	167.41	0.0	68.13	147.6	0.08	0.0	0.0	0.0	43.0	0.41	0.0	0.0	25.54	0.0	68.69	322.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.45	17.67	10.05	5.85	109.29	299.0	65.26	401.33	138.97	0.0	83.62	204.59	136.16	93.9	74.86	130.65	43.1	97.07	1.71	178.8	122.3	230.19	457.04	147.03	359.21	179.39	556.09	138.71	81.74
Sobp	0.06	51.05	21.93	1.19	23.84	0.0	13.5	11.71	1.65	47.53	0.0	0.0	0.13	59.41	0.0	6.11	75.08	14.27	75.56	16.58	49.71	36.31	1.85	0.0	0.0	0.06	0.0	0.0	258.54	55.5	131.12	33.1	167.26	0.0	78.85	56.07	41.33	37.73	118.5	7.8	0.0	122.34	0.0	101.38	28.26	17.11	0.0	27.67	0.0	29.8	0.0	57.84	8.16	86.83	0.0	0.0	0.0	17.6	25.51	133.13	0.0	0.0	0.08	123.93	22.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.21	0.0	16.33	58.46	93.58	12.06	12.38	11.51	89.71	30.19	1.15	20.78	6.28	54.73	55.64	0.0	16.25	0.0	16.28	273.71	97.5	166.16	37.91	54.99	48.51	9.24	100.65	75.36
Srrm4	0.04	12.23	52.1	60.03	8.67	72.66	7.64	8.35	0.0	85.1	0.0	5.52	19.24	25.47	0.0	13.16	0.1	0.73	9.38	92.29	140.38	5.45	45.08	0.0	0.0	0.0	13.73	0.0	0.0	7.18	83.68	0.0	23.3	2.82	11.92	134.44	10.67	7.05	103.24	4.8	89.29	0.0	5.74	22.11	108.71	5.2	0.0	24.38	0.09	12.31	10.11	4.74	32.73	17.19	0.0	0.0	0.0	2.04	0.46	16.53	0.0	0.0	0.0	17.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.39	10.33	18.78	0.0	1.33	78.07	5.85	0.0	5.98	0.38	0.04	7.93	5.68	11.61	22.63	3.99	27.97	42.24	48.07	25.0	0.07	97.58	12.14	33.45	3.17	76.93	37.34
Tiam1	34.61	66.81	98.23	21.05	0.0	59.43	0.0	18.68	0.0	141.06	11.48	0.0	18.52	129.4	0.0	41.84	9.35	194.61	129.46	7.9	167.73	28.22	38.0	0.0	0.0	98.21	56.22	32.81	311.07	0.0	185.12	27.19	7.48	0.0	76.47	321.81	46.68	17.46	8.03	59.13	64.36	48.29	0.0	0.0	80.26	10.14	0.0	57.49	132.32	20.17	0.35	65.56	0.0	3.33	0.0	0.0	0.0	1.02	8.65	12.75	0.0	0.0	0.09	0.0	166.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.01	11.87	65.25	126.32	52.47	124.77	25.36	0.12	4.75	27.46	94.18	46.12	32.0	40.55	0.57	59.12	20.59	30.65	0.0	21.12	3.79	35.65	74.83	187.1	59.72	0.05	1.81	54.01	47.39
Trank1	0.33	38.42	90.74	0.22	0.99	80.32	0.0	34.23	11.36	26.28	0.0	0.06	1.04	36.41	0.0	17.22	94.34	47.84	11.41	27.33	7.02	51.0	45.39	0.0	0.0	0.0	120.89	23.9	3.12	29.23	34.72	0.09	3.9	0.08	0.43	73.27	27.54	0.03	13.72	125.04	29.13	35.75	32.9	15.14	7.76	40.52	0.15	0.6	9.1	22.9	35.3	8.91	60.36	20.81	25.38	0.0	0.09	9.21	28.87	62.94	0.35	0.0	0.04	1.57	36.28	0.04	0.0	0.0	0.4	0.04	0.03	0.0	0.0	0.0	0.0	0.22	0.0	7.09	5.89	15.33	22.54	47.95	74.02	33.28	33.79	53.52	0.32	26.9	147.76	11.29	63.0	39.94	34.49	1.67	18.81	26.28	6.66	27.71	156.13	0.22	19.42	100.57	67.21	0.14	34.41	27.45
