	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_21	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_36	Chrna2_tdTpositive_cell_39	Chrna2_tdTpositive_cell_47	Chrna2_tdTpositive_cell_48	Chrna2_tdTpositive_cell_52	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_56	Chrna2_tdTpositive_cell_60	Chrna2_tdTpositive_cell_76	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_7	Gad2_tdTpositive_cell_68	Htr3a_tdTpositive_cell_83	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_54	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_23	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_16	Sst_tdTpositive_cell_27	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_32	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_48	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_85	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_96
Faf2	6.14	0.0	14.14	144.3	0.16	50.29	68.48	32.89	3.01	0.04	1.98	0.0	2.04	110.74	81.89	0.0	0.0	0.0	102.75	6.08	0.0	25.31	13.06	7.16	0.08	0.0	16.77	0.07	2.78	54.76	9.76	33.53	13.01	18.86	19.5	21.91	0.0	14.97	21.85	29.22	54.23	22.55	2.36	1.34	20.35	0.0	39.54	13.03	4.54	0.0	0.14	0.0	0.11	0.0	0.0	41.97	33.48	107.03	3.84	38.61	55.15	66.37	0.11	61.21	79.63	54.17
Far1	68.74	86.22	176.65	16.66	43.12	121.66	71.92	81.83	12.11	21.52	7.41	1.43	7.0	197.56	66.33	0.0	0.0	131.56	36.82	177.43	0.0	99.69	135.8	82.59	0.0	41.82	69.7	34.05	79.73	116.3	158.53	46.35	70.44	94.54	55.68	1.97	92.76	0.31	51.62	62.35	57.74	40.77	79.48	78.01	109.15	19.52	45.32	229.76	89.0	7.69	643.17	0.17	0.0	0.0	0.0	132.15	106.75	135.76	43.58	53.94	21.08	30.76	83.75	444.95	82.13	71.63
G3bp2	123.72	124.14	197.52	223.0	257.78	193.69	118.09	104.33	62.44	118.97	89.51	129.27	14.02	318.19	198.32	0.0	0.0	327.35	553.57	280.21	0.0	150.68	134.47	222.17	345.83	134.43	195.05	251.8	296.28	186.72	207.31	114.69	361.36	113.65	180.95	182.8	76.68	197.93	155.63	119.72	140.34	150.08	226.19	121.88	176.68	215.21	204.86	198.83	230.55	0.0	217.04	0.0	180.63	1.81	80.67	546.59	325.52	136.66	223.61	336.64	429.63	404.39	106.34	236.15	213.13	317.13
Gm14295	931.02	1220.37	868.56	1377.31	427.3	546.8	738.74	1214.31	1229.54	835.44	1020.22	1167.86	1243.7	1725.31	1134.78	0.4	3.11	2771.2	509.94	706.51	0.0	826.54	636.76	450.75	513.14	732.36	503.12	447.26	388.27	870.14	468.39	575.42	434.79	268.46	511.24	417.13	700.06	537.48	720.73	536.77	416.89	796.99	778.97	639.34	1078.76	852.05	599.78	579.2	2106.32	0.0	0.0	1.0	0.0	0.0	0.0	2029.94	1412.28	1437.17	427.59	1136.06	1335.3	976.32	473.53	1694.79	1516.58	990.04
Gmps	73.2	61.27	154.75	47.47	51.42	108.6	46.3	124.84	14.69	50.06	36.87	36.92	23.05	370.58	242.66	0.94	0.95	251.17	210.94	241.15	0.0	105.33	69.07	94.27	218.8	178.01	113.45	270.83	186.14	305.59	96.05	77.71	262.23	193.48	215.42	88.46	92.16	144.21	180.21	1.38	230.09	107.39	81.87	172.13	167.07	116.08	117.8	270.26	215.79	249.93	1.31	2.04	9.47	5.08	2.68	350.28	220.71	262.45	144.97	225.36	116.33	565.38	217.84	152.03	321.18	105.84
Gria2	167.37	379.63	100.63	134.51	160.22	583.32	333.47	299.65	176.9	177.8	107.6	38.54	126.05	547.44	437.43	0.0	0.0	764.43	174.25	233.52	2.14	183.88	190.16	77.1	129.75	209.57	222.55	233.96	108.55	126.52	34.5	96.4	223.48	184.74	160.17	60.21	56.65	196.79	79.41	230.58	99.9	86.8	160.37	211.79	110.31	145.97	112.5	99.06	458.67	0.0	0.0	1.77	0.73	0.0	0.0	240.32	194.51	596.8	55.49	255.72	831.45	519.87	347.51	231.57	418.83	179.29
Grm1	24.79	0.6	5.05	3.27	7.97	96.59	65.7	40.47	33.88	28.27	14.25	59.99	19.04	21.6	177.93	1.02	0.52	80.92	86.62	1.64	0.0	33.98	81.22	29.69	9.37	40.46	44.42	0.42	36.16	16.52	25.77	21.53	12.95	57.46	52.64	33.84	32.29	0.76	53.07	21.14	11.36	18.02	13.64	11.5	18.17	69.15	62.37	34.38	49.76	0.0	0.58	0.28	0.22	0.6	0.55	138.52	16.59	87.42	22.54	62.82	75.11	83.12	40.01	109.38	63.18	0.55
Inpp5f	354.98	384.75	313.39	359.57	454.58	464.24	415.8	515.34	294.53	231.64	97.76	106.56	143.06	1253.15	759.77	0.0	0.0	1446.66	509.99	476.88	0.0	233.91	421.08	442.55	391.05	421.52	232.04	303.17	289.57	310.07	318.96	275.45	193.57	366.21	94.22	165.84	244.47	155.03	325.18	108.02	393.54	234.81	275.39	221.55	410.8	409.48	546.27	188.54	407.66	2.39	0.25	0.54	0.1	262.32	0.0	584.17	553.44	910.19	377.77	859.4	903.07	946.11	688.59	499.22	594.88	329.01
Kcnc2	60.7	145.82	201.22	85.46	184.3	173.51	373.04	133.93	14.37	32.3	45.67	31.05	31.14	164.78	64.24	0.0	0.0	151.56	360.3	177.38	0.0	184.37	226.86	103.98	110.6	102.13	109.1	71.6	100.15	68.22	66.5	99.69	110.68	85.21	25.17	66.42	106.58	33.8	78.23	18.2	19.71	53.38	55.49	15.38	132.76	70.55	117.91	111.61	122.88	0.0	0.0	0.1	23.46	0.0	0.0	259.65	180.86	236.69	61.8	194.74	144.7	115.73	127.19	280.85	226.23	145.89
Matr3	341.85	390.65	272.08	103.95	215.58	470.13	593.42	233.09	91.31	270.22	96.53	132.44	156.39	720.33	854.45	0.0	1.15	667.2	510.91	313.46	156.95	500.09	345.97	282.78	385.01	365.04	315.18	505.16	330.57	270.04	311.92	363.03	525.25	695.02	264.81	203.11	292.35	366.97	273.43	372.72	183.37	267.42	251.51	170.52	284.04	284.24	377.65	238.67	453.25	0.08	0.0	1.14	341.17	0.0	0.27	647.93	427.55	710.11	250.73	273.18	296.3	414.0	579.15	567.42	396.92	508.49
Metap2	77.56	143.77	66.34	55.97	82.76	167.66	149.16	107.13	82.66	59.54	24.86	48.09	0.47	30.56	157.95	0.0	55.33	166.77	18.89	74.1	0.0	55.62	11.66	95.82	152.92	79.38	16.23	60.24	58.84	44.74	66.98	16.77	75.22	140.86	156.24	57.24	122.71	20.42	111.98	0.89	18.36	86.58	98.88	70.95	101.62	63.1	23.78	18.03	78.57	0.0	0.0	0.0	0.0	3.11	0.12	198.2	16.39	57.05	121.25	160.36	71.49	103.56	36.05	129.82	131.43	76.22
Ncaph2	54.72	72.32	3.3	30.8	71.18	264.17	151.95	32.31	0.08	86.86	0.27	30.43	0.0	194.95	143.17	0.0	0.0	56.81	0.95	132.59	0.0	36.59	30.44	0.38	0.14	46.2	47.25	72.32	75.19	55.84	95.5	46.88	65.28	0.0	53.59	0.99	49.16	69.82	17.89	0.0	27.87	0.76	8.24	28.69	89.97	76.87	66.84	13.28	46.15	0.11	0.0	0.19	0.14	0.0	0.0	148.11	62.34	93.43	41.71	66.01	0.49	89.06	0.14	94.73	0.42	15.22
Ncs1	166.2	392.28	172.3	125.72	120.81	251.21	335.41	105.03	44.34	109.09	43.64	16.91	64.57	453.97	874.79	0.0	0.0	254.96	258.69	267.12	0.0	248.89	266.87	209.27	39.11	166.48	172.76	149.31	168.82	278.2	301.23	343.88	242.89	126.86	340.44	93.77	31.76	291.68	77.16	87.79	165.52	178.43	152.81	190.35	246.34	227.12	177.18	103.9	322.21	0.0	0.0	0.16	0.11	0.0	0.0	305.55	231.28	361.89	169.47	367.57	123.28	106.58	155.84	179.16	194.27	274.99
Nrxn1	132.31	102.42	211.46	197.73	235.05	364.29	362.94	124.15	143.95	125.05	108.88	45.0	89.36	350.76	349.93	0.0	0.07	396.89	278.74	148.86	0.0	144.06	127.82	162.11	88.6	303.52	135.13	201.3	188.2	211.39	117.84	225.32	205.17	198.7	210.15	123.68	250.6	155.79	263.68	82.52	211.81	184.68	206.77	113.51	237.28	253.97	249.91	219.39	361.98	0.0	0.13	0.42	0.2	0.0	0.0	913.85	224.84	555.52	221.47	401.06	115.11	697.4	200.65	549.03	269.59	179.86
Paip1	64.84	114.18	225.62	26.42	130.61	143.39	309.17	92.28	18.56	92.69	67.67	60.6	34.04	529.12	328.33	32.68	0.0	293.35	119.85	301.26	45.14	123.65	157.92	97.64	177.75	157.94	180.3	181.63	78.35	107.43	153.19	110.75	149.81	108.98	141.03	83.58	89.84	150.84	104.7	76.52	143.3	116.9	98.98	146.09	215.12	112.89	82.69	109.21	489.9	0.0	0.0	5.46	0.0	0.0	2.97	363.2	375.8	288.83	90.17	222.48	293.13	394.81	230.09	326.23	242.74	202.62
Pak1	123.06	300.92	103.4	164.66	222.43	204.8	175.09	269.76	224.86	137.18	109.01	26.31	80.66	143.99	233.18	0.0	0.0	304.17	190.14	334.95	0.0	84.5	200.58	100.28	240.05	143.62	212.68	162.08	184.32	346.67	186.92	259.83	226.07	116.4	220.07	39.53	250.81	247.34	247.81	139.26	321.36	285.18	186.23	165.71	165.79	249.76	362.69	166.74	314.25	0.0	0.39	27.01	1.06	1.75	0.2	739.93	276.84	169.27	332.76	218.95	312.12	322.66	226.43	344.8	389.6	516.87
Pls3	102.95	0.0	120.23	74.49	22.09	493.01	94.46	134.28	90.32	8.38	32.2	17.82	53.63	755.26	233.57	0.0	0.26	209.73	367.3	127.44	7.34	71.68	127.38	74.64	199.08	66.45	78.11	49.91	90.99	55.86	99.52	193.06	95.27	112.84	74.18	41.17	76.24	149.19	118.75	0.08	59.95	121.76	113.86	240.05	7.48	152.28	30.57	61.85	225.34	0.0	0.0	0.42	0.15	0.0	0.0	538.43	129.78	111.78	72.98	265.39	0.0	403.9	104.61	299.07	296.51	137.43
Ppp2r1a	488.7	401.37	887.33	895.16	439.16	1029.22	1014.0	610.93	483.94	998.19	1089.01	327.68	635.21	1748.0	1718.47	0.0	0.0	1375.66	693.69	786.64	0.0	664.65	705.67	845.32	479.43	633.12	920.33	847.84	860.3	541.53	810.24	799.81	1032.88	969.04	398.78	767.98	948.69	754.4	773.11	768.52	516.02	1137.62	793.3	564.98	790.7	594.52	884.62	698.57	598.68	0.17	0.54	1.43	0.0	0.0	0.0	1502.27	874.35	804.15	864.19	937.61	262.84	427.67	857.0	1213.19	1086.26	1214.47
Prepl	160.75	284.43	304.63	105.63	240.8	250.26	71.0	43.08	173.77	102.4	57.66	73.48	14.6	556.55	691.01	0.0	0.0	397.5	307.53	295.05	0.0	398.69	356.47	216.56	74.19	221.97	188.8	460.26	384.04	338.92	219.4	226.76	272.82	807.7	307.12	66.58	159.93	226.61	190.94	97.49	130.68	316.94	267.22	287.47	247.64	303.64	406.72	362.43	169.37	0.0	0.0	0.0	0.15	0.0	0.0	383.18	350.9	403.74	248.65	628.32	268.89	292.27	287.88	495.12	250.84	175.35
Psmd1	91.74	206.56	245.58	66.87	252.46	197.87	394.74	90.87	51.72	0.05	107.95	76.11	49.5	423.13	397.71	0.0	0.0	255.43	155.11	182.75	2.3	198.53	166.6	269.49	215.0	205.83	105.32	135.95	366.07	267.72	234.71	186.92	104.87	7.71	170.32	225.77	108.03	219.79	212.38	96.28	66.68	27.64	136.6	182.33	162.13	104.23	315.76	366.45	218.45	0.0	0.0	0.2	0.0	0.0	0.0	10.91	169.06	260.43	101.5	98.5	141.77	172.59	407.58	454.46	292.99	417.99
Sbno1	19.12	133.38	19.64	21.81	42.17	29.28	29.9	30.88	39.12	3.17	6.0	16.77	16.74	154.05	103.75	0.15	0.0	78.75	108.22	101.14	0.0	21.01	25.51	0.32	11.99	17.01	28.9	23.88	12.42	33.86	21.3	64.67	57.15	32.13	21.9	18.87	34.21	17.94	41.61	5.75	57.0	17.47	24.15	20.76	37.02	49.74	27.98	13.51	23.01	0.0	84.19	0.0	0.05	14.3	1.66	31.21	30.49	100.25	34.22	43.45	82.6	73.91	93.76	23.2	63.62	0.13
Scn2b	643.88	890.97	668.61	595.06	404.61	950.28	741.03	475.14	580.9	452.98	319.88	168.79	331.18	824.77	1089.64	1.05	0.24	1117.1	349.88	847.17	0.0	571.63	508.97	430.86	395.67	545.92	445.31	728.59	762.72	629.16	548.15	613.57	643.53	751.96	734.12	497.87	507.09	922.54	489.16	186.96	450.16	578.91	679.34	713.46	574.58	691.4	523.62	470.57	904.08	0.85	1.09	2.65	3.42	0.87	0.0	1096.2	674.64	1175.16	598.07	1254.55	1004.98	957.09	1087.49	789.28	927.47	617.11
Sept7	552.1	354.7	427.46	344.91	227.41	837.08	686.4	520.79	333.98	706.29	487.73	537.91	569.4	1050.84	968.01	0.0	0.16	777.02	482.76	534.49	0.0	446.23	648.29	333.07	678.12	507.77	427.37	252.05	508.51	485.36	559.32	528.13	199.41	368.91	566.45	308.67	324.65	461.42	189.27	551.21	463.19	738.81	297.34	340.22	634.62	370.76	444.61	345.18	582.33	0.15	285.66	504.15	0.18	0.91	323.3	1545.34	695.91	901.11	315.17	862.15	492.54	933.59	815.1	611.41	761.31	582.2
Srsf7	207.28	57.22	206.52	304.72	64.6	407.68	334.56	194.23	486.81	45.55	61.21	136.38	180.57	1018.55	595.59	0.0	0.0	359.39	261.71	436.87	0.0	172.92	304.36	132.05	196.36	629.18	66.77	171.03	173.64	67.55	369.36	109.27	217.46	324.15	171.89	367.6	253.95	261.61	140.44	348.42	153.05	245.25	201.6	191.82	157.44	254.01	226.83	132.07	197.07	0.17	0.0	0.87	0.0	0.0	0.0	572.79	674.75	430.07	160.41	340.63	500.7	173.36	187.83	31.44	272.33	353.75
Sst	54779.79	32309.85	110572.87	47293.26	52293.57	33532.27	30777.0	34440.97	19548.76	33998.26	92299.24	48476.57	25347.61	15004.2	11955.7	0.0	0.0	72114.03	79456.04	80147.45	0.0	39114.0	46171.02	45987.89	53894.31	43763.2	56866.87	51085.86	57147.69	41946.67	53884.47	50199.22	40467.48	49702.56	51551.12	68952.67	63593.53	54941.04	65451.11	55479.93	53524.63	52986.0	54018.45	54281.29	59257.22	56460.73	63808.17	57846.93	50608.74	0.0	2.17	0.0	4.17	0.0	0.0	8446.37	78404.02	11693.52	30789.15	40301.33	70180.73	9347.52	41593.77	5156.42	60686.4	43001.18
Strbp	32.94	49.97	19.79	60.1	42.39	57.38	110.32	24.56	26.28	14.15	23.08	13.95	26.5	171.79	145.22	0.1	0.25	159.92	135.58	142.54	0.0	42.02	29.42	81.24	45.24	24.53	29.52	62.06	67.87	68.43	76.77	88.4	104.11	73.19	46.42	42.23	28.34	37.57	19.54	30.12	90.93	44.91	33.68	90.46	110.31	64.97	25.57	70.52	114.18	0.19	0.99	3.75	1.14	0.39	0.21	203.38	45.65	252.93	54.26	198.95	58.7	41.24	86.13	173.37	186.84	43.91
Sucla2	82.21	180.62	674.1	49.98	256.15	383.44	426.89	26.29	3.57	12.39	11.54	64.65	111.46	472.46	406.6	0.0	0.0	443.05	793.44	509.73	0.0	495.49	254.61	234.96	149.44	312.43	318.68	122.23	415.47	231.66	191.41	239.32	151.97	324.85	359.06	0.0	372.58	190.99	172.86	120.76	132.13	280.62	103.42	198.52	245.32	115.51	199.37	198.09	198.63	0.0	0.0	0.0	0.0	0.0	0.0	728.77	470.37	154.1	223.25	50.02	536.93	312.45	24.05	257.16	233.78	544.84
Tmf1	15.9	84.2	99.56	16.77	36.98	43.6	73.27	20.29	51.53	30.0	9.06	1.05	12.81	44.47	126.49	0.0	71.49	45.27	101.69	96.44	0.0	30.63	47.0	24.0	112.08	47.82	66.85	42.56	17.26	38.64	30.84	28.42	22.42	31.13	45.38	35.2	31.37	53.74	62.88	44.92	27.68	37.44	47.42	4.24	38.6	38.99	29.25	16.85	108.69	0.0	0.0	0.78	309.34	7.37	17.99	138.4	87.8	26.93	21.2	105.07	83.25	69.23	28.47	73.87	27.28	17.27
Tspyl4	224.24	434.09	252.82	376.56	234.06	430.89	389.05	219.19	186.96	244.52	221.1	173.85	153.34	384.32	551.63	306.58	0.0	405.9	346.65	338.76	0.0	271.33	353.3	255.96	82.85	212.47	249.75	374.3	332.5	415.51	410.02	394.1	514.95	644.8	407.13	142.71	192.88	232.54	451.17	98.6	255.94	143.23	280.58	238.3	175.16	342.16	304.97	295.36	373.99	0.0	0.0	0.16	0.0	0.0	0.0	1292.41	359.98	692.97	467.34	616.77	97.86	576.9	669.91	725.9	476.46	419.11
Tspyl5	102.86	131.87	148.96	111.63	57.83	101.52	66.51	35.34	84.54	58.47	61.65	63.28	12.46	199.56	175.93	0.0	0.0	228.72	131.36	70.18	0.0	50.13	16.55	60.13	117.84	104.51	67.82	78.68	40.62	28.35	33.27	50.9	15.53	76.97	32.9	39.46	56.37	51.14	38.75	70.01	53.47	40.72	44.61	11.51	102.15	66.48	60.75	63.77	187.62	0.0	0.0	0.0	0.0	0.0	0.0	291.48	268.02	164.85	56.06	236.89	141.56	143.36	170.5	232.41	125.2	162.7
Tufm	58.89	118.67	87.85	134.76	27.51	44.04	303.19	0.0	0.0	3.96	36.33	0.0	144.72	1.06	141.99	0.0	0.0	0.0	124.26	165.43	0.0	89.01	48.88	114.75	186.44	121.88	43.99	61.0	36.04	113.57	70.95	91.82	129.24	0.78	0.34	136.51	21.89	18.86	121.98	0.85	23.55	42.93	60.37	196.21	0.33	57.73	60.46	2.11	122.89	0.0	0.0	0.39	0.0	0.0	0.36	120.83	141.67	317.68	122.13	184.94	103.85	309.93	354.58	174.0	76.68	231.65
