	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_5	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_62	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_69	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_11	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_54	Rbp4_tdTpositive_cell_59	Rbp4_tdTnegative_cell_16	Scnn1a.Tg3_tdTpositive_cell_95	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_24	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_96	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Ddr2	0.08	0.22	0.0	0.0	0.14	0.13	2.66	8.85	33.97	162.34	4.25	0.27	124.07	0.13	0.02	0.0	0.16	0.0	0.06	0.13	0.07	0.03	0.0	0.05	0.03	0.07	0.09	0.03	0.06	0.15	0.09	0.1	0.16	0.05	0.03	0.14	0.04	0.12	0.02	0.0	0.03	0.09	0.06	0.05	0.04	0.0	0.14	0.1	0.06	0.03	0.06	0.07	0.0	0.2	0.05	0.0	0.0	0.27	0.23	0.02	0.1	0.26	0.17	0.03	0.05	0.08	1.11	4.64	3.87	4.57
Dnm1	22.71	32.91	0.0	0.0	0.0	0.0	54.59	140.37	156.69	106.96	158.96	26.37	162.17	32.14	18.04	0.0	0.0	0.0	13.97	13.5	18.81	0.03	0.57	4.76	32.34	29.95	22.74	15.88	2.61	9.78	8.72	17.51	2.08	1.36	36.06	21.22	22.97	0.76	16.44	28.7	17.13	0.37	5.09	16.71	9.78	1.46	0.72	6.65	19.87	20.33	88.95	84.28	0.09	74.03	0.0	0.0	0.0	44.55	0.3	18.91	8.02	9.23	20.35	31.16	28.98	47.77	1.11	785.48	840.55	821.55
Dock3	6.03	15.26	0.0	0.0	0.0	0.0	35.11	19.96	84.7	73.68	98.87	75.58	35.5	11.66	0.85	0.0	0.0	0.0	6.92	2.47	15.2	9.05	0.31	1.06	11.04	0.54	20.73	0.03	9.71	13.25	10.87	11.97	4.41	2.74	0.73	3.59	17.67	1.09	3.39	0.26	12.61	5.78	0.17	0.78	8.7	0.22	1.67	8.2	1.46	1.53	14.12	57.82	0.04	24.16	0.0	0.0	0.0	11.37	1.34	1.11	7.66	15.09	6.7	0.23	3.19	1.4	5.69	112.39	109.71	116.14
Eid1	109.41	5.12	0.0	0.0	0.18	0.0	42.45	76.28	200.83	156.3	167.37	1.77	10.1	0.0	35.76	0.0	0.0	0.0	34.63	14.6	69.85	13.93	23.32	31.03	38.35	70.38	52.71	43.7	15.85	22.61	7.02	20.0	40.66	27.4	13.41	12.04	67.36	65.85	31.36	41.87	33.29	38.92	57.5	41.38	21.78	0.0	15.52	7.74	21.16	20.8	4.74	138.08	0.14	130.29	0.0	0.0	0.0	43.45	24.33	33.51	44.27	38.83	34.55	25.25	22.08	42.83	42.01	219.68	227.68	212.38
Eif5a2	30.1	52.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	122.58	0.0	0.0	62.56	0.0	40.93	0.0	0.0	0.0	11.0	39.96	0.24	0.07	0.03	20.24	2.26	1.04	1.82	0.86	0.0	9.24	0.0	32.68	0.0	6.79	0.0	0.0	0.0	3.14	0.0	5.63	0.0	8.96	0.0	0.0	0.0	0.0	44.96	0.0	26.76	14.68	23.3	3.39	0.0	27.99	0.0	0.0	0.0	18.7	0.0	0.0	0.0	1.45	2.5	36.94	0.0	0.0	0.42	34.63	32.62	33.4
Elmod3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.54	0.0	303.1	0.0	0.0	192.67	0.0	0.0	0.0	0.0	0.0	36.31	0.17	36.07	0.0	56.21	0.0	0.0	0.0	33.55	0.0	27.4	0.18	0.0	21.47	53.88	0.0	20.15	34.37	0.0	0.0	34.13	0.0	103.73	0.0	38.82	0.0	0.0	0.0	0.0	34.92	25.84	46.15	0.0	25.78	0.0	0.46	0.0	0.0	0.0	0.0	0.0	46.69	0.0	0.0	0.0	71.22	0.0	24.37	0.0	18.29	20.04	18.02
Esrra	0.0	2.15	0.0	0.0	41.15	0.0	0.0	0.0	1.28	23.42	0.0	0.25	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	3.51	0.0	0.14	0.85	0.86	0.0	0.0	0.0	1.09	0.27	0.0	0.0	1.13	0.0	0.0	0.0	0.0	0.0	1.27	0.93	0.0	1.03	0.0	0.0	0.0	0.0	0.31	0.0	1.35	1.19	0.0	2.46	0.0	0.0	0.0	0.51	0.0	2.88	1.84	0.0	0.84	0.0	0.0	0.0	0.0	43.22	51.27	47.48
Fam63b	21.17	15.0	0.0	30.04	0.0	0.0	0.18	40.02	28.22	65.28	28.11	36.89	63.44	43.8	6.85	0.19	0.0	0.0	3.87	8.5	0.04	0.22	0.12	3.8	17.41	1.44	30.77	3.37	0.1	0.09	3.78	6.37	0.0	2.57	14.16	28.21	0.04	3.38	1.84	2.42	35.6	8.53	3.96	0.42	36.74	26.63	0.06	21.42	7.99	1.83	30.47	15.33	0.0	32.32	0.09	0.0	0.14	16.43	1.62	2.89	0.58	3.54	0.1	1.97	70.61	12.02	46.37	33.04	30.27	31.41
Glyr1	102.75	94.49	0.0	38.1	0.0	0.0	27.85	3.01	165.29	279.46	22.09	186.24	230.7	57.46	106.66	0.0	0.14	0.0	11.99	94.87	85.39	150.23	5.38	57.14	5.51	0.47	37.26	7.5	54.34	45.9	105.54	0.45	94.38	0.83	76.32	7.5	52.86	58.01	113.84	111.62	54.41	0.0	59.01	45.49	48.49	107.39	69.68	106.85	80.74	7.74	118.64	68.33	0.31	135.36	0.0	0.0	0.0	120.93	42.74	45.93	223.43	2.84	75.14	66.62	85.16	76.36	162.72	148.82	150.41	146.54
Gna11	23.67	76.75	31.24	0.0	0.0	0.0	14.2	33.02	44.61	160.28	146.66	4.45	147.19	52.93	0.88	0.0	0.0	0.0	30.52	0.22	0.31	0.04	47.21	0.0	24.97	0.37	49.06	0.47	29.13	0.24	1.61	0.18	32.02	51.77	29.56	42.91	23.49	0.0	51.64	0.06	0.0	0.0	68.89	0.0	39.39	0.27	3.59	14.98	35.53	26.46	70.84	69.04	0.0	5.74	0.23	89.48	0.0	2.36	73.32	0.32	10.94	1.35	16.12	3.82	64.07	42.46	6.48	93.39	96.94	92.94
