	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_4	Ctgf_tdTpositive_cell_5	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_8	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_6	Gad2_tdTpositive_cell_24	Gad2_tdTpositive_cell_30	Htr3a_tdTpositive_cell_27	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_5	Ndnf_tdTpositive_cell_6	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_8	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_20	Ndnf_tdTpositive_cell_21	Nkx2.1_tdTpositive_cell_19	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_21	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_3	Ntsr1_tdTnegative_cell_28	Ntsr1_tdTnegative_cell_30	Ntsr1_tdTnegative_cell_56	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_4	PvalbF.Gad2_tdTpositive_cell_10	PvalbF.Gad2_tdTpositive_cell_11	PvalbF.Gad2_tdTpositive_cell_18	PvalbF.Gad2_tdTpositive_cell_20	PvalbF.Gad2_tdTpositive_cell_25	PvalbF.Gad2_tdTpositive_cell_27	PvalbF.Gad2_tdTpositive_cell_28	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_31	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_37	PvalbF.Gad2_tdTpositive_cell_88	PvalbF.Gad2_tdTpositive_cell_89	PvalbF.Gad2_tdTpositive_cell_90	PvalbF.Gad2_tdTpositive_cell_91	PvalbF.Gad2_tdTpositive_cell_92	PvalbF.Gad2_tdTpositive_cell_94	Rbp4_tdTpositive_cell_17	Rbp4_tdTpositive_cell_174	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_22	Scnn1a.Tg2_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_21	Rbp4_CTX_10pg_2	Rbp4_CTX_10pg_4
Cask	0.0	0.63	0.0	0.0	0.0	0.0	54.25	36.12	0.06	0.0	100.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.19	2.2	0.02	42.33	125.39	0.05	0.0	0.0	0.0	1.76	15.12	41.5	0.0	1.75	12.03	0.0	21.78	28.41	59.28	39.16	17.48	2.58	37.91	0.0	40.53	3.82	40.06	7.43	0.8	2.58	0.4	23.91	0.63	31.11	192.93	0.23	413.05	0.24	0.0	0.0	34.78	110.49
Ccl27b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.17	0.0	17.08	177.13	20.98	0.0	0.34	27.72	0.81	6.15	33.8	19.89	8.09	11.77	0.0	4.78	0.0	2.27	0.0	11.75	8.14	29.61	11.59	0.69	1.74	7.82	0.85	1.18	0.0	0.0	0.0	0.45	41.42	389.64	0.0	0.0	0.0	0.0	0.0	2.83	34.21
Cops7a	0.0	0.0	50.57	0.0	0.0	0.0	0.36	0.0	0.0	0.0	129.0	0.0	0.0	0.0	0.0	0.0	503.51	0.0	824.43	0.0	0.0	0.3	0.0	0.0	0.0	327.4	0.0	0.0	0.0	0.51	3.0	175.75	0.0	69.93	268.63	18.05	203.15	335.62	21.24	36.44	197.26	112.16	287.26	180.57	282.62	237.23	255.93	167.84	67.24	118.58	167.73	71.39	93.59	421.08	148.44	0.0	0.37	0.0	0.73	0.0	0.0	422.54	439.95
Cpt1c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	9.56	2.06	0.11	130.4	108.35	60.69	0.0	0.24	80.69	0.38	48.55	0.19	0.0	6.88	0.16	29.92	61.45	126.07	7.12	81.94	20.8	1.16	41.75	9.22	110.54	48.06	2.4	0.98	129.25	67.22	170.28	3.85	24.57	76.42	640.95	0.23	0.0	0.37	0.35	0.0	54.47	145.01
Cuedc2	675.53	0.0	0.0	0.0	0.0	0.0	229.93	0.0	474.09	0.26	351.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	604.24	73.83	32.16	0.09	3.33	253.22	33.41	0.0	0.0	0.0	4.79	355.6	113.7	57.98	71.39	90.04	262.43	347.04	105.36	77.6	89.68	32.15	258.24	147.1	75.76	69.76	70.9	133.76	349.67	143.61	24.77	141.96	60.8	188.79	219.32	6.07	0.0	0.0	357.97	528.38	0.0	136.82	120.65
Cyfip2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.07	49.09	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	49.06	9.38	0.02	54.77	151.24	18.32	0.08	0.11	0.0	4.4	91.41	217.67	55.31	47.65	85.49	101.37	150.7	37.55	70.78	171.64	47.93	79.28	131.11	91.19	55.74	97.3	168.72	34.27	39.83	47.96	13.78	61.92	100.04	317.82	22.19	0.1	0.0	0.2	0.0	0.0	267.74	187.26
Dcun1d1	0.0	0.0	20.63	0.07	0.0	61.84	0.0	0.0	0.0	0.0	66.54	0.0	0.0	0.0	7.83	0.0	0.0	0.0	0.0	0.0	0.0	32.28	0.0	348.01	5.3	44.54	0.0	0.0	0.15	0.0	222.31	28.81	12.11	42.69	84.48	52.5	40.39	15.32	1.78	50.86	4.18	9.2	28.1	63.36	77.74	15.74	42.02	101.72	24.27	121.82	0.35	24.62	0.08	133.93	38.87	21.65	0.0	0.0	0.23	0.0	0.0	0.22	0.03
Dimt1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	170.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.86	0.68	0.06	11.64	0.0	6.42	0.0	0.0	0.0	0.0	9.4	101.65	0.0	44.35	0.0	0.0	64.33	56.18	117.14	49.72	35.27	22.71	63.95	2.22	12.13	36.99	45.42	19.89	0.17	53.41	0.46	0.13	0.08	93.65	1.41	0.0	0.0	0.0	607.09	0.0	26.38	26.1
Disp2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	21.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.23	6.1	0.0	56.57	21.32	5.22	0.0	0.0	0.13	0.31	32.71	178.6	3.66	159.2	14.42	87.81	72.63	88.7	50.28	59.53	19.54	36.02	23.29	12.93	21.54	40.97	35.86	23.91	58.6	34.03	27.08	23.29	68.95	51.1	0.18	0.1	0.0	0.27	0.0	0.0	64.93	70.76
Dnm1l	0.0	0.0	451.42	0.0	0.2	19.77	0.0	0.0	4.75	71.6	46.58	0.0	0.0	0.0	0.0	64.45	0.08	0.0	0.0	0.0	0.0	198.83	30.79	2.73	52.36	275.88	7.27	192.29	0.18	54.22	1.82	117.14	183.93	78.43	143.42	18.27	190.97	154.2	94.02	125.65	156.29	133.68	190.4	100.08	27.84	125.84	103.99	144.93	17.89	145.98	20.33	24.18	31.1	2.72	95.68	501.34	0.0	0.0	537.05	0.0	0.0	332.56	84.17
Dpp10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	122.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.53	4.44	0.03	3.38	2.73	0.32	0.0	0.0	0.19	2.92	45.43	0.0	0.0	44.04	94.53	68.54	70.69	0.0	1.73	41.53	47.67	28.75	60.11	62.92	15.25	31.28	3.54	95.61	36.06	22.38	11.53	94.78	10.43	43.95	12.0	0.14	0.0	0.27	0.0	0.0	49.28	3.41
Dzip3	0.0	0.0	0.0	0.0	0.0	0.0	5.03	0.0	0.0	0.0	9.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.82	6.86	0.0	2.13	29.72	2.36	0.0	44.01	0.0	50.27	20.38	136.03	0.78	44.77	64.75	6.71	22.67	21.64	27.15	0.0	9.15	2.38	15.9	0.68	16.95	35.11	0.0	6.37	1.26	1.28	6.8	16.15	14.37	42.03	11.91	0.12	0.0	0.09	0.0	0.0	0.01	0.0
Ecd	0.15	0.13	0.02	0.24	0.0	0.0	0.15	0.0	0.0	0.15	0.3	2.01	0.0	0.0	0.19	1.51	0.1	0.15	572.9	0.0	0.0	1.06	0.2	0.15	1.74	0.2	0.15	26.75	0.25	0.61	7.19	34.93	11.96	0.0	24.37	0.0	39.44	6.21	107.23	12.68	140.76	2.13	69.73	40.33	7.8	39.73	42.17	59.0	33.31	24.23	32.5	22.85	0.16	0.13	137.19	27.84	5.67	0.36	39.71	0.0	0.43	0.3	181.77
Elovl4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46	1.79	0.0	0.0	0.0	1.34	0.0	0.0	0.0	0.0	0.0	0.0	67.96	11.54	0.0	4.29	76.82	5.52	55.23	0.23	0.0	1.4	61.08	97.51	62.37	136.85	94.42	241.4	39.16	216.7	51.46	128.0	56.65	91.8	92.15	50.04	162.59	64.9	43.0	96.84	25.26	12.27	11.93	65.88	4.54	72.57	402.5	0.22	0.2	49.22	0.0	0.0	119.21	56.96
Exoc1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.05	0.0	0.14	17.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.05	1.46	75.64	74.8	0.9	6.78	0.0	2.17	45.04	0.0	97.79	37.93	2.21	75.22	51.69	23.43	77.95	50.89	3.8	33.62	42.03	58.68	0.31	90.83	101.64	1.41	0.21	100.55	0.15	3.64	1.01	53.76	3.52	0.19	0.0	61.88	0.0	0.0	6.22	44.12
Fam49a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	322.53	0.03	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	98.45	114.57	0.03	69.7	72.65	0.27	0.0	304.97	0.18	2.13	74.33	11.65	20.16	19.32	48.2	0.65	122.65	163.54	88.3	44.94	63.33	67.0	132.25	31.94	98.96	46.95	58.12	45.25	27.99	98.53	12.99	95.47	63.37	72.98	8.85	0.0	0.25	1.53	0.0	0.13	133.38	222.68
Frat1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.06	0.0	0.0	365.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	101.64	0.0	0.0	13.81	33.23	44.23	104.57	0.0	0.0	0.8	52.15	15.61	0.0	16.06	0.17	13.14	1.43	0.0	0.0	1.37	40.16	76.0	13.49	5.94	23.61	62.51	74.86	0.87	0.05	0.1	1.03	0.33	0.0	0.13	0.46	0.0	0.0	0.2	139.3	0.0	50.47	1.18
Fto	0.0	0.0	0.0	0.0	0.0	0.0	27.22	0.0	0.14	119.1	138.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.27	44.96	0.09	76.1	31.23	4.92	224.99	0.0	0.0	2.35	29.27	116.3	56.91	47.78	56.49	83.42	83.09	34.01	48.39	147.07	44.0	17.05	40.4	36.41	100.8	33.74	110.1	51.56	70.51	0.5	69.94	39.67	76.21	111.8	1.0	0.0	0.0	0.21	208.77	0.0	261.2	74.63
Gm13306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.17	0.0	17.08	177.13	20.98	0.0	0.34	27.72	0.81	6.15	33.8	19.89	8.09	11.77	0.0	4.78	0.0	2.27	0.0	11.75	8.14	29.61	11.59	0.69	1.74	7.82	0.85	1.18	0.0	0.0	0.0	0.45	41.42	389.64	0.0	0.0	0.0	0.0	0.0	2.83	34.21
Gm16039	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.43	0.0	0.0	4.97	0.0	9.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.93	0.0	0.07	0.23	0.72	0.1	0.0	0.0	0.0	0.97	0.0	0.49	8.64	1.67	46.03	0.0	94.59	17.62	1.24	0.0	44.57	62.67	56.48	62.55	43.15	43.7	0.0	7.27	242.87	1.07	98.43	0.0	0.29	119.67	0.55	0.0	0.0	0.47	0.0	0.0	0.06	72.74
Gm2506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.17	0.0	17.08	177.13	20.98	0.0	0.34	27.72	0.81	6.15	33.8	19.89	8.09	11.77	0.0	4.78	0.0	2.27	0.0	11.75	8.14	29.61	11.59	0.69	1.74	7.82	0.85	1.18	0.0	0.0	0.0	0.45	41.42	389.64	0.0	0.0	0.0	0.0	0.0	2.83	34.21
Gmfb	0.0	0.0	0.0	0.0	0.0	145.35	0.11	0.0	0.12	0.0	0.0	0.0	0.0	396.76	0.0	0.08	0.0	0.29	0.0	0.0	0.08	80.99	61.67	125.54	331.91	0.0	133.08	0.0	0.16	7.82	1.75	26.73	19.53	0.1	109.95	0.1	0.0	22.47	12.71	81.85	0.0	120.96	51.1	77.14	0.08	38.29	112.13	207.41	1.3	21.67	0.07	52.52	0.31	21.83	56.36	4.82	0.46	0.0	3.48	0.0	0.0	175.67	203.91
Gtf2f1	0.0	0.0	0.0	2.33	0.0	0.0	0.0	8.95	0.0	0.0	181.6	0.0	0.0	0.0	0.0	0.0	0.0	243.09	0.0	0.0	0.0	0.0	90.22	0.0	9.31	90.48	3.16	0.0	0.8	4.17	0.0	23.36	107.52	0.27	67.85	59.06	9.55	0.94	0.0	36.67	40.94	48.82	0.0	108.09	43.2	100.78	210.94	30.56	27.61	0.92	0.0	0.0	7.39	2.0	42.61	49.56	0.0	0.0	0.15	0.0	0.0	114.26	135.55
Hars	0.0	0.0	432.03	0.17	0.4	0.0	0.0	0.0	0.0	0.7	394.09	0.0	43.85	632.52	19.27	0.0	0.0	0.0	0.19	0.0	0.0	314.42	0.0	0.08	8.11	58.3	111.48	0.26	0.0	396.47	2.66	120.38	85.3	50.38	225.68	13.82	152.67	174.69	101.83	125.52	1.09	91.31	296.02	147.3	49.71	221.26	135.95	316.24	6.46	21.41	0.78	11.28	82.45	6.76	24.31	36.82	0.33	0.0	16.0	0.0	0.0	491.33	139.88
Impa1	0.0	0.0	16.97	0.0	0.0	221.83	0.0	0.0	0.0	694.07	73.52	0.0	0.0	579.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	95.51	0.44	0.06	0.0	79.74	79.25	0.0	0.26	3.08	205.48	228.82	13.65	123.01	192.2	0.0	449.31	96.29	0.0	0.0	3.17	76.14	174.16	130.86	208.15	124.65	46.12	120.53	1.58	254.07	20.97	0.26	109.89	0.82	94.27	0.46	0.07	0.0	70.31	0.0	0.0	196.06	82.77
Kcnb1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	9.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.85	0.42	0.22	1.26	12.36	2.56	0.04	0.0	0.0	0.93	4.81	18.54	7.59	14.07	20.66	30.57	14.07	0.33	12.63	10.22	10.35	12.09	20.36	2.43	3.35	4.49	14.99	2.61	0.18	25.86	0.06	0.62	14.77	11.36	54.46	0.17	0.0	0.08	0.04	0.0	33.94	8.14
Kif21a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.07	1.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.76	8.37	0.64	55.26	60.77	11.55	0.16	0.11	0.29	1.36	101.7	57.37	91.44	101.32	34.07	26.17	62.06	100.88	70.93	76.88	15.74	22.26	56.1	98.94	28.14	74.57	24.55	50.85	45.7	0.37	9.06	33.98	106.39	79.9	65.44	0.0	0.1	0.12	0.0	0.0	27.98	37.16
Kif2a	2.26	0.0	7.73	0.0	0.58	0.0	2.56	8.15	0.0	9.81	298.69	116.17	1.58	0.0	1.69	0.12	19.66	0.0	471.29	0.0	0.0	103.69	148.69	0.27	7.22	77.1	32.98	0.0	1.06	2.1	10.27	82.94	101.69	10.46	70.45	95.15	49.04	49.59	193.31	70.39	214.22	47.44	167.36	118.53	4.49	64.18	80.71	103.63	151.99	4.73	219.45	126.92	111.87	38.49	72.31	801.15	10.1	1.29	212.22	0.27	2.43	6.91	29.87
Kif3a	0.68	6.67	1.38	0.18	1.11	0.65	0.57	0.27	29.37	18.09	12.04	1.06	9.89	0.16	2.2	1.65	4.22	0.26	0.94	0.0	6.72	93.9	107.15	4.0	286.25	70.66	27.25	338.72	0.39	0.53	7.62	94.94	209.11	255.16	109.61	78.42	130.67	109.63	48.45	121.39	93.08	65.4	118.63	147.84	177.54	29.09	100.78	133.66	5.56	50.1	57.99	54.63	150.18	102.18	115.24	337.53	0.37	0.22	1.88	0.64	0.0	110.22	70.59
Kifap3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	13.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.82	163.99	0.04	30.9	0.71	8.71	0.0	271.96	5.65	1.34	147.27	130.62	143.34	142.94	74.48	164.41	163.6	127.63	341.6	61.65	64.35	163.23	103.26	81.56	105.78	74.24	68.83	115.96	34.27	72.48	66.16	150.54	76.98	144.74	7.55	0.98	0.15	0.07	0.0	0.0	129.2	256.23
Lnp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	12.83	0.0	0.0	0.0	48.28	0.08	46.33	0.0	0.0	0.0	0.0	11.81	41.83	0.02	25.21	34.71	0.03	0.0	0.08	0.1	1.42	51.15	28.6	25.67	98.86	15.21	38.41	32.71	77.26	101.37	125.13	31.28	68.07	38.48	65.86	58.19	34.72	71.7	86.41	36.62	0.15	53.35	127.57	114.14	36.2	171.52	0.01	114.39	0.06	0.0	0.0	40.42	15.12
Mapk10	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.15	42.94	122.42	0.0	0.0	12.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.84	0.0	0.13	45.36	175.44	33.73	0.07	0.0	4.99	3.75	157.87	285.67	149.14	124.17	123.11	180.86	194.09	104.91	33.86	193.59	96.19	73.16	161.06	42.48	192.02	96.61	125.44	22.45	146.75	12.0	144.22	135.84	134.58	133.67	130.35	0.37	0.08	0.39	0.0	0.0	134.96	76.74
Mapre2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	92.69	0.0	0.0	0.0	226.47	0.0	0.0	0.0	0.0	0.0	0.0	85.56	10.33	0.08	1.24	177.48	0.0	0.0	0.51	123.1	1.86	32.93	168.81	50.09	81.15	38.43	120.18	153.08	122.72	127.08	40.04	52.91	95.13	68.59	53.43	123.29	6.54	121.84	39.69	11.49	11.95	33.2	46.15	13.63	122.99	1.2	0.81	0.15	63.28	0.0	0.0	212.54	139.88
Metap1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.68	0.0	0.0	0.0	106.56	0.0	0.0	0.0	0.0	3.12	0.0	0.0	0.0	0.41	0.75	14.35	0.0	4.17	0.0	75.28	0.0	0.0	0.0	0.0	1.31	61.03	17.02	0.14	44.69	0.0	0.0	1.88	0.62	31.1	0.0	57.03	57.11	36.5	0.0	0.0	0.0	0.2	0.0	0.0	2.73	33.05
