	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_14	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_77	Cux2_tdTpositive_cell_118	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_68	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_9	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_70	Ntsr1_tdTpositive_cell_62	Rbp4_tdTpositive_cell_184	Scnn1a.Tg3_tdTnegative_cell_22	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_8	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_49	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_16	Ntsr1_tdTpos_10cell_9
Btbd16	9.88	7.11	6.15	8.94	3.66	2.66	6.48	6.74	19.33	0.0	15.14	18.1	12.48	16.94	9.58	3.07	5.42	6.46	7.81	6.03	10.73	6.35	6.75	5.94	8.49	11.08	9.07	12.01	6.63	8.51	8.94	8.31	6.69	7.63	8.45	6.57	17.63	6.6	11.84	6.61	7.89	10.39	9.47	5.44	10.76	30.31	23.25	0.32	5.33	9.4	6.98	2.9	7.68	21.96	12.82	7.33	14.59	15.58	8.28	2.41	6.39	11.15
Calu	98.63	8.27	18.82	0.42	18.82	37.16	6.92	74.55	78.25	6.92	351.01	336.19	212.92	52.89	77.32	1.6	47.33	68.41	0.07	0.05	282.29	0.25	132.83	0.9	30.46	63.04	49.01	131.68	126.16	43.6	98.37	115.01	59.19	24.2	51.2	149.37	75.8	2.63	0.0	59.34	49.79	72.9	118.39	147.09	84.89	118.66	108.22	0.0	39.34	84.67	26.74	0.0	57.39	158.49	0.0	86.25	378.9	121.44	44.25	42.24	0.0	48.89
Chchd7	1.48	0.0	0.0	1.58	5.56	0.0	0.0	0.0	96.2	0.0	80.71	65.98	111.32	34.92	0.0	6.52	0.0	33.97	30.53	35.69	76.17	0.0	16.38	11.16	60.15	8.28	33.15	34.28	0.0	0.0	0.58	0.0	13.55	16.56	0.0	0.0	0.0	25.02	30.06	17.88	64.25	40.56	52.97	0.0	23.43	121.9	44.71	0.0	0.66	38.03	0.0	20.23	26.86	0.0	33.47	58.47	80.84	1.06	0.0	0.21	0.0	22.89
D830005E20Rik	24.56	2.44	23.07	46.12	10.52	4.1	21.99	34.7	48.75	0.0	32.45	70.08	59.44	45.27	109.76	0.93	43.2	38.87	39.94	22.8	42.79	27.24	31.72	39.1	51.0	36.78	38.37	43.6	36.18	35.41	46.38	49.15	28.42	21.2	28.14	30.94	41.54	24.37	38.6	25.88	25.88	44.86	36.63	24.85	26.53	114.53	80.63	16.24	22.11	52.16	35.17	30.1	46.6	112.16	53.18	33.34	77.31	69.84	16.3	12.18	0.12	54.85
Exosc4	6.89	0.07	28.48	0.77	0.51	0.0	3.13	70.69	20.94	0.0	131.47	4.65	192.61	0.85	1.96	0.0	0.56	23.75	41.68	3.51	12.92	28.75	0.66	13.91	2.37	29.63	0.66	49.8	24.67	16.88	3.29	28.67	2.99	3.25	55.44	12.82	3.19	2.26	4.91	0.88	2.45	15.54	32.3	28.22	1.5	8.3	7.53	0.0	2.11	8.89	25.52	20.39	1.0	48.52	2.5	52.03	163.66	3.78	1.11	21.3	0.0	21.3
G530011O06Rik	13.75	7.86	9.79	11.25	4.06	55.92	10.24	10.57	27.18	0.0	13.38	26.52	32.33	17.92	15.86	7.36	14.71	12.53	8.66	7.92	86.78	5.86	11.38	11.51	12.76	7.36	9.28	40.6	79.15	11.59	10.48	12.3	23.38	8.86	7.37	9.42	46.82	16.9	62.86	9.61	8.42	10.74	6.86	8.65	26.01	67.3	29.11	4.61	4.88	79.27	7.5	13.35	12.2	21.55	17.78	8.15	65.83	14.3	9.26	7.42	0.16	23.95
G730013B05Rik	6.71	2.03	2.22	7.83	1.27	0.17	3.01	5.59	21.95	0.0	12.1	19.32	13.97	8.01	7.55	0.51	5.68	7.82	8.2	4.03	6.79	4.15	4.08	3.97	7.26	10.43	5.04	8.57	5.29	5.69	4.3	11.32	7.26	4.46	5.36	2.16	11.1	5.02	9.91	4.44	5.29	6.11	4.54	5.39	5.33	30.0	17.98	0.0	5.28	6.2	4.36	2.32	4.9	20.78	12.66	6.54	6.24	14.95	3.84	3.17	2.06	10.25
Gm17821	159.2	52.23	71.0	144.83	44.72	35.58	78.72	109.53	306.83	0.1	219.33	231.94	239.42	204.39	211.02	59.25	108.53	139.94	149.2	83.86	160.33	102.68	158.01	114.81	161.7	109.85	125.35	145.62	107.97	138.45	152.69	168.31	147.65	141.67	132.54	99.22	162.69	155.3	179.51	109.01	105.43	150.54	115.41	117.21	136.93	339.68	386.34	29.62	95.33	227.19	105.99	101.87	117.85	275.8	169.31	86.22	156.61	207.51	102.26	55.36	24.98	210.71
Gm5113	53.76	7.59	7.55	7.07	8.36	6.65	5.98	11.33	58.88	2.85	47.88	16.72	37.4	9.24	12.58	10.11	6.28	8.73	10.97	5.16	25.51	8.17	45.07	11.41	68.48	76.38	10.28	11.73	15.23	6.11	19.59	17.05	13.29	14.53	10.66	33.46	9.24	15.6	12.48	32.08	8.47	70.84	6.71	9.3	9.45	23.86	26.68	14.8	39.27	73.48	29.36	4.96	8.98	21.28	108.54	9.68	78.6	16.26	9.22	5.49	8.89	46.47
Gm6300	56.6	18.02	26.06	38.44	14.46	11.14	25.64	35.72	125.18	0.58	61.5	89.28	77.43	89.47	75.9	58.39	29.13	48.81	40.6	24.79	43.24	28.58	46.38	30.79	50.06	34.46	48.02	50.97	46.89	35.95	47.2	73.02	47.62	49.3	44.26	33.92	68.64	41.82	49.96	43.48	34.62	50.67	32.89	32.71	56.47	138.25	158.34	1.33	35.03	79.05	34.31	33.93	28.95	72.07	52.34	32.25	60.46	62.85	26.73	24.47	0.08	69.06
Gm885	4.91	4.25	4.79	5.3	7.55	3.8	3.3	4.35	9.73	1.16	2.94	4.63	5.29	30.04	9.54	0.0	2.6	4.45	1.95	4.55	4.97	3.61	15.17	5.39	10.05	7.47	4.09	6.18	3.38	6.92	2.41	11.2	5.21	14.03	26.12	3.52	7.62	5.56	13.52	8.02	6.5	3.76	4.3	5.63	7.27	23.61	13.97	4.03	4.23	2.71	6.37	9.83	2.22	12.76	7.75	3.58	26.08	13.57	4.64	3.99	1.16	6.72
Gpr85	24.26	0.0	21.91	73.41	6.23	5.95	50.3	0.0	194.85	0.0	59.58	0.0	211.92	137.11	41.64	0.0	0.0	72.55	95.36	23.97	55.11	41.15	3.83	29.45	45.41	55.85	73.26	13.02	100.28	38.45	35.32	0.0	0.0	0.0	18.25	14.23	0.0	94.97	51.82	1.76	1.97	34.7	0.09	59.99	20.04	86.11	190.58	0.0	8.63	58.57	36.14	28.13	25.81	119.2	0.0	32.68	138.43	137.09	0.41	0.12	340.63	38.92
Grk4	275.35	75.28	125.43	249.85	69.61	41.37	134.26	231.81	566.43	0.0	461.84	426.36	504.13	399.75	310.26	128.09	236.99	245.04	240.48	102.42	241.45	169.68	283.81	240.39	306.53	210.57	195.29	285.03	180.95	275.11	257.46	275.1	250.51	228.18	197.09	147.67	310.08	214.23	294.46	180.43	163.58	259.05	198.1	194.5	226.99	572.0	537.71	129.91	179.18	349.64	198.88	139.06	169.99	469.1	304.0	151.93	339.43	323.63	154.37	84.18	32.88	331.88
Haus7	62.04	0.0	0.0	20.49	0.0	129.19	0.0	37.43	0.15	0.0	0.0	96.46	199.1	0.51	70.14	0.0	40.76	63.24	0.0	0.0	174.25	0.1	48.88	0.0	0.0	0.0	24.68	23.14	2.16	62.92	0.0	0.0	72.85	0.0	49.23	75.0	0.0	0.0	0.0	0.0	0.28	56.89	0.28	5.13	0.0	0.44	56.99	0.0	0.0	105.63	0.0	0.0	34.68	82.81	0.0	0.0	291.83	0.0	59.55	0.0	0.0	11.6
Kcnq1ot1	41.78	14.32	14.25	32.9	9.39	6.11	19.16	28.19	77.18	0.45	56.69	58.82	75.0	54.93	43.94	18.68	26.73	38.23	36.61	16.83	40.13	27.17	46.94	29.94	42.45	29.03	30.64	37.08	27.18	31.87	41.06	42.31	41.47	37.15	37.47	23.92	41.51	27.93	46.41	28.37	27.34	45.75	27.36	29.48	32.11	94.55	84.47	4.8	29.47	57.12	30.75	22.46	27.94	65.94	47.73	17.87	38.63	48.6	24.37	13.18	6.01	49.06
Nono	22.65	31.5	144.06	258.05	17.79	2.12	178.52	100.06	290.08	0.0	25.03	441.9	152.49	192.39	80.79	0.0	98.61	177.26	284.41	242.65	235.97	162.22	156.63	263.09	235.5	129.98	0.16	189.8	171.94	41.93	101.55	72.7	172.21	146.64	156.22	150.15	90.18	20.0	360.48	60.31	211.84	243.79	181.01	200.36	339.22	565.98	187.94	0.0	188.03	176.69	151.06	77.09	267.49	262.69	240.09	82.37	325.3	163.38	138.3	124.25	43.36	175.09
Npy	138375.8	0.24	359.05	173305.25	40775.82	1.6	1.46	115124.65	0.0	0.0	82245.2	6792.77	45335.24	125016.83	34339.27	0.0	132042.44	149629.49	134232.96	130357.56	105498.11	116117.28	120987.76	122165.94	132052.33	122154.33	122963.43	126501.28	117863.77	130527.91	173863.58	73168.9	126989.03	166048.87	115420.41	191162.16	108906.97	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	110523.31	151963.58	39.93	0.0	0.0	145032.54	13964.96	180453.32	38762.64	128781.07	23340.13	7487.26	137945.15	48908.54	32250.58	137580.94	120620.2	1.5	0.99
Olfr613	41.09	26.26	34.06	50.22	21.6	7.96	18.76	48.02	120.33	0.03	50.04	74.72	58.2	60.38	53.4	6.88	39.2	47.35	40.37	20.38	39.67	34.77	43.94	33.95	40.54	37.4	34.94	43.91	49.06	36.87	33.51	67.86	54.81	48.4	39.88	51.05	53.88	54.07	37.15	36.16	33.94	27.78	32.98	32.83	35.84	134.26	121.13	5.72	21.32	62.77	35.27	27.76	41.91	98.03	87.29	40.03	60.11	46.09	24.44	14.32	0.31	74.64
Pacsin2	84.59	69.51	0.0	1.12	0.0	0.0	0.0	0.0	0.0	0.0	129.94	71.2	118.17	2.06	0.43	0.0	8.88	35.75	0.0	0.09	0.0	0.08	0.0	18.78	4.22	89.74	4.76	26.75	0.0	0.08	31.41	45.32	30.25	19.72	25.16	0.0	0.08	0.0	0.02	31.77	82.72	21.69	1.05	29.46	2.16	0.16	6.91	0.0	12.87	17.24	23.86	0.0	7.67	19.8	41.58	30.35	100.84	0.0	2.82	0.02	0.0	0.2
Pigv	8.11	3.97	9.79	9.36	5.5	7.08	5.77	9.98	19.65	1.41	30.44	35.16	51.33	39.79	12.21	55.76	2.88	6.92	8.42	6.3	25.62	6.31	7.76	35.73	9.96	14.42	8.97	10.4	14.72	7.58	8.48	12.51	10.34	8.48	6.75	6.58	12.03	13.0	8.33	10.16	6.34	9.04	11.11	25.17	6.86	22.33	28.31	7.83	8.4	16.91	10.66	5.89	13.04	20.66	28.47	9.92	46.79	16.04	5.77	6.72	8.32	16.01
Rbbp7	85.19	10.73	88.39	93.57	158.96	23.49	0.0	25.25	365.46	0.0	154.43	0.0	316.09	106.82	176.22	0.0	102.99	0.22	0.21	50.96	65.59	54.79	73.15	34.82	0.0	70.65	56.75	51.19	110.33	20.9	3.63	176.04	38.66	120.11	1.48	0.1	99.79	7.59	58.81	73.48	6.51	1.42	10.52	44.62	12.76	210.5	109.03	0.0	0.13	11.78	102.67	156.28	83.42	12.05	122.95	6.16	411.46	27.94	39.75	78.03	792.12	94.43
Rgs9bp	0.0	0.0	0.04	0.32	0.02	0.0	0.12	0.12	0.2	0.0	0.11	0.23	0.17	0.54	0.05	0.09	0.09	0.14	0.04	0.03	0.03	0.15	0.0	0.04	0.16	0.28	0.0	0.11	0.1	0.04	0.0	0.04	0.05	0.1	0.0	0.03	0.03	0.12	0.21	0.01	0.03	0.04	0.08	0.02	0.19	0.33	0.14	0.0	0.17	0.05	0.04	0.0	0.0	0.48	0.25	0.12	0.29	0.34	0.01	0.01	0.0	0.06
Rheb	19.25	0.9	20.82	9.05	46.64	5.63	0.98	49.46	120.18	0.23	90.22	1.96	115.03	50.14	17.43	18.57	61.68	35.22	44.35	63.95	5.45	23.95	45.79	19.22	24.19	28.94	79.09	93.22	10.5	59.88	26.73	64.41	21.97	48.51	24.44	37.86	4.15	45.1	25.86	8.66	11.82	7.3	12.93	22.35	53.28	151.93	75.19	0.24	30.74	6.26	36.43	16.37	137.61	63.06	20.88	31.89	89.11	16.02	107.1	38.78	0.0	49.26
Rpl5	321.12	197.77	150.51	322.46	572.99	193.14	145.48	208.48	655.73	494.7	447.69	547.02	51.3	366.71	152.1	0.0	195.21	218.94	470.38	189.54	297.91	191.92	178.66	265.36	440.28	200.69	105.45	130.91	163.64	174.36	146.28	506.59	417.06	294.96	147.12	516.97	314.91	227.75	355.28	107.74	332.17	144.67	202.89	332.27	216.71	563.9	271.73	83.19	128.85	235.56	308.96	319.11	154.17	299.74	506.41	164.94	385.99	268.24	252.55	99.67	0.56	402.48
Strbp	56.49	17.39	60.1	42.39	23.08	13.95	18.94	47.47	269.53	0.0	100.13	159.92	146.91	72.44	142.54	0.25	42.02	81.24	45.24	28.62	56.44	24.53	68.11	29.52	62.06	67.87	68.43	76.77	88.4	46.42	42.23	84.06	58.92	28.34	37.57	19.54	29.48	30.12	90.93	44.91	33.68	90.46	110.31	64.97	70.52	272.49	69.3	0.0	32.58	60.79	38.72	45.65	54.26	198.95	104.58	55.77	109.79	207.98	36.91	32.28	0.17	165.08
Uckl1	0.0	0.07	0.28	0.76	0.0	0.0	0.0	0.0	0.0	0.0	101.97	17.53	414.13	132.74	27.84	0.0	0.0	0.04	0.0	87.14	0.0	64.26	0.06	1.08	112.75	0.0	105.73	0.0	54.46	0.0	21.94	25.83	0.0	69.05	28.67	2.5	98.39	59.91	87.7	61.06	126.67	16.49	0.0	0.0	68.25	20.26	6.18	638.88	18.73	237.53	4.47	0.0	0.0	71.35	49.99	42.35	417.85	0.0	29.7	0.1	0.0	62.34
Uspl1	31.6	13.97	1.4	0.0	0.0	0.0	0.0	33.68	42.66	0.0	55.27	0.4	106.57	27.48	7.91	0.0	12.18	5.67	0.0	0.43	25.36	46.27	1.72	0.0	0.0	30.72	0.0	4.71	0.97	70.6	28.42	160.23	2.27	22.31	48.8	0.0	0.0	0.0	23.21	7.21	21.64	0.49	39.45	33.78	0.0	49.37	23.57	0.0	0.0	0.0	3.69	19.21	6.29	0.0	80.88	0.0	145.07	6.11	50.87	46.6	0.0	33.44
Veph1	3.03	1.89	2.85	3.28	2.22	1.0	3.67	4.68	8.66	0.22	5.95	11.01	4.15	5.51	4.89	1.49	2.9	3.4	2.5	2.17	2.5	2.17	3.32	2.45	4.83	2.7	3.69	4.26	4.81	2.22	0.85	7.09	5.7	1.85	2.48	1.22	5.01	1.79	5.79	2.78	2.57	3.95	3.66	2.33	3.69	10.27	14.24	0.14	1.88	8.19	2.49	3.35	5.18	10.81	8.4	4.31	8.51	6.31	0.87	1.07	0.12	4.39
Zfp488	124.66	75.69	100.81	115.69	60.09	19.19	73.44	127.89	311.25	0.0	157.69	216.14	185.94	201.75	174.9	53.31	79.4	114.57	69.95	75.88	125.54	86.39	113.41	97.66	139.76	90.93	95.33	131.89	136.99	85.08	105.09	206.2	134.1	108.15	111.48	102.61	168.49	147.67	93.3	118.24	78.88	84.31	81.9	94.25	106.63	354.21	384.12	8.56	77.88	209.96	100.48	71.51	97.38	272.87	235.45	101.98	181.41	129.9	75.52	45.47	0.69	233.53
Zfp57	27.34	4.82	0.0	0.0	3.2	0.0	26.4	41.55	39.02	0.0	122.83	76.63	232.58	185.38	162.85	0.0	62.37	26.35	4.7	0.0	0.0	0.06	0.0	30.26	0.0	0.0	0.0	40.9	0.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	118.64	33.97	0.0	88.52	308.23	0.0	25.55	88.12	0.0	42.33	0.0	298.34	281.91	0.0	274.25	91.68	0.0	0.04	0.0	5.87
Zfp831	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.08	0.1	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.15	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.05	0.0	0.16	0.05	0.0	0.0	0.0	6.05
