	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_18	Chrna2_tdTpositive_cell_22	Chrna2_tdTpositive_cell_31	Ctgf_tdTpositive_cell_11	Ctgf_tdTpositive_cell_12	Ctgf_tdTpositive_cell_14	Ctgf_tdTpositive_cell_15	Ctgf_tdTpositive_cell_17	Ctgf_tdTpositive_cell_19	Ctgf_tdTpositive_cell_21	Ctgf_tdTpositive_cell_22	Htr3a_tdTpositive_cell_79	Htr3a_tdTpositive_cell_86	Htr3a_tdTpositive_cell_93	Htr3a_tdTpositive_cell_96	Htr3a_tdTpositive_cell_97	Htr3a_tdTpositive_cell_98	Htr3a_tdTpositive_cell_100	Htr3a_tdTpositive_cell_101	Htr3a_tdTpositive_cell_106	Htr3a_tdTpositive_cell_108	Htr3a_tdTpositive_cell_113	Htr3a_tdTpositive_cell_114	Htr3a_tdTpositive_cell_117	Htr3a_tdTpositive_cell_120	Htr3a_tdTpositive_cell_121	Htr3a_tdTpositive_cell_123	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_34	Nos1_tdTpositive_cell_42	Nos1_tdTpositive_cell_46	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_59	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_70	Ntsr1_tdTpositive_cell_1	Ntsr1_tdTpositive_cell_11	Ntsr1_tdTpositive_cell_15	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_21	Ntsr1_tdTpositive_cell_23	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_30	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_40	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_52	Ntsr1_tdTpositive_cell_57	Ntsr1_tdTpositive_cell_61	Ntsr1_tdTpositive_cell_68	Ntsr1_tdTpositive_cell_70	Ntsr1_tdTpositive_cell_73	Ntsr1_tdTpositive_cell_77	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_5	Rbp4_tdTpositive_cell_6	Rbp4_tdTpositive_cell_41	Rbp4_tdTpositive_cell_56	Rbp4_tdTpositive_cell_60	Rbp4_tdTpositive_cell_99	Rbp4_tdTpositive_cell_108	Rbp4_tdTpositive_cell_125	Rbp4_tdTpositive_cell_129	Rbp4_tdTpositive_cell_135	Rbp4_tdTpositive_cell_159	Rbp4_tdTpositive_cell_162	Rbp4_tdTpositive_cell_173	Rorb_tdTpositive_cell_40	Rorb_tdTpositive_cell_48	Scnn1a.Tg3_tdTpositive_cell_61	Scnn1a.Tg3_tdTpositive_cell_62	Slc17a6_tdTpositive_cell_1	Slc17a6_tdTpositive_cell_3	Slc17a6_tdTpositive_cell_24	Slc17a6_tdTpositive_cell_30	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_55	Vip_tdTpositive_cell_65	Vip_tdTpositive_cell_69	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_6	CAV_LP_Ipsi_tdTpos_cell_7	CAV_LP_Ipsi_tdTpos_cell_10	CAV_LP_Ipsi_tdTpos_cell_11	CAV_LP_Ipsi_tdTpos_cell_17	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32
Gm13308	2.19	0.0	23.61	0.0	0.0	0.0	7.44	0.0	0.0	40.53	6.83	0.0	27.03	7.14	0.0	18.98	1.39	0.0	28.65	0.0	0.0	0.0	33.2	9.9	2.85	18.18	6.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.95	0.0	1.81	6.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.65	5.05	42.86	56.68	126.9	0.0	0.0	0.0	93.19	28.38	47.69	10.26	57.18	60.4	59.84	2.54	43.74	163.18	95.29	164.35	57.99	13.03	44.86	47.74	0.0	35.94	0.0	0.0	0.0	0.0	0.0	31.11	2.67	0.0	0.0	23.64	15.95	0.0	0.0	0.0	0.0	17.12	8.75	28.38	13.71	0.0	20.82	65.0	0.0	1.0	0.0	0.0	18.29	33.46	35.52	16.53	13.36	19.2	14.16	34.1	26.15	16.38	13.76	41.05	109.9	45.0	95.65	0.0	0.0	7.98	59.87	95.32	2.55	0.92	0.0	18.55
Gm2002	0.0	0.0	0.07	0.0	0.0	0.39	0.0	0.0	0.12	3.95	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.08	0.0	0.0	0.0	0.19	0.0	7.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.35	0.31	0.19	0.0	0.6	0.09	0.2	0.15	0.22	0.43	0.29	4.1	0.11	5.79	0.0	3.08	21.65	19.08	0.46	0.0	9.95	0.21	12.7	0.0	0.04	0.11	0.0	0.08	0.0	0.17	0.0	1.83	0.2	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.84	0.31	0.22	0.0	0.27	0.24	0.0	0.06	0.0	0.0	0.61	0.21	2.82	5.81	2.35	3.62	0.0	0.41	0.96	4.28	1.89	2.41	0.0	0.06	0.0	0.0	0.13	27.58	0.0	0.0	0.0	0.36	0.28	0.2
Gm2506	0.0	0.0	62.23	0.0	0.0	44.05	51.88	0.0	0.59	119.29	38.81	28.85	4.28	0.93	2.58	71.72	31.43	0.0	49.23	0.0	0.11	0.0	166.07	0.21	16.68	3.36	0.8	0.0	1.46	0.0	1.74	0.0	0.58	0.0	5.37	0.0	34.8	4.12	24.48	0.0	0.0	0.29	0.0	2.79	0.25	1.65	1.9	0.13	4.31	125.22	176.6	172.96	0.0	81.28	44.71	5.88	147.36	112.91	310.16	79.41	318.99	272.53	188.03	85.18	111.71	178.93	183.85	79.46	128.94	135.7	143.81	39.65	62.7	0.0	0.0	0.31	3.75	0.25	125.6	0.0	43.39	72.67	1.6	2.1	2.98	11.0	4.35	5.22	3.47	211.19	106.59	188.71	16.51	150.83	156.7	4.89	0.0	0.0	0.0	164.03	114.56	177.66	125.27	74.98	103.08	54.7	62.2	75.81	76.52	71.98	138.81	89.39	91.35	100.7	74.33	204.01	80.83	235.31	83.58	176.84	97.07	149.77	258.72
Gpr123	5.87	41.52	15.84	9.98	50.18	106.11	98.77	41.17	37.36	68.02	129.83	139.75	74.99	0.0	52.24	84.34	38.85	107.07	129.9	34.87	1.33	71.03	195.55	13.77	113.75	5.87	198.38	40.11	14.19	0.0	1.57	10.82	16.29	44.31	19.13	0.13	17.38	40.58	19.71	6.89	10.09	0.0	1.55	0.0	55.54	0.12	0.0	0.11	4.93	52.57	74.3	132.42	0.0	106.77	44.04	54.46	88.07	35.34	93.03	31.18	158.87	267.91	191.72	17.39	81.13	64.3	103.21	129.24	169.14	189.07	182.88	58.04	17.89	20.94	19.56	65.63	67.5	44.87	160.33	0.0	56.53	116.95	97.21	15.09	23.01	127.32	29.38	45.45	76.31	109.76	265.72	103.17	59.21	42.22	119.09	13.58	0.0	8.07	44.84	109.78	118.45	113.09	123.39	121.77	112.58	79.16	100.72	98.91	72.33	61.78	179.06	63.91	57.59	46.51	76.94	125.36	55.57	225.92	230.37	212.23	100.66	126.03	77.27
Igfbp4	0.0	0.0	0.16	0.0	0.0	0.0	47.8	0.0	0.0	3.95	1.36	49.12	5.86	0.0	0.0	109.57	252.7	0.0	113.7	159.32	0.0	0.0	146.63	0.0	147.63	0.0	186.49	0.0	0.0	0.0	0.08	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.2	210.87	79.61	17.59	56.81	82.72	179.9	55.21	86.98	15.95	270.53	21.2	260.97	0.0	240.98	0.86	287.22	339.08	195.05	56.99	0.0	59.59	2.46	133.32	0.0	0.0	0.0	0.0	0.16	7.12	20.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.0	121.01	86.73	403.22	171.76	97.09	10.67	0.0	0.0	145.85	39.73	52.78	84.47	151.95	71.47	123.85	86.54	99.35	52.59	101.74	80.35	91.06	0.46	4.52	45.92	102.57	106.29	40.65	102.14	0.0	114.07	0.0	19.86	17.15	2.68
Il11ra2	0.0	0.0	0.07	0.0	0.0	0.39	0.0	0.0	0.12	3.95	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.08	0.0	0.0	0.0	0.19	0.0	7.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.35	0.31	0.19	0.0	0.6	0.09	0.2	0.15	0.22	0.43	0.29	4.1	0.11	5.79	0.0	3.08	21.65	19.08	0.46	0.0	9.95	0.21	12.7	0.0	0.04	0.11	0.0	0.08	0.0	0.17	0.0	1.83	0.2	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.84	0.31	0.22	0.0	0.27	0.24	0.0	0.06	0.0	0.0	0.61	0.21	2.82	5.81	2.35	3.62	0.0	0.41	0.96	4.28	1.89	2.41	0.0	0.06	0.0	0.0	0.13	27.58	0.0	0.0	0.0	0.36	0.28	0.2
Kbtbd11	0.35	0.1	0.14	3.39	0.22	6.59	0.13	0.36	6.44	1.68	0.24	13.02	6.53	5.41	1.74	0.12	3.79	7.45	3.24	0.43	0.14	1.46	3.64	6.25	0.38	0.12	4.6	0.2	0.19	0.12	14.1	0.2	0.16	0.13	0.06	3.05	10.97	10.89	9.45	0.07	0.0	0.12	0.07	2.36	6.64	3.47	0.32	0.12	9.1	24.69	21.26	6.55	0.06	34.88	6.3	18.44	36.15	39.71	7.99	38.72	38.86	19.15	8.0	36.3	21.55	9.21	15.29	15.07	28.58	50.92	9.71	5.44	39.8	0.18	0.56	0.23	0.31	2.82	4.36	0.0	0.08	6.61	0.56	5.61	13.58	2.61	8.85	0.37	9.19	18.82	46.0	5.02	32.22	25.41	22.0	3.24	0.15	12.64	0.7	11.47	12.21	21.7	11.18	5.0	16.47	9.79	6.02	19.96	10.45	12.34	7.81	6.35	0.15	3.86	0.36	4.1	71.51	35.47	10.31	39.94	44.34	56.13	3.78
Kcna1	0.0	0.08	3.35	6.77	5.76	37.38	25.8	54.68	0.0	67.7	43.02	109.99	43.23	71.8	10.4	39.15	4.71	3.15	82.83	0.0	0.0	36.95	0.0	23.36	55.08	3.47	37.2	14.86	16.63	0.0	0.0	0.0	0.0	4.39	0.0	0.03	0.0	3.78	81.24	0.13	0.0	0.0	0.0	5.36	8.42	0.03	0.13	22.96	0.0	150.66	87.13	18.91	7.11	70.32	104.74	134.66	12.35	33.85	1.56	97.68	80.73	54.58	96.05	37.73	57.28	78.55	97.7	85.61	63.41	32.86	24.66	49.58	95.35	26.03	1.37	0.04	0.1	3.53	81.79	98.79	3.86	20.62	0.04	51.8	4.49	30.75	20.86	5.96	19.01	119.99	119.67	69.74	74.61	7.96	93.64	0.03	7.11	37.88	0.05	56.79	109.18	80.19	82.4	85.22	82.56	55.84	46.91	51.95	61.01	50.76	42.01	5.46	33.94	11.92	54.4	4.85	52.6	24.98	22.79	101.6	33.22	59.23	21.99
Meis2	0.0	0.14	0.0	0.23	0.47	0.12	0.42	0.34	0.26	0.0	0.0	0.0	0.14	0.07	0.03	0.31	0.0	0.21	0.13	0.0	0.39	0.58	0.12	0.2	0.18	0.27	0.15	0.33	0.07	0.03	0.04	0.04	0.35	0.0	0.32	0.27	0.45	0.25	0.48	0.14	0.0	0.18	0.0	0.09	0.06	0.04	0.01	0.0	0.11	59.91	22.9	102.63	0.3	30.06	68.95	0.0	31.3	33.44	1.42	74.39	2.01	0.34	17.4	49.52	47.68	9.1	75.3	68.98	3.29	80.81	0.37	9.1	25.07	0.0	0.0	0.07	0.17	0.07	38.53	0.07	1.66	0.1	0.14	0.1	0.19	0.0	0.06	0.0	0.0	35.21	58.68	20.01	20.67	2.22	126.41	0.03	0.24	0.47	0.27	35.35	26.76	37.87	9.26	13.19	26.93	37.76	20.23	33.87	26.91	16.99	28.96	1.38	38.18	19.94	0.26	13.25	43.48	0.04	0.0	59.95	0.11	0.09	21.43
Nfia	0.0	0.0	0.0	0.0	193.5	59.38	111.3	61.05	79.42	157.03	111.78	189.06	219.48	22.37	152.74	156.17	168.41	70.22	82.62	183.68	33.92	24.05	126.57	59.84	115.69	72.37	110.27	30.97	0.07	0.0	0.16	0.05	0.0	3.31	0.0	11.03	0.05	2.32	7.22	3.13	0.0	0.0	5.85	0.0	0.0	0.0	1.33	0.0	1.49	116.46	149.58	258.99	84.84	66.99	185.13	72.38	166.88	69.7	37.01	96.27	120.78	84.11	153.59	95.4	87.64	138.11	131.86	66.79	103.18	107.33	70.5	126.37	169.49	10.58	0.0	16.69	0.09	0.0	118.97	0.0	0.0	0.0	0.0	0.0	0.05	6.92	0.0	0.05	0.1	243.82	118.46	116.58	102.62	70.56	84.17	0.05	0.0	17.04	41.18	142.97	134.97	131.48	113.28	108.45	111.67	97.54	118.15	94.09	150.54	154.44	66.07	155.63	64.11	216.13	146.27	73.29	112.7	36.85	161.91	214.69	68.39	109.13	60.53
Nos1ap	30.1	0.23	17.82	8.17	0.0	39.2	1.12	24.0	31.29	11.71	99.58	11.63	19.07	78.8	32.96	33.6	41.16	2.05	24.81	44.85	1.02	42.05	38.46	118.45	10.34	96.54	0.75	0.0	0.0	0.0	2.35	0.0	0.0	0.17	0.0	9.25	0.0	46.34	0.0	0.0	2.87	0.0	0.0	0.0	44.59	0.0	0.0	0.0	0.0	132.73	173.83	110.1	0.23	2.45	68.27	25.95	30.51	100.56	85.41	22.47	203.83	147.41	106.53	99.32	180.65	151.47	51.68	133.66	52.08	188.13	78.86	71.56	98.07	1.8	18.98	40.91	0.6	0.78	46.23	0.0	63.5	25.27	3.91	2.11	4.7	46.12	31.65	0.41	10.87	115.62	109.42	42.59	111.16	53.7	3.39	10.06	0.0	0.0	1.35	74.32	63.28	57.6	50.7	68.18	84.08	61.86	52.47	78.78	52.38	52.04	153.45	84.14	5.71	191.36	0.22	66.56	120.49	79.47	23.59	0.74	75.84	24.77	65.23
Nrp1	0.0	0.0	1.34	20.35	0.0	62.92	66.99	0.0	23.89	11.77	17.63	26.35	0.0	0.0	14.85	12.31	0.0	0.0	34.62	0.0	0.0	2.22	2.61	11.54	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.05	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	121.04	121.82	93.98	0.18	114.42	29.42	69.97	18.22	58.17	20.03	4.39	32.4	84.46	47.29	70.75	43.27	46.77	0.0	83.03	101.6	88.55	10.77	138.21	48.49	99.17	79.47	0.0	0.15	0.0	4.75	34.01	0.0	0.04	0.0	3.59	0.0	0.0	0.05	0.0	0.0	67.67	42.79	18.48	27.03	13.46	83.55	0.0	0.0	0.07	0.0	74.65	66.75	94.79	62.08	62.79	64.41	47.8	80.63	42.1	70.4	65.12	14.07	47.24	54.53	13.27	63.88	36.28	87.68	85.28	50.93	1.1	24.92	19.27	0.0
Pak7	0.0	2.44	46.7	0.0	2.76	0.0	0.0	0.0	0.0	0.26	0.81	0.0	0.09	0.46	0.0	26.05	0.08	4.68	17.17	41.88	1.61	0.0	19.84	0.0	27.17	0.06	1.85	0.0	0.0	0.02	0.1	0.28	0.06	0.08	0.08	0.0	0.55	1.56	2.65	0.0	0.0	0.0	0.0	0.0	3.49	0.0	0.0	0.0	0.0	172.7	51.73	5.67	0.51	55.48	15.08	3.48	57.52	2.33	30.76	25.58	57.2	33.88	65.49	55.55	93.1	22.14	51.65	162.87	51.58	1.07	110.26	38.35	81.75	2.0	2.58	41.53	15.94	0.48	42.74	0.07	3.97	65.12	19.9	30.41	2.34	57.45	2.37	15.21	15.4	166.65	3.05	8.89	1.68	32.01	10.67	0.0	0.0	0.0	0.0	54.15	65.98	37.42	48.31	51.3	52.46	35.99	69.13	44.95	53.08	39.5	56.14	3.31	0.73	39.13	17.74	22.76	3.64	15.63	41.07	20.1	21.14	24.27	16.4
Pcp4	5117.81	4061.01	2514.36	2700.07	4159.66	3820.49	4639.95	2818.82	5350.95	4871.0	3144.88	3008.35	4036.12	4905.76	3283.35	5130.46	3348.15	3842.39	2777.44	3049.68	3629.17	4428.08	4195.3	4402.77	4052.0	3063.89	3821.26	3389.89	2707.24	3496.46	4184.47	4733.38	4414.79	3406.65	2293.07	3277.1	3040.49	2392.61	2462.79	2737.2	3369.7	5082.23	4231.51	2588.48	2799.24	2700.52	3031.22	2420.66	4518.09	4306.98	4736.97	4085.02	7467.74	4785.11	3966.76	5853.47	5181.2	4251.63	6240.76	4858.15	5498.56	5326.1	6808.32	7407.1	5341.11	6583.41	5620.14	5456.32	4964.42	3006.03	2999.77	4200.61	5251.38	3276.12	3177.92	3472.73	5093.83	3079.77	4134.5	2547.46	3038.74	3666.35	3089.67	3514.04	3535.48	3137.72	3779.33	3706.04	3176.45	4401.36	5307.32	4508.06	4815.87	7030.52	5084.45	5005.09	4368.46	2597.53	5492.66	4246.61	4480.25	4373.65	4108.26	3507.01	3446.01	4928.48	3901.08	5219.57	3442.63	3306.12	7638.97	4212.47	5202.71	5242.95	5106.23	4247.86	6941.16	7178.2	5557.87	6670.6	6291.11	8685.7	6217.49
Prkcb	13.39	137.89	133.84	45.18	126.87	219.17	214.44	8.97	18.72	302.87	194.28	164.69	106.6	55.66	124.96	86.13	189.67	16.58	242.19	159.1	4.44	68.04	159.59	56.39	164.67	1.39	14.87	52.41	8.6	2.64	6.89	9.02	34.75	15.0	9.01	15.78	179.31	217.98	141.33	33.02	0.06	32.65	30.8	5.25	100.22	14.58	0.37	3.4	7.3	556.9	293.59	329.21	207.21	259.76	318.43	317.53	218.73	315.78	488.0	357.69	143.75	251.77	310.81	283.48	463.55	246.85	353.97	517.46	338.09	426.13	286.8	365.83	304.59	219.62	216.46	138.51	164.81	78.49	225.96	188.42	197.13	165.04	156.97	161.85	198.4	173.4	142.88	131.19	160.82	420.78	287.67	251.48	423.38	535.43	530.85	0.11	2.75	114.92	37.33	309.5	267.34	387.42	298.74	313.34	329.4	217.93	257.9	281.09	261.35	235.19	93.29	162.9	172.14	289.23	146.1	198.56	399.85	339.75	281.91	258.63	247.11	248.14	147.65
Rell1	0.0	21.88	0.1	0.0	0.0	2.06	23.97	0.0	20.93	7.48	7.73	12.88	7.13	5.67	11.95	37.6	19.81	12.67	14.48	6.83	23.49	14.58	19.07	4.88	11.52	11.3	25.99	0.98	4.05	0.04	0.0	0.0	0.0	0.0	2.62	8.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.15	0.26	25.97	1.6	0.0	23.52	72.98	81.47	0.0	42.68	8.92	34.61	52.6	2.62	47.2	7.42	20.07	43.86	13.41	9.84	10.63	0.0	18.99	25.62	45.15	33.29	7.33	78.12	2.35	0.21	0.0	0.0	0.0	12.11	0.0	0.0	0.09	4.11	0.0	24.18	9.54	3.51	0.09	23.03	0.0	15.23	14.11	41.23	31.79	43.29	149.73	0.0	0.0	9.81	26.05	36.73	51.86	48.18	28.57	29.25	22.11	27.02	31.28	18.3	35.54	44.87	0.0	0.0	0.0	26.57	37.33	0.0	13.37	69.46	20.86	51.79	53.85	125.19	0.0
Sema3e	27.63	0.09	0.31	13.78	0.11	0.16	4.54	0.72	0.0	0.17	0.09	0.15	0.15	28.27	0.0	24.63	139.19	0.17	0.29	5.52	0.34	0.09	62.11	4.03	139.64	0.16	0.12	0.18	0.07	0.05	0.17	39.37	65.86	1.45	19.48	0.41	0.06	0.12	0.05	0.11	21.3	17.02	0.07	0.0	0.13	0.2	20.61	12.65	0.16	50.74	58.97	133.78	139.04	90.9	102.87	0.05	13.76	86.86	0.2	3.69	23.13	17.16	51.35	4.41	42.38	1.01	4.0	163.13	62.24	47.79	5.64	8.4	77.41	37.74	0.08	0.0	0.22	0.18	88.08	0.0	0.34	0.18	0.05	0.17	0.16	0.19	0.21	54.54	0.06	159.67	37.14	97.55	71.57	38.34	30.01	0.0	0.1	0.28	0.3	18.95	32.58	26.37	16.61	22.43	49.68	40.59	17.25	24.34	28.72	34.32	31.01	25.31	16.73	35.88	89.6	16.96	0.21	46.26	0.21	28.36	0.14	4.66	17.61
