	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Cux2_tdTpositive_cell_14	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_69	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_104	Ndnf_tdTpositive_cell_19	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_18	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_9	Scnn1a.Tg2_tdTnegative_cell_9	Scnn1a.Tg3_tdTnegative_cell_16	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_96	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_13	Vip_tdTpositive_cell_20	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Slc12a5	16.46	2.25	0.0	0.12	7.35	101.33	34.55	8.99	91.98	81.2	18.73	0.0	0.0	36.96	4.84	15.02	10.11	10.1	0.85	13.39	18.49	0.04	7.38	7.73	3.6	0.0	3.56	21.73	6.93	19.61	23.37	2.86	13.38	17.4	17.82	11.58	0.04	6.43	6.79	11.55	28.3	9.34	0.04	21.66	0.0	0.16	0.0	0.0	0.0	0.23	53.39	1.46	19.27	7.16	0.38	9.15	32.94	11.21	14.57	0.0	0.08	303.65	314.89	318.33
Slc2a13	1.55	37.53	2.37	0.06	40.71	337.23	113.28	597.56	379.06	80.81	99.17	124.68	0.0	2.91	3.97	22.72	13.53	49.35	0.03	4.48	31.55	20.35	0.0	43.61	34.85	5.44	15.17	9.88	0.0	0.04	50.37	37.73	29.17	2.35	85.21	0.0	5.34	14.49	2.94	6.93	20.18	45.84	0.07	41.34	0.0	0.05	0.0	0.0	0.0	13.84	71.36	23.87	18.44	29.0	0.0	1.19	23.23	0.07	30.72	1.68	0.08	67.34	63.59	65.25
Syt1	875.24	654.41	399.55	400.67	452.05	1020.63	871.19	1547.35	1764.47	1808.62	906.02	979.99	69.92	622.81	759.38	590.98	647.51	651.97	532.79	496.46	463.82	652.79	607.09	563.51	636.11	417.57	551.28	349.07	327.05	423.53	544.46	488.54	601.27	328.78	633.07	272.39	403.12	486.59	542.74	685.36	221.98	487.06	404.66	206.98	0.0	0.2	0.0	0.0	0.0	284.6	730.79	434.79	699.53	689.79	277.15	743.33	574.5	461.07	743.79	768.93	612.59	931.59	920.94	916.63
Tbc1d9	1.08	0.0	0.0	0.0	0.0	28.84	129.51	47.77	7.55	11.75	2.22	0.0	0.0	0.62	0.03	1.83	23.56	0.46	0.03	1.25	0.69	0.04	0.0	1.06	0.0	0.62	0.06	4.22	0.05	16.77	0.0	0.06	19.59	17.93	9.49	0.0	0.0	8.66	2.35	9.94	0.0	0.72	18.02	1.21	0.0	0.0	0.0	0.0	0.0	13.27	38.37	17.11	18.01	4.41	0.0	0.04	5.37	9.01	13.17	0.0	0.0	61.21	62.36	62.69
Trim37	30.48	6.61	67.69	2.59	33.81	78.04	105.67	112.59	68.97	88.29	27.19	105.51	0.0	50.45	42.12	87.62	25.44	38.11	0.56	77.61	0.2	34.56	55.13	51.75	61.73	27.1	22.1	0.0	35.62	17.72	34.15	10.48	39.01	3.71	78.29	133.98	20.81	15.9	7.38	54.9	34.62	19.86	26.67	21.88	0.0	0.17	0.4	0.0	0.1	35.73	56.59	38.81	35.78	33.12	5.33	22.15	10.99	0.0	16.35	6.73	0.09	216.02	201.17	202.32
Usp15	66.7	20.37	62.87	3.64	18.27	15.69	121.22	49.88	218.64	0.0	84.86	48.07	0.0	62.95	153.8	79.66	33.03	84.57	7.63	12.87	19.18	44.93	111.01	61.18	43.78	114.39	44.9	6.74	10.21	38.03	96.91	68.99	45.42	80.8	10.99	79.22	24.88	71.58	34.81	32.7	79.83	48.22	85.51	83.54	0.19	0.0	0.0	0.24	0.0	35.26	96.89	68.88	72.8	7.06	1.59	39.44	31.08	181.77	4.2	0.34	0.0	47.57	41.42	47.5
mt_AK131577	2332.54	729.87	1075.15	602.6	1259.91	1840.45	1797.41	1978.27	3014.14	3855.05	1420.61	1302.09	697.71	877.3	1434.28	1432.28	1040.04	1263.81	1050.47	1078.56	1746.06	1673.84	1051.38	1034.56	1454.66	1117.53	810.34	793.39	1060.94	1006.07	1113.29	594.69	1711.99	1416.58	1099.33	2085.68	1038.29	1262.48	1047.52	1585.46	1060.54	1340.98	1303.98	1216.13	1019.88	166.64	201.27	877.82	530.88	1016.28	2016.34	1141.51	883.44	885.59	832.63	1150.63	850.74	740.23	1499.9	865.28	800.25	4857.0	4144.16	4779.18
mt_AK131578	3953.45	2495.41	3255.76	1718.18	2316.0	2323.49	2704.41	4045.2	5229.29	7086.59	1842.85	1804.87	1815.98	1800.74	3437.23	3124.1	2751.44	3813.56	3399.87	4056.45	4492.93	3736.62	2593.79	3342.02	3378.05	3768.68	2465.91	2170.54	2974.87	2111.1	3202.55	1823.69	3606.05	2130.04	2469.11	4002.59	2311.68	2967.58	2347.86	3320.63	3226.87	2680.87	3070.48	3154.51	1415.51	1793.25	122.34	822.46	1770.47	2605.37	3577.56	2720.37	3143.43	3977.23	1355.63	2613.31	2331.67	1685.18	2958.89	2353.07	1436.15	6479.43	5869.67	6186.24
mt_AK131587	563.34	178.58	263.83	128.45	341.47	468.04	303.6	428.54	515.27	662.17	300.51	309.15	149.01	293.89	413.2	281.26	301.47	398.63	293.04	381.48	501.34	565.15	345.77	401.94	346.19	267.14	232.07	192.57	396.7	217.31	393.73	200.98	377.0	333.36	366.59	518.93	357.67	244.57	284.41	424.04	314.58	377.74	297.78	235.49	191.34	39.93	35.98	262.09	397.21	312.32	301.73	337.01	421.7	353.6	371.1	414.78	135.5	229.41	375.64	180.27	217.91	1009.76	878.58	996.56
mt_AK132015	2332.54	729.87	1075.15	602.6	1259.91	1840.45	1797.41	1978.27	3014.14	3855.05	1420.61	1302.09	697.71	877.3	1434.28	1432.28	1040.04	1263.81	1050.47	1078.56	1746.06	1673.84	1051.38	1034.56	1454.66	1117.53	810.34	793.39	1060.94	1006.07	1113.29	594.69	1711.99	1416.58	1099.33	2085.68	1038.29	1262.48	1047.52	1585.46	1060.54	1340.98	1303.98	1216.13	1019.88	166.64	201.27	877.82	530.88	1016.28	2016.34	1141.51	883.44	885.59	832.63	1150.63	850.74	740.23	1499.9	865.28	800.25	4857.0	4144.16	4779.18
mt_AK132098	2332.54	729.87	1075.15	602.6	1259.91	1840.45	1797.41	1978.27	3014.14	3855.05	1420.61	1302.09	697.71	877.3	1434.28	1432.28	1040.04	1263.81	1050.47	1078.56	1746.06	1673.84	1051.38	1034.56	1454.66	1117.53	810.34	793.39	1060.94	1006.07	1113.29	594.69	1711.99	1416.58	1099.33	2085.68	1038.29	1262.48	1047.52	1585.46	1060.54	1340.98	1303.98	1216.13	1019.88	166.64	201.27	877.82	530.88	1016.28	2016.34	1141.51	883.44	885.59	832.63	1150.63	850.74	740.23	1499.9	865.28	800.25	4857.0	4144.16	4779.18
mt_AK141672	147.9	65.81	100.82	43.12	58.24	84.03	83.41	221.88	151.98	202.18	59.65	68.77	84.33	75.94	221.13	56.3	90.27	144.15	101.48	125.78	158.66	151.23	60.43	97.72	121.35	108.27	66.07	72.27	87.94	58.04	57.18	93.79	186.94	81.5	83.78	301.63	109.5	101.06	82.78	242.79	85.12	90.48	171.71	100.74	62.78	26.49	17.62	1.36	98.38	91.46	77.11	150.39	93.28	143.7	51.27	130.11	90.02	74.15	184.37	18.73	25.2	203.22	178.4	206.5
mt_AK165190	3953.45	2495.41	3255.76	1718.18	2316.0	2323.49	2704.41	4045.2	5229.29	7086.59	1842.85	1804.87	1815.98	1800.74	3437.23	3124.1	2751.44	3813.56	3399.87	4056.45	4492.93	3736.62	2593.79	3342.02	3378.05	3768.68	2465.91	2170.54	2974.87	2111.1	3202.55	1823.69	3606.05	2130.04	2469.11	4002.59	2311.68	2967.58	2347.86	3320.63	3226.87	2680.87	3070.48	3154.51	1415.51	1793.25	122.34	822.46	1770.47	2605.37	3577.56	2720.37	3143.43	3977.23	1355.63	2613.31	2331.67	1685.18	2958.89	2353.07	1436.15	6479.43	5869.67	6186.24
mt_AK167037	2332.54	729.87	1075.15	602.6	1259.91	1840.45	1797.41	1978.27	3014.14	3855.05	1420.61	1302.09	697.71	877.3	1434.28	1432.28	1040.04	1263.81	1050.47	1078.56	1746.06	1673.84	1051.38	1034.56	1454.66	1117.53	810.34	793.39	1060.94	1006.07	1113.29	594.69	1711.99	1416.58	1099.33	2085.68	1038.29	1262.48	1047.52	1585.46	1060.54	1340.98	1303.98	1216.13	1019.88	166.64	201.27	877.82	530.88	1016.28	2016.34	1141.51	883.44	885.59	832.63	1150.63	850.74	740.23	1499.9	865.28	800.25	4857.0	4144.16	4779.18
