	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_57	Ctgf_tdTpositive_cell_4	Ctgf_tdTpositive_cell_5	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_13	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_11	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_3	Ntsr1_tdTnegative_cell_11	Ntsr1_tdTnegative_cell_22	Ntsr1_tdTnegative_cell_54	Rbp4_tdTnegative_cell_1	Rbp4_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_6	Scnn1a.Tg3_tdTnegative_cell_10	Scnn1a.Tg3_tdTnegative_cell_14	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_69	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101
Efna5	0.08	73.2	8.6	89.53	37.51	46.96	0.0	0.0	0.0	0.14	91.56	239.3	110.64	212.4	394.26	117.7	60.37	246.75	0.0	0.1	99.35	190.48	152.22	0.07	63.85	149.55	75.74	46.11	41.61	149.86	45.02	458.91	117.07	144.09	93.86	61.49	0.04	204.7	132.43	74.02	66.7	141.01	60.37	72.9	71.57	36.93	54.05	334.71	163.8	120.3	289.59	220.3	194.0	60.73	0.0	0.44	0.0	74.87	0.25	0.1	0.0	0.0	0.0	235.15	154.52	179.36	73.38	129.49	253.12	151.16	39.05	80.64	115.36	54.64	15.53
Extl2	0.0	129.37	282.3	119.48	69.25	2.2	0.0	0.0	0.0	0.0	295.63	236.21	112.06	287.59	293.86	43.67	84.67	55.53	0.0	0.0	111.7	300.95	180.87	193.22	231.0	66.29	209.18	140.03	342.97	206.18	209.19	222.39	237.87	253.94	176.85	113.07	7.74	237.39	133.87	213.0	197.56	145.94	254.35	128.42	207.58	42.46	221.02	130.52	196.05	211.69	305.54	285.33	83.75	143.54	0.0	0.0	0.35	251.3	2.32	0.18	0.0	0.0	0.0	49.54	80.85	203.42	515.28	421.96	309.02	228.81	142.57	145.81	132.56	198.88	131.53
Gabrg2	0.27	172.91	155.38	69.27	124.92	23.16	0.0	0.0	0.0	0.0	574.33	377.64	555.35	1099.35	780.57	226.83	488.38	534.52	0.0	0.0	115.63	206.96	217.73	171.4	187.76	0.55	383.88	129.6	401.35	272.04	164.24	126.27	181.47	150.73	462.15	299.87	312.48	433.68	254.82	197.16	198.54	131.61	258.31	285.93	563.29	396.59	209.56	192.38	229.86	194.18	40.4	247.55	173.36	221.16	0.0	0.0	0.44	240.94	0.32	0.07	0.0	0.0	0.0	122.05	267.37	647.35	451.15	210.14	853.33	205.93	266.85	338.64	77.57	199.87	468.7
Gm14430	0.0	8.29	0.0	2.27	0.0	0.06	0.0	0.0	0.0	0.0	12.4	7.41	19.54	73.95	23.07	0.0	13.78	13.59	0.12	0.0	6.19	5.76	15.98	0.27	6.16	0.01	0.0	4.55	5.5	0.17	11.93	0.0	2.84	13.27	0.0	0.37	0.47	11.48	0.0	0.12	11.84	6.27	12.37	0.0	11.85	0.11	0.0	5.6	4.55	0.54	1.09	2.37	0.22	12.18	0.0	0.0	0.04	15.13	0.0	0.03	0.0	0.0	0.0	2.39	0.82	19.93	0.0	0.0	27.87	4.29	0.0	0.67	0.72	0.0	8.42
Gm14434	0.0	8.29	0.0	2.27	0.0	0.06	0.0	0.0	0.0	0.0	12.4	7.41	19.54	73.95	23.07	0.0	13.78	13.59	0.12	0.0	6.19	5.76	15.98	0.27	6.16	0.01	0.0	4.55	5.5	0.17	11.93	0.0	2.84	13.27	0.0	0.37	0.47	11.48	0.0	0.12	11.84	6.27	12.37	0.0	11.85	0.11	0.0	5.6	4.55	0.54	1.09	2.37	0.22	12.18	0.0	0.0	0.04	15.13	0.0	0.03	0.0	0.0	0.0	2.39	0.82	19.93	0.0	0.0	27.87	4.29	0.0	0.67	0.72	0.0	8.42
Gm4724	0.0	8.29	0.0	2.27	0.0	0.06	0.0	0.0	0.0	0.0	12.4	7.41	19.54	73.95	23.07	0.0	13.78	13.59	0.12	0.0	6.19	5.76	15.98	0.27	6.16	0.01	0.0	4.55	5.5	0.17	11.93	0.0	2.84	13.27	0.0	0.37	0.47	11.48	0.0	0.12	11.84	6.27	12.37	0.0	11.85	0.11	0.0	5.6	4.55	0.54	1.09	2.37	0.22	12.18	0.0	0.0	0.04	15.13	0.0	0.03	0.0	0.0	0.0	2.39	0.82	19.93	0.0	0.0	27.87	4.29	0.0	0.67	0.72	0.0	8.42
Ipo7	0.0	33.8	26.36	3.07	8.44	26.55	0.0	0.0	0.0	0.0	112.11	45.55	19.92	199.65	118.87	0.0	91.98	0.0	0.0	0.0	1.39	42.27	61.81	0.0	0.05	0.04	27.03	5.02	48.7	11.99	23.83	10.89	28.1	28.78	60.01	45.82	22.11	0.0	58.33	50.23	17.81	15.07	35.06	0.07	43.83	0.53	0.0	6.87	0.98	36.74	24.25	0.0	34.1	54.48	0.0	0.0	0.0	20.56	0.0	0.0	0.0	0.0	0.0	22.28	12.3	59.72	83.15	0.0	80.56	17.61	0.0	9.6	0.06	0.1	12.16
Morc3	20.58	27.83	0.0	100.33	0.0	6.86	0.0	0.0	0.0	0.0	0.0	0.0	41.51	285.85	217.93	0.07	23.08	4.97	0.0	0.0	59.38	0.17	14.99	0.03	15.25	0.03	3.01	31.79	18.85	34.43	0.64	31.17	76.89	5.28	68.63	44.57	32.51	47.81	0.0	52.99	0.0	53.48	0.0	21.05	0.0	0.0	5.99	6.34	41.91	32.96	47.64	0.04	0.52	0.06	0.0	0.0	0.12	31.37	0.0	0.06	0.0	0.0	0.0	15.85	16.14	34.15	5.1	0.0	154.76	41.58	29.57	116.1	30.36	0.14	13.96
Napb	0.0	323.05	228.62	266.82	58.21	291.98	0.0	0.0	0.0	1.75	150.45	885.47	431.73	527.66	140.57	185.36	215.42	600.81	0.0	0.0	289.83	460.05	285.15	156.45	276.11	267.54	588.12	219.59	268.09	543.54	229.52	460.94	442.3	365.51	238.75	513.5	353.15	303.35	101.36	275.38	230.32	226.58	283.98	174.78	194.62	0.0	208.84	293.71	354.83	113.28	182.37	390.72	294.7	123.6	0.0	0.0	0.4	302.37	0.12	0.07	0.14	0.0	0.0	278.65	204.44	111.42	354.44	160.39	264.99	208.69	140.58	331.97	253.2	319.35	111.31
Npy	0.0	138375.8	56190.59	173305.25	1.6	1.46	0.0	0.0	0.0	0.0	108594.8	68542.73	67463.47	14635.6	77711.12	45335.24	125016.83	34339.27	0.0	0.0	132042.44	105008.15	149629.49	134232.96	130357.56	105498.11	120987.76	122165.94	132052.33	122154.33	122963.43	126501.28	117863.77	98464.67	102118.34	130527.91	173863.58	101365.79	73168.9	126989.03	80801.23	166048.87	115420.41	191162.16	108906.97	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	110523.31	101137.64	151963.58	0.0	0.0	0.0	24726.66	0.0	0.0	0.0	0.0	0.0	145032.54	180453.32	48343.46	38762.64	128781.07	8484.11	137945.15	35571.91	32250.58	95298.15	137580.94	120620.2
