	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_1	Ctgf_tdTpositive_cell_9	Ctgf_tdTpositive_cell_10	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_13	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_24	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_30	Gad2_tdTpositive_cell_39	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_69	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_20	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_11	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTpositive_cell_78	Ntsr1_tdTnegative_cell_13	Ntsr1_tdTnegative_cell_17	Ntsr1_tdTnegative_cell_20	Ntsr1_tdTnegative_cell_21	Ntsr1_tdTnegative_cell_26	Ntsr1_tdTnegative_cell_27	Ntsr1_tdTnegative_cell_30	Ntsr1_tdTnegative_cell_56	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg2_tdTnegative_cell_15	Scnn1a.Tg2_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_18	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_49	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30	Ntsr1_tdTpos_100cell_2	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Cdk10	68.91	0.0	81.74	0.0	0.0	0.0	0.0	32.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.78	0.0	0.0	0.0	0.17	0.0	125.83	33.52	38.08	0.38	0.0	22.55	43.87	212.63	35.87	71.68	90.66	141.0	34.87	27.47	0.0	124.11	31.21	79.29	282.58	55.98	106.45	12.82	68.32	53.72	190.4	0.0	9.96	152.87	48.34	1.29	1.03	15.57	49.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.32	0.7	0.42	0.0	0.0	0.0	1.44	0.0	72.54	0.0	250.08	87.6	57.39	68.33	44.81	112.02	0.11	0.0	33.51	67.5	71.85	70.59
Clstn3	69.51	167.31	137.48	0.0	0.0	0.0	0.0	0.0	0.17	350.63	0.0	442.88	0.23	0.0	295.75	188.74	74.12	209.35	0.0	0.0	0.0	0.0	235.63	160.64	30.92	102.44	161.95	162.8	159.76	65.22	127.47	170.97	161.06	178.13	248.96	195.67	362.0	227.29	83.95	141.0	437.01	309.29	262.18	169.52	201.46	8.57	438.12	0.04	188.92	137.72	33.34	98.78	171.38	76.33	242.26	96.81	0.45	0.0	0.21	0.0	0.0	0.0	0.0	0.0	1.56	0.64	77.46	0.71	0.0	0.0	162.25	54.39	160.09	26.55	331.66	102.36	103.99	27.17	138.06	178.45	193.47	410.15	179.39	267.26	260.8	270.08
Ddx25	5.04	26.09	76.42	0.0	0.0	0.0	0.0	0.0	0.0	300.37	0.0	211.9	0.28	0.59	0.43	0.0	0.0	89.74	0.0	0.0	0.17	0.0	153.77	122.79	95.16	74.53	0.3	84.69	48.88	73.2	8.32	152.88	121.91	134.27	115.93	117.65	0.0	1.3	56.37	135.01	61.94	227.65	0.0	130.11	46.02	61.9	79.99	0.0	151.47	49.61	97.39	55.36	53.16	125.78	85.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.54	0.0	0.0	0.0	0.0	0.0	0.0	92.43	101.52	57.82	105.44	312.44	4.54	45.35	237.15	57.93	96.83	133.6	142.77	50.2	58.59	56.65	53.14
Ero1l	0.0	31.2	27.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.18	0.0	0.0	0.68	0.0	0.0	0.0	0.0	0.0	22.9	3.83	23.43	0.04	1.14	78.23	40.8	0.05	16.42	0.0	17.33	30.37	0.0	0.0	0.0	0.0	72.25	40.05	38.14	0.0	12.46	0.0	0.0	0.13	8.24	0.11	36.1	8.55	17.32	0.0	0.0	0.21	2.38	0.0	0.0	0.0	0.0	39.19	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	29.07	0.0	14.71	0.0	94.22	0.0	0.0	0.0	19.41	57.46	0.0	0.0	5.87	38.26	35.78	35.67
Fkbp2	180.87	273.51	308.73	0.0	977.87	0.0	0.0	0.0	0.0	476.03	782.89	165.12	0.0	813.88	162.35	1.07	263.65	219.09	0.0	587.78	0.0	0.0	61.54	195.74	267.53	381.52	374.17	287.77	418.16	324.22	440.79	455.67	430.7	370.12	256.03	307.39	321.43	153.95	127.55	587.95	378.94	424.77	430.0	141.85	199.31	120.92	413.34	109.55	515.3	563.32	350.12	317.79	368.5	227.78	407.62	313.59	400.73	0.0	2.84	2.16	422.7	534.98	0.0	0.0	0.0	1.26	0.0	0.0	0.0	383.2	533.01	312.91	312.4	602.47	934.87	474.06	537.57	389.23	218.4	424.55	452.72	0.0	315.95	117.68	136.55	132.8
Gdpd1	57.19	40.87	87.77	0.0	0.0	0.0	0.0	0.0	0.0	369.48	1.19	41.59	0.37	0.0	0.0	0.0	33.93	14.22	0.0	0.0	0.0	0.0	112.06	227.99	96.89	160.9	154.97	80.9	52.19	9.58	220.87	102.23	78.71	158.06	223.71	149.26	76.79	387.97	127.36	33.09	112.07	103.7	103.54	80.19	123.16	51.5	315.78	133.54	237.34	132.03	121.22	117.89	78.26	16.43	88.76	170.83	0.0	355.13	0.0	426.91	1.56	5.04	0.0	0.0	2.97	0.3	0.8	113.31	0.0	0.0	158.04	90.47	8.58	243.61	583.26	405.53	109.77	59.9	61.77	160.36	8.96	153.34	104.17	41.96	42.04	41.92
Gm14430	8.29	2.27	0.0	0.0	0.0	0.0	0.0	0.07	0.0	12.4	0.0	17.47	2.78	0.0	8.79	0.0	23.07	13.78	0.25	0.0	0.0	0.0	6.19	5.76	15.98	0.27	6.16	0.01	0.03	0.0	4.55	5.5	0.17	11.93	0.0	2.84	13.27	0.0	0.37	0.47	11.48	0.12	11.84	6.27	12.37	0.0	11.85	0.11	0.0	5.6	4.55	0.54	1.09	2.37	0.22	12.18	0.0	0.0	0.0	0.0	0.0	0.0	8.44	0.0	0.06	0.0	0.67	0.07	0.0	0.09	2.39	0.82	0.0	0.0	27.87	0.0	4.29	0.72	0.0	2.42	8.42	24.16	5.97	7.67	5.07	7.49
Gm14434	8.29	2.27	0.0	0.0	0.0	0.0	0.0	0.07	0.0	12.4	0.0	17.47	2.78	0.0	8.79	0.0	23.07	13.78	0.25	0.0	0.0	0.0	6.19	5.76	15.98	0.27	6.16	0.01	0.03	0.0	4.55	5.5	0.17	11.93	0.0	2.84	13.27	0.0	0.37	0.47	11.48	0.12	11.84	6.27	12.37	0.0	11.85	0.11	0.0	5.6	4.55	0.54	1.09	2.37	0.22	12.18	0.0	0.0	0.0	0.0	0.0	0.0	8.44	0.0	0.06	0.0	0.67	0.07	0.0	0.09	2.39	0.82	0.0	0.0	27.87	0.0	4.29	0.72	0.0	2.42	8.42	24.16	5.97	7.67	5.07	7.49
Gm3002	27.45	6.64	12.79	0.0	0.0	0.0	0.0	40.26	0.0	0.0	0.09	0.0	0.0	0.0	0.0	1.05	0.22	9.6	0.0	0.0	0.05	0.0	9.47	11.96	14.66	0.32	0.81	7.95	14.1	23.59	1.28	0.34	0.08	15.59	0.41	56.69	10.04	13.27	17.05	29.17	0.0	32.2	0.23	37.24	2.06	41.87	10.53	1.41	38.48	10.43	2.22	30.11	2.56	4.8	7.14	8.65	35.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	119.68	0.29	1.82	14.38	0.0	1.11	117.34	0.79	0.86	4.11	27.17	35.12	0.04	0.0	1.32	20.99	17.86	20.91
Gm4724	8.29	2.27	0.0	0.0	0.0	0.0	0.0	0.07	0.0	12.4	0.0	17.47	2.78	0.0	8.79	0.0	23.07	13.78	0.25	0.0	0.0	0.0	6.19	5.76	15.98	0.27	6.16	0.01	0.03	0.0	4.55	5.5	0.17	11.93	0.0	2.84	13.27	0.0	0.37	0.47	11.48	0.12	11.84	6.27	12.37	0.0	11.85	0.11	0.0	5.6	4.55	0.54	1.09	2.37	0.22	12.18	0.0	0.0	0.0	0.0	0.0	0.0	8.44	0.0	0.06	0.0	0.67	0.07	0.0	0.09	2.39	0.82	0.0	0.0	27.87	0.0	4.29	0.72	0.0	2.42	8.42	24.16	5.97	7.67	5.07	7.49
Gmppa	9.8	66.5	0.88	501.77	0.35	0.0	0.0	0.0	0.0	0.0	0.0	82.21	24.89	0.0	3.34	0.0	150.45	87.48	0.0	0.0	0.0	0.0	0.0	22.23	1.32	60.99	0.0	0.09	0.2	44.02	0.0	0.0	36.87	0.0	71.17	34.16	50.56	0.0	0.19	0.17	95.8	16.55	63.84	0.0	28.59	9.53	124.25	0.0	0.0	4.3	0.0	21.4	47.36	0.0	66.46	43.38	0.0	0.0	1.1	0.0	0.0	0.0	0.0	0.0	2.1	1.23	0.0	0.0	0.0	0.0	13.99	0.0	35.06	56.03	149.27	97.92	0.44	0.0	52.38	61.49	177.26	20.21	49.95	38.42	42.47	38.94
H1f0	20.5	0.0	17.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.76	60.27	0.0	2.56	0.0	0.0	0.0	1.1	0.0	0.0	0.0	0.33	2.05	0.48	0.38	1.03	0.0	0.0	26.66	6.08	14.92	28.69	2.9	14.46	0.36	6.75	0.28	24.47	10.49	11.34	0.13	56.32	3.26	5.54	22.94	0.0	16.79	0.0	16.77	0.37	0.0	54.35	0.0	0.0	0.0	28.69	0.0	0.0	0.0	0.0	6.77	0.0	0.19	0.0	0.0	0.16	0.0	0.0	0.0	0.0	30.42	8.53	11.4	25.23	106.42	0.0	27.25	0.0	17.99	62.19	68.09	0.0	11.02	107.13	118.43	108.08
Hs3st1	0.0	150.22	59.8	0.0	0.0	0.0	0.0	0.0	0.0	73.16	0.3	91.08	0.0	0.0	2.63	22.97	32.9	0.0	0.0	288.67	0.0	0.0	77.71	53.19	0.1	0.86	60.22	0.24	112.86	8.61	86.6	50.9	81.88	8.87	184.64	66.63	0.0	58.51	58.4	0.0	0.0	111.02	64.98	41.16	0.0	94.92	0.0	1.13	0.0	0.0	93.78	0.18	0.16	38.49	46.25	4.45	0.0	262.42	0.0	0.0	3.48	0.0	0.0	0.0	1.26	0.44	0.0	0.0	0.0	1.54	118.06	51.2	0.0	0.35	340.28	94.4	0.0	171.64	135.43	0.28	270.55	164.4	12.83	31.66	35.44	40.42
Lynx1	26.88	51.11	0.53	0.0	0.0	0.0	65.27	0.0	0.0	19.55	0.0	77.6	0.0	0.0	10.62	0.16	38.55	23.03	0.0	0.0	0.0	0.0	29.51	14.02	52.37	79.43	24.68	11.85	58.54	67.14	41.09	3.97	62.64	8.58	59.66	9.25	25.79	15.64	51.59	28.99	11.8	14.92	60.81	50.11	34.11	0.0	0.0	11.83	22.1	11.01	77.61	10.5	28.76	30.59	36.12	33.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.43	0.09	0.0	0.0	0.0	0.0	54.08	58.72	0.08	17.12	154.85	34.29	63.29	38.19	20.84	20.63	67.76	0.18	58.04	249.12	247.11	249.79
Map2k4	26.03	39.25	1.79	0.0	0.0	0.0	0.0	0.0	0.0	47.41	0.13	169.2	0.0	0.0	202.16	0.0	59.0	102.86	0.0	0.0	0.0	0.0	76.93	59.57	7.84	11.31	120.81	2.44	69.47	52.23	28.3	32.96	42.88	55.35	1.64	13.15	14.49	12.87	52.01	60.21	103.26	61.16	0.22	24.06	3.42	31.83	12.37	0.0	0.0	38.07	7.26	37.6	90.16	30.51	65.05	28.24	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	1.13	0.4	0.0	0.0	0.0	0.0	70.8	31.66	0.27	54.44	216.67	78.61	43.26	43.22	11.61	65.02	111.43	89.03	124.33	143.73	139.1	140.05
Mars	0.44	0.0	0.09	0.0	0.0	0.0	0.0	3.9	0.0	19.49	0.0	2.07	0.16	0.0	60.32	0.0	50.67	16.13	0.0	0.0	193.19	0.13	38.05	31.53	0.03	0.04	0.51	0.14	5.67	22.54	0.0	2.32	0.09	0.13	91.22	38.61	3.34	0.0	54.41	0.0	60.45	51.41	107.46	0.0	0.08	0.0	3.28	0.0	0.0	0.0	43.44	35.72	0.0	0.05	44.58	65.5	0.0	308.99	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.22	174.88	77.85	21.52	4.57	1.03	53.33	37.25	0.0	8.15	45.0	48.96	47.5
Metap1	42.26	1.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.15	0.0	0.0	0.0	0.0	48.09	0.14	56.03	0.09	67.93	0.0	137.76	34.14	7.67	22.04	38.44	52.43	0.0	18.26	57.74	77.16	0.77	18.65	0.0	0.92	55.65	3.42	3.77	0.0	0.0	0.0	0.0	54.5	0.0	29.51	0.22	133.97	0.0	3.3	0.0	0.0	0.0	0.5	0.0	0.0	6.43	0.0	0.41	1.16	0.0	0.0	0.0	0.0	54.37	6.11	0.0	0.0	158.52	101.46	24.93	0.0	3.46	0.92	4.9	53.57	33.26	42.45	39.31	39.08
Mtmr4	5.45	2.62	2.82	0.0	0.0	0.0	0.0	0.0	0.0	5.2	0.0	94.07	0.0	0.0	0.0	0.0	27.23	0.0	0.0	0.0	0.0	0.0	2.84	3.95	2.06	13.16	27.32	0.0	0.11	1.14	12.94	40.82	17.33	46.44	28.08	21.8	0.28	0.0	6.75	36.43	37.01	57.75	31.26	15.69	7.29	0.04	0.3	10.91	0.0	3.37	3.19	7.26	9.41	1.01	0.12	3.51	0.0	0.0	0.14	0.0	2.51	0.0	0.0	0.93	1.28	21.86	0.0	0.0	0.0	0.0	0.0	19.44	8.15	0.0	82.82	25.82	3.03	0.03	3.48	7.69	17.04	2.95	12.08	49.23	46.49	45.86
Myo5a	35.64	30.08	2.38	0.0	0.0	0.0	0.0	0.0	0.14	14.93	0.0	34.88	0.07	0.2	63.29	73.3	1.07	102.21	0.06	0.0	0.05	0.0	52.87	44.63	25.4	35.86	21.62	28.42	60.22	54.03	32.52	54.57	52.86	47.22	22.65	24.4	76.78	2.61	48.61	68.03	36.13	21.17	39.84	31.28	21.98	55.57	25.91	10.62	16.42	39.4	13.69	55.24	40.3	55.19	75.41	25.49	69.43	0.0	0.0	0.81	0.0	0.0	0.03	0.32	0.97	0.5	3.43	0.07	0.0	0.0	28.84	32.72	31.42	26.91	255.63	77.43	6.22	10.86	54.67	83.45	10.79	36.62	36.0	147.23	132.38	154.8
Ndfip1	83.35	121.77	93.81	0.0	0.0	0.0	0.0	0.0	0.0	127.83	0.0	220.45	0.51	0.0	333.95	19.53	21.75	121.05	0.0	0.0	0.0	43.81	115.37	45.73	31.06	74.29	10.92	34.01	125.85	175.62	43.5	114.77	100.58	70.79	72.99	11.77	35.81	35.24	44.5	275.59	120.05	93.13	21.17	47.82	20.31	67.32	58.43	84.34	98.45	217.03	98.99	65.07	24.97	66.32	84.25	53.05	0.0	0.0	0.0	1.4	0.0	0.0	0.0	0.0	1.17	0.41	0.0	2.4	0.0	0.0	103.05	102.16	115.7	64.25	209.35	108.37	113.97	190.27	83.58	97.14	111.9	226.17	32.56	891.63	937.06	917.68
Npy	138375.8	173305.25	115124.65	0.0	0.0	0.0	0.0	0.0	0.0	108594.8	1.97	96206.73	10.18	0.0	82245.2	65548.38	77711.12	125016.83	0.0	0.0	0.56	0.0	132042.44	105008.15	149629.49	134232.96	130357.56	105498.11	116117.28	120987.76	122165.94	132052.33	122154.33	122963.43	126501.28	117863.77	98464.67	102118.34	130527.91	173863.58	101365.79	126989.03	80801.23	166048.87	115420.41	191162.16	108906.97	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	110523.31	101137.64	151963.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.14	0.0	8.66	0.0	0.0	145032.54	180453.32	92572.95	128781.07	8484.11	7487.26	137945.15	95298.15	137580.94	65503.76	120620.2	68416.93	0.0	214.21	196.57	200.76
