	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_6	Cux2_tdTnegative_cell_13	Cux2_tdTnegative_cell_15	Gad2_tdTpositive_cell_16	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_16	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_11	Ntsr1_tdTnegative_cell_20	Ntsr1_tdTnegative_cell_26	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_10	Scnn1a.Tg2_tdTnegative_cell_15	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_17	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_96	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30
Gm2506	0.0	0.0	0.0	8.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.32	0.0	0.0	17.1	0.0	0.0	0.0	0.0	3.39	1.46	0.3	0.03	0.0	1.74	0.0	0.0	0.0	7.16	0.58	0.0	0.0	5.37	0.27	0.0	1.98	0.0	0.0	4.8	2.47	0.77	0.0	0.0	3.46	0.29	0.0	2.79	1.65	1.9	0.13	2.24	8.48	4.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.89	1.61	0.0	0.0	7.83	3.13	4.62	1.88	0.0
Gm4724	0.0	8.29	2.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.4	17.47	8.79	23.07	13.78	0.0	0.0	0.12	0.03	0.0	6.19	5.76	15.98	0.27	6.16	0.01	0.03	0.0	4.55	5.5	0.17	11.93	0.0	2.84	13.27	0.0	0.37	0.47	11.48	0.12	6.27	12.37	0.0	11.85	0.11	0.0	5.6	4.55	0.54	1.09	2.37	0.22	12.18	0.0	0.0	0.0	0.0	0.0	0.67	0.41	0.0	2.39	0.82	0.0	4.29	0.72	0.0	2.42	18.35	8.42	24.16
Got1	0.0	257.34	500.33	341.34	0.0	0.0	0.0	0.0	0.23	89.47	1141.89	903.15	1354.23	1173.04	796.62	0.0	0.0	0.0	0.0	847.74	521.57	597.24	666.85	551.87	471.8	655.6	500.9	548.8	507.33	601.18	439.18	738.9	401.94	319.46	598.1	404.4	499.58	379.25	1004.55	684.16	598.71	521.38	648.38	915.48	535.24	207.0	343.27	241.52	503.74	258.0	582.96	811.16	560.8	0.4	1.85	0.0	0.0	0.0	0.97	357.27	0.57	440.78	336.31	510.2	406.16	551.24	881.35	780.4	725.58	795.88	807.54
Mpp2	0.0	7.0	0.17	17.95	0.0	0.0	0.0	0.0	0.0	0.0	0.18	15.07	90.61	0.0	0.0	0.0	0.0	0.0	0.0	37.8	0.12	0.0	3.19	0.0	0.04	0.43	1.79	0.03	7.85	49.18	36.76	30.25	13.78	0.07	18.69	50.6	11.69	0.0	54.09	3.91	21.08	0.0	0.0	48.43	0.0	0.0	12.46	9.04	3.27	0.0	21.39	24.99	6.05	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.35	0.06	39.15	29.05	13.37	17.91	0.34	0.11	0.04	66.44
Npy	0.0	138375.8	173305.25	115124.65	0.0	0.0	0.0	0.0	0.0	0.0	108594.8	96206.73	82245.2	77711.12	125016.83	0.0	0.0	0.0	0.0	80627.8	132042.44	105008.15	149629.49	134232.96	130357.56	105498.11	116117.28	120987.76	122165.94	132052.33	122154.33	122963.43	126501.28	117863.77	98464.67	102118.34	130527.91	173863.58	101365.79	126989.03	166048.87	115420.41	191162.16	108906.97	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	110523.31	101137.64	151963.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	145032.54	180453.32	128781.07	137945.15	95298.15	137580.94	65503.76	65353.97	120620.2	68416.93
Nsg2	0.0	133.93	37.4	99.2	0.0	0.0	0.0	0.0	0.0	0.0	53.41	357.05	621.99	152.03	99.77	0.0	0.0	0.0	0.0	128.59	59.89	59.05	55.02	29.19	57.32	99.2	21.33	152.74	106.94	70.39	48.88	119.08	100.14	130.04	107.07	22.86	40.46	119.59	189.07	82.49	105.09	24.17	59.0	167.7	44.37	74.77	18.78	58.63	39.14	105.28	54.2	84.78	70.31	0.0	1.13	0.0	0.61	0.0	0.0	0.0	0.0	160.8	99.83	110.13	72.68	67.1	137.5	219.31	132.01	61.69	233.46
Pebp1	0.0	649.21	415.03	804.69	0.0	0.0	0.0	0.0	0.0	59.01	1128.5	1570.26	825.65	1211.57	957.52	0.0	0.0	0.0	0.0	819.79	764.49	761.78	629.48	396.2	463.6	541.02	335.26	635.25	756.32	975.83	448.65	869.36	793.9	473.39	667.22	853.42	575.09	665.86	1055.76	528.02	821.18	568.66	440.21	1089.52	14.34	580.55	650.89	524.06	325.11	581.83	552.59	656.52	716.61	0.0	8.78	0.0	1.18	0.0	0.58	0.53	221.62	654.43	639.35	693.36	943.44	1066.47	769.15	328.98	1320.48	761.56	1435.53
Pigyl	13.9	0.0	46.08	50.95	0.0	0.0	0.0	0.0	0.0	0.0	111.49	153.72	0.0	246.84	72.36	0.0	0.0	0.0	0.0	166.69	56.0	26.07	104.43	135.22	75.74	48.69	66.4	13.7	26.84	56.5	53.21	84.48	107.62	130.91	72.99	0.0	0.0	85.02	49.85	23.53	114.4	35.27	125.34	75.0	0.0	102.04	72.9	0.0	25.3	10.99	0.0	92.58	88.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.86	63.32	77.81	34.07	241.77	30.08	148.64	153.82	69.84	120.94
Rab3a	0.0	125.32	203.31	352.77	0.0	0.0	0.0	0.0	0.0	0.0	167.16	878.75	1386.25	355.66	283.96	0.0	0.0	0.0	0.0	213.84	296.03	267.67	72.42	202.87	240.62	160.74	217.99	128.36	425.92	142.12	471.84	484.93	593.28	269.64	152.36	144.17	110.88	232.98	268.52	210.0	102.44	115.19	151.7	376.82	195.59	85.51	297.25	131.87	113.91	41.47	77.81	90.2	115.22	0.0	3.55	0.0	0.0	0.0	0.93	0.0	0.0	210.88	102.26	493.75	216.1	138.39	10.5	188.58	186.53	265.02	204.54
Rab3c	0.22	77.38	55.7	37.01	0.18	0.0	0.0	0.61	0.14	0.33	355.7	525.52	527.23	447.36	595.22	0.13	0.0	0.98	0.32	511.91	42.83	83.49	101.54	80.99	84.53	31.27	64.12	81.23	112.28	52.03	116.7	66.76	189.67	94.52	98.6	51.22	67.84	9.66	380.52	44.15	74.34	31.74	81.08	637.91	11.18	40.13	96.47	86.32	60.33	51.83	65.5	66.49	25.05	0.7	0.0	0.67	0.17	0.17	0.41	0.0	0.94	108.57	13.59	63.86	51.49	124.77	62.1	165.43	221.37	47.48	75.75
Rab6a	0.0	77.83	103.17	39.23	0.0	12.77	0.0	0.0	0.0	0.0	180.6	959.14	940.15	200.39	279.1	0.0	0.14	0.0	0.0	108.53	58.41	119.59	52.89	8.86	139.6	180.09	90.02	88.25	58.98	41.82	73.1	57.38	107.39	56.62	38.74	71.58	49.45	104.85	303.55	143.18	43.83	11.08	113.94	220.06	153.83	7.67	50.29	143.23	37.97	79.93	39.25	77.62	97.49	0.0	0.0	0.18	0.0	0.0	0.21	0.0	0.0	32.7	83.7	98.39	110.92	170.28	143.87	116.83	121.62	232.04	243.21
Resp18	0.0	5145.42	5520.38	5057.86	0.0	0.0	0.0	0.0	0.0	0.0	5861.19	3235.91	1618.36	5680.08	2756.66	0.0	0.0	0.0	0.0	5175.42	4981.18	5224.82	5743.12	6090.92	4828.97	5295.29	3509.82	4632.34	5139.06	4752.03	5505.12	4047.42	5058.48	4028.23	5201.67	5618.11	2112.62	4484.19	3473.58	5023.98	4875.67	5290.13	5888.43	6909.12	6063.5	4829.2	5368.9	4409.71	4714.74	5911.54	4950.64	4804.92	4693.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5061.58	6263.5	5188.35	4701.42	7066.96	6116.77	2960.49	4802.64	6744.05	5128.5
Serpini1	0.0	222.34	629.5	254.56	0.0	0.0	0.0	0.0	0.0	0.0	4086.25	2699.99	2951.0	2693.55	2916.33	0.0	0.0	0.0	0.0	1252.03	384.73	588.5	252.01	369.76	544.88	543.58	573.38	256.83	585.17	535.66	383.25	404.61	193.37	184.55	532.33	161.67	347.99	252.13	2673.75	255.77	110.73	177.45	252.39	2488.97	187.07	238.75	242.73	92.17	148.81	47.2	278.02	414.64	313.39	0.0	119.94	0.0	0.22	0.0	0.0	0.0	0.0	353.54	185.86	453.04	215.79	419.53	300.61	1354.53	723.49	379.06	2271.21
Snord116	0.0	0.0	6.02	14.63	0.0	0.0	0.0	0.0	0.0	0.0	8.56	0.0	6.5	15.42	0.0	0.0	0.0	0.0	0.0	0.0	3.94	3.3	1.42	3.17	8.88	14.34	12.85	2.97	4.45	14.05	2.5	7.02	3.68	2.82	2.94	11.3	0.0	7.38	5.66	0.0	6.1	0.0	4.03	15.73	6.45	11.58	11.77	2.54	2.69	9.96	4.31	2.13	2.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	7.66	12.13	1.71	14.21	8.48	0.0	5.74	6.22
Snord116l1	0.0	0.0	6.02	14.63	0.0	0.0	0.0	0.0	0.0	0.0	8.56	0.0	6.5	15.42	0.0	0.0	0.0	0.0	0.0	0.0	3.94	3.3	1.42	3.17	8.88	14.34	12.85	2.97	4.45	14.05	2.5	7.02	3.68	2.82	2.94	11.3	0.0	7.38	5.66	0.0	6.1	0.0	4.03	15.73	6.45	11.58	11.77	2.54	2.69	9.96	4.31	2.13	2.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	7.66	12.13	1.71	14.21	8.48	0.0	5.74	6.22
Snord116l2	0.0	0.0	6.02	14.63	0.0	0.0	0.0	0.0	0.0	0.0	8.56	0.0	6.5	15.42	0.0	0.0	0.0	0.0	0.0	0.0	3.94	3.3	1.42	3.17	8.88	14.34	12.85	2.97	4.45	14.05	2.5	7.02	3.68	2.82	2.94	11.3	0.0	7.38	5.66	0.0	6.1	0.0	4.03	15.73	6.45	11.58	11.77	2.54	2.69	9.96	4.31	2.13	2.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	7.66	12.13	1.71	14.21	8.48	0.0	5.74	6.22
Spock3	0.0	174.97	103.65	43.67	0.0	0.0	0.0	0.0	0.0	0.0	431.51	295.72	615.39	261.62	301.01	0.0	0.0	0.0	0.0	377.17	111.65	223.05	276.76	176.63	66.46	87.75	86.61	490.28	341.41	66.71	124.0	101.73	224.17	303.04	331.96	110.78	86.11	153.1	159.16	61.71	62.47	152.81	97.03	408.63	0.0	7.58	213.83	173.43	54.13	194.73	119.45	192.32	35.96	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	231.21	28.31	87.46	84.25	220.79	164.02	353.26	575.67	54.01	319.61
Syp	0.0	394.35	504.38	268.08	0.0	0.0	0.0	0.0	0.0	0.0	574.21	716.93	883.97	154.37	203.67	0.0	0.0	0.0	0.0	236.75	279.48	482.78	423.29	233.55	357.64	211.39	259.95	366.53	273.06	353.18	358.08	361.65	299.35	283.21	364.19	241.18	346.52	433.22	405.97	253.8	220.61	359.99	235.57	591.06	84.63	228.54	303.58	221.95	112.69	235.16	370.15	333.51	169.14	6.28	3.05	3.12	0.0	0.0	1.07	0.0	0.0	237.3	348.86	274.52	209.77	281.12	259.66	421.2	402.56	368.79	672.52
Syt1	0.0	875.24	654.41	399.55	0.0	0.0	7.1	0.0	0.0	0.0	452.05	1020.63	871.19	979.99	630.22	0.03	0.0	0.0	0.0	599.96	759.38	590.98	647.51	651.97	532.79	496.46	463.82	652.79	621.04	607.09	563.51	636.11	417.57	551.28	527.41	349.07	327.05	423.53	539.7	544.46	488.54	601.27	328.78	633.07	272.39	403.12	486.59	542.74	685.36	221.98	487.06	404.66	206.98	0.0	1.58	0.0	0.0	0.0	0.83	0.0	0.0	284.6	434.79	699.53	689.79	743.33	574.5	622.07	461.07	743.79	1014.33
Tceal5	0.0	33.74	48.45	30.35	0.0	0.0	0.0	0.0	0.0	0.0	82.04	200.26	61.41	173.67	64.25	0.0	0.0	0.0	0.0	17.65	30.04	73.77	60.43	66.8	58.29	31.82	33.68	63.78	99.33	16.58	29.92	19.2	45.98	3.83	32.28	53.19	38.19	5.5	122.23	0.0	0.0	3.67	0.0	95.23	12.52	0.0	37.2	15.13	12.7	0.37	6.21	66.12	29.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.48	28.17	53.09	54.89	40.12	29.24	35.95	50.65	69.57	18.75
Trappc3	0.0	121.83	158.68	107.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	143.05	10.52	384.12	41.12	0.0	0.0	0.0	0.0	100.11	142.36	73.42	38.82	70.92	212.68	0.22	24.58	103.13	168.04	3.54	103.98	0.0	65.82	171.88	190.72	0.88	136.79	1.83	75.51	145.05	38.51	39.01	63.16	2.32	0.0	0.0	0.0	38.14	47.98	4.02	137.92	85.91	83.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.25	102.44	125.0	40.44	230.54	0.25	3.81	152.8	108.21	145.31
Tuba4a	60.62	459.11	473.36	338.25	0.0	0.0	0.65	0.0	0.0	0.0	604.61	716.05	202.75	248.2	231.21	0.0	0.0	0.0	0.0	371.36	714.07	662.3	513.85	221.55	551.93	628.48	305.31	430.64	456.05	758.1	393.75	404.52	470.57	329.96	216.76	314.1	695.41	431.97	794.52	810.98	533.3	759.94	743.89	910.89	267.2	544.71	509.82	499.6	698.71	291.38	352.1	430.17	572.08	0.0	3.09	0.0	0.67	0.0	1.95	0.0	0.0	395.56	339.58	418.86	546.94	513.36	597.35	286.42	414.94	920.22	169.72
Uba1	0.0	106.58	138.98	43.8	0.2	35.04	0.0	0.0	0.0	0.0	25.93	107.99	2.62	184.47	185.66	2.88	1.6	0.3	0.0	77.48	57.41	182.06	52.8	420.43	156.66	72.96	71.1	171.02	99.79	164.8	61.26	164.49	114.17	121.4	138.32	107.1	62.34	201.68	70.67	131.22	60.53	28.86	91.42	272.25	80.11	138.38	53.27	93.49	145.01	67.73	86.57	155.78	165.38	0.0	0.71	0.0	0.0	0.84	0.0	0.0	0.33	83.86	52.44	104.12	76.58	65.73	104.89	82.21	112.98	94.81	78.29
