	Calb2_tdTpositive_cell_9	Calb2_tdTpositive_cell_39	Chrna2_tdTpositive_cell_24	Chrna2_tdTpositive_cell_51	Cux2_tdTpositive_cell_74	Cux2_tdTpositive_cell_96	Cux2_tdTpositive_cell_103	Cux2_tdTpositive_cell_111	Cux2_tdTnegative_cell_16	Htr3a_tdTpositive_cell_65	Nr5a1_tdTpositive_cell_30	Nr5a1_tdTpositive_cell_34	Nr5a1_tdTpositive_cell_37	Ntsr1_tdTpositive_cell_3	Ntsr1_tdTpositive_cell_17	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_21	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_28	Ntsr1_tdTpositive_cell_31	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_34	Ntsr1_tdTpositive_cell_36	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_48	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_75	Rbp4_tdTpositive_cell_21	Rbp4_tdTpositive_cell_36	Rbp4_tdTpositive_cell_39	Rbp4_tdTpositive_cell_42	Rbp4_tdTpositive_cell_45	Rbp4_tdTpositive_cell_52	Rbp4_tdTpositive_cell_55	Rbp4_tdTpositive_cell_57	Rbp4_tdTpositive_cell_73	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_77	Rbp4_tdTpositive_cell_87	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_97	Rbp4_tdTpositive_cell_101	Rbp4_tdTpositive_cell_109	Rbp4_tdTpositive_cell_110	Rbp4_tdTpositive_cell_119	Rbp4_tdTpositive_cell_128	Rbp4_tdTpositive_cell_129	Rbp4_tdTpositive_cell_131	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_179	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_181	Rbp4_tdTpositive_cell_183	Rbp4_tdTpositive_cell_184	Rbp4_tdTpositive_cell_187	Rbp4_tdTpositive_cell_188	Rorb_tdTpositive_cell_51	Scnn1a.Tg2_tdTpositive_cell_4	Scnn1a.Tg3_tdTpositive_cell_48	Scnn1a.Tg3_tdTpositive_cell_70	Scnn1a.Tg3_tdTpositive_cell_103	Scnn1a.Tg3_tdTpositive_cell_105	Scnn1a.Tg3_tdTpositive_cell_110	Slc17a6_tdTpositive_cell_31	Sst_tdTpositive_cell_107	Tac2_tdTpositive_cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_2	CAV_LP_Ipsi_tdTpos_cell_3	CAV_LP_Ipsi_tdTpos_cell_7	CAV_LP_Ipsi_tdTpos_cell_9	CAV_LP_Ipsi_tdTpos_cell_10	CAV_LP_Ipsi_tdTpos_cell_13	CAV_LP_Ipsi_tdTpos_cell_14	CAV_LP_Ipsi_tdTpos_cell_17	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_29	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_32	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Ctxn1	460.26	197.88	8.41	42.59	268.72	397.53	333.22	282.37	7.75	198.93	29.01	203.82	108.37	420.96	87.76	308.1	248.06	86.01	15.9	500.51	202.94	242.44	60.52	257.51	8.28	178.02	657.94	229.67	111.37	254.22	487.78	0.66	142.49	152.42	157.44	108.54	271.12	230.06	139.42	116.22	261.14	328.51	151.93	311.86	314.08	147.61	184.98	238.21	218.02	166.63	168.27	134.41	223.6	309.34	193.17	248.33	201.58	225.48	274.79	302.92	317.88	163.74	201.33	244.88	0.0	492.36	184.32	894.58	193.22	0.0	156.68	175.53	258.53	102.06	74.32	253.11	253.46	12.71	182.49	190.18	380.05	30.48	392.59	476.29	309.6	144.81	140.43	25.22	20.36	331.74	183.73	166.46	114.08	107.31	179.98	58.93	635.52	680.06	633.26
D6Wsu116e	0.0	0.0	0.0	0.05	0.0	0.17	27.21	38.33	0.0	0.0	0.0	0.14	43.05	63.94	25.5	0.08	15.14	48.91	0.0	54.59	0.79	13.51	16.69	23.41	0.06	7.52	2.14	49.0	23.84	1.94	7.74	40.83	0.0	76.73	3.49	0.47	9.48	0.0	48.6	0.0	65.73	33.61	0.0	10.73	7.68	20.27	0.0	10.96	0.0	32.81	27.15	8.44	5.38	17.64	0.08	0.0	0.13	20.39	8.1	0.53	0.07	1.04	22.53	0.0	0.35	0.0	0.03	138.17	0.0	0.0	20.84	16.26	20.84	22.68	17.7	14.07	20.21	0.07	1.78	0.08	33.88	54.54	110.44	31.94	48.73	8.53	0.07	0.0	3.05	60.93	0.0	34.12	9.92	0.11	0.0	33.34	69.44	67.4	72.05
Dot1l	0.34	14.86	0.0	0.0	0.0	20.99	11.72	9.58	0.0	0.0	0.0	8.36	5.99	0.0	0.0	0.0	3.63	0.0	0.0	10.6	0.0	0.0	0.0	0.0	17.77	1.12	0.0	0.42	1.99	16.73	3.6	13.82	12.85	6.02	1.97	1.5	10.11	0.72	0.0	1.31	0.0	14.58	0.0	0.38	0.0	25.87	12.93	5.79	7.14	3.72	19.64	4.42	1.25	4.95	0.0	30.36	0.12	12.14	2.89	0.4	0.04	0.0	4.24	70.48	0.0	0.18	0.98	62.48	0.0	0.0	0.09	13.67	3.96	1.7	1.24	2.0	2.11	0.0	5.3	17.2	4.1	0.12	11.94	0.94	0.94	0.0	0.0	0.0	0.0	6.71	1.65	2.36	0.0	11.39	0.0	0.0	35.6	34.04	39.93
Ehbp1l1	2.88	4.41	2.34	8.72	2.85	0.5	1.65	3.71	8.61	3.22	0.8	4.96	3.73	2.11	56.36	1.1	8.66	0.88	6.58	34.07	0.71	4.2	2.35	2.08	44.76	37.97	4.53	48.0	71.98	15.69	3.82	49.66	4.99	2.96	6.68	4.62	1.96	8.83	6.43	2.52	4.4	1.99	0.1	17.77	0.52	9.5	54.9	2.99	3.25	28.52	3.22	25.32	4.93	14.74	3.07	6.25	4.06	2.68	9.06	9.51	1.56	3.73	8.44	2.02	2.31	11.67	6.22	77.05	1.61	0.97	5.12	10.45	10.14	7.61	4.77	4.55	5.98	38.85	3.79	2.32	0.8	4.06	4.07	3.98	3.67	0.63	7.51	3.67	0.84	3.19	2.52	1.25	0.34	4.38	2.75	2.42	16.25	17.76	17.77
Elavl3	11.93	0.0	2.4	3.18	43.32	43.43	0.2	1.41	23.66	0.09	0.0	3.41	1.8	131.24	37.82	1.01	23.46	82.75	0.88	11.68	1.95	33.11	1.67	42.82	54.89	69.64	69.84	57.56	66.97	66.02	12.98	61.16	23.95	49.43	36.98	35.95	13.6	9.61	25.42	13.01	7.46	25.93	0.0	15.76	73.84	19.36	36.18	25.87	40.41	39.69	36.28	5.62	3.84	19.43	0.0	35.19	6.95	14.0	26.59	0.99	1.66	27.59	1.74	0.0	10.81	2.76	6.13	202.45	26.84	27.73	6.96	27.75	19.15	20.16	36.84	44.88	55.49	14.99	7.58	30.04	73.55	0.41	40.58	18.89	20.26	1.53	99.83	0.33	0.61	8.79	10.48	0.06	11.39	23.72	74.17	23.95	107.03	102.66	114.29
Galk2	0.0	0.0	0.0	52.91	1.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.88	9.4	0.0	59.81	0.0	0.0	0.0	0.0	82.05	64.06	84.65	33.11	67.94	0.0	0.14	0.13	8.09	0.0	11.85	0.0	0.0	30.33	0.0	0.13	0.0	0.0	2.81	0.0	0.0	0.0	33.21	0.0	0.0	82.02	105.52	61.9	91.24	0.14	27.41	1.01	12.15	0.0	0.0	1.28	70.86	63.42	78.4	0.04	1.41	0.0	16.99	0.0	0.0	0.0	334.76	0.0	0.16	0.0	57.16	30.65	35.75	24.91	38.44	36.03	0.0	0.0	0.0	40.82	0.0	208.27	48.53	0.12	0.0	74.84	0.0	17.88	106.57	0.18	0.24	0.0	0.56	169.0	0.0	18.33	19.61	19.71
Gfpt1	0.18	0.17	0.91	15.45	0.37	15.88	14.43	0.09	0.16	0.0	0.0	0.1	8.47	0.0	0.15	0.06	11.62	0.0	0.06	66.16	7.98	0.0	1.75	0.34	0.67	0.09	0.07	16.35	0.05	62.84	2.14	0.13	7.31	0.09	9.67	1.17	0.04	5.15	0.06	20.63	0.0	41.43	0.0	25.44	0.0	35.88	0.07	5.44	0.5	1.16	0.06	1.11	1.54	3.77	0.18	10.81	0.38	9.49	26.41	0.25	10.65	4.13	10.88	31.48	0.0	1.44	0.06	53.74	4.07	0.13	0.25	3.32	9.2	1.63	7.82	9.09	5.82	7.59	1.05	22.13	7.11	0.0	35.53	0.23	7.43	0.0	0.0	3.67	0.85	25.8	0.07	0.0	0.0	22.6	0.0	5.05	34.41	32.86	34.21
Gm2002	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.32	0.0	0.0	0.37	0.0	0.23	0.15	0.18	0.0	0.6	0.2	0.14	0.1	0.22	0.2	0.08	0.43	4.1	0.11	3.08	0.4	21.65	0.0	0.0	1.02	0.0	0.0	0.66	0.08	0.0	0.0	0.0	0.0	0.08	0.0	0.07	0.0	0.12	0.0	0.0	1.02	2.91	0.19	0.0	0.0	0.0	1.5	0.12	0.24	0.08	1.12	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.22	0.03	29.68	0.0	0.0	0.08	2.82	2.35	0.96	1.27	4.28	1.89	2.41	0.07	0.0	0.06	0.0	0.0	0.37	4.74	0.13	0.17	27.58	0.0	0.0	0.0	0.36	0.28	0.37	0.0	0.2	1.73	1.86	1.4
Il11ra2	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.32	0.0	0.0	0.37	0.0	0.23	0.15	0.18	0.0	0.6	0.2	0.14	0.1	0.22	0.2	0.08	0.43	4.1	0.11	3.08	0.4	21.65	0.0	0.0	1.02	0.0	0.0	0.66	0.08	0.0	0.0	0.0	0.0	0.08	0.0	0.07	0.0	0.12	0.0	0.0	1.02	2.91	0.19	0.0	0.0	0.0	1.5	0.12	0.24	0.08	1.12	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.22	0.03	29.68	0.0	0.0	0.08	2.82	2.35	0.96	1.27	4.28	1.89	2.41	0.07	0.0	0.06	0.0	0.0	0.37	4.74	0.13	0.17	27.58	0.0	0.0	0.0	0.36	0.28	0.37	0.0	0.2	1.73	1.86	1.4
Kat2a	0.0	81.02	0.0	0.0	0.0	0.0	5.44	0.0	0.0	0.0	0.0	0.0	18.82	54.3	0.0	0.0	6.53	0.0	0.0	0.0	0.0	1.13	0.04	0.0	52.0	0.09	0.14	0.0	41.09	0.46	0.0	0.0	0.0	0.0	7.65	0.0	33.73	0.0	32.03	0.0	0.0	26.83	0.0	0.11	0.0	0.0	17.83	0.25	22.61	0.0	0.0	0.0	1.94	8.23	0.0	1.3	0.14	29.03	74.23	4.49	1.36	19.46	37.04	0.0	0.0	0.0	0.0	228.89	47.13	0.0	0.0	11.59	2.36	6.66	7.92	12.18	11.14	19.46	0.0	0.21	0.0	0.0	5.08	0.93	10.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.34	0.0	19.04	57.33	61.26	58.57
Klc2	1.15	14.38	0.0	0.28	0.26	0.0	0.0	0.78	0.0	0.0	0.0	16.96	1.75	6.32	0.21	0.0	0.0	0.0	1.33	1.03	19.78	0.36	3.82	0.0	17.25	14.6	8.19	0.0	0.11	36.1	0.0	0.39	0.0	0.11	5.11	0.95	37.64	12.0	0.29	0.0	1.54	7.87	0.24	0.0	15.21	14.2	0.75	1.78	0.42	0.0	0.0	14.94	3.5	9.94	4.14	0.0	0.09	3.17	0.96	0.07	0.07	0.32	5.31	0.15	0.0	0.33	4.72	8.22	1.89	0.0	0.17	6.18	15.18	10.07	4.74	4.55	6.43	0.85	8.12	5.64	13.99	28.92	0.0	9.48	2.84	0.48	2.59	0.0	0.0	0.0	0.0	0.0	0.16	1.24	0.0	0.0	196.16	207.95	205.42
Mtmr3	0.0	37.7	0.0	0.0	51.51	0.0	0.0	30.38	0.0	1.3	0.0	0.0	19.81	0.0	0.0	0.31	0.0	1.95	9.85	0.0	0.0	0.33	0.02	0.05	0.0	0.8	39.78	0.06	0.0	5.98	0.0	0.0	8.38	19.17	14.84	17.69	3.78	0.29	7.59	25.85	1.97	1.22	1.64	17.71	0.0	0.0	24.36	0.63	1.1	0.34	0.06	8.52	1.18	6.59	0.0	11.18	50.2	0.55	4.41	0.11	6.86	35.9	0.84	0.0	0.13	0.0	7.58	91.3	0.0	0.07	23.27	4.86	5.85	5.58	8.01	6.12	4.48	0.62	0.06	19.54	1.68	0.0	41.32	0.0	0.0	0.15	0.0	0.0	0.0	0.0	53.31	0.0	0.0	2.85	0.0	0.0	48.33	49.45	50.51
Nptn	620.57	343.19	200.54	332.31	542.18	597.53	469.58	503.41	84.76	253.06	329.21	370.28	417.13	452.85	169.09	661.01	399.12	984.3	151.51	1258.9	546.2	336.94	349.76	379.53	446.19	289.1	1110.21	392.48	254.77	1186.57	109.16	167.26	371.59	273.13	246.84	233.06	425.16	340.28	316.79	270.71	479.95	441.41	281.38	408.69	460.35	364.62	398.79	215.02	487.89	292.58	379.16	401.77	414.86	443.22	325.32	534.65	517.43	604.3	459.77	413.37	491.41	302.09	505.54	288.43	87.32	719.75	438.21	1798.94	518.62	322.01	402.81	429.09	486.49	489.41	427.94	392.08	433.14	186.63	464.55	388.53	369.74	374.41	446.92	381.24	282.77	330.12	455.92	785.0	247.1	627.94	396.98	363.14	424.29	145.9	577.7	409.15	672.66	660.92	623.27
Pik3c3	0.0	80.52	31.72	86.28	0.0	101.76	0.0	131.73	0.0	0.0	28.09	0.0	0.03	103.85	0.0	0.0	95.01	0.0	0.0	200.52	56.72	71.66	29.72	58.92	199.54	13.68	67.12	0.22	34.73	13.27	1.13	0.13	0.0	0.0	50.98	0.0	127.65	32.72	0.0	0.0	35.33	0.45	0.0	1.34	0.0	67.66	118.22	40.01	119.26	45.47	11.48	112.45	2.45	25.56	2.3	0.36	0.41	93.03	104.73	19.97	10.0	44.84	0.0	0.0	0.48	299.76	32.15	384.48	108.17	0.0	61.78	70.45	69.06	21.92	86.52	71.71	79.28	58.21	39.46	0.11	22.32	4.61	257.13	38.91	0.89	51.96	0.09	0.0	0.0	0.1	0.0	0.0	29.03	96.92	185.89	46.91	45.48	42.88	42.68
