	Calb2_tdTpositive_cell_1	Calb2_tdTpositive_cell_24	Calb2_tdTpositive_cell_26	Calb2_tdTpositive_cell_29	Calb2_tdTpositive_cell_35	Calb2_tdTpositive_cell_38	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_43	Calb2_tdTpositive_cell_52	Calb2_tdTpositive_cell_54	Calb2_tdTpositive_cell_55	Calb2_tdTpositive_cell_60	Chrna2_tdTpositive_cell_71	Cux2_tdTnegative_cell_6	Gad2_tdTpositive_cell_10	Gad2_tdTpositive_cell_34	Gad2_tdTpositive_cell_35	Gad2_tdTpositive_cell_38	Gad2_tdTpositive_cell_60	Gad2_tdTpositive_cell_79	Gad2_tdTpositive_cell_80	Htr3a_tdTpositive_cell_3	Htr3a_tdTpositive_cell_6	Htr3a_tdTpositive_cell_14	Htr3a_tdTpositive_cell_21	Htr3a_tdTpositive_cell_27	Htr3a_tdTpositive_cell_29	Htr3a_tdTpositive_cell_34	Htr3a_tdTpositive_cell_36	Htr3a_tdTpositive_cell_41	Htr3a_tdTpositive_cell_45	Htr3a_tdTpositive_cell_47	Htr3a_tdTpositive_cell_48	Htr3a_tdTpositive_cell_54	Htr3a_tdTpositive_cell_62	Htr3a_tdTpositive_cell_63	Htr3a_tdTpositive_cell_67	Htr3a_tdTpositive_cell_75	Htr3a_tdTpositive_cell_80	Htr3a_tdTpositive_cell_88	Htr3a_tdTpositive_cell_92	Htr3a_tdTpositive_cell_102	Htr3a_tdTpositive_cell_112	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_11	Nos1_tdTpositive_cell_3	Nos1_tdTpositive_cell_5	Ntsr1_tdTnegative_cell_26	PvalbD.Slc32a1_tdTpositive_cell_15	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_19	Rbp4_tdTnegative_cell_21	Rbp4_tdTnegative_cell_22	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_21	Scnn1a.Tg3_tdTnegative_cell_23	Scnn1a.Tg3_tdTnegative_cell_24	Vip_tdTpositive_cell_1	Vip_tdTpositive_cell_19	Vip_tdTpositive_cell_69
Dync1i1	223.96	0.0	111.16	657.2	319.67	238.89	672.78	7.41	479.43	606.72	509.22	224.59	685.34	0.0	2337.7	241.91	444.58	1075.66	314.22	261.28	1019.44	550.97	865.83	458.91	157.88	325.54	303.64	7.65	65.02	211.07	140.31	285.21	250.79	0.15	0.48	0.0	662.43	795.38	303.57	1037.26	987.16	995.0	1332.09	0.0	0.0	690.27	460.35	0.0	527.21	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	338.53	32.94
Gad2	237.28	102.38	2.01	347.53	131.0	381.77	154.34	343.82	31.69	147.45	454.62	13.83	449.8	0.76	414.02	26.92	112.53	44.68	258.43	85.19	295.61	392.65	183.91	864.21	451.68	72.8	449.8	421.87	596.19	710.43	140.48	361.32	265.39	448.88	75.01	1143.75	113.31	391.52	215.35	127.1	369.85	539.5	468.6	1.65	0.77	253.18	394.47	6.03	267.15	0.46	0.76	0.36	0.26	0.88	0.48	0.0	0.0	0.0	1.48	0.0	0.07	83.56	503.62	133.97
Grin2b	364.41	150.68	470.09	323.67	228.47	139.32	33.72	155.04	345.25	169.03	239.88	103.51	102.78	0.28	216.83	159.02	381.65	502.93	246.73	118.46	20.28	231.73	216.5	191.17	342.44	51.22	212.79	167.98	158.74	219.22	200.32	235.02	200.44	149.66	21.67	175.11	191.85	348.06	79.45	489.18	84.83	163.17	127.76	0.02	0.0	145.2	269.35	1.31	98.42	0.35	0.34	0.09	0.69	1.38	0.19	0.0	0.09	0.88	0.09	0.21	0.64	14.92	206.05	49.26
Gsk3b	177.62	220.69	137.32	293.08	351.62	242.01	172.49	344.99	330.32	172.15	270.49	227.83	421.58	51.19	286.9	380.39	234.9	283.27	194.16	349.15	184.01	238.06	372.52	242.05	296.28	307.2	224.72	276.57	317.97	338.88	204.19	370.53	378.09	266.91	345.48	313.92	335.72	306.81	142.95	418.0	557.72	343.33	332.71	109.64	0.26	486.1	228.89	156.33	232.14	204.39	1.44	0.63	110.75	169.79	183.27	65.66	0.42	103.13	87.37	161.46	58.04	342.88	452.23	393.42
Kcnip4	0.08	232.72	59.87	0.26	0.92	0.0	0.0	0.0	0.0	22.03	0.22	99.56	0.0	0.0	377.19	278.63	0.0	0.0	0.13	117.81	0.0	82.57	68.87	0.0	17.5	6.0	716.19	0.0	528.85	217.99	24.63	0.4	0.0	266.88	359.1	12.65	0.0	847.6	0.0	0.0	57.21	1219.09	240.0	0.0	0.0	743.53	190.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	166.46	0.22
Klhl9	278.29	95.86	139.31	286.5	119.59	204.54	45.64	212.49	314.66	177.34	309.53	97.43	307.36	242.98	216.83	77.04	187.28	206.48	52.72	472.98	155.9	301.34	225.39	135.88	297.38	229.88	117.66	189.9	321.09	223.85	214.68	338.04	109.25	338.88	282.25	207.55	613.35	484.2	494.07	309.88	368.76	165.8	140.5	595.46	0.0	271.25	122.94	0.0	285.02	5.11	271.22	56.89	181.28	0.0	0.0	0.0	0.0	0.0	1.31	70.37	0.0	151.43	96.99	124.98
Mapk10	174.31	267.1	93.69	99.31	13.64	15.79	4.42	230.94	194.84	131.25	194.68	0.0	90.11	0.0	91.03	73.31	125.58	53.64	58.97	2.64	20.2	80.95	224.19	113.58	33.59	122.42	193.6	47.81	277.04	19.37	73.21	161.9	105.38	190.03	363.29	216.33	242.79	128.78	64.97	98.93	86.6	72.99	337.15	0.0	0.0	110.93	9.99	16.64	2.15	0.0	0.37	0.35	0.1	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	121.28	14.76
Mtap1b	810.31	359.89	1386.86	1352.92	680.08	281.6	265.02	609.93	487.31	386.71	561.22	622.35	619.03	0.0	1025.98	231.79	817.3	1303.5	661.16	179.52	370.57	1290.09	332.07	893.92	564.17	227.15	392.82	356.84	564.54	371.52	750.17	501.33	420.27	354.03	226.05	870.88	364.19	1038.26	456.3	1645.87	1508.6	1197.89	739.47	0.0	0.0	478.68	953.72	0.0	480.35	0.1	0.59	0.11	0.14	0.1	0.06	0.0	0.0	0.05	0.0	57.5	0.15	449.24	295.26	176.68
Nckap1	0.13	241.41	18.05	0.0	0.0	70.55	75.48	9.9	0.0	192.41	136.49	0.0	240.73	0.0	37.0	0.0	8.1	124.17	1.27	98.62	84.21	9.73	0.2	64.21	7.38	0.0	0.14	0.13	73.52	0.0	111.29	196.85	0.0	0.0	0.17	0.0	0.0	15.68	9.28	303.11	121.68	0.16	141.75	8.74	6.08	46.27	188.16	0.0	80.32	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	178.89	172.17	29.36
Nmnat2	93.27	54.45	24.44	338.41	15.7	97.36	3.13	3.95	88.28	0.83	151.99	231.44	12.16	0.2	355.31	12.56	203.09	3.16	38.77	255.01	327.31	324.35	170.04	95.99	145.53	4.83	472.88	83.17	90.56	109.35	96.94	269.96	122.09	211.23	139.67	538.89	156.76	143.9	138.56	20.17	335.45	264.14	287.13	0.0	0.0	474.14	245.68	0.0	2.36	0.26	0.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	77.84	379.64	12.73
Pak1ip1	97.15	196.19	231.3	43.65	0.42	0.0	0.24	71.9	221.84	125.94	303.02	204.19	226.89	0.0	5.69	0.0	277.17	0.0	0.15	292.4	0.0	88.89	0.4	23.09	371.84	174.53	0.0	230.4	6.61	124.53	6.64	440.84	0.49	215.42	0.0	278.79	415.28	240.39	12.84	143.15	386.38	291.51	90.24	0.0	0.0	274.87	5.63	0.0	0.0	0.0	0.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	210.83	0.0	0.0	0.0	0.0	0.0
Rab3c	104.74	149.93	80.33	237.41	161.48	201.11	80.5	133.13	209.41	100.05	278.03	150.6	102.9	0.4	211.24	141.19	137.19	83.8	210.74	19.71	9.66	96.64	465.06	37.52	195.85	60.85	470.03	167.6	425.46	102.52	248.19	362.8	125.31	450.86	112.98	239.55	58.82	211.0	111.41	164.08	228.37	186.54	305.56	0.13	0.0	109.33	131.9	0.67	182.88	0.17	0.27	0.0	0.14	0.51	0.13	0.0	0.0	0.0	0.0	0.8	0.06	20.66	209.08	19.1
Rnf41	74.08	251.76	86.07	0.0	0.0	0.0	148.52	0.0	3.32	0.0	0.0	76.39	83.6	0.0	84.23	0.1	0.0	123.66	4.83	0.18	0.33	0.0	0.0	92.61	99.41	0.0	92.62	0.0	106.68	0.0	0.0	0.0	156.71	0.0	0.0	0.0	0.09	60.3	0.0	90.56	0.0	80.47	143.17	0.0	0.0	0.03	0.0	0.0	0.0	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.12	0.0	0.0
Rpp21	166.19	259.52	18.44	443.31	14.54	140.77	371.95	150.24	206.75	131.48	700.38	150.86	156.13	0.0	133.08	174.21	0.0	0.0	398.21	439.36	2.44	188.63	0.0	0.0	0.0	0.0	342.37	0.0	280.26	0.0	26.23	168.5	47.26	212.78	0.0	0.0	260.73	0.0	0.0	728.24	465.75	116.98	301.81	0.0	0.0	0.0	263.36	0.0	80.7	5.3	127.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	540.27	212.71	0.0
Sf3a3	0.09	0.0	292.87	26.98	0.0	212.94	346.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	253.84	0.0	0.0	430.34	150.43	267.89	0.0	0.0	71.21	0.0	0.0	134.5	11.74	173.49	0.0	0.25	0.0	0.0	211.73	145.71	0.0	3.18	429.49	469.7	158.83	321.16	0.0	0.0	1.55	23.04	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.0	0.0	0.0	190.72	0.0	0.0	0.0	0.0	567.45	0.0
Srp9	48.16	0.0	337.18	0.0	0.0	177.53	0.0	193.1	62.17	169.23	440.47	82.83	405.53	0.0	0.0	0.26	0.0	169.09	95.98	215.84	4.07	0.0	4.34	83.74	198.52	0.0	0.0	145.54	163.11	0.19	316.06	33.74	0.0	245.25	1.1	36.89	359.08	55.55	0.0	500.55	0.0	116.79	53.37	0.0	0.0	391.81	0.0	0.0	13.38	0.0	0.47	145.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.66	0.6	99.98	0.0
Vip	20048.18	26849.21	24688.7	27223.39	15481.36	32658.1	48402.26	18653.0	19652.48	35690.76	17169.75	21970.5	26835.38	0.0	24307.74	42738.55	19221.37	23972.72	20043.81	13833.32	15292.85	18726.8	25538.7	39789.49	29215.94	34420.5	22353.39	53179.5	32676.37	22309.91	46837.05	23764.13	32241.62	20890.09	23582.35	19253.14	23865.54	19135.39	20201.33	18089.18	25309.04	19815.22	18099.69	0.0	0.36	12016.64	24233.05	0.0	14680.95	0.0	0.0	0.0	0.0	1.59	0.0	0.0	0.0	0.0	0.0	0.53	0.0	19024.52	18390.47	10182.14
Vstm2a	1224.5	327.8	34.31	414.0	301.19	652.55	347.27	214.42	686.5	399.54	2.77	470.33	675.28	0.0	751.31	271.44	1272.57	1161.91	363.05	71.55	97.47	1015.02	536.71	161.15	98.53	230.77	315.8	441.5	592.41	448.15	781.47	80.22	379.85	246.76	110.22	753.11	728.51	252.93	497.66	1008.22	709.29	1139.02	867.96	0.0	0.0	276.1	586.78	0.0	183.67	0.0	0.35	0.0	0.05	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	381.58	546.79	1.22
Zcchc18	309.53	2296.2	1942.3	1587.1	916.32	1888.78	1447.75	398.85	2142.69	1985.58	1313.68	1160.95	2283.51	0.0	1157.58	1532.46	1280.57	1994.72	1139.51	956.34	1006.22	1105.29	1742.67	1635.04	1491.72	1023.56	1149.74	963.56	1373.34	970.11	1191.5	206.3	447.49	910.63	2152.06	1294.0	930.11	1265.44	2481.31	1871.18	1958.33	2803.34	1621.27	0.06	0.37	3193.7	1382.11	0.21	772.61	0.0	0.92	0.71	0.07	0.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	726.85	1295.18	377.53
