	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_28	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_3	Cux2_tdTnegative_cell_6	Cux2_tdTnegative_cell_15	Gad2_tdTpositive_cell_8	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_68	Gad2_tdTpositive_cell_69	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_44	Htr3a_tdTpositive_cell_83	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_19	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_44	Ntsr1_tdTnegative_cell_54	Rbp4_tdTnegative_cell_8	Rbp4_tdTnegative_cell_12	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_18	Scnn1a.Tg3_tdTpositive_cell_106	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_23	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_49	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_69	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_96	Sst_tdTpositive_cell_101	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Dnm1	22.71	65.46	105.01	32.91	1.51	8.22	0.0	0.0	0.0	50.5	54.59	4.35	140.37	156.69	106.96	35.17	89.2	162.17	0.0	25.77	32.14	69.06	47.6	0.0	0.0	0.0	54.12	13.97	13.5	18.81	0.03	0.57	4.76	32.34	29.95	22.74	15.88	2.61	9.78	8.72	17.51	2.08	1.36	36.06	21.22	0.63	86.76	22.97	0.76	16.44	28.7	17.13	0.37	5.09	16.71	9.78	1.46	0.72	6.65	19.87	20.33	0.0	88.95	279.62	0.0	0.09	0.0	127.72	0.0	0.0	44.55	27.11	0.3	18.09	29.74	8.02	30.9	12.26	9.23	20.35	21.86	44.14	31.16	28.98	47.77	785.48	840.55	821.55
Fam168b	21.59	40.45	29.0	88.97	0.15	0.16	0.0	0.0	0.0	31.88	2.67	0.15	64.37	176.2	37.78	8.34	58.99	6.32	0.0	10.24	64.26	0.0	0.0	0.0	0.0	0.0	63.18	26.99	2.3	33.35	49.76	39.59	87.65	16.72	22.7	4.68	31.65	3.37	12.22	13.81	0.54	1.47	40.53	34.0	0.59	15.94	2.7	31.88	41.59	26.94	0.0	0.84	4.08	29.19	6.25	21.81	7.89	20.94	2.39	5.35	15.86	0.0	70.48	43.97	0.0	0.0	0.0	35.54	0.1	0.0	20.9	47.9	3.34	13.96	99.84	21.66	147.81	62.42	53.64	0.83	25.23	0.0	43.89	23.82	72.97	190.42	187.9	191.71
Foxg1	0.8	0.28	0.12	0.35	0.04	0.32	0.12	0.0	0.0	0.13	0.78	1.03	44.34	91.92	9.2	22.24	43.35	1.09	2.92	1.93	34.46	0.48	25.27	0.0	0.15	0.0	0.49	0.21	0.0	0.03	0.06	0.06	0.04	0.08	0.28	0.06	19.32	0.14	0.13	0.0	2.56	2.57	0.05	0.15	0.38	0.16	0.06	0.22	0.0	2.68	0.65	23.73	36.72	0.38	1.63	0.21	0.14	1.56	0.2	0.17	0.34	0.39	0.0	19.25	0.07	0.09	0.16	72.82	0.0	0.0	7.67	0.23	0.27	35.33	0.1	0.14	1.16	28.58	0.18	0.24	0.2	0.05	0.15	0.38	0.08	83.41	89.76	85.33
Fzd7	0.0	0.12	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.09	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.02	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.05	0.0	0.0	0.12	0.0	0.0	0.0	0.15	0.0	0.0	0.2	0.0	0.0	0.0	0.46	0.0	0.16	0.0	0.07	0.05	0.21	0.02	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.09	0.03	4.15	4.44	3.78
Gnas	685.07	823.91	581.45	551.4	605.55	374.61	0.29	314.23	0.33	794.15	1228.54	627.63	1562.82	1109.8	1270.7	1100.42	792.29	1340.15	35.98	625.38	1126.26	819.46	482.21	11.94	0.38	123.9	1014.43	425.03	712.06	630.99	455.26	397.45	374.71	252.51	577.67	274.46	428.8	332.9	211.1	523.66	569.21	654.97	623.76	509.1	331.81	714.07	604.24	843.68	462.03	340.4	533.22	596.84	211.03	353.63	397.89	484.95	439.1	337.93	287.36	310.18	376.59	0.0	883.51	1186.39	124.93	0.25	0.0	1722.03	86.68	0.0	605.6	722.91	537.74	550.21	317.32	861.55	510.39	427.46	663.06	1064.91	404.87	806.47	605.61	411.76	465.1	1669.79	1750.51	1663.43
Kcnc1	8.09	22.93	45.14	50.94	21.48	3.37	0.0	0.06	0.06	10.24	60.35	9.71	58.08	66.83	61.53	2.99	11.3	119.53	2.69	8.46	22.18	46.09	0.0	0.0	0.0	0.13	22.61	0.09	7.4	2.8	0.04	0.02	0.33	0.02	4.87	4.49	7.53	0.06	0.0	3.81	3.79	0.94	3.81	4.61	0.05	26.71	16.46	0.04	1.16	0.83	9.61	7.48	0.03	0.18	3.62	0.1	1.56	0.2	2.6	1.7	0.0	0.0	23.92	25.76	0.03	0.0	0.1	50.71	0.05	0.0	0.22	16.48	0.9	3.42	34.38	19.84	0.33	37.79	0.31	14.54	4.24	10.25	32.29	4.34	2.35	96.03	98.54	104.01
Mcoln1	3.87	60.89	0.0	1.38	0.0	0.0	0.0	0.23	0.0	0.0	61.86	0.0	111.02	74.96	3.61	1.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.37	0.0	0.0	0.0	0.0	0.0	0.0	23.35	0.0	5.34	6.71	1.66	0.39	1.02	0.0	0.0	26.34	0.0	54.95	9.7	0.0	0.0	44.68	23.31	1.5	9.14	0.0	0.13	0.0	17.07	0.0	0.0	0.0	0.0	0.0	0.0	38.34	1.05	0.0	0.0	0.0	13.39	0.0	0.0	35.48	0.41	0.12	0.0	0.16	0.0	1.35	25.95	5.01	14.56	11.22	4.73	0.0	0.0	7.27	73.08	72.26	71.39
Mpped1	38.03	5.4	1.34	40.24	60.03	16.76	0.0	0.0	0.0	94.23	56.36	0.98	255.48	314.58	275.63	47.76	85.95	285.62	0.3	7.35	14.18	86.66	0.0	0.0	0.0	0.0	140.79	6.99	9.1	73.87	7.89	0.25	37.0	139.52	49.14	0.44	57.51	62.77	10.45	9.92	88.87	151.36	2.37	0.34	51.44	192.62	51.85	20.23	59.76	39.72	55.8	6.6	2.02	104.78	123.05	38.46	21.83	51.27	41.68	17.27	16.47	0.12	156.88	153.92	0.0	0.0	0.0	266.56	0.0	0.0	55.96	107.96	42.97	4.65	105.15	16.34	102.31	9.61	3.33	225.13	129.29	17.89	17.75	120.51	21.99	162.63	168.42	172.83
Ncdn	10.67	52.41	45.15	70.08	30.33	59.28	0.0	0.0	0.0	91.0	150.43	10.42	182.52	119.06	64.17	0.35	10.31	53.79	0.0	89.58	49.93	41.67	11.59	0.0	0.0	0.0	43.09	12.84	2.47	2.1	11.45	2.64	2.9	5.7	32.78	2.0	32.07	21.1	15.81	33.74	12.4	32.93	0.92	12.4	23.1	56.32	18.67	17.83	7.63	14.04	30.68	21.1	17.46	5.27	33.01	16.28	0.0	9.92	11.19	5.61	17.85	0.0	143.22	186.93	0.0	0.19	0.0	182.98	0.0	0.0	11.93	27.98	7.25	22.59	22.26	12.3	0.14	1.67	16.75	22.07	19.84	17.33	0.82	52.23	18.35	907.72	1022.47	941.79
Nckap1	49.7	71.54	61.83	104.26	3.69	36.88	0.0	0.0	0.0	84.65	216.4	0.06	150.69	106.5	195.54	28.48	74.63	128.97	42.02	55.11	168.57	76.69	2.77	0.0	6.08	0.11	130.26	76.32	48.42	0.14	46.0	0.2	257.4	93.39	152.63	2.27	37.82	3.4	50.53	59.54	18.9	36.41	83.25	69.48	19.51	65.11	96.88	82.54	70.12	0.0	96.57	2.33	120.57	29.9	12.76	59.24	36.77	0.72	80.83	44.1	0.58	0.0	141.04	199.15	0.15	0.21	0.37	139.86	0.0	0.0	29.52	98.5	7.0	74.75	59.0	25.71	5.97	187.56	51.67	32.38	70.71	13.69	10.45	1.42	4.96	414.19	390.98	392.44
Npy	138375.8	56190.59	9073.51	173305.25	40775.82	115124.65	0.0	0.0	0.0	16044.9	43922.94	108594.8	96206.73	82245.2	42632.64	68542.73	6792.77	65548.38	14635.6	57444.26	125016.83	59230.28	13383.72	0.0	0.0	0.0	63494.68	132042.44	105008.15	149629.49	134232.96	130357.56	105498.11	116117.28	120987.76	122165.94	132052.33	122154.33	122963.43	126501.28	117863.77	98464.67	102118.34	130527.91	173863.58	101365.79	73168.9	126989.03	166048.87	115420.41	191162.16	108906.97	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	110523.31	101137.64	151963.58	0.0	24726.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	145032.54	28240.98	180453.32	92572.95	48343.46	128781.07	23340.13	7487.26	137945.15	70964.58	35571.91	95298.15	137580.94	65353.97	120620.2	214.21	196.57	200.76
Nsg2	133.93	141.15	109.44	37.4	175.1	99.2	0.0	0.0	0.0	207.13	140.21	53.41	357.05	621.99	466.41	72.51	98.19	442.09	101.56	154.51	99.77	164.28	68.86	0.0	0.0	0.0	129.69	59.89	59.05	55.02	29.19	57.32	99.2	21.33	152.74	106.94	70.39	48.88	119.08	100.14	130.04	107.07	22.86	40.46	119.59	189.07	180.31	82.49	105.09	24.17	59.0	167.7	44.37	74.77	18.78	58.63	39.14	105.28	54.2	84.78	70.31	0.0	255.21	328.57	0.0	0.0	0.28	536.2	0.0	0.0	160.8	40.77	99.83	203.35	107.93	110.13	421.91	112.72	72.68	67.07	61.11	67.1	137.5	132.01	61.69	642.61	673.47	621.36
Ntrk2	157.51	8.99	11.94	41.95	15.47	82.56	0.18	0.35	0.11	84.14	156.44	199.23	349.36	447.38	336.18	27.0	45.3	130.79	28.45	206.98	138.85	27.74	43.32	0.21	0.08	0.0	39.76	22.06	42.96	57.11	7.96	4.34	80.05	64.81	63.79	127.88	191.55	56.03	93.43	101.13	46.96	75.54	81.12	92.53	49.83	138.31	132.27	97.54	91.24	54.75	58.65	46.16	88.84	89.95	30.21	52.65	72.74	59.51	37.62	50.11	30.46	0.0	100.04	331.11	0.19	0.48	0.95	453.08	0.12	0.08	102.04	6.9	47.19	69.64	1.99	22.26	201.97	82.24	83.14	60.44	61.5	153.95	103.83	34.15	19.94	244.04	230.22	259.3
Osr1	0.0	0.15	0.0	0.0	0.0	0.11	0.24	0.0	0.0	0.0	0.13	0.0	0.11	0.36	0.0	0.04	0.21	0.29	0.0	0.0	0.0	0.13	0.13	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.17	0.07	0.0	0.04	0.0	0.0	0.14	0.36	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.03	0.0	0.0	0.0	0.09	0.15	0.06	0.0	0.0	0.21	0.0	0.25	0.0	1.25	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.1	0.05	0.0	0.22	0.0	2.7	2.6	2.52
Prkcb	13.39	30.92	57.95	45.18	8.02	11.53	0.1	0.42	0.0	61.15	7.09	111.88	122.43	73.8	85.9	13.98	6.78	61.7	0.91	48.04	74.86	35.75	25.87	0.05	1.11	0.04	19.19	8.6	24.56	14.93	2.64	6.89	28.23	9.02	2.13	11.3	34.75	23.49	15.0	9.01	0.36	15.78	22.11	2.83	3.8	36.62	23.13	3.33	15.12	33.02	0.06	53.76	32.65	30.8	5.25	14.58	0.37	3.4	2.75	0.14	7.3	0.04	49.13	116.23	2.86	0.38	0.0	274.87	0.0	0.0	0.27	45.88	0.11	91.21	35.92	0.52	7.97	1.01	2.75	4.77	70.29	23.47	1.86	23.45	8.53	360.87	341.57	387.59
Prr24	1.16	0.0	20.21	26.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.96	26.36	32.57	30.61	0.0	0.0	1.51	0.0	16.72	6.08	0.0	0.0	0.0	0.0	0.0	0.0	4.49	0.0	0.05	0.0	0.0	20.55	0.0	0.0	0.0	0.0	8.66	22.0	0.0	3.1	6.5	24.99	0.0	0.0	0.0	0.0	0.0	0.2	0.0	13.84	2.91	0.0	0.0	8.94	0.0	0.0	1.49	1.23	0.0	1.94	0.0	24.14	5.47	0.0	0.21	0.0	3.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.72	1.61	0.57	0.0	0.0	6.37	2.08	1.65	0.0	10.13	36.73	42.02	40.0
Rab3a	125.32	341.3	261.16	203.31	34.45	352.77	0.0	0.0	0.0	119.56	105.53	167.16	878.75	1386.25	416.74	166.39	321.23	562.74	0.0	180.65	283.96	1069.44	393.66	0.0	0.0	0.0	852.18	296.03	267.67	72.42	202.87	240.62	160.74	217.99	128.36	425.92	142.12	471.84	484.93	593.28	269.64	152.36	144.17	110.88	232.98	268.52	406.57	210.0	102.44	115.19	151.7	376.82	195.59	85.51	297.25	131.87	113.91	41.47	77.81	90.2	115.22	0.27	630.78	1774.18	0.0	0.49	0.0	1275.51	0.0	0.0	210.88	212.47	102.26	14.05	331.18	493.75	178.57	488.23	216.1	544.49	988.09	138.39	10.5	186.53	265.02	698.81	772.2	724.96
Rab6b	111.52	184.4	215.08	101.32	12.39	95.34	0.0	0.0	0.0	154.07	136.11	177.46	342.27	183.71	286.85	112.38	52.97	226.31	14.23	60.11	346.49	117.02	169.69	0.0	0.0	0.0	228.39	86.92	212.73	85.79	31.49	29.74	4.15	79.64	111.39	22.26	108.83	86.37	72.36	26.22	84.62	155.28	129.46	38.52	125.65	62.47	219.13	125.71	87.6	35.88	45.2	69.21	54.23	49.13	105.18	145.52	63.61	189.91	100.0	160.22	75.64	0.0	235.84	880.05	45.7	37.52	0.0	413.91	0.0	0.0	37.3	283.23	92.13	76.76	133.78	21.37	136.21	322.72	63.07	134.34	137.69	109.15	174.04	172.74	57.92	557.19	534.18	552.91
Rap1gds1	63.05	155.27	77.93	115.78	40.77	36.34	0.0	13.43	0.0	161.2	171.12	28.41	224.72	143.78	230.3	80.4	84.58	118.84	0.28	87.43	124.96	29.01	33.1	0.0	0.0	0.0	173.36	88.29	19.32	84.24	18.27	70.34	120.48	40.6	72.14	9.62	79.76	147.77	63.24	99.78	174.83	101.29	51.44	73.47	87.65	111.65	189.7	48.01	8.02	33.12	1.03	127.9	29.57	38.23	175.93	64.52	34.07	59.64	103.07	51.99	65.02	0.11	194.36	357.44	37.4	4.47	0.0	537.32	0.0	6.13	13.7	91.75	2.53	0.0	94.1	27.75	78.08	91.55	98.98	0.0	37.3	132.22	3.01	13.26	15.97	284.57	290.45	264.54
Rbfox3	8.5	36.83	39.34	8.63	0.05	12.26	0.0	0.0	0.0	35.55	97.77	0.5	0.86	123.55	61.73	24.97	12.33	2.91	0.0	11.78	88.65	26.0	12.06	0.0	0.0	0.0	7.61	5.19	4.87	2.52	0.04	0.11	0.47	2.04	12.3	11.2	20.78	26.2	2.19	11.02	15.92	17.77	11.71	2.52	6.44	97.54	55.22	0.0	0.0	0.08	3.83	12.14	0.31	6.01	1.18	5.12	0.39	6.36	3.65	4.76	0.09	0.0	39.7	63.68	0.0	0.0	0.0	209.7	0.0	0.0	15.42	31.19	14.91	5.04	5.72	24.95	3.55	5.76	13.57	4.03	7.4	21.37	0.2	5.52	5.28	216.71	228.38	226.62
