	Calb2_tdTpositive_cell_29	Chrna2_tdTpositive_cell_7	Cux2_tdTpositive_cell_86	Gad2_tdTpositive_cell_33	Gad2_tdTpositive_cell_34	Gad2_tdTpositive_cell_52	Gad2_tdTpositive_cell_53	Gad2_tdTpositive_cell_68	Htr3a_tdTpositive_cell_13	Htr3a_tdTpositive_cell_33	Htr3a_tdTpositive_cell_43	Htr3a_tdTpositive_cell_47	Htr3a_tdTpositive_cell_48	Htr3a_tdTpositive_cell_59	Htr3a_tdTpositive_cell_81	Htr3a_tdTpositive_cell_90	Ndnf_tdTpositive_cell_15	Ndnf_tdTnegative_cell_7	Nkx2.1_tdTpositive_cell_14	Nkx2.1_tdTpositive_cell_21	Nos1_tdTpositive_cell_10	Nos1_tdTpositive_cell_15	Ntsr1_tdTnegative_cell_44	Sst_tdTpositive_cell_1	Sst_tdTpositive_cell_2	Sst_tdTpositive_cell_5	Sst_tdTpositive_cell_8	Sst_tdTpositive_cell_9	Sst_tdTpositive_cell_12	Sst_tdTpositive_cell_14	Sst_tdTpositive_cell_15	Sst_tdTpositive_cell_60	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_73	Vip_tdTpositive_cell_45	Vip_tdTpositive_cell_49	Vip_tdTpositive_cell_64	CAV_LP_Ipsi_tdTpos_cell_34
Flii	0.0	0.0	0.0	0.0	46.65	0.0	0.0	1.12	0.0	0.0	79.72	0.0	0.0	0.0	0.0	0.0	0.24	0.0	24.1	66.15	0.0	0.05	0.0	64.97	0.08	30.01	2.45	0.11	0.0	0.0	28.35	1.08	1.55	0.0	35.23	0.0	0.0	0.0
G6pc3	0.0	0.0	0.0	219.39	0.23	0.0	0.46	72.11	352.17	0.0	188.57	0.0	0.0	0.0	240.95	202.19	320.33	0.0	341.15	261.53	235.36	0.07	0.0	216.28	107.97	0.23	0.0	74.7	10.38	46.55	26.31	145.02	0.0	108.63	83.63	0.0	0.0	104.56
Gatc	0.29	27.28	9.37	226.17	0.0	0.0	0.4	1.96	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	174.62	0.19	0.0	146.11	0.0	59.0	0.0	106.22	1.41	33.78	49.86	18.51	55.76	87.52	9.13	0.0	22.85	18.49	179.52	0.31	0.86	2.0
Golga4	27.9	0.0	0.0	5.5	0.0	11.49	0.0	0.65	99.83	2.47	0.0	0.0	0.0	0.0	0.64	21.81	18.38	0.0	0.0	65.91	0.0	0.54	0.0	78.24	36.44	26.87	3.89	37.58	0.12	2.2	0.0	0.0	39.14	13.02	48.47	1.35	0.07	2.9
Grin2a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.73	0.0	1.13	44.71	0.13	0.0	0.0	0.63	1.99	1.07	0.0	0.09	0.0	0.0	41.84	0.14	0.0	0.0	0.0	0.11	0.0	1.12
Huwe1	0.66	22.48	43.12	101.32	0.02	26.16	25.1	39.83	0.0	16.6	3.22	0.0	0.0	43.55	19.64	31.6	37.94	0.0	25.59	55.79	60.14	3.37	0.0	86.99	31.57	42.4	17.51	13.26	20.18	2.1	13.22	0.0	1.79	28.25	42.99	4.31	1.7	51.59
Ifi27l1	0.0	0.0	474.47	170.08	0.48	0.0	17.27	1.71	0.48	7.46	1.61	0.0	0.0	342.5	219.37	134.1	280.47	0.0	672.41	541.39	257.96	0.47	0.52	322.06	205.53	106.61	102.8	1.78	0.42	1.2	93.23	0.0	0.0	0.0	116.27	0.0	0.0	96.84
Impact	4543.52	6891.15	5082.71	7007.16	6174.14	6826.9	5966.4	4606.0	7392.12	5000.79	7253.7	5575.13	5401.16	6720.17	6840.91	5707.95	6940.54	1625.76	5879.64	1928.54	6228.26	5532.1	0.11	4029.57	5542.05	5757.16	6020.42	6867.61	6400.32	6279.58	5111.38	5658.18	5786.89	5980.71	7015.38	6662.18	6284.88	5790.54
Kcnb1	8.88	54.05	2.99	7.2	0.06	0.0	0.0	20.6	15.81	26.21	0.0	0.0	0.0	0.04	12.74	0.0	37.59	0.0	25.07	46.6	25.94	0.01	0.0	36.29	5.72	4.95	14.55	9.35	4.22	4.47	16.32	2.62	3.19	51.25	11.53	0.73	0.0	28.07
Lage3	0.0	1.82	34.94	146.85	0.0	177.73	0.0	55.28	65.93	0.0	0.0	0.0	0.0	0.0	0.0	101.19	214.81	0.0	0.0	211.26	207.04	1.28	0.0	329.0	162.08	96.7	13.71	210.34	18.15	0.0	0.0	0.0	0.0	210.63	243.16	66.48	191.21	39.88
Med1	123.67	83.59	56.69	62.47	71.5	192.11	143.03	148.42	75.07	112.76	127.44	32.49	105.04	173.63	239.39	75.48	155.63	0.0	164.98	127.55	262.52	106.55	0.13	190.24	155.28	135.15	140.19	192.63	140.48	200.24	200.92	94.77	110.86	135.98	209.2	247.85	154.35	70.43
Med14	0.0	0.0	0.0	0.0	3.26	2.22	4.35	1.13	0.0	0.0	0.0	0.08	0.0	0.0	13.59	41.83	4.82	0.0	2.69	82.23	101.97	16.09	0.0	72.03	0.0	0.0	49.53	1.01	1.18	0.0	19.26	0.0	0.0	0.09	0.0	0.0	50.45	4.55
Mrpl47	0.0	0.0	0.0	0.0	58.72	146.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	165.03	238.02	144.5	0.0	0.0	0.0	372.96	36.15	48.52	0.0	200.47	0.0	99.25	62.84	0.0	0.0	0.0	71.8	0.0	94.85	116.99	26.55	0.0	0.0	28.25
Plekho1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.0	0.0	0.0	0.0	94.14	0.0	0.0	0.0	0.0	0.0	196.4	87.75	17.5	0.0	0.0	120.6	0.0	0.0	2.56	0.32	1.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pno1	0.0	0.0	0.0	0.0	108.28	0.0	0.0	83.77	28.94	101.51	0.0	0.0	0.0	0.0	0.0	31.49	7.39	0.0	174.27	210.59	111.13	0.0	0.0	150.47	57.04	78.63	0.0	0.0	0.0	178.46	0.0	0.0	94.58	105.21	111.93	11.46	0.33	0.0
Rbm7	0.0	0.0	388.44	3.22	33.14	0.0	0.0	20.43	0.2	0.0	182.71	0.0	0.0	0.0	26.62	0.0	0.0	0.0	0.0	263.72	12.6	0.06	0.0	161.58	0.19	31.15	83.95	110.15	0.0	15.69	122.21	0.0	0.0	0.0	0.1	0.0	373.07	157.32
Rph3a	59.21	2.34	138.22	76.34	2.05	216.82	63.33	132.14	254.55	49.85	128.56	1.42	0.0	70.89	109.31	17.78	165.87	0.51	46.23	427.66	120.43	47.66	0.0	285.91	81.85	38.16	80.2	206.15	7.67	121.79	174.02	162.7	61.12	227.66	126.34	63.42	375.47	177.7
Rpl27a	0.0	117.34	89.0	247.84	114.7	195.13	655.85	44.48	34.49	55.83	19.5	70.33	76.86	114.3	206.18	61.43	518.35	0.0	115.37	207.21	133.38	71.35	0.0	119.7	53.04	6.15	244.85	270.94	125.41	161.28	83.97	68.33	89.83	133.06	172.66	221.88	197.23	138.03
Rpp21	443.31	252.0	0.0	156.76	174.21	0.0	154.47	16.46	659.08	108.43	16.34	168.5	47.26	0.0	0.0	198.69	142.06	0.0	120.38	335.25	262.53	91.79	0.0	623.99	340.05	164.42	174.77	66.83	220.63	205.14	63.82	167.99	121.17	324.39	179.39	310.33	115.97	218.01
Sarnp	239.12	8.25	116.43	472.23	237.41	335.19	22.43	290.62	349.7	259.96	505.65	360.19	418.11	277.94	475.94	178.99	505.26	47.33	566.3	641.51	871.15	5.98	0.0	971.05	98.38	142.68	335.27	400.83	112.46	543.21	278.06	263.55	205.01	427.98	397.68	406.95	268.02	194.93
Senp7	0.0	0.0	0.0	1.7	0.0	0.0	15.58	52.41	0.07	0.0	0.0	0.37	0.0	0.0	0.0	0.0	1.53	0.0	134.15	83.3	0.26	20.88	0.0	30.13	0.0	32.06	7.96	0.0	0.81	15.11	14.93	0.0	42.66	38.38	2.57	0.0	0.0	5.87
Slc32a1	0.91	30.51	4.47	2.06	13.81	26.82	18.38	18.68	0.0	0.82	0.0	1.7	9.18	0.0	25.38	0.77	23.07	0.0	4.9	41.92	7.79	13.42	0.0	20.48	19.63	17.01	10.81	9.21	16.07	10.5	6.31	3.55	3.09	0.66	26.75	9.07	12.05	0.0
Spnb1	0.0	0.12	0.0	36.12	0.0	47.48	0.07	16.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41	0.14	0.0	28.69	1.21	0.0	0.0	0.0	32.44	0.7	0.0	0.74	0.0	16.66	25.66	4.34	9.1	1.14	21.96	0.7	0.0	0.0	2.02
Srp72	0.0	5.4	0.2	150.78	0.0	0.0	56.74	77.11	58.56	38.49	40.57	0.77	58.4	0.0	121.06	77.13	48.69	0.0	0.0	156.48	46.46	60.98	0.0	98.64	143.95	40.57	93.19	95.47	60.24	157.79	73.17	130.1	1.2	47.05	128.83	57.25	0.28	243.66
Timm17b	19.66	1.33	1.77	2.32	1.66	7.18	4.41	73.71	278.2	2.62	1.36	4.46	6.82	2.22	1.68	1.48	5.13	3.73	95.99	186.57	1.41	0.97	0.84	169.28	29.79	1.53	1.99	2.2	40.65	70.51	75.15	6.49	202.96	71.86	6.28	3.44	7.63	3.3
Tlk1	0.0	0.0	0.0	1.22	0.0	0.0	0.0	0.2	0.0	51.47	94.85	1.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	158.42	1.06	8.73	0.0	100.46	0.17	0.0	42.65	58.38	1.27	0.0	4.87	0.0	0.0	0.0	90.46	6.87	65.95	0.0
Trim9	0.54	0.0	66.94	4.55	0.0	123.05	24.41	11.31	41.01	6.23	0.0	0.0	0.69	0.0	67.83	0.0	170.02	2.47	84.14	152.62	54.04	2.45	0.0	146.36	36.54	29.5	29.44	0.77	75.39	69.7	88.21	11.83	45.7	0.0	87.57	85.19	0.0	0.55
Tusc2	0.0	14.32	0.0	11.07	9.17	9.41	25.96	8.82	19.25	0.0	15.91	0.0	35.41	9.69	11.1	0.0	19.01	0.0	26.57	191.67	11.71	9.62	0.0	127.76	5.74	21.09	19.6	13.42	0.18	0.88	3.39	7.61	0.0	123.48	12.54	18.83	0.0	21.56
Ubxn4	1.97	2.86	74.65	18.62	16.26	0.23	0.46	53.24	0.44	0.61	0.24	0.11	0.12	1.06	0.51	1.95	71.58	1.04	12.7	50.05	14.7	0.65	0.18	80.24	4.93	41.07	82.21	10.95	49.43	37.94	38.38	25.04	65.32	18.9	26.77	101.92	72.02	10.63
Unc80	30.62	2.61	0.05	0.9	0.0	0.65	33.92	18.56	60.62	0.28	3.78	1.77	0.31	0.1	15.95	1.13	15.15	0.0	13.03	50.88	41.75	0.28	0.0	33.71	11.32	26.88	1.64	0.72	0.33	16.92	21.78	41.28	4.23	78.63	34.83	41.19	6.05	46.65
Zmat2	102.6	121.26	48.9	120.66	11.66	26.12	53.99	136.14	256.88	80.44	52.28	71.17	9.21	112.23	44.17	116.14	294.93	0.0	220.97	170.97	192.79	94.65	0.0	204.89	198.11	93.98	340.47	135.02	308.87	160.91	241.9	179.0	91.77	308.07	89.84	332.97	51.46	305.68
mt_AK136262	0.0	0.0	0.0	0.0	0.72	49.42	0.06	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.21	0.0	0.0	0.0	76.79	0.0	43.11	28.1	0.1	0.8	57.28	10.58	0.0	0.0	0.0	0.0	0.0	0.0	5.89
mt_AK142003	0.0	0.0	0.0	0.0	0.72	49.42	0.06	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.21	0.0	0.0	0.0	76.79	0.0	43.11	28.1	0.1	0.8	57.28	10.58	0.0	0.0	0.0	0.0	0.0	0.0	5.89
mt_AK166798	0.0	0.0	0.0	0.0	0.72	49.42	0.06	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.21	0.0	0.0	0.0	76.79	0.0	43.11	28.1	0.1	0.8	57.28	10.58	0.0	0.0	0.0	0.0	0.0	0.0	5.89
mt_AK166978	0.0	0.0	0.0	0.0	0.72	49.42	0.06	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.21	0.0	0.0	0.0	76.79	0.0	43.11	28.1	0.1	0.8	57.28	10.58	0.0	0.0	0.0	0.0	0.0	0.0	5.89
