	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_6	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_11	Gad2_tdTpositive_cell_8	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_25	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_69	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_44	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_19	Ndnf_tdTpositive_cell_20	Ndnf_tdTpositive_cell_21	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_24	Ntsr1_tdTnegative_cell_44	Ntsr1_tdTnegative_cell_54	Scnn1a.Tg3_tdTpositive_cell_106	Scnn1a.Tg3_tdTnegative_cell_22	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Bend6	141.08	25.79	33.96	24.75	0.14	0.0	0.0	77.96	272.33	0.08	265.04	190.89	62.05	10.78	18.23	263.39	137.92	78.59	0.0	162.79	3.87	75.56	0.0	0.28	0.0	0.0	0.21	48.86	91.94	12.41	0.94	0.07	0.12	6.01	0.0	35.5	0.27	0.0	1.02	8.52	32.92	27.44	46.51	65.72	0.0	144.51	6.56	84.86	2.46	14.13	106.6	94.41	10.57	2.93	2.27	1.67	50.01	32.93	74.77	0.0	24.52	40.3	53.41	0.0	0.0	135.36	399.53	0.0	30.29	4.51	136.52	60.16	0.67	54.13	0.0	2.03	1.6	0.0	6.81	135.89	133.11	132.89
Ccdc22	61.29	0.0	0.0	6.28	0.0	0.0	0.0	0.0	293.06	2.35	0.0	23.29	143.76	131.2	95.93	0.0	0.0	0.0	144.89	0.22	0.0	0.0	0.0	0.0	145.39	0.0	0.0	0.0	0.16	0.11	0.05	0.07	0.18	6.92	0.0	61.63	0.0	2.58	37.48	36.43	0.13	0.0	0.0	0.0	0.0	67.54	0.0	0.0	48.16	62.45	40.79	0.0	49.43	0.0	0.0	0.0	0.0	0.0	0.39	0.0	0.0	0.0	35.05	0.0	703.82	0.19	81.01	0.0	0.13	0.0	0.0	4.57	48.79	0.0	0.0	29.43	0.0	0.0	0.0	32.69	32.28	35.18
Ccdc82	83.09	132.55	18.79	83.88	22.47	23.03	16.96	152.09	185.12	140.98	173.46	194.11	196.82	149.36	99.01	185.33	255.03	110.78	208.88	153.28	144.68	112.68	35.8	26.96	166.93	12.47	44.03	93.29	92.3	137.08	81.46	47.01	97.08	97.39	73.92	66.15	104.99	103.6	60.75	98.81	101.08	53.8	117.17	63.32	67.09	106.19	114.31	132.14	113.53	129.9	63.65	123.82	34.93	77.54	51.48	96.89	81.16	83.24	86.62	91.95	74.23	84.27	110.95	150.01	145.68	133.71	587.74	8.86	44.64	73.16	109.95	98.39	194.78	49.05	135.16	40.79	58.32	37.77	111.19	129.46	122.4	144.77
Cnga3	0.57	0.55	0.68	1.58	0.4	3.42	0.28	1.34	6.91	2.04	2.45	1.46	3.23	1.37	0.92	3.2	3.35	1.93	3.94	4.16	2.14	2.65	1.64	3.19	3.07	0.0	0.0	0.78	1.44	3.35	0.37	0.36	1.57	1.19	1.07	1.4	2.86	2.3	1.83	2.92	0.28	0.99	0.27	0.93	0.72	2.06	0.88	0.19	2.99	0.63	2.27	0.36	0.68	1.17	2.55	2.02	0.3	0.89	0.65	0.85	1.33	0.9	1.0	0.75	2.41	0.74	3.08	0.0	1.43	0.11	1.09	1.71	1.22	0.17	3.03	1.38	2.13	1.02	3.45	0.79	0.7	0.82
D3Bwg0562e	82.61	86.4	26.25	0.9	0.85	0.0	1.05	35.11	143.41	59.13	300.53	23.97	222.27	206.12	225.73	162.42	390.32	161.45	213.02	42.02	12.41	39.6	0.18	2.13	125.25	0.0	0.37	14.01	6.77	1.8	3.97	24.65	54.38	23.16	8.86	29.05	31.78	47.62	21.69	33.55	27.76	34.86	7.12	29.19	87.62	52.01	110.97	48.36	66.5	53.17	7.09	1.58	4.62	137.94	7.95	9.09	0.66	4.55	23.03	31.46	38.57	1.96	19.18	0.51	0.73	17.26	225.9	0.0	28.49	25.38	39.4	16.06	25.12	63.13	3.14	23.66	11.96	49.29	48.0	121.62	116.8	128.52
Dcaf7	21.59	17.9	102.12	0.46	0.0	0.0	0.07	0.0	188.59	12.83	80.13	56.67	48.64	5.99	240.12	41.86	110.19	85.85	1.72	62.52	9.38	31.06	0.0	0.06	78.11	0.0	0.0	0.52	57.7	43.26	32.9	25.7	18.82	17.31	20.86	14.3	0.0	16.02	54.05	62.28	0.78	40.57	16.71	29.85	23.98	77.87	41.77	33.64	16.95	6.49	25.13	4.66	21.36	31.07	1.42	21.3	0.0	6.55	0.0	4.85	39.42	26.83	0.04	0.0	0.0	30.26	55.07	229.42	28.33	23.73	67.14	81.59	75.78	14.9	32.08	4.75	18.91	16.55	17.63	130.19	133.24	130.66
Fam131a	0.0	33.9	12.01	0.0	0.0	0.0	0.0	40.2	264.42	13.08	196.67	2.32	31.98	136.87	93.15	59.29	25.74	37.4	78.3	103.88	0.46	0.73	0.0	0.0	135.51	0.0	0.0	19.15	9.57	9.99	20.74	6.16	43.14	28.93	19.62	16.99	24.36	8.78	2.57	0.0	49.52	0.0	1.05	4.85	8.03	60.96	58.94	0.0	23.04	104.93	0.0	37.97	6.23	64.34	0.0	0.0	34.87	6.14	0.0	0.0	0.14	0.0	0.0	0.27	0.0	0.0	147.28	0.0	0.38	17.81	1.04	0.0	42.55	16.52	0.0	23.38	7.79	2.44	76.23	317.46	331.18	308.03
Fam134a	28.34	85.51	79.81	22.07	0.0	0.0	0.16	11.21	246.18	45.34	76.6	194.21	85.23	112.18	57.79	116.2	123.29	22.92	1.11	82.61	0.0	122.8	0.0	0.0	4.34	0.0	0.0	34.44	115.41	35.91	0.05	0.07	0.05	68.99	37.85	39.95	2.91	23.53	3.35	71.7	56.18	9.63	48.24	39.07	224.98	100.42	42.38	113.85	0.13	113.42	34.37	1.69	37.96	19.4	0.0	44.82	0.58	0.0	12.02	55.51	8.42	4.64	0.1	0.0	0.0	36.16	195.44	187.8	42.2	28.77	97.97	63.88	0.0	104.32	6.69	41.21	50.45	1.06	204.76	190.64	202.99	193.58
Fgf13	2.06	1.38	31.86	2.79	1.69	0.83	2.46	79.87	887.72	646.1	417.25	482.37	560.2	530.81	259.37	545.33	1211.16	383.84	147.81	750.21	310.49	83.21	1.56	0.4	417.64	0.0	0.0	2.24	4.94	1.59	121.22	0.66	151.52	0.94	1.65	1.23	3.22	1.73	1.21	1.31	3.59	2.64	1.2	0.97	59.19	459.86	536.64	2.27	845.65	563.72	2.13	1.64	1.23	477.42	1.57	1.36	2.53	1.21	2.4	1.83	2.05	0.95	0.34	0.66	1.25	153.83	31.51	0.14	2.29	2.13	13.37	2.67	53.93	1.41	177.14	1.94	1.39	1.07	305.24	140.0	140.28	135.61
Fip1l1	5.42	4.9	0.0	0.0	0.0	0.0	0.0	0.0	114.42	0.0	0.0	30.58	73.73	42.18	51.03	17.1	2.31	0.0	97.98	3.92	7.19	2.71	0.0	0.0	0.55	0.0	0.0	0.0	7.83	64.83	0.0	0.06	0.0	0.03	21.3	19.98	10.92	3.46	36.67	0.52	1.33	1.93	0.0	0.19	17.26	5.0	0.0	0.0	0.0	5.73	3.5	0.0	0.0	0.0	5.66	40.03	43.65	0.0	0.0	2.13	0.0	0.0	17.68	0.0	0.0	10.87	1.08	0.0	4.37	36.97	0.0	9.88	10.68	7.44	24.23	0.0	1.13	15.84	8.0	42.16	37.99	41.82
Fstl1	0.0	0.0	0.11	0.0	0.09	0.0	0.0	26.76	222.32	41.36	5.03	85.77	0.0	0.0	159.99	192.6	0.0	46.99	0.0	0.0	0.0	48.09	0.0	0.0	0.0	0.0	0.0	0.14	27.46	0.02	0.03	0.05	0.04	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.3	23.47	83.06	0.0	76.71	19.82	0.0	0.0	0.06	17.98	0.0	0.0	0.0	0.08	0.0	0.0	0.0	31.74	0.0	0.0	0.0	0.0	20.82	0.0	21.95	0.0	0.19	15.53	58.66	0.0	44.55	0.05	25.79	0.02	0.0	24.3	25.42	26.36
Gabbr1	26.74	24.52	4.51	60.19	0.0	6.08	0.18	67.43	180.26	51.03	110.28	145.44	167.06	38.1	101.29	68.97	120.6	10.65	78.75	15.38	31.16	1.58	0.0	0.0	51.82	0.0	0.0	46.32	54.92	6.86	26.94	64.3	5.38	78.79	102.57	12.26	17.55	20.17	67.39	52.06	1.4	47.76	0.05	10.59	1.43	35.99	39.61	17.97	74.86	10.35	15.93	101.12	32.43	5.39	22.97	29.95	27.22	17.15	1.04	15.68	19.91	8.51	44.62	0.0	0.0	33.89	213.89	0.0	95.4	67.7	71.73	21.09	69.28	9.62	43.17	59.89	50.86	86.13	6.72	381.73	382.23	380.88
Gabrb2	12.23	11.81	116.52	7.18	0.0	0.0	0.0	85.83	621.36	647.37	394.06	367.51	456.19	784.75	543.33	764.64	659.29	427.34	404.86	623.84	437.22	316.7	0.0	0.0	426.46	0.0	0.0	0.07	24.16	0.13	15.4	0.15	34.86	22.41	0.33	0.0	8.42	16.89	21.95	11.06	0.0	3.27	5.01	27.63	24.17	618.55	404.95	0.0	362.25	629.82	0.08	24.49	0.11	439.7	28.74	9.88	0.03	0.04	0.0	0.0	0.0	0.0	14.66	0.0	0.25	269.31	194.68	0.0	0.04	8.4	43.41	0.0	137.13	0.0	63.27	16.9	5.95	8.5	241.85	112.15	88.74	113.37
Gm10789	0.56	1.73	0.73	1.24	0.82	0.0	0.26	2.76	7.12	1.67	2.44	1.8	5.37	2.81	2.0	3.04	6.83	2.36	1.22	2.67	1.89	0.92	0.0	0.0	2.33	0.0	0.32	0.76	1.42	2.3	2.94	1.18	0.9	1.0	1.22	1.02	1.9	1.65	1.35	0.72	2.06	0.62	0.68	1.26	1.66	1.23	2.29	0.62	3.06	3.06	2.68	1.13	0.77	3.35	0.94	1.72	1.11	1.08	1.91	0.58	0.95	0.72	1.87	0.67	0.0	1.89	6.35	0.0	1.06	1.1	1.96	1.35	4.43	0.97	3.53	0.32	0.68	0.86	2.33	2.22	1.93	2.01
Gm11127	13.63	21.84	10.14	11.65	0.0	0.0	0.0	29.05	72.64	25.63	21.95	106.98	20.1	46.95	68.09	39.47	48.92	0.16	59.46	38.55	85.98	25.33	0.0	1.73	49.98	0.0	0.0	13.55	16.34	20.49	13.79	6.89	35.21	4.98	9.19	12.41	35.18	21.92	17.88	5.03	11.15	15.17	24.18	17.68	37.11	42.92	50.63	27.56	6.23	31.67	14.59	14.83	25.53	3.65	23.73	15.2	18.99	15.97	26.28	18.04	16.98	8.93	25.76	0.0	98.93	32.86	99.51	0.0	11.06	15.52	24.54	21.82	58.92	8.75	56.71	11.17	10.28	1.58	88.55	12.58	14.48	18.34
Gm4262	9.38	7.24	9.52	5.61	0.3	0.0	0.21	12.22	34.41	10.24	9.83	22.1	12.35	16.38	24.33	14.55	24.51	1.64	12.66	22.01	20.35	13.45	0.59	1.68	17.6	0.0	0.24	8.41	9.75	12.24	6.66	5.11	14.96	1.72	9.55	5.76	16.01	13.03	11.12	3.63	5.37	9.09	14.88	8.55	24.81	17.57	20.28	10.02	8.12	14.48	4.19	5.19	10.05	0.72	15.2	8.64	9.85	12.43	13.91	7.38	9.29	4.44	9.54	1.13	27.82	9.91	45.78	1.45	6.08	7.33	12.0	9.79	36.99	5.78	24.34	8.38	3.1	2.84	27.19	7.62	5.67	8.46
Gm6710	4.45	1.52	0.0	0.09	0.0	0.0	0.0	15.89	111.04	0.0	2.49	5.64	2.51	1.37	111.6	21.79	21.9	2.21	3.66	11.17	21.89	0.13	0.0	0.0	3.09	0.0	0.0	3.33	3.09	1.17	0.62	1.0	0.05	0.26	0.0	9.93	0.75	0.23	36.2	1.32	4.65	19.56	0.18	0.0	0.82	1.38	2.74	0.44	1.23	28.4	0.83	10.76	28.52	0.0	0.0	2.95	1.6	1.19	2.11	1.54	0.08	1.46	7.2	1.35	4.91	10.22	168.19	0.0	0.14	8.07	26.01	0.51	48.13	6.14	0.32	1.16	8.42	0.62	12.01	8.52	5.26	11.12
Gm9926	0.0	0.83	0.08	0.27	0.0	0.77	0.52	0.13	1.08	0.4	0.23	0.18	0.67	0.74	0.39	0.95	0.25	0.15	0.77	0.82	0.0	0.09	0.0	0.38	0.29	0.0	0.74	0.07	0.15	0.14	0.12	0.12	0.1	0.04	0.26	0.1	0.24	0.09	0.27	0.3	0.19	0.18	0.0	0.07	0.41	0.23	0.27	0.16	0.81	0.29	0.18	0.1	0.19	0.12	0.0	0.09	0.17	0.06	0.15	0.1	0.09	0.2	0.15	1.33	0.0	0.34	0.0	0.03	0.16	0.29	0.46	0.18	0.38	0.03	0.22	0.25	0.0	0.03	0.37	0.13	0.25	0.35
Grin2a	19.42	31.14	0.0	3.68	0.0	0.0	0.0	0.58	70.22	33.39	10.02	0.42	19.81	82.62	4.57	10.11	99.69	0.09	0.0	26.89	4.84	0.0	0.0	0.0	45.8	0.0	0.0	0.73	0.0	11.67	0.0	2.27	0.06	0.0	22.08	4.61	3.88	6.42	0.0	6.5	13.66	0.77	0.57	33.07	0.05	64.86	9.93	7.84	0.0	0.0	41.76	15.96	0.0	13.21	0.05	4.93	0.14	32.19	1.86	4.33	0.03	0.1	20.12	0.0	0.0	0.0	16.6	0.0	0.0	1.96	0.15	0.0	101.53	6.41	0.0	1.73	8.08	0.87	0.0	34.45	27.49	46.14
Gtf2f1	93.11	151.09	18.71	89.22	2.33	37.61	0.0	199.84	649.36	89.14	135.74	110.1	178.72	278.82	39.05	137.42	175.83	112.99	0.17	128.93	209.76	44.94	243.09	0.0	165.68	0.0	0.0	0.0	148.75	117.36	0.0	0.2	10.66	23.87	38.57	155.5	70.08	37.48	0.23	31.0	109.66	143.45	60.36	0.83	23.13	219.44	163.33	0.17	0.0	54.36	0.0	52.26	32.57	0.0	0.69	75.94	6.02	26.51	106.52	0.34	141.36	54.96	1.45	0.0	0.0	51.94	363.33	0.0	19.91	0.0	168.17	171.67	21.4	163.09	109.46	51.11	69.42	68.5	358.47	74.3	83.63	73.08
Hcn1	3.27	7.68	0.0	0.07	0.13	0.0	0.0	15.96	27.77	8.07	68.41	20.71	59.62	32.93	23.33	25.39	45.0	34.65	12.08	20.83	7.17	0.13	0.0	0.0	20.24	0.0	0.0	4.32	0.09	3.76	9.74	7.49	2.92	8.76	18.16	5.02	19.09	2.92	0.15	0.3	0.38	4.57	0.05	0.04	14.19	43.91	45.44	0.04	14.3	19.57	9.25	3.77	2.45	57.56	0.0	0.92	1.56	0.14	0.0	25.86	32.42	22.51	8.27	0.0	0.05	56.75	27.1	0.0	2.93	0.0	11.66	0.16	31.2	4.1	9.61	2.01	9.53	0.0	22.33	28.29	25.28	29.23
Hdac9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.92	351.05	141.57	211.6	63.34	104.69	284.71	397.73	146.18	133.13	168.89	123.43	105.36	102.21	119.67	0.0	0.0	134.1	0.0	0.0	10.63	0.08	3.59	0.03	0.04	0.09	0.09	0.15	16.61	3.28	18.89	9.82	18.69	6.83	1.06	0.0	0.06	0.0	70.02	221.49	28.1	16.84	45.73	0.29	1.34	0.48	270.38	62.03	0.0	1.07	0.0	2.03	0.0	0.0	0.1	0.0	0.0	0.0	0.0	78.66	0.0	0.0	36.9	0.0	0.0	0.0	13.76	9.72	0.0	0.0	0.0	301.66	23.18	23.21	23.44
Ifi203	1.03	1.87	0.19	0.81	0.87	0.0	0.12	0.79	2.14	0.99	1.18	3.05	2.29	1.52	1.93	1.77	0.9	2.6	3.02	1.56	2.58	1.85	0.21	0.0	1.89	0.0	0.18	0.24	1.05	1.0	1.04	1.44	0.9	1.29	0.79	0.5	2.69	1.01	0.97	0.43	1.44	0.99	0.7	1.34	0.88	2.11	3.41	1.34	1.01	1.83	0.75	0.7	1.33	0.62	1.4	2.73	0.47	0.65	1.63	1.47	0.64	1.13	2.12	0.0	0.0	2.42	8.34	0.0	1.01	1.01	1.93	0.64	2.43	1.41	5.27	1.09	0.65	0.86	2.59	1.82	1.57	2.08
