	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_2	Cux2_tdTnegative_cell_6	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_8	Ndnf_tdTpositive_cell_11	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_28	Ntsr1_tdTnegative_cell_38	Ntsr1_tdTnegative_cell_45	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_19	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_16	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_49	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_101
Drap1	18.25	73.86	17.15	50.63	0.0	0.0	56.41	0.0	0.24	48.16	0.0	81.38	5.17	0.0	0.0	0.0	0.0	7.97	18.4	49.63	7.48	3.22	0.0	3.86	17.07	15.95	82.69	23.56	47.76	30.51	1.72	29.27	14.24	42.06	30.93	26.45	42.05	0.0	30.95	9.03	30.22	0.0	101.16	106.94	4.28	25.35	37.0	0.0	52.7	26.21	67.02	255.37	0.0	0.0	0.0	0.0	0.0	0.0	28.14	0.0	0.0	0.0	27.13	44.9	16.93	41.08	0.0	0.0	22.43	0.0	64.61	7.63	19.69	66.37
Eif4a3	65.1	2.79	152.01	70.36	0.0	0.0	273.18	0.13	173.84	149.07	79.67	280.68	40.68	110.87	0.0	0.0	0.0	103.67	71.2	57.93	12.3	60.58	0.28	165.26	190.41	154.21	275.24	43.76	89.14	70.23	87.87	3.31	8.25	14.9	0.17	111.35	55.01	106.72	56.21	0.0	135.66	118.94	162.87	238.09	52.16	159.7	107.68	70.32	179.03	36.71	75.13	0.0	2.22	0.0	0.0	0.0	0.0	0.32	812.85	161.54	0.0	0.0	140.11	37.46	0.24	229.57	236.77	388.23	54.5	0.0	0.0	6.98	104.3	239.49
Elavl2	96.24	161.38	89.56	77.55	0.0	0.0	424.64	39.43	117.59	214.82	0.0	134.75	33.94	0.0	0.0	0.0	0.0	79.08	174.82	56.84	69.94	78.8	52.72	109.66	98.31	99.1	146.36	144.11	172.78	82.07	37.71	91.54	65.02	61.46	31.43	77.28	202.77	24.37	109.26	80.97	55.57	55.05	6.53	74.71	99.07	39.31	8.71	113.2	208.23	137.94	86.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.62	106.92	38.76	126.69	5.66	77.27	128.1	80.3	113.77	53.4	271.1	56.23
Faim2	87.67	125.26	53.84	99.96	0.15	0.0	235.66	27.55	117.66	114.37	19.64	137.22	26.09	0.0	0.0	0.0	0.0	83.01	86.24	68.63	45.71	56.32	37.65	49.76	119.55	131.64	187.83	145.51	70.79	125.07	127.19	125.99	106.33	48.44	17.31	41.93	104.63	30.09	65.58	81.22	82.01	36.7	2.55	30.69	111.82	100.16	70.56	48.2	43.76	59.83	60.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.16	0.0	80.17	58.51	41.14	138.02	0.0	88.08	104.04	208.45	62.27	83.6	81.15	194.33
Fbxo18	5.98	62.34	0.0	49.68	0.0	0.0	93.61	9.01	0.0	8.32	0.0	0.0	73.85	0.0	0.0	0.0	0.0	26.22	0.1	11.16	0.07	0.05	0.0	22.61	8.71	39.06	8.87	4.14	9.89	51.62	1.54	0.0	21.71	0.0	0.0	0.0	0.0	0.78	0.0	0.0	0.0	8.35	27.25	0.0	10.22	2.36	0.08	0.0	27.43	0.13	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.1	24.19	0.0	0.4	4.19	0.0	26.31	7.57	39.62	49.26
Gad1	2092.2	1242.32	2807.1	1716.02	0.0	0.0	3744.69	3513.94	3754.2	4353.26	848.26	5384.47	3536.07	0.0	0.0	0.1	0.0	3258.59	4318.35	2665.05	1677.18	2240.31	2899.24	3333.72	1634.59	2018.05	1640.12	2956.57	2867.66	2841.99	3064.48	4728.92	2572.41	1977.67	1262.84	3275.01	1986.67	3826.2	2041.15	3080.08	1776.81	3323.88	827.63	972.91	2469.97	1874.14	2222.71	2581.3	2779.42	2858.51	2037.23	0.0	0.0	0.0	0.0	0.2	0.74	0.0	0.0	0.0	0.0	0.0	2517.65	2221.42	424.25	2788.04	1344.4	2379.27	2705.15	424.34	2014.97	1032.34	896.55	2066.02
Hagh	256.45	45.9	419.62	285.15	0.0	0.43	153.39	177.89	495.21	191.02	0.93	266.75	96.83	0.0	0.0	0.0	0.0	87.45	262.24	210.23	18.7	190.44	222.61	50.75	186.37	208.4	50.32	135.96	124.42	205.3	91.53	49.34	242.65	304.31	15.09	197.67	291.26	266.83	134.23	112.37	211.86	124.46	342.1	134.39	385.95	76.39	80.34	308.27	215.78	116.1	102.11	0.0	0.0	0.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57	100.12	181.0	15.16	213.93	0.0	324.34	299.18	307.28	185.54	216.43	310.39	164.67
Hmgcr	10.03	51.73	16.55	58.91	0.0	0.1	127.05	18.04	68.62	199.39	132.48	168.6	40.23	0.0	0.0	0.0	0.0	101.27	28.43	45.64	178.4	51.62	56.61	113.33	113.85	56.24	68.45	139.51	82.0	102.28	53.77	10.28	5.69	26.88	15.3	62.64	80.26	39.19	8.81	19.48	38.03	14.47	4.16	34.07	85.59	21.21	33.78	28.67	63.91	109.32	17.62	0.3	0.56	0.14	0.09	0.3	0.0	0.73	0.0	0.0	0.0	0.0	69.84	12.45	149.29	54.36	26.5	86.7	55.1	19.75	24.84	36.13	36.01	11.13
Hnmt	117.37	116.4	55.94	67.01	0.0	0.0	0.0	4.08	92.23	0.0	0.0	386.45	53.63	0.0	0.0	0.0	0.0	115.55	81.57	0.2	226.99	59.23	87.18	0.13	65.36	201.96	0.0	66.05	81.68	95.82	163.4	55.92	66.96	66.23	106.73	0.0	71.02	126.14	170.55	133.88	92.17	0.0	175.91	306.25	103.54	40.11	125.69	69.48	151.64	196.88	199.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	678.56	0.0	0.0	50.58	178.17	0.0	101.36	0.0	0.0	51.62	0.0	0.0	213.9	147.16	70.99
Ik	115.1	170.96	82.25	62.68	0.0	0.23	284.71	138.09	104.59	386.79	19.31	369.37	397.69	0.0	0.0	0.0	0.0	314.45	196.79	103.89	107.27	188.9	159.35	196.75	237.73	177.74	121.15	225.86	57.59	193.88	127.27	194.29	220.04	228.05	0.0	139.99	80.56	217.12	7.99	170.06	278.34	95.37	110.66	147.88	154.44	45.75	108.76	48.22	146.41	211.63	186.98	0.69	0.0	0.31	0.0	0.0	4.23	0.0	0.0	0.0	64.7	0.0	182.75	117.29	302.61	285.73	13.04	222.55	210.42	39.65	133.82	137.42	244.95	223.46
Isca2	486.25	174.47	126.34	185.95	0.0	0.0	369.84	483.18	40.06	280.95	0.0	719.05	665.3	0.0	0.0	0.0	0.0	259.46	369.4	408.94	279.36	261.95	363.71	297.46	268.6	280.54	351.83	117.79	400.91	163.84	267.42	222.79	177.69	393.46	134.05	403.15	483.92	422.82	160.4	195.19	317.07	203.58	466.39	355.87	225.01	403.5	110.16	319.55	258.45	330.37	95.75	0.0	0.0	0.0	0.0	5.57	0.0	0.0	0.0	0.0	121.6	0.0	307.8	272.32	381.51	281.64	183.01	563.88	268.61	0.0	262.87	353.65	125.72	339.53
Mapk6	0.47	44.85	5.33	9.11	0.0	0.11	107.86	59.11	17.67	75.54	0.0	0.0	22.89	0.0	0.08	0.0	0.0	14.25	0.0	29.48	0.03	4.53	3.04	0.07	0.7	26.32	10.1	0.0	64.99	31.9	18.56	40.56	37.79	0.34	0.0	0.0	0.0	0.87	16.16	15.33	0.05	0.0	31.51	37.86	0.0	3.78	35.54	0.07	24.57	35.45	24.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	1.83	0.0	0.0	0.83	2.71	42.34	0.0	3.65	7.36	0.0	14.05	0.52	37.07	35.2
Ncald	382.25	188.52	234.83	257.98	0.0	0.0	2310.88	287.34	476.8	719.52	1.43	764.93	711.41	0.0	0.0	0.0	0.0	371.57	394.27	438.72	121.3	228.5	444.39	421.8	304.53	165.55	359.05	374.23	341.05	394.61	304.57	501.94	396.23	201.68	212.68	593.67	278.65	408.97	327.0	393.63	169.1	657.44	108.96	328.24	452.58	399.28	260.85	307.53	563.32	206.27	363.03	0.2	0.18	0.35	0.0	0.77	0.0	0.67	0.29	0.3	0.2	0.18	37.72	177.81	107.5	320.47	0.16	0.41	285.58	141.0	220.86	147.8	363.89	345.91
Ndst1	9.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	3.99	0.0	0.01	0.78	0.14	0.0	0.0	0.0	8.08	0.0	0.63	4.42	0.92	7.91	0.0	0.0	0.0	0.0	0.0	14.56	0.81	0.0	9.64	5.38	0.0	25.68	0.04	4.24	9.5	1.71	10.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	19.93	3.71	0.0	20.4	9.24	0.46	0.0
Npy	138375.8	64781.64	173305.25	115124.65	0.0	0.0	43922.94	108594.8	96206.73	82245.2	14635.6	45335.24	125016.83	0.0	0.0	0.0	0.0	132042.44	105008.15	149629.49	134232.96	130357.56	105498.11	116117.28	120987.76	122165.94	132052.33	122154.33	122963.43	126501.28	117863.77	98464.67	102118.34	130527.91	173863.58	101365.79	126989.03	80801.23	166048.87	115420.41	191162.16	108906.97	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	110523.31	101137.64	151963.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	145032.54	180453.32	92572.95	128781.07	8484.11	7487.26	137945.15	48908.54	95298.15	137580.94	65503.76	120620.2
Pja2	288.69	255.49	325.21	366.52	0.0	0.0	554.82	652.84	408.06	403.66	218.16	607.23	566.83	65.59	0.0	0.0	0.0	439.49	342.88	395.31	462.24	409.0	363.35	493.1	382.66	382.84	671.13	399.34	420.4	397.24	283.52	410.24	142.88	300.42	233.68	276.94	424.67	376.92	375.63	338.92	280.31	568.81	93.22	377.74	368.79	295.86	291.16	249.62	450.37	273.65	278.41	0.15	1.78	0.27	0.0	106.74	3.39	0.31	0.0	0.0	0.0	0.13	383.76	355.14	294.12	455.53	186.96	628.16	517.72	568.26	207.94	303.26	370.45	163.42
Pnck	131.48	574.49	212.08	695.44	0.0	0.0	457.27	383.76	260.28	794.74	1.35	751.72	109.49	0.0	0.0	0.0	0.0	259.88	305.96	419.12	163.48	199.38	291.56	265.85	192.71	588.16	432.92	395.49	437.21	343.44	243.3	191.74	600.54	295.81	230.52	281.03	360.63	347.37	517.18	330.05	486.89	489.08	341.14	467.11	518.95	338.87	321.79	180.96	660.65	334.97	867.45	0.0	0.0	0.0	0.0	0.0	0.82	0.0	0.0	0.0	0.0	0.0	328.88	229.08	425.45	277.0	185.57	653.97	194.16	610.69	350.56	291.98	708.26	691.63
Polb	94.31	189.26	61.85	343.16	0.0	0.0	538.26	77.1	128.47	216.9	340.11	195.41	185.42	1.92	4.05	0.0	0.92	118.71	58.76	106.58	164.84	280.93	312.7	1.71	108.01	89.79	170.42	122.93	208.07	112.76	225.44	183.22	284.62	135.0	130.12	89.99	45.8	202.31	102.63	42.79	53.64	97.83	423.75	226.05	105.12	125.96	0.0	123.21	204.9	51.31	0.0	0.0	0.0	3.93	0.0	0.0	0.0	1.55	0.0	7.69	0.57	0.0	53.97	162.26	100.86	98.89	26.55	0.0	106.58	135.01	176.66	71.23	142.94	151.39
Prdx3	341.03	177.27	239.42	255.8	21.42	1.31	11.87	167.47	231.25	285.35	1.39	445.85	557.33	0.0	0.0	0.0	0.38	426.43	210.61	408.13	202.09	169.83	285.95	214.85	346.8	333.32	368.8	402.76	481.8	498.01	616.35	407.46	276.03	408.24	132.16	308.65	711.2	652.28	256.23	181.98	97.99	384.66	1027.42	234.85	345.72	185.89	449.56	285.31	263.06	210.01	671.3	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.7	0.0	0.0	0.0	289.8	370.24	223.38	283.44	205.23	744.66	494.33	152.22	348.49	115.35	205.7	423.59
Psma1	214.03	359.54	211.93	385.31	0.41	0.0	199.5	80.5	168.68	641.48	0.81	577.19	196.73	0.73	0.0	0.0	0.0	253.11	370.69	141.01	248.1	252.67	431.6	78.13	314.65	256.72	340.26	229.98	152.17	168.54	372.69	292.15	121.83	192.12	313.72	191.27	505.12	442.71	246.28	397.99	238.7	345.64	782.67	148.56	223.06	266.96	234.62	471.72	323.08	110.09	291.43	1088.78	0.51	0.0	0.0	339.25	0.0	0.38	0.0	0.0	0.0	0.0	97.93	354.72	377.75	161.29	416.63	609.48	182.87	133.83	239.74	242.48	665.54	390.72
Psmc3	126.73	208.82	398.28	55.92	0.0	0.0	537.1	215.68	172.69	544.13	0.61	959.08	317.08	0.0	0.0	0.0	0.0	263.35	304.17	393.23	185.92	21.88	528.02	146.65	155.27	201.74	103.47	121.24	195.67	258.85	257.37	135.05	67.08	74.05	61.1	225.47	392.44	205.72	217.65	213.04	42.91	94.52	124.83	77.04	182.39	163.71	177.91	66.39	145.95	80.35	97.88	0.42	0.0	0.0	0.0	50.26	0.0	0.0	86.51	0.63	0.0	31.88	397.07	45.3	187.91	297.57	30.37	319.14	208.51	247.1	263.83	281.14	477.18	236.33
Rab3a	125.32	225.42	203.31	352.77	0.0	0.0	105.53	167.16	878.75	1386.25	0.0	369.94	283.96	0.0	0.0	0.0	0.0	296.03	267.67	72.42	202.87	240.62	160.74	217.99	128.36	425.92	142.12	471.84	484.93	593.28	269.64	152.36	144.17	110.88	232.98	268.52	210.0	196.99	102.44	115.19	151.7	376.82	195.59	85.51	297.25	131.87	113.91	41.47	77.81	90.2	115.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	210.88	102.26	14.05	493.75	211.89	488.23	216.1	368.63	138.39	10.5	188.58	265.02
Rraga	152.89	112.08	46.57	205.86	0.0	0.0	239.61	63.48	122.29	6.8	0.0	95.65	120.52	0.0	0.0	0.0	0.0	130.0	134.58	53.53	49.39	198.05	227.09	77.99	73.84	259.61	148.83	323.05	291.67	178.13	246.13	60.68	111.36	71.29	65.04	69.81	82.4	43.24	62.86	58.35	18.7	108.32	205.62	211.68	110.51	23.29	27.44	45.27	81.04	74.59	130.2	14.54	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.0	212.66	109.31	45.74	184.63	21.01	222.19	124.52	73.15	26.43	126.3	14.39	236.49
Sae1	88.78	143.14	131.87	125.69	0.0	0.0	215.93	78.67	53.15	408.83	0.0	184.51	93.76	0.0	0.0	0.0	0.0	108.93	115.34	113.14	0.19	48.73	79.73	95.11	227.92	140.84	137.87	74.97	125.21	49.41	101.18	57.28	195.98	312.91	3.22	5.28	183.78	261.65	56.97	48.69	5.18	82.68	88.37	1.51	49.99	137.72	52.21	62.92	91.65	45.37	81.53	0.0	0.0	13.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	107.96	147.49	67.43	102.92	0.0	286.8	80.19	132.61	37.64	29.69	206.23	78.15
Snord116	0.0	6.43	6.02	14.63	0.0	0.0	4.41	8.56	0.0	6.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.94	3.3	1.42	3.17	8.88	14.34	12.85	2.97	4.45	14.05	2.5	7.02	3.68	2.82	2.94	11.3	0.0	7.38	5.66	0.0	15.21	6.1	0.0	4.03	15.73	6.45	11.58	11.77	2.54	2.69	9.96	4.31	2.13	2.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	7.66	0.0	16.54	12.13	8.52	1.71	14.21	8.48	5.74
Snord116l1	0.0	6.43	6.02	14.63	0.0	0.0	4.41	8.56	0.0	6.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.94	3.3	1.42	3.17	8.88	14.34	12.85	2.97	4.45	14.05	2.5	7.02	3.68	2.82	2.94	11.3	0.0	7.38	5.66	0.0	15.21	6.1	0.0	4.03	15.73	6.45	11.58	11.77	2.54	2.69	9.96	4.31	2.13	2.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	7.66	0.0	16.54	12.13	8.52	1.71	14.21	8.48	5.74
Snord116l2	0.0	6.43	6.02	14.63	0.0	0.0	4.41	8.56	0.0	6.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.94	3.3	1.42	3.17	8.88	14.34	12.85	2.97	4.45	14.05	2.5	7.02	3.68	2.82	2.94	11.3	0.0	7.38	5.66	0.0	15.21	6.1	0.0	4.03	15.73	6.45	11.58	11.77	2.54	2.69	9.96	4.31	2.13	2.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	7.66	0.0	16.54	12.13	8.52	1.71	14.21	8.48	5.74
