	Calb2_tdTpositive_cell_58	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_28	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_7	Cux2_tdTnegative_cell_10	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_30	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_41	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_68	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_44	Htr3a_tdTpositive_cell_48	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_6	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_16	Ndnf_tdTpositive_cell_20	Ndnf_tdTpositive_cell_21	Ndnf_tdTnegative_cell_1	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_13	Ntsr1_tdTnegative_cell_14	Ntsr1_tdTnegative_cell_26	Ntsr1_tdTnegative_cell_27	Scnn1a.Tg2_tdTnegative_cell_16	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_8	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_96	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30
Gm4724	0.32	8.29	0.0	12.91	23.07	2.27	0.06	0.0	0.0	0.0	0.0	0.0	12.4	17.47	2.78	8.79	0.0	7.41	19.54	38.63	21.04	23.07	13.78	20.03	0.24	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	6.19	5.76	15.98	0.27	6.16	0.01	0.03	0.0	4.55	5.5	0.17	11.93	0.0	2.84	13.27	0.0	0.37	0.47	11.48	0.0	0.12	11.84	6.27	12.37	0.0	11.85	0.11	0.0	5.6	4.55	0.54	1.09	2.37	0.22	12.18	0.0	0.0	0.0	8.44	0.0	2.39	3.11	5.1	0.82	0.0	0.0	27.87	4.29	0.67	0.72	0.0	18.35	8.42	24.16
Nars	0.0	364.74	484.9	780.53	470.07	365.75	375.45	277.6	0.0	0.0	0.18	78.96	854.69	637.32	0.0	293.13	0.0	415.51	380.39	467.87	922.77	315.98	409.53	98.35	525.04	0.0	0.17	215.96	0.0	175.89	0.0	0.18	0.23	827.18	807.84	200.38	349.94	456.98	599.8	607.84	399.68	366.72	309.16	261.35	380.41	183.99	443.64	460.57	549.21	396.13	390.2	459.87	599.5	249.51	621.62	598.33	268.5	229.94	480.35	274.92	367.6	297.51	495.37	508.24	374.51	290.55	435.27	440.29	0.0	0.0	0.0	0.0	38.27	201.82	607.0	662.07	242.62	839.91	456.53	357.86	280.6	143.85	442.26	211.26	525.41	370.12	1313.47
Ndrg4	415.23	871.85	876.6	1252.43	1427.11	1072.41	130.77	716.37	0.0	0.0	0.17	0.0	1422.06	1950.07	0.32	1579.81	0.0	1585.72	1798.16	1913.6	1496.87	3166.04	1075.17	1612.59	571.77	0.0	0.0	0.0	0.0	871.27	0.0	1.92	0.0	1069.69	1279.17	906.67	693.97	758.61	1429.63	927.67	912.81	945.49	985.11	1256.67	869.02	1715.84	2179.26	2113.78	784.5	940.51	964.18	1899.82	2258.5	741.05	2171.66	633.32	1135.89	600.75	1255.29	470.11	722.71	1209.81	1169.29	1074.51	888.24	1035.58	1450.54	583.92	0.0	575.02	0.0	0.0	0.1	1348.9	1082.32	1938.72	660.41	746.05	1177.69	1025.73	906.58	1546.36	767.51	993.09	1621.46	801.6	1723.26
Npy	0.0	138375.8	56190.59	64781.64	9073.51	173305.25	1.46	115124.65	0.0	0.0	0.0	0.0	108594.8	96206.73	10.18	82245.2	0.0	68542.73	67463.47	6792.77	57444.26	77711.12	125016.83	59230.28	0.0	0.0	0.0	0.0	0.0	80627.8	0.0	0.0	0.0	132042.44	105008.15	149629.49	134232.96	130357.56	105498.11	116117.28	120987.76	122165.94	132052.33	122154.33	122963.43	126501.28	117863.77	98464.67	102118.34	130527.91	173863.58	101365.79	73168.9	126989.03	80801.23	166048.87	115420.41	191162.16	108906.97	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	110523.31	101137.64	151963.58	0.0	0.0	0.0	0.0	0.0	145032.54	28240.98	13964.96	180453.32	92572.95	128781.07	8484.11	137945.15	32250.58	95298.15	137580.94	65353.97	120620.2	68416.93
Rph3a	0.21	51.39	45.65	119.48	145.78	76.82	5.61	0.19	0.0	0.0	0.09	0.0	33.76	282.63	5.94	269.57	0.69	185.83	325.57	132.14	157.36	62.75	254.99	124.73	0.0	0.09	0.0	0.0	0.0	100.27	0.0	0.0	0.15	34.97	27.77	65.1	41.32	73.52	31.15	47.66	37.81	74.55	12.36	55.13	20.7	46.62	26.4	118.7	0.32	8.71	51.57	4.68	134.3	14.26	60.03	37.75	68.53	41.54	145.65	0.77	29.39	18.09	29.04	41.97	61.85	26.99	29.81	14.53	0.0	0.23	0.43	0.0	0.14	76.8	7.62	80.2	11.54	46.94	41.22	144.49	75.04	53.41	47.14	43.48	141.84	32.02	81.93
Rufy3	0.0	113.03	190.59	210.97	327.53	187.21	12.41	203.88	0.13	0.48	0.0	0.12	302.96	150.64	0.0	223.14	0.0	267.59	322.6	370.72	106.12	322.16	329.79	228.34	51.65	0.0	0.0	0.0	0.0	280.36	0.0	0.0	0.16	137.18	87.88	117.27	74.84	238.1	196.14	124.12	167.64	253.09	74.92	128.06	160.98	169.73	241.34	155.84	62.45	132.01	157.23	315.08	211.53	73.62	302.28	144.26	86.56	64.52	203.18	26.89	166.08	173.36	141.61	82.56	202.92	88.11	118.4	191.72	0.0	0.0	0.0	0.0	0.21	74.99	66.5	275.73	76.54	183.81	131.31	419.51	155.03	177.92	92.47	109.32	172.85	195.11	170.94
Scn2b	1.81	597.12	643.88	668.61	964.63	404.61	310.98	668.06	1.05	0.24	0.63	1.55	1041.87	854.27	4.38	535.45	1.44	970.09	984.23	1117.1	609.34	756.64	594.0	836.1	493.74	0.69	271.36	0.2	0.39	429.5	0.0	0.71	0.93	571.63	508.97	430.86	395.67	538.23	477.22	545.92	731.12	445.31	728.59	762.72	629.16	548.15	613.57	643.53	751.96	734.12	497.87	883.54	794.65	631.79	769.59	507.09	922.54	489.16	1018.03	186.96	450.16	578.91	679.34	713.46	574.58	691.4	523.62	470.57	0.5	5.54	0.96	1.42	1.24	707.65	850.4	1265.36	591.76	586.26	598.07	1004.98	444.04	499.3	485.79	475.03	617.11	401.74	647.05
Stambp	0.0	130.75	58.81	135.89	4.53	1.6	0.0	69.16	0.0	0.0	0.0	0.0	177.6	23.21	0.0	24.03	0.0	63.96	4.45	6.93	171.49	154.68	77.23	119.87	0.0	2.8	1.67	0.0	0.0	0.0	0.0	0.0	0.0	81.44	95.98	17.43	0.0	72.26	102.42	107.31	34.05	0.0	0.0	31.81	23.33	2.27	6.19	0.0	48.49	80.03	0.0	67.64	11.8	30.41	66.94	0.0	35.0	56.94	107.73	0.0	0.0	36.18	87.33	118.27	43.5	108.79	54.65	30.15	0.0	0.0	0.0	0.0	0.0	6.01	0.08	42.99	58.38	106.25	40.51	169.82	21.54	14.2	6.61	49.01	23.91	9.26	19.1
Syp	0.0	394.35	264.73	271.23	259.75	504.38	267.7	268.08	0.0	0.0	0.0	0.0	574.21	716.93	0.37	883.97	0.0	618.46	626.41	475.03	478.69	154.37	203.67	411.77	78.45	0.0	0.0	0.0	0.0	236.75	0.0	0.0	0.0	279.48	482.78	423.29	233.55	357.64	211.39	259.95	366.53	273.06	353.18	358.08	361.65	299.35	283.21	364.19	241.18	346.52	433.22	405.97	261.52	253.8	394.08	220.61	359.99	235.57	591.06	84.63	228.54	303.58	221.95	112.69	235.16	370.15	333.51	169.14	0.0	0.0	3.12	0.0	0.23	237.3	617.79	268.33	348.86	415.53	274.52	398.49	209.77	343.89	281.12	259.66	402.56	368.79	672.52
Unc80	0.0	4.51	18.14	2.97	29.72	29.99	0.27	11.41	0.0	0.0	0.0	0.0	23.46	19.02	0.03	8.32	0.0	15.82	31.37	18.56	24.39	16.6	37.37	8.13	0.31	0.0	0.0	0.0	0.0	7.73	0.0	0.0	0.0	12.96	4.83	4.08	0.02	16.84	6.33	0.28	0.75	7.2	16.96	2.84	16.9	4.82	13.1	4.92	12.47	0.55	10.96	15.06	28.11	11.57	25.78	21.72	26.9	0.26	1.36	0.07	0.19	0.0	9.91	0.04	0.83	7.39	6.12	0.86	0.0	0.0	0.0	0.0	0.0	6.08	14.9	1.64	1.83	31.74	10.96	11.89	10.12	2.48	6.86	15.8	2.45	0.1	101.01
Zdhhc6	0.0	99.25	28.83	158.97	130.11	47.82	0.0	57.56	0.0	0.0	0.0	0.0	156.05	0.0	0.0	0.0	0.0	139.89	0.26	0.0	128.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.07	0.0	138.78	0.0	1.61	0.0	0.0	0.0	36.09	31.41	0.0	0.0	0.0	0.0	0.0	0.0	94.15	196.48	0.0	0.0	58.99	135.42	62.45	98.04	0.0	0.0	93.72	51.44	72.88	64.57	30.05	55.87	94.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.16	79.84	0.94	108.13	89.11	0.0	0.0	0.09	48.88	99.5	21.59	105.26
