	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Cux2_tdTnegative_cell_6	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_56	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_23	Scnn1a.Tg3_tdTnegative_cell_21	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_80
Atp5l	1829.82	1221.06	1805.31	827.72	2457.93	3856.07	253.9	921.22	1180.84	1120.52	808.23	818.07	1041.25	803.05	1055.07	1019.92	964.13	1046.07	793.4	1162.91	1532.07	1300.55	862.34	1173.24	862.83	6.79	0.69	0.0	438.38	1320.08	1270.45	1147.74	1131.04
Atp5o	970.88	2566.05	3018.61	1322.01	2618.4	3231.6	0.63	980.26	1435.91	1831.12	1003.53	1205.72	1322.14	1142.07	1358.24	779.28	1240.74	1458.64	1355.93	1893.37	1534.86	1346.15	1129.28	1126.09	1131.7	15.85	1.32	0.0	0.0	1471.97	1321.59	1648.61	1644.45
Bud31	174.65	56.43	0.38	58.89	306.13	357.83	0.0	0.0	34.3	0.0	145.68	87.9	41.22	70.45	115.82	43.28	94.28	86.02	37.18	0.0	108.82	74.8	0.0	0.0	10.46	3.13	27.72	0.0	0.0	58.09	151.2	62.8	71.27
Ccdc56	468.56	984.36	1980.01	431.32	1073.4	2593.05	129.87	571.32	698.07	591.06	666.95	863.14	568.54	584.5	466.65	905.28	648.24	393.82	482.07	613.83	496.98	828.0	638.96	611.89	535.26	6.24	0.95	1.37	0.0	529.89	609.71	483.28	878.52
Chgb	191.39	382.54	338.52	69.12	142.92	549.82	0.0	199.67	136.1	79.44	5.23	159.35	227.17	203.86	93.65	190.95	91.8	127.46	80.99	13.34	131.64	123.04	110.76	298.34	47.94	8.08	0.71	0.34	0.0	202.1	96.6	222.98	109.03
Cox17	411.02	418.27	629.75	208.25	572.85	347.41	74.03	156.32	293.55	92.91	130.07	222.88	455.0	184.25	133.42	250.83	430.72	498.1	197.81	304.74	287.85	176.74	158.88	290.8	392.06	340.46	0.83	0.0	0.0	218.64	196.63	312.55	207.89
Cox4i1	1775.03	3110.98	3329.11	1731.1	2911.79	2540.26	995.3	1079.55	2273.25	971.45	748.03	1897.06	1220.11	1335.44	1458.68	637.25	1989.0	1727.34	1793.26	2003.39	1523.43	1930.83	1483.76	1019.16	1366.32	34.8	2.02	0.0	611.92	952.91	1587.35	2159.66	1605.91
Cox6b1	1272.61	2036.14	2355.88	937.38	1397.99	4033.25	5.05	885.41	1211.24	765.14	829.6	1269.92	871.48	716.38	805.82	740.2	1677.08	1109.85	746.78	1879.91	1070.98	697.83	1046.6	1197.61	1106.4	27.63	1.4	434.92	0.0	1090.56	653.28	1364.88	1392.71
Cox7a2	664.53	1055.06	1233.02	550.43	789.03	1321.28	0.0	318.42	586.45	141.55	349.64	341.64	424.24	182.11	508.37	628.25	256.65	473.83	328.47	432.97	466.15	484.0	406.83	461.15	519.34	13.31	0.45	0.0	0.87	473.46	468.39	509.83	405.8
Cox7c	1359.35	1336.96	1162.57	717.58	1660.18	2487.23	575.99	574.21	741.45	858.24	426.89	986.2	491.28	641.74	641.82	555.73	1114.05	838.49	927.22	849.21	941.18	850.14	736.35	745.33	785.56	15.8	480.46	827.89	378.57	753.32	867.39	912.49	795.57
Cstb	455.57	498.73	525.17	203.87	640.35	874.94	0.83	246.99	290.72	271.41	244.89	435.13	157.08	149.95	295.8	266.41	187.95	322.71	364.5	826.66	248.95	225.87	378.51	180.22	94.94	3.78	0.0	0.83	0.0	252.63	246.59	307.5	403.11
Cyb5	520.05	422.25	911.06	159.65	699.86	1182.06	0.0	187.25	330.12	412.07	415.68	286.88	34.22	100.02	191.76	72.59	153.34	255.33	208.56	176.89	379.58	172.73	122.51	289.71	217.17	4.47	1.36	0.0	27.07	241.49	828.65	257.18	413.29
Dpm3	75.9	241.16	365.47	88.76	193.61	294.27	0.0	12.21	101.73	0.0	155.19	89.34	146.17	136.08	83.64	71.16	59.63	125.59	0.0	97.25	93.17	47.9	81.82	82.64	55.91	0.0	0.0	0.0	0.0	51.82	40.12	17.49	157.45
Fkbp3	1228.19	1528.69	1611.47	860.24	1340.54	2250.8	0.0	657.91	1042.51	888.28	558.4	934.13	1075.38	643.47	1311.93	882.85	1140.64	713.62	874.49	1205.88	1025.14	1054.46	618.43	820.34	942.79	7.8	1.11	0.0	624.85	988.24	1167.61	832.34	1022.01
Flywch2	16.89	11.78	162.09	24.4	184.09	189.29	0.0	11.62	149.6	60.3	0.0	22.1	40.89	76.69	35.86	7.73	4.55	0.0	38.19	0.0	0.0	2.16	33.14	0.0	29.92	0.0	0.0	0.0	0.0	32.5	13.51	38.44	39.67
Fxyd7	0.0	72.74	523.82	42.04	175.5	478.71	0.0	106.29	65.2	53.75	0.0	80.31	32.26	58.5	63.1	36.92	0.0	52.03	70.86	1.48	70.45	122.78	42.42	103.16	30.01	4.98	0.0	0.0	0.0	227.97	81.27	79.6	100.29
Gm561	92.03	235.59	353.32	28.29	556.6	479.09	0.0	25.53	91.1	103.85	121.83	101.65	69.48	135.22	56.35	123.37	82.17	136.57	125.81	162.96	59.55	57.61	61.33	75.37	192.93	0.0	1.56	0.0	0.0	86.74	105.54	36.12	155.13
Gpx4	358.35	918.11	1223.85	756.5	1833.97	1564.86	776.41	530.55	849.56	348.49	734.31	809.41	683.68	763.96	808.78	821.09	746.58	738.59	589.53	1202.94	473.81	659.56	495.41	596.27	591.8	7.02	1.43	20.59	4.12	861.3	573.98	731.03	653.45
Gstz1	107.07	52.95	1.15	63.97	163.2	439.41	0.0	248.3	0.13	43.98	68.08	96.37	66.87	74.63	0.18	62.76	56.04	46.33	0.0	151.83	94.9	66.77	1.3	31.45	43.39	0.0	0.41	1.16	0.0	181.6	132.23	46.68	63.58
Higd2a	131.94	369.82	932.34	223.92	220.04	735.45	0.0	182.01	185.51	102.21	209.6	270.43	359.26	154.11	238.78	381.81	293.64	248.49	318.41	736.92	424.02	191.03	104.09	325.92	167.66	3.71	0.0	0.0	0.0	364.86	225.16	254.75	164.07
Hint1	834.94	1914.11	2045.35	952.99	2186.98	1642.27	0.87	786.24	1161.37	1194.42	1202.61	1209.73	1078.01	1044.14	749.02	1521.88	1233.64	1575.04	1126.41	1893.56	963.31	1163.44	1018.05	768.07	1178.12	21.86	1.81	0.0	0.0	1277.28	1131.07	1106.52	1302.23
Kcnab2	6.62	15.72	88.75	10.77	0.0	89.09	0.0	1.49	7.66	0.72	0.05	0.27	3.68	21.79	0.24	0.14	19.29	0.0	14.9	0.79	0.87	5.52	0.65	3.63	0.21	0.29	0.09	0.0	0.0	0.32	1.58	21.86	18.86
Mdh2	1063.95	2927.46	2965.82	1644.45	2228.49	1817.56	239.14	1323.86	1406.7	1292.13	1628.87	1674.78	1519.56	940.49	1394.17	1480.69	1594.13	1215.6	1613.95	1722.53	1706.78	1630.38	1129.53	1452.75	1513.01	1259.09	1.54	0.74	0.0	1961.85	1190.3	1521.59	1726.62
Mea1	516.45	823.32	952.02	378.07	592.59	1884.37	23.52	360.08	323.68	351.58	391.95	429.76	324.63	349.78	432.83	445.76	425.21	577.11	260.49	0.29	573.47	739.03	669.37	562.93	523.67	263.03	0.8	0.58	152.08	540.92	545.07	635.67	334.86
Minos1	66.33	122.66	146.8	41.15	70.84	184.48	0.0	46.83	62.56	25.29	26.54	55.9	60.04	64.29	48.32	63.26	82.53	44.75	47.39	81.55	116.37	23.79	61.36	46.24	63.87	22.3	94.97	0.18	0.0	58.24	33.44	66.45	136.81
Mob2	0.0	139.08	89.71	0.0	101.01	121.01	0.0	24.12	80.47	0.0	133.28	96.9	96.11	73.7	0.0	37.08	0.0	0.0	128.57	125.51	135.51	103.69	48.48	64.73	0.0	1.47	0.23	0.32	0.0	43.13	50.14	0.0	59.77
Mrps21	343.99	630.81	1013.98	202.54	958.55	1813.8	346.62	299.76	251.25	130.56	289.11	432.72	302.76	208.61	206.91	111.76	380.98	281.29	264.73	170.07	325.12	298.99	256.47	429.86	173.21	14.75	0.0	0.0	0.0	183.25	145.0	227.26	386.98
Mrps33	299.39	580.27	267.27	62.61	368.27	867.32	0.0	235.69	300.82	320.14	349.93	85.71	244.96	93.67	174.57	224.48	235.09	259.13	396.06	525.09	305.72	363.23	243.22	319.95	164.3	5.86	0.0	0.0	288.7	408.99	158.21	140.31	279.22
Mrps36	374.85	498.49	560.29	118.08	471.25	453.19	0.0	260.45	192.79	92.29	102.14	293.48	399.98	111.64	148.3	237.92	327.77	360.41	223.98	186.28	169.08	210.44	42.94	189.94	119.93	4.73	0.0	0.0	17.58	204.58	146.0	134.42	220.56
Ndufa11	208.23	392.2	235.34	225.82	257.25	318.35	88.87	163.37	197.15	157.68	216.86	142.7	160.5	130.07	125.84	204.2	166.33	196.79	142.3	288.41	122.97	150.68	70.71	233.41	163.39	3.16	0.24	0.0	112.74	186.99	109.76	155.51	190.74
Ndufa12	834.72	2306.62	1622.81	551.29	1330.15	1575.01	0.0	629.87	466.16	518.24	762.0	631.82	658.7	646.26	646.45	875.51	676.6	758.55	289.6	1005.2	646.2	577.71	499.14	314.82	382.98	8.19	0.62	0.0	529.42	796.45	687.36	678.7	850.8
Ndufa13	485.43	953.88	618.43	261.33	834.51	709.01	0.0	308.39	271.63	312.73	275.26	267.7	341.46	286.9	348.69	472.08	334.11	449.68	302.45	478.41	327.31	293.19	212.12	202.99	364.7	231.5	423.33	0.0	0.0	296.2	297.68	393.6	392.27
Ndufa3	1417.42	2619.69	2903.49	1489.84	2522.39	3232.85	721.44	1255.66	1489.98	1170.83	1192.58	1252.75	1161.4	1090.09	1269.27	1046.01	863.84	1365.6	684.38	2111.93	1210.33	1080.77	1305.04	1106.07	1316.89	17.7	751.53	0.0	1233.48	1790.21	1084.11	1439.69	1431.75
Ndufa4	2798.68	3951.29	4051.16	1829.27	4162.49	4164.07	1.04	1594.96	1948.86	2063.77	1636.71	1606.29	1862.0	1653.48	1748.91	2352.67	2100.94	2075.27	2214.92	3043.94	2382.71	2368.06	2048.43	2382.36	2228.89	495.73	3.6	1.04	559.1	2326.37	1906.2	2109.0	2253.12
Ndufa5	839.7	1140.73	1425.45	446.26	966.5	1741.89	0.0	750.68	646.24	608.65	804.09	541.75	449.16	511.39	469.71	742.27	518.05	861.52	779.25	950.64	758.72	887.43	514.22	635.3	589.57	14.67	0.0	0.0	0.0	647.52	406.83	506.84	757.09
Ndufa7	715.54	868.39	851.97	624.96	1960.89	1841.5	0.0	477.7	168.71	431.33	432.59	474.83	409.25	500.94	657.72	748.86	629.06	542.72	564.45	1477.79	541.51	760.25	642.1	515.49	513.14	7.28	0.0	0.0	0.0	441.9	326.9	964.11	998.22
Ndufb4	758.13	1211.31	1339.03	579.64	1364.72	1539.92	0.0	482.64	782.33	404.54	684.43	946.86	633.98	613.65	654.86	877.25	716.11	1013.63	706.02	457.86	564.84	840.03	385.63	815.24	982.33	10.4	1.58	0.0	0.0	918.69	895.66	842.8	781.08
Ndufb6	319.42	1271.15	1054.46	718.29	846.09	977.76	0.0	325.91	359.25	768.7	476.96	604.83	376.14	441.64	283.65	413.55	496.38	269.21	401.5	402.73	371.32	662.98	489.05	392.31	345.39	10.81	0.0	0.0	0.0	266.93	445.97	692.35	673.74
Ndufb9	985.85	1854.89	2596.9	487.98	1406.82	3130.04	0.0	537.77	656.26	897.71	769.19	628.77	589.25	748.65	826.54	998.82	907.48	676.26	925.11	1603.42	609.09	702.8	335.17	745.94	597.08	19.09	1.59	0.0	0.0	855.58	551.33	578.32	1067.3
Ndufc1	609.45	1152.29	939.49	428.99	1312.41	1375.67	384.17	289.32	546.8	367.83	557.32	657.53	426.97	536.73	706.06	460.9	798.63	753.38	420.16	812.3	612.23	635.86	503.5	497.29	422.47	1226.28	0.0	1.26	38.78	512.14	659.74	564.62	561.78
Ndufs4	206.28	206.33	220.2	135.17	76.97	516.2	0.0	116.14	157.99	71.27	161.64	94.18	92.27	73.57	85.88	44.34	169.42	112.15	176.85	337.85	160.38	238.08	22.92	196.47	107.2	2.79	0.56	1.16	0.35	163.2	115.92	157.41	96.11
Ndufs6	515.3	545.11	1132.0	616.68	1119.44	767.55	0.0	471.44	636.55	605.04	461.3	395.91	420.34	346.97	496.48	302.71	527.09	379.32	444.88	949.42	345.55	374.72	625.58	392.93	308.1	11.49	0.0	0.0	0.0	320.54	262.31	517.99	518.67
Ndufs7	627.93	1155.75	1680.97	347.68	1406.48	1387.29	0.64	447.59	602.66	511.32	650.48	429.54	294.89	740.2	515.93	372.54	557.18	609.77	582.38	389.68	539.16	348.01	647.55	564.33	544.4	11.66	2.69	1.94	0.0	815.31	336.23	787.16	656.52
Ndufv3	431.62	756.2	1077.3	499.46	1107.82	1267.38	0.0	263.38	424.41	350.49	111.26	331.88	350.03	396.74	427.67	486.78	444.53	384.97	439.24	867.58	240.25	256.99	321.52	254.54	336.44	0.0	0.0	0.0	571.22	551.17	326.39	451.5	463.06
Nme3	34.88	64.81	222.21	51.35	156.3	199.34	0.0	0.0	36.56	0.0	41.86	0.36	0.0	130.63	79.66	45.84	0.0	40.48	25.83	0.0	53.79	134.31	82.27	60.86	56.64	0.0	0.47	0.0	0.0	58.71	43.84	13.68	43.46
Nme7	158.0	233.3	264.43	129.08	234.85	232.65	0.48	74.69	152.05	90.1	72.75	132.96	92.55	107.2	73.87	105.51	66.62	104.38	66.92	94.49	121.5	86.01	61.32	84.97	62.54	7.85	0.84	0.84	18.81	188.36	87.72	96.42	103.42
Npy	138375.8	56190.59	359.05	173305.25	40775.82	1.6	0.0	132042.44	149629.49	134232.96	130357.56	122165.94	132052.33	126501.28	130527.91	173863.58	126989.03	166048.87	191162.16	154857.31	134158.33	153405.37	147732.76	141010.39	151963.58	0.0	0.0	0.0	0.0	145032.54	180453.32	137945.15	137580.94
Pomp	692.71	917.96	922.26	493.5	752.75	1676.43	10.68	691.76	325.49	434.23	431.14	600.81	393.23	489.24	694.4	456.39	635.43	586.28	481.47	122.59	709.36	863.12	404.02	631.45	466.54	7.61	0.46	1.34	597.14	514.86	771.73	535.51	879.5
Psmb1	665.99	504.89	1068.1	659.54	1245.02	1536.88	0.0	473.98	566.28	625.79	617.0	855.71	795.57	795.64	706.61	882.26	951.13	658.89	421.77	1032.26	473.37	765.11	730.18	781.59	719.12	8.42	1.36	0.46	0.0	789.12	501.0	953.88	666.29
Psmb6	649.33	819.04	1018.41	673.86	1063.36	1363.15	0.0	806.09	768.56	476.07	471.18	849.43	555.3	614.16	497.36	427.1	708.73	781.5	1065.71	1179.05	562.71	580.9	320.9	576.66	546.86	11.57	50.01	0.0	0.0	640.04	907.19	556.62	642.41
Psmb7	295.59	497.26	745.51	248.96	221.76	1018.33	0.0	60.59	373.93	12.29	207.25	225.38	394.73	297.03	351.9	289.92	426.8	376.08	220.56	0.0	302.04	95.52	311.73	315.86	157.54	430.31	1.38	0.0	0.0	316.15	149.69	244.77	346.9
Ptprs	113.18	138.86	360.98	163.95	295.07	266.78	0.32	67.72	127.75	76.03	120.62	129.06	92.02	125.42	73.19	61.42	100.61	92.56	127.95	155.33	75.68	133.22	76.33	163.45	101.38	26.26	0.23	126.38	65.19	143.02	115.75	153.13	110.81
Rai12	243.86	114.31	154.32	131.56	478.13	335.32	0.66	84.78	108.73	68.95	156.7	131.29	104.09	50.94	97.93	228.97	236.16	53.33	181.07	185.01	53.81	263.65	165.1	56.23	128.06	1.15	0.0	0.51	0.0	99.33	199.42	164.09	193.97
Rpp21	188.25	534.27	439.28	113.28	263.65	923.12	0.0	164.42	134.48	76.88	157.58	152.69	134.32	186.27	195.13	85.45	213.24	30.79	98.54	110.89	107.13	47.97	100.29	127.7	47.58	0.0	0.0	0.0	0.0	144.68	273.06	87.06	288.18
Slc22a17	135.56	144.42	307.91	28.76	109.26	312.47	0.0	109.91	227.3	142.74	49.46	104.93	130.25	33.15	115.03	139.49	57.93	59.16	105.47	31.21	132.1	80.91	29.55	108.26	38.56	265.68	0.0	0.0	0.0	67.22	97.83	127.12	238.57
Ssna1	54.38	1.11	558.4	89.62	247.81	396.91	0.0	48.27	0.29	28.94	203.16	141.42	191.84	49.15	203.35	31.41	174.43	128.64	57.86	201.65	94.72	41.83	181.67	52.14	134.6	3.83	0.0	0.0	0.0	62.98	32.23	126.38	99.64
Tceb2	481.04	858.11	1810.05	863.47	1333.18	2857.0	545.53	513.58	874.88	448.66	531.42	875.16	515.64	703.94	613.04	909.99	641.69	537.27	851.38	689.88	427.24	686.3	744.4	593.27	626.36	18.62	2.08	1.0	0.0	726.8	886.23	842.64	731.45
Tmem85	384.02	849.95	795.49	134.03	913.54	571.45	0.63	430.94	230.62	180.94	95.59	238.24	361.54	314.0	316.96	390.66	372.95	50.53	145.66	439.29	248.4	376.1	123.44	383.88	342.18	3.24	0.0	0.0	0.0	288.13	337.23	256.7	340.07
Tomm5	284.79	368.86	761.65	200.01	748.81	814.66	0.0	55.17	169.12	167.11	248.17	278.85	92.8	78.79	288.38	127.47	249.21	136.16	218.29	399.01	45.91	198.49	243.44	161.11	281.4	1.78	1.99	0.0	0.0	196.03	318.46	114.85	58.68
Tomm6	310.86	273.91	323.46	253.04	348.33	381.71	0.0	263.47	246.35	319.83	307.48	278.98	226.31	237.7	267.14	308.59	311.41	221.22	347.01	536.1	261.43	291.29	248.44	281.5	245.99	3.45	0.7	0.0	45.89	223.88	441.97	381.87	308.43
Ubqln2	33.93	33.68	0.0	48.37	41.44	87.77	0.0	26.48	8.29	0.14	19.18	8.87	19.58	26.8	8.59	4.24	18.12	8.79	0.0	7.68	11.55	18.06	22.4	38.91	18.52	0.63	0.0	0.0	0.0	13.81	30.49	7.54	1.36
Uqcr10	615.41	2031.21	1399.01	682.88	1488.38	2783.78	0.0	732.08	933.97	527.06	532.16	635.2	741.22	825.64	480.64	689.85	792.47	1009.91	1385.51	1519.24	720.01	708.13	722.03	510.24	727.28	1875.38	0.0	0.0	0.0	570.15	444.99	814.86	903.39
Uqcr11	861.96	1600.05	2280.79	1145.57	1442.08	2992.78	438.21	610.3	625.96	792.29	667.31	945.13	508.91	814.51	1097.28	932.76	708.75	529.34	927.01	1239.3	820.64	1186.66	905.8	1165.31	749.79	97.96	2.48	1.19	679.61	919.89	1155.11	1409.07	1076.5
Uqcrq	1360.83	1289.31	2414.05	944.57	1236.52	2638.25	0.0	705.8	571.18	613.69	697.56	799.03	582.46	728.24	834.94	597.83	1207.15	749.19	785.63	1380.7	667.21	963.57	792.38	794.21	589.82	11.67	0.0	1.02	0.0	949.89	859.69	634.88	986.56
Usmg5	1667.14	2437.79	3444.08	889.59	2148.41	4252.94	0.0	1002.74	1739.14	1920.19	956.85	1791.74	1270.16	1302.69	1180.68	1909.99	1538.25	1227.33	1300.12	1155.71	1269.04	1247.36	1117.6	1346.0	1326.47	36.39	0.0	310.57	396.61	1715.13	1466.65	1298.62	1437.21
