	Chrna2_tdTpositive_cell_54	Chrna2_tdTpositive_cell_64	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_43	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_14	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_9	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_26	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_16	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_83	PvalbF.Gad2_tdTpositive_cell_88	PvalbF.Gad2_tdTpositive_cell_92	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_4	Rorb_tdTpositive_cell_47	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg3_tdTnegative_cell_21
Extl2	94.46	225.04	0.0	331.06	0.0	261.69	222.55	339.32	480.52	183.48	359.9	334.86	359.68	393.9	207.55	300.21	283.98	342.49	244.59	111.33	266.45	285.33	151.32	190.97	383.19	422.06	243.31	190.99	131.15	266.71	322.73	295.1	190.61	141.93	250.53	60.02	161.59	423.56	0.0	0.44	0.78	0.0
Fto	6.17	25.27	0.0	95.93	0.0	97.47	29.27	53.7	148.11	208.19	94.02	208.31	30.14	113.89	111.31	277.01	275.14	108.57	26.71	129.07	47.19	110.57	100.81	104.53	49.78	77.58	66.45	10.09	17.05	62.7	137.59	30.96	67.27	123.75	120.42	51.56	39.67	86.08	0.0	19.52	0.83	0.0
Gnl3l	59.07	148.0	3.19	283.19	8.67	215.75	111.56	247.98	255.71	441.32	245.41	360.14	254.66	318.13	241.65	161.71	196.56	273.7	243.8	143.31	203.8	223.49	241.83	205.6	215.6	214.6	250.8	228.24	200.5	129.33	259.66	176.68	241.16	266.56	277.56	57.94	157.18	265.22	3.55	4.36	9.87	1.65
Hspa4l	0.0	0.4	0.0	273.95	112.37	82.02	49.38	84.27	160.56	123.78	92.43	64.02	94.61	87.67	102.41	84.41	89.26	92.6	51.09	58.43	68.79	201.73	62.39	45.7	103.62	273.53	9.44	39.85	44.09	31.59	41.49	67.62	177.87	217.23	93.89	9.1	0.92	106.97	0.0	0.0	0.1	0.0
Kif2a	107.91	161.61	0.12	100.24	1.25	152.83	82.94	111.66	154.65	116.85	95.87	146.36	261.05	62.32	248.08	309.7	93.87	144.53	73.62	170.82	152.58	135.71	41.09	68.96	149.12	92.53	141.25	103.33	167.36	82.71	112.39	124.13	219.94	176.11	203.32	151.99	111.87	108.5	2.86	13.49	9.54	2.43
Kif3a	261.1	62.87	0.79	39.78	37.89	116.3	94.94	123.26	83.04	124.2	126.71	162.34	101.74	117.13	99.47	168.1	126.86	134.06	44.71	136.86	67.62	81.55	120.82	99.35	150.57	68.18	174.68	66.72	118.63	69.97	199.91	67.46	197.71	183.14	231.46	5.56	150.18	165.94	0.24	0.63	11.28	0.0
Ldhb	8970.97	5992.24	5274.92	9309.63	6399.01	10118.08	10894.4	8525.9	8583.06	8302.41	8517.89	9343.6	10165.1	9602.81	7785.08	11261.44	8285.69	10004.69	7834.03	8757.21	9074.03	13571.31	7287.29	12546.17	8513.41	9755.78	7935.39	8904.1	11010.48	8671.45	7724.63	10182.84	7910.47	7830.1	8111.86	5354.38	5854.67	11746.38	3251.53	5217.81	5873.38	2538.41
Mapre2	28.23	105.6	0.0	82.21	1.19	46.5	32.93	97.8	105.04	114.19	125.63	77.26	198.51	96.4	106.96	244.6	17.56	168.81	103.23	34.5	76.2	216.27	49.65	101.94	63.21	129.45	192.37	108.82	95.13	160.45	147.32	96.7	185.39	106.23	245.78	39.69	46.15	147.25	0.0	0.73	66.4	0.0
Napg	29.84	212.39	0.0	43.85	0.34	95.48	105.57	106.82	117.38	119.23	150.38	114.24	199.27	184.15	179.23	127.18	190.25	184.75	59.99	151.5	164.69	78.76	81.83	189.82	132.61	211.44	94.87	165.31	127.32	137.87	101.01	250.87	117.71	124.08	249.01	5.02	71.32	205.35	0.0	38.0	0.74	0.0
Ncs1	22.43	197.05	0.0	637.65	0.44	235.05	160.32	210.53	366.02	558.18	584.19	402.02	671.97	317.18	424.07	867.01	363.66	606.52	222.65	316.59	733.29	591.13	230.56	492.96	588.38	530.11	769.22	380.16	486.03	236.94	506.64	454.34	473.2	558.89	688.72	149.84	38.82	744.2	0.0	0.72	1.27	0.0
Nmnat2	0.64	64.59	0.0	59.02	0.13	79.79	59.8	123.3	228.75	137.94	109.92	60.36	129.26	117.26	240.68	90.54	54.24	174.79	81.26	51.58	46.4	77.21	114.87	191.11	164.76	243.72	132.28	103.85	90.49	52.42	86.02	159.76	203.18	137.25	141.64	6.28	14.3	109.98	0.0	0.74	0.65	0.0
Pafah1b2	0.06	0.07	0.22	18.2	92.68	115.28	92.9	44.41	42.11	103.03	37.62	33.53	126.87	113.56	134.42	58.1	67.92	151.65	1.88	36.37	84.83	99.92	17.01	52.49	84.42	65.78	75.26	59.67	25.5	50.72	67.72	117.77	118.84	78.73	177.93	38.78	1.55	99.05	0.0	0.1	0.69	0.0
Pfkm	188.25	161.74	0.17	282.39	375.48	265.71	238.48	367.32	324.73	184.69	207.29	529.86	410.38	401.38	444.6	634.86	735.09	542.73	379.01	194.94	372.0	520.24	287.1	553.76	397.49	427.62	414.15	144.36	409.91	437.74	291.12	254.13	434.39	339.14	598.09	70.11	96.14	598.02	0.0	286.71	1.54	0.0
Pja1	183.71	171.94	0.22	578.37	1.68	272.1	155.35	257.99	192.44	77.12	320.08	497.07	235.16	386.21	111.43	193.28	399.32	228.99	235.06	219.1	277.37	251.08	116.58	454.93	219.14	261.99	291.14	292.99	327.2	24.69	184.65	112.88	241.67	135.73	373.54	1.92	141.12	223.28	0.0	1.94	2.93	0.0
Ppm1k	38.61	104.63	5.23	343.68	6.03	136.74	58.55	194.98	190.68	190.58	206.11	157.77	280.34	228.9	136.29	189.05	133.99	248.86	99.97	74.14	203.91	242.12	120.68	145.67	208.6	294.95	353.58	176.74	168.43	58.86	245.59	286.28	237.6	267.64	311.36	10.81	23.82	310.33	2.72	278.95	206.34	1.45
Prmt7	0.0	12.66	0.0	80.25	0.8	64.02	30.24	88.07	108.57	9.59	191.8	216.92	116.32	277.13	93.76	187.9	152.81	103.83	211.96	8.07	74.55	183.75	233.87	42.42	104.74	95.29	45.9	64.68	0.0	109.34	62.47	143.77	43.64	2.91	110.49	5.68	0.69	122.46	0.0	0.37	0.33	0.0
Psmd2	0.08	23.02	0.0	365.06	0.6	105.85	210.99	192.18	148.29	176.83	263.36	162.25	192.86	189.04	130.59	208.39	5.17	121.45	9.01	176.33	165.86	234.25	156.2	270.36	139.26	137.87	104.86	21.79	250.45	196.42	77.42	120.49	83.46	284.82	87.89	27.93	52.33	167.95	0.13	6.44	11.44	0.63
Rab11b	83.13	169.04	0.68	104.64	120.33	196.51	114.67	140.47	195.66	141.22	205.87	126.94	189.11	105.92	181.65	106.44	125.51	154.88	176.81	218.37	106.35	106.94	112.32	135.38	106.51	268.34	230.68	110.74	82.08	144.49	140.46	160.72	159.7	134.52	173.93	59.35	103.46	163.65	0.17	1.42	80.82	39.54
Rad23a	76.45	57.93	0.0	58.62	0.29	85.56	66.32	51.27	124.57	42.09	18.83	118.06	57.96	87.94	110.37	47.05	88.54	36.38	14.92	110.18	84.4	26.03	106.61	124.95	114.58	109.29	125.4	146.35	28.54	50.46	51.77	104.41	62.07	100.65	99.29	29.86	0.95	49.16	0.0	0.2	0.36	0.0
Rbfox1	2.08	68.31	0.0	291.85	1.29	125.14	91.05	122.72	222.62	76.61	216.07	171.68	73.23	101.8	204.01	100.93	78.99	141.49	48.44	107.11	53.76	54.96	84.71	122.22	111.57	131.12	86.49	116.76	66.71	154.48	114.48	74.89	100.83	141.51	114.5	24.76	45.7	190.51	0.0	0.2	1.14	0.41
Slc25a12	15.23	158.99	0.0	283.43	1.85	184.5	87.32	106.07	161.56	357.6	252.9	129.14	339.32	123.49	174.17	193.21	81.22	396.41	187.2	245.26	258.36	188.43	140.23	261.43	162.24	181.44	320.64	131.23	59.31	117.42	121.08	86.56	254.09	84.66	152.23	87.31	164.61	416.19	0.0	0.16	0.82	0.0
Slc2a3	3.33	18.14	0.0	57.62	0.15	22.11	45.33	97.38	89.7	60.19	96.47	51.86	74.46	13.69	47.54	26.0	21.5	88.0	187.74	32.51	45.21	61.83	154.0	102.19	80.67	30.7	37.6	35.06	313.05	0.0	37.5	19.84	134.84	4.46	53.23	2.86	14.13	121.57	0.0	0.21	0.74	0.0
Thrb	39.42	43.95	0.0	276.12	0.69	88.38	46.35	86.17	160.47	63.5	94.89	133.52	91.2	37.88	98.98	159.94	98.08	206.61	87.97	28.73	62.59	57.44	29.11	176.74	111.1	202.24	140.77	13.5	29.07	98.28	90.89	38.12	84.28	81.45	78.71	59.29	2.02	242.55	0.0	0.3	0.73	0.0
Tmem170b	9.15	11.96	0.03	182.08	265.83	39.5	7.83	51.59	35.25	83.35	30.09	119.82	45.04	92.51	59.27	107.7	128.82	85.07	13.95	37.31	78.23	52.69	7.9	63.65	81.55	46.39	68.49	81.88	50.49	91.64	88.44	57.39	70.65	39.76	41.5	4.48	7.37	63.15	5.08	0.51	3.15	0.09
Tmem68	96.66	123.02	0.0	65.54	0.46	146.66	78.42	26.36	120.45	278.05	214.21	111.96	156.94	162.84	90.35	63.31	45.27	102.61	0.53	222.77	107.99	29.15	68.98	39.24	47.85	54.22	117.59	0.0	230.06	109.31	66.02	0.17	179.64	135.48	212.22	0.87	115.24	188.67	0.0	0.96	1.13	0.0
Ube2k	52.35	28.96	0.0	108.69	0.24	27.12	89.61	75.61	48.92	30.52	96.25	93.87	50.5	43.6	48.35	139.75	31.58	81.53	3.79	58.8	53.13	58.31	42.61	22.88	39.29	63.92	113.94	50.65	48.05	37.93	51.64	126.84	102.68	22.96	81.82	21.25	31.43	55.61	0.0	0.08	0.98	0.0
Ube2n	263.57	186.24	0.0	393.69	0.31	313.2	228.65	244.16	301.02	487.51	374.9	210.55	351.54	381.09	285.82	276.66	321.48	387.74	341.53	242.95	347.44	282.39	229.24	373.63	200.78	438.26	303.98	197.98	290.83	367.04	200.19	254.75	465.77	171.71	509.17	176.25	240.92	561.87	0.2	1.07	2.09	0.16
Ube2v1	274.26	468.73	5.08	573.57	332.87	544.5	605.65	654.46	460.17	271.67	551.47	360.96	497.37	260.71	439.69	496.71	766.6	722.74	561.19	724.43	550.41	511.63	482.75	694.7	721.91	595.35	599.56	501.5	276.45	737.61	483.84	620.06	937.92	542.41	603.79	56.28	6.1	775.44	0.0	1.93	1.91	0.0
Usp14	57.37	121.4	0.0	284.81	1.46	150.52	101.14	157.02	145.77	137.45	200.47	281.89	195.81	59.6	85.17	233.35	118.03	229.93	267.17	206.4	102.99	161.43	50.82	182.12	217.01	412.37	114.34	191.15	170.08	175.15	173.25	184.23	265.8	159.69	203.36	1.02	196.94	81.73	0.0	0.3	20.29	0.0
Usp5	12.18	18.28	0.0	0.4	576.66	46.48	81.76	44.04	62.9	74.31	30.33	121.43	38.52	98.76	108.69	9.01	120.34	91.24	1.3	0.43	66.89	112.24	59.32	8.08	26.21	78.33	36.57	92.81	83.64	16.18	61.13	31.2	27.08	9.9	52.2	67.81	31.02	20.76	0.0	0.78	0.12	0.0
Wbscr22	0.0	0.19	0.0	122.32	6.42	92.17	81.75	135.05	90.66	73.5	43.1	65.59	50.11	39.01	40.3	0.0	31.34	0.0	0.0	0.0	200.21	47.15	18.8	46.88	134.23	86.8	25.5	54.83	0.0	10.21	0.0	29.9	49.35	42.84	35.14	0.61	76.06	93.28	0.0	0.56	0.74	0.0
