	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Cux2_tdTpositive_cell_19	Cux2_tdTpositive_cell_31	Cux2_tdTpositive_cell_46	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_78	Cux2_tdTpositive_cell_106	Cux2_tdTpositive_cell_111	Cux2_tdTpositive_cell_117	Cux2_tdTpositive_cell_118	Cux2_tdTpositive_cell_120	Gad2_tdTpositive_cell_20	Htr3a_tdTpositive_cell_32	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_23	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Rorb_tdTpositive_cell_26	Scnn1a.Tg3_tdTpositive_cell_13	Slc17a6_tdTpositive_cell_29	Slc17a6_tdTpositive_cell_46	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101
Bhlhe40	2.67	0.0	0.0	131.97	209.32	459.36	293.56	87.3	0.0	237.82	432.34	309.82	249.04	40.0	0.0	0.0	0.47	0.1	0.0	0.16	0.09	0.07	0.0	0.0	0.0	24.72	0.0	0.0	423.78	0.0	0.0	0.0	0.0	2.15	13.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	29.09	816.36	780.23	159.99	103.26	0.0	0.0	0.09	33.0	0.29	0.0
Btbd10	123.08	65.25	0.52	316.32	746.24	945.65	329.02	606.83	470.34	266.4	776.49	358.77	701.3	0.22	152.05	30.12	1.0	57.24	5.91	82.09	221.58	22.44	122.14	37.53	34.03	73.86	43.5	62.66	108.09	38.67	0.93	0.0	20.29	92.21	24.83	1.31	46.96	106.04	0.0	88.72	81.98	1.52	33.45	2.78	86.36	31.57	38.95	194.59	427.78	535.07	681.59	0.9	55.97	54.34	0.86	0.36	0.14
C030046I01Rik	4.3	10.72	5.72	214.12	82.63	309.95	282.69	128.4	145.1	249.66	244.97	210.49	512.67	21.15	85.92	4.81	119.13	7.15	7.55	1.57	2.3	7.76	10.8	39.26	10.17	33.03	0.85	102.32	281.69	59.54	16.73	21.25	95.65	7.95	18.11	51.02	3.43	8.72	4.91	8.33	5.79	5.29	7.15	19.75	81.08	44.32	18.76	335.91	244.26	151.33	152.54	19.93	43.21	45.61	15.64	30.31	12.42
Cacna2d1	0.0	0.0	0.0	150.04	59.99	103.14	108.1	206.72	44.57	73.0	18.09	150.95	51.37	0.45	84.83	0.02	0.15	0.06	0.03	0.04	0.04	0.01	0.01	0.0	0.04	0.04	0.0	0.0	57.71	0.0	0.0	0.04	0.0	0.04	0.04	0.0	0.0	47.01	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	78.36	83.65	58.2	58.3	0.0	0.0	0.0	0.0	0.08	0.0
Cacng3	250.93	253.59	496.0	1444.39	1015.25	1184.05	331.62	1910.04	1213.51	2092.22	1114.67	1125.49	1238.85	0.25	0.0	91.34	409.89	102.17	201.93	197.88	80.36	173.19	147.77	301.77	189.26	432.41	168.32	227.31	779.37	317.94	344.16	352.88	265.66	249.99	213.48	184.7	67.91	0.0	591.34	271.68	262.13	217.5	456.07	229.09	344.68	328.59	299.16	919.49	838.46	875.53	1092.38	282.33	189.32	424.61	496.6	379.5	261.1
Calm1	1249.6	1111.05	1375.78	3195.57	3149.34	3210.59	3859.12	2271.88	3125.96	2946.09	2336.74	3543.56	2739.2	1009.05	1643.85	967.59	1689.13	1150.11	1106.03	919.94	1212.75	1082.56	1272.01	988.98	1031.72	1104.95	983.5	1042.25	2132.91	1148.69	938.03	972.52	819.14	1087.28	863.35	997.04	998.36	1597.46	606.24	1343.51	1438.62	1197.71	1137.59	1216.06	994.18	862.6	1190.91	2224.88	2597.05	3267.3	3044.84	958.47	1096.52	1153.64	950.96	1347.78	1129.52
Camk2b	48.2	7.72	60.25	148.07	139.42	196.56	248.58	219.32	110.11	110.83	216.18	224.98	164.15	18.69	80.67	61.25	8.38	11.14	13.63	5.33	74.42	38.25	18.98	17.41	40.11	2.33	68.66	25.39	133.29	41.51	25.05	5.29	25.65	43.27	14.51	1.02	7.47	122.87	5.6	7.22	44.37	9.8	35.99	25.41	25.5	5.45	1.92	209.68	247.83	140.75	54.6	3.38	9.98	31.18	50.98	41.81	8.19
Cap2	0.0	0.0	0.08	3.74	202.74	262.17	78.01	227.0	441.82	459.43	319.91	227.35	230.44	0.82	23.13	19.43	0.1	2.94	0.03	40.53	0.18	33.55	0.51	9.57	24.1	23.17	19.83	0.0	187.35	4.5	0.0	0.15	11.83	32.68	0.0	10.5	0.0	4.34	0.0	0.07	0.06	41.33	29.16	0.0	25.67	0.0	20.33	58.3	281.95	241.5	209.63	17.6	12.74	0.0	15.69	20.4	0.0
Ccl27b	0.0	0.0	8.68	37.34	104.71	16.92	41.09	51.65	29.23	28.63	45.01	6.93	2.2	0.0	17.1	1.46	0.3	0.03	0.0	1.74	0.0	0.0	0.0	7.16	0.58	0.0	0.0	5.37	18.38	0.27	1.98	0.0	0.0	2.47	0.77	0.0	0.0	3.46	0.29	0.0	2.79	1.65	1.9	0.13	2.24	8.48	4.31	36.09	349.82	4.74	2.15	0.0	4.89	1.61	0.0	7.83	1.88
Cdk5r1	4.46	0.0	6.79	47.14	30.94	71.94	82.42	76.27	40.9	71.48	156.3	67.42	85.58	2.93	19.83	11.08	7.67	4.67	14.83	9.35	1.5	0.02	4.86	7.82	23.51	13.0	5.68	2.04	45.85	4.85	26.01	2.77	0.78	20.36	6.2	7.71	1.9	33.98	4.01	6.55	1.45	2.74	2.1	3.91	18.02	1.56	4.5	55.62	47.43	58.87	70.05	9.42	19.43	1.34	6.9	3.65	16.49
Chgb	191.39	69.12	164.16	203.58	206.91	848.48	387.68	384.9	317.56	597.65	474.38	245.06	415.79	204.75	273.65	199.67	124.87	136.1	79.44	5.23	50.42	122.29	97.22	159.35	227.17	219.51	168.0	203.86	309.3	187.7	198.16	93.65	190.95	91.8	127.46	125.56	80.99	89.24	13.34	118.79	131.64	123.04	110.76	298.34	43.2	117.48	47.94	777.79	228.76	377.37	278.67	202.1	96.6	249.63	222.98	109.03	228.12
Chn1	66.77	178.41	17.03	2338.88	1898.83	2254.39	2344.96	2091.25	2209.73	2639.53	2050.37	2006.82	1947.56	208.42	337.32	202.76	128.62	93.87	123.49	0.96	195.71	83.49	58.73	100.27	156.19	201.9	173.67	174.88	1851.9	125.43	202.19	142.78	8.91	108.62	231.45	167.66	143.05	276.9	102.75	286.22	105.81	149.35	174.08	190.21	178.04	237.37	158.06	1743.71	1932.22	1928.54	2229.73	74.08	155.4	77.43	153.25	165.96	127.64
Ctxn1	0.0	0.0	2.9	316.34	278.68	358.68	63.72	351.29	372.69	282.37	127.42	681.39	254.28	30.75	16.03	1.41	4.92	0.2	28.78	0.28	4.01	0.0	43.3	0.0	0.0	9.46	0.0	17.99	217.25	4.55	0.9	0.0	0.0	0.99	3.52	4.22	0.91	1.01	0.0	0.0	0.0	1.63	0.24	78.11	28.36	41.04	0.0	117.7	20.94	350.08	46.32	6.25	31.44	2.7	47.22	2.29	0.0
D630045J12Rik	6.93	17.1	22.48	40.31	62.29	3.5	38.49	144.65	24.41	53.27	53.02	21.79	87.37	20.08	0.03	17.27	10.94	13.04	3.44	14.97	18.36	0.04	0.02	0.04	0.89	15.42	10.93	13.69	24.41	10.82	0.02	0.04	0.68	14.15	11.32	11.45	14.88	0.0	0.06	33.13	26.64	17.15	25.33	0.04	6.08	27.59	0.0	28.2	36.82	84.55	96.69	0.09	0.03	0.05	2.85	0.13	14.41
Dbc1	0.0	0.0	0.0	457.27	673.8	1058.23	397.43	126.87	397.38	172.72	829.61	756.36	650.15	123.57	0.3	0.15	0.33	0.07	0.11	0.15	0.2	0.09	0.13	0.0	0.0	0.04	0.0	0.0	145.09	0.72	21.93	0.0	0.0	0.0	0.0	0.0	0.0	113.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	407.37	530.22	448.48	286.51	0.1	0.0	0.0	0.0	0.45	0.0
Dlg1	17.16	2.18	1.93	339.74	205.87	271.69	180.74	85.49	227.62	226.39	185.2	355.89	181.87	10.98	0.0	4.57	0.08	20.73	4.09	66.43	28.14	0.12	0.07	26.76	3.17	2.54	3.51	16.28	125.31	19.67	45.95	15.7	26.32	0.0	0.88	13.27	0.0	0.9	0.0	2.18	49.4	0.5	11.02	0.48	24.94	2.9	3.02	311.66	242.94	73.88	148.34	7.8	29.41	32.53	0.0	51.13	32.22
Dnajb5	0.0	0.0	29.12	19.37	87.74	22.21	52.06	9.16	0.91	152.9	250.02	142.85	38.5	0.08	20.58	11.37	0.0	0.0	0.1	1.01	4.28	30.63	0.05	0.0	0.0	0.0	0.0	13.38	55.24	2.1	0.0	0.86	0.11	0.0	0.0	1.25	0.0	0.0	0.0	0.0	0.0	0.24	0.0	2.5	22.21	0.0	3.33	199.42	462.15	34.39	78.0	0.0	24.08	2.3	0.0	0.0	28.58
Dtnbp1	0.0	0.0	0.0	63.45	12.71	60.53	66.93	182.88	68.77	3.24	129.23	0.08	47.37	0.15	0.0	21.08	0.0	0.06	3.04	0.13	0.0	0.0	0.09	0.0	0.0	61.81	0.0	0.0	92.67	0.47	0.0	0.0	0.0	0.0	0.0	7.88	0.0	0.0	0.0	0.0	0.0	9.77	0.0	1.07	0.0	0.0	25.47	0.07	0.0	42.95	63.9	32.25	0.0	0.0	0.0	8.31	0.0
Dusp14	0.0	0.0	0.0	281.23	553.57	769.03	643.08	532.95	1040.55	1674.54	1628.03	792.86	1010.86	0.0	213.43	130.8	240.83	0.0	3.88	146.52	155.02	0.8	57.03	45.84	121.76	90.53	45.22	42.63	454.93	38.82	0.0	0.0	0.0	64.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.75	0.0	186.94	0.11	4.43	0.0	1424.97	1493.17	836.67	1021.91	60.34	51.42	0.21	222.13	62.05	0.0
Dusp6	7.78	0.0	39.61	292.86	97.72	623.16	123.56	419.81	431.81	907.22	515.86	394.44	512.25	72.19	13.31	0.0	2.75	0.34	63.6	0.42	3.85	0.26	0.12	0.0	0.0	1.08	0.28	33.14	176.9	15.31	46.76	0.0	0.0	48.9	0.0	2.74	0.0	4.66	0.0	3.55	52.77	0.0	0.0	0.0	4.89	38.36	0.26	675.44	467.63	462.48	278.73	0.0	0.16	53.9	0.0	0.11	1.16
Egr2	0.0	0.0	0.0	68.36	0.0	62.33	2.04	32.54	0.47	401.84	4.74	157.59	0.82	0.0	0.0	0.0	0.25	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	144.47	18.45	80.31	92.48	0.0	0.0	0.0	0.0	0.0	0.0
Fam131a	0.0	33.9	0.0	241.08	243.63	468.99	458.74	187.67	156.22	454.36	315.54	348.77	363.53	13.08	103.88	19.15	9.57	9.99	20.74	6.16	43.14	28.93	19.62	16.99	24.36	8.78	2.57	0.0	394.12	49.52	1.05	4.85	8.03	0.0	0.0	37.97	6.23	64.34	0.0	0.0	34.87	6.14	0.0	0.0	0.14	0.0	0.0	148.18	465.8	366.15	338.84	0.38	17.81	0.0	16.52	7.79	2.44
Fam81a	0.0	0.17	0.0	450.91	826.98	445.27	1046.13	607.1	853.78	1097.43	985.94	848.76	421.44	287.77	160.63	0.06	0.38	0.34	130.26	0.58	0.46	0.32	0.32	0.0	36.42	73.96	0.13	0.14	321.86	0.21	0.0	0.02	0.09	14.72	4.36	8.57	0.0	136.78	0.0	0.0	0.0	42.95	0.0	10.18	12.4	0.0	17.71	335.0	743.27	1458.18	1279.1	116.86	0.03	44.01	0.0	21.4	0.15
Fbxw7	18.37	225.55	24.8	696.48	898.89	636.09	826.81	136.94	601.64	449.34	706.03	561.06	1007.14	47.8	156.7	48.22	57.26	23.67	104.99	70.42	16.72	27.92	116.87	76.48	9.89	89.1	59.59	58.32	273.92	50.31	18.76	24.06	45.11	47.43	24.13	120.14	118.32	183.29	24.92	15.71	53.75	81.43	67.82	78.78	26.93	68.46	25.67	432.15	499.95	353.86	414.47	125.95	36.25	31.06	60.15	72.64	52.75
Foxp1	6.39	0.09	1.11	23.01	54.44	76.32	235.25	135.84	124.43	56.04	93.38	53.8	25.56	10.74	25.34	24.55	0.16	0.12	13.68	0.34	5.28	0.0	0.0	0.39	0.0	0.86	0.11	0.06	24.23	0.17	0.74	17.88	25.9	7.88	0.0	4.92	0.0	0.0	0.03	0.03	6.55	0.0	0.22	0.81	16.78	5.6	1.16	250.97	231.48	86.53	182.06	1.58	0.03	1.05	4.44	1.01	0.03
Fzd3	7.95	17.49	29.25	166.78	96.94	161.86	367.03	129.8	99.77	98.88	139.11	67.23	63.93	40.22	69.62	23.24	1.41	20.77	7.0	47.72	15.34	11.96	9.48	49.43	55.32	4.7	26.83	47.14	17.63	10.8	26.81	8.77	2.37	11.73	10.25	23.56	23.78	14.31	21.3	13.57	25.2	28.32	3.43	14.17	27.9	16.96	0.21	116.02	42.99	113.94	166.73	13.99	16.07	38.55	37.26	36.98	25.82
Gas7	6.59	8.02	2.62	167.36	150.6	101.71	48.9	131.94	48.55	172.12	165.83	197.8	119.0	11.19	68.02	12.61	5.66	3.27	1.68	2.26	0.19	12.46	47.41	22.17	15.54	22.56	0.39	18.69	197.36	32.09	44.78	2.21	16.04	0.79	15.85	19.0	1.19	25.31	0.0	0.29	14.51	0.91	15.07	22.75	23.34	4.58	0.92	134.65	203.14	98.93	94.42	9.6	0.23	13.92	23.62	2.82	0.01
Gm13306	0.0	0.0	8.68	37.34	104.71	16.92	41.09	51.65	29.23	28.63	45.01	6.93	2.2	0.0	17.1	1.46	0.3	0.03	0.0	1.74	0.0	0.0	0.0	7.16	0.58	0.0	0.0	5.37	18.38	0.27	1.98	0.0	0.0	2.47	0.77	0.0	0.0	3.46	0.29	0.0	2.79	1.65	1.9	0.13	2.24	8.48	4.31	36.09	349.82	4.74	2.15	0.0	4.89	1.61	0.0	7.83	1.88
Gm2506	0.0	0.0	8.68	37.34	104.71	16.92	41.09	51.65	29.23	28.63	45.01	6.93	2.2	0.0	17.1	1.46	0.3	0.03	0.0	1.74	0.0	0.0	0.0	7.16	0.58	0.0	0.0	5.37	18.38	0.27	1.98	0.0	0.0	2.47	0.77	0.0	0.0	3.46	0.29	0.0	2.79	1.65	1.9	0.13	2.24	8.48	4.31	36.09	349.82	4.74	2.15	0.0	4.89	1.61	0.0	7.83	1.88
Golga7b	259.27	338.65	193.38	881.14	345.55	377.09	1024.78	750.41	370.73	1066.71	228.82	310.32	402.24	196.65	19.75	162.03	182.04	196.02	161.66	328.12	339.6	136.83	133.21	97.61	242.55	160.64	111.7	200.64	194.16	156.78	236.04	309.97	11.72	131.53	38.26	149.0	220.66	17.28	208.54	143.78	286.14	185.11	187.55	169.94	158.72	145.24	55.25	623.83	341.74	1180.96	638.55	172.76	303.85	318.63	235.31	74.04	103.47
Gria2	149.89	160.22	92.69	863.83	1067.29	1002.57	579.37	1096.25	1221.02	839.27	720.74	678.86	1105.73	268.54	355.84	183.88	190.16	77.1	129.75	192.73	293.19	209.57	177.24	222.55	233.96	108.55	126.52	34.5	504.72	96.4	184.74	160.17	60.21	131.59	56.65	196.79	79.41	559.13	230.58	99.9	86.8	160.37	211.79	110.31	145.97	112.5	99.06	559.27	709.88	1485.85	1126.87	79.16	168.65	55.49	155.48	179.68	12.38
Hmgb1	373.97	135.11	280.08	1542.72	1301.06	764.54	992.59	876.0	603.46	823.62	782.56	820.14	833.56	487.42	583.1	488.9	212.77	181.67	231.51	733.96	169.31	399.78	369.36	371.64	194.92	251.39	289.44	379.58	622.04	163.42	330.6	268.03	354.22	223.89	403.18	300.71	353.66	566.04	291.2	81.03	302.95	345.94	426.73	560.29	231.69	124.54	170.77	984.55	1442.08	1262.84	1261.69	281.77	347.8	287.57	142.79	352.61	285.49
Hn1	190.82	206.5	475.44	281.43	575.85	411.85	373.15	603.89	830.68	595.3	363.52	319.51	211.15	74.26	23.88	169.3	268.16	121.21	93.65	248.74	2.1	103.47	168.34	344.03	283.92	196.28	164.95	265.81	450.72	396.77	95.32	142.29	214.56	144.9	197.11	311.21	95.98	319.65	108.75	147.02	250.3	125.31	220.87	243.01	183.19	259.01	294.72	428.38	335.88	262.27	874.0	332.41	457.2	275.22	356.25	100.88	182.27
Homer1	0.0	20.13	0.06	88.67	198.32	196.96	147.64	132.52	157.04	258.84	278.9	302.5	197.82	30.81	46.09	0.0	0.18	1.64	0.29	0.24	48.91	2.86	0.03	7.96	1.79	0.07	7.48	32.11	34.61	0.73	26.51	19.39	0.0	1.13	27.36	0.0	0.0	0.0	5.78	0.0	0.0	15.87	0.0	34.09	16.97	0.0	2.27	166.7	452.57	214.1	160.54	9.8	38.81	0.0	16.63	0.15	0.04
Hpca	16.22	0.0	0.89	902.79	852.63	751.18	1352.91	658.11	327.65	1037.1	369.62	910.23	842.36	250.0	72.84	30.98	67.51	0.47	0.16	1.89	12.43	0.0	0.07	101.61	2.69	0.0	0.0	0.0	298.25	85.12	3.54	72.81	0.0	0.0	0.0	0.0	0.0	78.36	0.0	1.02	0.28	76.57	0.2	2.01	0.0	0.0	0.0	697.8	425.72	926.65	678.42	7.26	0.15	9.18	0.0	143.46	129.72
Kcnv1	0.99	1.36	24.8	322.16	155.25	563.39	299.42	155.92	194.59	263.38	320.5	339.14	83.54	0.0	0.0	47.77	0.24	0.05	33.94	35.34	0.0	4.79	7.49	74.19	41.16	29.47	7.87	64.58	145.55	37.76	29.3	55.95	3.23	43.59	8.96	2.17	4.8	0.0	0.0	50.86	30.59	18.6	23.59	0.06	47.08	0.0	15.87	185.63	76.57	325.23	26.85	50.42	21.8	42.98	1.76	5.9	58.08
Lrrc4c	0.18	0.0	0.08	729.65	870.47	955.85	1583.18	462.04	845.06	299.08	423.8	481.4	568.66	44.93	97.05	0.1	0.0	0.32	0.1	0.38	0.14	0.15	0.13	0.0	0.0	0.16	0.0	0.0	289.67	0.09	69.26	0.0	2.78	0.0	0.09	0.0	0.0	211.52	0.0	0.07	0.06	0.24	0.0	0.08	0.0	0.13	0.0	1440.87	353.36	850.68	789.47	0.0	0.07	0.0	0.06	0.26	0.03
Mapk4	0.0	0.0	0.0	6.26	122.22	118.23	36.98	56.82	61.63	27.51	108.36	127.34	23.07	0.2	0.0	1.0	0.63	0.02	0.0	2.93	1.54	0.0	4.31	0.0	0.0	0.77	0.0	2.44	32.22	0.0	2.17	2.29	0.0	2.45	0.0	1.39	0.23	1.71	0.0	0.11	1.39	1.02	0.94	1.59	0.71	0.0	0.64	6.89	53.19	6.36	39.3	0.0	0.0	0.0	0.0	0.0	1.12
Mat2b	321.83	193.89	39.19	1014.8	928.14	936.22	537.24	536.05	774.0	323.42	344.0	317.38	376.16	296.02	418.71	102.53	35.93	173.56	196.06	0.54	92.95	123.36	39.54	70.71	175.46	178.39	239.37	173.27	182.85	127.67	152.35	163.88	206.53	307.87	112.29	107.66	53.35	158.15	72.45	205.89	9.87	2.27	91.25	126.07	14.11	119.55	227.34	540.3	373.58	395.94	714.76	158.21	82.27	53.18	262.34	86.58	99.08
Mef2c	0.0	0.11	0.0	776.76	1105.15	609.36	711.73	767.77	607.51	369.23	635.64	386.26	1017.64	256.09	292.22	0.1	0.23	0.38	1.23	0.26	0.37	0.2	6.38	0.0	0.19	2.41	0.18	9.12	413.46	0.19	0.4	2.07	3.4	0.18	3.17	3.63	4.1	223.02	0.04	27.51	0.07	0.13	0.18	155.59	8.77	0.07	8.52	470.56	956.29	860.03	522.61	2.01	0.21	0.14	0.0	3.18	0.4
