	Nr5a1_tdTpositive_cell_49	Rbp4_tdTpositive_cell_106	Rbp4_tdTpositive_cell_181	Rbp4_tdTpositive_cell_182	Rbp4_tdTpositive_cell_183	Rbp4_tdTpositive_cell_187	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTpositive_cell_101	Rbp4_CTX_10pg_1	Rbp4_CTX_10pg_2	Rbp4_CTX_10pg_3	Rbp4_CTX_10pg_5	Rbp4_CTX_10pg_6
Cox5b	368.51	1574.62	1022.16	990.03	1482.48	1398.36	5.67	16.84	643.23	814.85	844.84	866.97	850.64
Cox7c	1147.19	2367.06	1922.49	2276.05	2101.28	1335.21	581.99	340.3	432.54	564.53	579.61	1293.57	1508.72
Dad1	29.18	1151.62	598.83	864.67	974.33	613.72	333.21	44.48	130.29	191.9	303.98	356.65	496.8
Gm15772	225.71	790.33	577.63	867.37	896.85	886.23	150.22	391.04	432.74	392.36	274.5	492.49	495.46
Lrrtm4	0.0	296.02	1082.37	226.08	242.25	206.65	0.0	0.0	29.21	26.28	18.92	31.03	35.79
Minos1	37.25	195.96	142.71	106.3	146.58	116.94	66.71	0.0	32.96	98.5	28.82	43.06	141.15
Mllt11	39.52	1313.55	1006.57	1024.65	1694.38	961.88	103.92	222.32	541.17	641.96	387.4	712.27	415.16
Mrpl11	21.69	88.81	55.7	33.25	14.84	88.91	1.93	14.4	15.65	20.38	49.9	16.79	63.83
Mrpl33	9.04	302.67	208.74	309.14	166.41	233.09	12.27	37.93	63.26	69.16	115.67	192.85	135.68
Ndufa11	60.41	266.53	245.44	224.5	237.83	132.83	192.7	2.66	72.06	74.5	67.17	120.19	105.94
Ndufa3	842.27	3611.14	2030.91	1150.79	2119.72	1676.04	415.69	542.13	414.09	555.43	535.08	1080.92	1325.63
Ndufa7	622.32	1290.18	1201.77	712.68	655.94	815.31	74.95	0.0	303.34	523.69	276.11	611.61	642.0
Ndufa9	206.98	797.83	450.8	408.89	463.84	394.13	0.67	0.0	124.75	303.37	53.78	276.17	299.12
Ndufb4	507.79	1368.89	547.99	1487.22	894.48	1642.4	73.26	529.58	249.4	612.15	654.53	877.4	569.95
Ndufb9	412.65	1544.88	849.69	826.81	1154.38	983.83	52.21	156.88	666.88	804.16	869.9	1039.43	1075.18
Ndufc1	5.18	980.38	767.85	448.72	652.11	517.99	298.34	294.33	337.33	235.67	339.48	497.71	549.33
Ndufc2	495.1	1114.21	482.52	872.58	524.57	890.42	311.23	354.02	253.0	372.93	436.64	517.87	316.31
Ndufs4	68.8	156.46	434.46	239.76	335.08	180.98	48.59	0.0	99.51	61.13	15.48	116.86	99.63
Ndufs8	471.72	929.72	375.12	401.92	460.83	406.81	1.46	0.0	188.72	79.06	259.91	460.71	404.56
Nhp2	0.0	270.08	68.88	99.65	340.02	158.56	1.12	25.54	67.7	109.79	35.03	218.59	39.9
Nop10	600.23	597.13	617.45	441.68	399.46	702.51	156.77	178.55	128.83	260.99	306.47	205.62	363.73
Ost4	0.0	760.03	443.78	164.02	458.05	170.3	0.0	0.0	125.78	279.68	289.19	128.15	154.11
Pdcd10	11.23	516.5	242.84	641.91	143.76	75.69	22.37	0.0	37.9	32.42	141.9	118.01	150.39
Poc5	3.42	0.0	72.91	0.87	0.44	38.14	34.32	63.34	0.0	7.36	0.0	0.0	40.32
Polr2l	113.22	263.43	366.13	206.74	188.53	194.5	34.1	115.67	107.28	48.46	127.76	32.08	131.47
Psma7	212.32	856.93	337.94	475.56	618.34	429.49	14.82	0.0	318.46	221.24	294.82	219.99	289.13
Psmd6	4.43	193.46	206.69	101.65	174.66	129.59	0.43	26.55	77.49	87.2	34.86	126.41	76.36
Rpl11	63.73	692.1	526.4	429.26	775.37	359.53	322.37	54.61	268.24	492.37	148.55	672.02	578.09
Rpl35	376.91	1106.05	579.29	884.21	699.64	827.42	478.27	61.99	440.96	640.38	536.65	849.16	1370.61
Rpl9	348.88	2013.86	1639.14	885.53	1580.57	885.28	213.97	315.31	822.95	1004.6	740.11	1353.15	1130.36
Rps26	205.01	542.16	268.84	504.05	665.54	546.59	229.71	345.64	96.57	236.33	81.27	440.22	450.24
Rps7	313.49	636.59	549.92	645.05	458.21	420.97	39.32	187.24	351.77	307.2	170.97	773.83	386.66
Set	561.78	620.18	685.88	494.8	659.54	482.19	38.84	43.92	150.36	208.35	190.48	141.25	150.72
Sh3bgrl3	153.7	1102.85	811.96	509.37	687.73	649.5	14.37	26.29	428.67	305.05	503.0	525.81	160.44
Shfm1	6.34	600.5	727.84	491.79	683.22	482.99	234.19	0.0	150.46	166.78	127.23	323.08	227.15
Snrpg	5.5	492.49	643.31	340.58	551.62	384.43	178.28	0.0	121.78	164.99	39.52	363.6	314.12
Sod1	230.07	2028.74	1337.44	1663.44	2174.78	1172.63	945.52	1086.19	1194.94	1184.31	1125.62	1745.27	2101.57
Srp14	108.53	650.94	854.19	412.72	674.68	359.07	3.63	2.35	153.23	316.69	433.31	244.45	324.52
Tceb2	354.67	897.84	922.38	1211.57	1431.78	922.9	796.23	240.79	260.19	325.76	448.67	546.07	589.74
Timm8b	497.6	977.22	882.73	620.6	806.38	681.71	54.07	741.06	283.79	315.87	303.13	332.23	509.06
Tm2d3	167.43	587.88	506.12	500.05	240.41	0.0	0.0	127.61	238.91	151.77	299.46	64.84	51.57
Ubl5	89.47	205.6	164.7	265.07	131.37	89.38	0.42	1.84	30.1	35.05	46.64	166.28	111.55
Uqcr10	154.12	2315.28	1031.37	1578.02	1190.59	861.92	294.36	31.46	263.37	490.13	548.85	973.73	751.99
Uqcrq	1043.84	1196.85	1189.07	1128.06	1296.42	917.37	116.58	928.43	310.29	299.53	522.93	908.23	1060.12
Usmg5	432.92	4234.23	2135.75	3223.25	3178.31	2238.53	1123.0	1096.54	616.25	773.25	704.89	1444.35	1100.68
Vapa	413.04	740.14	604.91	577.86	626.36	463.35	143.52	469.64	88.59	173.79	64.16	91.99	80.43
c17_SSU-rRNA_Hsa	32310.68	4721.31	12294.5	15042.54	9528.57	18147.83	62935.79	39573.42	22437.39	28697.02	17823.66	28103.63	31264.04
mt_AK142750	1080.93	950.99	1578.39	840.23	990.69	1171.38	2734.3	2747.41	433.81	1796.3	0.0	2150.64	2059.24
