	Calb2_tdTpositive_cell_6	Calb2_tdTpositive_cell_9	Calb2_tdTpositive_cell_10	Cux2_tdTpositive_cell_5	Cux2_tdTpositive_cell_9	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_59	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_91	Cux2_tdTpositive_cell_96	Cux2_tdTpositive_cell_100	Cux2_tdTpositive_cell_101	Cux2_tdTpositive_cell_103	Cux2_tdTpositive_cell_112	Cux2_tdTnegative_cell_14	Gad2_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_30	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_36	Nr5a1_tdTpositive_cell_44	Nr5a1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_6	Ntsr1_tdTpositive_cell_10	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_29	Ntsr1_tdTpositive_cell_31	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_33	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_52	Ntsr1_tdTpositive_cell_75	Rbp4_tdTpositive_cell_54	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_127	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_182	Rbp4_tdTpositive_cell_183	Rbp4_tdTpositive_cell_189	Scnn1a.Tg3_tdTpositive_cell_92	Slc17a6_tdTpositive_cell_1	Slc17a6_tdTpositive_cell_2	Slc17a6_tdTpositive_cell_3	Slc17a6_tdTpositive_cell_16	Slc17a6_tdTpositive_cell_19	Slc17a6_tdTpositive_cell_22	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_29	Slc17a6_tdTpositive_cell_30	Slc17a6_tdTpositive_cell_31	Slc17a6_tdTpositive_cell_33	Slc17a6_tdTpositive_cell_37	Slc17a6_tdTpositive_cell_38	Slc17a6_tdTpositive_cell_41	Slc17a6_tdTpositive_cell_44	Slc17a6_tdTpositive_cell_46	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	CAV_LP_Ipsi_tdTpos_cell_9	CAV_LP_Ipsi_tdTpos_cell_21	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_32	CAV_LP_Ipsi_tdTpos_cell_33	CAV_LP_Ipsi_tdTpos_cell_35	CAV_LP_Ipsi_tdTpos_cell_36	CAV_LP_Ipsi_tdTpos_cell_37	CAV_LP_Ipsi_tdTpos_cell_39	CAV_LP_Ipsi_tdTpos_cell_41	CAV_LP_Ipsi_tdTpos_cell_42	CAV_LP_Ipsi_tdTpos_cell_43
Camk2d	336.12	37.28	190.7	46.58	29.51	72.25	0.11	149.73	91.85	42.33	157.34	222.37	168.58	59.36	53.26	132.91	122.09	89.19	74.96	78.77	45.7	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47	5.36	0.0	0.0	151.95	215.23	97.8	144.25	70.62	88.94	117.24	45.3	5.26	0.0	29.69	0.15	0.0	144.99	40.74	50.5	53.84	0.0	151.88	46.1	137.13	131.91	107.49	39.4	14.47	0.0	0.65	9.01	0.0	0.13	0.0	0.0	0.0	0.07	0.0	0.0	15.85	0.0	0.0	0.1	0.0	0.0	0.0	0.0	7.97	0.0	0.0
Camk2n1	567.62	214.63	400.71	451.43	452.36	841.51	536.08	649.35	854.38	571.21	262.18	539.13	420.38	383.19	686.02	631.1	964.34	1008.12	255.45	660.5	708.89	64.79	80.35	221.83	144.76	62.6	27.2	61.61	76.1	93.18	189.97	76.87	53.84	19.54	131.53	162.31	138.75	67.13	75.55	177.08	247.67	461.35	253.69	596.38	175.57	110.88	833.97	30.55	481.08	64.3	63.08	512.34	355.57	463.79	516.93	89.52	391.59	553.31	511.94	596.32	633.08	394.07	303.83	91.56	49.18	55.31	148.73	1.03	158.9	0.66	64.35	105.27	35.42	76.86	27.17	44.4	120.52	134.85	221.28	239.49	141.8	106.61	29.55	87.42	104.07
Cbln2	126.73	37.3	0.13	38.45	185.17	78.08	24.39	354.12	367.01	325.28	100.82	0.0	226.42	52.35	301.68	22.42	126.27	132.4	0.36	6.61	1.75	0.0	0.0	0.0	67.46	0.07	0.0	0.0	0.0	23.1	0.0	0.0	1.45	29.7	0.73	0.0	0.0	0.0	105.52	73.23	40.68	37.04	32.91	143.71	1.85	0.0	127.21	0.0	257.76	58.58	25.11	374.04	113.51	220.41	292.32	0.0	224.25	315.65	58.03	212.69	237.41	107.36	95.09	13.79	14.26	17.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.34	0.0	0.0	15.69	0.0	0.18
Cck	62.35	675.36	789.38	73.28	121.85	16.2	257.34	92.88	109.01	204.64	19.14	105.35	161.19	316.46	164.0	105.64	146.26	70.18	110.58	150.64	173.61	8.58	0.0	75.77	0.0	0.25	0.0	25.36	65.66	0.0	0.0	0.77	0.0	7.23	167.18	11.4	31.09	2.83	218.5	183.79	205.35	170.28	354.73	97.37	254.18	155.88	47.58	0.0	84.35	0.97	0.0	299.05	48.68	77.74	141.08	1.31	80.93	103.55	52.43	87.86	124.93	256.86	208.48	18.84	7.4	14.77	0.0	0.83	0.0	0.0	131.46	0.0	0.0	0.0	0.0	0.0	0.39	11.03	0.0	23.23	0.0	0.0	0.0	0.0	0.0
Cdk14	148.37	1.33	115.58	97.23	174.61	206.18	151.13	22.41	104.82	188.61	148.66	154.05	123.96	76.7	72.58	245.11	20.05	14.78	111.22	3.57	30.32	3.71	13.25	29.22	0.86	19.34	1.61	3.92	34.24	7.75	0.0	0.35	0.21	17.1	0.48	39.63	5.78	19.75	147.97	68.31	82.64	96.73	75.56	38.63	98.82	79.0	0.53	33.73	34.29	43.45	21.22	95.77	146.35	20.77	69.3	57.94	98.78	39.33	164.14	143.49	90.09	56.29	160.3	33.34	35.59	36.22	38.65	43.7	1.03	79.03	2.38	0.0	20.15	0.0	33.46	98.08	3.17	0.42	0.0	97.64	0.52	0.2	65.56	57.75	124.04
Cpne4	68.23	17.6	10.19	1.48	12.96	62.43	66.89	10.82	299.21	8.43	62.07	1.86	81.95	30.04	129.79	26.59	0.09	152.86	35.77	47.1	40.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.32	6.34	11.56	105.85	8.65	35.78	0.8	0.0	107.2	0.0	26.88	0.0	0.0	23.63	33.0	96.02	0.0	0.0	114.33	37.65	0.16	52.16	72.02	19.74	194.83	0.0	0.16	1.95	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.81	0.0	0.0
D630045J12Rik	75.49	7.78	93.61	102.67	177.03	0.13	61.66	38.49	87.09	0.09	34.0	67.68	142.11	143.0	138.46	133.04	0.09	61.66	47.12	40.34	36.56	24.18	52.63	28.68	30.79	28.68	28.64	0.0	15.41	13.67	22.79	23.93	1.41	0.04	0.41	10.3	0.23	41.83	5.24	0.4	17.12	26.97	0.23	8.07	23.25	13.17	2.03	0.09	41.69	5.66	0.23	26.91	75.35	62.54	84.55	64.0	89.48	77.66	111.04	102.53	60.37	48.21	96.69	40.08	35.52	40.48	0.03	0.05	0.03	43.22	0.37	0.08	69.7	2.51	6.12	14.17	20.94	65.53	64.75	0.14	86.5	0.06	24.94	0.0	0.0
Dbc1	592.04	227.92	46.05	536.44	370.98	132.03	215.75	397.43	947.11	1657.33	434.92	91.32	494.06	192.28	183.94	121.16	811.51	533.48	409.41	351.17	212.22	13.91	294.73	180.03	3.03	54.48	20.18	6.27	3.85	164.55	39.89	44.84	136.5	100.1	69.6	227.35	0.0	56.37	28.24	52.55	76.14	1.2	41.56	86.56	100.74	35.99	624.21	341.13	591.93	164.56	83.65	307.58	327.03	162.61	448.48	356.93	210.96	789.99	345.38	296.84	273.74	209.93	286.51	191.23	77.29	158.04	28.67	141.22	0.0	137.27	0.0	4.66	2.88	90.01	13.54	299.98	165.81	37.02	120.58	83.03	70.91	13.63	51.09	80.91	4.37
Dgkb	21.18	0.0	214.66	80.6	40.8	276.63	308.67	86.92	65.21	24.66	181.55	24.92	56.03	305.59	171.9	510.43	0.06	0.0	0.0	18.54	7.46	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.94	0.0	0.25	0.0	66.16	24.23	40.14	99.86	39.27	15.92	63.3	13.41	5.55	26.36	0.03	0.0	47.32	0.11	2.29	159.77	157.95	87.26	75.42	0.15	65.0	137.48	128.75	113.62	11.09	90.05	108.93	4.87	2.4	5.11	0.0	0.1	0.0	0.0	0.0	0.05	1.18	0.0	0.0	0.0	0.0	0.0	0.0	52.09	0.0	0.0	10.25	0.0	0.0
Dtnbp1	72.57	89.5	180.9	168.38	67.66	0.0	69.22	66.93	93.93	240.83	142.95	112.79	87.66	104.6	60.5	157.43	0.0	0.33	312.68	13.18	403.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.33	0.93	12.24	0.0	39.36	0.31	84.01	75.46	0.0	47.94	126.25	37.18	0.0	214.64	0.63	0.55	71.53	0.0	0.0	87.3	26.34	42.95	17.11	53.48	167.98	61.89	0.0	7.32	163.96	63.9	9.67	12.83	4.43	0.0	18.37	0.0	0.0	180.2	0.0	0.0	0.24	0.0	0.0	33.34	32.85	0.0	19.26	0.0	0.0	0.0	0.0	109.99
Epha4	144.97	66.57	123.45	169.42	232.21	19.02	125.42	135.11	123.85	148.51	161.82	279.16	225.08	157.72	125.95	267.07	194.46	141.55	50.22	81.1	79.08	25.45	59.57	0.0	0.06	35.14	0.38	84.99	91.48	55.62	44.75	29.68	2.46	0.3	98.54	25.43	0.0	74.16	57.62	43.6	42.87	246.65	80.11	171.04	20.91	48.41	99.14	2.21	217.82	2.97	75.76	161.05	41.98	182.23	31.41	33.81	174.02	105.32	66.07	30.85	117.06	127.71	66.71	18.8	20.75	37.14	0.34	5.3	0.27	54.93	22.87	59.12	17.74	4.04	0.11	0.0	81.53	0.0	47.23	47.06	19.04	0.08	0.0	0.34	28.2
Fam81a	505.01	926.48	660.5	779.07	590.48	469.3	510.67	1046.13	1085.87	1260.14	1211.21	898.65	711.25	621.44	1628.57	486.79	480.99	964.69	1046.95	318.89	298.47	326.95	455.84	691.74	326.33	513.77	687.52	281.64	251.66	380.52	247.84	69.36	283.97	218.76	370.55	208.94	443.23	483.34	178.57	414.39	532.18	596.72	415.36	221.2	107.01	405.76	470.43	479.94	1152.26	339.83	473.68	797.13	820.87	994.01	1458.18	455.87	1359.09	1177.16	1017.96	1201.77	1140.86	798.92	1279.1	571.15	366.29	1003.42	658.12	400.99	234.31	51.97	146.82	421.49	143.37	87.42	57.07	627.35	790.35	575.45	543.87	418.48	605.94	587.06	147.27	327.12	288.23
Fam84a	336.74	171.62	136.31	94.3	91.31	29.46	221.83	226.94	291.16	155.11	226.38	161.07	226.09	295.66	353.94	57.3	0.0	203.44	5.16	52.46	7.91	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.53	70.72	382.78	127.37	80.15	115.35	111.24	161.8	172.39	106.8	28.13	123.61	157.87	0.0	145.06	53.75	32.58	284.4	235.04	171.82	384.85	0.0	317.9	382.51	213.48	202.6	412.91	105.17	246.24	0.0	0.0	4.31	0.0	13.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.09	0.0	0.0	57.43	0.0	0.0	0.19	0.0	0.0
Gucy1a3	55.68	78.61	70.1	147.42	15.47	187.54	118.78	0.64	119.86	47.78	26.14	58.53	15.92	163.5	98.54	228.34	48.36	15.14	0.0	72.14	102.64	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	41.62	7.26	43.64	1.59	0.0	35.35	44.75	32.03	8.76	41.95	37.19	0.0	0.0	81.12	0.0	0.0	57.2	82.57	134.71	83.08	0.0	42.09	59.77	91.3	0.13	61.84	64.54	158.83	0.0	0.0	1.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	9.91	0.0	0.0	42.69	0.0	8.91
Igfbp6	169.74	202.98	300.97	254.52	667.84	437.05	596.89	491.84	625.97	267.75	607.24	251.33	241.02	409.36	152.63	397.7	154.96	715.43	340.83	249.65	0.0	0.33	0.0	0.32	169.73	0.77	42.71	3.79	394.96	135.21	0.0	0.2	383.92	220.84	1.42	0.53	95.95	123.23	258.66	171.23	108.77	0.0	95.12	195.58	344.19	132.81	2.47	0.64	123.35	339.54	126.27	416.6	628.25	233.19	522.25	0.0	227.89	341.62	377.19	230.09	369.06	633.32	287.39	76.39	258.73	118.89	142.31	113.87	0.0	121.88	0.57	0.0	0.0	0.0	0.0	0.31	145.58	0.0	89.5	0.0	42.56	0.0	201.93	0.0	93.69
Ildr2	36.27	0.04	16.19	38.64	12.94	26.85	25.93	126.29	45.2	116.41	21.43	84.26	9.29	87.69	31.43	72.26	68.99	39.25	28.32	11.1	9.43	0.0	3.16	5.18	2.43	25.1	0.0	0.0	16.39	9.04	8.33	25.86	19.52	31.01	55.92	33.36	0.0	0.93	0.09	13.44	13.88	77.69	0.95	18.9	1.39	7.44	0.43	5.78	18.77	42.21	0.95	17.53	43.91	0.22	42.3	2.72	77.95	31.07	63.2	124.15	39.61	92.32	24.85	18.08	10.49	15.11	0.0	19.57	0.07	0.0	21.7	25.69	0.05	17.23	0.0	0.0	28.81	8.98	4.22	49.68	11.23	2.09	0.0	5.38	2.22
Kcnv1	136.49	209.89	36.48	355.84	218.74	245.96	127.25	299.42	177.68	309.03	324.99	160.25	106.24	110.19	158.15	226.95	73.77	22.28	1.76	96.72	79.8	83.2	29.39	141.16	17.92	0.54	64.02	143.68	0.04	0.0	0.0	0.0	0.0	58.23	0.26	0.0	0.0	54.3	101.14	96.21	32.36	7.37	11.39	79.66	102.15	50.2	194.42	44.19	146.86	125.65	35.07	206.33	94.91	151.49	325.23	36.23	235.44	256.73	248.13	195.43	195.45	95.54	26.85	59.09	53.86	48.88	105.74	0.0	102.37	0.0	0.69	100.98	6.89	28.29	0.05	97.26	21.05	14.31	0.0	0.0	0.0	0.0	91.48	23.69	0.0
Lifr	123.54	9.25	44.73	126.03	120.27	106.66	139.75	75.03	75.32	222.78	110.8	242.56	78.49	145.76	40.65	4.08	47.94	32.18	6.3	17.52	8.43	2.63	4.72	3.25	2.85	3.71	4.13	9.17	5.86	9.14	1.37	2.66	5.93	5.27	2.51	26.79	0.0	44.07	14.41	53.33	23.36	40.57	24.35	42.49	17.01	10.99	165.07	2.08	78.69	14.5	4.9	93.19	74.77	51.02	95.83	20.02	48.38	49.7	107.57	26.33	58.34	33.2	28.85	14.09	8.98	29.03	2.72	12.11	3.51	3.56	0.52	0.7	2.18	3.44	0.57	7.87	74.31	12.85	31.72	54.97	8.66	9.78	4.25	11.54	46.03
Mapk4	13.32	10.73	41.96	22.2	51.94	64.74	7.27	36.98	26.47	162.35	152.75	9.13	15.39	95.91	39.25	8.39	29.42	74.25	95.13	18.4	5.03	1.08	0.0	1.8	0.42	0.03	0.0	0.0	0.0	0.0	0.4	0.0	2.57	0.0	0.21	0.0	0.0	0.0	120.28	44.86	26.88	56.29	35.87	57.69	33.49	16.83	22.07	0.0	86.53	0.0	0.0	22.48	45.52	1.88	6.36	26.24	38.93	37.57	13.46	56.09	57.35	10.14	39.3	0.74	4.33	1.54	0.0	0.0	0.0	0.0	0.88	0.0	0.0	0.0	0.0	0.0	0.0	3.04	20.43	0.0	0.0	0.0	0.0	0.0	0.0
Neurod1	79.25	0.0	141.28	0.47	76.84	84.37	169.57	8.16	94.12	0.0	31.41	71.69	188.55	112.47	143.67	2.74	38.88	80.15	10.0	113.18	59.14	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.16	0.0	15.29	30.3	0.0	154.99	1.02	7.68	0.59	0.0	0.0	0.0	0.0	0.0	0.94	82.01	137.32	0.0	33.87	142.14	59.6	29.8	55.27	40.97	60.73	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	55.48	0.0	0.0	0.0	0.0	0.0
