	Calb2_tdTpositive_cell_9	Calb2_tdTpositive_cell_10	Chrna2_tdTpositive_cell_36	Chrna2_tdTpositive_cell_42	Chrna2_tdTpositive_cell_51	Chrna2_tdTpositive_cell_69	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_74	Cux2_tdTpositive_cell_96	Gad2_tdTpositive_cell_66	Ndnf_tdTnegative_cell_9	Nr5a1_tdTpositive_cell_44	Nr5a1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_10	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_26	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_28	Ntsr1_tdTpositive_cell_29	Ntsr1_tdTpositive_cell_30	Ntsr1_tdTpositive_cell_31	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_33	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_75	Rbp4_tdTpositive_cell_8	Rbp4_tdTpositive_cell_33	Rbp4_tdTpositive_cell_57	Rbp4_tdTpositive_cell_87	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_93	Rbp4_tdTpositive_cell_119	Rbp4_tdTpositive_cell_125	Rbp4_tdTpositive_cell_127	Rbp4_tdTpositive_cell_130	Rbp4_tdTpositive_cell_163	Rbp4_tdTpositive_cell_171	Rbp4_tdTpositive_cell_183	Scnn1a.Tg2_tdTpositive_cell_2	Scnn1a.Tg2_tdTpositive_cell_5	Scnn1a.Tg3_tdTpositive_cell_65	Scnn1a.Tg3_tdTpositive_cell_79	Scnn1a.Tg3_tdTpositive_cell_105	Scnn1a.Tg3_tdTpositive_cell_109	Slc17a6_tdTpositive_cell_1	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_30	Slc17a6_tdTpositive_cell_31	Slc17a6_tdTpositive_cell_39	Tac2_tdTpositive_cell_2	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_13	CAV_LP_Ipsi_tdTpos_cell_14	CAV_LP_Ipsi_tdTpos_cell_15	CAV_LP_Ipsi_tdTpos_cell_17	CAV_LP_Ipsi_tdTpos_cell_21	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_29	CAV_LP_Ipsi_tdTpos_cell_30	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_32	CAV_LP_Ipsi_tdTpos_cell_36
Dnajc14	4.0	33.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.85	0.0	21.6	0.0	36.13	0.0	0.0	0.0	0.08	0.0	2.24	0.15	3.74	54.51	2.92	2.08	0.0	0.0	0.0	0.0	0.05	11.37	18.61	17.91	20.79	0.0	0.0	0.0	6.18	45.23	6.32	0.3	2.09	0.0	3.11	0.0	0.0	0.0	0.0	0.0	14.41	2.98	0.0	0.0	0.0	0.0	29.16	40.19	18.7	26.04	16.57	22.83	25.82	8.97	24.12	16.18	21.29	0.0	0.91	14.68	18.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.88	5.83	0.0	2.48	16.98
Eif2s1	17.27	47.39	73.27	105.88	81.03	531.55	13.4	249.95	275.65	142.1	122.54	111.55	57.05	173.5	56.13	226.31	0.38	196.74	222.01	0.11	170.59	139.73	122.63	151.34	98.08	142.17	137.22	134.83	177.72	108.47	177.14	236.02	140.0	161.86	369.06	131.75	121.2	327.38	137.24	137.38	217.69	123.11	127.66	185.77	94.58	122.01	0.0	0.41	140.15	365.75	261.42	146.13	66.61	316.73	209.92	153.96	211.02	157.29	153.08	170.12	138.55	83.76	140.97	209.36	166.66	162.88	150.29	101.65	115.82	78.05	149.92	210.5	183.25	96.65	123.06	0.0	64.34	2.66	104.8	214.19	119.93	271.35	172.3
Ep400	0.39	11.61	0.23	4.84	0.02	35.71	0.1	1.15	0.0	0.42	1.09	8.71	15.69	0.53	0.34	0.0	0.0	1.59	0.0	0.0	21.53	1.46	0.03	1.69	0.77	11.2	0.0	16.79	0.0	0.09	3.34	2.64	17.69	23.47	27.68	0.0	12.51	16.32	5.68	0.05	0.33	14.98	0.27	21.93	0.0	2.54	12.41	0.06	0.03	0.0	17.11	1.39	0.0	30.06	28.03	0.0	7.71	6.62	6.9	5.6	4.94	6.79	5.4	7.15	2.79	5.88	7.69	2.36	5.71	0.28	6.46	1.08	0.47	7.2	1.22	0.0	1.23	9.0	26.41	1.17	27.98	4.73	3.98
Ercc3	1.74	0.0	0.0	0.0	0.0	44.89	0.14	0.0	0.0	0.0	50.17	0.0	39.56	0.0	25.64	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	15.42	0.39	0.0	0.0	11.38	0.0	0.0	129.83	0.0	7.58	0.0	31.43	0.0	0.0	1.18	0.18	38.54	0.26	34.41	0.0	0.39	3.51	0.0	0.0	0.0	0.0	0.0	4.84	12.6	0.0	1.66	5.59	0.0	13.94	15.28	0.65	7.33	9.09	6.44	10.35	7.03	15.52	20.22	16.9	17.71	0.11	0.0	0.0	0.0	2.24	0.0	0.0	139.89	0.0	0.0	0.0	4.53	0.0	55.91	30.05
Exoc7	58.46	81.43	44.87	72.42	0.0	150.67	0.12	0.27	0.0	165.59	178.51	0.0	8.42	266.09	60.86	53.95	0.11	106.22	67.01	0.1	189.01	99.19	103.15	94.33	113.32	0.0	37.7	101.92	19.57	134.07	126.97	45.81	33.01	149.07	107.15	32.72	34.31	44.87	43.44	61.72	57.95	280.12	42.58	18.46	36.25	0.82	0.0	0.0	4.45	0.0	25.97	78.11	93.07	181.35	53.09	71.23	72.4	93.45	86.07	51.72	94.61	111.34	94.15	80.55	105.17	131.3	135.75	60.46	48.31	55.65	42.55	133.88	66.99	39.41	7.76	0.41	0.0	74.02	83.51	114.37	0.0	65.37	68.03
Grin1	0.2	45.42	2.61	5.81	1.92	117.41	1.84	19.97	0.0	3.34	4.97	0.0	1.81	4.39	5.22	0.73	0.0	29.19	0.19	16.73	9.48	6.93	28.15	23.6	69.57	0.14	7.13	12.55	22.13	0.1	3.0	14.07	1.68	18.36	11.28	1.89	16.56	34.08	4.15	5.07	12.39	23.24	27.2	28.45	26.72	37.2	3.38	0.0	27.09	0.0	4.21	27.14	3.82	2.36	0.17	41.46	5.22	15.93	13.08	10.31	6.34	6.92	20.26	8.04	5.86	7.57	9.85	10.47	7.79	16.55	13.45	18.2	0.71	0.0	1.05	0.0	0.15	0.12	7.91	23.5	0.1	7.08	1.82
Hsp90b1	180.51	470.18	72.32	138.13	94.77	256.6	114.08	661.75	41.41	413.56	706.46	101.05	6.48	83.8	470.37	353.57	8.59	391.88	92.38	229.08	440.27	272.36	395.44	451.12	197.28	98.78	453.51	126.77	224.54	305.5	271.36	326.66	295.74	210.64	501.63	140.43	266.49	311.71	291.74	434.03	296.17	146.7	418.68	246.11	133.79	206.71	56.57	1.42	16.43	8.66	656.22	312.44	461.16	567.52	259.94	438.84	415.51	324.75	272.67	401.52	437.63	460.54	501.01	324.01	502.07	384.45	362.79	302.0	364.23	82.38	227.33	284.52	160.75	306.16	397.35	102.41	244.04	270.52	286.18	244.14	0.14	291.19	364.66
Kat5	9.73	9.28	0.0	0.0	0.0	209.04	0.0	0.0	0.0	94.97	33.18	0.0	0.0	0.0	21.47	128.33	0.0	0.0	0.0	0.0	0.0	0.0	60.41	5.34	0.0	3.21	0.0	74.87	158.08	0.18	0.21	0.0	56.01	0.0	0.0	0.0	52.66	26.81	68.61	0.0	42.76	0.0	94.11	0.65	0.0	0.0	0.0	16.03	88.98	0.0	0.0	0.0	209.07	0.0	0.0	46.61	15.12	34.08	25.57	70.49	17.25	33.62	84.44	28.19	52.16	32.58	29.16	0.0	80.09	0.0	0.0	0.0	0.0	0.0	2.88	0.0	67.74	0.0	64.91	3.82	0.28	46.19	0.0
Mbnl1	106.65	30.47	171.8	57.26	20.84	150.65	123.87	150.66	0.0	159.56	272.68	17.27	40.39	74.7	74.22	58.02	0.0	291.93	136.46	0.23	64.33	48.95	92.94	230.25	34.32	5.42	88.97	35.13	53.18	65.25	107.62	143.28	132.04	186.81	192.4	192.72	16.6	17.64	206.8	112.83	113.38	18.03	279.41	5.35	41.25	0.17	2.18	0.0	9.16	0.91	158.61	279.65	97.26	203.88	103.84	67.22	104.13	219.77	93.27	124.27	148.74	150.44	106.46	45.3	300.66	145.02	182.38	39.47	40.37	100.59	1.77	238.51	17.5	3.22	16.67	10.16	6.95	0.0	206.95	263.34	209.91	69.57	208.44
Nap1l4	0.0	112.41	0.0	100.88	42.65	217.19	8.03	178.89	0.0	3.65	40.58	0.0	66.55	11.4	110.08	32.92	0.0	103.06	0.43	44.43	132.59	0.0	44.98	0.0	64.97	130.4	81.09	62.96	14.39	2.6	20.65	164.62	64.18	79.6	193.65	75.57	63.93	34.8	87.01	29.24	36.59	50.86	90.21	0.0	27.91	88.81	0.0	4.32	31.23	0.0	226.36	0.0	93.35	73.57	39.93	26.94	79.06	50.79	55.28	75.5	116.13	79.6	49.63	54.77	91.76	62.07	90.46	20.18	23.38	0.0	16.63	140.42	0.0	94.04	1.48	97.22	8.29	131.09	107.07	0.84	0.34	0.44	31.71
Ncs1	92.32	156.33	251.21	48.64	163.87	341.7	85.82	85.11	0.0	171.96	210.22	165.33	92.62	150.62	351.55	407.13	0.52	116.1	324.85	0.17	256.36	196.75	445.44	198.31	269.89	24.7	57.25	171.48	68.04	150.46	52.07	270.22	199.76	433.01	453.33	466.75	34.72	383.99	153.99	234.75	77.8	209.0	20.3	76.03	48.08	55.19	0.23	66.16	0.26	0.26	469.22	207.61	111.95	143.3	285.0	73.01	308.41	494.19	283.66	355.79	323.82	357.36	327.35	243.11	435.28	345.41	388.01	287.75	223.78	179.0	291.53	199.25	58.08	24.6	14.68	108.98	19.15	11.29	168.25	100.61	0.09	181.73	270.26
Nudcd1	1.46	2.9	0.0	66.07	0.0	130.48	89.07	74.74	0.0	0.23	81.23	0.0	0.0	23.61	21.79	0.59	0.0	0.0	0.0	23.34	0.05	0.42	0.21	1.01	43.74	0.0	9.51	1.1	3.4	1.18	0.23	41.5	0.89	0.86	181.24	2.87	0.18	57.27	34.33	0.0	0.11	0.0	6.34	2.41	0.66	44.47	0.0	0.0	0.15	0.0	69.29	0.97	4.18	0.75	13.45	3.37	13.86	7.77	26.3	15.7	25.42	4.43	12.37	1.46	29.6	14.93	25.18	32.62	0.48	41.07	0.76	0.15	0.0	23.52	23.65	0.17	1.59	0.0	7.17	8.85	0.0	57.3	52.01
Nudt10	73.54	149.89	0.0	28.02	4.39	0.0	57.79	82.2	0.0	90.37	124.43	107.98	16.95	0.0	85.71	8.29	0.0	204.48	0.0	0.0	217.39	190.83	0.2	64.58	89.75	0.16	4.28	9.8	75.82	14.23	97.96	63.21	92.28	52.08	169.13	0.0	48.05	274.09	133.41	89.17	19.95	59.98	71.22	63.14	0.08	0.0	0.0	0.0	0.04	0.0	54.64	108.62	0.0	63.36	74.86	97.36	70.59	119.6	48.22	63.1	109.8	135.04	62.37	31.88	229.98	106.6	128.25	92.5	31.25	28.72	50.54	58.95	0.0	0.0	0.14	11.2	1.76	0.0	124.01	45.29	0.0	60.99	115.87
Prepl	119.62	143.46	250.26	69.06	32.86	94.03	219.18	176.26	60.67	362.26	368.36	13.17	99.65	140.25	142.39	106.32	33.69	262.51	174.57	27.41	264.38	495.5	79.69	351.28	179.92	98.48	48.52	9.76	157.67	144.95	198.99	474.65	350.32	624.06	616.8	312.05	757.3	411.83	145.17	298.55	146.06	372.85	309.89	17.89	89.37	137.04	17.0	84.01	8.97	76.4	296.08	262.44	203.44	262.17	222.67	230.7	230.94	321.27	132.73	221.01	214.7	261.69	172.79	116.85	424.8	312.52	348.99	141.88	276.2	342.62	264.32	205.62	127.88	6.24	105.42	28.87	14.19	107.38	451.79	318.05	396.18	532.6	127.25
Prss35	9.52	1.64	0.0	2.38	0.17	5.52	8.1	3.17	3.61	2.68	2.94	1.72	1.32	2.02	1.87	10.85	0.0	3.55	0.0	0.13	5.54	0.44	2.17	6.79	0.93	1.75	0.48	0.13	1.24	2.71	4.3	4.59	7.2	4.9	7.74	0.0	7.34	4.98	2.44	1.77	8.59	9.92	4.24	1.09	7.08	0.97	0.0	0.0	1.78	0.0	11.05	0.73	3.5	1.66	0.0	9.01	16.11	3.47	7.45	9.98	11.55	20.94	32.56	13.98	22.0	18.4	12.59	44.05	4.95	2.14	2.48	138.23	114.94	2.79	1.07	13.68	0.0	0.0	0.73	4.98	7.67	60.81	9.53
Rgs11	89.04	0.0	0.0	0.0	0.0	153.68	0.19	113.17	0.4	0.0	0.0	0.0	129.09	82.21	66.8	65.21	0.18	78.0	64.51	0.0	76.79	0.08	0.0	75.46	16.99	0.0	111.74	146.26	0.0	0.0	0.0	20.78	25.6	113.93	189.19	0.0	96.84	64.88	0.62	77.83	41.89	0.16	63.51	1.28	8.51	0.0	0.0	29.25	5.05	0.0	0.0	0.0	3.81	0.0	0.0	0.0	44.07	7.06	35.54	39.72	56.23	50.31	52.97	28.16	40.03	38.73	26.52	178.58	66.36	0.17	122.8	0.0	59.44	0.0	3.38	0.0	38.04	0.0	51.52	56.95	0.0	22.68	0.0
Slc1a1	12.25	7.28	0.61	30.24	5.32	7.64	0.0	90.74	0.42	39.5	58.37	2.41	80.44	7.29	71.19	0.0	0.37	37.09	6.0	27.75	151.24	17.76	117.69	92.48	7.07	3.78	90.01	20.54	0.09	3.68	149.95	269.06	150.85	273.08	146.36	21.46	232.13	111.89	50.5	88.16	190.24	3.56	49.34	6.49	10.06	78.2	0.0	5.73	0.44	0.0	261.31	2.35	64.32	75.26	2.94	133.28	28.05	93.15	50.81	57.32	53.92	41.73	45.2	28.93	51.09	60.6	61.74	70.03	102.73	22.7	50.69	4.72	32.85	65.59	10.9	13.67	0.13	2.89	159.56	167.12	154.44	30.03	201.53
Slc29a2	0.0	0.0	0.0	0.0	0.0	99.76	0.0	8.23	0.0	0.0	0.0	0.0	0.0	0.16	0.0	63.09	0.0	14.63	0.0	0.0	0.0	0.0	8.08	0.0	60.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.18	46.31	0.0	0.0	0.0	0.0	0.3	39.15	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.68	0.0	0.0	0.15	18.99	1.86	5.07	1.22	8.18	1.3	4.01	8.83	9.34	8.58	0.0	0.12	0.0	15.9	15.14	0.0	0.0	6.63	0.0	0.0	3.5	0.0	29.16	0.0	0.0	0.0
Snx30	0.05	0.07	0.0	0.1	0.0	31.86	48.45	0.11	0.19	51.97	0.22	0.51	26.23	0.05	0.11	0.16	0.14	27.11	0.0	0.08	0.04	0.27	17.39	0.0	0.62	0.01	0.0	0.09	0.01	0.49	38.98	0.24	0.36	1.15	0.25	0.0	0.17	0.0	12.56	12.83	0.07	21.71	12.67	0.18	0.05	0.15	0.26	0.9	0.34	0.0	7.4	2.22	0.22	0.09	47.67	0.0	7.63	7.18	1.97	1.55	5.72	7.36	3.11	11.45	4.38	3.92	5.99	1.83	9.83	2.28	2.53	0.54	0.06	8.21	0.04	0.06	0.0	0.03	21.98	7.03	0.0	0.1	2.79
Specc1	0.0	31.8	0.0	1.73	0.0	46.1	36.12	0.0	0.0	0.22	1.33	0.0	0.0	0.0	22.07	14.66	0.05	21.46	0.0	0.0	2.87	0.79	0.0	30.12	0.0	6.58	0.0	2.67	8.17	2.43	0.06	12.51	30.74	9.44	1.35	0.0	13.58	36.04	15.67	10.45	3.62	0.0	2.25	2.55	0.37	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	39.26	0.0	28.86	8.58	5.99	14.37	15.38	8.69	2.67	8.29	11.07	4.72	4.28	8.42	1.12	11.65	2.1	10.24	0.0	0.04	49.9	0.0	3.06	15.11	9.8	1.45	14.32	0.0	2.54	0.0
Strbp	69.72	107.25	57.38	52.19	50.57	180.18	75.2	274.8	6.98	211.43	168.09	88.59	84.43	97.41	241.02	112.88	88.26	207.27	74.74	39.98	126.15	68.78	65.06	165.55	70.29	11.39	13.36	44.64	126.81	69.03	140.67	224.97	115.54	355.37	294.39	65.16	281.5	229.61	228.16	96.48	155.48	308.39	210.53	136.73	85.73	24.98	28.31	203.3	309.58	49.72	290.85	229.65	131.54	210.17	444.96	165.55	131.7	223.15	107.1	138.92	185.45	197.64	165.08	84.11	289.37	171.86	182.32	181.8	121.78	263.91	111.74	195.07	85.32	45.25	45.82	12.74	37.79	49.56	372.49	265.86	184.69	210.6	265.48
