	Calb2_tdTpositive_cell_9	Calb2_tdTpositive_cell_10	Chrna2_tdTpositive_cell_69	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_74	Cux2_tdTpositive_cell_97	Cux2_tdTnegative_cell_16	Htr3a_tdTpositive_cell_13	Nr5a1_tdTpositive_cell_4	Nr5a1_tdTpositive_cell_44	Nr5a1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_23	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_28	Ntsr1_tdTpositive_cell_29	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_33	Ntsr1_tdTpositive_cell_34	Ntsr1_tdTpositive_cell_36	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_75	Rbp4_tdTpositive_cell_9	Rbp4_tdTpositive_cell_36	Rbp4_tdTpositive_cell_39	Rbp4_tdTpositive_cell_55	Rbp4_tdTpositive_cell_73	Rbp4_tdTpositive_cell_81	Rbp4_tdTpositive_cell_87	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_117	Rbp4_tdTpositive_cell_129	Rbp4_tdTpositive_cell_130	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_171	Rbp4_tdTpositive_cell_183	Rbp4_tdTpositive_cell_189	Scnn1a.Tg2_tdTpositive_cell_2	Scnn1a.Tg2_tdTpositive_cell_3	Scnn1a.Tg3_tdTpositive_cell_65	Scnn1a.Tg3_tdTpositive_cell_70	Scnn1a.Tg3_tdTpositive_cell_78	Scnn1a.Tg3_tdTpositive_cell_79	Scnn1a.Tg3_tdTpositive_cell_103	Scnn1a.Tg3_tdTpositive_cell_109	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_30	Tac2_tdTpositive_cell_2	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_5	CAV_LP_Ipsi_tdTpos_cell_13	CAV_LP_Ipsi_tdTpos_cell_14	CAV_LP_Ipsi_tdTpos_cell_16	CAV_LP_Ipsi_tdTpos_cell_21	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_30	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_35	CAV_LP_Ipsi_tdTpos_cell_36
Dscaml1	0.0	3.98	0.0	5.22	0.0	0.0	11.62	5.46	0.0	0.0	0.0	0.0	2.0	7.92	0.0	0.0	24.34	8.77	0.05	4.32	2.47	0.69	0.15	0.0	0.0	7.94	0.0	0.0	2.6	0.0	9.37	2.4	20.17	0.0	0.69	0.05	13.62	8.0	6.43	7.06	0.0	2.79	18.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	15.13	7.1	2.18	3.89	4.86	6.91	2.92	2.34	1.37	2.65	1.87	4.49	2.86	4.38	8.24	3.99	9.27	4.79	0.0	0.0	0.0	0.0	0.0	0.08	8.01	9.76	0.0	9.77	0.0	0.2	0.0
Faf2	65.09	47.7	0.0	71.17	55.47	0.0	49.77	0.0	0.0	6.07	0.0	0.53	39.56	0.0	58.02	7.49	79.51	32.97	66.68	0.04	105.7	36.52	0.0	74.87	4.28	0.32	31.03	0.0	54.7	40.01	49.94	29.15	80.5	0.0	26.88	3.86	27.94	2.44	3.21	19.62	0.68	0.17	92.19	10.53	0.0	0.0	0.0	9.91	11.87	0.0	0.0	144.55	0.19	31.38	33.73	32.04	25.19	15.24	28.54	35.87	24.03	26.18	38.07	14.91	37.25	32.24	30.13	49.86	3.44	1.83	21.65	0.0	125.0	0.0	26.41	53.11	0.0	80.53	0.0	0.0	49.54	26.99	0.0	27.09
Fen1	0.0	37.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.11	0.0	0.0	0.0	196.77	0.07	11.44	22.58	0.0	0.0	64.88	0.0	0.0	0.36	70.61	0.0	0.0	0.0	0.27	52.57	115.28	39.81	0.0	42.55	0.0	0.0	5.76	1.76	55.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.64	0.0	0.0	17.24	11.21	35.69	7.57	13.49	13.61	17.06	38.87	14.11	27.71	5.55	14.21	17.02	0.0	50.34	0.0	29.68	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.28	13.12	0.0	6.07
Gng12	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.9	0.08	0.08	23.53	135.31	114.63	137.06	46.82	50.88	0.0	31.9	64.6	12.98	7.02	32.57	0.0	21.1	0.0	11.33	1.17	0.0	0.09	0.0	13.17	0.0	1.68	0.0	8.14	0.0	0.18	6.2	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	29.61	0.0	82.54	59.28	89.32	64.85	54.63	46.95	38.75	34.0	15.67	42.99	47.62	43.91	42.28	0.0	0.92	2.56	0.0	7.68	314.32	83.07	50.24	16.64	4.68	0.31	0.07	2.44	17.78	91.29	0.0	0.0
Grin2b	158.83	421.03	121.41	183.57	149.79	70.91	118.4	107.26	189.38	92.17	251.16	179.58	138.39	225.96	297.03	261.35	218.12	319.46	191.92	228.46	310.88	272.52	136.14	168.66	285.04	327.86	490.6	107.77	226.58	104.84	275.18	144.4	379.41	169.22	232.11	198.99	259.67	160.55	103.49	165.96	158.45	68.25	106.89	130.05	241.2	18.38	84.45	181.44	115.74	137.96	37.47	465.23	303.22	150.7	339.38	277.15	331.36	259.43	308.82	279.61	307.95	232.73	316.4	249.2	321.05	333.11	317.59	296.16	246.65	237.27	234.65	208.27	196.46	186.82	118.88	55.51	128.86	70.16	73.91	69.08	207.31	172.54	336.19	207.83
Mcfd2	0.19	111.91	4.02	0.37	107.45	0.0	259.82	0.0	0.17	51.9	0.0	258.99	213.62	0.52	96.2	161.47	164.39	115.33	119.31	163.13	316.52	0.06	59.18	129.06	210.99	5.46	6.12	0.19	385.89	253.04	95.04	453.87	7.22	0.18	158.55	157.13	171.34	0.77	22.04	74.33	45.91	80.21	60.45	57.91	218.41	0.0	0.37	0.0	1.61	0.0	0.0	288.01	126.19	320.34	215.96	174.86	270.29	152.32	184.43	223.94	264.03	179.79	229.73	182.34	174.52	197.85	208.13	226.26	289.82	201.78	205.56	185.08	2.36	0.0	472.43	27.96	0.15	122.0	227.39	95.57	122.97	201.3	239.77	268.54
Nfib	51.33	112.31	0.0	212.86	56.12	0.0	12.53	26.89	65.18	0.0	2.98	8.83	211.99	45.63	266.47	135.57	349.88	649.0	226.59	179.66	282.16	227.11	100.27	97.95	128.41	178.94	70.23	3.57	156.59	3.39	290.37	106.81	238.65	249.1	256.67	49.15	132.57	66.65	11.94	89.61	17.71	44.38	120.97	27.84	4.44	5.62	0.0	16.27	20.73	0.0	0.0	0.0	169.58	142.12	224.49	196.57	312.69	167.16	185.55	281.91	233.3	151.04	186.96	138.64	333.81	218.53	203.8	259.69	171.56	220.73	139.35	184.58	293.11	155.37	74.98	68.36	127.17	151.55	43.75	43.95	179.05	345.84	356.18	205.91
Nrp1	0.06	0.0	0.16	0.0	0.0	0.0	0.0	1.37	0.0	0.0	0.0	0.0	88.65	0.18	29.42	69.97	0.0	33.59	58.17	27.28	27.88	12.48	20.03	32.4	84.46	18.42	50.57	0.07	94.78	9.44	0.59	49.85	28.28	0.0	24.24	0.0	87.51	1.31	1.49	19.81	0.0	22.49	14.46	0.0	0.0	0.0	0.12	0.0	0.0	0.17	0.0	7.71	83.55	45.21	74.65	66.75	99.89	94.79	62.08	62.79	64.41	47.8	80.63	42.1	86.26	70.4	65.12	14.07	18.48	30.33	2.92	25.54	29.39	45.29	87.68	85.28	50.93	1.1	24.92	19.27	26.26	54.19	102.68	132.25
Pex11b	1.37	0.0	0.6	0.16	137.7	0.0	74.01	40.0	0.0	105.31	145.4	0.48	108.11	0.0	90.89	446.05	492.37	109.89	72.3	0.15	179.29	70.64	48.85	95.61	0.0	167.45	162.15	0.0	99.04	77.02	148.43	89.4	0.0	285.72	16.04	148.99	256.27	0.0	44.62	109.35	100.75	69.3	23.2	145.3	162.21	1.16	0.37	0.0	0.0	0.45	0.0	164.56	102.49	173.16	107.17	107.14	63.98	102.33	118.58	118.12	102.11	112.56	84.12	170.99	149.74	134.42	127.37	223.29	55.27	66.69	79.48	0.0	167.17	0.35	140.41	95.27	144.12	0.55	0.0	0.0	148.88	0.19	124.72	13.46
Pitpnb	144.8	129.91	0.0	253.57	0.31	0.0	29.33	0.0	0.0	22.39	110.91	208.91	306.17	0.0	51.55	0.23	324.01	0.0	26.27	35.79	0.0	173.4	59.39	0.0	0.17	154.17	111.83	0.0	32.56	116.66	78.24	2.69	53.47	0.0	0.8	102.62	141.1	0.29	67.33	47.23	60.8	11.05	83.08	121.2	38.72	0.0	0.0	98.76	0.0	7.67	293.36	157.12	85.69	10.33	117.48	98.82	161.06	104.12	108.26	179.33	161.95	51.84	79.19	78.5	148.43	130.7	135.31	61.0	72.82	0.0	31.83	229.84	18.94	133.0	53.55	116.18	70.57	0.0	28.73	56.0	31.82	162.87	61.38	84.4
Pitpnc1	7.23	4.09	47.07	45.98	16.19	0.0	14.56	0.0	38.11	21.43	4.5	0.0	50.58	111.91	155.43	76.13	95.68	238.28	124.22	37.25	112.86	100.38	12.61	47.69	6.58	73.47	35.44	0.06	0.12	0.2	0.0	26.4	25.8	0.0	5.36	5.51	22.9	7.28	0.0	8.66	56.41	6.22	5.42	6.29	4.06	0.0	0.2	0.0	36.54	0.0	0.0	0.0	219.15	44.26	185.86	123.22	124.4	96.16	170.29	99.54	143.67	117.29	113.82	90.15	254.83	198.77	240.23	0.1	78.42	12.64	31.42	170.22	203.12	19.73	0.13	15.26	0.83	3.01	41.38	63.46	9.51	36.94	45.15	44.24
Rhot2	0.0	0.36	0.17	0.13	0.0	0.0	22.05	0.0	0.0	0.06	0.0	0.14	0.0	22.14	46.61	0.12	95.59	86.42	2.06	0.0	98.51	63.52	0.0	13.19	15.62	0.07	73.84	0.0	17.65	0.12	0.0	9.26	63.77	0.0	54.68	23.88	0.13	86.45	0.0	5.24	0.0	0.11	2.2	29.68	38.76	0.0	2.66	0.0	0.0	1.84	0.0	0.89	0.0	5.45	19.4	10.19	27.87	8.9	16.83	14.63	13.07	18.27	36.2	12.03	9.77	11.76	7.29	34.23	24.31	9.62	1.68	0.17	0.0	2.03	0.0	0.09	0.11	0.0	0.0	0.0	1.14	0.0	2.29	155.32
Scg3	55.55	59.7	57.22	163.97	77.76	355.66	130.3	0.24	0.0	0.0	71.23	0.18	338.65	0.49	350.33	154.31	364.26	444.58	521.22	283.2	397.6	396.85	66.23	325.89	261.51	149.8	276.78	44.24	412.12	165.64	151.51	211.12	267.74	0.0	208.95	59.19	242.9	121.29	274.06	111.81	16.75	76.18	151.2	18.15	103.46	0.0	0.0	0.39	0.0	176.27	0.0	242.35	1046.61	210.42	215.34	380.17	282.83	327.29	361.77	229.07	383.35	324.11	421.24	460.5	298.32	340.19	327.25	10.06	71.34	66.46	248.72	334.02	86.18	512.77	0.52	134.75	438.55	161.94	452.25	220.76	331.83	440.96	310.89	184.37
Slc1a1	12.25	7.28	7.64	0.0	90.74	0.42	0.0	0.0	0.76	24.86	80.44	7.29	0.0	0.37	2.54	6.0	27.75	151.24	92.48	7.07	94.1	227.86	3.78	90.01	20.54	149.95	113.56	52.22	99.52	7.83	13.99	222.09	146.36	21.46	125.0	58.27	190.24	43.93	18.06	49.42	49.34	6.49	35.28	10.06	20.28	0.0	0.24	0.0	5.73	1.07	0.0	2.35	64.32	133.28	45.46	28.05	93.15	50.81	57.32	53.92	41.73	41.26	45.2	28.93	51.09	60.6	61.74	86.21	142.35	70.03	102.73	4.01	4.72	32.85	65.59	10.9	1.13	13.67	0.13	2.89	167.12	154.44	0.12	201.53
Slc30a6	0.0	48.82	78.65	0.17	138.52	0.0	0.0	39.53	343.62	0.0	0.0	0.0	29.72	0.0	0.0	0.15	373.66	0.0	0.0	5.34	0.37	0.34	77.35	391.01	106.57	0.56	81.09	0.0	0.0	0.0	0.28	93.64	78.69	0.0	0.21	62.19	0.17	0.37	12.44	8.94	0.0	15.15	52.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	106.07	0.0	54.16	54.28	39.04	4.93	8.67	21.23	51.13	44.78	48.49	25.17	45.38	48.8	37.42	0.0	55.04	35.05	8.45	0.0	0.0	0.0	172.29	0.0	0.0	0.21	0.0	156.28	10.7	0.18	0.0	47.67
Slc7a4	42.15	43.58	0.59	239.03	1.2	0.24	0.9	0.0	0.0	0.65	35.03	16.91	206.41	0.11	83.9	0.1	1.15	43.0	176.7	229.36	186.78	210.9	25.49	0.0	80.38	142.08	58.98	80.56	138.78	170.28	65.84	8.98	193.43	8.69	89.21	95.84	86.41	97.99	22.43	25.24	159.95	74.93	91.35	55.44	0.12	0.0	0.23	16.67	0.2	410.2	0.0	164.48	0.26	156.64	153.39	182.86	169.19	118.05	162.03	221.24	220.87	178.43	232.23	153.01	191.96	273.68	260.93	171.43	274.93	131.25	191.98	29.63	86.27	132.62	62.88	54.08	23.02	86.63	20.07	2.44	48.71	0.0	167.9	138.46
Sox5	0.0	0.0	0.07	0.05	0.6	0.0	0.0	0.07	0.0	8.0	0.04	0.0	21.86	0.05	28.01	0.05	0.05	12.45	5.74	2.22	23.73	0.91	0.31	0.03	23.05	5.66	48.76	0.05	41.84	0.02	19.53	7.98	35.38	0.0	0.81	0.0	24.15	0.0	0.0	2.32	35.53	0.08	1.29	0.0	0.04	0.0	0.1	0.0	0.0	0.0	0.0	0.26	11.61	0.0	14.95	17.22	12.55	12.91	13.04	17.98	23.01	27.51	13.4	16.51	8.66	8.04	7.67	8.27	7.95	0.05	22.05	2.88	10.68	0.0	9.52	0.0	70.82	16.07	0.04	8.91	17.33	15.15	3.71	31.68
Stx4a	6.7	0.0	151.56	128.41	0.65	0.59	215.16	0.0	474.28	73.75	0.0	5.77	126.22	0.0	0.0	119.63	356.47	99.66	0.0	0.0	137.48	4.35	211.23	326.72	83.79	1.19	42.19	31.58	350.52	153.38	105.96	5.13	145.38	0.0	0.0	83.5	40.12	0.0	0.0	39.55	44.56	22.75	68.44	83.66	121.19	0.0	22.5	0.0	0.0	0.0	0.0	0.0	115.33	78.3	51.61	184.97	107.63	212.38	86.01	88.33	46.89	92.0	57.45	89.46	60.45	65.28	62.22	25.75	86.94	38.07	32.6	68.04	101.32	240.93	176.1	0.18	0.0	194.62	32.28	25.49	0.0	0.0	38.74	5.04
Tle4	0.42	13.09	0.0	0.0	1.97	0.0	0.0	0.0	0.0	77.03	0.09	0.08	126.64	0.15	66.0	167.09	74.82	32.7	206.29	10.46	27.04	5.88	18.98	61.93	46.89	209.63	0.98	0.0	22.05	0.0	3.65	0.94	10.51	0.0	11.5	8.0	0.87	0.0	0.0	0.85	0.0	0.0	2.48	0.37	0.08	0.0	0.0	0.0	0.0	0.22	0.0	53.14	225.88	1.34	90.14	58.3	88.78	74.4	76.98	58.3	68.38	96.13	87.67	60.34	84.06	81.61	86.54	5.06	0.0	9.67	15.65	160.58	19.51	116.96	13.72	25.32	22.5	92.63	28.0	249.91	0.0	25.41	103.57	7.73
Tmem180	0.0	13.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	18.08	0.0	47.23	0.07	0.3	0.0	0.35	51.21	0.0	0.11	0.0	0.17	0.0	0.0	3.1	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.0	0.0	0.0	9.92	0.0	1.58	1.09	0.86	0.11	0.41	0.66	0.3	0.0	0.0	0.0	0.0	0.0	0.0	1.56	6.15	0.29	3.29	12.5	20.22	4.55	16.94	13.37	5.57	1.05	3.33	7.19	0.0	8.38	0.32	0.0	0.13	0.0	0.0	0.0	0.11	0.0	0.0	31.07	0.0	0.0	0.0	0.0	0.0
