	Chrna2_tdTpositive_cell_13	Cux2_tdTnegative_cell_6	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_17	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_32	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_88	PvalbF.Gad2_tdTpositive_cell_90	PvalbF.Gad2_tdTpositive_cell_92	Rbp4_tdTpositive_cell_174	CAV_LP_Ipsi_tdTpos_cell_8
mt_AK132015	2957.07	6586.18	11869.87	6129.44	6636.2	12410.34	4132.7	9933.94	4459.76	10889.61	6360.73	6412.84	9572.18	7992.08	5989.85	5861.73	2479.42
mt_AK132098	2957.07	6586.18	11869.87	6129.44	6636.2	12410.34	4132.7	9933.94	4459.76	10889.61	6360.73	6412.84	9572.18	7992.08	5989.85	5861.73	2479.42
mt_AK138272	626.24	1205.18	1411.74	1424.98	878.82	1835.07	529.43	1298.13	552.85	1026.64	560.76	706.04	506.1	903.96	857.65	1262.73	477.14
mt_AK138995	364.26	1584.32	2014.05	1159.05	1112.84	3119.18	470.22	1835.41	630.42	1279.97	1085.53	1304.54	863.32	1264.46	993.68	3109.77	577.86
mt_AK138996	1402.18	11219.41	3559.99	8864.81	9953.01	17721.28	1212.89	4597.54	1343.85	2216.72	3501.86	3358.17	1495.68	2091.01	1717.45	5353.42	1728.31
mt_AK139029	2412.47	4254.71	4524.53	4260.06	4229.62	4138.01	2438.82	4605.67	2719.17	3955.28	2274.34	3080.68	3807.7	4635.83	4989.09	4412.05	1821.77
mt_AK140265	3722.37	5216.18	11204.42	15757.24	10167.62	16103.86	4121.02	18285.22	6448.75	13642.02	14320.55	13558.45	3040.68	3211.98	3113.58	10954.06	3576.8
mt_AK141672	306.73	774.64	718.75	676.41	515.77	1012.29	273.99	848.45	351.88	628.61	491.87	596.43	351.23	397.15	462.82	611.29	214.29
mt_AK141702	2760.24	7175.99	17697.18	12088.49	10769.96	19571.14	4402.09	16893.51	6576.72	12065.1	8795.94	10640.49	12145.84	13803.28	9786.7	10282.89	4117.58
mt_AK142726	0.0	1460.17	1830.46	323.4	2603.5	4648.28	309.09	3044.08	224.68	1364.31	1926.56	1538.55	0.0	1103.56	267.8	641.88	624.13
mt_AK142736	1944.14	4089.29	7897.7	9310.48	6153.74	13837.49	2594.97	11295.75	3852.7	9501.73	9000.57	8688.9	5148.97	4568.62	4191.91	5400.26	1875.75
mt_AK142750	633.57	4698.9	4346.89	3923.24	2361.51	7134.4	390.33	4816.46	1359.6	2565.77	3357.09	2925.06	590.96	2657.97	807.81	1357.89	1286.77
mt_AK142751	1668.2	2164.15	3949.31	2227.06	2639.92	1839.29	833.78	2961.48	1520.05	2197.47	2504.26	2571.2	3093.93	2818.26	2091.29	4342.74	1618.68
mt_AK144853	1470.07	2754.79	2796.77	3188.9	2804.27	3536.4	1148.16	3465.77	2199.83	3989.68	1860.08	2488.11	4172.57	2924.98	3249.97	1599.42	958.42
mt_AK154943	122.75	769.11	1130.09	695.95	607.82	1242.47	112.55	1027.86	355.98	737.01	520.98	657.08	526.9	544.5	645.31	278.21	268.84
mt_AK162500	4651.41	10812.53	18017.62	16972.65	15862.29	31266.91	5936.57	18115.72	7033.3	13178.06	12142.02	13163.08	9688.78	7506.44	9104.33	16571.2	4879.59
mt_AK163440	3748.26	9117.15	10342.78	8550.15	7445.73	13495.59	3927.57	9855.03	3421.57	5459.26	4388.54	7296.27	5262.3	4252.88	3461.43	7693.2	3035.02
mt_AK165190	6529.9	14857.05	16762.8	8513.15	12153.04	21769.91	6920.7	13770.07	8036.1	13856.24	10103.99	12030.5	10380.84	11470.13	8923.7	20767.68	6131.44
mt_AK165865	6334.98	8014.67	24175.67	21297.17	14986.14	39977.13	7716.83	28666.62	7646.42	20551.69	20384.34	18446.12	12200.19	8203.1	8146.14	17852.86	5346.08
mt_AK167037	2957.07	6586.18	11869.87	6129.44	6636.2	12410.34	4132.7	9933.94	4459.76	10889.61	6360.73	6412.84	9572.18	7992.08	5989.85	5861.73	2479.42
mt_AK167184	679.03	2480.1	2384.8	1878.49	1633.3	3423.96	759.77	2525.36	817.54	1354.76	1378.25	1680.84	1275.09	633.14	1247.71	1223.74	816.95
mt_BC004586	4453.05	11089.52	15505.88	9508.86	11780.78	17878.8	4695.87	13561.19	5847.18	8520.29	6586.31	9169.59	8834.91	11707.27	12307.04	3412.17	4478.2
mt_BC008260	553.69	9011.6	6102.45	6912.3	7885.05	17184.37	1590.68	4751.16	1610.51	5552.76	3620.47	2832.91	2147.74	7307.06	4208.44	862.21	504.27
mt_BC012020	5526.03	9017.09	24916.9	13394.51	13160.47	19336.5	8091.33	17105.16	9029.68	14716.37	10157.99	10550.74	12929.38	7906.73	9951.53	12492.22	6437.13
mt_BC020072	553.69	9011.6	6102.45	6912.3	7885.05	17184.37	1590.68	4751.16	1610.51	5552.76	3620.47	2832.91	2147.74	7307.06	4208.44	862.21	504.27
mt_BC020382	1356.49	6486.97	7043.44	6670.22	4668.48	11101.16	1872.67	6595.7	1279.1	5277.85	4544.98	4047.25	4035.68	2050.0	2712.03	3806.51	1428.08
mt_BC071253	25.49	954.04	663.98	783.95	765.87	2319.2	309.91	1029.23	0.0	249.44	583.54	484.77	10.72	63.21	0.0	448.48	265.11
mt_GU332589	6895.48	9115.7	22738.66	26493.16	13741.48	28909.02	7142.06	31086.28	8717.71	21460.06	22390.28	20242.91	18187.79	19369.81	14964.47	19212.31	5450.92
mt_X57779	3259.52	5921.04	9293.52	6673.74	5660.5	13394.37	4127.97	9044.92	4463.96	8949.42	5467.39	7051.59	8900.68	5635.93	5158.01	4799.34	2171.29
mt_X57780	3259.52	5921.04	9293.52	6673.74	5660.5	13394.37	4127.97	9044.92	4463.96	8949.42	5467.39	7051.59	8900.68	5635.93	5158.01	4799.34	2171.29
