	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_24	Gad2_tdTpositive_cell_43	Gad2_tdTpositive_cell_55	Gad2_tdTpositive_cell_58	Ndnf_tdTnegative_cell_4	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_20	Ntsr1_tdTnegative_cell_25	Ntsr1_tdTnegative_cell_27	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_9	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_25	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_29	Pvalb_tdTpositive_cell_32	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_43	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_65	Pvalb_tdTpositive_cell_66	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_72	Pvalb_tdTpositive_cell_75	Pvalb_tdTpositive_cell_78	Pvalb_tdTpositive_cell_87	Pvalb_tdTpositive_cell_89	PvalbD.Slc32a1_tdTpositive_cell_17	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_26	PvalbD.Slc32a1_tdTpositive_cell_28	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_13	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_39	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_44	PvalbF.Gad2_tdTpositive_cell_56	PvalbF.Gad2_tdTpositive_cell_58	PvalbF.Gad2_tdTpositive_cell_59	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_69	PvalbF.Gad2_tdTpositive_cell_83	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_16	Rorb_tdTpositive_cell_47	Scnn1a.Tg3_tdTnegative_cell_12	Tac2_tdTpositive_cell_8
Clvs1	0.0	99.85	0.0	0.0	0.0	0.0	7.35	82.34	7.39	0.0	0.0	0.0	82.98	0.0	0.0	0.0	0.0	152.7	66.34	46.32	32.72	24.46	68.06	8.63	77.46	50.15	142.74	150.21	79.81	211.62	1.26	88.74	71.11	86.3	76.88	89.24	82.98	95.11	13.2	126.15	14.05	56.81	90.0	0.0	104.69	49.24	84.33	206.93	148.14	97.87	45.47	33.67	177.62	40.26	95.28	20.06	167.15	94.56	90.17	136.37	67.82	60.07	87.1	81.22	7.36	23.98	77.77	65.38	105.05	62.57	38.75	9.25	47.64	35.82	117.23	75.51	42.2	85.67	0.0	0.0	0.0	95.53
Cnnm1	0.0	1.32	0.0	0.0	0.0	0.0	70.89	29.1	0.0	0.0	0.0	0.0	26.45	0.0	0.0	0.0	0.12	33.53	11.15	25.63	41.51	55.6	87.49	53.83	35.22	15.63	59.13	39.08	17.69	30.69	0.0	41.34	29.58	53.71	28.56	29.59	37.38	4.7	0.15	1.55	18.12	32.27	23.15	3.73	4.61	25.36	6.2	71.91	30.63	20.87	29.41	35.36	33.97	37.23	14.25	8.85	23.7	24.8	54.02	34.49	33.8	10.44	56.95	16.12	46.35	18.65	44.86	15.69	50.16	12.87	16.38	51.66	64.43	0.2	72.25	29.04	32.56	21.87	0.0	0.0	0.0	85.73
Cntnap1	0.0	31.77	0.0	0.0	0.0	0.0	3.16	12.51	0.0	0.0	0.0	0.0	28.18	0.0	0.0	0.0	0.0	3.83	34.62	21.71	12.88	8.26	5.69	0.32	5.74	4.22	21.03	1.53	4.67	10.72	0.14	11.88	16.23	12.26	5.1	13.68	6.59	15.4	0.85	13.32	10.33	12.14	9.8	0.07	9.6	0.3	11.65	29.34	19.18	16.12	10.13	9.14	10.73	12.28	17.0	33.14	14.13	15.23	30.63	39.13	0.37	14.63	9.95	0.66	21.06	9.86	6.14	11.1	22.12	0.37	0.1	20.76	35.3	13.06	14.5	36.3	0.45	14.72	0.06	0.0	0.0	17.87
Dffa	0.0	0.0	0.0	0.0	0.0	0.0	107.0	63.13	0.0	7.2	0.0	0.2	53.82	0.0	0.0	0.0	0.0	29.52	48.04	63.38	62.75	55.43	4.41	92.37	50.29	134.29	3.17	0.26	48.02	13.53	0.0	57.43	85.17	86.85	85.94	16.14	84.59	33.08	4.41	20.78	45.6	3.28	204.02	0.0	42.22	90.47	1.43	55.22	81.43	98.44	112.95	65.88	0.92	47.84	116.58	81.44	0.0	16.12	37.35	77.07	45.38	40.75	9.15	86.54	0.0	0.0	105.85	6.66	34.22	98.92	86.16	66.22	0.61	18.51	29.1	65.55	41.26	107.21	0.0	0.17	0.0	3.45
Dimt1	0.0	0.58	0.0	0.0	0.0	0.0	17.57	18.31	39.92	0.0	0.0	0.0	36.64	0.5	0.0	0.0	0.47	30.5	37.24	11.07	9.4	7.52	41.23	146.45	7.93	31.27	14.72	101.06	58.15	44.63	68.08	16.96	61.61	34.59	11.09	73.38	49.31	1.76	27.63	26.49	20.99	13.25	64.95	14.79	25.09	41.7	0.0	73.91	74.65	58.89	33.71	48.62	50.49	79.36	22.12	34.32	52.64	26.52	25.8	12.49	15.55	34.28	34.27	56.73	43.27	22.71	11.16	0.0	162.92	31.41	37.56	63.32	18.04	16.23	25.28	56.72	116.3	50.67	0.0	0.0	0.0	38.36
Epb4.1l1	0.0	0.0	0.0	0.0	0.0	0.0	0.3	10.76	3.13	0.0	0.0	0.0	13.26	0.0	0.0	0.0	0.0	24.77	6.57	19.04	37.5	10.86	45.28	11.34	12.77	5.63	26.84	39.97	5.65	2.59	2.82	31.48	17.99	37.49	6.23	24.12	23.26	22.72	15.19	5.59	10.64	1.62	13.97	3.68	5.68	12.06	29.99	12.72	34.25	28.33	5.32	2.84	85.21	20.56	55.65	31.63	35.65	33.16	9.94	19.51	38.28	26.43	17.11	25.53	46.68	31.62	18.1	71.06	19.15	15.79	6.71	39.56	21.02	9.11	44.57	28.98	41.12	16.54	0.0	0.07	0.0	3.3
Fam135b	0.0	0.0	0.0	0.0	0.0	0.0	20.53	85.69	0.15	0.0	0.0	0.0	54.23	0.27	0.0	0.0	0.0	41.94	63.92	52.03	56.57	26.31	56.58	28.52	38.83	76.05	47.24	40.88	46.24	64.56	18.07	13.48	23.84	58.41	32.11	29.47	73.09	63.98	0.0	0.0	27.53	21.71	46.17	60.54	15.11	25.08	36.35	29.56	16.31	22.14	26.06	7.38	0.31	35.4	25.73	27.89	63.01	79.89	34.61	40.44	19.84	43.33	28.27	32.87	46.57	3.93	19.9	10.4	39.18	12.64	0.23	84.17	26.54	59.73	49.64	64.02	39.25	16.85	0.08	0.18	0.0	19.17
Fbxo31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.78	0.0	0.0	0.0	0.0	0.76	0.0	0.0	0.0	0.0	1.88	0.64	0.0	5.33	26.28	2.98	2.47	0.0	4.34	0.38	2.9	0.0	0.25	0.17	0.0	14.93	0.0	2.27	0.0	7.4	32.58	0.0	0.0	1.98	0.88	84.35	3.32	3.49	0.0	1.8	0.0	10.0	2.01	0.0	1.21	5.63	0.0	0.0	7.62	50.03	6.79	2.48	0.0	1.37	0.0	30.13	0.0	0.0	2.21	0.0	0.46	56.78	0.0	6.85	0.0	0.0	0.0	0.0	1.34	4.9	1.7	0.0	0.09	0.13	2.62
Fn3k	0.0	0.0	0.0	0.0	0.0	0.0	79.36	92.01	0.0	0.0	0.0	2.9	141.14	0.0	0.0	0.0	0.0	159.42	172.18	329.99	253.5	133.63	154.16	153.71	78.1	74.79	105.44	83.38	181.09	6.16	0.0	269.41	120.31	191.96	112.3	61.67	86.42	415.49	66.11	0.0	212.5	81.38	405.27	258.28	126.19	46.52	140.62	58.4	75.74	243.17	142.4	275.59	159.41	46.15	30.69	104.29	214.67	27.71	96.32	87.17	217.8	69.2	71.05	75.19	136.97	110.73	0.0	27.87	110.31	44.3	144.79	93.47	162.16	0.17	39.99	33.4	114.7	53.12	0.0	0.0	0.0	1.34
Gabbr1	0.0	0.0	5.31	6.08	0.0	0.0	33.32	50.4	0.16	0.15	11.9	1.58	16.43	267.16	0.0	0.0	0.26	21.6	39.65	5.56	1.94	9.6	11.93	40.62	78.31	12.77	78.23	20.23	11.18	48.09	1.14	32.5	9.3	55.97	9.9	12.29	6.75	54.33	0.0	42.77	2.12	30.49	55.78	63.88	0.5	38.41	3.01	2.79	20.01	29.41	48.86	16.01	47.0	16.6	38.34	38.07	29.91	41.06	36.43	38.16	23.18	5.49	2.2	14.51	16.54	51.17	48.15	0.0	73.55	45.74	30.44	115.0	29.91	0.89	42.28	104.2	83.8	19.7	0.08	0.09	0.0	0.22
Glrb	0.0	125.81	0.19	0.0	0.0	0.0	266.87	251.27	97.18	0.0	116.6	0.0	240.84	0.0	1.48	0.0	0.8	111.48	289.15	106.94	192.42	169.66	232.89	351.58	148.28	279.89	196.64	203.4	452.11	352.29	141.01	284.46	167.34	218.51	132.9	257.93	480.21	293.23	10.05	58.75	424.05	165.32	483.9	96.22	221.29	146.2	49.46	124.87	296.39	416.35	365.1	188.73	273.34	234.08	226.46	239.63	240.23	171.25	218.21	163.92	110.75	185.75	273.86	147.35	318.73	113.13	169.76	218.5	443.31	175.79	25.56	236.41	302.72	81.86	183.43	316.96	160.46	259.04	0.0	0.56	0.0	326.7
Gm13306	0.0	0.54	0.0	0.0	0.0	0.0	0.0	9.27	0.0	0.0	0.0	0.0	1.67	0.0	0.0	0.0	0.68	0.0	0.92	0.0	6.15	2.68	8.29	0.0	0.0	0.77	0.0	0.0	0.0	1.08	8.04	0.0	4.51	7.64	1.16	0.0	0.0	0.68	0.0	24.17	0.0	0.0	0.0	0.0	3.31	2.97	0.0	2.97	0.76	5.49	1.43	1.44	0.31	0.0	0.0	10.11	11.61	2.62	1.92	0.0	0.0	4.77	9.42	8.43	2.09	8.14	1.21	0.0	1.56	0.0	1.16	0.26	0.0	0.0	2.37	2.14	0.0	9.34	0.0	0.46	0.0	0.21
Gm14430	0.0	0.0	0.0	0.0	0.0	0.0	17.66	21.67	0.0	0.42	0.0	0.0	3.32	0.0	0.0	8.44	0.0	31.03	36.04	0.0	14.72	31.75	1.87	12.3	18.96	26.14	10.3	14.72	6.05	13.5	1.89	14.04	6.81	9.4	5.35	16.5	13.46	9.82	3.22	0.84	12.83	12.31	52.69	1.56	3.07	20.8	2.82	24.87	11.03	16.3	13.12	13.32	5.42	18.55	13.57	19.8	1.28	4.08	11.25	18.74	0.0	0.32	9.13	19.5	14.36	0.54	6.88	0.17	14.82	8.34	0.0	8.31	17.65	0.06	13.81	4.31	15.88	2.38	0.12	0.24	0.0	8.24
Gm14434	0.0	0.0	0.0	0.0	0.0	0.0	17.66	21.67	0.0	0.42	0.0	0.0	3.32	0.0	0.0	8.44	0.0	31.03	36.04	0.0	14.72	31.75	1.87	12.3	18.96	26.14	10.3	14.72	6.05	13.5	1.89	14.04	6.81	9.4	5.35	16.5	13.46	9.82	3.22	0.84	12.83	12.31	52.69	1.56	3.07	20.8	2.82	24.87	11.03	16.3	13.12	13.32	5.42	18.55	13.57	19.8	1.28	4.08	11.25	18.74	0.0	0.32	9.13	19.5	14.36	0.54	6.88	0.17	14.82	8.34	0.0	8.31	17.65	0.06	13.81	4.31	15.88	2.38	0.12	0.24	0.0	8.24
Gm2506	0.0	0.54	0.0	0.0	0.0	0.0	0.0	9.27	0.0	0.0	0.0	0.0	1.67	0.0	0.0	0.0	0.68	0.0	0.92	0.0	6.15	2.68	8.29	0.0	0.0	0.77	0.0	0.0	0.0	1.08	8.04	0.0	4.51	7.64	1.16	0.0	0.0	0.68	0.0	24.17	0.0	0.0	0.0	0.0	3.31	2.97	0.0	2.97	0.76	5.49	1.43	1.44	0.31	0.0	0.0	10.11	11.61	2.62	1.92	0.0	0.0	4.77	9.42	8.43	2.09	8.14	1.21	0.0	1.56	0.0	1.16	0.26	0.0	0.0	2.37	2.14	0.0	9.34	0.0	0.46	0.0	0.21
Gm4724	0.0	0.0	0.0	0.0	0.0	0.0	17.66	21.67	0.0	0.42	0.0	0.0	3.32	0.0	0.0	8.44	0.0	31.03	36.04	0.0	14.72	31.75	1.87	12.3	18.96	26.14	10.3	14.72	6.05	13.5	1.89	14.04	6.81	9.4	5.35	16.5	13.46	9.82	3.22	0.84	12.83	12.31	52.69	1.56	3.07	20.8	2.82	24.87	11.03	16.3	13.12	13.32	5.42	18.55	13.57	19.8	1.28	4.08	11.25	18.74	0.0	0.32	9.13	19.5	14.36	0.54	6.88	0.17	14.82	8.34	0.0	8.31	17.65	0.06	13.81	4.31	15.88	2.38	0.12	0.24	0.0	8.24
Hapln4	0.0	0.0	0.0	0.0	0.0	0.0	61.57	41.38	0.0	0.19	0.1	0.0	104.79	0.0	0.0	0.0	0.17	65.14	55.19	24.87	43.61	23.79	103.96	0.0	53.67	69.88	26.6	52.52	11.88	0.76	0.0	71.64	68.58	107.81	67.19	27.6	55.46	44.85	59.67	0.17	24.38	66.3	161.04	0.42	30.7	31.52	37.89	5.02	44.5	30.51	15.6	108.62	112.74	76.99	34.79	41.45	9.9	10.92	37.32	123.82	32.28	45.07	44.07	43.76	36.94	59.55	83.37	23.35	10.78	43.62	16.88	53.57	35.64	0.4	21.36	121.22	125.39	60.25	0.0	0.0	0.0	1.17
Hivep1	0.0	2.4	0.0	0.0	0.0	0.0	0.29	0.0	21.8	0.0	0.0	0.05	4.72	0.14	0.0	0.0	10.75	2.87	8.99	0.39	17.86	5.57	0.09	9.51	0.14	1.47	0.56	8.73	0.09	0.0	0.5	3.48	0.07	4.99	0.06	2.02	0.0	0.22	0.17	0.14	8.83	0.0	29.61	1.5	0.0	3.34	0.0	2.64	10.26	0.03	3.0	0.0	1.25	0.4	5.6	0.08	26.38	0.18	2.32	9.78	0.62	4.41	20.03	2.42	14.49	0.0	0.0	0.63	3.63	1.32	0.0	0.0	0.0	12.36	3.26	0.37	0.04	0.0	0.08	0.0	0.0	10.64
Ikzf5	0.32	0.0	0.91	0.0	0.0	0.0	2.01	0.0	0.0	0.0	0.0	11.4	0.76	0.0	0.0	1.27	0.14	0.0	7.76	0.0	18.9	22.75	24.02	5.8	1.93	0.0	0.0	1.44	0.11	22.06	0.0	0.0	20.62	0.54	0.12	20.12	0.15	0.22	3.83	0.0	0.42	21.82	50.8	0.34	0.34	17.25	0.0	0.0	31.34	46.5	0.0	1.2	9.32	0.32	14.44	9.36	0.35	0.0	10.49	11.5	26.21	47.63	16.21	22.43	0.1	3.53	8.68	0.23	6.9	0.0	44.12	0.25	23.84	0.38	4.18	5.15	4.3	22.77	0.08	0.09	0.0	0.15
Kcna1	0.0	0.0	0.0	0.0	0.05	0.05	219.47	129.7	60.48	0.0	0.0	0.0	109.21	0.97	0.0	0.0	0.07	218.51	203.62	67.88	155.4	214.98	258.51	191.86	97.04	120.88	231.33	194.23	255.22	281.96	28.91	237.12	175.41	198.9	245.4	209.54	455.33	193.33	33.81	55.56	151.11	167.48	123.08	31.55	159.56	126.88	28.07	81.48	158.39	203.93	98.15	147.2	121.61	254.23	229.92	210.97	28.71	186.92	175.67	139.08	169.76	275.53	173.91	195.32	61.55	140.07	97.29	130.18	124.46	83.12	73.74	156.66	189.11	193.09	139.69	164.37	155.8	247.3	0.08	0.0	0.0	67.55
Kcnc3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.59	0.28	0.0	0.0	0.0	7.36	0.0	0.0	0.0	0.0	10.1	6.18	1.96	7.5	3.21	15.58	10.08	0.03	5.98	12.39	12.47	9.13	2.87	1.45	7.84	9.91	0.16	1.74	11.58	8.77	6.22	1.36	0.0	0.0	6.09	4.31	3.14	6.75	0.08	1.34	5.19	15.04	8.17	6.94	6.27	4.84	5.05	18.42	4.27	10.45	9.2	19.58	6.4	5.08	7.27	0.89	1.88	1.87	19.57	0.09	5.34	13.46	2.21	0.83	0.07	16.02	3.61	1.07	13.63	2.49	8.74	0.0	0.0	0.0	0.76
Kcnh1	0.0	2.16	0.0	0.0	0.0	0.0	1.51	12.94	0.1	0.0	0.0	0.0	6.62	0.0	0.0	0.0	0.17	0.0	0.2	7.41	0.0	0.14	10.12	0.08	0.09	9.44	0.12	0.0	1.44	0.0	0.0	16.08	0.0	0.0	7.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.57	0.0	0.0	0.0	13.08	17.5	0.94	0.0	11.02	0.0	4.8	0.0	2.17	7.11	0.0	0.0	30.15	9.07	2.94	1.64	0.0	0.0	28.32	0.0	0.74	0.0	1.91	0.32	0.0	18.68	0.16	27.92	0.38	2.09	4.53	0.0	0.0	0.0	0.0	1.54
