	Calb2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_51	Ctgf_tdTpositive_cell_12	Ctgf_tdTpositive_cell_14	Ctgf_tdTpositive_cell_17	Ctgf_tdTpositive_cell_18	Ctgf_tdTpositive_cell_19	Ctgf_tdTpositive_cell_20	Htr3a_tdTpositive_cell_72	Htr3a_tdTpositive_cell_96	Htr3a_tdTpositive_cell_111	Htr3a_tdTpositive_cell_113	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_26	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_70	Ntsr1_tdTpositive_cell_9	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_23	Ntsr1_tdTpositive_cell_26	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_30	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_40	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_50	Ntsr1_tdTpositive_cell_52	Ntsr1_tdTpositive_cell_59	Ntsr1_tdTpositive_cell_77	Ntsr1_tdTnegative_cell_29	Ntsr1_tdTnegative_cell_44	PvalbD.Slc32a1_tdTpositive_cell_15	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_76	Rbp4_tdTpositive_cell_125	Rbp4_tdTpositive_cell_132	Rbp4_tdTpositive_cell_139	Rbp4_tdTpositive_cell_153	Rbp4_tdTpositive_cell_180	Rbp4_tdTnegative_cell_18	Slc17a6_tdTpositive_cell_3	Slc17a6_tdTpositive_cell_24	Slc17a6_tdTpositive_cell_34	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_55	Vip_tdTpositive_cell_69	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_7	CAV_LP_Ipsi_tdTpos_cell_10	CAV_LP_Ipsi_tdTpos_cell_19	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Dnajc5	0.0	42.12	0.06	94.58	34.38	28.7	62.78	11.15	75.36	78.4	50.01	38.27	95.2	0.0	34.48	23.51	67.55	4.41	0.83	61.88	98.75	6.01	0.0	24.0	70.16	167.29	54.0	0.15	22.82	0.0	58.22	27.7	27.55	76.63	0.11	103.06	63.29	0.0	0.0	0.0	119.17	1.61	81.97	74.23	84.16	99.99	34.12	0.0	3.2	112.99	141.51	89.87	81.59	0.0	43.6	55.96	88.5	65.93	62.92	55.8	65.99	71.03	50.24	103.37	93.82	0.0	0.0	8.74	9.77	40.16	0.0	74.29	219.2	212.24	218.29
Dync1h1	104.32	23.47	38.84	64.21	29.25	12.37	44.9	27.04	31.88	8.14	39.3	15.41	28.19	0.0	7.61	22.04	20.44	24.64	9.32	19.28	4.21	13.8	0.72	7.74	22.39	55.79	14.44	19.4	33.47	11.27	15.04	5.42	14.23	12.13	35.33	13.96	38.9	0.09	14.19	0.95	102.42	47.99	39.08	21.08	36.98	16.7	30.84	0.0	30.52	4.51	13.47	20.3	21.03	115.6	14.44	12.52	18.01	17.66	20.53	19.73	22.35	27.47	28.78	29.91	30.04	25.01	7.78	23.41	59.2	16.24	0.1	15.73	143.44	143.12	153.5
Fbxl14	0.0	11.34	0.0	0.46	0.14	0.67	0.28	10.82	0.49	0.29	0.22	0.42	0.42	0.0	0.12	0.22	1.89	0.17	0.07	0.25	0.83	0.0	0.12	2.43	0.33	0.0	0.06	0.0	12.44	0.0	0.12	0.0	0.07	0.0	0.27	0.62	10.99	0.0	0.0	0.32	1.46	0.0	0.65	0.65	15.47	2.55	0.88	0.17	0.46	0.84	0.79	0.19	0.05	1.52	1.53	3.9	0.27	1.61	0.09	1.61	1.6	0.29	0.05	1.14	7.88	0.01	0.0	1.86	0.1	0.17	0.85	0.68	15.44	17.6	15.44
G2e3	0.0	0.0	1.94	12.19	14.24	0.0	21.3	10.58	18.49	12.3	0.05	0.0	13.34	0.0	0.0	0.0	0.0	1.67	0.0	3.4	0.0	10.81	0.0	0.0	0.0	0.0	58.7	0.0	0.0	0.0	0.0	0.0	0.31	0.07	1.84	3.57	0.0	0.0	0.0	0.0	79.13	0.0	11.36	0.12	1.93	83.19	0.26	0.0	0.0	35.79	0.0	6.05	0.0	0.0	2.08	7.14	6.24	0.84	5.24	4.12	3.08	0.0	14.33	0.0	0.0	1.8	7.67	0.69	0.0	0.0	7.54	3.84	7.62	7.26	7.85
Gm14431	5.69	1.11	0.0	0.9	3.04	0.7	0.4	0.68	1.13	5.42	1.23	0.99	3.6	0.0	0.0	0.49	2.91	0.13	0.17	0.05	1.64	0.16	0.0	0.0	0.13	0.0	0.0	1.02	0.09	0.48	0.0	2.71	0.0	0.0	0.0	0.21	0.26	0.0	0.19	0.0	35.56	0.96	1.55	6.14	0.72	2.68	7.13	0.0	0.36	1.11	13.66	0.89	0.84	0.7	1.14	4.2	2.49	0.71	0.72	0.9	1.65	2.13	4.76	0.91	0.06	0.0	0.0	3.76	0.0	0.37	3.49	0.5	8.87	7.17	8.34
Gm5468	0.0	42.42	0.22	11.26	53.28	0.0	20.9	62.24	55.83	2.0	0.23	0.0	0.0	0.0	0.96	0.07	0.2	0.12	0.0	0.0	0.99	5.57	0.0	0.23	18.53	0.12	0.0	1.17	3.72	8.36	92.53	18.03	21.85	0.0	2.58	0.0	51.71	0.0	0.0	0.28	194.38	0.0	0.09	43.5	0.11	101.97	0.0	0.0	1.95	31.3	0.4	0.0	0.0	0.16	20.9	22.57	28.76	2.5	47.77	24.76	23.04	0.0	2.74	8.62	0.36	28.29	0.0	12.18	59.46	78.42	0.09	0.0	3.45	3.46	3.39
Gm8898	5.69	1.11	0.0	0.9	3.04	0.7	0.4	0.68	1.13	5.42	1.23	0.99	3.6	0.0	0.0	0.49	2.91	0.13	0.17	0.05	1.64	0.16	0.0	0.0	0.13	0.0	0.0	1.02	0.09	0.48	0.0	2.71	0.0	0.0	0.0	0.21	0.26	0.0	0.19	0.0	35.56	0.96	1.55	6.14	0.72	2.68	7.13	0.0	0.36	1.11	13.66	0.89	0.84	0.7	1.14	4.2	2.49	0.71	0.72	0.9	1.65	2.13	4.76	0.91	0.06	0.0	0.0	3.76	0.0	0.37	3.49	0.5	8.87	7.17	8.34
Gpsm1	0.0	0.0	0.0	0.0	0.0	1.41	0.65	0.0	24.74	0.0	0.0	0.0	0.0	0.0	23.34	0.16	0.0	0.35	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	77.4	0.0	0.0	0.0	0.0	0.0	0.0	49.96	0.0	0.06	0.0	0.0	0.0	56.72	0.0	1.7	8.78	24.3	33.41	0.0	0.0	0.0	0.0	1.01	24.33	17.91	0.28	6.82	8.14	8.43	5.54	0.0	1.18	3.55	0.11	0.09	0.0	0.0	0.53	2.03	0.0	0.28	0.0	18.2	0.0	33.44	38.42	34.28
Grm2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	99.01	0.0	0.15	17.27	4.76	48.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.41	0.94	0.0	4.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.42	41.5	44.9	46.69
Htatsf1	0.0	55.06	15.03	14.21	45.92	0.47	0.0	48.94	0.0	29.97	0.59	0.0	46.25	0.0	28.64	7.81	2.79	0.0	18.72	51.9	78.41	0.0	0.0	0.0	0.13	74.45	4.94	0.1	1.94	0.0	24.14	32.4	36.86	0.15	72.33	0.0	0.31	0.0	0.0	0.0	142.72	3.29	38.22	77.35	90.51	79.48	22.25	0.0	0.0	4.62	0.23	32.11	27.92	0.0	23.83	13.98	25.91	32.67	33.99	28.85	37.49	0.0	0.0	81.53	89.87	74.17	87.07	0.11	68.88	17.4	92.8	0.09	63.51	58.4	59.81
Ica1l	0.0	0.19	0.0	2.32	0.61	0.0	0.0	0.17	7.58	11.6	0.0	5.43	0.0	0.0	11.88	3.91	31.34	0.0	0.06	0.0	0.0	0.0	0.0	10.83	0.0	0.0	0.0	0.0	0.0	4.48	11.46	6.71	0.18	0.0	49.27	0.0	3.17	0.0	0.0	0.0	133.92	16.67	23.14	43.18	0.0	26.91	1.55	0.0	4.58	22.44	1.2	22.76	0.0	0.0	2.73	12.98	8.44	9.77	1.24	3.19	6.81	0.0	28.29	0.09	1.11	0.0	0.0	43.1	14.3	1.41	0.0	0.0	28.48	27.23	25.56
Il12a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.86	0.0	0.0	0.0	0.0	0.0	0.0	1.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	270.27	0.0	107.13	0.0	195.75	82.55	0.0	0.0	0.0	128.53	0.0	0.0	0.0	0.0	0.29	10.08	24.07	0.0	35.07	7.49	7.28	0.0	0.0	0.0	0.0	0.0	27.93	0.0	0.0	97.59	0.0	0.0	2.92	2.23	3.01
Itfg1	0.0	49.99	35.31	55.23	2.65	11.72	130.27	3.89	82.23	1.32	42.03	48.76	53.17	0.0	39.74	104.0	99.74	43.54	0.42	0.38	62.12	10.18	0.11	89.94	16.93	112.2	0.0	57.59	27.13	30.06	0.23	93.75	110.19	59.23	82.5	53.1	1.14	6.52	0.0	113.7	220.21	28.47	52.71	153.01	90.17	166.64	100.25	0.0	49.72	138.83	29.1	110.79	183.01	0.0	22.0	21.86	53.48	32.7	30.62	57.62	52.16	0.0	34.21	0.0	45.3	0.08	46.18	34.38	32.67	47.92	12.98	71.74	205.17	201.76	194.34
Kcna2	41.44	24.78	41.14	27.07	15.15	22.12	32.93	33.66	25.38	8.83	23.7	6.36	32.5	0.0	11.92	4.8	19.55	26.72	12.86	13.6	9.42	0.03	0.29	13.35	27.05	0.17	7.15	0.25	7.87	17.8	5.58	4.19	0.52	0.3	0.54	0.18	1.97	0.24	0.16	21.84	42.77	37.04	31.17	58.48	56.56	88.12	27.6	3.49	0.11	0.15	0.51	0.04	7.59	1.48	6.87	6.93	17.65	7.23	9.77	6.28	9.09	43.01	8.36	3.87	0.58	0.07	25.67	25.22	47.89	1.85	18.9	27.24	82.83	70.58	84.29
Mars	0.0	0.44	0.0	0.0	6.58	0.0	10.94	0.0	0.0	0.25	16.48	0.0	0.12	0.0	0.03	5.67	2.32	0.0	0.0	0.0	65.5	0.0	0.0	27.64	17.59	0.0	0.0	0.0	0.0	1.01	15.59	1.2	0.11	21.81	0.0	0.0	0.0	0.0	0.0	0.0	152.03	0.0	26.22	1.87	76.89	0.0	41.52	0.0	10.53	0.0	5.34	0.0	21.52	383.18	8.44	12.53	21.12	16.82	6.04	8.15	12.9	9.9	24.02	0.0	0.0	4.81	0.08	0.0	0.0	0.0	0.0	17.76	45.0	48.96	47.5
Mpped1	0.0	38.03	3.87	52.09	134.6	106.41	86.02	152.44	147.28	238.11	266.73	88.56	174.82	0.0	73.87	139.52	57.51	28.26	2.02	104.78	16.47	2.17	0.0	27.72	6.73	1.61	15.56	26.37	1.12	21.35	3.78	49.09	27.44	40.56	5.56	2.43	67.83	0.0	0.12	0.22	15.38	63.34	134.76	43.95	113.65	191.05	96.44	0.0	24.21	2.5	0.58	42.97	3.33	0.0	52.71	69.5	81.5	80.81	42.63	51.21	51.99	9.69	115.4	50.04	5.93	19.03	0.74	49.06	0.0	12.47	1.11	70.93	162.63	168.42	172.83
Mpzl2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.09	0.19	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.01	0.0	0.0	0.31	0.2	0.0	0.08	0.14	0.0	0.0	0.0	0.0	0.31	0.0	0.23	0.0	0.3	0.12	0.18	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.07	0.11	0.0	0.35	0.0	0.0	0.0	0.0	0.06	0.06	0.0	0.0	0.0	0.0	1.55	2.17	1.26
Mrps2	0.0	32.55	0.0	0.91	50.82	0.0	55.26	63.45	0.0	90.38	7.51	82.18	97.96	0.0	0.12	9.69	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.69	0.38	0.0	0.0	1.28	0.84	0.22	134.65	0.0	0.0	0.0	239.44	0.0	5.67	5.84	69.76	13.63	0.28	0.31	16.75	0.31	0.0	65.22	62.68	0.0	61.73	48.83	24.6	36.37	23.4	34.0	37.55	3.7	81.39	193.66	108.59	0.0	0.12	0.0	0.0	2.42	0.0	3.14	31.24	29.95	29.57
Pbx2	0.0	0.0	0.0	22.33	0.0	0.0	11.29	0.0	0.0	0.0	5.15	0.23	19.56	0.0	0.0	0.0	0.0	77.14	0.0	0.0	2.64	1.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.22	19.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.12	0.0	9.81	0.0	0.0	0.83	1.42	0.0	3.33	0.0	0.0	0.0	0.0	0.0	2.81	1.33	3.79	1.01	2.12	2.7	2.97	0.0	0.0	26.16	0.0	0.0	0.0	0.0	18.22	0.0	1.8	0.09	39.55	41.16	37.27
Pcp4	2861.67	5117.81	4955.04	3820.49	4639.95	5350.95	4004.36	4871.0	4341.13	4787.42	5130.46	5293.38	4195.3	0.0	3355.21	4733.38	4414.79	4425.79	5082.23	4231.51	4518.09	4325.62	7467.74	3966.76	4635.18	5853.47	5181.2	6240.76	4858.15	5326.1	6808.32	7407.1	6583.41	4254.91	5620.14	4027.97	5251.38	4.46	0.0	3805.42	3276.12	4770.47	3666.35	3186.44	2471.06	3140.4	4470.96	0.0	4815.87	7030.52	4729.09	5005.09	4368.46	5492.66	4480.25	4108.26	3446.01	4928.48	5219.57	3442.63	3306.12	7638.97	5202.71	5242.95	4439.21	6941.16	7178.2	5557.87	6670.6	6291.11	8685.7	6217.49	788.83	807.59	741.11
Plcxd2	0.0	16.54	0.0	0.0	0.0	2.0	0.0	21.73	19.65	0.0	0.0	0.0	0.0	0.0	1.95	0.01	18.63	0.0	0.19	8.57	11.48	0.17	0.0	0.0	0.0	0.0	3.5	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	141.63	46.0	48.25	90.32	227.09	38.1	0.0	0.0	0.0	0.0	0.0	15.11	18.34	0.0	3.42	1.32	3.97	0.14	3.19	1.62	2.38	9.77	20.36	0.0	0.0	0.08	1.26	0.08	0.06	0.04	0.0	0.03	52.33	46.58	52.18
Poldip2	0.0	72.15	17.44	137.62	0.0	1.0	0.27	0.0	1.97	14.54	0.0	71.46	59.04	0.0	0.0	0.0	0.48	17.75	5.84	0.0	37.64	0.0	196.43	0.17	0.0	2.38	0.0	0.0	33.64	0.28	0.0	0.0	8.83	0.0	18.56	12.33	1.8	0.0	0.0	0.0	95.04	0.0	26.49	1.22	19.85	0.0	2.34	0.0	0.0	35.33	0.0	22.0	0.0	113.7	5.55	28.48	11.28	20.68	3.17	12.45	15.44	45.38	1.81	0.0	98.55	0.0	15.3	0.0	0.0	79.08	64.81	3.22	89.4	95.99	94.39
Ppp2r2c	0.0	56.79	21.36	42.22	51.89	10.85	31.28	77.9	35.72	93.39	65.79	81.71	5.22	0.0	1.45	4.29	4.89	104.82	12.35	0.88	56.72	0.08	94.61	54.89	6.22	6.32	23.54	32.46	65.16	32.97	28.31	108.14	68.43	43.63	69.52	0.65	3.49	0.0	0.0	7.47	189.53	44.55	18.94	42.24	61.95	117.34	62.49	0.0	67.03	55.98	42.57	7.72	37.14	0.22	38.18	65.98	51.66	39.66	44.83	60.62	60.51	36.34	15.96	65.72	44.87	2.09	1.18	5.4	44.68	64.86	46.08	80.91	446.28	420.01	458.99
Ppp3r1	33.91	102.0	363.3	114.49	122.27	18.75	110.81	188.62	163.52	99.86	388.25	330.08	129.64	0.0	120.95	44.23	66.57	36.99	10.64	11.97	42.26	123.18	37.64	79.47	204.75	203.08	276.08	156.96	182.0	54.38	147.65	285.03	100.98	197.19	255.8	56.18	164.85	0.0	0.0	11.59	445.2	104.76	229.72	283.8	247.55	305.96	245.71	0.0	140.82	252.81	189.44	36.85	97.3	0.0	152.24	165.54	168.24	155.84	171.41	215.64	211.12	110.82	197.42	190.21	105.9	104.87	153.32	247.65	77.0	282.95	220.78	233.53	920.94	893.77	828.14
Prickle2	0.0	0.54	1.95	7.09	23.57	21.09	17.96	14.96	43.79	22.51	59.76	83.04	31.93	0.0	0.74	20.03	0.04	32.28	0.0	0.0	7.18	1.94	0.09	19.45	56.51	0.0	49.7	5.81	4.34	31.11	12.66	4.1	0.32	34.74	7.09	5.95	5.24	0.0	0.0	0.05	95.88	55.78	44.26	70.23	34.87	43.65	16.21	8.34	61.38	5.2	18.51	9.56	12.04	0.06	17.38	17.75	23.64	16.5	18.95	12.94	21.0	43.93	19.72	20.09	25.86	1.46	1.3	4.9	0.0	2.54	8.06	10.92	85.57	84.5	85.69
Rnf165	0.24	0.13	0.72	2.14	1.98	0.13	0.42	0.91	7.18	8.49	16.13	22.22	1.57	0.0	0.04	0.03	0.0	5.26	0.1	0.09	0.15	0.6	0.04	0.04	0.26	0.0	2.48	0.33	0.0	0.18	25.59	0.63	0.16	1.18	1.78	0.3	0.54	0.18	0.03	0.29	0.41	0.86	2.01	13.75	1.04	2.79	0.93	0.0	0.08	0.88	0.35	4.64	0.34	0.0	2.42	5.8	4.74	1.08	3.39	2.59	2.55	0.66	0.26	1.6	1.08	0.04	0.19	0.09	0.06	0.16	7.29	7.58	24.71	25.79	25.0
