	Chrna2_tdTpositive_cell_14	Chrna2_tdTpositive_cell_43	Chrna2_tdTpositive_cell_54	Gad2_tdTpositive_cell_47	Gad2_tdTpositive_cell_55	Gad2_tdTpositive_cell_75	Nkx2.1_tdTpositive_cell_1	Nkx2.1_tdTpositive_cell_10	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_32	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_66	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_72	Pvalb_tdTpositive_cell_74	Pvalb_tdTpositive_cell_75	Pvalb_tdTpositive_cell_78	PvalbD.Slc32a1_tdTpositive_cell_9	PvalbD.Slc32a1_tdTpositive_cell_10	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_26	PvalbD.Slc32a1_tdTpositive_cell_28	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_18	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_24	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_44	PvalbF.Gad2_tdTpositive_cell_88	PvalbF.Gad2_tdTpositive_cell_92	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_21	Sst_tdTpositive_cell_100	Tac2_tdTpositive_cell_7	Tac2_tdTpositive_cell_8
Kcnc3	0.14	0.0	0.0	13.55	2.59	8.14	0.0	4.92	7.36	0.0	10.1	6.18	1.96	7.5	3.21	15.58	10.08	12.39	12.47	9.13	2.87	7.84	0.16	11.58	8.77	1.36	0.0	0.0	6.09	3.14	6.75	0.08	1.34	5.19	1.47	15.04	8.17	2.73	0.38	1.07	5.05	18.42	4.27	10.45	9.2	19.58	5.08	7.27	11.75	0.89	1.88	1.87	12.35	19.57	0.09	13.46	2.21	0.83	0.18	1.25	8.74	0.0	0.0	0.0	0.0	0.0	0.45	0.76
Ldhb	6607.22	8138.08	8970.97	6819.53	7692.96	6604.57	6119.64	6832.63	8752.31	6399.01	8798.32	8750.45	10118.08	10894.4	8525.9	8892.3	7735.26	8583.06	8517.89	9220.91	9343.6	8808.99	7074.56	8574.79	10165.1	9166.61	7814.88	9602.81	7785.08	7167.6	11261.44	7829.53	8285.69	6969.49	6159.05	10004.69	7259.91	7834.03	5187.82	8757.21	9074.03	13571.31	7287.29	7093.74	12546.17	9106.97	8513.41	9755.78	8013.75	8904.1	8390.99	7659.83	7282.37	11010.48	8275.76	7724.63	10182.84	6251.75	5354.38	5854.67	11746.38	3251.53	2798.49	5577.5	2538.41	4524.83	6577.4	7324.1
Lsg1	0.0	0.0	0.0	0.0	69.15	51.94	0.0	5.17	6.4	0.0	0.0	14.06	81.44	60.66	7.0	30.57	0.25	62.01	100.92	136.82	34.55	15.48	24.18	44.57	29.45	0.0	77.5	2.2	100.75	78.3	11.38	10.62	0.0	86.11	0.49	10.31	69.01	0.0	38.68	0.0	12.16	4.48	38.6	5.4	42.94	12.42	0.0	49.19	26.67	51.91	0.0	0.0	0.0	0.47	0.84	73.98	13.01	71.8	9.73	0.0	74.64	0.0	0.0	0.0	0.0	0.0	0.5	0.0
Napg	65.99	88.79	29.84	169.93	415.61	193.49	85.25	102.43	130.4	0.34	252.03	249.97	95.48	105.57	106.82	77.5	65.25	117.38	150.38	224.87	114.24	282.5	104.33	263.86	199.27	33.73	50.44	184.15	179.23	372.64	127.18	92.93	190.25	129.18	225.3	184.75	191.78	59.99	42.52	151.5	164.69	78.76	81.83	121.46	189.82	289.44	132.61	211.44	144.32	165.31	146.91	32.21	137.6	127.32	150.17	101.01	250.87	69.82	5.02	71.32	205.35	0.0	0.1	0.0	0.0	107.43	204.05	485.53
Ncs1	0.03	95.01	22.43	482.94	433.29	480.45	168.6	367.0	478.33	0.44	200.89	404.33	235.05	160.32	210.53	281.0	239.82	366.02	584.19	461.97	402.02	560.64	565.82	365.86	671.97	444.93	445.11	317.18	424.07	640.24	867.01	408.77	363.66	598.21	495.85	606.52	416.55	222.65	121.37	316.59	733.29	591.13	230.56	459.42	492.96	683.49	588.38	530.11	118.72	380.16	475.6	340.38	67.43	486.03	173.7	506.64	454.34	334.97	149.84	38.82	744.2	0.0	0.0	0.0	0.0	78.18	297.48	250.41
Pcmtd1	0.14	0.05	10.89	195.93	161.95	45.56	33.06	56.98	72.28	28.96	26.24	94.27	19.83	67.73	50.11	54.37	85.85	36.81	112.65	101.91	247.32	94.65	102.63	58.34	161.05	156.13	22.6	95.01	90.52	256.34	191.4	64.61	64.46	59.78	247.43	78.79	25.71	37.61	13.86	61.6	131.36	122.0	126.49	56.32	76.2	62.85	54.19	46.42	110.76	99.86	16.65	48.18	69.47	62.76	52.66	49.53	84.79	88.76	31.62	28.95	66.34	0.0	0.2	0.0	0.0	42.64	63.97	65.08
Pitpnc1	0.02	10.58	3.52	9.74	61.98	8.02	12.15	32.87	48.02	409.06	87.88	101.07	28.82	16.02	56.13	80.06	36.23	66.94	88.84	112.07	51.42	97.46	40.63	107.1	50.31	8.76	7.45	42.11	130.24	61.4	50.39	16.67	27.84	45.87	56.6	52.2	21.56	0.47	4.32	8.86	59.13	33.23	106.91	13.35	71.37	103.95	71.81	124.57	74.56	34.57	55.02	23.36	82.23	15.18	18.38	63.92	66.69	45.81	12.09	21.25	50.46	0.0	34.03	0.0	0.0	0.02	52.31	57.27
Rnf6	0.0	0.0	5.51	192.54	85.55	206.73	0.39	83.38	64.47	0.19	67.82	42.88	89.48	113.16	50.2	47.13	55.18	100.67	91.06	124.46	47.97	93.08	97.53	47.73	147.15	54.53	86.12	33.52	103.26	122.68	219.53	29.85	86.27	340.87	128.27	131.21	0.0	0.0	52.55	68.69	55.07	43.41	69.8	43.14	172.43	112.97	106.72	105.7	1.57	183.35	85.37	74.67	150.74	90.1	14.78	124.99	115.57	16.62	26.11	0.25	117.86	0.0	0.11	0.0	0.0	0.0	87.7	55.72
Rufy3	141.31	33.83	222.52	673.88	350.55	463.42	92.81	190.49	226.82	0.78	307.78	411.13	232.34	238.57	277.88	365.56	313.34	84.82	248.13	483.14	478.18	275.72	244.47	343.62	241.65	129.61	201.52	315.82	318.33	491.19	310.65	410.38	266.28	296.82	514.34	236.04	240.69	382.33	225.2	139.69	441.03	327.79	242.57	295.13	255.31	413.68	227.72	344.9	257.29	195.21	210.71	192.85	184.11	272.47	220.85	294.65	336.59	167.55	167.57	113.46	288.6	0.0	0.42	0.0	0.0	171.23	241.35	209.33
Slc24a2	143.19	176.59	78.59	178.3	210.82	319.73	8.95	115.5	155.95	0.28	172.15	150.96	170.46	264.55	154.79	263.46	291.85	205.99	283.84	257.24	244.33	203.59	199.02	266.29	283.6	307.31	131.39	223.98	284.0	330.39	341.43	109.47	159.47	229.87	299.9	304.97	190.12	171.31	102.84	127.86	202.85	214.57	132.42	163.05	191.88	226.68	226.75	170.1	255.51	227.92	167.65	218.18	204.94	161.6	176.2	237.91	247.62	190.0	194.93	138.16	269.92	0.04	0.14	0.0	0.0	43.74	204.05	313.01
Slmo2	0.0	0.0	13.49	128.0	55.78	179.8	12.44	141.72	129.52	0.0	205.23	213.35	365.74	423.73	72.26	127.39	182.09	214.0	297.78	303.36	247.8	242.6	192.69	217.92	386.11	112.32	126.15	163.86	382.28	213.28	202.53	89.26	197.6	98.25	245.41	149.19	193.71	0.0	50.3	281.45	197.17	73.54	0.53	94.37	147.13	196.1	172.06	203.93	150.5	185.67	48.01	70.43	203.33	240.24	72.82	92.62	205.96	211.52	101.06	60.71	85.44	0.0	0.77	0.0	0.0	0.27	53.93	292.23
Strbp	17.39	4.87	28.58	432.32	286.07	340.39	29.06	97.77	96.86	74.91	125.4	158.06	43.8	72.63	114.89	257.77	234.9	205.27	221.93	264.65	254.63	144.0	189.51	176.49	232.74	264.02	166.19	158.91	213.05	288.33	280.47	126.36	163.78	268.02	237.92	224.49	144.62	95.49	65.65	174.01	104.84	104.21	110.83	179.26	103.23	193.37	175.87	175.9	143.74	166.7	199.36	189.33	45.68	235.54	99.66	158.77	160.8	163.05	40.27	128.92	192.03	0.19	0.74	2.97	0.07	33.87	149.69	202.74
Tmem50b	87.72	8.55	149.56	487.12	500.64	567.37	0.0	297.61	457.91	0.0	271.82	316.99	212.25	381.05	274.46	451.49	384.97	303.82	347.89	572.87	652.79	469.49	305.5	407.48	387.9	85.83	333.52	236.45	318.73	396.11	387.6	381.21	356.29	300.76	433.29	82.73	355.93	0.0	150.63	147.48	472.17	224.59	273.82	136.04	449.28	549.7	217.93	367.51	234.54	347.52	149.06	145.88	255.65	522.96	46.97	157.13	570.11	234.82	39.12	232.97	251.18	0.0	0.79	0.0	322.89	15.09	283.05	322.14
