	Calb2_tdTpositive_cell_53	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_7	Gad2_tdTpositive_cell_43	Gad2_tdTpositive_cell_47	Gad2_tdTpositive_cell_55	Gad2_tdTpositive_cell_75	Nkx2.1_tdTpositive_cell_10	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_25	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_9	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_24	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_29	Pvalb_tdTpositive_cell_32	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_49	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_56	Pvalb_tdTpositive_cell_65	Pvalb_tdTpositive_cell_66	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_73	Pvalb_tdTpositive_cell_75	Pvalb_tdTpositive_cell_78	Pvalb_tdTpositive_cell_85	PvalbD.Slc32a1_tdTpositive_cell_17	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_26	PvalbD.Slc32a1_tdTpositive_cell_28	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_39	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_63	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_10	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_16	Tac2_tdTpositive_cell_8
Flnb	57.12	0.0	0.0	13.09	5.26	23.7	5.88	0.41	0.24	0.0	0.17	5.86	1.07	0.0	2.13	1.48	7.87	0.06	0.44	0.0	8.07	7.32	0.0	6.66	2.49	3.78	0.65	3.98	1.44	0.0	1.91	5.78	0.26	0.0	0.38	0.09	0.06	0.0	13.37	0.0	0.0	0.12	34.36	16.01	1.05	23.87	0.05	10.51	1.09	12.43	15.13	0.23	21.45	0.05	1.14	8.97	3.94	7.34	0.0	12.54	7.09	15.59	0.74	16.84	11.72	0.0	0.12	0.0	0.0	0.0	1.13
Gabarapl1	0.0	0.0	0.0	430.88	161.1	391.49	325.3	337.81	418.79	1.15	240.36	203.94	154.38	432.95	214.62	183.65	206.87	250.77	409.16	371.25	244.4	201.53	204.29	222.37	522.63	219.83	280.92	200.63	78.82	204.6	414.52	453.02	314.69	293.38	202.99	256.88	341.16	376.42	406.46	400.38	404.57	343.33	592.94	368.82	300.16	452.43	290.61	253.61	267.62	137.72	458.38	352.43	151.15	360.08	175.19	46.38	382.63	122.09	338.19	258.88	100.7	254.59	166.7	250.25	499.91	0.0	53.05	0.0	0.0	0.0	142.95
Gpatch8	0.0	0.34	0.0	29.88	13.56	51.29	29.59	4.27	1.94	0.0	1.24	23.74	0.71	20.26	0.41	11.35	0.56	15.51	4.85	27.49	17.55	38.49	15.88	20.23	24.08	44.99	4.52	10.53	0.88	27.73	9.58	1.23	0.96	30.48	1.18	13.36	2.57	23.04	54.57	17.25	52.1	14.36	78.12	29.06	47.48	41.32	26.45	29.67	28.54	23.32	26.83	3.6	13.32	31.08	0.63	0.0	21.99	3.83	31.12	18.56	11.33	24.21	24.56	32.82	10.21	0.0	0.27	0.0	0.0	0.0	61.72
Gria1	0.26	0.0	0.25	170.29	68.75	180.66	169.46	180.93	55.85	0.0	0.31	127.23	125.5	38.32	64.79	133.93	26.17	35.79	163.5	157.93	129.84	233.94	134.71	68.11	149.05	87.08	101.28	130.84	82.91	65.29	77.93	91.35	212.86	82.06	70.97	56.08	102.07	41.78	134.9	136.63	95.11	193.58	387.65	196.53	333.88	343.94	222.35	247.11	114.7	88.67	305.51	200.35	395.56	131.19	108.59	89.72	164.0	151.46	78.9	151.19	19.49	194.95	149.16	106.85	179.5	0.41	1.34	0.0	0.0	0.0	12.46
Herc3	0.0	0.0	0.0	53.15	78.88	57.39	38.09	78.92	17.14	0.0	0.13	1.61	3.08	0.0	0.1	12.74	0.0	6.82	0.0	13.47	11.5	35.02	17.38	4.09	64.66	14.55	26.11	10.95	20.41	43.08	21.77	60.46	0.0	27.58	1.89	11.38	0.0	3.56	16.06	29.61	30.46	18.62	48.69	32.15	0.0	78.51	16.94	41.8	30.04	54.37	33.7	0.0	18.52	3.04	0.18	0.26	19.03	0.0	0.57	19.04	0.11	46.75	0.0	13.46	9.58	0.0	0.46	0.16	0.0	0.0	88.65
Lass6	0.0	0.0	0.0	7.69	0.0	11.76	0.0	0.0	0.16	0.0	0.0	8.69	3.54	0.0	0.12	12.34	0.0	1.3	0.31	0.41	1.47	3.7	21.17	0.14	37.22	3.84	6.4	22.02	10.62	0.15	0.82	0.0	0.0	0.0	6.4	8.51	0.29	0.0	0.0	1.32	4.0	7.84	2.92	0.0	21.52	25.38	5.87	0.72	6.6	13.96	11.92	32.22	10.32	11.12	24.77	5.56	43.29	2.08	0.0	1.46	0.51	0.83	0.0	12.7	11.46	0.0	0.0	0.0	0.17	0.0	3.45
Ldhb	7486.96	3517.81	5404.32	9309.63	6819.53	7692.96	6604.57	6832.63	8752.31	4338.23	6399.01	8798.32	8750.45	10118.08	10894.4	8525.9	8892.3	7735.26	7234.97	8217.62	8583.06	8517.89	9220.91	9343.6	6570.82	8808.99	6807.49	7074.56	8223.21	8574.79	10165.1	9166.61	7814.88	9602.81	7343.35	7785.08	6241.53	7061.15	7167.6	11261.44	7829.53	8285.69	5133.35	10004.69	7259.91	5600.97	7112.99	9074.03	13571.31	7287.29	7093.74	12546.17	9106.97	8513.41	9755.78	8904.1	8390.99	7659.83	11010.48	8275.76	6703.36	7724.63	10182.84	9082.37	11746.38	339.7	5873.38	89.43	5577.5	2070.08	7324.1
Lrrcc1	0.0	0.0	0.0	0.0	0.0	25.38	8.67	1.29	1.74	0.0	0.35	0.0	0.0	30.72	0.0	19.23	2.17	1.02	0.18	0.0	44.13	2.64	0.0	1.29	9.15	5.56	0.0	36.4	15.89	27.21	0.0	0.0	1.62	0.0	9.27	14.01	0.0	17.84	0.11	0.0	8.19	1.09	3.96	8.55	0.0	43.28	0.0	26.08	0.1	7.51	28.2	2.81	46.98	23.23	35.12	0.0	50.8	0.0	11.19	3.56	0.0	0.96	6.7	0.0	1.6	0.0	0.44	0.0	0.0	0.0	39.31
Madd	0.0	0.0	1.16	33.4	28.05	54.31	30.22	13.68	20.39	0.0	0.83	10.72	21.71	26.0	22.28	38.2	54.68	2.4	22.74	11.41	42.33	15.75	14.02	26.73	31.99	47.77	1.17	47.68	24.88	39.17	50.44	2.59	8.49	48.34	23.14	3.3	36.64	1.79	23.39	94.3	42.42	27.46	30.77	27.37	18.64	60.82	56.25	46.96	24.73	61.21	65.82	5.81	36.25	60.48	22.22	25.79	17.91	17.26	39.47	42.76	9.21	10.32	41.29	54.96	67.4	0.21	0.1	0.69	0.0	0.0	2.87
Map3k12	0.0	0.0	0.21	14.02	0.08	50.16	14.19	8.67	0.0	0.0	0.0	0.15	3.61	0.0	12.2	8.73	22.47	0.0	0.0	29.3	0.0	8.09	29.0	14.53	10.66	0.0	14.41	12.11	6.92	35.83	11.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.38	9.26	2.51	12.96	36.44	10.77	0.0	0.0	0.0	0.63	0.86	0.0	9.01	3.71	14.92	6.35	11.39	5.58	11.56	11.51	16.16	0.0	15.12	0.0	0.0	0.0	14.66	0.0	0.14	0.0	0.0	0.0	12.27
Nckap1	38.83	0.0	0.0	10.81	23.04	81.38	33.41	64.01	12.08	9.12	0.0	64.66	8.45	0.15	71.8	82.49	34.66	48.67	84.97	77.49	130.53	115.11	40.42	71.78	59.35	117.29	32.12	75.44	25.02	55.35	66.25	64.41	0.0	53.67	144.17	80.34	73.93	59.66	338.2	81.04	108.63	54.11	81.86	79.05	74.79	104.87	3.84	27.96	90.1	78.65	133.69	48.33	53.85	55.13	36.49	98.87	55.38	63.98	96.58	60.49	41.46	53.08	46.89	147.46	138.67	0.0	0.33	0.0	0.0	0.0	68.78
Nono	0.0	646.83	0.0	162.22	117.43	274.32	204.14	188.16	20.61	0.0	9.48	122.28	43.27	71.08	185.35	96.08	66.01	179.01	2.9	306.89	166.12	267.7	142.15	6.62	64.8	112.8	205.34	105.54	81.9	59.22	194.27	210.85	20.44	237.15	128.86	156.13	150.54	172.73	262.49	134.89	291.83	72.19	530.0	48.13	212.7	208.69	194.27	100.19	187.58	170.01	161.73	221.46	339.51	197.84	113.01	10.29	86.19	0.37	185.21	56.62	102.77	184.63	64.95	101.42	140.27	0.0	0.6	0.0	0.0	0.0	246.64
Ntpcr	0.0	0.0	0.0	1.13	0.0	41.54	80.98	37.38	60.61	0.0	0.0	59.2	46.89	0.0	0.0	15.52	24.04	0.0	41.88	0.0	146.09	0.0	0.0	0.48	58.97	23.96	21.98	42.38	52.72	1.07	1.16	0.0	0.54	10.63	0.0	0.0	0.0	3.7	121.25	60.85	21.73	0.0	137.26	0.0	91.06	133.71	13.82	56.78	26.02	71.33	107.59	42.62	83.52	74.49	0.0	62.14	101.36	0.0	0.0	106.35	0.0	86.1	0.0	0.0	41.76	0.0	0.66	0.68	44.07	0.54	0.0
Ppa2	0.0	12.08	0.0	15.06	0.0	131.31	65.78	32.62	50.54	0.0	0.0	32.19	111.83	49.8	66.51	133.51	99.99	97.83	141.79	43.93	254.0	64.77	65.08	220.22	62.09	42.59	7.91	58.46	0.0	2.03	50.68	0.0	0.0	220.28	0.0	187.64	2.93	30.65	276.11	0.0	150.94	70.98	160.91	63.57	140.57	90.41	55.07	72.84	49.52	140.66	182.43	59.96	124.6	18.25	180.32	4.22	67.58	2.32	5.49	59.57	0.0	59.7	32.98	74.59	134.21	0.0	0.0	0.0	0.0	0.0	107.36
Ppp1r11	118.34	0.0	0.0	295.85	158.57	184.56	205.32	199.14	164.09	0.0	130.71	148.12	246.7	159.29	213.21	203.76	200.87	260.14	170.44	120.39	163.53	188.4	159.72	167.75	213.4	300.81	119.23	90.34	212.14	129.16	110.92	153.25	50.89	118.5	27.27	202.94	149.85	208.2	179.66	247.97	234.61	116.53	256.43	236.65	245.59	287.98	187.87	267.26	172.94	324.72	147.51	152.44	106.96	151.85	165.49	145.7	226.44	234.92	128.27	274.82	33.87	195.58	176.3	254.41	237.9	0.0	2.23	0.0	0.0	0.37	217.76
Psmd1	0.0	0.84	0.0	92.37	122.97	466.82	297.0	69.89	64.49	0.0	0.37	60.41	88.48	58.7	31.58	141.24	188.15	43.36	198.81	109.39	331.31	147.06	223.67	105.11	106.3	138.51	89.71	148.87	142.73	100.78	161.37	0.0	112.49	26.11	13.29	73.81	130.0	128.83	299.9	208.23	140.67	132.62	231.86	162.78	263.5	168.08	92.76	16.19	247.33	109.44	78.34	75.64	278.6	142.64	98.36	134.18	105.3	1.25	171.36	147.0	19.03	136.72	96.1	231.58	199.98	0.0	0.68	0.0	0.0	0.0	170.45
Pvalb	0.0	0.0	0.0	2506.7	2781.07	1946.93	2461.61	2258.23	3332.67	0.0	0.0	1987.37	1559.12	1319.97	2144.98	1365.09	1711.38	1726.65	1148.76	1185.42	1292.73	1298.9	1590.34	1199.86	636.78	1414.35	1417.67	1488.24	1662.23	1383.0	1316.24	1251.83	538.76	1724.33	878.33	1917.82	1121.03	1000.74	930.94	1740.57	1346.22	1202.67	803.65	1769.21	841.9	926.49	1535.36	1815.89	1408.27	1665.81	700.9	1731.8	1698.2	1628.71	1974.07	1237.21	1344.6	1735.34	1295.74	1797.97	1199.14	1472.89	1914.29	1681.17	3516.69	0.0	0.43	0.0	0.0	0.0	1584.75
Rab2a	0.0	0.22	0.27	85.67	240.7	251.17	412.87	126.93	172.08	0.0	1.76	191.81	110.84	109.46	157.68	107.95	57.7	0.28	188.07	317.96	262.14	270.46	224.45	203.77	384.97	109.19	69.79	206.64	209.37	95.97	164.06	10.95	64.13	285.13	127.47	80.64	66.18	257.82	113.17	65.51	96.41	70.81	39.27	24.19	81.43	93.34	160.7	165.27	176.6	208.88	41.27	162.18	217.29	99.64	79.31	150.03	76.42	109.45	23.24	25.19	172.49	281.98	76.94	194.11	183.45	0.0	0.54	0.0	0.0	0.0	311.82
Romo1	299.24	0.0	0.0	295.34	63.03	210.16	234.68	179.79	224.66	0.0	392.67	222.63	80.37	147.57	166.68	185.63	94.7	32.57	176.43	151.72	227.49	161.12	123.95	174.11	242.7	263.2	225.51	207.05	154.73	258.76	181.4	53.43	176.78	209.95	133.59	150.13	192.25	150.15	152.83	198.4	173.56	112.45	155.09	125.74	132.31	173.22	224.53	200.24	246.93	45.13	261.58	198.04	56.31	377.17	193.93	255.76	213.09	61.05	171.6	255.79	91.21	214.74	75.15	159.39	163.41	0.0	2.22	0.0	0.0	0.0	269.18
Scamp1	0.0	0.0	0.02	242.34	376.13	337.87	215.74	99.92	100.01	0.11	19.73	105.85	68.41	47.7	42.27	92.85	163.63	29.12	83.52	43.51	69.39	102.9	192.99	173.44	141.77	56.08	130.03	187.96	167.3	136.21	63.8	305.88	0.34	166.2	83.49	166.64	129.73	86.28	171.69	225.74	201.05	80.92	259.26	191.12	182.48	159.34	138.14	115.98	125.33	206.18	150.95	111.15	8.93	152.13	200.94	3.92	75.74	50.73	57.51	60.39	0.14	252.12	55.62	45.89	85.99	0.0	0.91	0.0	0.0	0.0	142.07
Sec24c	0.0	0.0	0.0	13.77	1.57	87.55	0.67	2.35	3.8	0.0	0.14	14.13	5.21	1.7	0.0	11.48	7.72	15.38	5.88	18.97	5.71	32.38	1.06	14.88	106.88	19.09	0.74	0.0	5.01	27.28	0.29	56.81	0.0	44.84	70.35	0.06	0.06	0.09	85.16	12.23	10.6	0.0	6.38	1.16	7.93	12.52	38.51	37.1	0.12	40.08	0.18	5.98	59.35	7.79	3.03	53.08	34.85	8.75	99.5	28.06	0.34	46.39	11.18	58.3	8.33	0.0	1.73	0.0	0.0	0.0	45.87
Slc23a2	0.0	0.0	0.0	62.9	2.73	31.99	20.12	7.71	10.16	0.0	0.09	32.48	12.51	0.19	41.17	9.27	25.35	63.62	10.03	41.1	51.49	18.15	42.3	47.74	91.14	1.89	22.23	30.36	3.17	6.68	0.81	1.2	0.09	7.62	48.88	39.79	14.82	93.77	55.13	9.32	2.14	12.81	39.65	45.49	22.16	64.72	37.65	19.42	39.86	61.14	0.24	6.6	39.19	17.54	86.39	11.84	7.6	0.21	0.0	11.05	28.01	39.46	17.74	5.39	0.82	0.0	9.22	0.0	0.0	0.0	18.46
Stoml2	0.0	0.0	0.0	50.8	6.08	77.38	127.74	57.89	85.12	0.0	0.79	76.68	84.24	0.0	1.88	113.87	2.53	8.62	11.21	130.61	134.87	54.71	115.76	72.72	115.79	3.33	111.57	76.45	64.95	60.84	78.88	89.19	0.8	94.28	12.06	0.0	0.0	0.27	27.18	68.06	5.07	77.72	112.6	187.7	224.15	136.31	12.72	49.79	11.31	118.87	82.27	70.84	91.76	133.67	113.25	104.86	165.81	7.79	60.92	61.58	67.06	125.01	77.16	109.84	82.09	0.79	132.54	0.0	0.0	0.0	110.99
Stt3a	0.0	0.0	0.0	4.7	133.45	138.46	89.45	21.87	29.4	0.0	0.0	12.97	82.92	133.33	52.11	78.61	15.14	71.98	0.0	5.25	5.55	14.38	151.79	9.06	22.89	45.37	77.58	0.0	40.17	16.18	75.85	123.03	0.0	0.17	17.29	0.1	101.96	11.23	124.15	70.09	0.0	0.0	178.69	61.24	102.44	173.2	130.01	14.32	22.26	112.67	55.92	60.9	10.14	56.75	51.52	0.0	45.04	17.77	55.01	2.85	0.0	128.86	0.34	95.41	102.5	0.0	1.09	0.0	1225.09	0.0	44.35
Tmem106c	0.0	0.0	0.0	227.75	0.0	95.8	57.8	163.79	57.97	0.0	0.83	34.58	139.23	93.55	61.07	38.4	0.0	0.0	132.26	3.78	87.19	0.0	0.0	2.26	0.0	113.0	31.0	15.23	52.57	165.62	78.07	139.87	0.0	23.57	0.0	0.0	0.2	0.0	106.24	194.04	1.26	0.0	63.36	51.17	52.49	0.0	53.81	23.84	70.05	70.68	106.87	205.09	59.57	206.3	0.0	0.0	99.58	156.19	0.0	4.01	0.0	171.97	0.0	40.97	102.99	0.0	0.0	0.0	0.0	0.0	33.63
Trim32	0.0	0.0	0.0	196.96	0.0	98.25	188.04	125.25	56.38	0.0	0.93	132.97	27.14	57.91	50.53	37.19	135.65	165.18	64.53	118.11	77.27	97.63	137.58	90.7	50.37	74.85	19.74	60.82	124.14	106.54	90.82	113.2	28.59	53.12	85.04	20.53	41.3	0.91	145.48	8.61	89.03	75.68	315.81	232.31	232.05	119.62	79.28	15.83	95.16	78.03	140.0	115.68	161.22	110.45	107.19	28.74	196.36	97.58	23.93	134.19	79.85	188.65	99.77	76.49	65.24	0.0	0.35	0.0	0.0	0.0	44.33
