	Calb2_tdTpositive_cell_10	Calb2_tdTpositive_cell_12	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_6	Cux2_tdTpositive_cell_7	Cux2_tdTpositive_cell_25	Cux2_tdTpositive_cell_28	Cux2_tdTpositive_cell_46	Cux2_tdTpositive_cell_59	Cux2_tdTpositive_cell_71	Cux2_tdTpositive_cell_78	Cux2_tdTpositive_cell_81	Cux2_tdTpositive_cell_90	Cux2_tdTpositive_cell_95	Cux2_tdTpositive_cell_99	Cux2_tdTpositive_cell_104	Cux2_tdTpositive_cell_105	Cux2_tdTpositive_cell_108	Cux2_tdTpositive_cell_109	Cux2_tdTpositive_cell_111	Cux2_tdTpositive_cell_112	Cux2_tdTpositive_cell_113	Cux2_tdTpositive_cell_115	Cux2_tdTpositive_cell_116	Cux2_tdTpositive_cell_117	Cux2_tdTpositive_cell_118	Cux2_tdTpositive_cell_119	Cux2_tdTpositive_cell_120	Cux2_tdTpositive_cell_121	Cux2_tdTpositive_cell_122	Cux2_tdTnegative_cell_8	Cux2_tdTnegative_cell_14	Gad2_tdTpositive_cell_52	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_11	Nos1_tdTpositive_cell_43	Ntsr1_tdTnegative_cell_9	Rbp4_tdTpositive_cell_40	Scnn1a.Tg2_tdTnegative_cell_8	Scnn1a.Tg2_tdTnegative_cell_11	Slc17a6_tdTpositive_cell_2	Slc17a6_tdTpositive_cell_4	Slc17a6_tdTpositive_cell_9	Slc17a6_tdTpositive_cell_10	Slc17a6_tdTpositive_cell_12	Slc17a6_tdTpositive_cell_22	Slc17a6_tdTpositive_cell_25	Slc17a6_tdTpositive_cell_27	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_29	Slc17a6_tdTpositive_cell_31	Slc17a6_tdTpositive_cell_33	Slc17a6_tdTpositive_cell_37	Slc17a6_tdTpositive_cell_38	Slc17a6_tdTpositive_cell_41	Slc17a6_tdTpositive_cell_42	Slc17a6_tdTpositive_cell_44	Slc17a6_tdTpositive_cell_47	Vip_tdTpositive_cell_28	Vip_tdTpositive_cell_29	Vip_tdTpositive_cell_46	Vip_tdTpositive_cell_48
Cacna2d1	54.96	27.67	0.0	0.0	90.99	100.07	26.16	103.14	48.44	6.58	206.72	111.97	17.35	11.08	17.49	45.98	49.39	1.74	40.67	73.0	78.3	80.9	70.82	132.02	18.09	150.95	53.86	51.37	87.14	130.1	70.24	27.12	0.89	0.0	0.0	0.0	0.0	0.0	36.35	41.87	2.46	85.3	0.0	14.51	72.75	30.82	147.43	70.23	45.69	94.73	67.67	68.68	58.2	72.71	66.44	34.98	31.8	17.35	22.77	29.26	93.37	0.0	0.0	0.0	0.0
Camk2b	77.5	220.06	0.0	0.0	101.88	46.26	123.79	196.56	185.92	263.64	219.32	486.57	63.82	141.61	113.5	327.0	20.62	191.46	54.63	110.83	122.57	128.08	90.74	151.72	216.18	224.98	145.07	164.15	63.88	121.12	22.35	129.12	3.57	0.0	0.0	0.0	0.0	0.0	125.92	17.2	44.49	84.56	0.4	60.58	124.77	129.86	171.32	98.92	194.89	71.46	27.25	156.0	140.75	121.99	142.65	156.98	97.07	61.76	195.7	228.07	94.84	199.24	0.0	5.54	101.99
Camkk2	16.46	9.15	0.0	0.0	25.13	38.84	62.6	38.04	0.0	8.57	15.15	27.94	6.03	0.64	1.86	11.85	3.23	0.12	1.21	9.21	0.44	2.47	23.63	16.33	4.06	5.07	1.1	7.78	5.39	17.33	10.65	16.74	0.0	0.0	0.0	0.0	0.0	0.0	6.38	7.08	0.74	15.59	0.0	21.63	0.0	20.82	24.43	4.93	0.25	21.66	3.63	8.42	0.86	26.29	3.02	1.09	0.0	20.47	7.76	11.03	0.33	0.0	0.0	0.0	0.0
Cbx6	1.78	8.58	0.0	0.0	0.0	0.88	11.38	7.05	4.28	1.3	21.57	20.23	6.26	0.23	1.3	3.39	1.08	4.64	2.17	20.13	1.16	3.97	12.61	26.49	12.68	42.1	16.07	7.53	5.18	29.08	10.49	0.56	0.0	0.0	0.0	0.0	0.0	0.0	0.72	27.0	2.06	1.02	0.0	1.15	0.0	15.42	1.02	1.41	7.52	14.21	6.72	6.66	2.41	0.35	19.98	3.41	0.11	3.61	13.42	7.43	1.58	0.0	0.0	0.0	0.07
Cck	789.38	778.42	0.0	0.0	23.49	214.7	129.83	134.11	257.34	14.07	96.23	291.42	412.99	95.42	213.97	0.0	68.73	146.32	72.25	192.96	316.46	158.32	181.37	79.76	169.55	50.84	139.25	75.22	49.84	101.83	132.3	164.0	0.0	0.0	0.0	0.0	0.0	0.0	169.44	133.82	165.75	137.15	0.0	84.35	83.68	162.5	133.55	95.8	48.68	224.0	154.74	77.74	141.08	80.93	103.55	52.43	87.86	124.93	150.66	256.86	115.15	0.0	0.0	0.88	0.62
Celf1	24.18	57.37	85.6	0.0	34.82	98.98	55.7	56.58	3.58	13.68	6.76	50.6	59.23	18.74	89.91	128.06	112.64	67.3	32.13	42.92	75.03	72.4	38.29	69.31	51.76	95.97	59.02	66.5	27.31	33.64	65.14	56.13	69.77	0.0	0.0	0.0	0.0	0.0	44.14	42.94	11.52	33.73	61.07	149.58	15.95	43.34	36.18	56.22	42.61	76.71	15.09	54.02	39.68	83.66	21.97	112.64	33.89	19.27	34.76	84.51	45.14	0.12	37.81	0.0	4.29
Cobl	98.3	0.2	0.0	0.0	30.38	101.22	23.4	1.08	112.4	12.37	181.5	0.0	30.47	9.1	50.51	0.0	13.44	13.5	1.4	6.16	17.07	18.55	44.4	116.38	19.16	40.09	49.65	22.59	27.14	0.0	96.92	36.98	0.0	0.0	0.0	0.0	0.0	0.0	53.31	40.41	0.07	25.9	0.0	0.0	55.77	59.27	7.45	9.04	13.42	16.48	130.27	38.25	0.11	37.9	3.51	49.53	0.0	26.07	3.92	81.9	0.0	0.0	0.0	0.0	0.0
D430041D05Rik	24.47	36.79	0.04	0.0	7.99	56.17	31.69	61.79	69.65	20.25	72.5	9.22	54.79	143.0	1.49	35.64	57.68	53.79	20.31	32.28	66.13	14.59	25.66	50.1	36.87	83.52	29.59	45.96	28.83	15.46	4.23	64.68	0.0	0.04	0.0	0.0	0.0	0.0	25.53	0.0	28.21	29.38	0.0	1.37	0.0	81.77	59.78	79.41	4.85	7.68	0.82	18.04	50.51	1.85	19.18	35.59	2.71	34.51	25.9	16.13	17.83	0.0	0.0	10.21	0.04
Dbn1	3.48	38.54	0.0	0.0	24.31	65.51	96.49	112.08	18.19	1.06	3.0	25.02	51.94	5.34	0.72	0.0	0.0	0.0	0.0	0.26	11.18	0.4	11.95	5.68	63.8	4.57	47.6	26.91	0.04	18.16	0.0	18.37	0.0	0.0	0.0	0.0	0.0	0.0	79.55	23.05	0.0	33.82	0.0	16.97	53.06	7.94	0.64	58.68	2.89	28.16	14.57	1.07	30.29	0.22	46.99	14.72	54.06	0.0	0.22	19.03	20.63	0.0	0.0	0.0	0.23
Dgkz	44.65	33.52	186.8	0.75	72.78	132.39	181.4	201.11	38.93	138.0	91.27	200.57	227.27	86.79	56.08	160.68	113.41	81.67	1.0	63.51	20.59	57.24	74.53	96.06	85.75	51.44	103.95	65.61	98.79	69.61	41.4	84.82	0.34	0.0	0.0	0.0	0.0	0.15	106.34	119.69	0.0	4.13	0.0	44.61	122.45	158.72	13.11	68.89	38.3	34.23	1.98	0.18	38.36	18.94	63.43	60.6	78.76	104.27	75.85	50.29	0.0	0.0	0.0	1.29	0.45
Dnajc21	0.07	67.36	0.0	0.0	0.1	99.43	7.93	92.33	126.01	0.32	70.94	51.02	83.37	0.0	0.0	11.98	4.84	0.0	12.76	33.74	14.6	37.0	0.17	71.9	75.46	1.24	111.66	23.6	0.06	180.76	0.0	48.71	0.0	19.04	0.0	0.0	0.0	0.0	27.83	0.0	0.2	3.04	0.0	0.0	0.0	30.95	0.0	4.58	10.9	46.04	19.09	143.22	42.95	200.47	118.12	73.41	125.14	7.18	16.37	40.68	2.89	0.0	0.0	0.0	0.2
Enc1	3927.72	3808.64	1241.01	585.05	3711.69	3694.68	3588.77	2878.29	4617.29	3647.17	3588.8	2992.28	2939.69	4133.68	4193.41	4319.15	3876.16	4964.77	4079.98	3580.33	3282.46	3527.29	3506.04	3134.05	3323.28	4371.04	5244.75	4858.01	4969.83	5086.85	5961.43	4272.89	1754.24	1501.57	735.12	1295.71	0.07	774.67	4241.61	4486.48	4614.47	4102.95	1206.41	3827.54	4287.75	4482.7	4537.38	5364.46	4071.66	5158.5	3679.63	3656.83	4744.08	3634.29	3435.92	3919.74	3922.04	3946.3	6135.31	4563.79	4140.23	1955.25	2525.95	1194.03	1994.82
Exph5	33.73	0.04	0.0	0.0	14.59	33.83	44.9	31.16	0.0	35.57	40.0	0.0	22.96	113.15	0.0	0.0	19.37	0.0	0.0	23.41	22.7	22.8	16.73	11.39	8.57	0.03	0.0	16.9	0.01	0.0	13.9	8.18	0.0	0.0	0.0	0.0	0.0	0.0	19.25	27.84	0.54	68.27	0.0	26.05	0.0	27.48	14.1	69.53	0.0	0.5	28.38	30.1	47.51	16.57	0.0	11.58	28.72	0.0	0.13	59.69	0.0	0.0	0.0	0.0	0.0
Fscn1	7.26	30.1	0.0	0.0	22.28	25.54	40.59	31.73	0.0	0.48	0.0	0.28	66.6	12.46	19.9	16.03	1.73	7.58	35.61	19.8	54.66	5.62	24.62	18.24	19.37	11.47	1.02	15.89	18.61	18.06	5.68	36.1	0.0	0.0	0.0	0.0	0.0	0.0	6.23	2.44	0.0	11.44	0.0	29.64	8.13	13.12	1.87	27.45	19.14	5.72	17.35	3.28	21.8	23.05	36.91	19.73	4.9	14.71	22.33	2.54	6.23	0.0	0.0	0.0	6.42
Hecw1	19.61	39.15	0.0	0.0	39.35	37.1	30.07	50.75	39.39	19.64	6.14	69.18	22.82	0.0	2.18	0.19	52.25	14.67	66.62	52.39	54.89	68.97	86.3	67.32	105.07	75.36	17.27	64.53	0.02	92.41	20.99	23.16	18.01	0.0	0.0	0.0	0.0	0.0	0.13	8.91	7.04	63.03	0.25	27.32	15.16	9.49	0.2	72.23	81.57	20.37	3.88	82.06	27.04	32.15	71.86	38.14	40.4	101.9	73.68	48.26	15.24	0.0	53.79	10.9	0.11
Hivep2	11.4	31.81	0.0	0.0	36.3	51.99	30.82	131.22	23.68	72.59	49.51	21.04	38.55	2.15	29.55	1.29	43.51	25.84	0.0	38.02	35.35	31.46	49.12	113.48	135.23	144.51	50.63	41.0	66.95	52.12	10.02	45.88	0.0	0.0	185.25	0.0	0.0	0.0	4.74	59.83	0.0	70.28	0.08	0.28	18.79	88.73	14.04	41.5	1.4	20.64	25.18	23.1	87.72	43.17	5.14	5.18	40.68	28.21	21.63	18.59	11.64	0.0	16.02	0.17	0.0
Homer1	124.94	37.94	0.0	0.0	71.37	147.22	212.45	196.96	148.46	95.31	132.52	328.1	253.7	179.21	177.47	14.47	27.98	119.85	121.99	258.84	212.25	111.32	66.73	230.97	278.9	302.5	163.5	197.82	173.56	159.84	51.37	147.4	0.14	0.0	0.08	0.0	0.0	0.0	59.28	141.54	67.84	153.81	0.0	217.67	111.97	101.17	0.0	112.59	115.6	244.83	91.75	121.8	214.1	64.4	120.82	81.18	188.94	167.89	277.64	155.06	0.0	81.0	0.0	133.6	0.1
Ildr2	16.19	27.74	0.0	0.0	7.65	93.34	36.14	31.3	25.93	164.31	51.25	104.66	42.7	4.8	50.66	47.79	27.82	69.84	79.24	103.1	87.69	36.55	39.78	78.55	24.89	42.6	32.02	60.32	20.29	72.08	33.01	31.43	0.0	0.05	0.0	0.0	0.0	0.0	23.38	20.92	19.72	80.59	0.0	18.77	2.87	85.9	33.4	36.41	43.91	77.6	36.98	0.22	42.3	77.95	31.07	63.2	124.15	39.61	0.08	92.32	6.78	0.95	0.0	0.14	0.05
Itpka	33.54	88.99	0.0	0.0	37.83	313.11	372.49	46.55	10.45	136.3	58.11	303.69	163.78	73.94	0.0	0.0	56.31	158.17	0.0	64.98	160.12	53.13	29.61	62.68	171.39	107.93	54.77	3.39	39.66	116.82	63.47	0.17	0.0	0.0	0.0	0.0	0.0	0.0	82.44	97.32	46.84	38.34	0.45	29.58	0.0	119.12	177.97	183.94	95.35	0.0	21.12	19.2	16.88	7.8	0.0	36.75	0.0	111.64	2.56	123.56	119.01	0.0	0.0	0.0	2.69
Kalrn	12.2	29.04	1.14	0.06	21.81	84.09	68.15	62.99	73.13	53.71	26.74	1.14	0.7	36.38	7.19	20.4	57.55	34.42	16.26	10.41	41.07	60.67	38.94	67.13	68.57	14.48	11.72	36.08	14.71	43.29	8.6	19.35	0.36	0.06	0.15	0.63	0.2	0.21	5.81	36.77	20.22	44.36	0.66	64.08	58.21	16.99	11.18	57.46	5.93	10.5	48.22	40.68	19.91	12.47	15.34	41.6	72.41	15.23	26.13	36.11	29.98	0.87	0.22	0.84	29.63
Kcnab2	3.03	34.82	0.0	0.0	31.55	19.5	40.59	26.41	24.0	0.9	8.82	1.13	22.25	48.49	45.28	0.17	5.99	3.16	0.59	50.68	30.98	38.53	7.61	69.06	59.22	27.29	5.91	41.09	0.79	21.36	11.18	22.95	0.0	0.0	0.0	0.0	0.0	0.0	0.68	42.96	0.79	0.0	0.0	0.0	11.03	51.48	3.09	19.12	0.17	0.0	1.49	0.7	1.83	0.35	0.62	35.0	0.83	1.64	0.0	13.72	0.3	0.0	0.0	0.16	0.0
Kcnb1	45.97	19.67	0.0	0.0	38.43	64.27	82.63	46.18	42.03	64.19	42.06	54.98	32.42	4.35	24.63	65.7	5.4	65.87	3.85	46.25	30.86	45.68	27.69	23.02	66.0	29.61	40.49	85.55	26.95	81.54	38.78	27.42	0.0	0.0	0.0	0.0	0.0	0.0	0.21	17.2	69.39	57.33	5.37	19.6	37.86	33.05	55.86	42.24	13.08	37.41	51.32	45.27	43.74	47.9	65.88	11.94	32.31	44.26	61.19	33.98	32.11	14.69	0.0	0.0	13.35
Kcnma1	25.45	33.05	0.0	0.0	12.3	114.7	91.21	68.21	14.62	25.84	75.69	17.4	105.45	72.26	110.95	122.69	6.93	30.13	169.56	73.42	140.58	40.51	66.34	117.42	59.58	32.68	48.12	100.86	62.61	62.58	52.61	127.67	6.29	0.0	0.0	0.0	0.0	0.0	24.03	105.8	58.21	45.94	0.16	18.11	102.03	110.35	79.25	71.12	17.07	44.52	56.99	60.58	59.37	49.65	57.7	0.49	35.39	85.63	76.12	128.21	80.82	0.15	8.38	65.85	7.43
Lingo1	3.63	74.53	0.0	0.0	249.51	114.6	159.44	75.8	39.95	44.84	86.12	479.25	223.47	213.75	16.68	106.69	179.88	6.31	42.75	95.01	95.29	166.8	104.35	87.21	47.53	189.52	239.55	148.63	85.31	43.56	215.0	27.62	0.0	0.0	0.0	0.0	0.0	0.0	115.45	114.39	25.69	169.67	0.24	21.59	0.7	205.1	5.45	41.76	73.23	196.59	20.51	80.99	66.64	44.31	168.34	118.12	54.18	165.5	69.72	20.32	0.0	0.0	0.0	0.68	0.12
Map2k1	81.51	170.36	0.21	0.0	190.99	260.63	130.52	139.43	12.16	0.0	25.04	224.09	19.77	106.13	0.0	1.03	170.36	0.0	96.55	158.71	93.3	137.68	71.69	0.23	109.58	113.21	82.79	111.71	10.31	66.36	120.58	145.35	40.35	0.0	4.23	0.0	0.0	0.0	142.07	56.13	0.17	81.22	0.0	4.74	2.93	131.22	11.76	173.34	244.45	0.88	144.44	5.77	72.07	61.77	61.76	59.78	1.0	46.5	266.11	31.54	182.18	6.08	0.0	30.66	0.0
Mapk11	135.56	113.56	0.0	0.0	151.1	0.39	104.13	0.0	84.28	0.53	53.1	0.31	215.52	12.35	0.0	0.0	1.35	438.23	0.0	62.1	79.07	0.24	49.88	59.29	204.58	48.62	0.22	78.15	18.01	71.89	0.22	3.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	16.82	83.3	217.66	16.6	46.06	52.99	0.0	44.94	0.26	52.13	65.79	22.44	1.22	1.53	7.21	0.23	163.42	149.49	3.26	0.0	0.0	0.16
Mapk6	16.52	0.28	0.0	0.0	8.29	5.53	71.58	222.5	22.32	97.42	98.81	57.06	119.37	57.16	0.0	101.07	0.0	92.96	177.23	0.0	53.54	12.32	72.26	54.26	42.5	100.04	73.43	80.56	3.06	84.6	74.89	139.03	0.0	0.0	0.08	0.0	0.0	0.0	5.91	0.0	0.0	25.58	0.0	76.66	0.0	12.15	0.15	53.36	44.36	2.55	26.8	39.92	166.77	0.0	97.21	34.77	91.45	55.93	0.0	1.68	0.13	0.0	0.0	0.0	0.0
Mast3	9.78	5.37	0.26	0.0	47.31	1.71	81.08	75.79	0.39	6.9	35.43	127.75	45.96	0.23	0.27	0.11	39.8	10.78	9.09	67.12	69.1	0.18	51.55	30.06	104.73	6.31	27.54	35.58	8.54	38.11	11.93	19.81	0.11	0.07	0.0	0.11	0.03	0.16	0.55	30.19	6.47	47.08	0.0	26.71	28.23	45.56	0.0	19.96	3.25	1.19	3.99	98.17	23.34	16.45	27.59	37.39	71.45	41.95	2.7	11.02	58.87	0.0	0.07	0.0	4.21
Miat	14.67	21.53	0.0	0.0	21.73	57.65	24.24	58.4	66.65	35.52	24.47	0.0	40.84	31.53	2.29	1.66	21.13	29.72	19.56	13.6	60.98	24.15	29.88	22.74	26.02	56.02	41.01	0.05	17.44	34.59	43.97	8.06	0.0	0.0	0.0	0.0	0.0	0.0	20.94	29.14	2.24	0.0	0.0	0.32	0.08	24.44	18.63	22.7	21.12	0.16	9.59	12.78	12.22	55.34	0.42	1.0	10.4	0.91	5.93	12.35	0.0	0.16	0.05	15.36	55.64
Mical2	52.34	49.07	0.0	0.0	34.47	137.39	80.3	214.29	40.92	96.47	98.69	125.37	53.64	51.82	55.26	124.81	3.62	21.16	27.15	75.11	61.13	48.83	48.15	238.18	113.74	74.33	98.28	79.79	4.13	70.57	25.06	68.5	0.17	0.0	0.0	0.0	0.0	0.0	86.05	52.76	2.84	17.02	0.22	131.65	75.99	79.16	67.69	89.85	24.85	50.35	11.99	84.55	100.48	76.66	109.82	30.88	89.82	35.78	71.57	100.98	74.03	24.06	0.0	1.38	4.84
N28178	56.18	85.82	0.0	0.0	30.46	71.33	2.03	27.46	21.82	83.63	7.02	0.0	67.91	56.1	12.5	80.09	10.22	0.7	70.57	82.13	8.29	103.09	52.37	105.3	201.71	95.97	22.66	74.36	8.57	0.49	10.62	71.76	0.0	0.0	0.0	0.0	0.24	0.0	51.51	77.46	57.69	120.93	0.0	27.12	0.0	41.43	2.92	14.09	52.14	6.15	63.18	194.46	73.36	0.19	185.12	7.28	22.29	13.76	0.23	101.27	3.78	0.26	0.0	0.0	0.0
Negr1	52.33	54.67	0.0	0.0	97.99	63.81	135.36	21.69	76.15	68.52	56.58	93.99	149.19	104.6	113.16	0.0	4.07	62.85	63.0	4.83	102.99	77.42	60.14	70.55	129.19	95.1	34.12	58.62	52.38	47.13	69.86	0.44	0.0	0.0	0.0	0.0	0.0	0.0	41.06	121.63	112.0	11.99	0.0	11.18	266.83	93.32	194.86	149.31	59.25	41.22	40.88	98.12	83.38	96.92	105.79	88.31	52.57	73.12	79.8	66.53	57.71	13.27	21.81	0.56	0.96
Neurod2	14.88	13.02	0.33	0.0	0.0	6.81	6.41	0.05	0.0	5.39	23.1	0.94	0.6	0.0	28.18	0.78	0.0	1.13	7.93	0.24	26.96	0.0	13.8	0.19	0.07	15.02	2.08	0.24	0.11	0.0	0.0	5.24	0.17	0.0	0.11	0.0	0.0	0.0	5.28	0.0	0.0	0.85	1.77	32.97	0.0	9.53	0.2	0.23	0.0	0.0	1.72	22.42	40.17	0.2	3.99	0.19	1.32	6.34	22.24	2.81	0.34	0.0	0.0	0.0	0.0
