	"ES5"	"EW.11"	"U.87.MG"	"NCI.H1838"	"DMS.153"	"NCI.H1417"	"LU.65"	"EC.GI.10"	"LU.165"	"NCI.H128"	"SK.MEL.2"	"EKVX"	"COLO.824"	"EB2"	"JVM.3"	"KASUMI.1"	"LNCaP.Clone.FGC"	"MN.60"	"Mo.T"	"NH.12"	"NCI.H716"	"NCI.H2081"	"NCI.H2196"	"TUR"	"CW.2"	"AM.38"	"MFM.223"	"NCI.H719"	"BT.474"	"EW.12"	"EW.18"	"EW.13"	"MDST8"	"NCI.H1836"	"TC.71"	"CL.11"	"NCI.H2135"	"NCI.H1385"	"NCI.H1666"	"Calu.1"	"DV.90"	"EPLC.272H"	"KOSC.2"	"NCI.H1618"	"NCI.H292"	"COR.L105"	"Caov.3"	"HN"	"HSC.3"	"HSC.4"	"SNU.475"	"BPH.1"	"EFE.184"	"HO.1.N.1"	"PLC.PRF.5"	"H2596"	"KG.1.C"	"MCAS"	"WM239A"	"WM902B"	"BICR31"	"BC.2"	"K19"	"K8"	"KYSE.30"	"OSA.80"	"OSC.19"	"OUMS.23"	"UISO.MCC.1"	"NCI.H1404"	"RD.ES"	"COR.L311"	"NCI.H1184"	"NCI.H1926"	"EW7476"	"COR.L303"	"YMB.1.E"	"NCI.H865"	"OVCA433"	"SNU.175"	"NCI.H735"	"DIFI"
"Z-LLNle-CHO"	1.798598	2.529303	1.863554	0.757147	1.154087	1.034298	1.162867	1.127968	1.223522	2.316589	0.579816	2.939915	0.986581	0.591043	1.002856	0.506405	1.364831	1.296843	0.0	2.326026	1.812905	0.400702	1.065911	1.230064	2.550459	1.781022	2.21554	0.693805	2.112927	3.515916	2.28327	1.661613	0.943808	1.615418	0.986084	0.923555	0.190106	2.09961	1.921874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Dasatinib"	1.106388	1.180804	0.945797	0.0	1.233971	1.182728	1.320633	0.862313	1.253296	1.326043	0.730863	1.972996	1.094891	0.772534	0.789926	0.912072	1.172062	0.223873	1.07955	1.15618	1.240418	1.01005	0.492695	0.866701	1.230286	0.765504	1.038129	0.264125	1.121662	1.783913	1.111617	1.031929	0.771555	0.307141	0.779257	0.678277	0.745178	1.119486	0.730471	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"GNF-2"	0.821694	1.239765	1.19607	1.119176	1.209522	0.825755	1.432574	0.640058	1.22012	1.582106	0.379213	2.667151	0.657406	0.241722	0.60346	0.354019	0.96181	0.826109	0.502352	0.881475	1.217622	1.031404	0.275871	0.11025	1.191108	0.775092	0.576931	0.248634	1.049978	2.474318	0.676435	0.539863	0.56114	0.902388	0.0	1.229359	0.771827	0.361661	0.98363	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"CGP-60474"	2.024971	2.015126	1.581728	1.571805	1.005216	0.871609	0.998647	1.470637	2.060176	1.363157	0.874935	3.341804	0.957681	1.545891	1.634034	1.168165	1.637172	0.361935	1.771595	2.487898	2.305232	1.340751	0.866692	1.513778	2.408031	1.809223	2.747423	0.804061	2.528233	4.070481	2.434708	1.828106	0.916763	0.948432	0.601667	2.712715	0.037947	0.16669	2.718104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"CGP-082996"	1.320837	0.859235	1.043457	0.917115	1.834247	0.833508	1.840433	1.432388	1.173935	0.423247	1.071152	2.70296	0.156513	0.493115	1.393221	1.014149	0.86225	0.750533	1.361178	1.636305	1.788907	0.996656	0.683147	0.896487	1.707401	1.334674	1.280549	1.267254	0.837048	2.286335	1.20431	1.490718	1.276264	1.453607	0.790362	1.851171	1.52435	0.63912	1.595556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"A-770041"	1.28823	1.139085	0.563509	1.041842	1.252975	1.401874	0.52966	1.25473	0.621292	1.033767	0.812438	0.63075	0.279928	0.433298	1.231021	1.003462	0.815295	1.111374	1.273395	1.345759	1.298305	1.337865	0.848819	1.014316	1.492324	1.310055	1.230015	0.57925	0.342263	2.165093	0.76489	1.201125	0.932196	0.988843	0.822657	1.216997	1.201785	0.671138	1.381586	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"WH-4-023"	0.89476	1.179593	1.218559	1.126012	1.537286	0.854509	0.96085	0.954084	0.691016	1.122901	0.436317	1.953166	0.985709	0.146415	1.018811	0.619228	0.833739	0.870757	0.882365	1.08117	0.549928	1.138041	0.563989	0.564431	1.01714	1.084771	1.021069	0.899127	0.883509	1.843721	1.07491	1.085978	0.926912	0.513225	0.697626	1.218353	0.582916	0.816059	1.114021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"WZ-1-84"	1.306392	1.604356	1.626101	0.577299	1.488567	1.37435	0.936893	0.681096	0.907462	2.262922	0.843873	1.031378	1.243772	0.30079	1.148757	0.875086	1.408374	1.33844	1.146242	1.41124	1.444848	1.152514	0.54531	0.403222	1.62195	1.065368	0.950234	0.703293	0.0	2.511875	0.902945	1.140589	0.908058	1.45754	0.502627	1.584935	1.264641	1.336923	1.288693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"BI-2536"	1.784439	2.387296	2.183019	2.180341	1.566925	0.514513	1.027084	0.118709	0.793495	3.002705	1.08073	1.739502	1.917936	1.280799	1.155235	1.259757	2.189097	1.549597	1.895832	1.914473	2.316648	0.813645	1.020909	1.694563	2.318385	2.102144	1.641264	0.905399	0.787032	3.039337	2.085578	1.599334	0.426125	0.182948	0.04636	1.858526	0.448431	1.884264	2.223272	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"BMS-509744"	0.164071	0.0	1.115495	1.004881	1.616427	0.570528	0.329898	1.935515	0.857818	0.364445	0.712448	2.291416	1.866435	0.52924	1.895857	0.712905	1.320013	0.739032	1.818121	0.924017	0.907805	1.46838	0.997182	1.228071	2.334008	1.29163	1.778271	0.644333	1.901875	3.458004	1.311477	0.0	0.611274	1.081413	0.688604	1.969722	0.671312	1.714728	1.921778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"CMK"	1.052401	1.767734	0.452152	1.918109	2.290927	0.381077	0.653108	1.441037	1.646599	0.0	0.0	2.530679	0.804587	0.097863	1.335421	0.0	0.929898	0.828872	1.246817	0.812889	1.861022	1.797681	1.679111	0.821241	1.583949	1.69357	0.549936	1.090907	1.794067	2.605841	1.257728	1.371791	0.310307	1.259994	0.941626	1.938366	0.814423	1.674572	0.850943	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"JW-7-52-1"	1.370906	1.619239	1.267522	1.355446	1.124357	0.522867	0.90768	1.973939	0.821602	1.918239	0.293547	0.37227	0.495654	1.466896	1.624569	1.104227	1.612927	0.581794	2.264946	1.676133	2.32602	1.253357	0.439658	1.651011	2.144778	1.276506	2.426212	0.683177	0.269177	3.349539	2.31398	1.408408	0.0	1.343679	0.694062	1.462889	0.097418	0.537587	1.935611	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"A-443654"	1.765966	2.890363	2.400703	2.099257	0.757416	0.198328	0.615665	0.633494	0.314696	1.995083	0.412183	1.966228	1.093279	1.535452	0.992687	1.674545	1.17746	0.330036	2.014822	2.659054	2.791609	0.977756	0.154094	1.978954	2.824652	2.070514	0.194746	0.326115	0.142821	3.774117	2.412245	1.102984	1.203973	0.652021	0.293828	1.731875	0.820332	0.386906	2.649296	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"GW843682X"	1.572887	2.41003	2.196122	2.093825	1.991816	0.627513	0.634405	0.698416	1.164443	2.68264	0.844626	2.663139	1.749106	1.198044	1.340595	1.036836	2.263374	1.503037	2.114238	1.706968	2.144097	1.06618	1.048283	1.735035	2.356738	2.148679	1.624131	1.065327	1.36387	2.96875	2.152106	1.73802	0.845219	0.228425	0.058243	1.321713	0.66723	1.301843	2.271243	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"TGX221"	0.999608	1.305855	0.0	1.416077	1.63435	1.171361	0.955573	0.984021	1.388537	2.181778	0.637949	0.444687	0.981945	0.0	0.948739	0.491217	1.067831	1.102056	0.996503	0.790374	1.36859	1.280668	0.990504	0.518807	1.245742	0.836594	0.970763	0.887875	1.164618	0.121147	0.586213	1.204791	0.559858	1.123522	0.384537	1.254047	0.337242	1.15919	1.210588	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Bortezomib"	0.793948	1.868718	1.070826	3.239282	2.029505	0.368424	0.386601	1.200146	1.169062	1.784126	1.90689	0.0	2.537548	0.937708	0.911846	1.457359	2.191128	0.683638	0.055368	1.362275	1.654663	0.676772	0.298119	1.43674	3.039819	1.890489	0.589416	1.416376	1.554409	1.892425	1.151478	1.916385	0.0	1.037627	0.181534	0.23809	0.146856	0.859427	2.267911	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Seliciclib"	1.611973	1.578176	1.194113	0.490302	1.287117	1.859595	0.713489	1.58778	1.540334	3.062254	1.566398	2.248765	1.466147	0.861749	1.544221	1.321951	1.080704	0.505807	1.266176	1.820939	2.049231	1.089895	1.325112	0.939698	0.0	1.215481	1.404383	1.042802	1.397504	3.192722	1.504622	1.126203	0.095995	0.619466	0.872551	1.756883	0.803766	0.349266	1.778179	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Salubrinal"	1.780621	1.060625	1.18322	0.0	1.107395	1.731526	0.228327	1.155408	1.435709	1.315653	1.078865	0.46696	0.0	0.811351	1.64619	1.530105	1.061118	1.92036	1.555522	1.880321	1.126084	0.800059	1.063549	1.33251	2.17397	0.706381	1.756454	1.463427	0.661684	3.157948	0.0	1.182161	1.235892	1.0683	0.0	1.891792	0.24294	0.390234	1.860109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
