	"NCI.H2126"	"NCI.H1355"	"LB2241.RCC"	"LB996.RCC"	"EKVX"	"X697"	"ECC12"	"KE.37"	"NCI.SNU.5"	"P30.OHK"	"SCH"	"SIG.M5"	"SW684"	"BL.41"	"BL.70"	"A3.KAW"	"NCI.H2107"	"D.263MG"	"EW.12"	"CL.11"	"KARPAS.231"	"NU.DUL.1"	"SU.DHL.6"	"WIL2.NS"	"A498"	"KARPAS.45"	"KP.N.RT.BM.1"	"Kasumi.3"	"P116"	"CP67.MEL"	"NCI.H378"	"NCI.H250"	"SW780"	"NCI.H2170"	"SW756"	"MIA.PaCa.2"	"NCI.H2291"	"SW1573"	"KYSE.70"	"OVCAR.3"	"MCF7"	"Hs.578.T"	"HOP.92"	"CAL.72"	"Detroit562"	"FADU"	"HEC.1"	"HT.1376"	"HT55"	"DMS.53"	"Mewo"	"MG.63"	"NCI.H441"	"NCI.H2452"	"NCI.H1793"	"NCI.H28"	"Saos.2"	"SW13"	"OE19"	"COLO.678"	"NY"	"C3A"	"NCI.H1651"	"SW1990"	"MDA.MB.415"	"SiHa"	"SKG.IIIa"	"TT"	"NCI.H2023"	"H2369"	"H2461"	"Hs.766T"	"huH.1"	"KON"	"KYSE.30"	"MCC26"	"OCUM.1"	"PANC.04.03"	"PCI.30"	"SU.DHL.5"	"SU.DHL.10"	"SW1116"	"NCI.H929"	"MHH.CALL.2"	"MOLT.16"	"TI.73"	"BALL.1"	"CML.T1"	"Jurkat"	"CRO.AP3"	"KARPAS.1106P"	"MOLM.16"	"OVCA432"	"MM1S"	"OCI.LY7"	"Set2"
"BX-912"	1.338227	1.074966	1.328731	1.056004	2.140864	0.0	0.0	0.0	1.301207	0.0	1.438941	0.0	1.917043	0.0	0.0	0.0	0.0	0.0	0.0	1.200115	0.0	0.0	0.0	0.0	1.2536	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.323729	0.354129	1.501116	0.99778	1.72293	0.004306	0.816833	1.121892	1.24113	0.633816	0.987423	1.453564	0.544568	0.254195	1.150123	1.486143	1.32822	1.434468	1.469901	1.420897	1.6484	1.504593	1.394347	1.337037	1.786753	1.244651	1.446227	1.558016	0.307682	1.346669	1.387508	1.273654	1.661506	1.061553	1.458806	0.174494	1.369709	0.743291	1.09248	1.724457	1.585599	0.577331	0.0	1.4513	1.280058	1.943456	0.186334	0.0	0.0	1.665102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"ZSTK474"	1.334528	0.983128	1.972305	1.572963	1.020114	0.0	0.0	0.0	0.473626	0.0	1.494018	0.0	1.917736	0.0	0.0	0.0	0.0	1.752042	0.0	1.683668	0.0	0.0	0.0	0.0	0.654252	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.65669	0.89185	2.203544	0.693205	2.383433	0.379889	0.682176	0.960007	1.996755	2.106839	1.224601	2.230254	0.4686	0.774986	0.827908	1.811977	2.084532	1.925909	1.164878	1.900461	2.210131	2.273967	0.100353	1.73385	1.774251	1.989632	2.139531	1.680939	1.234751	1.761202	1.998277	0.591179	0.856634	1.718584	1.757836	0.960573	0.521942	1.405206	1.529125	0.724372	2.154068	1.268425	0.0	1.960117	1.535871	2.650035	1.849998	0.0	0.0	1.862415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"AS605240"	0.704969	0.57904	1.588848	1.632183	1.598916	0.0	0.0	0.0	0.290955	0.0	1.672502	0.0	2.077882	0.0	0.0	0.0	0.0	0.458839	0.0	0.888171	0.0	0.0	0.0	0.0	1.058245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.114632	0.433858	1.775782	0.341962	2.133823	0.0	1.120787	1.213327	0.813272	1.62943	1.122118	1.746728	0.015967	0.0	0.504518	0.0	0.864926	0.993087	1.782228	1.579248	0.28298	1.769935	1.015838	1.645589	1.972145	1.496553	1.722297	1.984282	1.031065	1.6128	1.297861	1.017534	1.324664	1.801991	1.893705	1.69459	1.010103	0.972479	1.209567	1.289491	1.863333	1.13192	0.0	1.872476	0.803202	1.540844	1.455102	0.0	0.0	1.998184	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Genentech Cpd 10"	1.276914	0.728693	1.499759	1.575321	2.445643	0.0	0.0	0.0	1.47015	0.0	1.45662	0.0	2.115325	0.0	0.0	0.0	0.0	1.660314	0.0	1.551808	0.0	0.0	0.0	0.0	0.098224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.52807	0.702472	1.682381	1.155323	2.029027	1.69356	0.402916	1.584481	1.424453	1.539661	1.604965	1.653413	0.0	0.016811	0.005925	1.695228	1.52297	1.605873	1.651483	1.598733	1.769716	1.67639	1.768458	1.171555	1.966915	1.409584	1.468026	1.799243	1.005174	1.523437	1.554337	1.686579	1.911448	1.626882	1.896676	1.994654	1.126731	0.904563	0.010506	1.920296	1.770051	1.138327	0.0	1.29957	1.608462	1.302173	0.309843	0.0	0.0	1.998935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"GSK1070916"	1.296561	1.162283	1.037326	1.108818	2.013307	0.0	0.0	0.0	1.06547	0.0	1.025123	0.0	1.606466	0.0	0.0	0.0	0.0	1.152918	0.0	0.681945	0.0	0.0	0.0	0.0	1.306756	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.073785	0.109185	1.225133	0.60819	1.343942	0.847972	0.50065	1.153841	0.992037	1.11249	1.060783	1.191126	0.601899	0.526553	0.948751	1.246238	1.138253	1.191961	1.231004	1.14061	1.42982	1.217925	1.492703	0.686692	1.461408	0.988832	1.192176	1.029876	0.982501	1.113118	1.128715	1.135518	1.43207	1.265496	1.06507	1.505763	0.71053	0.895336	0.953184	1.451152	1.307358	0.815545	0.0	1.353478	1.176351	0.952876	1.270863	0.0	0.0	1.434489	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Enzastaurin"	1.526518	0.103846	1.448953	1.546159	1.403818	0.0	0.0	0.0	1.499195	0.0	1.653117	0.0	2.128879	0.0	0.0	0.0	0.0	1.301621	0.0	1.69967	0.0	0.0	0.0	0.0	0.114967	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.560799	0.063488	1.72355	0.792305	1.606481	0.773882	0.013984	1.626569	1.427149	1.308977	1.645158	1.693019	0.0	0.107754	0.305224	1.736682	1.450052	1.535863	1.501364	1.635388	0.921958	1.717235	2.042896	0.516392	2.021017	1.436035	1.139766	0.0	1.373616	1.554493	1.589055	1.0855	1.91809	1.752967	1.93354	1.423709	0.163296	0.868578	0.0	0.073804	0.926797	0.782902	0.0	1.85736	1.645642	0.0	0.763265	0.0	0.0	2.136144	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"GSK429286A"	1.252205	0.644847	0.895173	0.712492	2.319986	0.0	0.0	0.0	0.809587	0.0	0.964057	0.0	1.815515	0.0	0.0	0.0	0.0	0.608091	0.0	1.168544	0.0	0.0	0.0	0.0	1.444072	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.952549	0.611653	1.176563	0.599321	1.497737	1.307833	0.693187	1.047959	0.80357	0.712033	1.056955	1.047854	0.0	0.389071	0.69538	1.202794	0.94938	1.071921	0.651296	0.939256	1.262703	1.173457	1.516786	0.75772	1.58573	0.782677	1.072803	1.278486	0.650939	0.936332	0.978303	0.547811	1.524918	1.225249	1.466471	1.643641	1.105023	0.488393	0.424939	1.255354	1.313846	0.296778	0.0	1.399126	1.007683	1.746223	1.001586	0.0	0.0	1.7447	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"FMK"	1.552879	1.763475	0.979906	0.885453	1.737903	0.0	0.0	0.0	0.921261	0.0	1.190932	0.0	0.0	0.0	0.0	0.0	0.0	0.864715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.284119	0.905863	0.0	0.811277	1.508257	1.657771	0.888117	1.166576	0.822162	1.058818	0.289371	1.196785	0.104578	0.0	0.624949	1.389355	1.028148	1.195295	1.36973	1.187226	1.552665	0.843269	1.997137	0.0	1.945985	0.791016	0.0	0.329685	0.740386	1.029505	1.098159	0.554509	1.84613	1.420911	1.776694	2.016562	0.467344	0.237284	0.844725	1.860804	1.505729	0.297499	0.0	1.67323	1.207354	0.898742	1.361993	0.0	0.0	1.910938	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"QL-XII-47"	1.50734	0.622006	2.023815	2.037764	2.46971	0.0	0.0	0.0	1.575268	0.0	0.582424	0.0	2.211916	0.0	0.0	0.0	0.0	2.182317	0.0	1.590078	0.0	0.0	0.0	0.0	0.518987	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.052521	1.430293	1.961582	1.871181	2.010793	1.165813	0.343747	2.105501	1.954551	0.98623	2.019236	2.067742	0.177208	0.29445	0.813393	2.217402	2.05023	2.088347	2.174259	2.124018	2.181483	2.199892	1.317995	1.299294	1.880312	1.940055	2.14827	0.457038	1.554848	0.836976	2.083005	1.684981	2.042104	0.925888	2.356376	2.458411	1.321256	1.660272	0.565927	1.499591	2.143724	1.639934	0.0	1.773409	1.843685	0.638451	1.612404	0.0	0.0	2.477394	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Idelalisib"	1.366952	1.028367	1.067286	1.165322	1.772627	0.0	0.0	0.0	1.098301	0.0	1.295694	0.0	1.977428	0.0	0.0	0.0	0.0	1.327858	0.0	1.245912	0.0	0.0	0.0	0.0	1.108551	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.131256	0.915195	1.293423	0.679171	1.842289	0.856212	0.645788	0.840567	1.030374	1.170732	1.023451	1.310771	0.334943	0.766184	0.778631	1.158132	1.004227	1.135056	1.262976	1.264934	1.652243	1.378275	1.412633	1.362946	1.265953	1.015648	1.307296	1.481483	0.911865	1.008581	0.863967	1.196654	0.056868	1.386648	1.54769	1.402096	0.943458	0.892474	1.302248	0.526345	1.30346	0.743175	0.0	1.516712	1.283364	1.682889	1.216054	0.0	0.0	1.729042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Cabozantinib"	1.347972	1.83563	0.735658	0.616498	2.299049	0.0	0.0	0.0	0.0	0.0	1.485612	0.0	2.151744	0.0	0.0	0.0	0.0	1.238451	0.0	1.573177	0.0	0.0	0.0	0.0	1.720072	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.027743	1.172442	1.324608	1.320722	2.035575	1.148703	1.25118	1.449341	1.231679	1.373139	1.347289	1.534325	0.500251	0.72331	1.134265	1.59091	1.18511	1.470705	1.462319	1.429288	1.726102	1.563275	1.176616	1.027716	1.9522	1.212749	1.502631	1.775108	1.181184	1.363579	1.05827	1.56487	1.768081	1.597581	1.820323	0.992415	0.961313	0.840477	1.631769	1.886386	1.674795	1.062482	0.0	1.770698	1.200541	1.148844	1.470317	0.0	0.0	1.828897	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"WZ3105"	1.293543	1.154619	1.847777	1.806064	1.048346	0.0	0.0	0.0	1.813717	0.0	2.131743	0.0	2.345733	0.0	0.0	0.0	0.0	0.426473	0.0	2.151538	0.0	0.0	0.0	0.0	1.716486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.630211	0.279768	0.607572	0.526552	2.529165	0.292547	0.408262	2.033112	1.490508	1.937024	1.470484	2.06692	1.047763	0.439804	1.474017	2.1118	1.104547	2.065353	0.547391	1.983573	1.616183	1.945525	1.621398	1.960593	0.873494	0.746532	1.017817	1.051837	0.778264	1.997525	1.657233	0.811869	0.948923	0.775376	2.093042	0.3108	1.416695	1.330719	1.426825	2.345125	1.880252	1.239944	0.0	2.209948	0.427976	0.830302	1.284228	0.0	0.0	2.540113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"XMD14-99"	1.215111	1.312951	0.711378	0.929732	2.720833	0.0	0.0	0.0	0.75212	0.0	0.740988	0.0	1.635906	0.0	0.0	0.0	0.0	1.070658	0.0	0.933149	0.0	0.0	0.0	0.0	0.948931	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.846436	0.397422	0.992323	0.771702	1.10635	1.364736	0.710271	0.959745	0.640874	0.870368	0.909863	1.056465	0.388197	0.407615	0.4636	1.050713	0.840489	0.324243	0.753475	0.814584	1.553986	0.873789	1.64524	1.072235	1.536507	0.643703	0.954245	1.271463	0.396601	0.835335	0.590157	0.832128	1.414049	1.094576	1.287613	1.618091	1.007623	0.60835	1.228801	1.514531	0.598053	0.410967	0.0	1.011114	0.567	1.853326	1.007098	0.0	0.0	1.789681	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Quizartinib"	0.805486	1.083891	0.693349	0.808946	2.51108	0.0	0.0	0.0	0.655622	0.0	0.894045	0.0	1.299191	0.0	0.0	0.0	0.0	0.968684	0.0	0.916209	0.0	0.0	0.0	0.0	1.47884	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.748011	0.377069	0.984629	0.649635	0.032489	1.19898	0.588507	0.855102	0.566513	0.769091	0.847939	0.947144	0.357368	0.358192	0.286203	1.029651	0.74055	0.870213	0.744333	0.865821	1.228376	0.990088	1.499559	1.062662	1.48696	0.550714	0.645643	1.200688	0.522771	0.741885	0.703855	1.009824	1.39563	1.055223	1.368601	1.476146	0.133345	0.574796	0.800038	1.381075	1.152959	0.309177	0.0	0.598443	0.884463	0.465785	0.889811	0.0	0.0	1.55812	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"CP724714"	0.899447	0.923169	0.9662	0.924609	1.613964	0.0	0.0	0.0	0.914453	0.0	0.619513	0.0	2.044114	0.0	0.0	0.0	0.0	1.149005	0.0	0.615479	0.0	0.0	0.0	0.0	1.544157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.562073	0.0	0.565281	0.149492	1.716394	1.543319	0.049849	1.136105	0.379113	1.040571	0.426697	1.205025	0.0	0.0	0.515396	1.196781	1.009461	0.063308	0.306477	1.150669	1.084762	1.127422	1.596589	1.234545	1.838459	0.0	0.0	1.623621	0.710734	1.010332	0.744061	0.595764	1.536659	1.304362	1.665822	1.741576	1.081978	0.632136	1.423953	1.613204	1.010201	0.144839	0.0	1.053195	0.70981	2.097039	0.767647	0.0	0.0	2.028394	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"JW-7-24-1"	1.875827	1.363913	2.345637	2.31973	1.819295	0.0	0.0	0.0	2.313399	0.0	1.677974	0.0	2.904582	0.0	0.0	0.0	0.0	2.377819	0.0	2.445328	0.0	0.0	0.0	0.0	0.495891	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.027011	0.549827	1.939795	0.977822	2.575087	1.015815	0.189267	2.451527	2.242802	2.39122	2.474581	2.516116	0.481014	0.42983	1.089797	2.572606	2.372589	2.464846	1.33436	2.460561	2.743233	2.549802	0.307197	0.764458	2.88905	0.781644	2.312605	1.054818	2.212558	1.733281	0.511889	0.946422	0.913295	2.514479	2.739979	2.539847	0.740616	0.426815	0.833813	1.256587	2.270823	1.234184	0.0	2.456084	1.707986	1.220997	0.711711	0.0	0.0	2.919551	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"NPK76-II-72-1"	1.40721	1.511085	1.197038	1.415657	2.046548	0.0	0.0	0.0	1.322505	0.0	1.470346	0.0	1.988173	0.0	0.0	0.0	0.0	1.211461	0.0	1.537413	0.0	0.0	0.0	0.0	1.844941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.114786	0.29507	1.489798	0.856698	1.889538	1.351422	1.094329	1.440043	1.265086	1.37708	1.330026	1.509335	0.69438	0.784666	1.197222	1.552398	0.597221	1.455408	1.537755	1.444918	1.36157	1.486633	1.493165	1.475593	1.777332	1.258232	1.260391	1.470129	1.240853	1.375482	1.096817	1.470179	1.427233	1.304848	1.610326	1.158216	1.199086	1.181775	1.40143	1.78418	1.629453	1.142362	0.0	1.677957	1.420639	1.732635	1.423997	0.0	0.0	1.585632	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
