	"ACH.000045"	"ACH.000070"	"ACH.000113"	"ACH.000178"	"ACH.000198"	"ACH.000317"	"ACH.000324"	"ACH.000339"	"ACH.000362"	"ACH.000406"	"ACH.000416"	"ACH.000549"	"ACH.000648"	"ACH.000693"	"ACH.000770"	"ACH.001735"
"148753"	-0.144585248166633	0.0111807655587958	-0.0427198518140296	0.0392980236670782	-0.0396256251934238	-0.0864444031720783	-0.0328788448131351	-0.0516510340337575	-0.00283458614236792	0.0543682122403472	-0.0873894672043796	-0.134354233898668	-0.246953945064009	-0.032787142612985	-0.033605150129055	-0.0168392239903433
"54097"	0.235960310878898	0.156177081183946	0.274280531553444	0.20718094976763	0.125431561429079	0.256494518586811	0.203076304905253	0.181346017584837	0.129922840950638	0.206149731362329	0.252795824948563	0.201901023409427	0.263805372941723	0.19413170180076	0.211610176516172	0.258870008174524
"26273"	-0.280550071149276	-0.14768938513825	-0.215874035300618	-0.133996274694136	-0.0969805742175657	-0.19919176064548	-0.232969501249153	-0.345447733669692	-0.203562401597151	-0.184003340809184	-0.237633622141148	-0.241932892265197	-0.38308437800649	-0.216682580297019	-0.267610371458964	-0.231492311344064
"100861412"	0.0570928008103088	0.0189542884454361	0.0831752875114777	-0.0450866776348408	0.0118508860737301	-0.0930938527356651	0.137536518801751	0.0351351091152796	0.028216739998121	0.0794325182256772	0.0199349363361922	-0.0770638477662278	0.213757255189964	0.04346188230312	0.0181500431605818	0.0453768572701826
"8521"	0.119051909668126	-0.0149716310807727	-0.10086825492041	-0.11152822333259	-0.102666802456229	-0.0999708100937523	-0.147345280537178	-0.129890534827836	-0.0705431600831163	-0.0603497639874476	-0.186642947206907	-0.112908103406032	-0.223804652154855	-0.0878441289842373	-0.178439706002898	-0.0806216141064697
"3047"	0.0891328875391724	-0.0378795556036244	0.056443445980448	-0.0357091248488369	-0.00941373802264834	-0.0220376356665541	-0.0335846785884262	-0.0192532821743415	0.100035453976509	0.0119207205331942	0.0476924305688829	0.0676029782096556	-0.103511301183198	0.0137767847420758	0.0658182627092662	0.0790734504819689
"3115"	-0.0466896090919199	0.047385230687663	-0.0038824066801074	0.0683675863495341	-0.00458860485044424	-0.109626229546256	0.0102817424147892	0.0393461201272894	-0.0740706223017288	-0.00792302117163027	0.103542619726234	-0.0972835673801641	0.155021200633561	0.0714910416447591	0.0359874539108958	0.0651348363287391
"3452"	-0.297391726692599	-0.157164854249248	-0.238928790729475	-0.13549296769177	-0.0028148324303121	-0.263634366144332	-0.250103604410684	-0.172446091587192	-0.170271276685279	-0.214386351214206	-0.159025789066279	-0.149387630786553	-0.299740228286517	-0.207939544135111	-0.386556965581435	-0.22542485760341
"728255"	-0.0773908799073877	-0.0156571017213129	-0.19932688681242	-0.0448388977320781	-0.129782039724695	-0.175315362111914	-0.21837523767547	-0.0873302430993578	-0.0415324807593735	-0.0261123094483477	-0.0663957676710883	-0.198431893782092	-0.257433736063667	-0.146397526184099	-0.133346058875087	-0.0730337823284323
"23592"	-0.113295898406226	-0.10009030761706	-0.0515915508025227	-0.0502259651205228	0.0723463619444361	0.097482537064281	-0.0989757241524117	-0.0241080689925792	-0.0263868616089081	-0.0561585456329376	-0.172534735638312	-0.163965177796535	-0.294776502980965	-0.210384016830114	-0.0577635982064594	-0.0295624618864073
"11157"	-0.790328447575403	-0.682913677753724	-0.864408691570909	-0.797756647280203	-0.661890428935866	-0.828775166339479	-0.879442266988825	-0.826263183183899	-0.663102455922014	-0.665547533422536	-1.00784224371485	-1.00528238726127	-0.963217726380607	-0.831132173454541	-0.986065742357118	-0.720263464052426
"4085"	-0.603234118325847	-0.656194756366692	-0.437531180927647	-0.600635550698192	-0.49843045855879	-0.898864623989726	-0.826136913295028	-0.735180989198513	-0.667726857498466	-0.344987186694095	-0.641359175285923	-0.827433548258002	-0.95321247515159	-0.656863026997612	-0.656872678585371	-0.63881261289502
"257194"	0.0412032027558328	0.0523167002216265	-0.00932848909378698	-0.0540565839041084	-0.0170216672891426	-0.140752843511805	-0.0573822093054982	0.0178999310926678	0.0370208977391185	0.0700651531518723	0.0528939562149575	-0.0177350150740798	-0.223204357262823	-0.0597027589051737	-0.0722603403075358	0.0176457198181229
