	"ACH.000019"	"ACH.000488"	"ACH.000511"	"ACH.000620"	"ACH.000633"	"ACH.000647"	"ACH.000653"	"ACH.001031"	"ACH.001075"	"ACH.001228"	"ACH.001289"
"2784"	-0.0807270473147647	-0.111760678149359	-0.0695080077129465	-0.022353604088254	-0.167715588657649	-0.0811986416321708	-0.0765656827886627	-0.230419375860683	-0.0677349941658912	-0.0962890455686043	-0.223329513960175
"27239"	0.0432464999515081	-0.159887759732934	-0.0605524558655188	-0.120036355778359	-0.218872687161619	-0.0884430416080016	-0.0213133308083238	-0.100281556122573	-0.14153688560706	-0.0892790543585912	-0.174822564010191
"221092"	-0.296610642795236	-0.306006182916617	-0.286767516149465	-0.309942632069405	-0.356180240615868	-0.302775591035898	-0.376573447144167	-0.229446711700533	-0.367768206528291	-0.285557416573169	-0.370530054565159
"9493"	-1.0014139306719	-0.860001173041905	-1.19810676226036	-1.04785395426349	-1.02297816827787	-1.05728888667952	-0.943299403538056	-1.14513940303519	-1.15631984575932	-1.04658750309511	-0.981411536114524
"84930"	-1.16427359898851	-1.37080268352707	-1.33476112713796	-1.31562674138829	-1.23547336837224	-1.50341499320622	-1.50623184602432	-1.40206759431784	-1.31408475001393	-1.20301800764425	-1.2105810355449
"93408"	0.124320417233724	0.214537148458654	0.111453175905901	0.156030299050455	0.160433700514637	0.154291415625597	0.16319903858195	0.0834046605182818	0.0233639857035736	0.149925346561164	0.0747095602189159
"401427"	-0.0394426703652279	-0.0346084534988325	-0.163339066705097	-0.0480348800245387	-0.0401871534082606	-0.0624215237406694	0.0150703295819168	-0.0612387265040034	-0.0160081823037496	-0.162780169206742	-0.143022641622135
"51555"	0.0500095682039449	-0.0671256970392271	-0.00838933991841346	0.00826097785098896	-0.0250557191851509	0.0858544977718022	-0.0226287833212856	0.0460991408743156	-0.115639038653018	-0.106751525940671	-0.080341144631465
"5318"	0.158268424093164	-0.192198541242793	-0.00168096289105734	-0.0261406595861768	-0.175039522033291	-0.108463745303161	-0.0483423717889566	-0.150441897185586	-0.0749827923127645	-0.127239344092329	-0.0587028295216498
"27166"	-1.22758206838164	-1.24165788812465	-1.39479171816203	-1.2544024983717	-1.39519514927402	-1.34832161466648	-1.19478021416457	-1.42002947397418	-1.40006361841793	-1.51133465662762	-1.05617272975225
"5777"	0.0048771483329838	0.0343980954603218	-0.0330200737150169	0.0149835225551635	-0.00598993212378134	0.0655493889354593	0.026442475622043	-0.0609599727825051	-0.0435566231403326	-0.0202755372669239	0.0206830054562572
"5955"	-0.0717515122759705	-0.201884459266877	-0.176606100664261	-0.0721689385525661	-0.0314792699849813	-0.147372732074935	-0.209461609108614	-0.140769650502606	-0.132337505708151	-0.164988026801398	-0.0899875928300634
"29927"	-1.07774969015607	-1.01562331425209	-1.23619517483848	-0.835515689477513	-1.06074981781784	-1.23554100349613	-1.10040899201344	-0.818885641666807	-1.20330046986436	-0.91922084477431	-0.868182244548245
"10610"	-0.0517585996530882	-0.00726763107720094	-0.0689718986714268	-0.0415686750072441	-0.0705140223810493	-0.131619329790381	-0.0648331304826337	-0.0442043024535744	0.120033667511566	-0.0765682169436763	-0.0620764832113871
"729873"	1.96876994892537	1.90364150719294	2.20659678129989	1.84206407201736	2.12910777033611	1.9928602444954	2.31628358121456	2.19954797624397	2.08103268345867	1.80541237396504	2.41477511779683
"7465"	-1.54612123697022	-1.40014438688181	-1.50746443551693	-1.43193974531348	-1.51172580372001	-1.50885415069103	-1.61157571907914	-1.50335152425518	-1.40949841365424	-1.51312275122659	-1.26252944427351
"7514"	-1.13712176105776	-1.32795230332219	-1.1519295064103	-1.34098804410852	-1.32886804221661	-1.22306969943043	-1.35253256051357	-1.23358686689085	-1.20528223472109	-1.31495757602108	-1.38645853298318
"55205"	-0.0615693021473706	-0.123241588964638	-0.160744347652797	0.0250733777124398	-0.0885599329895558	-0.0825550633157468	-0.0666603456056349	0.0631328120142826	-0.330213263456481	-0.169663311795804	-0.224400829196363
