	"ACH.000014"	"ACH.000017"	"ACH.000053"	"ACH.000085"	"ACH.000160"	"ACH.000207"	"ACH.000226"	"ACH.000233"	"ACH.000248"	"ACH.000251"	"ACH.000277"	"ACH.000304"	"ACH.000330"	"ACH.000356"	"ACH.000383"	"ACH.000450"	"ACH.000477"	"ACH.000484"	"ACH.000488"	"ACH.000517"	"ACH.000549"	"ACH.000579"	"ACH.000580"	"ACH.000614"	"ACH.000637"	"ACH.000646"	"ACH.000661"	"ACH.000665"	"ACH.000694"	"ACH.000697"	"ACH.000724"	"ACH.000734"	"ACH.000773"	"ACH.000783"	"ACH.000785"	"ACH.000805"	"ACH.000829"	"ACH.000840"	"ACH.000846"	"ACH.000855"	"ACH.000887"	"ACH.000900"	"ACH.000929"	"ACH.000957"	"ACH.001028"	"ACH.001134"	"ACH.001197"	"ACH.001550"	"ACH.001554"
"55272"	-1.0258858005269	-1.02269722510016	-0.974719249285119	-1.04873122136131	-1.21747920877551	-0.767807695991093	-0.766353716320611	-1.08503388176941	-0.88361182665979	-1.02711289112698	-0.846544377374292	-0.909705278376527	-0.838594052621093	-0.836117427852596	-0.957354505986957	-1.06410594075068	-1.08384450376441	-0.781444108919507	-0.874251300027729	-1.10411745838324	-0.811822052336585	-1.05595571859975	-1.05926549959732	-1.20425028533107	-1.18403698777134	-0.79215844914031	-1.04603591381638	-1.0906606584176	-1.08887402428928	-1.04853882331632	-0.978495222416514	-0.965859919579902	-0.952124636884705	-0.764952935321403	-0.911164740209378	-0.884447007545699	-0.833930586147247	-1.1531528646529	-0.955729597765361	-1.12374026349106	-0.98891805980617	-0.797539730983909	-1.17977866043151	-0.986058790658526	-0.974640640039759	-1.01997532467657	-1.00098059550546	-1.24563223505106	-0.97777144241011
"3843"	0.00703630514343885	-0.334738855881693	-0.54114331683133	-0.520290285314456	-0.241135884809692	-0.317334206030329	-0.492869267687333	-0.305810715874635	-0.307071874311365	-0.374638625570116	-0.318704417746394	-0.439144751474617	-0.169311987578991	-0.37602652992684	-0.249670052699193	-0.58420378981029	-0.545718034386992	-0.23036370779279	-0.272858432605337	-0.339077352151279	-0.378152730359107	-0.322417955979174	-0.339180267804181	-0.64786287865425	-0.361996787881256	-0.432872972303346	-0.31008162534793	-0.284371155349736	-0.372599156746784	-0.556055518872357	-0.596353677074393	-0.258663495738306	-0.196244379021806	-0.254266068038838	-0.269324648913998	-0.251651590260335	-0.714697319249116	-0.633400602491986	0.0322925335010072	-0.433635093401684	-0.29302909283375	-0.0393774986165191	-0.59352715104646	-0.300945990334189	-0.390246221131644	-0.584552136228999	-0.0632203807335514	-0.275175131648328	-0.452299456835317
"79694"	-6.39996595924149E-4	0.0149807746226834	-0.0242947888315659	0.195675227291783	-0.0278607025880778	0.230373824264945	0.199400305869163	0.151976780376308	-0.0108396605557075	0.327774926453201	0.174406777192791	0.120330841057439	-0.0451269048530409	0.135867201405094	0.0620646770972534	0.114416356517565	0.12022679348722	0.146347698545535	0.164781883538183	0.0806315875961254	0.102878178844083	-0.00947253560816818	0.150692571034924	0.0956660798426233	0.150708314255781	0.11582140783687	0.12605517046837	0.121195189621998	0.0128252767284444	0.061510885046194	0.291924331662487	0.0548767489270304	0.0245881408353174	-0.00360161226964474	0.14009418634206	0.166447409758163	0.116170997356009	0.219868184739298	0.140128582177591	0.131837149651682	0.0245609121680806	0.117713897974365	0.185168177342446	0.0564839820976562	0.104695434272613	0.288365071053728	0.106296102161698	-0.0412162969952302	0.0445058534711899
"326625"	-0.124188954463031	-0.284203371540647	-0.173002370259433	-0.459147816462986	-0.263785603965012	0.0212198061577259	-0.224510448977202	-0.319277474341073	-0.0456320856031616	-0.347999681363993	-0.264828432366499	-0.204628710182132	-0.232092800694984	-0.0247175568983414	-0.28382168876862	-0.225485016691554	-0.485659221239975	-0.23995345324513	-0.302698129607206	-0.257929137073727	-0.3809652530499	-0.290792729443027	-0.180518290531899	-0.184034775361626	-0.314348784327161	-0.106430632827432	-0.317418309465331	-0.316297863127266	-0.314628757020299	-0.160149422099049	-0.368452849523749	-0.342232885834689	-0.172883524437968	-0.398923954613311	-0.342209762244536	-0.337163237638484	-0.265749566346425	-0.390846635141329	-0.18422931793267	-0.312087035239222	-0.327751376127775	-0.366201262186295	-0.305056351174091	-0.308313817275456	-0.364437396788158	-0.295042630687494	-0.42906628509709	-0.213649941536824	-0.242469357109116
"4324"	0.0723167851103712	-0.0646996268449871	0.0139113727929784	-0.0441100770381418	-0.0787595394732948	0.138874794395739	-0.0242066299745184	0.0718023371526432	-0.00241947266216144	0.100261455560584	0.114098017950067	0.0889834122412193	0.00599711417039791	0.0315929265456785	-0.0939897047736592	0.141734650662383	0.235175074908531	0.134583257475542	0.0516712696545503	0.0450737542482052	0.0263916184165981	0.0669059236261731	-2.64909344986327E-4	0.0817959838447945	-0.164612670613535	0.0945260879664798	0.124333577735506	0.0637971052946888	-0.0464656189370953	-0.150136050329814	-0.0413596659602627	0.0239788073460152	0.0495021311199591	-0.00461475776292522	0.0299474473208657	0.238309063844369	0.0518053878780386	0.149449020655278	0.0615495093004606	0.0697944316017074	0.0923343336004312	0.00866095096086629	0.185723338614664	0.0197285944836168	-0.0461435568671211	0.0402489781139343	0.0343683172398532	-0.0484037166556724	0.0111058394537294
"4609"	-1.23550466828672	-1.52777116237993	-1.440530071644	-1.81399546388026	-1.43907702364451	-2.01871432124635	-1.38847519945273	-1.46384959173212	-1.46221673415504	-1.99435039265045	-1.49679937552126	-2.18301340036478	-1.22703024596538	-1.28172615826445	-1.50422020645075	-1.77394345797593	-1.53472560818069	-1.00338227364654	-1.41432583416082	-1.46197828655382	-1.56871243609731	-1.59634931834673	-1.68065351072535	-1.95451712535134	-1.51603395003702	-1.37992488367458	-1.7695010158589	-1.34775115283749	-1.26493593892257	-0.918273228654252	-1.66520007673168	-1.56698683830959	-1.53901603204222	-0.760410722151305	-1.69983308346761	-1.52962685384909	-1.41234992728903	-1.6426330283991	-1.3559066953479	-1.52891707511156	-1.41663166139694	-1.10376981911185	-1.50585373270646	-1.33335522194944	-1.49368571069737	-1.43687889239918	-1.32392677720917	-1.5507333234475	-1.45220585489979
"79954"	-0.961200782783471	-1.0836026382716	-1.07328740649025	-1.32086643497847	-1.39313880459664	-0.915632602849777	-0.929009287527132	-1.11849031809073	-1.21907172384639	-1.35854330850718	-0.697473271160626	-1.13287386032553	-1.0462693317069	-1.12509329112179	-1.06506772797954	-0.977611583679281	-0.971712351770054	-0.778947392194816	-1.18528415224647	-0.965420777495339	-1.09307617765673	-0.882895086676644	-1.15133492841072	-1.31582907199424	-1.15987657383882	-0.77774936104181	-1.15650648996102	-1.13071119939944	-1.25064063044413	-0.853459146644835	-1.01599364568648	-1.04146363345531	-1.13326982659703	-1.1064755421974	-0.883447213355737	-1.06511708924346	-0.984972510647036	-1.11153101864442	-0.981156581868057	-1.22957852050938	-1.20224215181854	-0.914990483909704	-0.972051689782574	-0.989294225452964	-1.09653595024599	-1.01459800939751	-0.985260269861388	-1.27826912723749	-1.13176645096469
"65083"	-0.833187008656205	-0.807574775393339	-0.870667090887102	-1.42350124115342	-1.47923927040074	-0.649837290092776	-0.840926783497246	-0.984171706252987	-0.80226976732473	-1.00760561543064	-0.88168749137567	-0.842102586413456	-0.905027326432386	-1.27292441504814	-0.886290311668558	-1.028354528537	-0.95987810560354	-0.609665753474072	-0.700276334954689	-0.658746870431305	-0.765340342625462	-0.999405814909492	-1.02701740995253	-1.05788467060186	-1.0952163490118	-0.626461773273725	-0.85626036570117	-0.914745906798038	-1.24550297881743	-0.916409682422458	-0.901805216846984	-1.05307173532454	-0.746866218672084	-0.646407350524317	-0.69199774946814	-0.842724653325552	-0.678096768219329	-0.944727620701418	-0.879515092011752	-1.0478711913799	-1.13857327670959	-0.84913756807787	-1.01002744390625	-0.592978269444864	-1.10231739254605	-1.00668914387688	-0.650651076989491	-1.3982725328596	-0.979748984379297
"84033"	0.106326774140586	0.132777122670542	0.191711289949929	0.138490998986248	0.117214172465055	0.192631479449459	0.130219290433642	0.00189114713327253	0.0865448677875754	0.336135607726312	0.213931468395155	0.178337111275759	0.0709234935806899	0.134827381726997	0.127562481030915	0.293582110683228	0.336725592305609	0.142295994411061	0.19441391903814	0.13141088458695	0.28820011537989	0.273594639699848	0.135815193551063	0.211868954037749	0.351027426129464	0.134677232078573	0.17512229622237	0.181085527739901	0.154743881455412	0.118663966240332	0.220286723421084	0.141547840610953	0.0471715835080709	0.125490805000458	0.142887129481789	0.429872973746067	0.238723488218472	0.20659819940647	0.25358795127819	0.138790306986775	0.199486025642696	0.162209224748133	0.372291628490069	0.197826579512627	0.117002939944075	0.186891338970488	0.174979375060605	0.144723004428889	0.111351398492051
"5535"	-0.0970483398033067	-0.0478946500754137	0.00968695397874917	0.103404152489513	-0.0117031075881588	0.0663587283397629	1.98814272776844E-4	0.019473888701969	0.0940508360712359	0.232888526670516	0.188081028306515	0.0211066778800068	-0.1137742259258	-0.113661831060511	-0.0791741523351167	0.166770149493254	0.216309897513447	-0.0934778027078199	0.0131342662706117	0.00266122498005099	0.0158141704824832	-0.111929908979055	0.0752502642803109	-0.0283521977046823	0.047293789924786	0.126632423529778	0.129632172755108	-0.0700224322846102	-0.0919722233066827	0.207963856167926	0.048700020959601	-0.00592185478901389	-0.0658692691269763	-0.0476781047857049	0.0301838512876297	-0.182160072797754	0.00584833998276357	0.0877828365349842	-0.0102335824295097	-0.0581135321893379	-0.0230261774312875	-0.0602087131006708	-0.22594505255577	0.0909466670153568	-0.0135444696020956	0.0307622819318596	-0.0793006547776994	2.06808285257885E-4	-0.0179477988960232
