	"ACH.000030"	"ACH.000052"	"ACH.000127"	"ACH.000138"	"ACH.000178"	"ACH.000243"	"ACH.000260"	"ACH.000279"	"ACH.000288"	"ACH.000331"	"ACH.000407"	"ACH.000433"	"ACH.000444"	"ACH.000445"	"ACH.000496"	"ACH.000502"	"ACH.000520"	"ACH.000527"	"ACH.000542"	"ACH.000619"	"ACH.000649"	"ACH.000676"	"ACH.000684"	"ACH.000748"	"ACH.000788"	"ACH.000792"	"ACH.000799"	"ACH.000827"	"ACH.000839"	"ACH.000865"	"ACH.000882"	"ACH.000906"	"ACH.000912"	"ACH.001048"	"ACH.001050"	"ACH.001054"	"ACH.001075"	"ACH.001322"	"ACH.001654"	"ACH.001765"
"728741"	-0.368566600252987	-0.154579367940287	-0.529089471008029	-0.167264084268741	-0.378263596388217	-0.568507390220213	-0.508216742930107	-0.364202464979596	-0.419197749980458	-0.242193132037781	-0.284403744487167	-0.166976005142994	-0.255066201531296	-0.485510401088434	-0.400997905756185	-0.467438069946201	-0.17833146224579	-0.219599563601424	-0.287955563154851	-0.41425248556476	-0.477584064297678	-0.357612560033198	-0.447205601452469	-0.328426249263534	-0.42145051497272	-0.427416555390552	-0.0758026577215793	-0.356837050050402	-0.388890579952741	-0.292987469066904	-0.147818113736926	-0.200047470955611	-0.438951589149998	-0.223920952010256	-0.396644300744323	-0.385136873185213	-0.429241915491861	-0.0319157648020175	-0.249468550042057	-0.239035659087796
"284433"	-0.228839057883548	-0.174796188741032	-0.282512607649242	-0.109769051299493	-0.0794375214429206	-0.128896380739312	-0.145439999401887	-0.052952454903904	-0.0402467956246498	-0.0710586692406325	-0.118155116120204	-0.0218612221038399	-0.118155208250225	-0.179233996888061	-0.191741953650267	-0.191099920971234	-0.283974657281754	-0.0842142762075948	-0.199217363584317	0.0143813425275248	-0.157281811056928	-0.104275071628203	0.067853452633192	-0.15272779998631	-0.207984307164635	-0.24379748046224	-0.0907020690596056	-0.148111180654118	-0.0596522480935234	-0.200406382486874	-0.151065536147918	-0.0945342582603472	-0.128348812214822	-0.167343304635534	-0.24773895416324	-5.55169480741529E-4	-0.219990042697617	-0.268204250954215	-0.269886445999287	-0.21894941602157
"100128731"	-0.34093875329849	-0.632600329467356	-0.453586509911035	-0.239741393311223	-0.53001533295987	-0.568115260543796	-0.71053271184426	-0.384105654650137	-0.386522791730445	-0.767918982897663	-0.492732953122257	-0.442768131485424	-0.480555524445937	-0.382878657102643	-0.5009241881295	-0.525564998772993	-0.580505844403822	-0.344392323438836	-0.316809817063259	-0.467134813708608	-0.39785325566093	-0.243460043361719	-0.339320038992513	-0.474063983972564	-0.31750550911016	-0.646429072479082	-0.543481705535537	-0.214573523589927	-0.77242082159663	-0.346746966329943	-0.600521423524449	-0.216898829378712	-0.509156448647942	-0.556058916315575	-0.730738414499482	-0.482104841678828	-0.821836099158135	-0.306899568920395	-0.514501008346371	-0.320886251929545
"128869"	-0.136237461243981	-0.149565742120074	-0.115791203184057	-0.175300887594855	-0.0997266940395374	-0.0939537517155895	4.66929106697466E-4	0.0880437229344785	0.00430700369640232	-0.352879521899437	-0.161654240990593	-0.0727173402987692	-0.0866808837462433	-0.0892653637431335	-0.252314627287801	-0.0419135144364115	-0.199434061089366	-0.213890109019596	-0.0257206057403207	-0.160380816337092	-0.127004362917414	-5.80367736003738E-6	-0.240723343513246	-0.0112270668482826	-0.0862204882476936	-0.13184053715902	-0.0310400535455295	-0.114394360185431	-0.303724278668717	-0.0274665696878597	-0.0511937500023821	-0.0349850310434277	0.113149850064131	-0.205042439307376	-0.143819098183338	-0.115908951220952	-0.25064410549152	0.0648035261903722	-0.0781229682028419	0.00545765444745499
"23760"	0.0449443707199211	0.0661528588590727	-0.0570204762591692	0.191127434731665	0.183750988480484	-0.0107014125873794	-0.14530810440256	0.00692420259121827	0.0957130220113025	0.215210889901542	0.036328814926471	0.133116886211516	0.0764239558135723	-0.0890132895840502	0.246328781244803	0.162554840912386	-0.0279352851772518	-0.0259856026043521	-0.0376724396626938	0.0435079529692406	0.214288254622189	0.0714002671316731	0.011043135894568	0.109606770230575	0.142690615981006	0.107681299617941	0.00371152180286585	0.240783598475497	0.180763849397327	-0.0317550442204243	0.0652396553628763	0.0380211081787791	-0.0295295333469531	0.0821881251334668	0.109804787430325	0.157560650327403	-0.0523676090916778	0.130942225622374	0.0822710097180741	-0.0103148214339419
"23215"	-0.286400206863305	-0.259713091089286	-0.296096534668984	-0.211975766563458	-0.364195663936487	-0.0932562249696652	-0.234588382550387	-0.105045722521221	-0.229925580252549	-0.170857885838187	-0.136913261980195	0.0383695275321961	-0.0864477058713493	-0.044599528763528	-0.357967180882242	-0.295399618118604	-0.128851783591705	-0.171153668978808	-0.240657061101615	0.181888862933141	-0.267475460903686	-0.192524213007799	0.162745001956193	-0.303059338941857	-0.051428990325632	-0.139903141893873	-0.239114390592643	-0.357945521947118	0.209862089294199	-0.0977939907656232	-0.220373585549182	-0.111135515051647	-0.395878361967984	-0.133711140999032	-0.299573695105174	-0.0481751045135404	-0.0542852584340417	-0.186070282200039	-0.104197252949236	-0.0769609386948824
"5691"	-1.58110817122566	-1.60689451393439	-1.61023884977649	-1.49013996608472	-1.59431705767498	-1.61795698477193	-1.65422056203839	-1.33833197513469	-1.68490615279409	-1.55929630858716	-1.72226816799125	-1.49406744882487	-1.45204408735018	-1.73096280787923	-1.57129131048381	-1.56713515345288	-1.67297188271157	-1.57563973227834	-1.65440412349658	-1.56646420146539	-1.61031671111003	-1.54631176225241	-1.47003536439337	-1.44779355499302	-1.64350642072484	-1.66711054126353	-1.74689347124498	-1.44895148895286	-1.48471123629906	-1.53367474552879	-1.59468408726726	-1.55263303439503	-1.55392400937282	-1.57608199743005	-1.62807058255674	-1.34530756787243	-1.61473951597705	-1.55724374357632	-1.60075124501585	-1.50534574453333
"5713"	-1.60621202742749	-1.51046408111904	-1.58851409701285	-1.55397969566807	-1.50220997984542	-1.64886048990847	-1.62447626037322	-1.60560402054101	-1.59116879520839	-1.48287125694066	-1.42634831310104	-1.35158743312276	-1.39006430820557	-1.2382048047977	-1.59905748007388	-1.40565818355912	-1.57920466007464	-1.34433524474785	-1.50059966462585	-1.47151724800244	-1.48338417233013	-1.48772262306244	-1.3987571972308	-1.45149523239928	-1.54119275871151	-1.5415577661953	-1.43147041833283	-1.59744514102004	-1.25479843328929	-1.5594422220166	-1.60874008680402	-1.64272316336434	-1.53139603763305	-1.413563774552	-1.24591592485421	-1.43408658762196	-1.56268393223359	-1.41117694433607	-1.50680605066236	-1.46754503395643
"5901"	-1.99895006067249	-1.3495083014695	-1.71939535014596	-1.81968469409443	-1.72530549604091	-1.94621464774526	-1.81829918779531	-1.79308394386173	-1.69042197413595	-1.7907531098716	-1.62903615746185	-1.57431490356477	-1.86283777521872	-1.22630655524735	-1.85720143287626	-1.76010640379589	-1.95942038915618	-1.78595185770404	-1.68621232375116	-1.91451831846638	-1.73566644453909	-1.4718902291151	-1.66687778847204	-1.72192223519349	-1.78580866325782	-1.86718286270949	-1.57557336384023	-1.84535685436426	-1.45575307460896	-1.77482329482152	-1.72335114927356	-1.82879163422526	-2.02505182739125	-1.74951779044644	-1.40190767035956	-1.72949621365893	-1.69204593167984	-1.59191382462399	-2.04735359152308	-1.9492841978742
"1102"	-0.183060966132289	-0.171612613722928	-0.151804554901282	-0.147922219810698	-0.148011431473689	-0.126478460914915	-0.158466778760286	-0.0957397147627312	-0.157726230700092	-0.343152121386861	-0.0761321467022427	-0.277086739668753	-0.14770688752515	-0.0773472500613491	-0.295865764088496	-0.23195881823551	-0.292416449528802	-0.102607493736644	-0.114845934690733	-0.150668866463189	-0.177096659846248	-0.150236417676648	-0.194354792556394	-0.0919079225366223	-0.157127383690065	-0.197709330123522	0.0135307856681945	-0.217157369884656	-0.222935995046286	-0.0976064677054589	-0.107390072074273	-0.185137131926339	-0.227931554402114	-0.150089979790433	-0.250658628592249	-0.111844463313413	-0.25302338603151	-0.110240138151263	-0.187816664974085	-0.153087976408184
