	"ACH.000036"	"ACH.000097"	"ACH.000228"	"ACH.000256"	"ACH.000264"	"ACH.000266"	"ACH.000280"	"ACH.000288"	"ACH.000352"	"ACH.000390"	"ACH.000393"	"ACH.000397"	"ACH.000411"	"ACH.000414"	"ACH.000421"	"ACH.000448"	"ACH.000463"	"ACH.000469"	"ACH.000481"	"ACH.000570"	"ACH.000571"	"ACH.000591"	"ACH.000608"	"ACH.000624"	"ACH.000711"	"ACH.000785"	"ACH.000848"	"ACH.000867"	"ACH.000943"	"ACH.000988"	"ACH.001061"	"ACH.001228"	"ACH.001328"	"ACH.001353"	"ACH.001377"
"123169"	-0.248661414356993	-0.227323612475232	-0.342204347621886	-0.122922930648437	-0.281365635794332	-0.291756581027887	-0.11321830687851	-0.304013480681997	-0.399346046132483	-0.140577305182224	-0.384298231025235	-0.295941304944052	-0.379892425382208	-0.236260664483442	-0.299080980852418	-0.266602536523719	-0.365739359581968	-0.294679773259913	-0.230150496543759	-0.324855899714161	-0.215202434266837	-0.393978406041767	-0.278436771934261	-0.57778341813567	-0.247513001614325	-0.236116082784095	-0.357768852065431	-0.130360171600595	-0.401969894016685	-0.259830777580381	-0.166966522294902	-0.244948933593026	-0.216394213932198	-0.239699345387029	-0.287342639016704
"10443"	-0.0124268583258045	4.32092868435111E-4	-0.171449242926305	-0.0505627937216942	-0.00639893790865286	0.0135103282397527	0.0708857241997148	-0.0239716395002217	0.0655531834884218	-0.0110154275886785	-0.100949245959202	0.0508989617627406	0.00262068398880793	0.0176353111611268	-0.0545770802428715	0.134290999076438	-0.0383629168869653	0.117669179701033	-0.149461467547251	0.0339663752025404	0.0296331753510075	0.0758541073292663	-0.0361255955169082	-0.0121336172939319	-0.0331841931861795	-0.0400470433470051	-0.15295465301932	-0.0362933618199532	-0.067136517798701	0.0331964330463044	0.0300696707594323	0.0621901447027151	0.058903671258283	0.0537367264066335	-0.042680732202961
"129401"	-0.610684415456021	-0.671996279298039	-0.52343115384774	-0.325751728750553	-0.477407413448183	-0.552099635008649	-0.71088894766155	-0.766556393777312	-0.637363139622956	-0.414250489534771	-0.79700327316032	-0.575135108627627	-0.73761744881976	-0.662111266774551	-0.690522877258219	-0.599265938906512	-0.42012269047776	-0.773201033016872	-0.223803699107605	-0.721113062845952	-0.597558951178956	-0.914825965919116	-0.41452279124109	-0.497441471519742	-0.656229845701892	-0.224694108870611	-0.654527425917234	-0.398404462642623	-0.604313310413156	-0.540597760069238	-0.57148799433364	-0.524294680919112	-0.725821261274743	-0.444791830739487	-0.273144259484557
"348995"	-1.40707716288055	-1.35017463742151	-1.10700811651048	-0.8709975603678	-1.0513837522944	-1.18461652436042	-1.26542419185795	-1.14787489758224	-1.59570628335268	-1.14984562954077	-1.3269856168661	-1.36473017426189	-1.38612667380144	-1.19461185751294	-1.06475665511865	-1.22006268894022	-0.940848002888603	-1.29487444203436	-0.814939121278503	-1.29870243447762	-1.25876657208248	-1.18591284953113	-0.870447765902121	-1.04910104161181	-1.24038316749067	-0.885780815434326	-1.27837392938961	-1.3446452216413	-1.51915782536013	-1.35201523191525	-1.23761306476522	-1.16943903246184	-1.22078204328344	-1.26502942766742	-0.682122694855678
"79728"	-0.324612510232165	-0.504505420089929	-0.731856319604734	-0.350752698418433	-0.429086450737465	-0.485799270113637	-0.287924310289012	-0.296728553246034	-0.602266440147207	-0.447111919633354	-0.418566561536423	-0.401431666881614	-0.323748810742976	-0.420815305070663	-0.482409880030505	-0.329918274047265	-0.520193490976573	-0.336633618935096	-0.310750311844141	-0.360780236131046	-0.381022639785406	-0.452121718251703	-0.413449489638246	-0.627750274005811	-0.375943456216127	-0.477156620860892	-0.498877850693287	-0.384449151854801	-0.370452587741634	-0.389640569689824	-0.442175292086724	-0.304358693534655	-0.414818498335697	-0.414647857042031	-0.452959698416663
"55660"	-0.805708046252755	-0.790178757634554	-0.690253869091686	-0.577750571946226	-0.662267500674153	-0.882974738445006	-1.01999159942133	-0.779468639164416	-0.791853658180835	-0.782169510328395	-0.720442480853559	-0.687144259155124	-0.757952272322427	-1.04198976157339	-0.690464541352992	-0.722565254864498	-0.678931753776351	-0.572183465747946	-0.651662852013999	-0.655474240378528	-0.586249806282877	-0.712453716333245	-0.674539486184042	-0.733418799561041	-0.894786134554053	-0.667292873622503	-0.581322383409898	-0.873577262358286	-0.691747054093831	-0.836574556799573	-0.799299475134458	-1.01889993985064	-0.698571099142032	-0.878951926253743	-0.668843642895901
"5901"	-1.61601491278551	-1.91865643543523	-1.69380584121889	-1.88274561161547	-1.70996337021598	-1.7571759584237	-1.76213623131469	-1.69042197413595	-1.85688160048388	-1.87996412922649	-1.70387340877774	-1.83143781322691	-1.73436208219953	-2.08647016985689	-1.61027923739418	-1.88527688775248	-1.83854477018396	-1.68085736238917	-2.07861679078825	-1.77829289862702	-2.04604625684747	-1.63025948687864	-1.93405948849794	-1.82082601655329	-1.75494931407939	-2.07505134206314	-1.53303811295655	-1.87670641207738	-1.90207259823761	-1.99653049039239	-1.63983967283518	-2.238848210019	-1.92479870874838	-1.67755627792496	-2.00760288431799
"6045"	-0.127920209820405	-0.0180134045109395	0.122176873592654	0.0265122177997816	0.049108221300204	0.0533701733757982	0.0440869637885397	0.131543527339045	-0.0942736714046031	0.12535278869926	0.0421202304552348	0.00177201226807375	0.0710870182540951	0.139923140613665	0.115336240892001	-0.0738589236787547	0.0988743587367875	0.108531688162812	0.113613954046539	0.22210202790072	0.0778907256526841	0.0515841594001692	0.00133234859401879	-0.0565013659383604	0.0624601113540126	-0.0639606472386443	-0.0789672830372549	-0.115581802086421	-0.0432924842590275	0.00278860295042075	0.0707453737549196	0.0322759596661451	0.00715760765003049	0.00872195439928731	0.132319111202685
"81929"	-0.845319289453037	-0.970072818987539	-1.15339265403739	-0.750586349286375	-1.30771213893992	-0.95512225171244	-1.00932243346252	-0.939264748602316	-1.14764519889257	-0.926419306877417	-1.10882984578702	-0.966777713377162	-1.01502074541888	-1.01766969440224	-0.98595432622726	-0.947073338720579	-0.94316452461462	-1.07740024548387	-0.969405680130857	-1.14503425475476	-0.951458670279031	-1.04117624046682	-0.58578332190453	-0.793386889103347	-1.07192771599655	-0.751644670461155	-0.931086477784276	-1.01593973811382	-0.821529304893175	-0.7983674213057	-0.860453108994111	-0.894615404942788	-0.903849144808372	-1.01043244668114	-0.527111514050765
"23020"	-1.39988426001245	-1.55753197052612	-1.7516907260686	-1.57562102592713	-1.61270435136917	-1.51942676805497	-1.47250975931011	-1.61711833133605	-1.52238157929413	-1.57541208774343	-1.58698137391411	-1.68097880371527	-1.53151798220017	-1.53610131444224	-1.50297410677662	-1.3714702312542	-1.52227408197782	-1.63110413070778	-1.63208666513147	-1.48626218366292	-1.68018585963134	-1.46998137699207	-1.48713357180081	-1.48650848380315	-1.44539745309049	-1.43441253560584	-1.57200604831316	-1.43368414824001	-1.54711341193063	-1.59320615163213	-1.55415897042851	-1.62555713424888	-1.54403926955707	-1.59189687846449	-1.53647583228697
