	"ACH.000095"	"ACH.000097"	"ACH.000118"	"ACH.000223"	"ACH.000228"	"ACH.000232"	"ACH.000235"	"ACH.000256"	"ACH.000264"	"ACH.000280"	"ACH.000291"	"ACH.000293"	"ACH.000311"	"ACH.000318"	"ACH.000374"	"ACH.000376"	"ACH.000383"	"ACH.000397"	"ACH.000414"	"ACH.000448"	"ACH.000460"	"ACH.000463"	"ACH.000466"	"ACH.000471"	"ACH.000517"	"ACH.000524"	"ACH.000571"	"ACH.000608"	"ACH.000630"	"ACH.000657"	"ACH.000681"	"ACH.000683"	"ACH.000699"	"ACH.000778"	"ACH.000785"	"ACH.000796"	"ACH.000824"	"ACH.000835"	"ACH.000858"	"ACH.000867"	"ACH.000901"	"ACH.000906"	"ACH.000915"	"ACH.000943"	"ACH.001028"	"ACH.001205"	"ACH.001228"	"ACH.001353"	"ACH.001368"	"ACH.001377"	"ACH.001554"
"3336"	-1.59465691698806	-1.65805813602037	-1.62203614000466	-1.69949484256731	-1.79774311312018	-1.7172318628559	-1.60176191807888	-1.85202223242903	-1.74251813674062	-1.71876080322159	-1.4600491745748	-1.50990852524904	-1.89377528397958	-1.90090706194041	-1.81350430975333	-1.41610179554322	-1.57502304886663	-1.53073203509675	-1.77513562392389	-1.62344301091241	-1.63447666515706	-1.41703416074594	-2.02915681907707	-1.71057328977121	-1.65772463163671	-1.77530706132381	-2.2519746270212	-1.25349562005041	-1.48676521483022	-1.63564317629425	-1.63754193511689	-1.75072138715057	-1.68420112242878	-2.11684787887464	-1.88013104303366	-1.57448437787985	-1.754525905602	-1.6147868738573	-1.47082703383153	-1.70614272394591	-1.67972396434782	-1.61446546340769	-1.53087522705959	-1.68969455476768	-1.64428156131622	-1.57544992628337	-1.67963993661772	-1.65310369344722	-1.60231530157995	-1.63622261297812	-1.79415159224593
"157855"	0.168321971480758	0.0441894925402138	0.0928987856499812	0.156502920975777	-0.115654930335352	0.116696641578812	0.107580553202903	0.112503322289396	-0.0179341193491235	0.160239684165842	0.106970608345115	0.139192591825697	0.07027054570281	0.0845068392934626	-0.073673247480447	0.122729381590448	0.0828062209324721	0.116684782875993	0.0604405667246139	0.0846800932547929	0.14953123143094	0.166213462355254	0.0992488711369712	0.0598275258772281	0.0685282145844924	0.0604624550484639	0.0757729609115437	0.0950924115215586	0.0208710317733047	0.0750571707310772	0.0344174437033024	0.0106780552713507	0.119455413037575	0.0406574351165509	0.0323899906915839	-0.0315777657327586	0.124103847668013	0.0380987966372438	0.151191406613445	0.034687861134966	0.0189164486528399	-0.0355301304116549	0.115620759708675	0.178131151614629	0.138963342775622	0.191815150633188	0.0735997726436655	0.079077060672315	0.0963094663689837	0.122147159458037	0.0876647388581775
"64318"	-1.03155518653438	-0.985342401747303	-1.07599003864943	-1.12662258468451	-1.05518366402922	-1.07152920875406	-0.987361096113065	-1.20395861654701	-0.807541361106806	-1.14018750448815	-0.998408158786715	-1.13503190947441	-0.994811979186051	-1.0322635725357	-0.976207420958071	-1.12170763076195	-1.08037304015203	-0.929592668503871	-1.06367425977973	-1.05485652249104	-1.00596352105765	-1.10546475615683	-1.2098825368412	-1.04674094707842	-1.12628097314345	-0.97533524640598	-0.897260758293271	-0.840944014140834	-1.08241661738587	-1.03558849802005	-0.98682888598124	-1.13612066499298	-1.06854763470464	-1.07180691915844	-0.900998543373448	-0.774560225801307	-1.03269148261401	-1.23661433882521	-1.07588741591645	-1.0232912763363	-1.01943612064739	-1.16350220354128	-0.957324665254318	-1.12943821518702	-1.00808437739788	-1.03592661586526	-1.14350845035596	-1.00047095383297	-1.12467110920277	-1.01821493722091	-1.21548792295459
"55505"	-0.980318590270749	-0.972044678366071	-0.994107053303898	-0.981253825772639	-0.828603274727231	-1.11719144071864	-1.01494871527762	-0.852750299198379	-0.871230562479503	-1.03926726086787	-0.948057110122843	-0.811725962159201	-0.779239043871506	-0.958861524884832	-1.03195835083795	-1.21458983556419	-0.963118775592405	-0.985815687345898	-0.833261080015565	-0.918546777158526	-1.06454457422702	-1.04096427377263	-0.904735195741918	-1.08923964650949	-0.914266934269957	-0.850314059940199	-0.780502272403229	-0.806605336642628	-1.00059452591285	-0.894972920736887	-0.809541499234852	-0.91768221291454	-0.817532611170506	-0.730813056317773	-0.850753697543692	-0.765159899217167	-1.02061662682928	-0.936139285673866	-0.857715412829887	-0.925415710418836	-0.972763447416958	-0.872030760171818	-0.866430576021475	-1.0554627673533	-0.912069604145258	-0.930154450803322	-1.04899504575225	-0.930984157617646	-0.923161380394591	-0.92324970923191	-0.93201927001444
"4868"	0.0104655049500505	-0.139236185524296	-0.106875073251025	0.0164545624750486	-0.156160483400462	-0.127741648103171	-0.119011063455242	-0.0931536686712705	0.0289053262394138	-0.0249999933070527	-0.0823620537282224	-0.250124022692352	-0.119419700468094	-0.10684644471061	0.114816737102876	0.0388485541192234	-0.0879953191869923	-0.0328189109524151	-0.203324650228629	-0.102536991595186	-0.0328961939639276	-0.143450305475792	0.0258312059858466	-0.0796198685591067	0.0346568349520298	-0.0918923889984274	0.0213403634191002	-0.0719506470254285	-0.0826010298635309	-0.0662090034299679	-0.113822849383042	1.06923592916648E-4	-0.0918229831973244	0.0272493397097001	0.00916904820202326	0.0100384684950902	-0.089249009415565	-0.0568975839671925	-0.0481993972379389	-0.0404463074445344	-0.137951097725167	-0.0868074789332576	-0.0311540373258756	-0.0929590072496014	-0.0152360224768669	0.0552050550484274	-0.0137594916030788	0.0420729648557743	-0.00667217646913231	0.0160817267636878	-0.0553925895574295
"51371"	-0.238823759919077	-0.206892278312151	-0.180481043387123	-0.304188948576224	-0.089273221405416	-0.402059668012554	-0.134000449885239	-0.0861973419581608	-0.260746721538136	-0.217207782836093	-0.169639108071115	-0.219853061072079	-0.120831350817323	-0.218311031310243	-0.263567070014244	-0.198297667054369	-0.343230222810932	-0.250338392610587	-0.201621992490189	-0.335318273064718	-0.322811598210975	-0.321937579937197	-0.222498461518387	-0.31080078904565	-0.555382739226346	-0.245876179946438	-0.17726525874079	-0.0636830474539138	-0.264228662088022	-0.369990604213832	-0.158779982722021	-0.0639084036715747	-0.331148230066916	-0.324700009326125	-0.157234478643086	-0.152281839048775	-0.0245594619679863	-0.186939827159188	-0.265615713059954	-0.418099579426593	-0.250610106683429	-0.246764205818814	-0.27348078799566	-0.183937239978421	-0.236790347882322	-0.316361055966016	-0.287672269345174	-0.281919997615301	-0.277498006202417	-0.124726421601334	-0.274848965350327
"8624"	-0.691965714943722	-0.656515693273428	-1.01314121332809	-0.663617219840059	-0.545659767654883	-0.918395200546773	-0.926639754518328	-0.520816083141424	-0.549700791620221	-0.626656182008116	-0.896434974487596	-0.245445352922438	-0.568531142082308	-0.864450395213834	-0.916509407461573	-0.781822022676786	-0.715055729880955	-1.17372689713144	-0.665572878047717	-0.75227876404694	-0.709497930210613	-0.826578825461835	-0.818752033721817	-1.04962033978289	-0.739963915842721	-0.783755932091596	-0.491903552983517	-0.297218391334992	-0.898279833906369	-0.706980598901348	-0.861679553280228	-0.946358612145636	-1.055801570954	-0.501295488079286	-0.252259513157179	-1.00297550893694	-1.04455159923369	-0.802673247411234	-0.860575210896507	-0.545573727023306	-0.773401650654312	-0.660141055870152	-0.79197101514815	-0.83229407965467	-0.765302283065435	-0.730238697336418	-1.11239465451237	-0.866299340608977	-0.72209388329292	-0.733932600981351	-0.666997375842551
"56984"	-0.664773777574013	-0.467545093607465	-0.807868674630293	-0.608442761989841	-0.768356973615616	-0.953128718489846	-0.939176312809719	-0.643902970004512	-0.744037462037231	-0.722167557808186	-0.781087170704766	-0.515957789680522	-0.574901418355119	-0.643876685792202	-0.80009691134188	-0.894751126981297	-1.01922502610337	-0.951685297906949	-0.767279765092319	-0.519075856396079	-0.939691483304649	-0.723836500149989	-0.648282877898199	-1.04993096672562	-0.85982321373479	-0.708609849700691	-0.679418808746346	-0.482365404087148	-0.644922197418224	-0.768298161848097	-0.916430731566891	-0.840202336928334	-1.08309571453877	-0.735709044165607	-0.270177490736146	-0.74206522062274	-1.18163226737396	-0.80112748427665	-0.750395802015811	-0.397940543398312	-0.672291051530378	-0.608908134918905	-0.784669810950411	-0.751064561471585	-0.841108300740073	-0.777568944865284	-0.81056210856852	-1.00650946831148	-0.982104826313087	-0.719477309358079	-0.700634767702657
"84262"	-0.930325248169392	-0.785258923547625	-0.94179474405736	-1.08586610052321	-1.03842637956787	-1.01279225052281	-1.03685798110291	-0.817722441514381	-0.956182979539146	-0.765543857514324	-1.08746473148224	-0.906844989136101	-1.10878290301582	-0.989135872786833	-1.01970286036686	-0.875866300785903	-0.827785414015393	-0.852096993339954	-1.1737428673999	-0.946335616064084	-0.994195768113086	-0.859873630686037	-1.06025602406609	-0.956735752216494	-0.891159549525132	-0.858950355229004	-0.872655619137129	-0.650757546610061	-0.777220274527223	-0.90962341272718	-0.848875882248879	-1.01005647267381	-0.948638767630404	-0.781297949909315	-0.844708274889861	-1.102612147492	-0.93713634652228	-0.72503710992818	-0.971358076825922	-0.824945407640261	-0.885603160021624	-0.813929404056231	-0.706209742863047	-0.937385017343346	-0.778070111768473	-0.813002276579772	-1.1807081289972	-0.902121536847075	-0.85030930402696	-0.799581941625132	-0.943363652511574
"389362"	-1.00846693877504	-1.18520400923269	-1.34327911352007	-1.11176626204675	-1.24966211855344	-1.12651835060155	-1.18908144813637	-1.02914567755928	-1.26220373470483	-1.23079274765324	-1.25752480763418	-0.945112988578432	-1.17083526460977	-1.38359660139744	-1.32709754478412	-1.22960726883226	-1.20581360292704	-1.34775134006636	-1.18913267783899	-1.01615640224339	-1.08883130486895	-1.17575308184619	-1.22304487609799	-1.23345457089516	-1.17814984267688	-1.08408126041106	-1.20349608151797	-0.73080139421371	-1.13519567320005	-1.05795217547235	-1.25729983516614	-1.33306035948511	-1.20260449063894	-1.03613498521057	-0.818430228770685	-1.18528057866702	-1.26824866573338	-1.17213523946878	-1.31203240118002	-0.7542418198937	-1.19845663038555	-1.169458524638	-1.23041046618123	-1.31003331804068	-1.17067425747571	-1.0897136299417	-1.3573253265445	-1.26216103275329	-1.04777803883042	-1.12846048610354	-1.26274302901339
