	"ACH.000007"	"ACH.000108"	"ACH.000159"	"ACH.000189"	"ACH.000234"	"ACH.000235"	"ACH.000262"	"ACH.000272"	"ACH.000324"	"ACH.000390"	"ACH.000406"	"ACH.000495"	"ACH.000649"	"ACH.000657"	"ACH.000663"	"ACH.000684"	"ACH.000711"	"ACH.000721"	"ACH.000791"	"ACH.000887"	"ACH.000906"	"ACH.001274"
"27022"	-0.0506162582608369	-0.186433549404492	-0.183713108223892	-0.120566664583848	-0.220890251907838	-0.224132628746729	-0.167691834579017	-0.237725292908926	-0.196237304823874	-0.269458157778416	-0.143042916674235	-0.169604980456495	-0.229470662345541	-0.277676246959831	-0.155261521782732	0.276088579060589	-0.207167409501166	-0.205561426199437	-0.22536237018908	-0.202402481654468	-0.257125136053443	-0.216174073029165
"8970"	-1.04163823849779	-1.08083426186317	-0.895579144235555	-0.808073200323888	-0.919097723044541	-0.924734180358544	-1.03760300570453	-0.977254987571701	-1.1527794713588	-1.06502161986698	-1.12033051328019	-0.769230916757962	-0.999402810146636	-0.985281647289614	-0.776429080718129	-0.962553616861506	-0.843359520886848	-1.04459206531128	-0.955304119669	-0.932983836873461	-0.8576601600156	-0.910145389523556
"116842"	-0.0432057322169342	0.114475222716663	0.0751759309053944	0.0795543225357723	0.012920679757978	-0.00574535760749254	0.0351062862663032	0.0971239799360368	0.0532215869327685	-0.02928689481544	0.0474373416641664	0.0398879804357892	0.0289503131775322	-0.00267186657732905	0.0416382470108406	0.109508509760675	-0.0037671971265701	0.0535542857484335	-0.0831667212379869	0.0806712024505321	0.0334824136008532	0.0651140708605664
"4676"	-0.124435824793115	-0.213409862746133	-0.0260654731313572	-0.101283382261664	-0.158673991577112	-0.0742158571755584	-0.102758265914133	-0.0813728174543789	-0.0501012409075932	-0.0565026770468184	-0.0987657288290113	-0.0708650225432196	-0.0383587540454303	-0.212704283261928	0.0325704183374182	-0.117476832353944	-0.140487308359346	-0.128509104340063	-0.124210509040268	-0.200747979984577	-0.199421958374866	-0.163143934842056
"57447"	-0.225611119995387	-0.168002682412481	-0.278678262228546	-0.050069171793413	-0.175517035789286	-0.158939475005573	-0.186106367694406	-0.158644297929595	-0.224494112868357	-0.214457363750994	-0.207583356774226	-0.232694295893541	-0.141198527858365	-0.165391451414966	-0.033251890023612	-0.259040438623202	-0.231985506477264	-0.402588459308192	-0.211741828029809	-0.196699015531041	-0.161363710503867	-0.0793550826230874
"4995"	-0.061458144328993	-0.0223400711273546	-0.00602605437660626	-0.0818009006944562	0.0889163060922126	0.059520672731306	-0.077855175504322	0.0332197561552003	-0.109667044794533	0.0468138823126457	-0.0539727944075837	-0.0151813334130679	-0.0933010188484449	0.0366520358692912	-0.0478145531468525	-0.120941148181104	0.0164963510651382	-0.0561449322670359	-0.0716433515468338	0.0847592036520105	0.0189493382398687	-0.0449902112800843
"5441"	-1.3665765101712	-1.53586749883228	-1.71532864489254	-1.6824602434974	-1.489486656333	-1.64700870700582	-1.74881233067341	-1.5803234552387	-1.67328416041856	-1.90689641994112	-1.90785879049786	-1.50357334267306	-1.70253365940466	-1.6177860779791	-1.63927850301491	-1.74501348273144	-1.69635637512924	-1.50898681638708	-1.58415336850759	-1.46035915995852	-1.54063390125258	-1.46577258554715
"5522"	0.00276825813037359	0.038080145922018	-0.00562960445742214	0.0587781536891945	0.0184918099248983	0.0195167209585935	0.107078177414645	0.00304818358359557	0.0192267929911213	0.0370660941930608	-0.0163829613559611	0.08818968768667	0.0236459497962621	0.0603075898918212	0.0779540453484915	0.116884939256691	-0.0262513865533904	0.0662472403429878	0.0413796080174403	-0.0295398607854436	-0.0339981911775179	-0.020730488290081
"5527"	0.0364418563283251	0.0417282584550304	-0.061903580008419	-0.0100956530235708	-0.092451897834506	-0.122107096105455	-0.0370630604196794	-0.061371515073081	-0.110508204815612	-0.0687041992017125	-0.0563357180422674	0.0314926721976453	-0.0157053832862806	0.0661405898040778	-0.0305135947484955	-0.0309662158625036	-0.0933373034696748	-0.0229000789063956	-0.055790744628699	-0.150160638010858	-0.0724289434490292	-0.285173537466036
"5754"	0.0350813464125886	-0.079230819689483	-0.0688211730884152	-0.00264371888722098	-0.0266082849100898	-0.0588761727869186	0.0964900885272138	-0.0554877130811676	0.0027757999343818	-0.138797298374853	-0.0447919632583488	0.111198926189077	-0.0282077336409107	-0.0687782962912965	0.0424861922653152	-0.106853065793546	-0.0219359108388376	-0.222096973429789	-0.0826698978168024	0.0357639154183291	-0.0329888508853371	0.00971026728022699
"54517"	0.0139383881109732	0.0688948430806259	-0.153268507066727	0.0339654248353529	0.0369036919574465	-0.0035241875118163	-0.18226026607695	0.0116006561653181	0.00347395413150917	0.0469452090331733	-0.053109537981126	-0.13913644180677	0.048380405994956	0.0400643536935901	0.0933011201774406	-0.159927595449547	0.0151650222082162	0.0189231942049412	-0.0700840564107994	0.0485058420953585	-0.149220015498253	-0.0524619327122754
"6155"	-1.30950957651449	-1.3498094626952	-1.2714526034014	-1.14164682253583	-1.24165031496908	-1.33900685203839	-1.35591218308002	-1.29109748731939	-1.15037312377596	-1.19814542192248	-1.36512902738761	-1.22178250313084	-1.23052787543381	-1.42738324063874	-1.28116498080635	-1.42349917301746	-1.30362528135509	-1.25268508163803	-1.29461970527631	-1.16945610821756	-1.2943706224738	-1.29444903650168
