	"ACH.000013"	"ACH.000035"	"ACH.000040"	"ACH.000045"	"ACH.000052"	"ACH.000067"	"ACH.000070"	"ACH.000075"	"ACH.000086"	"ACH.000092"	"ACH.000142"	"ACH.000148"	"ACH.000215"	"ACH.000260"	"ACH.000278"	"ACH.000318"	"ACH.000322"	"ACH.000331"	"ACH.000368"	"ACH.000407"	"ACH.000433"	"ACH.000445"	"ACH.000463"	"ACH.000502"	"ACH.000510"	"ACH.000522"	"ACH.000550"	"ACH.000616"	"ACH.000637"	"ACH.000657"	"ACH.000673"	"ACH.000699"	"ACH.000734"	"ACH.000766"	"ACH.000799"	"ACH.000811"	"ACH.000834"	"ACH.000887"	"ACH.000928"	"ACH.000993"	"ACH.001048"	"ACH.001050"	"ACH.001523"	"ACH.001654"
"89978"	-0.491522714247462	-0.547245219299681	-0.500594334442622	-0.629940439522699	-0.539829804398248	-0.413715352021817	-0.719908306501285	-0.315110483150547	-0.659331107444358	-0.359184472226401	-0.713572299287605	-0.474641609157451	-0.486566045157008	-0.768711029532131	-0.540272729471806	-0.660385609417031	-0.260073238658256	-0.425878757284153	-0.4469235243424	-0.59179972866505	-0.35337388779167	-0.377175487475622	-0.45234561162925	-0.468636107537454	-0.61920653859985	-0.579578769848118	-0.608804548824727	-0.235320016351222	-0.537675103963527	-0.765270900345911	-0.454553329116799	-0.533666218363952	-0.454199249835047	-0.421088351381394	-0.456533365150129	-0.489003281871435	-0.782188094076604	-0.5235038821743	-0.238956838831368	-0.385639544101738	-0.446069668720216	-0.429911888475949	-0.601408248693562	-0.683704269253682
"84661"	-0.324540484464337	-0.445181968179879	-0.177576397362234	-0.409394298780986	-0.42609493110388	-0.266056076223555	-0.36849147538815	-0.176008225607195	-0.184302892859467	-0.421996811508381	-0.274653639510523	-0.258704387235174	-0.257296945028034	-0.392515670619852	-0.189053588955293	-0.446744194741239	-0.310909563584852	-0.542250495050142	-0.392624917458845	-0.648318129087132	-0.156065006618442	-0.529307288165183	-0.265760695806566	-0.402919817568635	-0.108417728479831	-0.336633332648729	-0.205227985733957	-0.24913607410725	-0.328543937120474	-0.256966506584031	-0.125872311843607	-0.326450287698068	-0.288488944245384	-0.178715785240868	-0.126655309682278	-0.295161277074622	-0.176989072122009	-0.264071280631867	-0.467761474015045	-0.147068046891558	-0.150621835907363	-0.225280508416122	-0.413536990614328	-0.430225505216988
"54932"	0.0151720508522321	0.179268316228978	4.86310690335713E-5	0.0447638737713077	0.141173354583482	-0.0757346987607677	-0.0989556036479321	-0.00420063572026918	0.0446446576089047	0.00301509612075505	0.0498263590029177	0.0630266873674357	0.0229932137635441	-0.112078895258072	0.063518288852474	-0.0924600307306497	-0.0123058482407416	0.114954381255111	0.15500805691099	-0.0773769850508327	-0.0136756274846254	-0.0689233600268012	0.0273361828611721	0.0574030520912642	0.0879997546081516	0.0948653619931236	-0.0268863758818721	0.0831394978728672	0.0721770251802746	-0.0258688050681306	0.0878866765753806	0.132814392373993	0.0146987654591563	0.0339674180439197	0.0922221480935165	-0.0679214059986688	0.0590709427825667	0.00187785371192928	-0.196700330401636	-0.0656898451503554	-0.108276525924646	-0.0524800757312551	0.0712906120657403	0.0453994209272937
"8111"	-0.228557629458293	-0.0510779070307105	-0.213215390487487	-0.156929144368295	-0.0442609528225843	-0.0974946226273427	-0.213473553714788	-0.235910950062908	-0.145583611738879	-0.120852690166303	-0.290410198242937	-0.260368219239056	-0.152278349446946	-0.207857710391307	-0.212177310176312	-0.14872574240501	0.0275205181376757	-0.184963696776911	-0.141025698494101	-0.217234639492965	0.0498760011389661	-0.0910234070522974	-0.199391046436161	-0.184737023007805	-0.146267689629863	-0.159476264982814	-0.204119683729136	-0.162304527509626	-0.146070359792984	-0.230271098191117	-0.22874416371728	-0.16792769728549	-0.23155069619197	-0.120071294369002	-0.0384154660530841	-0.212826351490364	-0.21630978667534	-0.263298914455115	-0.231070615055114	-0.106326460622457	-0.229859862135869	-0.250518329285556	-0.376085171491607	-0.162754527335551
"4670"	-0.98148021392494	-1.00168611064931	-0.55025629040694	-0.825655252731458	-1.02642443235333	-0.731696810364814	-1.02787302441381	-0.907939267577627	-0.830245037699839	-0.846058394337662	-0.897506191946367	-0.885825176710484	-0.762327428787299	-1.10833001209599	-0.923786573434055	-1.0351090589667	-0.671582291814849	-0.987054580109177	-0.874277602298771	-0.872892812207987	-0.640516323341139	-0.991442136528478	-1.00005525085611	-0.730287852935098	-0.800155595103937	-0.891475124011616	-0.44374087254932	-0.811141830717726	-0.801360575104905	-0.985320754660278	-0.853702198281772	-0.899969826193567	-0.983386428519258	-0.756062875613929	-0.931534344587288	-0.360368575120833	-1.07625655224499	-0.854651135562457	-1.17989704108673	-0.661148996904091	-0.726094116890044	-0.846360454587977	-1.0005714109731	-0.910397250583923
"3397"	0.100275158842389	-0.0801626578525019	0.0259425514630818	-0.134857421860727	-0.176184703000838	0.0711846237551444	0.103235808533439	-0.00732658514116563	0.00981877242681892	-0.212282895135996	0.0664648706853172	0.0465409848949521	0.112293172651554	-0.0985613413644988	-0.0119436398521727	-0.142057545109941	0.0349939405412967	-0.159783446461444	-0.0354730372015896	-0.149093900322825	0.0344901873892178	-0.0912716726429278	-0.0716287207533182	-0.55778022166043	-0.0427111945138387	-0.0272114960201319	-0.00994399519630981	-0.0755630224103234	0.112108027358255	-0.0178854047096342	0.0250953324118089	-0.100509048984183	0.0750788219111327	-0.156163641987398	0.0810489168376825	-0.0999910792105585	-0.00270896592216911	0.0583936336034415	-0.111018411366925	-0.0159798512578309	-0.313857302670534	-0.0992882172995058	0.0164013767257475	-0.0879360800152603
"3889"	-0.10981860962109	-0.141108782021499	-0.288053858535872	-0.238225423526531	-0.34111904792698	-0.152213246000291	-0.290904905638977	-0.164975736365414	-0.181632205784405	-0.0469844514264101	-0.0356132923516908	-0.223536455950331	-0.183535415666274	-0.120421178172122	-0.194632607260346	-0.233530034320391	0.0238086108401156	-0.0609297146337247	-0.21108318229561	-0.231537642382911	-0.0725302180238194	-0.0668639560234009	-0.143224058841416	-0.186044360436704	-0.0882497395522422	-0.138560916108785	-0.148107548926787	-0.281788022066424	-0.228511276433717	-0.161214880720596	-0.157915068626398	-0.129146890246094	-0.125921255388765	-0.114632201805492	0.0550965535709486	-0.139147952138793	-0.220368033543368	-0.151473951870541	-0.25620272696061	-0.017258635164352	-0.190428099240555	-0.268523364553485	-0.169888656263645	-0.0949386529111399
"26239"	0.041437873620785	0.150229431158019	0.0648295989758754	0.171172529535735	0.0587245482692515	0.0845551179868046	0.207165041137624	-0.0247205605430602	-0.0539000396186665	0.0986273670223797	0.0196951906258571	0.116560014462702	0.0278958465349063	0.100785367243872	0.130328236793534	0.130942937607881	0.145432096797865	0.051893647476891	0.115256405693552	0.159911961385257	-0.0347116396394981	0.100303259244819	0.0330066952176216	0.101006678838968	0.0577829413881101	0.0406893783688611	0.102451965507323	0.0955301481092661	0.0828865964046175	0.0769280585831308	0.0252313943357796	0.0430197678791747	0.061041837595872	0.0690710359749453	8.55690570093203E-4	0.121208655131949	0.106708897025206	0.105241775284055	0.0414841967630091	-0.0645609612818361	0.178844336084472	0.0517591021216838	0.149835249311594	0.121544365476958
"148003"	-0.266315772222175	-0.043181793832475	0.134811042536771	-0.0742644598048345	-0.200979059457415	-0.0813960959606317	0.0163278750154971	-0.0470299583746497	-0.00889743398489028	-0.0630313166859626	-0.125124185053195	-0.00318015234713442	-0.0148226854274787	-0.05271155508065	-0.0680070896197018	-0.138309752032239	0.00290224461262216	0.0920856083655986	0.0461790660410181	-0.046283587076721	0.00773630364538932	0.147228349514884	0.0474154997053731	-0.0675354369306081	-0.159449375525344	-0.0521091175282916	0.0202345183980147	0.0198620919498702	-0.0385609533085323	-0.0779217411138822	-0.00519523016535565	-0.0698959636332843	-0.0868956956259785	-0.0178173885101884	0.0312903707978774	0.0240108876400241	0.0162176488478293	-0.0253132763911772	-0.128886338505163	-0.052926305255671	-0.138576066978655	0.0318294776236504	-0.0489435900899743	-0.0698084447262331
"3977"	0.0286258660967631	0.00448376455552308	-0.0850071792933235	0.200164123366377	-0.0377178561743196	0.0167729101847715	0.0480266873685516	-0.293979521438221	0.0219001844666038	-0.0549412802918437	-0.0559338488495272	-0.0380367479382418	0.0618436590419893	-0.0608607253861681	0.025946253831761	-0.225563391423275	0.0341544520294129	-0.143901588643258	-0.092831057855085	0.251710413937091	-0.00290574496358046	-0.0540187312261279	-0.156283478728966	0.0699621188063481	0.0251033750104455	-0.0404528168578643	-0.0812181513023665	-0.0439660466410468	0.0399262772429838	-0.00244192957574168	-1.50596765396989E-4	-0.039395593424145	0.0199401445135086	-0.147434296007987	0.0661580507224267	0.00664961456454509	-0.0210542746771085	0.0277892686595894	-0.160735454223592	0.0197184561639996	-0.0873121688762433	-0.275380319714221	0.13417013595798	0.0263979219084039
