	"ACH.000007"	"ACH.000009"	"ACH.000035"	"ACH.000036"	"ACH.000040"	"ACH.000060"	"ACH.000085"	"ACH.000127"	"ACH.000143"	"ACH.000163"	"ACH.000178"	"ACH.000198"	"ACH.000215"	"ACH.000231"	"ACH.000232"	"ACH.000248"	"ACH.000261"	"ACH.000266"	"ACH.000272"	"ACH.000291"	"ACH.000307"	"ACH.000322"	"ACH.000323"	"ACH.000324"	"ACH.000331"	"ACH.000339"	"ACH.000365"	"ACH.000389"	"ACH.000401"	"ACH.000416"	"ACH.000502"	"ACH.000511"	"ACH.000537"	"ACH.000550"	"ACH.000580"	"ACH.000601"	"ACH.000606"	"ACH.000673"	"ACH.000684"	"ACH.000688"	"ACH.000693"	"ACH.000725"	"ACH.000738"	"ACH.000748"	"ACH.000764"	"ACH.000796"	"ACH.000799"	"ACH.000820"	"ACH.000841"	"ACH.000859"	"ACH.000866"	"ACH.000878"	"ACH.000881"	"ACH.000907"	"ACH.000950"	"ACH.001075"	"ACH.001119"	"ACH.001212"	"ACH.001277"	"ACH.001306"	"ACH.001552"	"ACH.001554"
"9782"	-0.11212471277561	-0.348685978753028	-0.303496182683116	-0.286389128105211	-0.0240820607425442	-0.325744259868907	-0.376156909767618	-0.280356218205121	-0.421455664066032	-0.343484518312797	-0.180009127720187	-0.535202766046642	-0.00529623039759035	-0.198011436147756	-0.10340589659276	-0.344081237547565	-0.261317492231438	-0.234490157834357	-0.262199288091182	-0.41641254227352	-0.401917305513575	-0.448676023454382	-0.229341893193533	-0.266019086991124	-0.397826343692808	-0.393932226078576	-0.32818078883401	-0.0366808878217596	-0.528733722850882	-0.112225896144116	-0.242626435470071	-0.205033852431401	-0.277661941275072	-0.121699640290655	-0.405220454311134	-0.00362478647588753	-0.262396891691943	-0.319687193872227	-0.118739677127769	-0.369805183442956	-0.21136926950624	-0.273823891397349	-0.380877898594878	-0.139983960984391	-0.150917688869422	-0.233665810204508	-0.341607284597907	-0.247906722390196	-0.274215603901704	-0.486990908919434	-0.0826867819378742	0.0135899842553738	-0.390421915207702	-0.202703758386718	-0.239306488176479	-0.0870369424978235	-0.185052945658025	-0.293004308285618	-0.283644891471691	-0.234399115217461	-0.368584178117316	-0.351608524602862
"284565"	-0.369665489976042	-0.427344164513048	-0.304057661442101	-0.371050693129777	-0.269614170838637	-0.384480981546765	-0.327019265371441	-0.36960898498848	-0.353432136806125	-0.489224053775841	-0.294962956600902	-0.4222312013614	-0.361806249227035	-0.298023305695196	-0.290549308662529	-0.197830223424082	-0.426786556283876	-0.289499026072437	-0.49072139813151	-0.272604482763681	-0.484371785063119	-0.12517221961284	-0.230851927836252	-0.288796361432743	-0.430103683381433	-0.363383554506078	-0.44825433965007	-0.231410982049919	-0.287022179523214	-0.409068033347947	-0.374398181447484	-0.395432153388824	-0.155001672893976	-0.30591834591087	-0.379569920062985	-0.440783027517151	-0.23473398531516	-0.322512566826911	-0.372681280466336	-0.233019476406194	-0.360034654960325	-0.301130648996212	-0.471216591219967	-0.162710510896566	-0.449054067247404	-0.332842055618997	-0.212950014522776	-0.107873723611932	-0.452551476134739	-0.50290581437257	-0.288317568974199	-0.353970516709322	-0.399376179760765	-0.382378085250635	-0.0645550796524712	-0.364303243015114	-0.47402982336334	0.0150378233444049	-0.328819662092118	-0.507668243698478	-0.139054415012217	-0.31023658095142
"56160"	-0.968300171879395	-0.676659104152016	-0.896044529688774	-0.749353549718274	-0.936446614642997	-0.690120396436156	-0.902626037874965	-0.726179349224083	-0.995101081817619	-1.22415247729909	-0.987076166988235	-0.87097835568246	-0.695310069737795	-0.832724965215898	-0.831739823561056	-0.888388580574125	-0.752489441884773	-1.13123129477695	-0.845055870672446	-0.869986409962238	-0.937696060343484	-0.59994371114122	-0.710387873559752	-0.742968464687599	-1.09377833408205	-0.863731088737592	-0.794755224496822	-0.752391645189296	-0.93278224224519	-0.996905303182125	-0.745971368078004	-1.10759834652849	-0.74847932920097	-0.794938576782978	-0.811409598887639	-0.739943841670594	-0.989816535349508	-0.767872937317468	-0.691288887901094	-0.683008386803209	-0.858495160521629	-0.880560378002562	-0.898078200048456	-0.771435834938876	-0.92851256768038	-0.888552329840868	-0.755995949286529	-1.03981835921246	-0.802165931974772	-0.658117937542477	-0.76226060888786	-0.890413185185033	-0.840547920544459	-0.956331409817392	-0.622443029307564	-0.748937684803471	-0.699221997345394	-0.72012456109591	-0.886757201805144	-0.78793180492696	-0.833244126302389	-0.801382280748407
"197370"	-0.935538071507779	-0.58338353808648	-1.09321939731228	-0.604547081564812	-0.980533240129026	-0.846117615776384	-0.808450726862021	-0.737652693122268	-0.67050547372294	-0.882009532256463	-0.838015024017785	-0.885621990855057	-0.857404004849473	-0.894046447720748	-0.959564231098151	-0.811257950989417	-0.854194603997058	-1.07279311157876	-0.610422910035487	-0.643711308252688	-1.0911322150683	-0.642877219118863	-0.663039679966668	-0.702188228598815	-0.886126886819252	-0.934993454552946	-0.848735395633435	-0.678390948628118	-0.872645338347194	-0.884799883952997	-0.726911692557581	-1.06614585402198	-0.961344192017477	-0.915285765444211	-0.696697839840653	-0.620591212091944	-0.73528118687739	-0.851052713612515	-0.764392263728304	-0.654621331313454	-0.727408303194765	-0.732289579847814	-0.861052828528267	-0.690315348833881	-0.835779945142666	-1.12577001594103	-0.583047761557456	-1.16032134525075	-0.673317633172538	-0.839676452672634	-0.864121321323297	-0.836797379098057	-0.878780097130984	-1.01257917484172	-1.00036637376942	-0.830946973758718	-0.759459068171167	-0.769755762882948	-0.701556352556833	-0.817806821046204	-0.944084503160318	-1.02129669461364
"286053"	-0.380191271994211	-0.388965793980239	-0.571714908049787	-0.530026368228583	-0.527681693204321	-0.504911436361478	-0.690104231504144	-0.556867620211372	-0.55256217111866	-0.486397936308833	-0.430320746299941	-0.379233266666082	-0.485394017246498	-0.719365005151415	-0.55138763760852	-0.579203986838784	-0.527107761558062	-0.707791831841049	-0.566512007039775	-0.325265597901789	-0.499790574618315	-0.34886554543241	-0.432973336288732	-0.362678241319078	-0.606565039357614	-0.611159101020112	-0.458011952775439	-0.376604951234408	-0.735147515927773	-0.547725384421981	-0.522751458492538	-0.743216575731875	-0.565959516468796	-0.438517975864407	-0.255801033795019	-0.25928409681856	-0.587966971899627	-0.634030183986189	-0.460853038648626	-0.414635470353575	-0.521991764631438	-0.616838276987464	-0.568242895396736	-0.866194824418162	-0.403347019362603	-0.856205642896533	-0.535946898912733	-0.336325118673694	-0.474113121579721	-0.6091157494246	-0.624975301419223	-0.379885630589298	-0.48772912188176	-0.568440650079732	-0.479309575386966	-0.545683158683133	-0.806742351630086	-0.528907930274694	-0.513834161043224	-0.518521405701868	-0.993827445284733	-0.302246037756523
"54780"	-0.549669328656129	-0.251531367738805	-0.332060494410432	-0.445214768064841	-0.253443042236042	-0.295303664398607	-0.447885508424323	-0.255664708951746	-0.64313384513065	-0.64159476132152	-0.437474277302326	-0.312574003684183	-0.4057365719201	-0.36736746597283	-0.304472046695704	-0.466284455153957	-0.25729603535142	-0.684813746275833	-0.419241510357761	-0.397737173959879	-0.557296303755428	-0.591161528498293	-0.491084143664029	-0.300641987368757	-0.671010679765134	-0.515345393134222	-0.45162244604082	-0.571940810567329	-0.418388562950668	-0.3926563332876	-0.42844004713285	-0.558571643988919	-0.49196006913408	-0.426086085303041	-0.458317592933808	-0.192878821950879	-0.585766335653454	-0.499472366714394	-0.392380566767277	-0.499119453262882	-0.373871214188958	-0.605271590165203	-0.690388010242797	-0.340692243497664	-0.456950521187589	-0.513861102369248	-0.441751925248788	-0.510473516426549	-0.346896721778763	-0.526429075796484	-0.468866278470141	-0.137635047652326	-0.35095027228064	-0.416758145026402	-0.262897012044421	-0.436400959267642	-0.530077728918366	-0.142013772847139	-0.46896170082543	-0.471954811348435	-0.393634414108018	-0.433239870820547
"79991"	-0.713254056017685	-0.352006494317439	-0.587035536981859	-0.442172735048109	-0.418742163376835	-0.573503906434132	-0.355765783773471	-0.346484955913311	-0.736051248224012	-0.544715533379709	-0.536115039297562	-0.509999840110721	-0.562256295023801	-0.768997224401703	-0.16976058036183	-0.193491319741058	-0.505295354920402	-0.609904481318115	-0.556936243204963	-0.480596149520592	-0.739056211144807	-0.233986729108383	-0.253902077762095	-0.642120394248841	-0.421761285097007	-0.532029534300323	-0.109949412415635	-0.497886770510741	-0.409803345964796	-0.67724470729073	-0.525260397969032	-0.235223443363351	-0.118240810320135	-0.611778041040299	-0.249914153525201	-0.402941484625122	-0.580585703805446	-0.262612455864233	-0.4973288251834	-0.566393409528821	-0.563294222903858	-0.252641232467251	-0.609178973560406	-0.484433484823368	-0.519829392855102	-0.344531800962369	-0.111811273490792	-0.725221370441767	-0.6097802015538	-0.590355220518979	-0.311936918061882	-0.833901834094187	-0.304534594911961	-0.375486464578464	-0.630658841798101	-0.627843954543004	-0.307490133482618	-0.340875153487639	-0.392155643536011	-0.511575185604271	-0.310355713217087	-0.552997352460894
"25913"	-0.532502567816552	-0.490452613393956	-0.641950366660203	-0.422481606004292	-0.600881774878464	-0.666844115719368	-0.608132719650528	-0.39176965174288	-0.59337828802915	-0.438213475483525	-0.629753543398997	-0.421062884442883	-0.651237703917842	-0.373834857934797	-0.42794540590125	-0.136827619961256	-0.505008624334262	-0.939692147447832	-0.415209755853609	-0.465553553640924	-0.719207989484047	-0.487448011771795	-0.318844556099485	-0.858930973833827	-0.451865098425854	-0.553191179140111	-0.675069126468725	-0.59385401093658	-0.82060926671964	-0.787900284910116	-0.705790578810791	-0.590622242065911	-0.340801806511049	-0.615483420322169	-0.399159987253901	-0.578783429685664	-0.472441239498486	-0.359981941383509	-0.618277381432328	-0.659266383695611	-0.448378647204083	-0.250219314774319	-0.27003221031022	-0.636365010485277	-0.336989607576613	-0.628450696089622	-0.383441851741598	-0.268126662135261	-0.451157811278758	-0.498231588481293	-0.609937008876689	-0.662000029297432	-0.647830333865401	-0.606140400472932	-0.39485400031884	-0.616963039127109	-0.622739823293493	-0.50919112894874	-0.376117883621136	-0.249456122395609	-0.647154527660012	-0.567273115031214
"5691"	-1.55252711835542	-1.55501713663397	-1.5564820544364	-1.44150537954383	-1.56058608145363	-1.56594699099747	-1.60685033241506	-1.61023884977649	-1.71743149258961	-1.71811582827401	-1.59431705767498	-1.67522689080486	-1.50650717537384	-1.52642777126695	-1.65508805944092	-1.69483490865244	-1.45234975424107	-1.54447849645242	-1.40266679932235	-1.54990619075107	-1.58072454029071	-1.76114610065237	-1.40556663885557	-1.7888027467565	-1.55929630858716	-1.50261486634807	-1.64044547081608	-1.59364484974706	-1.74890254838175	-1.47979134395227	-1.56713515345288	-1.47680995295851	-1.66440287760235	-1.59847946547717	-1.88237221084752	-1.52774977058172	-1.56737464772515	-1.69315914093138	-1.47003536439337	-2.07470492511736	-1.47079840659261	-1.58830571522114	-1.63566945596799	-1.44779355499302	-1.56446751996345	-1.71464340416493	-1.74689347124498	-1.50434492495759	-1.70526107343778	-1.56120634609494	-1.65935941123482	-1.66048421005294	-1.89602956750618	-1.68889937547825	-1.52341596386814	-1.61473951597705	-1.75640106847888	-1.54491187578181	-1.6572515207831	-1.47275677984157	-1.54567436911868	-1.85428789138517
"5878"	-0.0353431768955665	-0.238920934067951	-0.144219623705316	-0.283797434784085	-0.179692959148373	-0.227615634848042	0.0482753130946045	-0.240984846852268	0.108890935888994	0.0637285000396838	-0.304845082317277	-0.346854024091069	-0.520447443170651	-0.125495362513105	0.0551130514429311	-0.390571286657623	-0.0963779085711775	-0.109829640686853	-0.138345279026741	-0.103762064367382	-0.0774388071911832	-0.222726591321855	-0.224606856850146	-0.176437572219483	-0.0377966513062594	-0.222625688410522	0.0317666647002471	-0.243522061997918	-0.304074100348069	-0.093245376929638	-0.129999664134104	-0.215080157925722	0.0437793571522047	-0.177181832204258	-0.0803368980702222	-0.0373493494642778	-0.167780142151762	-0.162797787513078	-0.432367537498401	-0.343942365157108	-0.259985986340971	-0.0780960950374722	-0.152513114369159	-0.0666980657332542	0.0344809849768599	-0.187793383738244	-0.251949540062094	-0.070392263498228	-0.381815224588616	-0.326425263897583	-0.00980073184611613	-0.049866529267101	-0.123300296201177	-0.213619178213079	1.76067419536278E-4	-0.029818046147062	-0.290659369414313	0.0156229635925088	0.00996112428382036	-0.0431437899639148	-0.00788098878623696	-0.052618842027888
