	"ACH.000036"	"ACH.000040"	"ACH.000067"	"ACH.000099"	"ACH.000108"	"ACH.000150"	"ACH.000178"	"ACH.000237"	"ACH.000246"	"ACH.000260"	"ACH.000280"	"ACH.000307"	"ACH.000331"	"ACH.000332"	"ACH.000368"	"ACH.000433"	"ACH.000445"	"ACH.000463"	"ACH.000464"	"ACH.000528"	"ACH.000550"	"ACH.000616"	"ACH.000673"	"ACH.000766"	"ACH.000792"	"ACH.000799"	"ACH.000811"	"ACH.000839"	"ACH.000840"	"ACH.001050"	"ACH.001054"	"ACH.001075"	"ACH.001654"
"51690"	-0.952849998060713	-0.836248516190239	-1.02440857813935	-0.89676315321715	-1.13107537062291	-1.20831471930094	-0.973226634199001	-1.13497724756919	-1.01660949777433	-1.02290982752696	-1.28793795638327	-0.939912763431043	-1.08647980760736	-1.03070371444396	-1.02675203672219	-1.13671518021504	-0.831211824843433	-1.19487489737846	-1.07371513280785	-1.08587274554517	-0.990623997909015	-1.02987714285092	-1.04519915754662	-1.02889001439851	-1.13094870739971	-0.922814391343412	-1.15377696813378	-0.963557274674517	-1.17409568066674	-0.858651680458349	-0.972329380694322	-1.0794504250231	-1.024042247372
"90390"	-1.07551928939653	-1.47576788509527	-1.16017783811455	-1.24927490688602	-1.49051447005271	-1.51576718802399	-1.36634903269078	-1.37167767518078	-1.34443167324977	-1.28998618633987	-1.39596073158188	-1.51476136233223	-1.51125660320221	-1.46156615899708	-1.41847696373081	-1.06692925148488	-1.47722272206879	-1.33400453974972	-1.22169312502387	-1.38059679227098	-1.20939132478178	-1.29436147187954	-1.28972307207581	-1.18101083892812	-1.22416031299091	-1.12021292231561	-1.40941799736469	-1.02247856480277	-1.27938087575091	-1.37780097824376	-1.35324669540759	-1.28879959387246	-1.31480989219605
"55728"	0.0312503976911594	0.113194211884512	0.0746003005184248	0.0380590187510585	0.0917942026892145	-0.0318745246042404	0.070486962980979	-0.0198039325221574	0.0262405043356689	-0.09137360060391	-0.0373504435652959	0.0385562917388511	0.137066347867666	-0.0248861039741116	-0.097697702176876	0.0679820139733463	0.101283790139912	-0.092923686391944	-0.0228045485288912	0.0124081518080926	-0.0526559473873393	-0.0228579373321415	-0.0269859480513774	0.036482142629214	0.028292106216942	-0.00550598522473166	0.0427657197179395	-0.0407416812382516	-0.00312832364392549	0.172665418134731	-0.013667279350975	0.0442863628735745	0.0342833989774559
"200030"	-0.387823486552827	-0.712886651053956	-0.413829291668816	-0.258275332963314	-0.506857279316128	-0.582584436479802	-0.437356629019257	-0.63121353260382	-0.360808574891186	-0.333449177015742	-0.262424579935901	-0.472972956448182	-0.48080969696072	-0.459981589911026	-0.551358075678923	-0.515769279475906	-0.517742397636588	-0.341438248753273	-0.411075019046232	-0.28016229438871	-0.355496885575127	-0.458342894876406	-0.544059410686779	-0.516771936786261	-0.556131512710555	-0.140770119362752	-0.452805132764729	-0.351787692180775	-0.257633635685182	-0.334166090079668	-0.30271974499626	-0.326539545941808	-0.482430497033392
"55644"	-1.21199849169652	-1.25941833170984	-1.2142276129345	-1.23301211595823	-1.41692589154995	-1.16045983664466	-1.19199936038014	-1.1584655854172	-1.24977324916401	-1.25446164624779	-1.20395085117262	-1.19805232763148	-1.10710058505399	-1.10562740352038	-1.53269945615426	-1.4252971712625	-1.03498487447833	-1.16249871381079	-1.07338165864206	-1.27093711713563	-1.01848839793839	-1.01865085655551	-1.1595063183429	-1.1996238135068	-1.23919254080372	-1.0220574209767	-1.20807139868447	-1.19646825244302	-1.24479769898822	-1.16303827720332	-1.23205680390098	-1.16844588175746	-0.924594615938282
"401"	-0.136603452543445	-0.110601906483266	0.150507966573952	-0.0781182899872217	-0.119397869477952	-0.260878676848438	-0.0628820726545563	-0.118708919790986	-0.0749524315985649	-0.281569572447862	-0.239839550030977	-0.0774610574893086	-0.232504775621308	-0.171436236644408	-0.123505810358992	-0.266123643243796	-0.00884475671921438	-0.172954169162468	-0.23978169173157	-0.119532784934233	-0.141725975030338	0.0217806029173119	-0.148174682392799	-0.125936314217138	-0.122424475591139	0.0287593701608584	-0.121092584669599	-0.219517646081306	-0.351371059402599	-0.152671042324186	-0.111738843277276	-0.120875736512068	-0.136524011744717
"5441"	-1.53907346646957	-1.45267843023128	-1.57457491208883	-1.66631394250488	-1.53586749883228	-1.63567640175956	-1.5789150598036	-1.53807187131822	-1.71623935381683	-1.62037042117033	-1.81435704822371	-1.75924686986257	-1.7411960119626	-1.57602649503169	-1.35144435676901	-1.22310668873247	-1.37578964250973	-1.4746283448732	-1.52751813282211	-1.63927329993655	-1.73456450493764	-1.55339971780197	-1.37567754669511	-1.6513049013947	-1.94410876824559	-1.41045800109217	-1.48237494420129	-1.56991875460567	-1.76978144129228	-1.61463623372045	-1.4697482392014	-1.56413955781878	-1.86617433745817
"5587"	0.191000158334011	0.195627330765259	0.294399673177671	0.236126330874711	0.226902260430764	0.389224815117985	0.125985758405247	0.353953238748319	0.188115201934416	0.233719674161659	0.168958218177056	0.241258616479131	0.344616788187538	0.267291012879053	0.235624472104574	0.094316041423862	0.268115499483308	0.150699779848747	0.35136273114946	0.300277495383409	0.297559760467426	0.312525266339454	0.283880668023241	0.120960515197208	0.341573310717854	0.172100657661282	0.244812256310451	0.327337302151233	0.125485554518295	0.178549365246538	0.139077337407804	0.15174059969126	0.21444123997078
"79897"	-1.29642432945773	-1.31701113482226	-1.19207295504198	-1.19426086073129	-1.23531370900546	-1.36445135878913	-1.39517193134886	-1.23155099926661	-1.27741891628922	-1.25432851010343	-1.30878151317866	-1.45305977712775	-1.20154674601752	-1.42769702172532	-1.5684031475846	-1.26345665509726	-1.22908582037231	-1.22821803851663	-1.17113995500446	-1.29534488399088	-1.25769112626844	-1.27597025521056	-1.31402693666949	-1.21940035546129	-1.61729943333111	-1.07038541150678	-1.0892951445755	-1.28480436033354	-1.20565267258727	-1.3258567719567	-1.08463877260434	-1.3613729822353	-1.4768602805879
"10556"	-0.90120543765995	-1.00409650243353	-1.03352229948595	-0.815338429462341	-0.969076369199918	-0.935439725379125	-0.960638581636178	-0.884180485734208	-0.799682373594855	-1.05091580808181	-1.09948374948815	-1.08819490194341	-1.08549345382068	-0.874457784413801	-1.14776263369101	-0.909908574258394	-0.572900188638075	-0.907561252806459	-0.91275764414862	-0.975506446331275	-0.956330544643681	-0.877172045469394	-1.03278655236276	-1.01330063745085	-0.810318865547017	-0.833356646862924	-0.92374055523007	-0.99623418240188	-0.798196724927683	-0.895209409330859	-0.785212902799672	-1.04039836158244	-0.689565570392287
