	"ACH.000017"	"ACH.000085"	"ACH.000116"	"ACH.000188"	"ACH.000226"	"ACH.000259"	"ACH.000277"	"ACH.000291"	"ACH.000296"	"ACH.000330"	"ACH.000444"	"ACH.000450"	"ACH.000480"	"ACH.000484"	"ACH.000510"	"ACH.000527"	"ACH.000528"	"ACH.000579"	"ACH.000580"	"ACH.000606"	"ACH.000614"	"ACH.000637"	"ACH.000676"	"ACH.000694"	"ACH.000697"	"ACH.000769"	"ACH.000783"	"ACH.000805"	"ACH.000846"	"ACH.000900"	"ACH.000924"	"ACH.000957"	"ACH.001031"	"ACH.001134"	"ACH.001164"	"ACH.001197"	"ACH.001450"
"4171"	-1.27389681438401	-1.27337397647987	-0.959916952890291	-0.937300644796118	-1.04696508771204	-1.05491906911201	-1.18912186890893	-1.00356082894338	-0.878220725290301	-1.12394499784266	-1.04533802449909	-1.08119972706323	-0.864846581776213	-1.22329443726541	-0.897409689176778	-1.16040495072997	-1.03296094503237	-1.08861887642233	-1.33987529857107	-0.937753362279591	-1.40772977596231	-1.2074150488918	-1.0092947392839	-0.827620458936885	-0.947467632846037	-0.842519805067666	-1.37041526951715	-0.925160790389664	-0.912299751434233	-0.827047060714135	-0.888189882333621	-1.00305475001566	-0.962411620870447	-1.03935776029773	-1.05861092867212	-1.16364942762062	-1.02693647434917
"90390"	-1.30018031882825	-1.32564848668653	-1.30659010371657	-1.22162367457928	-1.21470354158392	-1.68025208184791	-1.25000395038493	-1.29321569723582	-1.44217466951864	-0.96936500538255	-1.32539523358151	-1.57443879164863	-1.32641296305603	-1.32628177636869	-1.20754532281563	-1.33355120579631	-1.38059679227098	-1.73523941049838	-1.3596753048628	-1.34915724141303	-1.4941214362689	-1.36484624269174	-1.30785567786884	-1.01361609072723	-1.20976788089056	-1.23762936899385	-1.2022698187176	-1.33175547211537	-1.52431710947068	-1.346888924049	-1.51137816911859	-1.3370835684748	-1.50341945334075	-1.10736261098539	-1.47820393304346	-1.27285548617647	-1.50661871215149
"64210"	-1.05101243656134	-0.948743078983165	-0.874147299987712	-1.10471069101566	-1.08098665728792	-0.829233054308647	-0.7936712786983	-1.04376299632395	-1.23139364781937	-1.18086454847249	-0.920572034069675	-0.598239350697682	-1.14228911987009	-0.85840085092279	-0.899407230070252	-0.909711956988356	-0.913804846295978	-0.789236622081096	-1.11550966838553	-1.03689670124893	-0.93343051212719	-0.946476047715689	-1.00539900941821	-0.972559465506025	-0.678309553832508	-1.02071734422716	-0.603332372247521	-0.784075911863354	-0.601810799240153	-0.690582407496741	-0.754699172238047	-0.692652573811669	-0.928012331872622	-0.71443943930559	-0.827269299455321	-1.12157367327135	-1.08892467708734
"9148"	0.131123450156573	-0.0852525807300933	-0.0435838376933894	0.0598411679241603	-0.0148639687741065	-0.0592759889181266	-0.0318493459970682	-0.0190404176677446	-0.0138099996808534	0.0661346942903438	-0.135316888047134	0.220945380644871	0.0976085998725991	-0.0777040714736993	0.00778853373927971	-0.00865820111117126	-0.0920279068774539	-0.141598244478385	-0.109718526841656	-0.156481190699664	0.138188500695602	0.067681636649207	-0.00984771435162263	-0.0983585485704524	-0.202201301351014	-0.107216720332403	0.00806369182935116	-0.0711021207112571	0.062442458896464	-0.0143774509062704	-0.119495105856274	-0.0550342423548951	-0.0141938033243623	-0.102454883717714	-0.207684871310889	-0.0672303759643218	0.0279874568472176
"23742"	0.125295587455188	-0.0749918384106242	-0.0843043237125351	-0.0201702946796839	-0.238459662007523	0.0347428246837063	0.155158771636533	0.0375212787896152	-0.17698615916649	-0.053693443488775	0.0349618884285883	-0.280148755316376	-0.204192077983724	0.0996154997985334	-0.0295355430745085	-0.0172934985222132	0.076552130045175	0.0818239360824482	-0.0832242057553303	-0.00592890606585271	0.0566020241903935	-0.112258281569477	0.1010501354921	0.0761395508825757	-0.157210212599212	0.0549767726106385	0.0772984924238202	0.0259356731518189	0.037753347901616	-0.0715497858825458	0.0310839848484293	-0.18705498551225	0.0818698820728182	-0.0193111628008982	-0.0482548991490393	0.173088332464569	0.00133848692291379
"283694"	-0.357883819367629	-0.329546520413427	-0.183284349489219	-0.202435374615673	-0.318821380216051	-0.244956377660623	-0.168469714824801	-0.237759895309693	-0.343789152225554	-0.335758442176118	-0.486546147105378	-0.312370852056295	-0.291069379504831	-0.340235074435558	-0.273029909469061	-0.238529025770703	-0.219390305757423	-0.243527690960342	-0.454660581277823	-0.126758365578502	-0.354850988918414	-0.284666443004908	-0.257227811232938	-0.203949217489834	-0.122581208790588	-0.127054096022678	-0.107875822621419	-0.208791337829251	-0.0373255157622342	-0.245137911555234	-0.252714940095625	-0.37709936154699	-0.157993019399969	-0.262013883679676	-0.277872473529034	-0.306792106649227	-0.165429100362943
"5481"	-0.0719405017490087	0.0450239166514386	0.0185231164358923	0.0388286415118311	0.0319056515369802	0.0762655897754688	0.0523806183386029	0.0982094708997235	0.0695618917339306	0.132989155153175	-0.00887241585620218	0.126790978869683	-0.0361272265842649	-0.0163686137450329	0.0175230159922129	0.159549802603699	0.0293309452368344	0.109680011191727	0.206408550502833	0.0562760363483148	0.00103558863278839	0.125477633120854	0.120831647422788	0.0912974941721316	0.111667296949319	0.127315071444073	0.0661069596784253	0.125430420873992	0.0200613069257236	0.203975717842436	0.0981692053315884	0.0991348731318113	-0.0721265111038263	0.00737545427410338	0.0853065410946737	-0.0077619129787786	0.016832338593345
"5530"	-0.188806521111869	0.0674607211387805	-0.153427652119217	-0.168415904146527	-0.040458641248913	-0.124300488751701	-0.267061979853448	-0.196362909414505	-0.11753307273645	-0.166090264921021	-0.099539108473439	0.132027216753745	-0.136032704638698	-0.0676075938033959	-0.21964233193477	-0.068614231665903	-0.0993648924036373	-0.119863614452486	-0.153734495642075	-0.109205479859347	-0.0967112710105324	0.0396626902935564	-0.0600690529902104	-0.0923754153589175	-0.109773643319516	-0.0390506700517216	-0.104323650241525	-0.0914369183393429	-0.0430084857649854	-0.118630816122051	-0.0174163451472887	-0.180485153417389	0.0168566660158834	-0.0539679861327075	-0.052871158947725	-0.0243960921551945	-0.0502968373028342
"5691"	-1.71266886563648	-1.60685033241506	-1.55844308262484	-1.69999418614896	-1.60372329323856	-1.68329255094537	-1.85689106696838	-1.54990619075107	-1.56697609404453	-1.53180551806346	-1.45204408735018	-1.70489572603507	-1.52259505311793	-1.78784308921273	-1.69085510019322	-1.57563973227834	-1.5315074770146	-1.49242043876849	-1.88237221084752	-1.56737464772515	-2.03560345959652	-1.88531560695108	-1.54631176225241	-1.42599998698903	-1.6037570383547	-1.67716910874006	-1.79671891105228	-1.66208843141293	-1.50769202976759	-1.46743087562631	-1.45022230202398	-1.54419832812355	-1.76239619639583	-1.7267138784213	-1.71292886054739	-1.71588120762596	-1.53704284729204
"5774"	0.276578794190872	0.0269248280382082	0.174252583680275	0.0138376301167286	0.0132668259266454	-0.102629536712832	0.153898023359386	0.132808740865928	-0.111667659577541	0.185523899732391	-0.0331513867514179	-0.271482520171371	-0.0867466899312952	-0.00126875256273032	-0.0683776164065601	-0.00760129414946162	-0.0513326784277117	-0.274596384071483	-0.0930737559172335	0.145261660950142	0.017964080976712	0.236191755407724	0.0310635863309783	0.0640523196831503	-0.0570394447053701	-0.160498505795318	-0.0043978421573558	0.00719595575262823	0.0403076953450395	0.0616154776304473	0.144776683382594	0.0953003227393081	0.07906188075789	0.0508631022873736	-0.0184932505373155	-0.202581976593042	-0.01709856753333
